,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2013-06,646.32M,,646.32M,35.20M,62.76M,97.96M,5.065M,22.79M,,27.85M,56.60M,,,191.45M,1.020B,,,,,,,,,30.28M,226.29M,110.79M,337.08M,,60.57M,427.93M,1.448B,25.38M,54.08M,79.46M,89.73M,169.19M,,,127.77M,127.77M,,127.77M,27.98M,38.97M,,60.54M,416.29M,408.92M,,408.92M,,,,,15.63M,424.84M,841.12M,0.947M,-302.74M,914.34M,,,,-5.56M,606.98M
2013-03,402.50M,,402.50M,189.60M,,189.60M,2.192M,28.03M,,30.22M,37.39M,7.489M,,198.96M,866.15M,0.0,,78.77M,,,31.34M,110.11M,-84.75M,25.36M,225.99M,104.07M,330.06M,,56.26M,411.69M,1.278B,79.93M,57.21M,137.14M,106.44M,243.58M,,,,,,,26.92M,37.87M,,21.98M,337.00M,335.20M,,335.20M,,,,,17.09M,352.84M,689.84M,0.937M,-240.83M,832.46M,0.00,,,-4.572M,588.00M
2012-12,448.72M,,448.72M,94.24M,,94.24M,3.599M,26.09M,,29.69M,45.43M,,,199.81M,817.89M,,,,,,,,,23.70M,228.79M,83.63M,312.41M,,35.78M,371.89M,1.190B,42.26M,46.38M,88.64M,113.16M,201.81M,,,,,,,26.35M,35.30M,,18.98M,281.22M,330.31M,,330.31M,,,,,12.48M,343.75M,624.97M,0.937M,-263.30M,819.87M,,,,7.309M,564.81M
2012-09,328.28M,,328.28M,154.95M,,154.95M,3.058M,57.51M,,60.57M,41.59M,,,212.55M,797.94M,,,,,,,,,21.88M,228.59M,79.98M,308.57M,,36.35M,366.80M,1.165B,125.08M,40.46M,165.54M,87.16M,252.70M,,,,,,,38.28M,46.60M,,21.74M,336.93M,325.54M,,325.54M,,,,,16.19M,343.30M,680.24M,0.921M,-334.67M,811.04M,,,,7.22M,484.51M
2012-06,367.06M,,367.06M,71.71M,,71.71M,1.886M,26.10M,,27.99M,42.70M,,,209.66M,719.11M,,,,,,,,,19.35M,225.12M,72.62M,297.73M,,36.94M,354.03M,1.073B,78.22M,39.59M,117.82M,69.90M,187.71M,15.00M,,,,,,14.35M,22.96M,,17.20M,256.99M,320.88M,,320.88M,,,,,0.679M,339.11M,596.10M,0.911M,-322.18M,803.01M,,,,-4.706M,477.04M
2012-03,420.28M,,420.28M,45.04M,,45.04M,2.401M,20.08M,,22.48M,44.60M,,,211.22M,743.62M,0.0,,86.17M,,,27.60M,113.77M,-94.82M,18.95M,228.17M,121.02M,349.19M,,37.67M,405.81M,1.149B,46.68M,38.49M,85.17M,78.55M,163.72M,,,,,,,13.86M,20.77M,,18.79M,218.72M,316.34M,,316.34M,,,,,16.32M,334.98M,553.70M,0.902M,-211.34M,799.43M,,,,6.733M,595.73M
2011-12,453.32M,,453.32M,53.27M,,53.27M,2.594M,19.92M,,22.52M,42.61M,,,180.70M,752.42M,,,,,,,,,18.56M,223.93M,138.24M,362.18M,,7.442M,388.18M,1.141B,29.40M,9.846M,39.25M,84.93M,124.17M,,,,,,,11.79M,23.35M,,1.027M,169.08M,311.91M,,311.91M,,,,,3.116M,330.03M,499.11M,0.90M,-144.50M,786.65M,,,,-1.564M,641.48M
2011-09,269.74M,,269.74M,19.57M,,25.41M,2.987M,42.09M,,45.08M,55.34M,,,150.37M,545.94M,,,,,,,,,18.11M,225.73M,139.41M,365.14M,,2.73M,385.98M,931.92M,90.33M,10.60M,100.93M,90.49M,191.42M,,,,,,,17.19M,28.15M,,1.06M,235.52M,111.30M,,111.30M,,,,,3.117M,130.52M,366.03M,0.864M,-158.61M,722.41M,,,,1.219M,565.88M
2011-06,248.76M,,248.76M,146.69M,,155.74M,2.525M,23.42M,,25.94M,63.08M,,,151.12M,644.65M,,,,,,,,,19.01M,226.87M,17.34M,244.21M,,95.71M,358.93M,1.004B,72.48M,12.69M,85.17M,134.00M,219.18M,,,,,,,15.31M,24.34M,,1.391M,260.12M,109.24M,,109.24M,,,,,3.12M,128.19M,388.31M,0.864M,-111.24M,714.91M,,,,10.73M,615.27M
2011-03,280.36M,,280.36M,84.22M,,84.22M,3.037M,21.54M,,24.58M,45.77M,,,131.68M,566.60M,0.0,,79.03M,,,24.73M,103.76M,-84.13M,19.63M,225.17M,156.15M,381.32M,,4.101M,405.06M,971.66M,56.15M,12.48M,68.63M,118.77M,187.41M,,,,,,,13.43M,20.94M,,2.842M,230.89M,107.24M,,107.24M,2.961M,,2.961M,,,125.49M,356.38M,0.861M,-102.52M,706.48M,,,,10.46M,615.28M
2010-12,297.12M,,297.12M,83.84M,,83.84M,4.417M,24.18M,,28.59M,53.98M,,,154.76M,618.29M,,,,,,,,,21.33M,219.26M,113.04M,332.30M,,4.68M,358.30M,976.60M,48.85M,16.81M,65.66M,150.68M,216.35M,,,,,,,10.41M,10.41M,,3.799M,230.56M,105.30M,,105.30M,18.52M,,18.52M,,3.118M,126.95M,357.51M,0.846M,-80.47M,698.55M,,,,0.159M,619.09M
2010-07,232.13M,,232.13M,96.23M,,96.23M,3.561M,17.71M,,21.27M,51.94M,,,156.71M,558.27M,,,,,,,,,22.12M,216.15M,120.28M,336.42M,,27.34M,385.88M,944.16M,33.01M,36.48M,69.50M,194.63M,264.12M,,,,,,,12.10M,12.10M,,5.541M,281.76M,102.22M,,102.22M,,,,,11.98M,114.20M,395.96M,0.842M,-133.38M,685.02M,,,,-4.286M,548.20M
2010-04,180.52M,,180.52M,39.30M,,39.30M,5.19M,19.57M,,24.76M,63.89M,,,208.74M,517.20M,,,,,,,,,23.12M,216.30M,80.81M,297.10M,,28.82M,349.05M,866.25M,34.94M,35.38M,70.32M,131.69M,202.01M,,,,,,,13.12M,13.12M,,5.652M,220.79M,100.44M,,100.44M,,,,,7.977M,108.42M,329.21M,0.84M,-139.30M,677.77M,,,,-2.273M,537.05M
2010-01,105.98M,,105.98M,77.22M,,77.22M,4.788M,45.87M,41.18M,91.84M,59.45M,,,186.85M,521.34M,,,,,,,,,25.05M,218.83M,95.57M,314.40M,,32.55M,372.00M,893.34M,91.83M,45.34M,137.17M,120.36M,257.53M,,,,,,,15.94M,16.06M,,,273.58M,98.73M,,98.73M,,,,,10.24M,108.97M,382.55M,0.838M,-156.05M,665.76M,,,,0.252M,510.79M
2009-10,102.08M,,102.08M,199.40M,,199.40M,10.36M,83.64M,,94.00M,65.41M,,,167.34M,628.22M,0.0,,74.35M,,,24.19M,98.54M,-71.14M,27.39M,220.88M,98.74M,319.63M,,33.33M,380.35M,1.009B,172.98M,41.67M,214.64M,133.31M,347.96M,,,,,,,6.334M,6.334M,,,354.29M,138.00M,,138.00M,10.15M,,10.15M,,,148.15M,502.44M,0.819M,-119.66M,616.78M,,,,8.192M,506.13M
2009-07,174.79M,,174.79M,70.13M,,70.13M,5.215M,58.40M,,63.62M,47.15M,,,142.38M,498.07M,,,,,,,,,27.63M,233.60M,111.57M,345.18M,,15.52M,388.32M,886.40M,72.35M,,72.35M,128.44M,200.79M,,,,,,,25.70M,25.70M,,,226.50M,138.00M,,138.00M,,,,,11.85M,149.85M,376.35M,0.797M,-97.66M,603.75M,,,,3.167M,510.05M
2009-04,179.62M,,179.62M,52.12M,,52.12M,7.366M,66.65M,,74.02M,63.30M,,,149.02M,518.07M,,,,,,,,,28.86M,227.73M,69.84M,297.57M,,10.68M,337.11M,855.18M,68.79M,,68.79M,118.80M,187.58M,,,,,,,25.81M,25.81M,,,213.39M,70.00M,,70.00M,,,,,17.59M,87.59M,300.98M,0.787M,-42.19M,614.86M,,,,-19.26M,554.20M
2009-01,217.84M,,217.84M,60.32M,,60.32M,,70.28M,5.693M,75.97M,74.01M,,,116.71M,544.85M,,,,,,,,,29.36M,225.18M,91.72M,316.90M,,9.648M,355.90M,900.75M,59.49M,,59.49M,130.68M,190.17M,,,,,,,53.84M,53.84M,,,244.01M,70.00M,,70.00M,,,,,34.40M,104.40M,348.41M,0.788M,-32.11M,610.43M,,,,-26.76M,552.34M
2008-10,280.28M,,280.28M,157.46M,,157.46M,8.096M,96.14M,,104.24M,68.37M,,,113.44M,723.77M,0.0,,63.85M,,,22.38M,86.23M,-53.87M,32.36M,230.81M,88.11M,318.92M,,8.294M,359.58M,1.083B,156.17M,13.26M,169.43M,139.83M,309.26M,,,,,,,56.16M,56.16M,,,365.42M,70.00M,,70.00M,26.40M,,26.40M,,6.416M,102.82M,468.23M,0.777M,18.28M,603.58M,,,,-7.513M,615.12M
2008-07,338.70M,,338.70M,106.35M,,106.35M,,65.73M,5.842M,71.57M,70.70M,,,127.81M,715.14M,,,,,,,90.09M,-51.84M,38.25M,240.86M,85.53M,326.38M,,12.79M,377.42M,1.093B,149.53M,,149.53M,162.75M,312.28M,,,,,,,58.33M,64.17M,5.841M,15.87M,392.33M,,,,,,,,,34.66M,426.98M,0.776M,33.23M,594.59M,,,,36.99M,665.58M
2008-04,72.92M,,72.92M,362.76M,,362.76M,,85.89M,5.931M,91.82M,59.15M,,,136.64M,723.30M,,,,,,,91.57M,-51.84M,39.73M,237.25M,78.64M,315.89M,,18.22M,373.83M,1.097B,185.53M,,185.53M,172.11M,357.64M,,,,,,,39.86M,45.70M,5.841M,23.76M,427.10M,16.00M,,16.00M,,,,,58.68M,74.68M,501.77M,0.771M,-18.60M,578.82M,,,,34.36M,595.36M
2008-01,54.39M,,54.39M,63.34M,,63.34M,,72.34M,10.14M,82.49M,58.28M,,,157.15M,415.65M,,,,,,,93.36M,-51.84M,41.52M,233.01M,65.37M,298.38M,,17.54M,357.44M,773.08M,68.10M,,68.10M,95.76M,163.85M,,,,,,,32.53M,38.37M,5.841M,14.05M,216.27M,36.00M,,36.00M,,,,,58.70M,94.70M,310.97M,0.761M,-116.82M,549.56M,,,,28.61M,462.12M
2007-10,77.76M,,77.76M,104.94M,,104.94M,,91.51M,7.819M,99.33M,75.06M,,,141.44M,498.52M,0.0,25.52M,47.48M,23.83M,,,96.83M,-51.84M,44.99M,204.84M,65.73M,270.57M,,17.06M,332.62M,831.14M,128.78M,,128.78M,54.30M,183.08M,,,,,,,36.54M,42.38M,5.841M,86.69M,312.16M,18.00M,,18.00M,,,,,29.83M,47.83M,359.99M,0.743M,-77.75M,513.30M,,,,34.86M,471.15M
2007-07,61.62M,,61.62M,100.43M,,100.43M,4.702M,71.09M,,75.79M,71.37M,,,126.75M,435.96M,,,,,,,84.46M,-38.24M,46.22M,193.09M,66.50M,259.59M,,16.54M,322.35M,758.31M,93.30M,,93.30M,134.57M,227.87M,,,,,,,12.60M,12.60M,,,240.48M,11.00M,,11.00M,,,,,54.31M,65.31M,305.79M,0.74M,-70.68M,505.29M,,,,17.18M,452.53M
