,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2016-12,593.00M,-2.00M,-2.00M,205.00M,54.00M,259.00M,259.00M,-389.00M,194.00M,-50.00M,-1.546B,2.229B,,-1.274B,-641.00M,14.00M,-136.00M,-136.00M,0.00,-518.00M,41.00M,9.782B,-11.00M,208.00M,197.00M,,-363.00M,-363.00M,0.00,,0.00,-182.00M,,-21.00M,-11.97B,3.49B,-2.176B,1.314B,0.00,0.00,-11.00M,-363.00M
2016-09,563.00M,-4.00M,-4.00M,155.00M,55.00M,210.00M,210.00M,63.00M,129.00M,-195.00M,-944.00M,-150.00M,,-2.408B,-3.697B,-2.736B,-149.00M,-149.00M,-437.00M,3.275B,53.00M,-3.266B,-10.00M,-285.00M,-295.00M,,-337.00M,-337.00M,0.00,,0.00,-188.00M,,3.00M,4.819B,4.673B,-1.183B,3.49B,0.00,0.00,-10.00M,-337.00M
2016-06,619.00M,1.00M,1.00M,179.00M,49.00M,228.00M,228.00M,-9.00M,-134.00M,-28.00M,50.00M,567.00M,,866.00M,1.455B,2.16B,-160.00M,-160.00M,,-1.153B,70.00M,-10.31B,1.482B,132.00M,1.614B,,-465.00M,-465.00M,493.00M,,493.00M,-169.00M,,0.00,9.091B,3.735B,938.00M,4.673B,493.00M,1.492B,-10.00M,-465.00M
2016-03,368.00M,-2.00M,-2.00M,183.00M,49.00M,232.00M,232.00M,-23.00M,317.00M,-25.00M,1.293B,-874.00M,,1.566B,1.96B,2.852B,-168.00M,-168.00M,,-1.421B,6.00M,8.027B,-1.41B,-323.00M,-1.733B,,-322.00M,-322.00M,,,,-184.00M,,3.00M,-8.351B,1.207B,2.528B,3.735B,,,-1.41B,-322.00M
2015-12,576.00M,0.00,0.00,160.00M,50.00M,210.00M,210.00M,-156.00M,194.00M,-75.00M,-176.00M,469.00M,,2.337B,2.555B,3.379B,-160.00M,-160.00M,0.00,-3.686B,-2.00M,-4.798B,-253.00M,-5.293B,-5.546B,,-592.00M,-592.00M,0.00,,0.00,-166.00M,0.00,10.00M,-1.034B,3.66B,-2.453B,1.207B,0.00,-12.00M,-241.00M,-592.00M
2015-09,581.00M,2.00M,2.00M,159.00M,48.00M,207.00M,207.00M,-64.00M,227.00M,114.00M,-1.203B,659.00M,,-778.00M,-1.208B,-255.00M,-242.00M,-242.00M,0.00,3.649B,31.00M,46.63B,3.011B,-4.203B,-1.192B,,-216.00M,-216.00M,0.00,,0.00,-181.00M,0.00,14.00M,-45.80B,3.084B,576.00M,3.66B,0.00,2.995B,16.00M,-216.00M
2015-06,418.00M,3.00M,3.00M,149.00M,49.00M,198.00M,198.00M,52.00M,-30.00M,-104.00M,345.00M,-1.499B,,-4.307B,-5.565B,-4.924B,-205.00M,-205.00M,,11.03B,33.00M,-15.85B,-15.00M,1.228B,1.213B,,-349.00M,-349.00M,742.00M,,742.00M,-152.00M,0.00,12.00M,20.70B,3.149B,-65.00M,3.084B,742.00M,0.00,-15.00M,-349.00M
2015-03,405.00M,1.00M,1.00M,136.00M,50.00M,186.00M,186.00M,0.00,188.00M,-39.00M,986.00M,1.527B,,-2.857B,-383.00M,397.00M,-96.00M,-96.00M,,-1.979B,11.00M,-991.00M,-915.00M,1.194B,279.00M,,-585.00M,-585.00M,,,,-156.00M,4.00M,34.00M,1.888B,1.855B,1.294B,3.149B,,,-915.00M,-585.00M
2014-12,477.00M,0.00,0.00,126.00M,60.00M,186.00M,186.00M,77.00M,49.00M,76.00M,-2.065B,2.049B,,-446.00M,-386.00M,403.00M,-129.00M,-129.00M,,1.68B,86.00M,-4.585B,985.00M,-382.00M,603.00M,,-445.00M,-445.00M,728.00M,,728.00M,-143.00M,4.00M,72.00M,1.891B,4.146B,-2.291B,1.855B,728.00M,994.00M,-9.00M,-445.00M
2014-09,560.00M,0.00,0.00,123.00M,54.00M,177.00M,177.00M,10.00M,62.00M,-97.00M,-710.00M,2.038B,,-3.404B,-2.173B,-1.364B,-64.00M,-64.00M,,-300.00M,17.00M,10.57B,-16.00M,205.00M,189.00M,,-441.00M,-441.00M,0.00,,0.00,-145.00M,1.00M,-46.00M,-11.31B,6.247B,-2.101B,4.146B,0.00,0.00,-16.00M,-441.00M
2014-06,622.00M,2.00M,2.00M,129.00M,54.00M,183.00M,183.00M,7.00M,52.00M,-24.00M,598.00M,-509.00M,,-2.437B,-2.372B,-1.506B,-124.00M,-124.00M,,1.015B,28.00M,-19.96B,-506.00M,722.00M,216.00M,,-436.00M,-436.00M,0.00,,0.00,-131.00M,0.00,5.00M,23.84B,3.877B,2.37B,6.247B,0.00,,-506.00M,-436.00M
2014-03,363.00M,-6.00M,-6.00M,99.00M,54.00M,153.00M,153.00M,-34.00M,126.00M,-74.00M,1.542B,34.00M,,-198.00M,1.304B,1.906B,-110.00M,-110.00M,,-398.00M,18.00M,-14.51B,-257.00M,1.03B,773.00M,,-560.00M,-560.00M,742.00M,,742.00M,-120.00M,9.00M,41.00M,13.26B,3.22B,657.00M,3.877B,742.00M,,-257.00M,-560.00M
2013-12,467.00M,0.00,0.00,137.00M,54.00M,191.00M,191.00M,51.00M,30.00M,-29.00M,412.00M,69.00M,,-2.64B,-2.188B,-1.449B,-129.00M,-129.00M,-18.00M,-1.489B,55.00M,-25.52B,986.00M,-2.122B,-1.136B,,-586.00M,-586.00M,0.00,,0.00,-121.00M,12.00M,,26.29B,3.896B,-676.00M,3.22B,0.00,993.00M,-7.00M,-586.00M
2013-09,540.00M,4.00M,4.00M,131.00M,53.00M,184.00M,184.00M,-60.00M,-2.00M,-39.00M,-677.00M,-2.134B,,3.37B,520.00M,1.186B,-31.00M,-31.00M,18.00M,2.269B,18.00M,9.015B,-114.00M,1.345B,1.231B,,-588.00M,-588.00M,0.00,,0.00,-123.00M,17.00M,,-11.78B,5.479B,-1.583B,3.896B,0.00,0.00,-114.00M,-588.00M
2013-06,579.00M,7.00M,7.00M,86.00M,54.00M,140.00M,140.00M,80.00M,108.00M,48.00M,1.132B,607.00M,,-4.844B,-3.057B,-2.143B,-109.00M,-109.00M,,-743.00M,30.00M,-5.701B,1.486B,-3.933B,-2.447B,,-583.00M,-583.00M,0.00,,0.00,-132.00M,32.00M,,8.615B,4.708B,771.00M,5.479B,0.00,1.492B,-6.00M,-583.00M
2013-03,464.00M,-2.00M,-2.00M,107.00M,53.00M,160.00M,160.00M,57.00M,197.00M,-133.00M,-734.00M,639.00M,,-266.00M,-494.00M,382.00M,-119.00M,-119.00M,,2.049B,36.00M,8.116B,-7.00M,3.555B,3.548B,,-472.00M,-472.00M,0.00,,0.00,-110.00M,60.00M,,-6.38B,2.59B,2.118B,4.708B,0.00,,-7.00M,-472.00M
2012-12,470.00M,-21.00M,-21.00M,119.00M,53.00M,172.00M,172.00M,275.00M,719.00M,-37.00M,-591.00M,-703.00M,,249.00M,-1.082B,533.00M,-101.00M,-101.00M,-511.00M,-7.076B,11.00M,-21.87B,985.00M,-376.00M,609.00M,,-493.00M,-493.00M,0.00,,0.00,-122.00M,-385.00M,,17.50B,6.432B,-3.842B,2.59B,0.00,998.00M,-13.00M,-493.00M
2012-09,674.00M,-18.00M,-18.00M,74.00M,46.00M,120.00M,120.00M,11.00M,-362.00M,-19.00M,1.165B,-1.012B,,1.904B,2.038B,2.463B,-111.00M,-111.00M,0.00,-775.00M,36.00M,-3.112B,-6.00M,-1.495B,-1.501B,,-499.00M,-499.00M,488.00M,,488.00M,-122.00M,109.00M,,993.00M,6.088B,344.00M,6.432B,488.00M,0.00,-6.00M,-499.00M
2012-06,490.00M,27.00M,27.00M,43.00M,48.00M,91.00M,91.00M,-133.00M,-2.00M,52.00M,-310.00M,877.00M,,-2.778B,-2.159B,-1.686B,-58.00M,-58.00M,0.00,-1.584B,43.00M,-6.392B,-1.756B,1.461B,-295.00M,,-480.00M,-480.00M,,,,-124.00M,91.00M,,12.78B,1.383B,4.705B,6.088B,,0.00,-1.756B,-480.00M
2012-03,427.00M,-11.00M,-11.00M,55.00M,51.00M,106.00M,106.00M,78.00M,-31.00M,-144.00M,-514.00M,478.00M,,234.00M,54.00M,623.00M,-85.00M,-85.00M,,-2.255B,26.00M,26.78B,-6.00M,-1.177B,-1.183B,,-69.00M,-69.00M,,,,-95.00M,238.00M,,-28.22B,2.193B,-810.00M,1.383B,,,-6.00M,-69.00M
2011-12,381.00M,-42.00M,-42.00M,102.00M,51.00M,153.00M,153.00M,314.00M,-47.00M,110.00M,-2.33B,3.736B,1.134B,-260.00M,2.39B,3.149B,-89.00M,-89.00M,-137.00M,-2.654B,7.00M,-24.57B,-12.00M,-7.833B,-7.845B,,-228.00M,-228.00M,0.00,,0.00,-96.00M,9.00M,,14.13B,9.487B,-7.294B,2.193B,0.00,0.00,-12.00M,-228.00M
2011-09,555.00M,-5.00M,-5.00M,46.00M,50.00M,96.00M,96.00M,-81.00M,610.00M,-61.00M,-1.212B,3.373B,-1.199B,210.00M,1.111B,2.286B,-17.00M,-17.00M,0.00,-1.372B,86.00M,-9.921B,-1.456B,4.737B,3.281B,,-227.00M,-227.00M,0.00,,0.00,-96.00M,3.00M,,12.55B,4.572B,4.915B,9.487B,0.00,0.00,-1.456B,-227.00M
2011-06,513.00M,-27.00M,-27.00M,60.00M,50.00M,110.00M,110.00M,-25.00M,340.00M,1.332B,2.198B,-5.987B,-894.00M,226.00M,-3.125B,-2.214B,-103.00M,-103.00M,0.00,-2.921B,180.00M,-13.81B,-6.00M,285.00M,279.00M,,-226.00M,-226.00M,0.00,,0.00,-98.00M,7.00M,,17.96B,2.637B,1.935B,4.572B,0.00,0.00,-6.00M,-226.00M
2011-03,471.00M,7.00M,7.00M,10.00M,49.00M,59.00M,59.00M,10.00M,-622.00M,-1.47B,1.197B,147.00M,959.00M,-605.00M,228.00M,153.00M,-89.00M,-89.00M,-77.00M,-7.592B,14.00M,-5.594B,974.00M,-5.744B,-4.77B,,-57.00M,-57.00M,500.00M,,500.00M,-5.00M,30.00M,,4.767B,3.311B,-674.00M,2.637B,500.00M,1.986B,-1.012B,-57.00M
2010-12,83.00M,348.00M,348.00M,-49.00M,47.00M,-2.00M,-2.00M,1.035B,-209.00M,34.00M,,1.723B,-1.018B,,-1.424B,-169.00M,-105.00M,-105.00M,-86.00M,4.212B,37.00M,9.194B,-6.00M,-3.595B,-3.601B,,-4.00M,-4.00M,,,0.00,-5.00M,2.00M,,-10.30B,4.583B,-1.272B,3.311B,,,7.632B,-4.00M
2010-09,546.00M,-17.00M,-17.00M,-111.00M,52.00M,-59.00M,-59.00M,84.00M,-1.873B,-1.001B,,-1.337B,1.247B,,-1.091B,-2.41B,-78.00M,-78.00M,-6.00M,2.499B,25.00M,-4.984B,-2.00M,-2.618B,-2.62B,,-1.00M,-1.00M,,,0.00,-5.00M,0.00,,6.665B,5.312B,-729.00M,4.583B,,,-7.64B,-1.00M
2010-06,432.00M,50.00M,50.00M,-101.00M,46.00M,-55.00M,-55.00M,16.00M,1.372B,797.00M,,-1.00M,-1.012B,,-216.00M,1.599B,-54.00M,-54.00M,-2.24B,-5.376B,164.00M,-3.939B,-310.00M,460.00M,150.00M,,0.00,0.00,,,0.00,-5.00M,3.00M,,5.555B,2.097B,3.215B,5.312B,,,-310.00M,0.00
2010-03,495.00M,-95.00M,-95.00M,-148.00M,34.00M,-114.00M,-114.00M,109.00M,690.00M,-66.00M,,1.00M,783.00M,,718.00M,1.803B,-25.00M,-25.00M,0.00,1.551B,137.00M,2.921B,-23.00M,-5.48B,-5.503B,,-39.00M,-39.00M,,,0.00,-5.00M,5.00M,,-5.268B,2.641B,-544.00M,2.097B,,,-23.00M,-39.00M
2009-12,498.00M,-57.00M,-57.00M,,,2.31B,2.31B,,-2.005B,,,,,,1.601B,386.00M,-154.00M,-154.00M,0.00,-5.55B,6.174B,1.203B,-2.00M,-2.289B,-2.291B,2.231B,0.00,2.231B,,0.00,0.00,-4.00M,4.00M,-2.231B,-3.975B,5.027B,-2.386B,2.641B,2.231B,0.00,-2.291B,0.00
2009-09,327.00M,-42.00M,6.327B,,,-2.631B,-2.631B,,-3.611B,,,,,,-23.00M,389.00M,178.00M,178.00M,,-4.036B,-5.748B,-5.886B,-9.00M,397.00M,388.00M,-2.257B,-60.00M,-2.317B,,-2.00B,-2.00B,-5.00M,30.00M,4.193B,6.48B,4.044B,983.00M,5.027B,-2.257B,0.00,388.00M,-2.06B
2009-06,-3.182B,-26.00M,-7.581B,,,23.00M,23.00M,,3.724B,,,,,,4.745B,-2.271B,-209.00M,-209.00M,0.00,4.459B,695.00M,7.058B,494.00M,-6.656B,-6.162B,2.254B,,2.254B,,,,-35.00M,,32.93B,-4.282B,3.539B,505.00M,4.044B,2.254B,-3.148B,-3.014B,
2009-03,476.00M,-16.00M,1.17B,,,-23.00M,-23.00M,,,,,,,,-4.358B,-2.735B,-140.00M,-140.00M,,1.273B,5.42B,29.26B,3.923B,-1.657B,2.266B,3.00M,,3.00M,,,,-124.00M,,-34.93B,-26.16B,3.181B,358.00M,3.539B,3.00M,7.583B,-5.317B,
2008-12,256.00M,51.00M,-3.537B,,,-745.00M,-745.00M,,,,,,,,5.517B,1.491B,-283.00M,-283.00M,-76.00M,76.21B,-5.794B,51.22B,-5.00M,-70.34B,-70.34B,1.00M,,1.00M,,,,-117.00M,,,-107.10B,58.26B,-54.39B,3.181B,1.00M,-70.34B,-5.00M,
2008-09,477.00M,3.00M,2.575B,,,132.00M,132.00M,,,,,,,,-6.021B,-2.837B,-114.00M,-114.00M,464.00M,-80.22B,39.00M,-75.87B,-29.00M,78.88B,78.86B,12.00M,,12.00M,,,0.00,-103.00M,,,132.39B,4.587B,53.68B,58.26B,12.00M,78.88B,-29.00M,
2008-06,548.00M,-9.00M,-1.843B,,,159.00M,159.00M,,2.132B,,,,,,270.00M,1.266B,-126.00M,-126.00M,38.00M,298.00M,7.223B,1.412B,-5.00M,344.00M,339.00M,2.873B,,2.77B,,,,-90.00M,,,-4.44B,6.349B,-1.762B,4.587B,2.873B,753.00M,-5.00M,
2008-03,530.00M,9.00M,9.00M,,,172.00M,172.00M,,-2.132B,,,,,,-455.00M,-1.876B,-158.00M,-158.00M,,834.00M,-7.008B,-6.332B,488.00M,409.00M,897.00M,,,103.00M,,,,-89.00M,,,9.824B,4.733B,1.616B,6.349B,,493.00M,-5.00M,
2007-12,223.00M,-13.00M,-13.00M,,,-230.00M,-230.00M,,1.467B,,,,,,715.00M,2.162B,-129.00M,-129.00M,-4.00M,-2.829B,-3.331B,-6.293B,-5.00M,1.497B,1.492B,,,61.00M,,,,-85.00M,,,4.254B,4.61B,123.00M,4.733B,,0.00,-5.00M,
2007-09,358.00M,6.00M,6.00M,,,360.00M,360.00M,,412.00M,,,,,64.00M,-456.00M,680.00M,-116.00M,-116.00M,-73.00M,1.31B,-3.144B,-3.45B,-520.00M,-4.492B,-5.012B,-106.00M,,-984.00M,,,,-76.00M,,,2.529B,4.851B,-241.00M,4.61B,-106.00M,0.00,-520.00M,
2007-06,366.00M,1.00M,1.00M,,,-190.00M,-190.00M,,-73.00M,,,,,-64.00M,176.00M,280.00M,-84.00M,-84.00M,-23.00M,-1.978B,717.00M,59.00M,1.484B,-6.674B,-5.19B,106.00M,,38.00M,,,,-70.00M,,,1.214B,3.298B,1.553B,4.851B,106.00M,1.488B,-4.00M,
2007-03,314.00M,-1.00M,-1.00M,,,190.00M,190.00M,,-446.00M,,,,,,-240.00M,-183.00M,-147.00M,-147.00M,-547.00M,-304.00M,-710.00M,-1.708B,-4.00M,1.875B,1.871B,,,68.00M,,,,-70.00M,,,2.821B,2.368B,930.00M,3.298B,,,-4.00M,
2006-12,309.00M,-1.00M,-1.00M,,,65.00M,65.00M,,311.00M,,,,,,130.00M,814.00M,-47.00M,-47.00M,,363.00M,3.685B,4.001B,-4.00M,-8.10B,-8.104B,,,49.00M,,,,-66.00M,,,-5.929B,3.482B,-1.114B,2.368B,,,-4.00M,
2006-09,294.00M,-3.00M,-3.00M,,,320.00M,320.00M,,-542.00M,,,,,178.00M,-131.00M,-62.00M,-86.00M,-86.00M,,-9.48B,-197.00M,-9.089B,-4.00M,8.21B,8.206B,-125.00M,368.00M,19.00M,,,,-66.00M,,,8.053B,4.58B,-1.098B,3.482B,-125.00M,,-4.00M,368.00M
2006-06,211.00M,-14.00M,-14.00M,,,-108.00M,-108.00M,,-225.00M,,,,,-178.00M,123.00M,-13.00M,-67.00M,-67.00M,0.00,2.542B,1.689B,3.49B,-4.00M,-3.831B,-3.835B,125.00M,-368.00M,-160.00M,,,,-64.00M,,,-2.302B,3.405B,1.175B,4.58B,125.00M,,-4.00M,-368.00M
2006-03,292.00M,3.00M,3.00M,,,108.00M,108.00M,,140.00M,,,,,,-301.00M,242.00M,-110.00M,-110.00M,,-2.827B,-1.656B,-4.593B,-4.00M,3.068B,3.064B,,,-83.00M,,,,-63.00M,,,5.072B,2.684B,721.00M,3.405B,,,-4.00M,
2005-12,249.00M,2.00M,-14.00M,,,154.00M,154.00M,,-571.00M,,,,,,-708.00M,-890.00M,-78.00M,-78.00M,0.00,1.422B,4.849B,6.193B,236.00M,-1.819B,-1.583B,,,154.00M,,,,-59.00M,,,-5.253B,2.634B,50.00M,2.684B,,,-359.00M,
2005-09,143.00M,-1.00M,-1.00M,,,79.00M,79.00M,,860.00M,,,,,,749.00M,1.83B,-83.00M,-83.00M,-41.00M,-4.756B,-1.478B,-6.358B,-4.00M,-568.00M,-572.00M,,,-62.00M,,,,-61.00M,,,696.00M,6.466B,-3.832B,2.634B,,,-4.00M,
2005-06,220.00M,-1.00M,-1.00M,,,117.00M,117.00M,,949.00M,,,,,,-284.00M,1.001B,-68.00M,-68.00M,-2.00M,-5.383B,3.946B,-1.507B,-4.00M,428.00M,424.00M,,,-62.00M,,,,-55.00M,,,4.046B,2.926B,3.54B,6.466B,,,-4.00M,
2005-03,226.00M,1.00M,1.00M,,,149.00M,149.00M,,-58.00M,,,,,,224.00M,542.00M,-85.00M,-85.00M,,-4.455B,260.00M,-4.28B,-3.00M,1.618B,1.615B,,,-118.00M,,,,-57.00M,,,4.629B,2.035B,891.00M,2.926B,,,-3.00M,
2004-12,184.00M,-7.00M,-7.00M,,,103.00M,103.00M,,-1.268B,,,,,,-72.00M,-1.06B,-81.00M,-81.00M,-29.00M,-5.208B,9.777B,4.459B,-3.00M,-4.424B,-4.427B,,,-126.00M,,,,-55.00M,,,-7.422B,6.058B,-4.023B,2.035B,,6.00M,-9.00M,
2004-09,177.00M,0.00,0.00,,,176.00M,176.00M,,-135.00M,,,,,,-225.00M,-7.00M,-87.00M,-87.00M,0.00,-1.472B,-1.577B,-3.136B,83.00M,2.994B,3.077B,,,19.00M,,,,-53.00M,,,5.613B,3.588B,2.47B,6.058B,,-6.00M,89.00M,
2004-06,220.00M,-16.00M,-16.00M,,,165.00M,165.00M,,854.00M,,,,,,-101.00M,1.122B,-67.00M,-67.00M,-61.00M,803.00M,-2.143B,-1.468B,-1.00M,-239.00M,-240.00M,,,13.00M,,,,-51.00M,,,1.555B,2.379B,1.209B,3.588B,,,-1.00M,
2004-03,217.00M,-3.00M,-3.00M,,,195.00M,195.00M,,-106.00M,,,,,,58.00M,361.00M,-101.00M,-101.00M,-10.00M,-1.779B,-5.42B,-7.31B,-88.00M,66.00M,-22.00M,,,29.00M,,,,-50.00M,,,5.952B,3.376B,-997.00M,2.379B,,,-88.00M,
2003-12,447.00M,6.00M,-339.00M,,,276.00M,276.00M,,7.00M,,,,,,654.00M,1.045B,-68.00M,-68.00M,-37.00M,-4.27B,2.128B,-2.247B,6.00M,-253.00M,-247.00M,,,32.00M,,,,-47.00M,,,2.887B,1.691B,1.685B,3.376B,,0.00,6.00M,
