,NetIncome,GainandLossonSaleofPPE,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2013-03,39.80M,,,,21.90M,21.90M,16.20M,1.80M,-1.80M,-0.70M,-10.00M,-17.90M,1.60M,-26.00M,,,-81.60M,-133.90M,,-56.70M,,-16.30M,,-16.30M,-69.70M,,,-86.00M,,140.10M,,140.10M,,0.00,0.00,4.80M,1.00M,145.90M,,45.80M,3.20M,,49.00M,,,140.10M,,0.00,,AOR,Restated
2012-12,46.80M,,,,21.90M,21.90M,-16.10M,2.10M,-3.70M,1.60M,-1.40M,6.10M,2.70M,32.80M,,,31.10M,71.30M,,121.60M,,-22.30M,,-22.30M,1.10M,,-1.00M,-22.20M,,-89.00M,,-89.00M,,,,7.70M,3.20M,-78.10M,,24.20M,21.30M,,45.80M,,,-89.00M,,,,AOR,Restated
2012-09,43.10M,,,,21.50M,21.50M,2.20M,2.30M,-1.30M,1.90M,-7.50M,-1.00M,-2.10M,-4.20M,,,-36.60M,-51.40M,,18.30M,,-15.30M,,-15.30M,-326.10M,,1.00M,-340.40M,,313.30M,,313.30M,,,,2.80M,4.10M,320.20M,,26.10M,-1.90M,,24.20M,,,313.30M,,,,AOR,Restated
2012-06,39.60M,,,,18.10M,18.10M,6.40M,2.10M,-0.50M,-0.90M,-4.40M,1.00M,0.60M,2.40M,,,4.60M,4.20M,,69.00M,,-17.10M,,-17.10M,-28.20M,,,-45.30M,,-83.20M,,-83.20M,,,,1.70M,-1.00M,-82.50M,,84.90M,-58.80M,,26.10M,,,-83.20M,,,,AOR,Restated
2012-03,35.60M,,,,16.80M,16.80M,-10.40M,1.50M,-2.90M,1.20M,-15.20M,-12.90M,-1.10M,16.50M,,,-48.80M,-61.50M,,-19.70M,,-10.60M,,-10.60M,-34.90M,,,-45.50M,,88.10M,,88.10M,,,,7.70M,4.90M,100.70M,,49.40M,35.50M,,84.90M,,,88.10M,,,,AOR,Restated
2011-12,36.70M,,,,16.80M,16.80M,15.60M,,-2.00M,1.30M,10.70M,10.10M,-0.80M,-17.10M,,,2.70M,5.60M,0.00,79.80M,,-14.10M,,-14.10M,-49.90M,,,-64.00M,,,,23.60M,,,,3.90M,3.10M,-4.30M,,37.90M,11.50M,,49.40M,,,,,,,AOR,Restated
2011-09,218.50M,,,,16.70M,16.70M,4.70M,,-2.00M,-183.00M,-2.40M,-1.60M,0.10M,0.60M,,,1.30M,-2.00M,0.00,52.90M,,-9.70M,,-9.70M,-4.20M,,,-13.90M,,,,-36.70M,,,,3.30M,-0.90M,-34.30M,,33.20M,4.70M,,37.90M,,,,,,,AOR,Restated
2011-06,-145.60M,,,,16.80M,16.80M,-2.80M,,-0.50M,185.90M,20.20M,-15.90M,4.00M,54.00M,,,-35.90M,26.40M,0.10M,80.30M,,-11.40M,,-11.40M,187.90M,,,176.40M,,,,-253.50M,,,,1.90M,-1.80M,-253.40M,,29.90M,3.30M,,33.20M,,,,,,,AOR,Restated
2011-03,32.50M,,,,13.90M,13.90M,10.60M,,-2.70M,1.40M,-5.50M,-3.50M,-4.90M,7.30M,,,-42.50M,-49.10M,-3.00M,3.60M,,-6.50M,,-6.50M,-363.50M,,,-370.40M,,,,313.20M,,,,5.70M,2.70M,321.60M,,75.10M,-45.20M,,29.90M,,,,,,,AOR,Restated
2010-12,37.00M,,,,12.00M,12.00M,21.50M,,-0.60M,-0.50M,5.20M,19.60M,1.90M,-33.10M,,,-7.70M,-14.10M,7.70M,67.90M,,-15.40M,,-15.40M,-4.70M,,,-20.60M,,250.00M,,-1.50M,,,,1.60M,0.60M,0.70M,,27.10M,48.00M,,75.10M,,,,,,,AOR,Restated
2010-09,30.00M,,,,11.80M,11.80M,0.90M,,-0.20M,1.10M,0.50M,-13.60M,-2.30M,-12.90M,,,2.20M,-26.10M,6.30M,23.80M,,-6.10M,,-6.10M,-46.60M,,,-53.40M,,14.20M,,19.30M,,,,0.70M,0.20M,20.20M,,36.50M,-9.40M,,27.10M,,,,,,,AOR,Restated
2010-06,28.00M,,,,10.80M,10.80M,-1.80M,,-0.30M,1.20M,-1.20M,6.10M,3.50M,-2.10M,,,0.70M,7.00M,2.20M,47.10M,,-4.60M,,-4.60M,-12.10M,,,-17.40M,,-14.20M,,-23.90M,,,,0.60M,-0.30M,-23.60M,,30.40M,6.10M,,36.50M,,,,,,,AOR,Restated
2010-03,25.00M,,,,10.60M,10.60M,-3.50M,,-0.40M,1.30M,-23.50M,-10.80M,0.80M,6.90M,,,-1.90M,-28.50M,-1.50M,3.00M,,-4.90M,,-4.90M,-4.50M,,,-9.80M,,,,9.70M,,,,1.00M,0.40M,11.10M,,26.10M,4.30M,,30.40M,,,,,,,AOR,Restated
2009-12,34.80M,-0.20M,,-0.20M,9.30M,9.30M,21.10M,,-0.50M,1.30M,18.40M,4.20M,1.20M,-108.20M,,101.10M,2.80M,19.50M,,79.80M,,-6.70M,-0.10M,-6.80M,-0.20M,,,-15.10M,,-61.30M,,-61.30M,,0.00,0.00,0.60M,0.50M,-60.20M,,21.60M,4.50M,,26.10M,,,0.00,-61.30M,0.00,,AOR,Restated
2009-09,35.20M,0.00,,0.00,10.20M,10.20M,20.60M,,-0.20M,1.40M,10.00M,5.30M,0.60M,67.80M,,-101.10M,-2.90M,-20.30M,,46.90M,,-9.30M,0.10M,-9.20M,-19.60M,,,-28.80M,,-21.10M,0.00,-21.10M,,0.00,0.00,0.30M,0.20M,-20.60M,,24.10M,-2.50M,,21.60M,,,-0.80M,-20.30M,0.00,,AOR,Restated
2009-06,25.60M,0.20M,-0.20M,0.00,11.30M,11.30M,14.30M,,-0.10M,1.60M,5.00M,7.30M,1.70M,-31.20M,,,0.30M,-16.90M,,35.80M,,-4.40M,0.00,-4.40M,-1.70M,,,-6.10M,,-27.60M,0.00,-27.60M,,0.00,0.00,0.10M,0.10M,-27.40M,,21.80M,2.30M,,24.10M,,,-27.60M,0.00,0.00,,AOR,Restated
2009-03,20.80M,,0.20M,0.20M,11.70M,11.70M,3.50M,,0.00,1.60M,4.70M,1.40M,0.90M,-57.20M,,,4.80M,-45.40M,,-7.60M,,-13.10M,,-13.10M,-5.60M,,,-18.70M,,28.40M,,28.40M,,-0.80M,-0.80M,0.10M,,27.70M,,20.40M,1.40M,,21.80M,,,28.40M,,-0.80M,,AOR,Restated
