,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,3.067B,137.00M,3.204B,1.252B,469.00M,1.721B,213.60M,16.10M,134.30M,,339.90M,131.20M,,,5.396B,,,,,,,20.52B,-11.70B,8.818B,815.00M,444.40M,1.259B,1.306B,,1.128B,603.60M,13.11B,18.51B,,2018-03,1.552B,,76.60M,1.628B,,1.628B,,,,124.10M,,124.10M,,,,1.752B,,3.442B,699.70M,,699.70M,,,1.924B,6.066B,7.818B,,2018-03,249.40M,12.97B,1.011B,2.111B,,,-1.535B,10.58B,,2018-03,AOR,Restated
2017-12,2.723B,407.10M,3.130B,1.233B,457.10M,1.690B,218.60M,17.80M,135.10M,,347.40M,177.70M,,,5.356B,,,,,,,20.04B,-11.41B,8.632B,790.80M,429.10M,1.220B,1.258B,,1.126B,617.50M,12.85B,18.21B,,2017-12,1.610B,,110.10M,1.720B,,1.720B,,,,98.40M,,98.40M,,,13.60M,1.832B,,3.415B,719.20M,,719.20M,,,1.922B,6.056B,7.888B,,2017-12,249.40M,12.79B,998.10M,2.129B,,,-1.696B,10.22B,,2017-12,AOR,Restated
2017-09,3.274B,404.00M,3.678B,1.174B,366.10M,1.540B,223.00M,15.70M,120.00M,,335.40M,191.40M,,28.10M,5.877B,0.00,231.00M,977.80M,17.52B,,817.90M,19.55B,-11.11B,8.440B,721.50M,368.30M,1.090B,1.287B,,1.328B,212.50M,12.59B,18.47B,,2017-09,659.50M,207.50M,98.60M,965.60M,389.90M,1.356B,,144.00M,416.40M,560.40M,,560.40M,438.90M,438.90M,111.60M,2.489B,216.30M,3.402B,778.40M,39.00M,817.40M,860.10M,,300.80M,5.793B,8.282B,,2017-09,249.40M,12.85B,1.001B,2.164B,,,-1.847B,10.09B,,2017-09,AOR,Restated
2017-06,2.333B,1.016B,3.349B,1.101B,515.00M,1.616B,180.20M,15.00M,113.20M,,293.30M,79.00M,,,5.347B,,,,,,,19.18B,-10.86B,8.317B,705.10M,363.80M,1.069B,1.245B,,1.139B,736.90M,12.51B,17.85B,,2017-06,1.534B,,323.00M,1.857B,,1.857B,,,,559.40M,,559.40M,,,16.50M,2.433B,,3.367B,634.10M,,634.10M,,,1.91B,5.911B,8.344B,,2017-06,249.40M,12.58B,986.40M,2.190B,,,-2.217B,9.412B,,2017-06,AOR,Restated
2017-03,1.869B,1.423B,3.292B,1.176B,430.80M,1.607B,189.40M,17.40M,131.10M,,322.80M,61.90M,,,5.294B,,,,,,,18.72B,-10.52B,8.198B,827.20M,377.60M,1.205B,1.296B,,1.148B,730.20M,12.58B,17.87B,,2017-03,1.491B,,544.80M,2.035B,,2.035B,,,,542.80M,,542.80M,,,24.10M,2.602B,,3.300B,650.70M,,650.70M,,,1.898B,5.849B,8.451B,,2017-03,249.40M,12.69B,975.50M,2.206B,,,-2.394B,9.317B,,2017-03,AOR,Restated
2016-12,655.50M,,655.50M,1.063B,570.50M,1.634B,202.00M,17.30M,126.50M,,330.70M,68.60M,,,3.549B,,,,,,,18.27B,-10.24B,8.030B,811.10M,376.70M,1.188B,1.255B,,1.163B,772.00M,12.41B,15.96B,,2016-12,1.678B,,133.70M,1.811B,,1.811B,,,,1.029B,,1.029B,,,89.20M,2.930B,,3.289B,679.00M,,679.00M,,,1.797B,5.765B,8.695B,,2016-12,249.40M,10.77B,967.50M,2.215B,,,-2.612B,7.162B,,2016-12,AOR,Restated
2016-09,1.293B,0.00,1.293B,1.146B,334.50M,1.481B,117.10M,18.30M,131.30M,,255.00M,186.70M,,6.20M,4.317B,0.00,202.90M,918.60M,16.21B,,1.326B,18.66B,-10.40B,8.260B,845.10M,387.90M,1.233B,1.284B,,1.239B,1.234B,13.71B,18.03B,,2016-09,578.80M,186.90M,117.90M,883.60M,406.30M,1.290B,802.70M,133.10M,365.40M,1.301B,,1.301B,371.20M,371.20M,285.30M,3.283B,186.40M,3.910B,710.40M,43.80M,754.20M,1.334B,,136.00M,7.532B,10.82B,,2016-09,249.40M,10.48B,970.00M,2.227B,,,-2.388B,7.080B,,2016-09,AOR,Restated
2016-06,514.80M,,514.80M,1.563B,590.60M,2.154B,219.90M,35.80M,447.90M,,611.10M,80.30M,,,3.379B,,,,,,,19.97B,-11.17B,8.799B,1.135B,491.20M,1.626B,1.270B,,1.246B,763.70M,13.70B,17.08B,,2016-06,1.778B,,101.40M,1.879B,,1.879B,,,,1.758B,,1.758B,,,21.40M,3.659B,,3.926B,904.60M,,904.60M,,,1.414B,6.244B,9.903B,,2016-06,249.40M,10.27B,935.40M,2.282B,,,-2.126B,7.045B,,2016-06,AOR,Restated
2016-03,313.10M,,313.10M,1.373B,589.50M,1.963B,229.60M,38.10M,474.70M,,649.80M,85.10M,,,3.031B,,,,,,,19.96B,-11.11B,8.854B,1.151B,499.90M,1.650B,1.264B,,1.292B,719.20M,13.78B,16.81B,,2016-03,1.471B,,77.20M,1.548B,,1.548B,,,,2.245B,,2.245B,,,46.50M,3.839B,,3.573B,882.60M,,882.60M,,,1.463B,5.919B,9.758B,,2016-03,249.40M,10.11B,919.60M,2.314B,,,-2.047B,6.917B,,2016-03,AOR,Restated
2015-12,279.10M,,279.10M,1.288B,486.60M,1.775B,244.60M,31.30M,483.90M,,665.60M,59.20M,,,2.779B,,,,,,,20.44B,-10.82B,9.619B,1.115B,491.00M,1.606B,1.262B,,1.319B,674.10M,14.48B,17.26B,,2015-12,1.534B,,91.60M,1.625B,,1.625B,,,,1.947B,,1.947B,,,,3.572B,,3.870B,831.20M,,831.20M,,,1.487B,6.189B,9.761B,,2015-12,249.40M,10.77B,901.90M,2.344B,,,-2.209B,7.367B,,2015-12,AOR,Restated
2015-09,206.40M,,206.40M,1.406B,362.60M,1.769B,229.30M,34.40M,494.90M,,657.80M,67.00M,,18.80M,2.794B,0.00,226.20M,1.080B,16.78B,,1.374B,19.46B,-10.72B,8.745B,1.131B,508.30M,1.640B,1.266B,,1.372B,1.099B,14.54B,17.33B,,2015-09,621.90M,174.40M,55.80M,852.10M,509.40M,1.362B,1.26B,234.30M,435.60M,1.930B,,1.930B,195.30M,195.30M,131.60M,3.644B,178.10M,3.949B,803.40M,135.10M,938.50M,1.043B,,119.50M,6.309B,9.953B,,2015-09,249.40M,10.58B,904.70M,2.360B,,,-2.126B,7.249B,,2015-09,AOR,Restated
2015-06,215.30M,,215.30M,1.441B,700.90M,2.142B,248.20M,32.20M,514.70M,,681.90M,63.40M,,,3.102B,,,,,,,20.47B,-10.75B,9.721B,1.164B,541.50M,1.705B,1.244B,,1.375B,523.80M,14.57B,17.67B,,2015-06,1.701B,,45.60M,1.746B,,1.746B,,,,1.173B,,1.173B,,,,2.919B,,4.690B,1.030B,,1.030B,,277.90M,1.022B,7.021B,9.940B,,2015-06,249.40M,10.41B,889.30M,2.385B,,,-1.578B,7.586B,,2015-06,AOR,Restated
2015-03,195.70M,,195.70M,1.381B,729.20M,2.111B,259.40M,36.30M,509.20M,,693.30M,114.90M,,,3.114B,,,,,,,19.98B,-10.50B,9.486B,1.155B,553.40M,1.709B,1.224B,,1.374B,586.80M,14.38B,17.49B,,2015-03,1.607B,,55.70M,1.663B,,1.663B,,,,1.419B,,1.419B,,,,3.081B,,4.512B,1.102B,,1.102B,,280.00M,1.043B,6.936B,10.02B,,2015-03,249.40M,10.27B,877.70M,2.400B,,,-1.662B,7.332B,,2015-03,AOR,Restated
2014-12,238.80M,,238.80M,1.430B,681.90M,2.112B,273.60M,37.60M,506.30M,,709.70M,76.40M,,,3.137B,,,,,,,20.26B,-10.65B,9.608B,1.201B,585.20M,1.786B,1.252B,,1.398B,454.90M,14.50B,17.64B,,2014-12,1.585B,,79.10M,1.664B,,1.664B,,,,1.338B,,1.338B,,,,3.002B,,4.751B,1.020B,,1.020B,,288.70M,1.071B,7.130B,10.13B,,2014-12,249.40M,10.15B,852.80M,2.432B,,,-1.471B,7.352B,,2014-12,AOR,Restated
2014-09,336.60M,,336.60M,1.486B,423.20M,1.909B,283.40M,34.10M,493.90M,,706.00M,87.80M,136.00M,12.60M,3.295B,0.00,236.60M,1.105B,17.12B,,1.763B,20.22B,-10.69B,9.532B,1.237B,615.80M,1.853B,1.258B,,1.45B,138.80M,14.48B,17.78B,,2014-09,740.60M,164.10M,78.00M,982.70M,383.30M,1.366B,908.00M,320.70M,65.30M,1.294B,,1.294B,172.10M,172.10M,82.50M,2.963B,172.40M,4.824B,995.50M,57.60M,1.053B,799.60M,287.20M,154.50M,7.295B,10.26B,,2014-09,249.40M,9.993B,842.00M,2.477B,,,-1.242B,7.366B,,2014-09,AOR,Restated
2014-06,337.60M,,337.60M,1.613B,583.70M,2.196B,234.30M,37.90M,514.50M,,690.20M,115.60M,,,3.340B,,,,,,,20.45B,-10.87B,9.579B,1.612B,665.60M,2.278B,1.256B,,1.437B,426.30M,14.98B,18.32B,,2014-06,1.892B,,78.80M,1.971B,,1.971B,,,,1.185B,,1.185B,,,,3.156B,,4.951B,858.30M,,858.30M,,341.40M,1.153B,7.304B,10.46B,,2014-06,249.40M,10.05B,828.80M,2.510B,,,-924.50M,7.697B,,2014-06,AOR,Restated
2014-03,356.90M,,356.90M,1.614B,565.90M,2.180B,224.40M,35.50M,501.90M,,665.30M,98.10M,,,3.300B,,,,,,,19.95B,-10.64B,9.312B,1.614B,674.10M,2.288B,1.230B,,1.440B,392.60M,14.66B,17.96B,,2014-03,1.860B,,76.60M,1.936B,,1.936B,,,,1.174B,,1.174B,,,,3.110B,,4.993B,826.50M,,826.50M,,343.60M,1.162B,7.325B,10.44B,,2014-03,249.40M,9.904B,813.20M,2.562B,,,-1.035B,7.371B,,2014-03,AOR,Restated
2013-12,387.60M,,387.60M,1.561B,568.20M,2.129B,234.90M,37.70M,517.20M,,693.40M,119.70M,,,3.330B,,,,,,,19.86B,-10.71B,9.152B,1.643B,700.50M,2.343B,1.213B,,1.478B,398.90M,14.59B,17.92B,,2013-12,1.921B,,76.30M,1.998B,,1.998B,,,,1.148B,,1.148B,,,,3.145B,,5.021B,831.60M,,831.60M,,358.70M,1.136B,7.347B,10.49B,,2013-12,249.40M,9.785B,805.00M,2.609B,,,-966.90M,7.264B,,2013-12,AOR,Restated
2013-09,450.40M,,450.40M,1.544B,423.60M,1.968B,234.90M,38.70M,527.30M,,706.10M,121.10M,115.30M,14.00M,3.439B,0.00,240.50M,1.076B,16.92B,,1.294B,19.53B,-10.56B,8.974B,1.654B,717.30M,2.371B,1.196B,,1.515B,147.80M,14.41B,17.85B,,2013-09,1.026B,150.00M,63.00M,1.238B,553.60M,1.792B,491.00M,218.90M,507.40M,1.217B,,1.217B,162.70M,162.70M,29.90M,3.228B,165.60M,5.056B,827.20M,31.00M,858.20M,802.30M,375.80M,151.60M,7.424B,10.65B,,2013-09,249.40M,9.646B,799.20M,2.632B,,,-1.021B,7.042B,,2013-09,AOR,Restated
2013-06,418.80M,,418.80M,1.616B,594.50M,2.210B,234.40M,35.50M,530.80M,,705.90M,137.10M,,,3.481B,,,,,,,18.87B,-10.20B,8.666B,1.615B,716.90M,2.332B,1.203B,,1.442B,367.70M,14.01B,17.49B,,2013-06,1.811B,,61.50M,1.872B,,1.872B,,,,1.482B,,1.482B,,,3.10M,3.358B,,4.648B,714.70M,,714.70M,,371.80M,1.708B,7.442B,10.80B,,2013-06,249.40M,9.660B,802.50M,2.738B,,,-1.433B,6.541B,,2013-06,AOR,Restated
2013-03,401.60M,,401.60M,1.519B,616.90M,2.136B,238.00M,36.20M,548.70M,,728.10M,100.10M,,,3.379B,,,,,,,18.55B,-10.06B,8.489B,1.596B,734.30M,2.33B,1.198B,,1.429B,395.60M,13.84B,17.22B,,2013-03,1.823B,,56.90M,1.880B,,1.880B,,,,1.336B,,1.336B,,,5.20M,3.222B,,4.645B,715.30M,,715.30M,,398.70M,1.724B,7.482B,10.70B,,2013-03,249.40M,9.521B,799.00M,2.827B,,,-1.377B,6.366B,,2013-03,AOR,Restated
2012-12,545.60M,,545.60M,1.508B,624.00M,2.132B,241.60M,39.00M,560.70M,,746.50M,125.50M,,,3.563B,,,,,,,18.56B,-10.08B,8.482B,1.611B,754.80M,2.366B,1.185B,,1.412B,385.10M,13.83B,17.39B,,2012-12,1.964B,,70.00M,2.034B,,2.034B,,,,928.40M,,928.40M,,,4.60M,2.967B,,5.107B,723.90M,,723.90M,,390.70M,1.753B,7.975B,10.94B,,2012-12,249.40M,9.380B,792.30M,2.877B,,,-1.245B,6.299B,,2012-12,AOR,Restated
2012-09,454.40M,,454.40M,1.545B,379.10M,1.924B,220.00M,36.70M,617.90M,,786.60M,81.70M,129.00M,10.00M,3.416B,0.00,215.80M,1.033B,15.78B,,1.020B,18.05B,-9.806B,8.241B,1.598B,761.60M,2.36B,1.176B,,1.377B,161.20M,13.53B,16.94B,,2012-09,1.005B,136.00M,48.50M,1.189B,572.90M,1.762B,,249.90M,457.80M,707.70M,,707.70M,155.00M,155.00M,51.40M,2.690B,151.50M,4.584B,670.80M,32.70M,703.50M,1.465B,392.50M,319.60M,7.629B,10.32B,,2012-09,249.40M,9.234B,810.50M,2.468B,,,-1.349B,6.477B,,2012-09,AOR,Restated
2012-06,361.20M,,361.20M,1.418B,300.30M,1.719B,245.50M,30.80M,522.60M,,699.50M,75.00M,,162.70M,3.033B,,,,,,,17.59B,-9.884B,7.708B,927.90M,356.80M,1.285B,1.135B,,1.250B,469.90M,11.85B,14.88B,,2012-06,1.621B,,86.50M,1.708B,,1.708B,,,,421.40M,,421.40M,,,6.10M,2.135B,,3.796B,675.10M,,675.10M,,,1.627B,6.098B,8.234B,,2012-06,249.40M,9.233B,807.40M,2.522B,,,-1.254B,6.514B,,2012-06,AOR,Restated
2012-03,319.50M,,319.50M,1.382B,373.30M,1.755B,237.00M,34.80M,523.60M,,696.00M,105.20M,,149.80M,3.343B,,,,,,,17.66B,-10.01B,7.645B,831.80M,276.00M,1.108B,1.052B,,1.166B,642.20M,11.61B,14.96B,,2012-03,1.588B,,39.60M,1.627B,,1.627B,,,,859.60M,,859.60M,,,52.50M,2.539B,,3.880B,651.50M,,651.50M,,,1.454B,6.009B,8.548B,,2012-03,249.40M,8.883B,800.20M,2.541B,,,-1.128B,6.263B,,2012-03,AOR,Restated
2011-12,407.30M,,407.30M,1.530B,294.40M,1.824B,238.20M,32.50M,532.80M,,704.10M,85.00M,,155.90M,3.176B,,,,,,,17.44B,-9.913B,7.526B,877.50M,249.80M,1.127B,1.007B,,1.107B,448.00M,11.22B,14.39B,,2011-12,1.482B,,123.30M,1.605B,,1.605B,,,,731.80M,,731.80M,,,,2.337B,,3.884B,599.50M,,599.50M,,,1.513B,5.997B,8.334B,,2011-12,249.40M,8.724B,794.80M,2.583B,,,-1.276B,5.909B,,2011-12,AOR,Restated
2011-09,421.40M,,421.40M,1.362B,280.90M,1.642B,258.80M,29.90M,477.30M,,670.20M,77.50M,103.10M,1.10M,3.190B,0.00,173.10M,913.80M,14.54B,,1.236B,16.86B,-9.636B,7.223B,796.20M,260.50M,1.057B,1.012B,,1.086B,512.40M,11.10B,14.29B,,2011-09,793.60M,121.90M,65.00M,980.50M,422.80M,1.403B,,561.80M,72.20M,634.00M,,634.00M,136.00M,136.00M,134.90M,2.342B,138.50M,3.928B,558.20M,34.90M,593.10M,1.116B,0.00,207.70M,6.01B,8.352B,,2011-09,249.40M,8.600B,805.60M,2.605B,,,-1.253B,5.796B,,2011-09,AOR,Restated
2011-06,430.10M,,430.10M,1.650B,310.50M,1.960B,233.30M,30.90M,452.10M,,639.60M,101.20M,,145.30M,3.276B,,,,,,,17.54B,-10.01B,7.524B,969.10M,295.00M,1.264B,1.036B,,948.10M,403.00M,11.18B,14.45B,,2011-06,1.583B,,77.70M,1.660B,,1.660B,,,,443.40M,,443.40M,,,,2.104B,,4.054B,470.80M,,470.80M,,,1.426B,5.951B,8.054B,,2011-06,249.40M,8.397B,800.10M,2.349B,,,-865.40M,6.232B,,2011-06,AOR,Restated
2011-03,270.30M,,270.30M,1.606B,267.30M,1.873B,207.90M,30.70M,435.20M,123.00M,720.20M,112.60M,,,2.976B,,,,,,,17.12B,-9.758B,7.362B,945.60M,288.70M,1.234B,979.30M,,882.40M,386.40M,10.84B,13.82B,,2011-03,1.461B,,66.40M,1.527B,,1.527B,,,,684.10M,,684.10M,,,,2.211B,,3.712B,406.20M,,406.20M,,,1.492B,5.610B,7.822B,,2011-03,249.40M,8.195B,793.70M,2.431B,,,-982.20M,5.825B,,2011-03,AOR,Restated
2010-12,247.20M,,247.20M,1.486B,328.80M,1.814B,207.10M,30.90M,423.10M,153.70M,738.20M,70.30M,,,2.870B,,,,,,,16.57B,-9.415B,7.158B,912.20M,277.10M,1.189B,912.00M,810.70M,,520.00M,10.59B,13.46B,,2010-12,1.458B,,104.40M,1.562B,,1.562B,,,,374.60M,,374.60M,,,,1.937B,,3.617B,392.30M,,392.30M,,,1.536B,5.545B,7.482B,,2010-12,249.40M,8.015B,784.90M,2.132B,,,-1.107B,5.81B,,2010-12,AOR,Restated
2010-09,374.30M,,374.30M,1.482B,372.10M,1.854B,208.20M,29.30M,405.30M,,571.60M,70.30M,,163.60M,3.034B,0.00,172.30M,886.20M,14.56B,,689.20M,16.31B,-9.258B,7.051B,914.60M,285.70M,1.200B,912.80M,,770.40M,537.30M,10.47B,13.51B,,2010-09,1.702B,,73.60M,1.776B,,1.776B,,,,468.50M,,468.50M,,,,2.244B,,3.660B,335.10M,,335.10M,,,1.569B,5.564B,7.808B,,2010-09,249.40M,7.852B,802.20M,2.198B,,,-1.159B,5.547B,,2010-09,AOR,Restated
2010-06,405.30M,,405.30M,1.416B,431.10M,1.848B,163.50M,26.30M,377.10M,,499.20M,72.80M,,120.60M,2.945B,,,,,,,15.65B,-8.876B,6.771B,842.50M,263.90M,1.106B,856.90M,,,1.320B,10.05B,13.00B,,2010-06,1.415B,,75.90M,1.491B,,1.491B,,,,821.60M,,821.60M,,,,2.313B,,3.366B,473.60M,1.475B,1.948B,,,,5.315B,7.628B,,2010-06,249.40M,7.686B,803.00M,2.276B,,,-1.230B,5.231B,,2010-06,AOR,Restated
2010-03,230.90M,,230.90M,1.459B,406.70M,1.866B,154.20M,25.40M,392.80M,111.10M,615.80M,109.80M,,,2.822B,,,,,,,16.00B,-9.054B,6.942B,913.90M,293.70M,1.208B,893.60M,747.50M,,540.40M,10.33B,13.15B,,2010-03,,,,1.427B,43.90M,1.471B,,,,874.90M,,874.90M,,,,2.346B,,3.468B,440.10M,1.48B,1.920B,,,,5.389B,7.734B,,2010-03,249.40M,7.537B,820.70M,2.287B,,,-1.054B,5.266B,,2010-03,AOR,Restated
