,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-03,783.00M,,,,,73.00M,73.00M,,,50.00M,,36.00M,-840.00M,-826.00M,-16.00M,892.00M,-790.00M,248.00M,,-122.00M,-122.00M,,-6.623B,132.00M,-6.539B,,-627.00M,-15.00B,-15.63B,,,,,,-184.00M,49.00M,-10.00M,4.756B,,19.16B,-1.535B,,17.62B,,,,-627.00M,,3.00M,169.00M,,AOR,Restated
2017-12,597.00M,,,,,69.00M,69.00M,,,42.00M,,16.00M,-2.179B,75.00M,-117.00M,-1.953B,-4.174B,-3.29B,,-133.00M,-133.00M,,-12.59B,-277.00M,-13.24B,,1.485B,10.00B,11.48B,,,,,,-136.00M,73.00M,-35.00M,15.77B,,19.92B,-761.00M,,19.16B,,,1.486B,-1.00M,,322.00M,94.00M,,AOR,Restated
2017-09,618.00M,,,,,69.00M,69.00M,,,27.00M,,16.00M,-228.00M,-1.832B,-26.00M,4.573B,2.487B,3.309B,,-103.00M,-103.00M,,-5.295B,-105.00M,-5.914B,,-252.00M,4.70B,4.448B,,,,,,-163.00M,27.00M,-2.00M,7.273B,,15.25B,4.668B,,19.92B,,,0.00,-252.00M,,293.00M,116.00M,,AOR,Restated
2017-06,575.00M,,,,,66.00M,66.00M,,,32.00M,,7.00M,-1.456B,-1.505B,-54.00M,2.978B,-37.00M,719.00M,,-84.00M,-84.00M,,4.697B,-59.00M,4.27B,,-2.00M,-300.00M,-302.00M,,,,,,-135.00M,13.00M,0.00,-5.013B,,15.28B,-24.00M,,15.25B,,,0.00,-2.00M,,589.00M,42.00M,,AOR,Restated
2017-03,564.00M,,,,,65.00M,65.00M,,,52.00M,,12.00M,435.00M,-2.116B,4.00M,-665.00M,-2.342B,-1.577B,,-80.00M,-80.00M,,-5.431B,58.00M,-5.587B,,641.00M,600.00M,1.241B,,,,,,-158.00M,58.00M,-8.00M,4.568B,,17.87B,-2.596B,,15.28B,,,643.00M,-2.00M,,8.00M,75.00M,,AOR,Restated
2016-12,522.00M,,,,,61.00M,61.00M,,,40.00M,,-21.00M,-555.00M,3.256B,-32.00M,-747.00M,1.922B,2.629B,,-74.00M,-74.00M,,-12.14B,-14.00M,-12.73B,,-2.00M,-3.001B,-3.003B,,,,591.00M,591.00M,-121.00M,113.00M,36.00M,11.44B,,10.43B,1.338B,,17.87B,,591.00M,-3.001B,-2.00M,,234.00M,19.00M,,AOR,Restated
2016-09,503.00M,,,,,60.00M,60.00M,,,26.00M,,8.00M,503.00M,123.00M,-24.00M,-1.817B,-1.215B,-549.00M,,-77.00M,-77.00M,,-11.94B,43.00M,-12.21B,,-2.00M,-1.999B,-2.001B,,,,0.00,0.00,-135.00M,12.00M,3.00M,10.21B,,12.98B,-2.545B,,10.43B,,0.00,-1.999B,-2.00M,,252.00M,67.00M,,AOR,Restated
2016-06,452.00M,,,,,57.00M,57.00M,,,28.00M,,7.00M,-771.00M,491.00M,-58.00M,1.627B,1.289B,1.892B,,-139.00M,-139.00M,,-4.583B,-127.00M,-5.072B,,-2.00M,4.20B,4.198B,,,,0.00,0.00,-120.00M,12.00M,3.00M,5.699B,,10.46B,2.519B,,12.98B,,0.00,4.20B,-2.00M,,486.00M,18.00M,,AOR,Restated
2016-03,412.00M,,,,,56.00M,56.00M,,,47.00M,,10.00M,826.00M,-1.175B,21.00M,-614.00M,-942.00M,-369.00M,,-56.00M,-56.00M,,-8.562B,-5.00M,-8.762B,,-1.00M,800.00M,799.00M,,,,725.00M,725.00M,-110.00M,7.00M,2.00M,7.61B,,11.98B,-1.521B,,10.46B,,725.00M,800.00M,-1.00M,,19.00M,56.00M,,AOR,Restated
2015-12,416.00M,,,,,58.00M,58.00M,,,37.00M,,-11.00M,-224.00M,3.037B,-39.00M,-2.418B,356.00M,892.00M,,-62.00M,-62.00M,,-9.509B,-17.00M,-9.705B,,-3.00M,0.00,-3.00M,,,,0.00,0.00,-99.00M,23.00M,19.00M,10.42B,,10.37B,1.612B,,11.98B,,0.00,348.00M,-351.00M,,212.00M,14.00M,,AOR,Restated
2015-09,376.00M,,,,,57.00M,57.00M,,,29.00M,,4.00M,-137.00M,-31.00M,-26.00M,782.00M,588.00M,1.091B,,-79.00M,-79.00M,,-6.034B,-6.00M,-6.35B,,-2.00M,0.00,-2.00M,,,,581.00M,581.00M,-100.00M,17.00M,6.00M,6.608B,,9.017B,1.349B,,10.37B,,581.00M,0.00,-2.00M,,212.00M,54.00M,,AOR,Restated
2015-06,353.00M,,,,,55.00M,55.00M,,,30.00M,,5.00M,-1.066B,-380.00M,-12.00M,1.546B,88.00M,568.00M,,-70.00M,-70.00M,,-3.421B,-4.00M,-3.906B,,-2.00M,0.00,-2.00M,,,,0.00,0.00,-88.00M,22.00M,4.00M,3.344B,,9.011B,6.00M,,9.017B,,0.00,0.00,-2.00M,,332.00M,7.00M,,AOR,Restated
2015-03,302.00M,,,,,54.00M,54.00M,,,39.00M,,-2.00M,-333.00M,-2.634B,-21.00M,1.256B,-1.732B,-1.305B,,-55.00M,-55.00M,,-8.386B,,-8.662B,,996.00M,0.00,996.00M,,,,0.00,0.00,-100.00M,28.00M,3.00M,7.615B,,11.36B,-2.352B,,9.011B,,0.00,998.00M,-2.00M,,54.00M,46.00M,,AOR,Restated
2014-12,350.00M,,0.00,,,54.00M,54.00M,,,35.00M,,-2.00M,-268.00M,1.495B,19.00M,-835.00M,411.00M,860.00M,,-90.00M,-90.00M,,-3.102B,-3.00M,-3.539B,,-1.00M,,-1.00M,,,,0.00,0.00,-87.00M,51.00M,21.00M,5.454B,,8.588B,2.775B,,11.36B,,0.00,0.00,-1.00M,,190.00M,12.00M,,AOR,Restated
2014-09,321.00M,,1.00M,,,49.00M,49.00M,,,26.00M,,-12.00M,-682.00M,2.04B,-2.00M,-786.00M,570.00M,987.00M,,-145.00M,-145.00M,,-489.00M,0.00,-846.00M,,-1.00M,,-1.00M,,,,0.00,0.00,-100.00M,57.00M,2.00M,1.615B,,6.832B,1.756B,,8.588B,,0.00,0.00,-1.00M,,185.00M,40.00M,,AOR,Restated
2014-06,324.00M,,,,,48.00M,48.00M,,,25.00M,,5.00M,-138.00M,-1.161B,-23.00M,1.328B,6.00M,432.00M,,-112.00M,-112.00M,,-399.00M,0.00,-800.00M,,-2.00M,,-2.00M,,,,,,-86.00M,16.00M,2.00M,27.00M,,7.173B,-341.00M,,6.832B,,,0.00,-2.00M,,352.00M,11.00M,,AOR,Restated
2014-03,326.00M,,,,,48.00M,48.00M,,,29.00M,,2.00M,-593.00M,-2.813B,-24.00M,3.066B,-364.00M,69.00M,,-53.00M,-53.00M,,-2.978B,-8.00M,-3.21B,,-2.00M,,-2.00M,,,,,,-100.00M,65.00M,4.00M,2.586B,,7.728B,-555.00M,,7.173B,,,0.00,-2.00M,,51.00M,40.00M,,AOR,Restated
2013-12,319.00M,,2.00M,,,49.00M,49.00M,,,33.00M,,-8.00M,-826.00M,1.255B,65.00M,-68.00M,426.00M,831.00M,,-73.00M,-73.00M,,-1.901B,0.00,-2.293B,,-2.00M,0.00,-2.00M,,,,,,-85.00M,118.00M,12.00M,1.828B,,7.362B,366.00M,,7.728B,,,0.00,-2.00M,,176.00M,10.00M,,AOR,Restated
2013-09,290.00M,,1.00M,,,51.00M,51.00M,,,24.00M,,3.00M,-414.00M,-2.76B,-64.00M,3.497B,259.00M,661.00M,,-65.00M,-65.00M,,-6.201B,0.00,-6.605B,,274.00M,0.00,274.00M,,,,,,-99.00M,59.00M,-4.00M,7.072B,,6.234B,1.128B,,7.362B,,,275.00M,-1.00M,,171.00M,38.00M,,AOR,Restated
2013-06,256.00M,,3.00M,,,51.00M,51.00M,,,22.00M,,13.00M,-300.00M,452.00M,45.00M,-57.00M,140.00M,532.00M,,-62.00M,-62.00M,,-2.609B,0.00,-3.117B,,-1.00M,0.00,-1.00M,,,,,,-86.00M,56.00M,-2.00M,1.888B,,6.931B,-697.00M,,6.234B,,,,-1.00M,,242.00M,11.00M,,AOR,Restated
2013-03,206.00M,,4.00M,,,51.00M,51.00M,,,37.00M,,7.00M,869.00M,-3.226B,-29.00M,1.663B,-723.00M,-368.00M,,-49.00M,-49.00M,,-7.458B,2.00M,-8.035B,,-2.00M,-300.00M,-302.00M,,,,,,-98.00M,25.00M,-1.00M,2.671B,,12.66B,-5.732B,,6.931B,,,,-302.00M,,35.00M,40.00M,,AOR,Restated
2012-12,211.00M,,4.00M,,,50.00M,50.00M,,,26.00M,,22.00M,-1.275B,5.35B,-9.00M,-3.552B,514.00M,893.00M,,-41.00M,-41.00M,,-6.63B,-7.00M,-7.418B,,-175.00M,300.00M,125.00M,,,,0.00,0.00,-85.00M,9.00M,-5.00M,10.66B,,8.523B,4.14B,,12.66B,,0.00,650.00M,-525.00M,,129.00M,25.00M,,AOR,Restated
2012-09,247.00M,,3.00M,,,50.00M,50.00M,,,25.00M,,5.00M,-249.00M,2.998B,-30.00M,-2.519B,200.00M,605.00M,,-31.00M,-31.00M,,-2.077B,10.00M,-2.354B,,-204.00M,0.00,-204.00M,,,,-1.00M,-1.00M,-98.00M,6.00M,-19.00M,2.183B,,8.089B,434.00M,,8.523B,,-1.00M,0.00,-204.00M,,158.00M,44.00M,,AOR,Restated
2012-06,275.00M,,7.00M,,,48.00M,48.00M,,,29.00M,,52.00M,-475.00M,-4.556B,27.00M,4.213B,-791.00M,-330.00M,,-34.00M,-34.00M,,-2.638B,,-2.768B,,-2.00M,0.00,-2.00M,,,,470.00M,470.00M,-77.00M,5.00M,-1.00M,4.393B,,6.794B,1.295B,,8.089B,,470.00M,,-2.00M,,209.00M,38.00M,,AOR,Restated
2012-03,195.00M,,18.00M,,,48.00M,48.00M,,,25.00M,,19.00M,-496.00M,949.00M,22.00M,-734.00M,-259.00M,98.00M,,-42.00M,-42.00M,,-3.712B,,-3.72B,,-1.00M,0.00,-1.00M,,,,394.00M,394.00M,-77.00M,15.00M,1.00M,1.737B,,8.679B,-1.885B,,6.794B,,394.00M,,-1.00M,,12.00M,36.00M,,AOR,Restated
2011-12,163.00M,,-81.00M,,,48.00M,48.00M,,-22.00M,26.00M,,141.00M,339.00M,-1.077B,3.258B,-2.474B,46.00M,452.00M,,-43.00M,-43.00M,-30.00M,-4.641B,-4.00M,-4.846B,,-1.00M,0.00,-1.00M,,,,,0.00,-77.00M,7.00M,-8.00M,6.697B,,6.376B,2.303B,,8.679B,,,0.00,-1.00M,,101.00M,41.00M,,AOR,Restated
2011-09,220.00M,,-33.00M,,,39.00M,39.00M,,13.00M,26.00M,,6.00M,682.00M,1.175B,-2.099B,32.00M,-210.00M,94.00M,,-60.00M,-60.00M,84.00M,-1.539B,5.00M,-1.754B,,-112.00M,,-112.00M,,,,,0.00,-73.00M,16.00M,0.00,1.57B,,6.466B,-90.00M,,6.376B,,,,-112.00M,,91.00M,41.00M,,AOR,Restated
2011-06,238.00M,,-13.00M,,,33.00M,33.00M,,2.00M,29.00M,,-5.00M,-301.00M,1.431B,-814.00M,,316.00M,615.00M,,-39.00M,-39.00M,,-308.00M,5.00M,-681.00M,,-2.00M,-58.00M,-60.00M,,,,,0.00,-73.00M,35.00M,2.00M,984.00M,,5.548B,918.00M,,6.466B,,,-58.00M,-2.00M,,307.00M,44.00M,,AOR,Restated
2011-03,243.00M,,158.00M,,,35.00M,35.00M,,7.00M,18.00M,,-4.00M,-159.00M,1.338B,-360.00M,,819.00M,1.303B,,-38.00M,-38.00M,,-935.00M,1.00M,-1.386B,,-1.00M,58.00M,57.00M,,,,,0.00,-72.00M,38.00M,8.00M,700.00M,,4.931B,617.00M,,5.548B,,,58.00M,-1.00M,,18.00M,42.00M,,AOR,Restated
2010-12,119.00M,,46.00M,,,38.00M,38.00M,,-19.00M,23.00M,,-69.00M,-1.297B,3.318B,1.192B,,-582.00M,-451.00M,,-47.00M,-47.00M,,-1.372B,1.00M,-2.008B,,-1.00M,0.00,-1.00M,0.00,,0.00,,,-73.00M,12.00M,-3.00M,1.689B,,5.701B,-770.00M,,4.931B,,0.00,0.00,-1.00M,,46.00M,47.00M,,AOR,Restated
2010-09,124.00M,,-70.00M,,,35.00M,35.00M,,3.00M,21.00M,3.00M,8.00M,24.00M,1.207B,-1.192B,,39.00M,166.00M,,-28.00M,-28.00M,,-7.13B,0.00,-7.551B,,700.00M,,700.00M,0.00,,0.00,,,-72.00M,4.00M,-5.00M,3.576B,,9.51B,-3.809B,,5.701B,,0.00,701.00M,-1.00M,,151.00M,38.00M,,AOR,Restated
2010-06,205.00M,,19.00M,,,36.00M,36.00M,,8.00M,22.00M,-1.00M,-4.00M,-479.00M,187.00M,871.00M,,579.00M,865.00M,,-25.00M,-25.00M,,-1.166B,4.00M,-1.416B,,-2.00M,,-2.00M,0.00,,0.00,,,-71.00M,7.00M,1.00M,3.767B,,6.294B,3.216B,,9.51B,,0.00,,-2.00M,,60.00M,51.00M,,AOR,Restated
2010-03,6.00M,,41.00M,,,37.00M,37.00M,,8.00M,21.00M,-2.00M,-10.00M,-712.00M,746.00M,-738.00M,,-704.00M,-589.00M,,-29.00M,-29.00M,,-4.131B,,-4.435B,,-201.00M,0.00,-201.00M,543.00M,,543.00M,,,-72.00M,12.00M,2.00M,3.077B,,8.241B,-1.947B,,6.294B,,543.00M,,-201.00M,,70.00M,42.00M,,AOR,Restated
2009-12,164.00M,,-36.00M,,,38.00M,38.00M,,22.00M,21.00M,-8.00M,-16.00M,-739.00M,2.686B,-1.438B,-11.00M,498.00M,737.00M,,-32.00M,-32.00M,,-3.344B,-3.00M,-3.869B,,-1.00M,,-1.00M,,,0.00,,,-70.00M,7.00M,1.00M,3.257B,,8.116B,125.00M,,8.241B,,,0.00,-1.00M,,96.00M,62.00M,,AOR,Restated
2009-09,200.00M,,108.00M,,,38.00M,38.00M,,11.00M,19.00M,,-6.00M,-260.00M,1.70B,-2.227B,11.00M,-776.00M,-406.00M,,-39.00M,-39.00M,,-4.166B,1.00M,-4.544B,,-39.00M,,-39.00M,,,0.00,,,-70.00M,15.00M,3.00M,3.704B,,9.362B,-1.246B,,8.116B,,,0.00,-39.00M,,147.00M,43.00M,,AOR,Restated
2009-06,205.00M,,39.00M,,,41.00M,41.00M,,13.00M,17.00M,1.00M,5.00M,-1.045B,1.237B,434.00M,,626.00M,947.00M,,-37.00M,-37.00M,,-3.542B,0.00,-3.877B,,746.00M,,746.00M,,,0.00,,,-70.00M,19.00M,-6.00M,5.757B,,6.535B,2.827B,,9.362B,,,747.00M,-1.00M,,148.00M,39.00M,,AOR,Restated
2009-03,218.00M,,-162.00M,,,42.00M,42.00M,,14.00M,18.00M,-1.00M,-25.00M,743.00M,312.00M,-1.00B,,55.00M,159.00M,,-32.00M,-32.00M,,-1.451B,-1.00M,-1.767B,,-39.00M,,-39.00M,,,0.00,,,-69.00M,12.00M,1.00M,2.701B,,5.442B,1.093B,,6.535B,,,,-39.00M,,55.00M,29.00M,,AOR,Restated
2008-12,308.00M,,7.00M,,,39.00M,39.00M,,0.00,20.00M,-3.00M,50.00M,3.748B,-3.032B,-520.00M,,196.00M,714.00M,,-60.00M,-60.00M,,-1.834B,4.00M,-2.426B,,-1.00M,,-1.00M,,0.00,0.00,,,-68.00M,15.00M,3.00M,1.831B,,5.323B,119.00M,,5.442B,,,,-1.00M,0.00,141.00M,48.00M,,,Restated
2008-09,304.00M,,24.00M,,,38.00M,38.00M,,44.00M,16.00M,-47.00M,49.00M,1.793B,2.221B,-4.93B,,-916.00M,-488.00M,,-47.00M,-47.00M,,-763.00M,0.00,-1.46B,,-2.00M,,-2.00M,,0.00,0.00,,,-70.00M,41.00M,13.00M,2.032B,,5.239B,84.00M,,5.323B,,,,-2.00M,0.00,198.00M,42.00M,,,Restated
2008-06,313.00M,,77.00M,,,37.00M,37.00M,,0.00,16.00M,,-26.00M,-1.258B,-851.00M,1.79B,,-319.00M,98.00M,,-33.00M,-33.00M,,-3.101B,1.00M,-3.999B,,-16.00M,,-16.00M,,0.00,0.00,,,-57.00M,54.00M,19.00M,4.349B,,4.791B,448.00M,,5.239B,,,,-16.00M,0.00,365.00M,49.00M,,,Restated
2008-03,305.00M,,-112.00M,,,38.00M,38.00M,,,17.00M,,-3.00M,856.00M,700.00M,-2.123B,,-567.00M,-322.00M,,-48.00M,-48.00M,,-2.367B,-6.00M,-3.016B,,-1.00M,,-1.00M,,-350.00M,-350.00M,,,-58.00M,21.00M,15.00M,1.365B,,6.764B,-1.973B,,4.791B,,,,-1.00M,-350.00M,63.00M,93.00M,,,Restated
2007-12,308.00M,,,,,39.00M,39.00M,-10.00M,,,,1.00M,,,,,240.00M,578.00M,,-52.00M,-52.00M,-2.00M,109.00M,-382.00M,-327.00M,,267.00M,,267.00M,,,67.00M,,,-58.00M,,16.00M,1.644B,,4.869B,1.895B,,6.764B,,,300.00M,-33.00M,,,,,,
2007-09,1.534B,,,,,39.00M,39.00M,169.00M,,,,-1.222B,,,,,7.00M,527.00M,,-33.00M,-33.00M,0.00,278.00M,2.897B,3.142B,,239.00M,,239.00M,,,-2.004B,,,-1.317B,,26.00M,-2.271B,,3.471B,1.398B,,4.869B,,,249.00M,-10.00M,,,,,,
2007-06,292.00M,,,,,39.00M,39.00M,-19.00M,,,,-171.00M,,,,,670.00M,811.00M,,-44.00M,-44.00M,0.00,-1.508B,-348.00M,-1.90B,,,,,,,-98.00M,,,-62.00M,,1.221B,1.303B,,3.257B,214.00M,,3.471B,,,,,,,,,,
2007-03,273.00M,,,,,39.00M,39.00M,35.00M,,,,460.00M,,,,,-977.00M,-170.00M,,-39.00M,-39.00M,-117.00M,-399.00M,7.00M,-548.00M,,,,,,,-293.00M,,,-63.00M,,-599.00M,-532.00M,,4.507B,-1.25B,,3.257B,,,,,,,,,,
2006-12,467.00M,,,,,38.00M,38.00M,-18.00M,,,,-212.00M,,,,,141.00M,416.00M,,-40.00M,-40.00M,,-58.00M,-150.00M,-248.00M,,0.00,,0.00,,,-52.00M,,,-64.00M,,186.00M,1.022B,,3.317B,1.19B,,4.507B,,,,0.00,,,,,,
2006-09,266.00M,,,,,39.00M,39.00M,-10.00M,,,,-374.00M,,,,,-336.00M,-415.00M,,-19.00M,-32.00M,,52.00M,-361.00M,-341.00M,,-28.00M,-730.00M,-758.00M,,,-250.00M,,,-38.00M,,667.00M,1.16B,,2.913B,404.00M,,3.317B,,,,-28.00M,,,,,,
2006-06,251.00M,,,,,39.00M,39.00M,-17.00M,,,,19.00M,,,,,730.00M,1.022B,,19.00M,32.00M,,-1.20B,-103.00M,-1.271B,,-40.00M,593.00M,553.00M,,,-249.00M,,,-39.00M,,10.00M,1.05B,,2.112B,801.00M,,2.913B,,,,-40.00M,,,,,,
2006-03,243.00M,,,,,41.00M,41.00M,14.00M,,,,280.00M,,,,,159.00M,737.00M,,-19.00M,-19.00M,,-1.083B,-278.00M,-1.38B,,,137.00M,137.00M,,,-64.00M,,,-32.00M,,24.00M,850.00M,,1.905B,207.00M,,2.112B,,,,,,,,,,
2005-12,187.00M,,,,,22.00M,22.00M,-12.00M,,,,246.00M,,,,,293.00M,736.00M,,-1.00M,-1.00M,,-654.00M,-446.00M,-1.101B,,-20.00M,-179.00M,-199.00M,,,-64.00M,,,-32.00M,,632.00M,908.00M,,1.889B,543.00M,,1.905B,,,,-20.00M,,,,,,
2005-09,207.00M,,,,,52.00M,52.00M,0.00,,,,13.00M,,,,,-349.00M,-77.00M,,-25.00M,-25.00M,2.00M,-418.00M,-615.00M,-1.056B,,-21.00M,-316.00M,-337.00M,,,-157.00M,,,-29.00M,,5.00M,406.00M,,2.616B,-727.00M,,1.889B,,,,-21.00M,,,,,,
2005-06,186.00M,,,,,51.00M,51.00M,22.00M,,,,2.00M,,,,,16.00M,277.00M,,-29.00M,-29.00M,-2.00M,-82.00M,-428.00M,-541.00M,,-15.00M,366.00M,351.00M,,,-139.00M,,,-29.00M,,,740.00M,,2.14B,476.00M,,2.616B,,,,-15.00M,,,,,,
2005-03,145.00M,,,,,54.00M,54.00M,-14.00M,,,,17.00M,,,,,-361.00M,-159.00M,,-23.00M,-23.00M,,-321.00M,-326.00M,-670.00M,,,129.00M,129.00M,,,-222.00M,,,-26.00M,,,191.00M,,2.778B,-638.00M,,2.14B,,,,,,,,,,
2004-12,53.00M,,,,,59.00M,59.00M,-34.00M,,,,-274.00M,,,,,485.00M,417.00M,,-43.00M,-43.00M,,-1.095B,922.00M,-216.00M,,-21.00M,-177.00M,-198.00M,,,-213.00M,,,-27.00M,,,481.00M,,2.096B,682.00M,,2.778B,,,0.00,-21.00M,,,,,,
2004-09,-41.00M,,,,,58.00M,58.00M,-16.00M,,,,151.00M,,,,,-593.00M,-441.00M,,-66.00M,-66.00M,1.00M,431.00M,-355.00M,11.00M,,-39.00M,161.00M,122.00M,,,-143.00M,,,-28.00M,,,106.00M,,2.42B,-324.00M,,2.096B,,,0.00,-39.00M,,,,,,
2004-06,113.00M,,,,,53.00M,53.00M,25.00M,,,,59.00M,,,,,782.00M,1.032B,,-51.00M,-51.00M,-1.00M,-713.00M,-754.00M,-1.519B,,-119.00M,-76.00M,-195.00M,,,4.00M,,,-27.00M,,,555.00M,,2.352B,68.00M,,2.42B,,,136.00M,-255.00M,,,,,,
