,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2013-12,576.20M,576.20M,206.08M,370.12M,20.66M,20.66M,,,0.00,,121.13M,1.664M,-119.47M,,175.13M,194.99M,1.664M,121.13M,-119.47M,3.873M,-119.47M,79.40M,,79.40M,26.92M,0.00,-14.77M,2.646M,91.54M,63.95M,355.94M,155.41M,200.53M,0.42,0.16,0.0,,0.4156,0.58,0.42,0.16,0.0,,0.4156,0.58,152.80M,152.94M,0.65
2013-09,571.48M,571.48M,205.87M,365.61M,24.84M,24.84M,,,-2.606M,,122.17M,3.879M,-118.29M,,178.09M,187.52M,3.879M,122.17M,-118.29M,13.09M,-118.29M,82.31M,,82.31M,88.12M,0.00,-15.11M,2.647M,155.32M,68.27M,358.68M,154.19M,204.48M,0.48,0.52,0.0,,0.487,1.0,0.48,0.52,0.0,,0.487,1.0,152.41M,152.69M,0.65
2013-06,510.03M,510.03M,183.35M,326.68M,24.32M,24.32M,,,387.42M,,103.14M,1.296M,-101.84M,,157.77M,168.91M,1.296M,103.14M,-101.84M,436.38M,-101.84M,503.45M,,503.45M,3.315M,,-51.73M,2.618M,455.04M,199.78M,741.19M,134.60M,606.59M,2.93,0.02,,,1.272,2.95,2.92,0.02,,,1.268,2.94,151.94M,152.49M,0.65
2013-03,477.83M,477.83M,176.11M,301.72M,45.52M,45.52M,,,-8.749M,,100.43M,1.471M,-98.96M,,164.97M,136.75M,1.471M,100.43M,-98.96M,0.707M,-98.96M,38.50M,,38.50M,19.44M,,-9.931M,0.146M,48.00M,33.77M,260.12M,121.19M,138.93M,0.2,0.12,,,0.2344,0.32,0.2,0.11,,,0.2343,0.31,151.65M,151.95M,0.65
2012-12,470.74M,470.74M,170.36M,300.38M,17.92M,17.92M,,,-0.401M,,102.80M,2.062M,-100.74M,,133.98M,166.40M,2.062M,102.80M,-100.74M,6.735M,-100.74M,72.40M,,72.40M,4.21M,,-11.20M,,65.41M,61.34M,295.75M,120.55M,175.20M,0.43,0.0,,,0.4309,0.43,0.43,0.0,,,0.4309,0.43,151.01M,151.41M,0.65
2012-09,466.68M,466.68M,172.58M,294.10M,21.62M,21.62M,,,-6.634M,,105.03M,4.001M,-101.03M,,132.27M,161.83M,4.001M,105.03M,-101.03M,3.17M,-101.03M,63.97M,,63.97M,1.55M,,-8.273M,,57.25M,59.63M,280.56M,111.55M,169.00M,0.37,0.01,,,0.3961,0.38,0.37,0.01,,,0.3959,0.38,150.80M,151.98M,0.55
2012-06,471.35M,471.35M,167.79M,303.56M,19.07M,19.07M,,,0.266M,,99.90M,2.382M,-97.52M,,130.23M,173.33M,2.382M,99.90M,-97.52M,21.27M,-97.52M,97.08M,,97.08M,37.10M,,-15.62M,,118.56M,81.41M,309.06M,112.08M,196.98M,0.57,0.22,,,0.5697,0.79,0.56,0.22,,,0.5597,0.78,150.31M,150.69M,0.55
2012-03,443.69M,443.69M,161.94M,281.75M,27.62M,27.62M,,,-1.337M,,103.24M,1.646M,-101.59M,,136.08M,145.67M,1.646M,103.24M,-101.59M,11.18M,-101.59M,55.26M,,55.26M,0.57M,,-7.381M,,48.45M,48.23M,268.37M,109.86M,158.50M,0.33,0.0,,,0.3323,0.33,0.33,0.0,,,0.3323,0.33,148.34M,148.75M,0.55
2011-12,423.94M,423.94M,144.44M,279.50M,,26.82M,,,-1.574M,,103.31M,1.179M,-102.13M,,129.04M,150.46M,1.179M,103.31M,-102.13M,56.18M,-102.13M,,,104.51M,10.94M,,-14.12M,,101.32M,91.38M,346.97M,109.18M,237.79M,0.62,0.07,,,0.6268,0.69,0.62,0.06,,,0.6267,0.68,147.75M,148.00M,0.55
2011-09,449.70M,449.70M,159.81M,289.90M,,16.92M,,,-0.474M,,95.12M,1.252M,-93.86M,,125.59M,164.30M,1.252M,95.12M,-93.86M,9.992M,-93.86M,,,80.43M,0.02M,,-9.909M,,70.54M,71.39M,273.80M,109.50M,164.30M,0.48,0.0,,,0.4859,0.48,0.48,0.0,,,0.4859,0.48,147.01M,147.62M,0.5
