,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,InterestPaidSupplementalData
2018-03,216.31M,,-96.27M,-0.461M,-96.73M,165.80M,165.80M,165.80M,0.00,14.77M,5.299M,-3.529M,-66.97M,-1.514M,,23.09M,-31.60M,-80.52M,225.78M,,,,-48.82M,-0.318M,,-183.79M,-5.78M,70.00M,64.22M,,-0.723M,-0.723M,,,,-140.29M,-15.44M,-92.23M,505.37M,-50.24M,455.13M,,260.00M,-195.78M,-0.723M,89.41M
2017-12,132.20M,,-1.834M,-4.197M,5.847M,,154.26M,154.26M,,8.101M,5.383M,-32.44M,65.06M,-13.07M,,20.10M,-36.73M,2.926M,327.01M,,,,-19.14M,-0.218M,,-288.15M,-5.412M,45.00M,39.59M,0.00,,0.00,,,,-131.68M,-18.24M,-110.33M,576.83M,-71.46M,505.37M,0.00,957.94M,-918.35M,,121.30M
2017-09,147.70M,,-3.835M,-0.843M,-4.678M,,152.16M,152.16M,,8.023M,5.312M,-6.169M,-49.86M,24.40M,,-31.95M,-30.45M,-94.03M,220.16M,,,,-48.38M,-0.256M,,-46.22M,-5.39M,0.00,-5.39M,0.241M,0.181M,0.422M,,,,-131.68M,-0.238M,-136.88M,539.78M,37.05M,576.83M,0.241M,40.00M,-45.39M,0.181M,89.14M
2017-06,167.01M,,-4.497M,-3.108M,-21.96M,,151.92M,151.92M,,8.435M,-4.25M,-27.18M,57.42M,-167.84M,,-26.02M,-13.62M,-177.24M,124.96M,,,,-23.51M,-0.234M,,-279.86M,618.85M,-105.00M,513.85M,,0.002M,0.002M,,,,-131.67M,-41.69M,340.50M,354.18M,185.60M,539.78M,,2.555B,-2.041B,0.002M,295.27M
2017-03,115.56M,,-1.175M,-3.084M,-4.259M,,159.20M,159.20M,,10.80M,-7.729M,9.865M,-21.20M,6.475M,,-7.104M,-23.63M,-35.59M,239.85M,,,,-17.98M,-0.961M,,-267.82M,-5.54M,105.00M,99.46M,,-0.183M,-0.183M,,,,-131.56M,-5.656M,-37.93M,420.09M,-65.90M,354.18M,,175.00M,-75.54M,-0.183M,92.77M
2016-12,164.89M,,-0.56M,-2.585M,-62.52M,,178.03M,178.03M,0.00,7.621M,-7.666M,-31.96M,48.04M,8.119M,,8.25M,-35.37M,-2.913M,290.76M,,,,26.89M,-0.232M,-8.097M,-232.96M,-4.874M,0.00,-4.874M,,-0.001M,-0.001M,,,,-114.36M,-11.59M,-130.82M,419.32M,-73.02M,420.09M,,25.00M,-29.87M,-0.001M,106.54M
2016-09,71.50M,,-13.96M,-1.464M,-15.05M,,203.75M,203.75M,1.783M,7.643M,-8.056M,-1.152M,-57.87M,20.07M,,-42.52M,-20.71M,-102.18M,159.63M,,,,-520.94M,-0.271M,0.622M,-678.79M,-108.46M,0.00,-108.46M,,0.396M,0.396M,,,,-114.36M,-19.14M,-241.56M,1.180B,-760.72M,419.32M,,992.71M,-1.101B,0.396M,110.03M
2016-06,117.36M,,-0.478M,-2.234M,-2.712M,,153.18M,153.18M,,7.578M,-9.192M,-3.368M,17.19M,15.04M,,-38.49M,-22.10M,-31.72M,235.17M,,,,-15.82M,-0.22M,6.987M,-316.24M,-219.78M,0.00,-219.78M,,-0.009M,-0.009M,,,,-114.33M,-10.45M,-344.57M,1.606B,-425.63M,1.180B,,0.00,-219.78M,-0.009M,123.50M
2016-03,216.22M,,-67.88M,-1.791M,-69.67M,,159.45M,159.45M,,10.07M,-10.14M,12.04M,45.56M,25.98M,,-33.32M,-17.93M,32.33M,348.98M,,,,-10.22M,-0.438M,0.488M,-109.36M,990.03M,0.00,990.03M,,-0.657M,-0.657M,,,,-328.57M,-18.47M,642.34M,723.72M,881.96M,1.606B,,997.08M,-7.046M,-0.657M,93.52M
2015-12,166.74M,,-81.82M,-2.211M,-62.20M,,164.46M,164.46M,0.00,6.358M,-9.453M,-44.44M,-37.86M,-13.90M,,39.36M,-20.51M,-77.36M,190.53M,,,,-17.34M,-667.58M,2.062M,-679.03M,-35.76M,,-35.76M,0.00,,0.00,,0.00,0.00,-114.18M,-24.86M,-174.80M,1.387B,-663.29M,723.72M,0.00,0.00,-35.76M,0.00,134.46M
2015-09,323.27M,,-197.96M,-2.647M,-200.61M,,153.02M,153.02M,0.00,6.345M,-10.97M,-27.03M,-42.56M,25.40M,,-16.79M,-44.99M,-105.97M,165.80M,,,,-5.874M,-0.207M,2.492M,219.64M,-8.069M,,-8.069M,0.467M,,0.467M,,0.00,0.00,-114.18M,-219.40M,-341.18M,1.343B,44.26M,1.387B,0.467M,0.00,-8.069M,0.00,106.42M
2015-06,100.74M,,0.024M,-3.078M,-3.054M,,167.84M,167.84M,,5.469M,-10.97M,-24.34M,60.10M,-8.52M,,-33.44M,-16.62M,-22.82M,241.63M,,,,-12.54M,-0.241M,-6.353M,176.44M,-6.772M,,-6.772M,0.332M,0.145M,0.477M,,-0.633M,-0.633M,-114.16M,-18.63M,-139.72M,1.064B,278.36M,1.343B,0.332M,0.00,-6.772M,-0.488M,136.43M
2015-03,209.17M,,-95.48M,-14.83M,-110.31M,,154.22M,154.22M,,11.01M,-10.88M,-24.42M,3.447M,17.56M,,-23.14M,-26.56M,-53.11M,201.45M,,,,-2.444M,-0.884M,,2.725M,-7.66M,,-7.66M,,-0.145M,-0.145M,,,,-883.68M,-11.36M,-902.85M,1.763B,-698.68M,1.064B,,0.00,-7.66M,-0.145M,104.51M
2014-12,211.42M,,-126.49M,-2.70M,-131.17M,,162.43M,162.43M,,5.391M,-10.59M,-19.10M,55.04M,-18.76M,,2.922M,-35.95M,-15.85M,225.88M,,,,-4.285M,-0.238M,,-176.87M,-553.98M,,-553.98M,0.393M,,0.393M,,-1.389M,-1.389M,-113.95M,1.536B,867.41M,846.66M,916.42M,1.763B,0.393M,,-553.98M,-1.389M,156.57M
2014-09,150.98M,,-41.64M,-4.419M,-46.06M,,157.24M,157.24M,,5.809M,-10.58M,-12.06M,-86.25M,34.87M,,-21.54M,-12.65M,-97.63M,160.68M,,,,0.00,-0.204M,,-141.68M,-69.82M,,-69.82M,0.368M,,0.368M,,-15.98M,-15.98M,-113.70M,-9.77M,-208.91M,1.037B,-189.91M,846.66M,0.368M,,-69.82M,-15.98M,110.18M
2014-06,95.90M,,-0.662M,-2.834M,-3.496M,,154.63M,154.63M,,6.519M,-10.50M,-25.39M,45.45M,-28.62M,,-17.06M,-33.43M,-59.05M,184.78M,,,,-47.77M,-0.239M,,-199.50M,-5.577M,,-5.577M,1.162M,0.527M,1.689M,,0.00,0.00,-116.28M,-8.112M,-128.28M,1.180B,-143.00M,1.037B,1.162M,,-5.577M,0.527M,158.98M
2014-03,67.76M,,-0.286M,-2.816M,-96.08M,,154.27M,154.27M,,10.38M,-7.676M,11.52M,5.989M,12.42M,,-22.20M,-13.60M,-5.871M,124.21M,,,,0.00,-1.099M,,-147.07M,-661.15M,,-661.15M,,-0.527M,-0.527M,,,,-496.33M,-4.693M,-1.163B,2.365B,-1.186B,1.180B,,,-661.15M,-0.527M,220.79M
2013-12,79.93M,,-1.039M,-2.834M,-3.873M,,155.41M,155.41M,0.00,6.154M,-26.50M,-19.41M,54.21M,-9.858M,,11.42M,-22.98M,13.39M,227.50M,,,,0.00,-0.225M,0.00,-79.20M,16.44M,,16.44M,,0.014M,0.014M,0.00,0.00,0.00,-113.68M,672.78M,575.55M,1.641B,723.86M,2.365B,0.00,0.00,16.44M,0.014M,179.32M
2013-09,83.99M,,-0.956M,-14.74M,-15.69M,,154.19M,154.19M,0.00,6.537M,10.84M,-4.863M,-58.95M,40.85M,,10.73M,-15.96M,-28.20M,215.58M,,,,0.00,-0.195M,0.00,-1.143M,-16.88M,,-16.88M,,0.346M,0.346M,-0.297M,-43.07M,-43.37M,-113.99M,-8.001M,-181.90M,1.609B,32.54M,1.641B,-0.297M,0.00,-16.88M,-42.72M,97.48M
2013-06,506.76M,,-0.181M,-48.78M,-105.76M,,134.60M,134.60M,0.00,6.681M,-378.24M,-32.54M,-0.976M,-25.56M,,-12.38M,-7.939M,-79.40M,97.41M,,,,79.58M,-0.22M,12.31M,-19.31M,745.11M,,745.11M,,-0.135M,-0.135M,-0.451M,,-0.451M,-112.51M,-10.75M,621.26M,909.38M,699.36M,1.609B,-0.451M,1.195B,-449.65M,-0.135M,196.68M
2013-03,40.99M,,-0.735M,-8.721M,-9.456M,,121.19M,121.19M,8.306M,25.78M,10.56M,-3.605M,18.68M,28.99M,,-7.703M,-9.229M,27.13M,237.43M,,,,-0.113M,-0.918M,0.184M,-432.99M,-23.69M,,-23.69M,,-0.559M,-0.559M,194.37M,,194.37M,-110.94M,3.775M,62.96M,1.042B,-132.60M,909.38M,194.37M,,-23.69M,-0.559M,74.49M
2012-12,76.61M,,-0.187M,-6.949M,-7.875M,,120.55M,120.55M,0.00,4.82M,10.45M,-23.71M,36.92M,-29.27M,,8.293M,-32.16M,-39.93M,179.26M,,,,-5.847M,-0.193M,-0.285M,-257.92M,-4.834M,,-4.834M,-0.149M,,-0.149M,0.00,0.00,0.00,-93.90M,-3.692M,-102.58M,1.223B,-181.24M,1.042B,-0.149M,0.00,-4.834M,0.00,136.04M
2012-09,65.52M,,-0.587M,-9.217M,-9.608M,,111.55M,111.55M,0.00,6.746M,10.79M,-21.09M,-68.63M,43.11M,,0.65M,-18.60M,-64.56M,132.61M,,,,-0.042M,-0.169M,0.21M,-213.70M,-253.44M,,-253.44M,-0.757M,,-0.757M,0.00,-18.33M,-18.33M,-93.72M,-1.44M,-367.69M,1.672B,-448.78M,1.223B,-0.757M,0.00,-253.44M,-18.33M,68.34M
2012-06,97.30M,,0.186M,-21.19M,-21.29M,,112.08M,112.08M,0.00,6.755M,10.05M,-12.85M,31.68M,-39.68M,,-16.47M,-16.97M,-54.29M,161.82M,,,,-0.278M,-0.029M,-1.239M,-46.30M,928.44M,,928.44M,138.22M,,138.22M,0.00,,0.00,-92.96M,-8.417M,965.29M,591.20M,1.081B,1.672B,138.22M,997.79M,-69.35M,,135.99M
2012-03,55.84M,,-0.801M,-11.72M,-82.20M,,109.86M,109.86M,0.00,11.36M,11.84M,3.446M,7.02M,33.05M,,8.883M,1.18M,53.58M,169.26M,,,,-0.047M,-0.844M,-0.735M,-760.11M,-657.95M,,-657.95M,109.94M,,109.94M,0.00,,0.00,-92.31M,-0.841M,-641.16M,1.823B,-1.232B,591.20M,109.94M,,-657.95M,,140.51M
2011-12,115.44M,,0.443M,-57.71M,-89.08M,,109.18M,109.18M,,5.97M,13.95M,-112.48M,27.38M,-19.13M,,,65.82M,-31.84M,163.47M,266.09M,,266.09M,-0.103M,6.177M,-3.929M,-59.69M,747.67M,,747.67M,0.113M,,0.113M,0.00,0.00,0.00,-84.00M,-7.374M,656.41M,1.063B,760.18M,1.823B,0.113M,848.02M,-100.35M,0.00,91.85M
2011-09,80.45M,,-17.06M,-11.33M,-0.686M,,109.50M,109.50M,,5.937M,14.00M,45.95M,-60.09M,32.68M,,,-74.98M,-56.44M,152.76M,-74.34M,-43.89M,-118.22M,-17.87M,-6.572M,302.37M,159.70M,-2.435M,,-2.435M,53.87M,,53.87M,,0.00,0.00,-83.77M,2.31M,-30.02M,780.58M,282.44M,1.063B,53.87M,725.00M,-727.44M,0.00,80.27M
2011-06,69.74M,0.00,9.773M,-8.882M,0.891M,,111.08M,111.08M,,5.909M,13.58M,-18.49M,22.93M,-16.72M,,,-31.10M,-43.38M,157.82M,-76.90M,43.89M,-33.01M,,1.063M,-37.13M,-69.08M,-6.556M,,-6.556M,394.72M,,391.59M,-345.37M,,-345.37M,-83.39M,-11.74M,-55.46M,747.30M,33.28M,780.58M,49.35M,453.31M,-459.86M,,131.60M
2011-03,48.19M,,7.29M,-7.976M,-0.686M,,109.43M,109.43M,,11.86M,13.43M,-14.36M,-29.43M,16.61M,,,-22.76M,-49.94M,132.28M,-114.85M,,-114.85M,,-1.927M,-4.251M,-121.03M,-8.777M,,-8.777M,,,3.128M,345.37M,,345.37M,-81.44M,-1.176M,257.10M,478.95M,268.36M,747.30M,345.37M,,-8.777M,,82.45M
2010-12,-12.76M,2.734M,-3.669M,-9.834M,-33.27M,,92.76M,92.76M,,6.127M,27.20M,-87.60M,27.35M,-24.48M,,,40.36M,-53.76M,43.04M,351.98M,,351.98M,-28.53M,-0.139M,101.74M,-385.57M,-331.69M,,-331.69M,0.66M,,0.66M,,,0.00,-79.93M,-37.64M,-448.60M,1.270B,-791.13M,478.95M,0.66M,843.71M,-1.175B,,93.06M
2010-09,68.09M,0.00,-5.152M,-11.56M,-7.781M,,81.13M,81.13M,,6.38M,13.60M,30.31M,-19.41M,7.869M,,,-57.85M,-39.08M,122.35M,-163.32M,,-163.32M,-34.28M,-0.154M,-292.40M,-490.14M,2.157M,,2.157M,21.93M,,21.93M,,,,-82.71M,-6.966M,-65.58M,1.703B,-433.37M,1.270B,21.93M,267.50M,-265.34M,,97.93M
2010-06,72.49M,-0.969M,4.452M,-7.465M,2.069M,,81.40M,81.40M,,6.334M,4.44M,-13.30M,28.61M,0.456M,,,-32.09M,-16.32M,150.41M,-91.97M,0.00,-91.97M,,35.98M,-76.63M,-132.62M,547.31M,,547.31M,0.00,,-0.849M,,,,-81.09M,-0.097M,465.27M,1.220B,483.06M,1.703B,0.00,699.24M,-151.93M,,99.01M
2010-03,62.51M,-1.765M,0.70M,-7.91M,-6.805M,,83.08M,83.08M,,14.01M,3.724M,-14.09M,-33.31M,-30.41M,,,-18.60M,-96.42M,60.09M,-96.69M,,-96.69M,,-33.54M,-22.72M,-152.95M,-55.09M,,-55.09M,,,0.849M,0.00,,0.00,-80.95M,-0.50M,-135.69M,1.449B,-228.54M,1.220B,0.00,1.464M,-56.55M,,104.17M
2009-12,62.75M,-2.078M,-0.51M,11.71M,0.13M,,79.12M,79.12M,,-20.14M,42.11M,-62.44M,24.29M,32.58M,-1.289M,,12.34M,5.486M,169.46M,-80.05M,,-80.05M,-1.193M,1.00M,-38.07M,-118.32M,699.32M,0.00,699.32M,0.00,,0.00,,,,-80.90M,-2.742M,615.68M,782.11M,666.83M,1.449B,0.00,705.29M,-5.97M,,70.58M
2009-09,77.65M,-2.394M,-1.317M,-6.35M,-8.084M,,78.18M,78.18M,,6.483M,14.17M,12.16M,-19.07M,-15.54M,1.608M,,-16.57M,-37.42M,130.98M,-127.70M,,-127.70M,-6.336M,2.054M,2.662M,-129.32M,39.90M,0.00,39.90M,,,,,,,-77.74M,-0.958M,-38.80M,819.24M,-37.14M,782.11M,,67.11M,-27.21M,,130.02M
2009-06,80.07M,-4.493M,-1.194M,0.351M,-1.287M,,87.00M,87.00M,,6.559M,9.949M,-1.826M,24.76M,23.76M,-2.869M,,-19.33M,24.50M,206.80M,-105.14M,,-105.14M,-0.345M,-0.571M,,-106.05M,-91.08M,-100.00M,-191.08M,-0.521M,,-0.521M,,,,-99.29M,865.59M,574.71M,143.79M,675.46M,819.24M,-0.521M,18.62M,-209.70M,,61.04M
2009-03,54.03M,-2.795M,0.587M,-5.097M,22.31M,,77.37M,77.37M,,7.094M,13.61M,7.54M,-25.26M,-17.03M,2.55M,,-32.08M,-64.28M,110.14M,-91.37M,,-91.37M,-3.141M,1.595M,,-92.91M,9.063M,,9.063M,0.521M,,0.521M,,,,-99.40M,-25.12M,-114.94M,241.51M,-97.72M,143.79M,0.521M,16.42M,-7.361M,,94.24M
2008-12,-112.62M,31.39M,-7.047M,187.56M,200.22M,,79.77M,79.77M,,5.572M,14.67M,8.501M,21.64M,11.20M,-3.146M,,-26.18M,12.02M,199.63M,-112.09M,11.52M,-100.57M,-5.434M,148.77M,,-104.24M,1.767B,-1.61B,157.37M,,0.731M,38.14M,,,,-82.86M,-22.13M,90.52M,55.60M,185.91M,241.51M,,600.64M,-443.27M,0.731M,106.66M
2008-09,52.35M,-1.753M,7.258M,-2.644M,4.751M,,75.32M,75.32M,,6.47M,10.36M,1.944M,-17.53M,6.551M,2.272M,,-27.80M,-34.56M,114.70M,-236.05M,22.53M,-213.51M,-373.59M,3.272M,,-583.83M,362.68M,119.00M,481.68M,,0.495M,0.495M,,,,-108.82M,39.26M,412.62M,112.11M,-56.51M,55.60M,,1.240B,-757.84M,0.495M,83.94M
2008-06,90.12M,-6.203M,-0.241M,-1.855M,-7.177M,,74.39M,74.39M,,5.631M,7.992M,-18.86M,22.35M,18.33M,-2.004M,,-43.41M,-23.60M,147.36M,-139.92M,30.18M,-109.74M,-444.84M,-166.98M,,-721.56M,-196.67M,200.00M,3.334M,,0.302M,0.302M,,,,-107.24M,-4.732M,-108.33M,794.64M,-682.53M,112.11M,,700.23M,-696.90M,0.302M,63.24M
2008-03,100.87M,-23.44M,4.634M,-1.042M,-17.91M,,74.67M,74.67M,,5.433M,7.826M,11.08M,-29.10M,-17.67M,2.878M,,-34.45M,-67.27M,103.62M,-92.32M,224.40M,132.08M,-72.17M,29.64M,,89.55M,32.97M,,32.97M,,-1.528M,-1.528M,,,,-936.85M,-0.046M,-905.45M,1.507B,-712.28M,794.64M,,65.23M,-32.26M,-1.528M,82.10M
2007-12,124.22M,1.134B,,-6.966M,-53.87M,,71.66M,71.66M,,3.04M,30.39M,15.10M,24.89M,4.757M,-5.119M,,-38.81M,0.817M,176.26M,-418.49M,124.86M,-293.63M,-2.475M,-22.58M,,-476.78M,260.22M,-260.00M,0.216M,8.958M,,8.958M,,,,-99.64M,3.708M,-86.75M,1.894B,-387.28M,1.507B,8.958M,77.15M,-76.94M,,99.60M
2007-09,242.54M,-198.20M,,-13.46M,-211.66M,,71.62M,71.62M,,3.047M,60.59M,-3.494M,-7.927M,-4.742M,4.83M,,-13.53M,-24.86M,141.27M,-92.02M,278.68M,186.66M,-10.58M,0.00,,176.08M,-213.93M,0.00,-213.93M,0.995M,,0.995M,,,,-95.41M,-0.119M,-308.46M,1.885B,8.88M,1.894B,0.995M,25.89M,-239.82M,,88.48M
2007-06,957.93M,-936.21M,,,-936.21M,,74.62M,74.62M,,6.271M,69.28M,-19.20M,16.76M,17.38M,0.289M,,-0.432M,14.78M,186.68M,-116.26M,33.44M,-82.83M,5.267M,9.717M,,-67.84M,717.14M,0.00,717.14M,13.53M,,13.53M,,,,-102.92M,-877.60M,-249.85M,2.016B,-131.02M,1.885B,13.53M,970.95M,-253.81M,,143.46M
2007-03,,,,,,,71.09M,71.09M,,,92.36M,6.253M,-23.03M,-6.511M,,,-14.98M,-38.27M,125.18M,-505.82M,1.461B,955.19M,,-9.717M,,945.48M,227.08M,,227.08M,,,,,,,-845.50M,838.32M,219.90M,725.79M,1.291B,2.016B,,1.124B,-896.66M,,
2006-12,-800.99M,,,,,,70.45M,70.45M,,,902.57M,-14.92M,28.47M,-1.516M,49.31M,41.85M,-130.28M,-27.09M,144.94M,-262.10M,-1.510B,-1.772B,,-0.665M,1.511B,-261.92M,-132.49M,,-132.49M,-38.08M,,-38.08M,,,,-95.58M,59.89M,-206.26M,1.049B,-323.24M,725.79M,-38.08M,11.49M,-143.98M,,
2006-09,108.39M,,,,,,71.55M,71.55M,,,-12.71M,-6.314M,-16.04M,3.846M,-33.86M,-23.74M,35.22M,-40.90M,126.33M,-157.78M,157.80M,0.019M,,31.10M,714.28M,745.40M,-100.18M,,-100.18M,5.24M,,5.24M,,,,-94.60M,-3.553M,-193.09M,370.40M,678.63M,1.049B,5.24M,1.937M,-102.12M,,
2006-06,692.60M,,,,,,67.91M,67.91M,,,-600.73M,2.977M,26.96M,3.596M,-15.45M,-18.10M,13.97M,13.95M,173.74M,-155.04M,1.290B,1.135B,,-282.34M,-1.027B,-174.51M,-61.94M,,-61.94M,32.84M,,32.84M,,,,-94.66M,462.72M,338.96M,32.21M,338.18M,370.40M,32.84M,8.181M,-70.12M,,
2006-03,,,,,,,66.85M,66.85M,,,80.34M,11.21M,-35.07M,-8.428M,,,-31.92M,-64.21M,82.98M,-67.10M,62.28M,-4.821M,,-7.291M,-67.10M,-79.21M,-129.64M,,-129.64M,,,,,,,-106.77M,3.366M,-233.05M,261.50M,-229.28M,32.21M,,215.28M,-344.92M,,
2005-12,153.89M,,,,,,66.35M,66.35M,,,-62.47M,-20.20M,25.44M,9.31M,-8.145M,17.95M,-14.55M,9.805M,167.58M,-149.35M,-718.06M,-867.40M,,41.48M,994.46M,168.54M,-95.71M,,-95.71M,1.067M,,-0.779M,,,,-429.99M,1.29M,-525.19M,450.58M,-189.08M,261.50M,1.067M,102.75M,-198.46M,,
2005-09,284.40M,,,,,,65.91M,65.91M,,,-197.94M,-4.233M,-17.42M,-6.714M,-89.79M,-44.33M,109.82M,-52.68M,99.70M,-90.84M,90.84M,0.00,,-13.84M,-90.84M,-104.68M,23.01M,,23.01M,17.12M,,17.12M,,,,-94.10M,2.346M,-51.62M,507.18M,-56.60M,450.58M,17.12M,260.69M,-237.68M,,
2005-06,-61.24M,,,,,,67.22M,67.22M,,,135.11M,-0.929M,20.03M,-3.911M,53.71M,7.979M,-96.64M,-19.76M,121.33M,-87.72M,555.07M,467.36M,,-28.70M,-87.72M,350.94M,-112.35M,0.889M,-111.46M,25.95M,,25.95M,,,,-89.46M,0.576M,-174.40M,209.31M,297.88M,507.18M,25.95M,536.87M,-649.22M,,
