,NetIncome,Gain/LossonSaleBusiness,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-06,251.00M,3.00M,,,-7.00M,-4.00M,91.00M,40.00M,131.00M,131.00M,3.00M,,17.00M,,7.00M,-78.00M,-20.00M,-21.00M,,,-45.00M,-164.00M,,241.00M,,-92.00M,,,0.00,-1.00M,-2.00M,-95.00M,,201.00M,,201.00M,16.00M,-397.00M,-381.00M,7.00M,-173.00M,,382.00M,-34.00M,,348.00M,,-7.00M,16.00M,652.00M,-451.00M,-397.00M,,,,AOR,Restated
2018-03,423.00M,-232.00M,,,0.00,-232.00M,93.00M,40.00M,133.00M,133.00M,77.00M,,19.00M,,1.00M,67.00M,-44.00M,38.00M,,,-110.00M,-49.00M,,372.00M,,-77.00M,,,419.00M,-1.00M,-10.00M,331.00M,,-297.00M,,-297.00M,28.00M,-427.00M,-399.00M,,-696.00M,,325.00M,57.00M,,382.00M,,50.00M,28.00M,509.00M,-806.00M,-427.00M,,,,AOR,Restated
2017-12,532.00M,0.00,,,-1.00M,-1.00M,57.00M,42.00M,99.00M,99.00M,-267.00M,1.00M,15.00M,,15.00M,-98.00M,11.00M,63.00M,,,97.00M,73.00M,,468.00M,,-79.00M,,,-3.00M,0.00,0.00,-82.00M,,-211.00M,,-211.00M,13.00M,-207.00M,-194.00M,,-405.00M,,325.00M,0.00,,325.00M,,19.00M,13.00M,364.00M,-575.00M,-207.00M,-315.00M,-88.00M,,AOR,Restated
2017-09,232.00M,0.00,,,-5.00M,-5.00M,72.00M,39.00M,111.00M,111.00M,20.00M,7.00M,15.00M,,-3.00M,-36.00M,-35.00M,31.00M,,,-26.00M,-66.00M,,324.00M,,-72.00M,,,-305.00M,-10.00M,6.00M,-381.00M,,368.00M,,368.00M,18.00M,-303.00M,-285.00M,,83.00M,,299.00M,26.00M,,325.00M,,0.00,18.00M,773.00M,-405.00M,-303.00M,109.00M,11.00M,,AOR,Restated
2017-06,221.00M,-10.00M,,,0.00,-10.00M,71.00M,40.00M,111.00M,111.00M,3.00M,10.00M,17.00M,,-17.00M,17.00M,-11.00M,-90.00M,,,-39.00M,-123.00M,,228.00M,,-60.00M,,,19.00M,,1.00M,-40.00M,,93.00M,,93.00M,19.00M,-309.00M,-290.00M,,-197.00M,,308.00M,-9.00M,,299.00M,,0.00,19.00M,576.00M,-483.00M,-309.00M,195.00M,70.00M,,AOR,Restated
2017-03,247.00M,0.00,,,-26.00M,-26.00M,70.00M,38.00M,108.00M,108.00M,-3.00M,,16.00M,,16.00M,42.00M,-2.00M,50.00M,,,,90.00M,,463.00M,,-76.00M,,,-78.00M,0.00,,-154.00M,,75.00M,,75.00M,28.00M,-404.00M,-376.00M,,-301.00M,,300.00M,8.00M,,308.00M,,0.00,28.00M,597.00M,-522.00M,-404.00M,11.00M,7.00M,,AOR,Restated
2016-12,215.00M,0.00,,,-1.00M,-1.00M,76.00M,39.00M,115.00M,115.00M,14.00M,0.00,14.00M,-5.00M,0.00,-73.00M,-24.00M,61.00M,,,62.00M,26.00M,,389.00M,,-67.00M,,,0.00,0.00,-1.00M,-68.00M,,-68.00M,,-68.00M,14.00M,-275.00M,-261.00M,5.00M,-324.00M,,303.00M,-3.00M,,300.00M,,,14.00M,415.00M,-483.00M,-275.00M,-306.00M,-79.00M,,AOR,Restated
2016-09,214.00M,0.00,,,0.00,0.00,65.00M,39.00M,104.00M,104.00M,2.00M,0.00,15.00M,-9.00M,0.00,-18.00M,-2.00M,74.00M,,,-25.00M,29.00M,,355.00M,,-78.00M,,,0.00,-1.00M,1.00M,-78.00M,,73.00M,,73.00M,18.00M,-337.00M,-319.00M,9.00M,-237.00M,,263.00M,40.00M,,303.00M,,,18.00M,462.00M,-389.00M,-337.00M,103.00M,7.00M,,AOR,Restated
2016-06,212.00M,0.00,,,0.00,0.00,62.00M,40.00M,102.00M,102.00M,11.00M,0.00,17.00M,-28.00M,-32.00M,-7.00M,-6.00M,-76.00M,,,-45.00M,-134.00M,,178.00M,,-73.00M,,,0.00,,2.00M,-71.00M,,102.00M,,102.00M,17.00M,-274.00M,-257.00M,28.00M,-127.00M,,283.00M,-20.00M,,263.00M,,,17.00M,534.00M,-432.00M,-274.00M,180.00M,67.00M,,AOR,Restated
2016-03,289.00M,,,,-146.00M,-146.00M,60.00M,40.00M,100.00M,100.00M,-6.00M,17.00M,22.00M,-9.00M,30.00M,10.00M,-32.00M,113.00M,,,11.00M,102.00M,,509.00M,,-72.00M,,,-265.00M,,,-337.00M,,156.00M,,156.00M,30.00M,-359.00M,-329.00M,9.00M,-164.00M,,275.00M,8.00M,,283.00M,,,30.00M,715.00M,-559.00M,-359.00M,23.00M,5.00M,,AOR,Restated
2015-12,189.00M,,,,3.00M,3.00M,60.00M,45.00M,105.00M,105.00M,22.00M,2.00M,14.00M,-4.00M,-4.00M,-18.00M,-2.00M,13.00M,,,71.00M,64.00M,,391.00M,,-67.00M,,,0.00,,7.00M,-64.00M,,80.00M,,80.00M,11.00M,-456.00M,-445.00M,4.00M,-361.00M,,309.00M,-34.00M,,275.00M,,,11.00M,729.00M,-649.00M,-456.00M,84.00M,72.00M,,AOR,Restated
2015-09,218.00M,,,,-34.00M,-34.00M,56.00M,50.00M,106.00M,106.00M,7.00M,4.00M,15.00M,-5.00M,2.00M,-37.00M,-24.00M,97.00M,,,-30.00M,6.00M,,355.00M,,-89.00M,,,0.00,,-4.00M,-93.00M,,-3.00M,,-3.00M,13.00M,-492.00M,-479.00M,-1.00M,-483.00M,,530.00M,-221.00M,,309.00M,,,13.00M,0.00,-3.00M,-492.00M,72.00M,3.00M,,AOR,Restated
2015-06,127.00M,,,,-1.00M,84.00M,54.00M,50.00M,104.00M,104.00M,-13.00M,0.00,18.00M,-29.00M,2.00M,19.00M,-23.00M,-9.00M,,,-26.00M,-39.00M,,254.00M,,-113.00M,,,0.00,,,-113.00M,,288.00M,,288.00M,19.00M,-243.00M,-224.00M,29.00M,93.00M,,296.00M,234.00M,,530.00M,,,19.00M,1.962B,-1.674B,-243.00M,137.00M,71.00M,,AOR,Restated
2015-03,178.00M,,,,0.00,0.00,53.00M,49.00M,102.00M,102.00M,4.00M,0.00,18.00M,0.00,-1.00M,34.00M,-17.00M,47.00M,,,-19.00M,45.00M,,346.00M,,-90.00M,,,0.00,,,-90.00M,,49.00M,,49.00M,28.00M,-331.00M,-303.00M,,-254.00M,,294.00M,2.00M,,296.00M,,,28.00M,430.00M,-381.00M,-331.00M,13.00M,4.00M,,AOR,Restated
2014-12,181.00M,,,,-2.00M,-2.00M,53.00M,51.00M,104.00M,104.00M,14.00M,,12.00M,-3.00M,9.00M,-50.00M,-2.00M,21.00M,,,70.00M,39.00M,,347.00M,,-67.00M,,,,0.00,0.00,-67.00M,,-49.00M,,-49.00M,14.00M,-363.00M,-349.00M,3.00M,-395.00M,,409.00M,-115.00M,,294.00M,,0.00,14.00M,60.00M,-109.00M,-363.00M,105.00M,67.00M,,AOR,Restated
2014-09,239.00M,,,,-85.00M,-85.00M,51.00M,50.00M,101.00M,101.00M,16.00M,,10.00M,-3.00M,7.00M,-17.00M,-13.00M,101.00M,,,-21.00M,50.00M,,391.00M,,-75.00M,,,,7.00M,-2.00M,-70.00M,,0.00,,0.00,13.00M,-257.00M,-244.00M,4.00M,-240.00M,,329.00M,80.00M,,409.00M,,-1.00M,13.00M,0.00,0.00,-257.00M,94.00M,5.00M,,AOR,Restated
2014-06,166.00M,,,,0.00,0.00,48.00M,51.00M,99.00M,99.00M,-28.00M,,12.00M,-12.00M,24.00M,26.00M,-21.00M,2.00M,,,-21.00M,-14.00M,,277.00M,,-80.00M,,,,,1.00M,-79.00M,,0.00,,0.00,14.00M,-193.00M,-179.00M,3.00M,-176.00M,,307.00M,22.00M,,329.00M,,0.00,14.00M,482.00M,-482.00M,-193.00M,125.00M,68.00M,,AOR,Restated
2014-03,168.00M,,,,-4.00M,-4.00M,48.00M,52.00M,100.00M,100.00M,1.00M,,15.00M,,-9.00M,-1.00M,-3.00M,44.00M,,,-19.00M,21.00M,,292.00M,,-70.00M,,,,,,-70.00M,,0.00,,0.00,12.00M,-335.00M,-323.00M,8.00M,-315.00M,,400.00M,-93.00M,,307.00M,,0.00,12.00M,62.00M,-62.00M,-335.00M,12.00M,4.00M,,AOR,Restated
2013-12,220.00M,,,,-73.00M,-73.00M,48.00M,54.00M,102.00M,102.00M,2.00M,0.00,9.00M,,74.00M,-40.00M,3.00M,49.00M,,,88.00M,100.00M,,358.00M,,-65.00M,,,0.00,2.00M,-1.00M,-64.00M,,-83.00M,,-83.00M,12.00M,-123.00M,-111.00M,-18.00M,-212.00M,,321.00M,79.00M,,400.00M,,-3.00M,12.00M,933.00M,-1.016B,-123.00M,61.00M,68.00M,,AOR,Restated
2013-09,161.00M,,,,-1.00M,-1.00M,48.00M,53.00M,101.00M,101.00M,15.00M,0.00,11.00M,,-3.00M,-20.00M,-6.00M,28.00M,,,-2.00M,0.00,,284.00M,,-61.00M,,,-14.00M,2.00M,-1.00M,-74.00M,,-21.00M,,-21.00M,13.00M,-201.00M,-188.00M,5.00M,-204.00M,,320.00M,1.00M,,321.00M,,-5.00M,13.00M,109.00M,-130.00M,-201.00M,103.00M,6.00M,,AOR,Restated
2013-06,152.00M,,,,-1.00M,-1.00M,48.00M,55.00M,103.00M,103.00M,-19.00M,0.00,12.00M,,-1.00M,-14.00M,-13.00M,-36.00M,,,-14.00M,-77.00M,,175.00M,,-52.00M,,,0.00,,,64.00M,,-96.00M,,-96.00M,11.00M,-187.00M,-176.00M,3.00M,-269.00M,,356.00M,-36.00M,,320.00M,,-6.00M,11.00M,199.00M,-295.00M,-187.00M,124.00M,68.00M,,AOR,Restated
2013-03,117.00M,,,,-5.00M,-5.00M,49.00M,48.00M,97.00M,97.00M,-7.00M,30.00M,14.00M,,-5.00M,27.00M,-32.00M,-4.00M,,,-10.00M,-19.00M,,222.00M,,-58.00M,,,-16.00M,,,-74.00M,,-138.00M,,-138.00M,13.00M,-67.00M,-54.00M,4.00M,-188.00M,,358.00M,-2.00M,,356.00M,,38.00M,13.00M,1.011B,-1.149B,-67.00M,11.00M,23.00M,,AOR,Restated
2012-12,158.00M,,,0.00,,-11.00M,48.00M,40.00M,88.00M,88.00M,16.00M,0.00,9.00M,,9.00M,-36.00M,-38.00M,16.00M,,,50.00M,-8.00M,,284.00M,,-48.00M,,,0.00,1.00M,0.00,-15.00M,,-221.00M,,-221.00M,16.00M,-54.00M,-38.00M,4.00M,-255.00M,,307.00M,51.00M,,358.00M,,37.00M,16.00M,475.00M,-696.00M,-54.00M,75.00M,53.00M,,AOR,Restated
2012-09,140.00M,,,-88.00M,,-88.00M,49.00M,40.00M,89.00M,89.00M,-9.00M,0.00,10.00M,,-4.00M,-37.00M,-5.00M,72.00M,,,-6.00M,24.00M,,162.00M,,-44.00M,,,0.00,21.00M,-1.00M,-24.00M,,30.00M,,30.00M,28.00M,-184.00M,-156.00M,-6.00M,-132.00M,,302.00M,5.00M,,307.00M,,-1.00M,28.00M,838.00M,-808.00M,-184.00M,77.00M,21.00M,,AOR,Restated
2012-06,162.00M,,,,,,46.00M,40.00M,86.00M,86.00M,-1.00M,0.00,11.00M,,-9.00M,43.00M,-37.00M,-79.00M,,,-30.00M,-103.00M,,146.00M,,-43.00M,,,0.00,6.00M,-2.00M,-39.00M,,18.00M,,18.00M,17.00M,-153.00M,-136.00M,3.00M,-115.00M,,311.00M,-9.00M,,302.00M,,-1.00M,17.00M,156.00M,-138.00M,-153.00M,130.00M,67.00M,,AOR,Restated
2012-03,132.00M,,,,,,47.00M,40.00M,87.00M,87.00M,-1.00M,0.00,14.00M,,-7.00M,18.00M,-5.00M,-9.00M,,,5.00M,9.00M,,234.00M,,-58.00M,,,0.00,,,-58.00M,,0.00,,0.00,35.00M,-243.00M,-208.00M,4.00M,-204.00M,,337.00M,-26.00M,,311.00M,,2.00M,35.00M,0.00,0.00,-243.00M,39.00M,17.00M,,AOR,Restated
2011-12,478.00M,,,0.00,,-18.00M,46.00M,40.00M,86.00M,86.00M,-7.00M,,10.00M,,-326.00M,-89.00M,4.00M,67.00M,,,47.00M,29.00M,,264.00M,,-46.00M,,,0.00,0.00,,-46.00M,,-121.00M,,-121.00M,10.00M,-49.00M,-39.00M,1.00M,-159.00M,,281.00M,56.00M,,337.00M,,-3.00M,10.00M,0.00,-121.00M,-49.00M,,,,AOR,Restated
2011-09,-202.00M,,,-6.00M,,24.00M,48.00M,38.00M,86.00M,86.00M,34.00M,,8.00M,,332.00M,-22.00M,4.00M,14.00M,,22.00M,-37.00M,-19.00M,,263.00M,,-42.00M,,,-462.00M,-4.00M,4.00M,-462.00M,,-157.00M,,-157.00M,13.00M,-51.00M,-38.00M,0.00,-195.00M,,675.00M,-394.00M,,281.00M,,0.00,13.00M,191.00M,-348.00M,-51.00M,,,,AOR,Restated
2011-06,97.00M,,,,,55.00M,49.00M,39.00M,88.00M,88.00M,-2.00M,,9.00M,,-5.00M,-20.00M,-10.00M,-59.00M,,-18.00M,,-107.00M,,135.00M,,-46.00M,,,0.00,,2.00M,-44.00M,,241.00M,,241.00M,18.00M,-181.00M,-163.00M,-4.00M,74.00M,,517.00M,158.00M,,675.00M,,-7.00M,18.00M,998.00M,-757.00M,-181.00M,,,,AOR,Restated
2011-03,114.00M,,,,,,47.00M,38.00M,85.00M,85.00M,4.00M,,12.00M,,-9.00M,48.00M,-24.00M,57.00M,,-4.00M,,77.00M,,283.00M,,-56.00M,,,-49.00M,,-6.00M,-111.00M,,,,,32.00M,-252.00M,-220.00M,2.00M,-218.00M,,563.00M,-46.00M,,517.00M,,,32.00M,,,-252.00M,,,,AOR,Restated
2010-12,3.00M,,,,40.00M,66.00M,49.00M,38.00M,87.00M,87.00M,16.00M,,10.00M,,113.00M,-29.00M,9.00M,-4.00M,,26.00M,7.00M,9.00M,,304.00M,,-46.00M,,,49.00M,,23.00M,26.00M,,-378.00M,,-378.00M,21.00M,-159.00M,-138.00M,0.00,-516.00M,,743.00M,-209.00M,,563.00M,,-23.00M,21.00M,0.00,-378.00M,-159.00M,-190.00M,-111.00M,,AOR,Restated
2010-09,-246.00M,,,,0.00,0.00,48.00M,37.00M,85.00M,85.00M,12.00M,,9.00M,,375.00M,-41.00M,1.00M,21.00M,,14.00M,-7.00M,-12.00M,,223.00M,,-45.00M,,,-1.00M,,-18.00M,-64.00M,,268.00M,,268.00M,11.00M,-48.00M,-37.00M,-13.00M,218.00M,,338.00M,405.00M,,743.00M,,28.00M,11.00M,748.00M,-480.00M,-48.00M,190.00M,111.00M,,AOR,
2010-06,130.00M,,,,,,47.00M,36.00M,83.00M,83.00M,4.00M,,10.00M,,-3.00M,19.00M,6.00M,-54.00M,,-24.00M,,-53.00M,,171.00M,,-42.00M,,,-8.00M,,7.00M,-43.00M,,-76.00M,,-76.00M,9.00M,-135.00M,-126.00M,0.00,-202.00M,,416.00M,-78.00M,,338.00M,,-4.00M,9.00M,0.00,-76.00M,-135.00M,,,,AOR,
2010-03,123.00M,,,,,,47.00M,37.00M,84.00M,84.00M,5.00M,,10.00M,,-10.00M,39.00M,-12.00M,11.00M,,10.00M,,48.00M,,260.00M,,-42.00M,,,0.00,,7.00M,-35.00M,,-126.00M,,-126.00M,21.00M,-71.00M,-50.00M,5.00M,-171.00M,,363.00M,53.00M,,416.00M,,-1.00M,21.00M,,-126.00M,-71.00M,,,,AOR,Restated
2009-12,128.00M,,,,,,48.00M,37.00M,85.00M,85.00M,15.00M,,8.00M,,-3.00M,-36.00M,-6.00M,-16.00M,,36.00M,,-22.00M,,211.00M,,-47.00M,,,,,69.00M,-35.00M,,-41.00M,,-41.00M,15.00M,-47.00M,-32.00M,-100.00M,-173.00M,,278.00M,3.00M,,363.00M,,,15.00M,,-41.00M,-47.00M,,,,AOR,Restated
2009-09,124.00M,,,,,,47.00M,37.00M,84.00M,84.00M,44.00M,,8.00M,,-5.00M,0.00,0.00,3.00M,,-14.00M,,-11.00M,,244.00M,,-53.00M,,,,,-67.00M,-120.00M,,-106.00M,,-106.00M,12.00M,-64.00M,-52.00M,-1.00M,-159.00M,,306.00M,-35.00M,,278.00M,,,12.00M,,-106.00M,-64.00M,,,,AOR,Restated
2009-06,115.00M,,,,,,46.00M,37.00M,83.00M,83.00M,2.00M,,9.00M,,-4.00M,28.00M,-7.00M,-45.00M,,-17.00M,,-41.00M,,164.00M,,-53.00M,,,,,2.00M,-51.00M,,-127.00M,,-127.00M,8.00M,-39.00M,-31.00M,1.00M,-157.00M,,307.00M,-44.00M,,306.00M,,,8.00M,,-127.00M,-39.00M,,,,AOR,Restated
2009-03,106.00M,,,,,,47.00M,34.00M,81.00M,81.00M,3.00M,,11.00M,,-1.00M,52.00M,4.00M,-13.00M,,-12.00M,,31.00M,,231.00M,,-45.00M,,,,,3.00M,-42.00M,,-101.00M,,-101.00M,10.00M,-25.00M,-15.00M,4.00M,-112.00M,,230.00M,77.00M,,307.00M,,,10.00M,,-101.00M,-25.00M,,,,AOR,Restated
2008-12,-149.00M,,,,,43.00M,81.00M,-7.00M,74.00M,74.00M,-32.00M,,34.00M,,-32.00M,-36.00M,10.00M,0.00,,43.00M,,17.00M,-728.00M,-773.00M,,-59.00M,,139.00M,-61.00M,,9.00M,722.00M,,-563.00M,,-155.00M,3.00M,-197.00M,-194.00M,12.00M,-302.00M,,472.00M,-353.00M,,268.00M,,,3.00M,,-1.303B,-197.00M,,,,AOR,Restated
2008-09,306.00M,,,,,-22.00M,14.00M,76.00M,90.00M,90.00M,25.00M,,-18.00M,,26.00M,-5.00M,-12.00M,52.00M,,-26.00M,,9.00M,416.00M,832.00M,,-47.00M,,-139.00M,508.00M,,10.00M,471.00M,,892.00M,,-256.00M,9.00M,-150.00M,-141.00M,-5.00M,-402.00M,,211.00M,261.00M,,472.00M,,-640.00M,9.00M,,892.00M,-150.00M,,,,,
2008-06,-128.00M,,,,,,53.00M,43.00M,96.00M,96.00M,-1.00M,,18.00M,,-9.00M,4.00M,-7.00M,-21.00M,,-6.00M,,-30.00M,232.00M,178.00M,,-42.00M,,50.00M,-18.00M,,2.00M,-58.00M,,-892.00M,,-260.00M,9.00M,0.00,9.00M,-9.00M,-260.00M,,371.00M,500.00M,,211.00M,,640.00M,9.00M,,-892.00M,0.00,,,,,Restated
2008-03,329.00M,,,,,,52.00M,38.00M,90.00M,90.00M,7.00M,,,,7.00M,-2.00M,5.00M,13.00M,,,,16.00M,-232.00M,217.00M,,-50.00M,,-50.00M,-17.00M,,-30.00M,-97.00M,,,,-632.00M,16.00M,-94.00M,-78.00M,4.00M,-706.00M,,957.00M,-586.00M,,371.00M,,,16.00M,,,-94.00M,,,,,
2007-12,71.00M,,,,,,147.00M,39.00M,34.00M,34.00M,16.00M,,,,3.00M,-14.00M,-19.00M,17.00M,,19.00M,,3.00M,9.00M,106.00M,,-37.00M,,119.00M,-4.237B,,,-4.255B,,,,4.264B,10.00M,0.00,10.00M,-18.00M,4.256B,,161.00M,107.00M,,297.00M,,,10.00M,,,0.00,,,,,Restated
2007-09,121.00M,,,,,,,,51.00M,51.00M,13.00M,,,,1.00M,-34.00M,-6.00M,25.00M,,-2.00M,,-17.00M,-1.00M,168.00M,,-37.00M,,-37.00M,-51.00M,,,-88.00M,,,,71.00M,9.00M,-147.00M,-138.00M,-4.00M,-71.00M,,152.00M,9.00M,,161.00M,,,9.00M,,,-147.00M,,,,,
2007-06,108.00M,,,,,,-36.00M,-7.00M,58.00M,58.00M,-4.00M,,,,-1.00M,6.00M,-7.00M,-32.00M,,-2.00M,,-35.00M,3.00M,129.00M,,-37.00M,,-37.00M,-1.00M,,,-38.00M,,,,53.00M,17.00M,-180.00M,-163.00M,8.00M,-102.00M,,141.00M,-11.00M,,152.00M,,,17.00M,,,-180.00M,,,,,
2007-03,114.00M,,,,,,36.00M,7.00M,43.00M,43.00M,-5.00M,,,,8.00M,7.00M,,13.00M,,-7.00M,,13.00M,-11.00M,162.00M,,-45.00M,,-45.00M,-44.00M,,,-89.00M,,,,74.00M,14.00M,-142.00M,-128.00M,-5.00M,-59.00M,,127.00M,14.00M,,141.00M,,,14.00M,,,-142.00M,,,,,
2006-12,106.03M,,,,,,,,64.08M,64.08M,-4.485M,,,,-2.65M,-28.40M,-0.676M,-4.953M,,52.78M,,18.75M,16.42M,198.15M,,-42.21M,,-42.21M,2.791M,107.00M,-3.585M,35.99M,,,,-85.77M,8.086M,-138.60M,-130.52M,0.825M,-215.46M,,151.85M,18.68M,,185.00M,,,8.086M,,,-138.60M,,,,,
