,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2018-03,98.96M,,,,10.18M,10.87M,21.05M,21.05M,-2.041M,,,7.652M,,0.215M,-30.82M,-21.12M,-19.06M,16.88M,,,-54.11M,,71.73M,-10.01M,0.00,-10.01M,,,-0.184M,-10.19M,,,,,0.00,0.00,-28.94M,-28.94M,6.59M,-4.132M,-26.49M,375.95M,35.05M,1.974M,412.97M,,,,0.00,10.94M,0.355M
2017-12,93.75M,,,,9.889M,10.52M,20.41M,20.41M,-35.63M,,,6.262M,,28.36M,12.60M,5.629M,18.67M,-4.918M,,,31.99M,,136.17M,-15.80M,0.852M,-14.95M,0.00,-16.37M,-0.196M,-31.51M,-18.93M,,-18.93M,,-6.424M,-6.424M,-28.30M,-28.30M,3.955M,9.005M,-40.69M,303.29M,63.97M,8.693M,375.95M,,0.00,-18.93M,-6.424M,26.22M,17.41M
2017-09,83.77M,,,,9.792M,11.49M,21.28M,21.28M,-0.526M,,,5.745M,,0.847M,2.703M,-0.073M,16.92M,-6.667M,,,12.89M,,124.00M,-8.515M,5.159M,-3.356M,0.00,0.00,-0.433M,-3.789M,-15.40M,,-15.40M,,-12.85M,-12.85M,-28.30M,-28.30M,5.996M,-0.089M,-50.64M,218.36M,69.58M,15.36M,303.29M,,0.00,-15.40M,-12.85M,27.92M,0.354M
2017-06,83.84M,,,,9.73M,12.10M,21.83M,21.83M,1.121M,,,6.239M,,-0.381M,-11.05M,-2.035M,3.047M,-15.02M,,,-25.06M,,87.60M,-9.377M,,-9.377M,,,-0.45M,-9.827M,-66.07M,,-66.07M,,-2.794M,-2.794M,-28.24M,-28.24M,6.91M,3.501M,-86.70M,216.10M,-8.927M,11.19M,218.36M,,20.00M,-86.07M,-2.794M,44.82M,18.29M
2017-03,75.90M,,,,8.903M,11.79M,20.69M,20.69M,1.293M,,,6.159M,,3.562M,-20.06M,-2.761M,-6.377M,6.57M,,,-22.63M,,84.98M,-10.16M,,-10.16M,,,0.546M,-9.616M,-67.22M,,-67.22M,,-7.005M,-7.005M,-26.33M,-26.33M,6.074M,-4.909M,-99.39M,235.96M,-24.03M,4.159M,216.10M,,13.00M,-80.22M,-7.005M,5.888M,0.76M
2016-12,57.35M,20.23M,,23.76M,9.494M,13.07M,22.57M,22.57M,-22.19M,,,5.001M,,5.375M,2.48M,10.50M,14.28M,-3.73M,,,23.53M,,115.59M,-9.60M,0.049M,-9.551M,,6.535M,0.004M,-3.012M,-76.95M,,-76.95M,,0.00,0.00,-25.28M,-25.28M,7.086M,-0.029M,-95.17M,239.40M,17.41M,-20.84M,235.96M,,41.00M,-117.95M,0.00,32.15M,18.81M
2016-09,69.87M,2.067M,,2.067M,9.374M,12.82M,22.19M,22.19M,1.211M,,,3.722M,,-0.216M,20.45M,10.86M,-3.636M,-1.043M,,,26.63M,,125.48M,-11.59M,0.00,-11.59M,,-255.92M,-0.10M,-267.61M,44.16M,,44.16M,,-1.301M,-1.301M,-25.94M,-25.94M,6.22M,-0.223M,22.92M,361.49M,-119.20M,-2.889M,239.40M,,180.13M,-135.97M,-1.301M,28.11M,1.242M
2016-06,75.76M,,,,9.919M,12.26M,22.18M,22.18M,0.719M,,,5.161M,,2.854M,-3.358M,11.66M,-15.85M,-10.64M,,,-18.19M,,88.48M,-8.402M,,-8.402M,,0.00,-0.064M,-8.466M,-40.21M,,-40.21M,,-9.107M,-9.107M,-26.77M,-26.77M,8.676M,-0.205M,-67.61M,358.44M,12.40M,-9.356M,361.49M,,205.00M,-245.21M,-9.107M,39.63M,16.05M
2016-03,68.13M,,,,9.067M,10.89M,19.96M,19.96M,2.95M,,,6.442M,,-0.79M,-19.27M,-0.27M,-0.19M,-6.597M,,,-26.32M,,70.36M,-8.65M,,-8.65M,,-221.56M,0.091M,-230.12M,254.40M,,254.40M,,-46.86M,-46.86M,-24.66M,-24.66M,8.258M,-4.717M,186.41M,328.02M,26.66M,3.765M,358.44M,,275.39M,-20.99M,-46.86M,9.516M,0.965M
2015-12,67.76M,0.00,,-0.114M,9.06M,11.09M,20.15M,20.15M,-1.812M,,,5.313M,-0.915M,3.635M,10.25M,11.03M,-17.56M,0.014M,,,3.729M,,98.54M,-11.16M,,-10.27M,,-1.85M,-0.92M,-13.04M,-7.285M,,-7.285M,,-33.05M,-33.05M,-24.50M,-24.50M,4.05M,0.832M,-59.95M,306.48M,25.55M,-4.011M,328.02M,,30.41M,-37.70M,-33.05M,42.40M,15.43M
2015-09,79.50M,-18.07M,,-18.07M,9.174M,11.20M,20.38M,20.38M,0.949M,,,2.933M,-0.267M,2.389M,13.86M,3.999M,9.793M,-2.112M,,,25.54M,,113.35M,-8.785M,,-8.785M,,7.847M,0.752M,-0.186M,-22.07M,,-22.07M,,-64.18M,-64.18M,-24.76M,-24.76M,1.708M,-0.123M,-109.43M,311.50M,3.74M,-8.753M,306.48M,,33.28M,-55.35M,-64.18M,33.88M,0.773M
2015-06,69.58M,,,,8.88M,10.21M,19.09M,19.09M,-0.476M,,,4.92M,-0.863M,3.658M,2.765M,0.742M,-4.355M,3.961M,,,3.113M,,99.02M,-13.75M,,-13.75M,,-173.33M,-0.057M,-187.14M,-33.59M,,-33.59M,,-51.46M,-51.46M,-24.76M,-24.76M,4.274M,-0.555M,-106.09M,494.50M,-194.20M,11.20M,311.50M,,295.34M,-328.93M,-51.46M,25.93M,16.50M
2015-03,65.95M,,,,8.58M,9.93M,18.51M,18.51M,1.00M,,,6.882M,-3.22M,1.496M,-18.04M,-11.22M,-7.373M,-4.591M,,,-41.22M,,49.40M,-10.08M,,-10.08M,,0.00,-0.048M,-10.12M,54.92M,,54.92M,,-62.13M,-62.13M,-22.15M,-22.15M,9.185M,0.113M,-20.06M,509.14M,19.22M,-33.86M,494.50M,,55.00M,-0.077M,-62.13M,10.41M,0.791M
2014-12,61.62M,0.00,,-0.351M,8.39M,10.24M,18.62M,18.62M,-3.423M,,,4.272M,-0.915M,1.32M,10.28M,10.07M,0.037M,-2.631M,,,17.76M,,101.38M,-14.18M,,-12.72M,,-0.001M,-0.228M,-12.95M,44.83M,,44.83M,,-73.85M,-73.85M,-22.20M,-22.20M,3.374M,0.866M,-46.98M,487.07M,41.45M,-19.38M,509.14M,,60.00M,-15.17M,-73.85M,30.67M,16.04M
2014-09,71.44M,0.00,,0.00,8.589M,11.02M,19.61M,19.61M,-4.699M,,,4.482M,-1.68M,4.13M,-5.176M,-2.304M,13.82M,0.782M,,,7.12M,,100.40M,-10.52M,,-10.52M,,0.553M,-0.023M,-9.991M,14.40M,,14.40M,,-62.98M,-62.98M,-22.33M,-22.33M,4.956M,-0.387M,-66.34M,485.34M,24.07M,-22.34M,487.07M,,25.00M,-10.60M,-62.98M,29.82M,0.171M
2014-06,71.78M,,,,8.347M,11.07M,19.42M,19.42M,0.277M,,,5.651M,-0.755M,0.355M,17.69M,-2.979M,-22.37M,2.933M,,,-4.726M,,92.00M,-12.49M,,-12.49M,,-26.00M,-0.05M,-38.54M,37.44M,,37.44M,,-45.52M,-45.52M,-22.56M,-22.56M,2.677M,0.533M,-27.44M,458.38M,26.02M,0.934M,485.34M,,60.00M,-22.56M,-45.52M,43.97M,16.27M
2014-03,74.55M,,,,8.394M,10.86M,19.26M,19.26M,-0.748M,,,6.312M,-2.925M,0.73M,-33.91M,-12.60M,29.81M,-6.285M,,,-22.99M,,74.18M,-10.81M,,-10.81M,,,0.021M,-10.79M,6.397M,,6.397M,,-37.54M,-37.54M,-18.63M,-18.63M,6.154M,0.311M,-43.30M,439.63M,20.09M,-1.34M,458.38M,,20.01M,-13.62M,-37.54M,17.84M,0.085M
2013-12,67.56M,,,,8.594M,11.04M,19.64M,19.64M,-4.34M,,,3.529M,-1.663M,2.396M,3.241M,6.444M,2.979M,-0.819M,,,11.84M,,101.61M,-8.396M,,-7.829M,,0.00,-0.127M,-7.956M,-12.44M,,-12.44M,,-30.23M,-30.23M,-18.95M,-18.95M,5.468M,0.499M,-55.65M,399.80M,38.00M,1.822M,439.63M,,10.03M,-22.47M,-30.23M,25.50M,16.00M
2013-09,63.80M,,,,8.566M,11.21M,19.78M,19.78M,1.248M,,,3.975M,-2.126M,3.001M,16.11M,-2.736M,12.71M,2.638M,,,28.72M,,118.40M,-7.318M,,-7.318M,,0.00,-0.087M,-7.405M,-35.18M,,-35.18M,,-52.79M,-52.79M,-18.54M,-18.54M,6.855M,2.117M,-97.54M,374.49M,13.45M,11.87M,399.80M,,0.001M,-35.18M,-52.79M,22.72M,0.874M
2013-06,62.56M,,,,8.899M,11.18M,20.08M,20.08M,0.053M,,,3.877M,-2.332M,2.428M,1.687M,8.495M,4.217M,8.256M,,,22.66M,,109.32M,-8.197M,,-8.197M,,-2.201M,-0.073M,-10.47M,-8.532M,,-8.532M,,-51.36M,-51.36M,-18.85M,-18.85M,12.22M,-0.886M,-67.40M,341.04M,31.44M,1.999M,374.49M,,22.99M,-31.52M,-51.36M,18.44M,16.01M
2013-03,61.30M,,,,8.948M,10.89M,19.84M,19.84M,-0.117M,,,5.612M,-2.439M,2.125M,-14.84M,-3.115M,7.346M,-3.513M,,,-14.12M,,72.20M,-7.625M,,-7.625M,,-34.65M,-0.057M,-42.33M,39.78M,,39.78M,,-33.12M,-33.12M,-16.58M,-16.58M,10.76M,0.704M,1.553M,318.86M,31.42M,-9.237M,341.04M,,40.09M,-0.305M,-33.12M,7.002M,0.545M
2012-12,-119.02M,,,,9.623M,10.75M,20.37M,20.37M,-41.85M,,,1.94M,-1.179M,0.814M,20.95M,14.61M,-4.564M,-4.911M,,,26.08M,,85.68M,-7.699M,,-7.699M,,0.091M,-0.164M,-7.772M,-3.454M,,-3.454M,,-14.39M,-14.39M,-16.54M,-16.54M,10.76M,1.011M,-22.61M,260.50M,55.30M,3.062M,318.86M,,24.98M,-28.43M,-14.39M,25.55M,10.03M
2012-09,50.13M,,,,9.112M,10.43M,19.54M,19.54M,1.084M,,,2.986M,-0.839M,3.559M,-0.809M,8.40M,15.59M,1.38M,,,24.56M,,101.02M,-9.42M,,-9.42M,,-34.82M,-0.275M,-44.52M,24.90M,,24.90M,,-39.13M,-39.13M,-16.66M,-16.66M,7.039M,0.83M,-23.03M,221.11M,33.48M,5.915M,260.50M,,52.99M,-28.10M,-39.13M,30.53M,1.952M
2012-06,54.35M,,,,8.854M,10.35M,19.20M,19.20M,3.463M,,,3.515M,-0.338M,2.444M,8.06M,0.999M,-9.509M,-1.452M,,,-1.902M,,80.74M,-10.17M,,-10.17M,,-34.20M,-0.05M,-44.42M,-12.29M,,-12.29M,,-25.86M,-25.86M,-16.73M,-16.73M,3.61M,0.242M,-51.03M,245.54M,-14.71M,-9.719M,221.11M,,42.00M,-54.29M,-25.86M,22.23M,18.12M
2012-03,52.17M,,,,9.238M,9.952M,19.19M,19.19M,0.074M,,,4.661M,-2.118M,0.516M,-15.45M,-0.212M,7.054M,-7.144M,,,-15.75M,,58.74M,-8.515M,,-8.515M,,0.00,-0.04M,-8.555M,-38.50M,,-38.50M,,-10.18M,-10.18M,-14.16M,-14.16M,24.37M,-1.343M,-39.82M,230.26M,10.37M,4.918M,245.54M,,9.509M,-48.01M,-10.18M,9.292M,2.537M
2011-12,,,0.00,-38.71M,9.212M,10.06M,19.27M,19.27M,-5.199M,-0.947M,,2.321M,-0.378M,-131.55M,2.233M,12.42M,-12.57M,,,,2.962M,,41.63M,-7.191M,0.00,-7.191M,,2.435M,-1.117M,-5.873M,740.29M,-746.22M,-5.929M,,0.00,0.00,-54.61M,-14.16M,1.731M,-0.92M,-19.27M,220.46M,16.49M,-6.688M,230.26M,,437.24M,-443.17M,0.00,19.34M,11.50M
2011-09,,,0.00,0.00,10.54M,9.997M,20.54M,20.54M,-0.804M,0.30M,,-0.327M,-0.91M,50.74M,7.001M,6.506M,11.72M,,,,25.23M,,94.77M,-9.366M,0.00,-9.366M,,-0.025M,0.027M,-9.364M,-59.97M,7.00M,-52.97M,,0.00,0.00,,-14.10M,7.28M,0.872M,-58.92M,202.96M,26.49M,-8.99M,220.46M,,6.997M,-59.97M,0.00,11.44M,3.425M
2011-06,,,-2.831M,-2.831M,8.803M,8.151M,16.95M,16.95M,-0.584M,0.396M,,5.233M,-1.64M,45.98M,-3.397M,-6.657M,-1.745M,,,,-11.80M,,51.71M,-7.176M,12.65M,5.475M,,-395.68M,-0.163M,-390.37M,-383.11M,739.22M,356.12M,,0.00,0.00,12.29M,-14.07M,8.002M,-6.587M,343.46M,195.55M,4.801M,2.612M,202.96M,,741.11M,-384.99M,0.00,30.60M,10.75M
2011-03,,,,,8.324M,7.298M,15.62M,15.62M,3.011M,0.251M,,4.849M,-2.37M,41.61M,-22.32M,-12.88M,1.356M,,,,-33.84M,,29.13M,-11.44M,,-11.44M,,-50.36M,-2.126M,-63.93M,-17.98M,0.00,-17.98M,,0.00,0.00,-12.29M,-12.29M,16.05M,2.364M,-11.86M,235.14M,-46.66M,7.073M,195.55M,,0.00,-17.98M,0.00,4.712M,2.074M
2010-12,157.10M,,0.012M,-30.96M,6.759M,6.461M,13.22M,13.22M,-8.546M,-0.371M,,4.50M,-0.186M,-105.85M,-2.478M,1.013M,2.671M,,,,-1.779M,,27.13M,-5.734M,0.72M,-5.014M,,-22.96M,,-27.97M,39.96M,,39.96M,,,,-46.33M,-12.25M,9.332M,-3.838M,33.20M,206.05M,32.36M,-3.282M,235.14M,,298.22M,-258.26M,,27.52M,6.658M
2010-09,,,0.00,0.00,8.688M,6.547M,15.24M,15.24M,-0.446M,0.152M,,3.528M,-0.987M,39.45M,1.266M,-13.05M,16.49M,,,,4.707M,,61.64M,-8.473M,0.00,-8.473M,,-17.06M,,-25.53M,5.55M,0.00,5.55M,,,,,-12.21M,2.731M,0.987M,-2.945M,159.14M,33.17M,13.75M,206.05M,,5.63M,-0.08M,,21.37M,3.278M
2010-06,-36.62M,,0.00,0.00,8.904M,6.465M,15.37M,15.37M,-0.008M,0.115M,,4.582M,-1.73M,80.19M,5.321M,-5.122M,6.478M,,,,6.677M,,68.57M,-9.985M,0.00,-9.985M,,-51.27M,,-61.26M,90.67M,0.00,90.67M,,,,9.697M,-12.17M,4.797M,0.987M,84.29M,71.39M,91.60M,-3.852M,159.14M,,152.89M,-62.22M,,19.13M,3.268M
2010-03,36.62M,,,,8.016M,6.268M,14.28M,14.28M,1.664M,0.104M,,4.748M,-0.554M,-7.71M,-26.27M,-9.496M,13.74M,,,,-22.03M,,27.13M,-7.548M,,-7.548M,,0.00,,-7.548M,-11.08M,,-11.08M,,,,-9.697M,-9.697M,1.197M,0.554M,-19.02M,73.53M,0.56M,-2.698M,71.39M,,,-11.08M,,5.843M,3.572M
2009-12,33.09M,,0.00,0.00,8.368M,6.085M,14.45M,14.45M,-3.221M,0.076M,,2.929M,-1.239M,9.266M,5.969M,2.375M,-8.837M,,,,-0.493M,,54.86M,-6.713M,0.00,-6.713M,,0.00,1.531M,-5.182M,-46.19M,,-46.19M,,,,,-9.668M,4.002M,1.13M,-50.73M,74.43M,-1.053M,0.15M,73.53M,,5.208M,-51.40M,,18.94M,3.911M
2009-09,29.78M,,-0.237M,-0.237M,7.862M,6.273M,14.14M,14.14M,-2.39M,0.078M,,3.81M,-0.263M,6.951M,13.42M,6.69M,12.79M,,,,32.90M,,84.76M,-7.376M,0.70M,-6.676M,,0.00,-0.001M,-6.677M,-63.68M,,-63.68M,,,,,-9.667M,1.189M,-0.176M,-72.34M,67.92M,5.749M,0.764M,74.43M,,10.14M,-73.82M,,6.94M,3.736M
2009-06,27.92M,,0.684M,0.684M,8.029M,6.135M,14.16M,14.16M,0.365M,0.081M,,3.426M,-0.62M,-0.516M,11.71M,13.87M,-15.82M,,,,9.762M,,55.27M,-6.118M,1.272M,-4.846M,,0.00,0.08M,-4.766M,-40.65M,,-40.65M,,,,,-9.779M,1.387M,0.059M,-48.99M,63.10M,1.516M,3.303M,67.92M,,22.46M,-63.11M,,16.77M,4.545M
2009-03,22.60M,,,,7.591M,6.003M,13.59M,13.59M,6.327M,0.073M,,5.545M,-0.64M,-6.304M,-5.025M,0.213M,-18.74M,,,,-23.56M,,17.64M,-4.852M,1.61M,-3.242M,,,0.25M,-2.992M,-4.961M,,-4.961M,,,,,-9.523M,1.116M,0.436M,-12.93M,61.35M,1.719M,0.025M,63.10M,,32.31M,-37.27M,,8.143M,5.119M
2008-12,20.52M,,,,7.521M,5.986M,13.51M,13.51M,-2.67M,,,,,-30.55M,14.85M,2.979M,-3.255M,,-1.291M,,13.28M,,56.34M,-8.733M,,-8.733M,,-236.64M,140.00M,-245.38M,,,82.86M,-9.407M,,-59.41M,,-9.902M,,-2.479M,21.49M,233.98M,-167.54M,-5.079M,61.35M,-9.407M,,,,,
2008-09,19.08M,,,,7.033M,3.691M,10.72M,10.72M,-11.26M,,,,,30.58M,19.85M,2.232M,-7.926M,,4.766M,4.864M,23.79M,,72.91M,-5.901M,,-5.901M,,0.03M,-140.00M,-5.871M,,,62.43M,1.503M,,1.503M,,-9.886M,,0.641M,54.69M,118.54M,121.73M,-6.288M,233.98M,1.503M,,,,,
2008-06,46.05M,,,,8.348M,3.875M,12.22M,12.22M,-0.795M,,,,,3.059M,3.545M,3.292M,-1.166M,,0.675M,-1.374M,4.972M,,65.51M,-6.927M,,-6.927M,,-0.628M,0.00,-7.555M,,,-38.90M,7.379M,,7.379M,,-9.821M,,1.413M,-39.92M,99.82M,18.03M,0.688M,118.54M,7.379M,,,,,
2008-03,41.38M,,,,8.087M,4.058M,12.14M,12.14M,3.907M,,,,,2.793M,-18.58M,-12.89M,7.177M,,-4.15M,-3.49M,-31.93M,,28.29M,-6.276M,,-6.276M,,-155.58M,140.00M,-21.85M,,,-5.888M,0.525M,,0.525M,,-9.789M,,1.579M,-13.57M,102.76M,-7.134M,4.193M,99.82M,0.525M,,,,,
2007-12,38.44M,,,-3.521M,7.081M,2.767M,9.848M,9.848M,-0.732M,,,,,2.202M,2.398M,3.231M,-4.498M,,10.79M,,13.68M,0.002M,59.91M,-5.734M,0.00,-5.734M,,-30.23M,,-174.47M,,,150.35M,1.747M,,1.747M,,-9.759M,,0.627M,143.02M,74.99M,28.46M,-0.696M,102.76M,1.747M,,,,,
2007-09,38.41M,,,4.971M,7.156M,2.785M,9.941M,9.941M,0.369M,,,,,1.908M,9.091M,-2.389M,-4.253M,,0.228M,,2.677M,0.04M,58.32M,-5.934M,0.288M,-5.646M,,0.728M,,-4.592M,,,-25.33M,2.714M,,2.714M,,-9.745M,,-0.897M,-33.11M,52.03M,20.62M,2.349M,74.99M,2.714M,,,,,
2007-06,41.63M,,,3.732M,6.954M,2.501M,9.455M,9.455M,4.575M,,,,,2.41M,1.762M,-0.243M,1.306M,,-0.933M,,1.892M,-0.027M,63.67M,-7.412M,,-7.412M,,-31.79M,,-39.20M,,,-47.88M,5.267M,,5.267M,,-9.708M,,2.366M,-49.96M,77.50M,-25.49M,0.015M,52.03M,5.267M,,,,,
2007-03,36.67M,,,-5.553M,7.125M,2.129M,9.254M,9.254M,-1.763M,,,,,0.66M,-21.96M,-4.101M,8.253M,,-5.947M,,-23.76M,-0.165M,15.34M,-5.418M,,-5.418M,,-24.92M,,-30.34M,,,12.52M,4.268M,,4.268M,,-8.055M,,3.053M,11.79M,77.94M,-3.206M,2.767M,77.50M,4.268M,,,,,
2006-12,35.64M,,,-0.311M,7.32M,2.063M,9.383M,9.383M,-1.853M,,,,,1.364M,3.762M,-3.608M,-4.638M,,10.48M,0.111M,6.107M,-0.428M,49.90M,-5.213M,1.913M,-3.30M,,-239.64M,0.347M,-243.48M,,,194.27M,2.938M,,2.938M,,-8.036M,,0.014M,189.60M,78.53M,-3.98M,3.393M,77.94M,2.938M,,,,,
2006-09,46.00M,,,-11.63M,5.634M,1.026M,6.66M,6.66M,23.43M,,,,,5.693M,-5.118M,-2.82M,-3.22M,,-14.74M,-2.40M,-28.30M,-0.739M,41.11M,-6.282M,1.848M,-4.434M,,-0.022M,-1.748M,25.27M,,,-31.86M,0.933M,,0.933M,,-8.027M,,-0.66M,-39.09M,51.06M,27.29M,0.175M,78.53M,0.933M,,,,,
2006-06,34.96M,,,-2.149M,6.845M,1.117M,7.962M,7.962M,-25.74M,,,,,3.68M,3.31M,2.904M,0.414M,,18.36M,,24.98M,0.79M,44.48M,-5.688M,,-5.688M,,-92.93M,0.248M,-98.59M,,,31.71M,7.18M,,7.18M,,-8.009M,,2.62M,32.97M,71.11M,-21.13M,1.084M,51.06M,7.18M,,,,,
2006-03,30.08M,,,,6.026M,0.381M,6.407M,6.407M,5.477M,,,,,-5.831M,-16.38M,-3.679M,6.72M,,1.744M,,-11.59M,-0.018M,24.52M,-4.015M,,-4.015M,,-27.26M,,-31.38M,,,-0.599M,6.163M,,6.163M,,-6.321M,,2.039M,1.282M,77.29M,-5.571M,-0.608M,71.11M,6.163M,,,,,
