,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,612.32M,612.32M,335.67M,276.65M,138.33M,,,-1.642M,11.00M,-11.00M,,138.33M,138.32M,11.00M,-11.00M,2.807M,-11.00M,130.13M,31.17M,98.96M,,,98.96M,100.21M,162.19M,21.05M,141.13M,1.29,,,1.306,1.29,1.27,,,1.286,1.27,76.42M,77.74M,0.37
2017-12,585.90M,585.90M,325.02M,260.88M,131.25M,,,5.615M,10.97M,-10.97M,,131.25M,129.63M,10.97M,-10.97M,4.938M,-10.97M,123.60M,29.86M,93.75M,,,93.75M,89.49M,154.98M,20.41M,134.57M,1.23,,,1.1740000000000002,1.23,1.21,,,1.155,1.21,76.28M,77.59M,0.37
2017-09,574.49M,574.49M,316.56M,257.93M,131.43M,,,0.00,11.06M,-11.06M,,131.43M,126.50M,11.06M,-11.06M,-1.653M,-11.06M,113.79M,30.02M,83.77M,,,83.77M,83.77M,146.13M,21.28M,124.85M,1.09,,,1.09,1.09,1.08,,,1.08,1.08,76.31M,77.52M,0.37
2017-06,573.37M,573.37M,316.44M,256.92M,131.79M,,,,11.30M,-11.30M,,131.79M,125.13M,11.30M,-11.30M,-0.372M,-11.30M,113.46M,29.61M,83.84M,,,83.84M,83.84M,146.60M,21.83M,124.76M,1.1,,,1.1,1.1,1.08,,,1.08,1.08,76.22M,77.32M,0.37
2017-03,553.55M,553.55M,302.61M,250.94M,130.47M,,,-4.797M,11.55M,-11.55M,,130.47M,120.47M,11.55M,-11.55M,-4.489M,-11.55M,104.43M,28.53M,75.90M,,,75.90M,79.39M,136.67M,20.69M,115.98M,0.99,,,1.036,0.99,0.99,,,1.035,0.99,76.12M,76.89M,0.34
2016-12,530.42M,530.42M,297.93M,232.48M,123.06M,,,-23.90M,12.01M,-12.01M,,123.06M,109.43M,12.01M,-12.01M,-24.67M,-12.01M,72.75M,15.40M,57.35M,,,57.35M,76.19M,107.32M,22.57M,84.76M,0.76,,,1.008,0.76,0.75,,,0.9954,0.75,75.95M,76.81M,0.34
2016-09,530.36M,530.36M,299.47M,230.89M,119.11M,,,-2.067M,11.91M,-11.91M,,119.11M,111.78M,11.91M,-11.91M,-0.554M,-11.91M,99.31M,29.44M,69.87M,,,69.87M,71.33M,133.41M,22.19M,111.22M,0.92,,,0.9392,0.92,0.91,,,0.9289,0.91,75.82M,76.88M,0.34
2016-06,549.70M,549.70M,305.64M,244.06M,130.24M,,,0.00,11.20M,-11.20M,,130.24M,113.82M,11.20M,-11.20M,1.027M,-11.20M,103.64M,27.89M,75.76M,,,75.76M,75.76M,137.02M,22.18M,114.85M,1.0,,,1.0,1.0,0.99,,,0.99,0.99,75.69M,76.67M,0.34
2016-03,502.57M,502.57M,279.24M,223.34M,119.99M,,,0.00,10.49M,-10.49M,,119.99M,103.34M,10.49M,-10.49M,-0.044M,-10.49M,92.81M,24.68M,68.13M,,,68.13M,68.13M,123.26M,19.96M,103.30M,0.9,,,0.9,0.9,0.89,,,0.89,0.89,75.75M,76.70M,0.32
2015-12,499.80M,499.80M,276.40M,223.40M,113.37M,,,-6.516M,10.23M,-10.23M,,113.37M,110.03M,10.23M,-10.23M,-11.11M,-10.23M,88.69M,20.92M,67.76M,,,67.76M,72.74M,119.06M,20.15M,98.91M,0.88,,,0.9453,0.88,0.87,,,0.9346,0.87,76.21M,77.09M,0.32
2015-09,503.79M,503.79M,280.53M,223.26M,114.79M,,,13.35M,10.23M,-10.23M,,114.79M,108.47M,10.23M,-10.23M,14.04M,-10.23M,112.28M,32.77M,79.50M,,,79.50M,70.06M,142.88M,20.38M,122.51M,1.03,,,0.907,1.03,1.02,,,0.8983,1.02,76.83M,77.65M,0.32
2015-06,514.88M,514.88M,283.27M,231.62M,121.71M,,,,10.58M,-10.58M,,121.71M,109.91M,10.58M,-10.58M,-0.827M,-10.58M,98.50M,28.91M,69.58M,,,69.58M,69.58M,128.17M,19.09M,109.08M,0.89,,,0.89,0.89,0.89,,,0.89,0.89,77.47M,78.30M,0.32
2015-03,502.20M,502.20M,276.16M,226.04M,124.28M,,,,10.60M,-10.60M,,124.28M,101.76M,10.60M,-10.60M,1.723M,-10.60M,92.88M,26.93M,65.95M,,,65.95M,65.95M,121.99M,18.51M,103.48M,0.84,,,0.84,0.84,0.84,,,0.84,0.84,78.00M,78.86M,0.28
2014-12,523.90M,523.90M,294.78M,229.12M,120.99M,,,-13.67M,10.57M,-10.57M,,120.99M,108.13M,10.57M,-10.57M,-12.21M,-10.57M,85.34M,23.72M,61.62M,,,61.62M,71.49M,114.54M,18.62M,95.91M,0.78,,,0.9055,0.78,0.77,,,0.894,0.77,78.67M,79.63M,0.28
2014-09,533.18M,533.18M,298.53M,234.65M,123.80M,,,0.00,10.46M,-10.46M,,123.80M,110.85M,10.46M,-10.46M,0.944M,-10.46M,101.33M,29.89M,71.44M,,,71.44M,71.44M,131.40M,19.61M,111.79M,0.89,,,0.89,0.89,0.88,,,0.88,0.88,79.56M,80.56M,0.28
2014-06,546.69M,546.69M,305.56M,241.13M,129.04M,,,,10.40M,-10.40M,,129.04M,112.09M,10.40M,-10.40M,-0.137M,-10.40M,101.55M,29.77M,71.78M,,,71.78M,71.78M,131.37M,19.42M,111.95M,0.89,,,0.89,0.89,0.88,,,0.88,0.88,80.11M,81.15M,0.28
2014-03,544.00M,544.00M,299.58M,244.42M,130.58M,,,,10.46M,-10.46M,,130.58M,113.84M,10.46M,-10.46M,0.844M,-10.46M,104.22M,29.67M,74.55M,,,74.55M,74.55M,133.94M,19.26M,114.68M,0.92,,,0.92,0.92,0.91,,,0.91,0.91,80.53M,81.58M,0.23
2013-12,520.62M,520.62M,293.61M,227.01M,123.14M,,,,10.48M,-10.48M,,123.14M,103.87M,10.48M,-10.48M,-0.696M,-10.48M,92.70M,25.14M,67.56M,,,67.56M,67.56M,122.82M,19.64M,103.18M,0.83,,,0.83,0.83,0.82,,,0.82,0.82,80.78M,81.85M,0.23
2013-09,490.62M,490.62M,279.11M,211.51M,114.14M,,,,10.57M,-10.57M,,114.14M,97.37M,10.57M,-10.57M,-0.188M,-10.57M,86.61M,22.81M,63.80M,,,63.80M,63.80M,116.96M,19.78M,97.18M,0.78,,,0.78,0.78,0.78,,,0.78,0.78,81.26M,82.22M,0.23
2013-06,518.44M,518.44M,295.60M,222.85M,123.29M,,,,10.60M,-10.60M,,123.29M,99.56M,10.60M,-10.60M,-0.573M,-10.60M,88.39M,25.83M,62.56M,,,62.56M,62.56M,119.06M,20.08M,98.99M,0.76,,,0.76,0.76,0.76,,,0.76,0.76,81.83M,82.73M,0.23
2013-03,494.45M,494.45M,282.45M,212.00M,117.28M,,,,10.56M,-10.56M,,117.28M,94.71M,10.56M,-10.56M,1.279M,-10.56M,85.43M,24.13M,61.30M,,,61.30M,61.30M,115.83M,19.84M,95.99M,0.74,,,0.74,0.74,0.74,,,0.74,0.74,82.20M,83.15M,0.2
2012-12,490.84M,490.84M,287.98M,202.86M,112.06M,,,-216.39M,10.52M,-10.52M,,112.06M,90.80M,10.52M,-10.52M,-216.17M,-10.52M,-135.89M,-16.87M,-119.02M,,,-119.02M,70.51M,-105.00M,20.37M,-125.37M,-1.45,,,0.853,-1.45,-1.45,,,0.8277,-1.45,82.30M,83.21M,0.2
2012-09,479.86M,479.86M,285.02M,194.84M,107.17M,,,-7.085M,10.54M,-10.54M,,107.17M,87.67M,10.54M,-10.54M,-6.953M,-10.54M,70.18M,20.06M,50.13M,,,50.13M,55.19M,100.26M,19.54M,80.72M,0.6,,,0.6613,0.6,0.6,,,0.6607,0.6,82.48M,83.37M,0.2
2012-06,494.14M,494.14M,291.03M,203.11M,111.88M,,,-2.581M,10.54M,-10.54M,,111.88M,91.23M,10.54M,-10.54M,-2.811M,-10.54M,77.88M,23.53M,54.35M,,,54.35M,56.15M,107.62M,19.20M,88.42M,0.65,,,0.6717,0.65,0.65,,,0.6714,0.65,83.18M,84.09M,0.2
2012-03,489.42M,489.42M,286.53M,202.89M,113.38M,,,-4.938M,10.66M,-10.66M,,113.38M,89.51M,10.66M,-10.66M,-4.821M,-10.66M,74.02M,21.85M,52.17M,,,52.17M,55.65M,103.88M,19.19M,84.69M,0.63,,,0.672,0.63,0.62,,,0.6615,0.62,82.80M,83.90M,0.17
2011-12,480.68M,480.68M,287.08M,193.60M,108.22M,,,-8.382M,8.395M,-8.395M,,108.22M,85.38M,8.395M,-8.395M,-9.825M,-8.395M,67.16M,19.78M,47.39M,,,47.39M,53.30M,94.83M,19.27M,75.56M,0.57,,,0.6416,0.57,0.57,,,0.6408,0.57,82.60M,83.57M,0.17
2011-09,476.88M,476.88M,295.35M,181.53M,107.30M,,,-3.372M,7.763M,-7.763M,,107.30M,74.24M,7.763M,-7.763M,-3.372M,-7.763M,63.10M,14.76M,48.34M,,,48.34M,50.92M,91.40M,20.54M,70.86M,0.58,0.0,,0.6113,0.58,0.58,0.0,,0.6109,0.58,82.40M,83.59M,0.17
2011-06,453.80M,453.80M,268.96M,184.84M,105.21M,,,-0.347M,6.72M,-6.72M,,105.21M,79.63M,6.72M,-6.72M,-0.347M,-6.72M,73.26M,23.07M,50.18M,,,50.18M,50.42M,96.93M,16.95M,79.98M,0.61,0.0,,0.6129,0.61,0.6,0.0,,0.6028,0.6,82.15M,83.78M,0.17
2011-03,427.09M,427.09M,248.39M,178.70M,100.98M,,,-0.907M,6.454M,-6.454M,,100.98M,77.72M,6.454M,-6.454M,-0.907M,-6.454M,70.36M,22.41M,47.95M,,,47.95M,48.57M,92.44M,15.62M,76.81M,0.58,0.0,,0.5876,0.58,0.57,0.0,,0.5774,0.57,81.43M,83.25M,0.15
2010-12,405.22M,405.22M,243.23M,161.99M,91.31M,,,-4.065M,4.955M,-4.955M,,91.31M,70.68M,4.955M,-4.955M,-5.157M,-4.955M,60.56M,19.05M,41.51M,,,41.51M,44.30M,78.74M,13.22M,65.52M,0.51,,,0.5444,0.51,0.5,,,0.5337,0.5,80.90M,82.68M,0.15
2010-09,373.73M,373.73M,219.60M,154.13M,88.17M,,,-4.625M,4.162M,-4.162M,,88.17M,65.96M,4.162M,-4.162M,-4.625M,-4.162M,57.18M,18.61M,38.56M,,,38.56M,41.68M,76.57M,15.24M,61.34M,0.47,0.0,,0.5087,0.47,0.47,0.0,,0.5081,0.47,80.52M,81.94M,0.15
2010-06,378.53M,378.53M,223.70M,154.82M,91.01M,,,-0.792M,3.599M,-3.599M,,91.01M,63.81M,3.599M,-3.599M,-0.792M,-3.599M,59.42M,19.02M,40.40M,,,40.40M,40.94M,78.39M,15.37M,63.02M,0.5,0.0,,0.5067,0.5,0.49,0.0,,0.4966,0.49,80.37M,81.80M,0.15
2010-03,355.60M,355.60M,208.06M,147.54M,87.78M,,,-1.613M,3.434M,-3.434M,,87.78M,59.76M,3.434M,-3.434M,-1.613M,-3.434M,54.71M,18.09M,36.62M,,,36.62M,37.70M,72.43M,14.28M,58.15M,0.45,0.0,,0.4635,0.45,0.45,0.0,,0.4632,0.45,80.08M,81.51M,0.12
2009-12,343.34M,343.34M,204.31M,139.03M,82.77M,,,-3.481M,3.966M,-3.966M,,82.77M,56.27M,3.966M,-3.966M,-3.481M,-3.966M,48.82M,15.73M,33.09M,,,33.09M,35.45M,67.24M,14.45M,52.79M,0.41,0.0,,0.4395,0.41,0.41,0.0,,0.439,0.41,79.94M,81.30M,0.12
2009-09,323.25M,323.25M,194.19M,129.06M,79.79M,,,-1.37M,3.951M,-3.951M,,79.79M,49.27M,3.951M,-3.951M,-1.37M,-3.951M,43.95M,14.17M,29.78M,,,29.78M,30.71M,62.03M,14.14M,47.90M,0.37,0.0,,0.3816,0.37,0.37,0.0,,0.3815,0.37,79.74M,80.88M,0.12
2009-06,336.46M,336.46M,205.35M,131.10M,81.12M,,,-3.635M,4.44M,-4.44M,,81.12M,49.98M,4.44M,-4.44M,-3.635M,-4.44M,41.91M,13.99M,27.92M,,,27.92M,30.34M,60.51M,14.16M,46.35M,0.35,0.0,,0.3804,0.35,0.34,0.0,,0.3701,0.34,79.68M,80.51M,0.12
2009-03,326.61M,326.61M,203.42M,123.19M,81.78M,,,-2.442M,4.821M,-4.821M,,81.78M,41.41M,4.821M,-4.821M,-2.442M,-4.821M,34.15M,11.54M,22.60M,,,22.60M,24.22M,52.56M,13.59M,38.97M,0.28,0.0,,0.3003,0.28,0.28,0.0,,0.3002,0.28,79.51M,80.22M,0.12
2008-12,355.31M,355.31M,222.64M,132.66M,85.31M,,,-11.48M,,,,55.22M,77.44M,,,-11.48M,,30.64M,10.12M,20.52M,,,20.52M,28.21M,47.99M,13.51M,34.48M,0.24,0.0,,0.3355,0.24,0.24,0.0,,0.3346,0.24,80.53M,81.29M,0.12
2008-09,365.19M,365.19M,218.80M,146.40M,81.61M,,,-32.64M,,,30.09M,111.70M,34.69M,,,-32.64M,,28.28M,9.204M,19.08M,,,19.08M,41.09M,45.42M,10.72M,34.69M,0.23,0.0,,0.4999,0.23,0.23,0.0,,0.4954,0.23,81.57M,82.96M,0.12
2008-06,397.31M,397.31M,234.10M,163.21M,89.40M,,,0.987M,,,,89.40M,73.81M,,,0.987M,,70.70M,24.65M,46.05M,,,46.05M,45.41M,86.03M,12.22M,73.81M,0.57,0.0,,0.5621,0.57,0.56,0.0,,0.5522,0.56,81.32M,82.75M,0.12
2008-03,371.66M,371.66M,216.50M,155.17M,87.07M,,,0.175M,,,,87.07M,68.10M,,,0.175M,,62.61M,21.23M,41.38M,,,41.38M,41.26M,80.24M,12.14M,68.10M,0.51,0.0,,0.5086,0.51,0.5,0.0,,0.4986,0.5,81.07M,82.29M,0.12
2007-12,346.00M,346.00M,202.41M,143.59M,82.07M,,,1.903M,,,,82.07M,61.52M,,,1.903M,,58.04M,19.66M,38.38M,0.055M,,38.44M,37.12M,71.37M,9.848M,61.52M,0.47,0.0,,0.4545,0.47,0.47,0.0,,0.4547,0.47,80.98M,82.33M,0.12
2007-09,334.88M,334.88M,197.22M,137.66M,74.52M,,,0.437M,,,,74.52M,63.15M,,,0.437M,,58.05M,19.23M,38.82M,-0.405M,,38.41M,38.52M,73.09M,9.941M,63.15M,0.48,0.0,,0.4764,0.48,0.47,0.0,,0.4664,0.47,80.83M,82.31M,0.12
2007-06,344.48M,344.48M,196.95M,147.53M,78.67M,,,0.521M,,,,78.67M,68.86M,,,0.521M,,63.33M,21.49M,41.84M,-0.205M,,41.63M,41.49M,78.32M,9.455M,68.86M,0.52,0.0,,0.5157,0.52,0.51,0.0,,0.5058,0.51,80.60M,82.05M,0.12
2007-03,333.27M,333.27M,193.60M,139.66M,78.11M,,,0.573M,,,,78.11M,61.55M,,,0.573M,,55.75M,18.92M,36.83M,-0.164M,,36.67M,36.45M,70.81M,9.254M,61.55M,0.46,0.0,,0.4553,0.46,0.45,0.0,,0.4454,0.45,80.26M,81.68M,0.1
2006-12,302.13M,302.13M,176.54M,125.59M,66.56M,,,0.27M,,,,66.56M,59.03M,,,0.27M,,53.32M,17.13M,36.19M,-0.548M,,35.64M,36.01M,68.41M,9.383M,59.03M,0.45,-0.01,,0.4477,0.44,0.44,-0.01,,0.4377,0.44,79.94M,81.21M,0.1
2006-09,289.85M,289.85M,171.08M,118.76M,64.35M,,,0.501M,,,,64.35M,54.41M,,,0.501M,,51.55M,18.22M,33.33M,12.66M,,46.00M,33.01M,61.07M,6.66M,54.41M,0.42,0.16,,0.4159,0.58,0.41,0.16,,0.406,0.57,79.69M,80.96M,0.1
2006-06,297.17M,297.17M,174.16M,123.01M,67.40M,,,0.255M,,,,67.40M,55.61M,,,0.255M,,51.79M,17.38M,34.41M,0.544M,,34.96M,34.24M,63.58M,7.962M,55.61M,0.4333,0.0067,,0.4312,0.44,0.4267,0.0067,,0.4246,0.4333,79.52M,81.04M,0.1
2006-03,266.39M,266.39M,156.26M,110.13M,62.36M,,,0.011M,,,,62.36M,47.78M,,,0.011M,,44.85M,15.27M,29.58M,0.497M,,30.08M,29.57M,54.18M,6.407M,47.78M,0.3733,0.0067,,0.3732,0.38,0.3667,0.0067,,0.3666,0.3733,78.96M,80.79M,0.08
2005-12,252.87M,252.87M,149.34M,103.53M,56.76M,,,0.078M,,,,56.76M,46.77M,,,0.078M,,43.67M,15.34M,28.33M,0.383M,,28.71M,28.28M,53.25M,6.484M,46.77M,0.36,0.0067,,0.3594,0.3667,0.3533,0.0067,,0.3527,0.36,78.46M,80.06M,0.08
2005-09,249.58M,249.58M,148.27M,101.30M,55.43M,,,0.134M,,,,55.43M,45.87M,,,0.134M,,42.47M,14.48M,27.99M,0.523M,,28.52M,27.90M,52.30M,6.434M,45.87M,0.36,0.0067,,0.3589,0.3667,0.3533,0.0067,,0.3522,0.36,77.43M,79.61M,0.08
2005-06,264.95M,264.95M,155.37M,109.58M,61.99M,,,0.245M,,,,61.99M,47.59M,,,0.245M,,44.57M,15.42M,28.61M,0.324M,,28.93M,28.45M,54.33M,6.739M,47.59M,0.3733,0.0067,,0.3712,0.38,0.36,0.0067,,0.358,0.3667,76.44M,78.96M,0.08
2005-03,252.06M,252.06M,150.10M,101.96M,61.26M,,,0.13M,,,,61.26M,40.70M,,,0.13M,,36.95M,13.30M,23.64M,,,23.64M,23.56M,47.98M,7.283M,40.70M,0.3133,0.0,,0.3122,0.3133,0.3,0.0,,0.2989,0.3,76.02M,78.57M,0.08
2004-12,215.32M,215.32M,126.58M,88.75M,50.51M,,,-0.08M,,,,50.51M,38.24M,,,-0.08M,,34.30M,11.71M,22.59M,,,22.66M,22.64M,46.00M,7.759M,38.24M,0.2967,0.0009,,0.2974,0.2967,0.2967,0.0009,,0.2974,0.2967,75.70M,75.70M,0.08
2004-09,237.56M,237.56M,142.57M,94.99M,55.03M,,,-0.384M,,,,55.03M,39.96M,,,-0.384M,,35.72M,12.50M,23.22M,,,23.22M,23.47M,48.06M,8.095M,39.96M,0.3067,0.0,,0.31,0.3067,0.2933,0.0,,0.2965,0.2933,75.44M,78.60M,0.08
2004-06,233.59M,233.59M,139.67M,93.92M,54.11M,,,-0.235M,,,,54.11M,39.81M,,,-0.235M,,35.96M,13.13M,22.83M,,,22.83M,22.98M,47.72M,7.902M,39.81M,0.3067,0.0,,0.3087,0.3067,0.2933,0.0,,0.2952,0.2933,75.09M,78.06M,0.0622
2004-03,214.60M,214.60M,128.87M,85.73M,54.44M,,,0.011M,,,,54.44M,31.29M,,,0.011M,,27.86M,10.17M,17.69M,,,17.69M,17.69M,39.06M,7.773M,31.29M,0.24,0.0,,0.2399,0.24,0.2333,0.0,,0.2332,0.2333,74.21M,76.92M,0.0622
2003-12,197.96M,197.96M,121.24M,76.72M,48.76M,,,0.533M,,,,48.76M,27.96M,,,0.533M,,25.12M,8.919M,16.20M,,,16.20M,15.86M,34.70M,6.734M,27.96M,0.2222,0.0,,0.2176,0.2222,0.2133,0.0,,0.2088,0.2133,73.77M,75.96M,0.0622
2003-09,197.31M,197.31M,121.14M,76.18M,47.24M,,,0.005M,,,,47.24M,28.94M,,,0.005M,,25.60M,9.087M,16.51M,,,16.51M,16.51M,36.61M,7.664M,28.94M,0.2267,0.0,,0.2266,0.2267,0.2178,0.0,,0.2177,0.2178,73.49M,75.69M,0.0622
2003-06,207.15M,207.15M,125.02M,82.12M,52.57M,,,0.341M,,,,52.57M,29.56M,,,0.341M,,26.27M,9.325M,16.94M,,,16.94M,16.72M,37.16M,7.602M,29.56M,0.2311,0.0,,0.2281,0.2311,0.2267,0.0,,0.2237,0.2267,72.86M,74.54M,0.0622
2003-03,195.50M,195.50M,121.20M,74.30M,50.90M,,,0.02M,,,,50.90M,23.40M,,,0.02M,,19.68M,6.987M,12.70M,,,12.70M,12.68M,31.46M,8.055M,23.40M,0.1733,0.0,,0.1732,0.1733,0.1733,0.0,,0.1732,0.1733,72.65M,73.81M,0.0622
2002-12,187.54M,187.54M,117.28M,70.26M,47.81M,,,0.248M,,,,47.81M,22.45M,,,0.248M,,18.87M,6.699M,12.17M,,,12.17M,12.01M,29.33M,6.88M,22.45M,0.1689,0.0,,0.1667,0.1689,0.1644,0.0,,0.1623,0.1644,72.56M,73.97M,0.0622
2002-09,189.10M,189.10M,117.49M,71.61M,44.67M,,,-0.398M,,,,44.67M,26.94M,,,-0.398M,,22.60M,7.81M,14.79M,,,14.79M,15.05M,34.53M,7.587M,26.94M,0.2044,0.0,,0.208,0.2044,0.2,0.0,,0.2035,0.2,72.55M,73.99M,0.0622
2002-06,190.43M,190.43M,116.29M,74.14M,45.87M,,,0.027M,,,,45.87M,28.27M,,,0.027M,,24.39M,8.78M,15.61M,,,15.61M,15.59M,36.06M,7.788M,28.27M,0.2178,0.0,,0.2175,0.2178,0.2133,0.0,,0.2131,0.2133,71.25M,73.47M,0.0622
2002-03,174.94M,174.94M,109.51M,65.42M,42.92M,,,0.203M,,,,42.92M,22.51M,,,0.203M,,18.04M,6.494M,11.54M,,,11.54M,11.42M,30.36M,7.85M,22.51M,0.1689,0.0,,0.167,0.1689,0.1644,0.0,,0.1626,0.1644,68.65M,70.97M,0.0622
2001-12,168.79M,168.79M,109.21M,59.58M,38.81M,,3.625M,-5.263M,,,,42.44M,17.14M,,,-5.263M,,6.948M,2.644M,4.304M,,,4.304M,7.564M,27.52M,10.37M,17.14M,0.0622,0.0,,0.1098,0.0622,0.0578,0.0,,0.1044,0.0578,68.45M,70.00M,0.0622
2001-09,178.14M,178.14M,113.48M,64.66M,42.30M,,3.571M,0.024M,,,,45.87M,18.78M,,,0.024M,,13.60M,5.418M,8.184M,,,8.184M,8.170M,30.49M,11.70M,18.78M,0.12,0.0,,0.1198,0.12,0.1156,0.0,,0.1154,0.1156,68.24M,70.26M,0.0622
2001-06,192.62M,192.62M,121.91M,70.71M,40.98M,,3.49M,0.179M,,,,44.47M,26.24M,,,0.179M,,21.22M,8.229M,12.99M,,,12.99M,12.88M,37.18M,10.94M,26.24M,0.1911,0.0,,0.1895,0.1911,0.1867,0.0,,0.1851,0.1867,67.81M,69.91M,0.0622
2001-03,187.40M,187.40M,111.72M,75.68M,42.80M,6.898M,3.479M,-5.435M,,,-6.898M,46.28M,29.40M,,,-5.435M,,11.66M,4.43M,7.229M,,,7.229M,10.60M,40.68M,11.28M,29.40M,0.1067,0.0,,0.1566,0.1067,0.1022,0.0,,0.1506,0.1022,67.49M,69.72M,0.0622
