,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2016-06,9.118B,18.24B,43.52B,61.76B,11.71B,7.328B,19.04B,,,,1.831B,,,11.13B,93.76B,0.00,9.108B,42.55B,6.333B,57.99B,-32.54B,25.45B,5.261B,3.506B,8.767B,169.76B,,7.862B,211.84B,305.60B,,26.32B,,26.32B,20.82B,47.14B,,12.50B,3.50B,16.00B,16.00B,8.352B,8.352B,,71.49B,68.94B,68.94B,24.56B,3.064B,27.62B,11.01B,107.58B,179.06B,,30.11B,96.54B,,-107.00M,126.54B,,AOR,Restated
2016-03,10.20B,21.51B,33.77B,55.28B,12.23B,7.595B,19.82B,,,,2.281B,,,10.20B,87.59B,0.00,8.391B,39.72B,5.937B,54.05B,-30.85B,23.20B,5.249B,3.843B,9.092B,177.64B,,7.745B,217.68B,305.28B,,25.10B,,25.10B,23.21B,48.31B,,7.998B,2.50B,10.50B,10.50B,9.461B,9.461B,,68.26B,69.37B,69.37B,22.96B,3.322B,26.28B,10.90B,106.56B,174.82B,,29.48B,102.02B,,-1.048B,130.46B,,AOR,Restated
2015-12,11.15B,16.69B,21.38B,38.07B,12.95B,11.67B,24.62B,,,,2.451B,,,11.07B,76.22B,0.00,7.729B,38.04B,5.574B,51.34B,-29.04B,22.30B,5.202B,3.924B,9.126B,177.66B,,7.974B,217.06B,293.28B,,33.31B,,33.31B,24.03B,57.34B,,7.259B,2.50B,9.759B,9.759B,8.989B,8.989B,,76.09B,53.20B,53.20B,21.62B,3.546B,25.16B,10.56B,88.92B,165.02B,,28.25B,101.49B,,-1.48B,128.27B,,AOR,Restated
2015-09,11.39B,21.12B,20.48B,41.60B,16.85B,13.49B,30.34B,,,,2.349B,,,15.08B,89.38B,0.00,6.956B,37.04B,5.263B,49.26B,-26.79B,22.47B,5.116B,3.893B,9.009B,164.06B,,5.422B,200.97B,290.34B,,35.49B,,35.49B,25.18B,60.67B,,8.499B,2.50B,11.00B,11.00B,8.94B,8.94B,,80.61B,53.33B,53.33B,24.06B,3.624B,27.69B,9.365B,90.38B,170.99B,,27.42B,92.28B,,-345.00M,119.36B,,AOR,Restated
2015-06,10.45B,15.32B,19.38B,34.70B,10.37B,9.537B,19.91B,474.00M,,1.568B,2.042B,,5.01B,9.291B,70.95B,0.00,6.071B,34.50B,4.978B,45.54B,-24.40B,21.15B,5.044B,3.779B,8.823B,168.14B,,4.081B,202.20B,273.15B,,26.47B,1.566B,28.04B,6.788B,34.83B,,4.499B,2.50B,6.999B,6.999B,9.088B,10.46B,11.45B,65.28B,47.42B,47.42B,24.54B,3.474B,28.01B,6.757B,82.19B,147.47B,,26.33B,98.25B,,1.098B,125.68B,,AOR,Restated
2015-03,9.879B,14.49B,18.61B,33.10B,10.90B,7.259B,18.16B,537.00M,,1.859B,2.396B,,5.141B,9.094B,67.89B,0.00,5.627B,32.11B,4.726B,42.46B,-22.31B,20.15B,4.711B,4.061B,8.772B,160.44B,,3.937B,193.30B,261.19B,,23.16B,2.017B,25.18B,6.527B,31.70B,,3.799B,,3.799B,3.799B,8.944B,10.07B,11.90B,58.73B,40.07B,40.07B,23.82B,3.571B,27.40B,5.991B,73.46B,132.19B,,25.38B,100.92B,,2.71B,129.01B,,AOR,Restated
2014-12,13.76B,19.48B,12.98B,32.46B,16.71B,13.27B,29.98B,228.00M,,2.055B,2.283B,,5.046B,13.64B,83.40B,0.00,5.152B,31.01B,4.585B,40.75B,-20.36B,20.39B,4.629B,4.37B,8.999B,145.49B,,3.608B,178.49B,261.89B,,38.00B,1.642B,39.64B,7.155B,46.80B,,3.899B,,3.899B,3.899B,8.987B,10.12B,11.48B,73.61B,32.50B,32.50B,23.37B,3.48B,26.85B,5.60B,64.96B,138.57B,,24.19B,97.18B,,1.963B,123.33B,,AOR,Restated
2014-09,10.23B,13.84B,11.23B,25.08B,17.46B,9.759B,27.22B,,,,2.111B,,4.318B,9.806B,68.53B,0.00,4.863B,29.64B,4.513B,39.02B,-18.39B,20.62B,4.616B,4.142B,8.758B,130.16B,,3.764B,163.31B,231.84B,,30.20B,,30.20B,18.45B,48.65B,,6.308B,,6.308B,6.308B,8.491B,8.491B,,63.45B,28.99B,28.99B,20.26B,3.031B,23.29B,4.567B,56.84B,120.29B,,23.31B,87.15B,,1.082B,111.55B,,AOR,Restated
2014-06,8.317B,12.98B,24.83B,37.80B,10.79B,6.053B,16.84B,315.00M,,1.279B,1.594B,,3.884B,7.825B,67.95B,0.00,4.448B,25.60B,4.41B,34.45B,-16.87B,17.58B,2.374B,3.767B,6.141B,126.68B,,4.16B,154.57B,222.52B,,20.54B,1.437B,21.97B,5.928B,27.90B,,2.01B,,2.01B,2.01B,8.396B,9.286B,5.775B,46.20B,29.03B,29.03B,20.16B,3.058B,23.22B,3.128B,55.38B,101.58B,,22.14B,98.72B,,86.00M,120.94B,,AOR,Restated
2014-03,10.95B,18.95B,22.40B,41.35B,9.70B,6.12B,15.82B,444.00M,,1.385B,1.829B,,4.014B,7.528B,70.54B,0.00,4.029B,22.15B,4.23B,30.41B,-15.29B,15.12B,2.055B,3.928B,5.983B,109.24B,,5.106B,135.45B,205.99B,,18.91B,2.16B,21.07B,5.771B,26.84B,,,,,,8.31B,9.455B,5.928B,43.21B,16.96B,16.96B,19.47B,3.164B,22.64B,3.005B,42.60B,85.81B,,21.50B,98.93B,,-251.00M,120.18B,,AOR,Restated
2013-12,8.404B,14.08B,26.63B,40.71B,14.20B,11.00B,25.20B,523.00M,,1.599B,2.122B,,3.742B,8.574B,80.35B,0.00,3.625B,21.54B,4.126B,29.29B,-13.80B,15.49B,2.022B,4.105B,6.127B,118.13B,,5.091B,144.84B,225.18B,,29.59B,2.083B,31.67B,5.123B,36.79B,,,,,,8.357B,9.832B,6.141B,53.77B,16.96B,16.96B,18.31B,3.071B,21.38B,3.393B,41.73B,95.50B,,20.56B,109.43B,,-306.00M,129.68B,,AOR,Restated
2013-09,8.705B,14.26B,26.29B,40.55B,13.10B,7.539B,20.64B,683.00M,,1.081B,1.764B,,3.453B,6.882B,73.29B,0.00,3.309B,21.24B,3.968B,28.52B,-11.92B,16.60B,1.577B,4.179B,5.756B,106.22B,,5.146B,133.71B,207.00B,,22.37B,1.20B,23.57B,4.258B,27.82B,,0.00,,0.00,0.00,7.435B,8.697B,6.177B,43.66B,16.96B,16.96B,16.49B,2.625B,19.11B,3.719B,39.79B,83.45B,,19.76B,104.26B,,-471.00M,123.55B,,AOR,Restated
2013-06,6.196B,11.25B,31.36B,42.61B,8.839B,4.614B,13.45B,,,,1.697B,,3.193B,7.27B,68.22B,0.00,3.055B,20.02B,3.81B,26.89B,-10.56B,16.33B,1.522B,4.353B,5.875B,104.01B,,5.421B,131.64B,199.86B,,15.52B,1.29B,16.81B,3.869B,20.68B,,,,,,7.333B,8.588B,6.05B,36.32B,16.96B,16.96B,16.07B,2.672B,18.74B,4.483B,40.18B,76.50B,,19.02B,104.56B,,-234.00M,123.35B,,AOR,Restated
2013-03,5.865B,12.05B,27.08B,39.14B,7.084B,6.252B,13.34B,,,,1.245B,,3.242B,6.377B,63.34B,0.00,2.818B,17.74B,3.639B,24.19B,-9.168B,15.03B,1.40B,4.136B,5.536B,105.55B,,5.294B,131.41B,194.74B,,14.91B,1.61B,16.52B,3.783B,20.30B,,,,,,7.265B,8.709B,5.702B,35.51B,,,16.48B,2.877B,19.36B,4.387B,23.74B,59.25B,,17.95B,116.57B,,964.00M,135.49B,,AOR,Restated
2012-12,7.08B,16.15B,23.67B,39.82B,11.60B,9.936B,21.53B,,,,1.455B,,2.895B,6.644B,72.35B,0.00,2.627B,16.99B,3.593B,23.21B,-7.792B,15.42B,1.381B,4.462B,5.843B,97.29B,,5.183B,123.74B,196.09B,,26.40B,1.993B,28.39B,3.125B,31.52B,,,,,,7.274B,8.867B,5.746B,46.88B,,,15.65B,2.938B,18.59B,3.271B,21.86B,68.74B,,17.17B,109.57B,,612.00M,127.35B,,AOR,Restated
2012-09,3.109B,10.75B,18.38B,29.13B,10.93B,7.762B,18.69B,124.00M,,667.00M,791.00M,,2.583B,6.458B,57.65B,0.00,2.439B,15.98B,3.464B,21.89B,-6.435B,15.45B,1.135B,4.224B,5.359B,92.12B,,5.478B,118.41B,176.06B,,21.18B,1.535B,22.71B,2.548B,25.26B,,,,,,5.953B,7.445B,5.104B,38.54B,,,13.85B,2.648B,16.50B,2.817B,19.31B,57.85B,,16.42B,101.29B,,499.00M,118.21B,,AOR,Restated
2012-06,3.269B,7.945B,19.71B,27.65B,7.657B,6.641B,14.30B,,,,1.122B,,2.309B,6.56B,51.94B,0.00,2.315B,10.80B,3.086B,16.20B,-5.718B,10.49B,1.132B,4.329B,5.461B,89.57B,,5.438B,110.95B,162.90B,,16.81B,1.598B,18.41B,2.146B,20.55B,,,,,,5.822B,7.101B,4.642B,33.06B,,,13.20B,2.53B,15.72B,2.365B,18.09B,51.15B,,15.57B,95.64B,,532.00M,111.75B,,AOR,Restated
2012-03,2.911B,10.12B,18.42B,28.54B,7.042B,6.727B,13.77B,,,,1.102B,,2.253B,5.05B,50.71B,0.00,2.156B,8.855B,2.93B,13.94B,-5.094B,8.847B,1.141B,3.604B,4.745B,81.64B,,4.992B,100.22B,150.93B,,17.01B,1.299B,18.31B,2.239B,20.55B,,,,,,5.247B,6.993B,3.943B,32.04B,,,11.70B,2.446B,14.15B,2.25B,16.40B,48.44B,,14.85B,87.12B,,524.00M,102.50B,,AOR,Restated
2011-12,3.956B,10.31B,19.85B,30.16B,8.93B,7.554B,16.48B,,,,1.236B,,1.937B,4.958B,54.77B,0.00,2.09B,7.508B,2.742B,12.34B,-4.524B,7.816B,896.00M,3.472B,4.368B,67.44B,,4.281B,83.91B,138.68B,,18.22B,2.52B,20.74B,2.267B,23.01B,,,,,,4.886B,6.431B,4.605B,34.61B,,,9.725B,2.187B,11.91B,2.108B,14.02B,48.63B,,13.96B,75.71B,,384.00M,90.05B,,AOR,Restated
2011-09,2.903B,9.815B,16.14B,25.95B,5.369B,6.348B,11.72B,,,,776.00M,,2.014B,4.529B,44.99B,0.00,2.059B,7.11B,2.599B,11.77B,-3.991B,7.777B,896.00M,3.536B,4.432B,55.62B,,3.556B,71.38B,116.37B,,14.63B,1.14B,15.77B,1.838B,17.61B,,,,,,4.091B,6.129B,3.641B,27.97B,,,8.159B,1.686B,9.845B,1.941B,11.79B,39.76B,,13.33B,62.84B,,443.00M,76.62B,,AOR,Restated
2011-06,2.769B,12.09B,16.30B,28.40B,6.102B,5.369B,11.47B,,,,889.00M,,1.892B,4.251B,46.90B,0.00,2.028B,5.961B,2.359B,10.35B,-3.599B,6.749B,741.00M,1.169B,1.91B,47.76B,,3.44B,59.86B,106.76B,,15.27B,,15.27B,7.597B,22.87B,,,,,,3.992B,3.992B,,26.86B,,,7.331B,1.407B,8.738B,1.818B,10.56B,37.42B,,12.72B,56.24B,,389.00M,69.34B,,AOR,Restated
2011-03,3.203B,15.98B,13.26B,29.23B,5.798B,5.297B,11.10B,,,,930.00M,,1.683B,4.055B,47.00B,0.00,1.995B,5.234B,2.187B,9.416B,-3.175B,6.241B,741.00M,507.00M,1.248B,36.53B,,3.885B,47.91B,94.90B,,13.71B,931.00M,14.64B,1.59B,16.24B,,,,,,3.591B,4.828B,2.75B,24.33B,,,6.15B,1.23B,7.38B,1.72B,9.10B,33.43B,,12.33B,49.02B,,126.00M,61.48B,,AOR,Restated
2010-12,3.00B,10.73B,16.24B,26.98B,6.027B,4.847B,10.87B,,,,885.00M,,1.724B,3.467B,43.93B,0.00,1.968B,4.606B,2.061B,8.635B,-2.767B,5.868B,741.00M,522.00M,1.263B,32.73B,,2.954B,42.82B,86.74B,,14.30B,152.00M,14.45B,1.356B,15.81B,,,,,,3.541B,4.347B,3.184B,23.80B,,,5.418B,1.216B,6.634B,1.647B,8.281B,32.08B,,11.50B,43.05B,,114.00M,54.67B,,AOR,Restated
2010-09,1.69B,11.26B,14.36B,25.62B,5.51B,4.414B,9.924B,,,,1.051B,,1.636B,3.447B,41.68B,0.00,1.471B,3.733B,2.03B,7.234B,-2.466B,4.768B,741.00M,342.00M,1.083B,25.39B,,2.263B,33.50B,75.18B,,12.02B,210.00M,12.22B,1.157B,13.38B,,,,,,2.984B,3.647B,3.257B,20.72B,,,4.30B,1.139B,5.439B,1.231B,6.67B,27.39B,,10.67B,37.17B,,-46.00M,47.79B,,AOR,Restated
2010-06,,9.705B,14.58B,24.29B,3.447B,2.952B,6.399B,,,,942.00M,,1.216B,3.188B,36.03B,0.00,1.302B,3.031B,1.895B,6.228B,-2.238B,3.99B,714.00M,318.00M,1.032B,21.55B,,2.119B,28.69B,64.72B,,8.469B,56.00M,8.525B,955.00M,9.48B,,,,,,2.691B,3.202B,2.525B,15.61B,,,3.828B,1.021B,4.849B,1.153B,6.002B,21.61B,,10.13B,32.87B,,108.00M,43.11B,,AOR,Restated
2010-03,,10.02B,13.14B,23.16B,2.886B,,2.886B,,,,638.00M,,1.142B,4.515B,32.34B,0.00,1.17B,2.587B,1.798B,5.555B,-2.051B,3.504B,480.00M,263.00M,743.00M,18.55B,209.00M,935.00M,24.72B,57.06B,,5.666B,255.00M,5.921B,849.00M,6.77B,,,,,,2.542B,2.885B,2.192B,12.23B,,,3.241B,941.00M,4.182B,1.298B,5.48B,17.71B,,9.553B,29.67B,,125.00M,39.35B,,AOR,Restated
2009-12,,7.609B,17.19B,24.80B,3.09B,1.791B,4.881B,,,,576.00M,232.00M,1.18B,1.667B,33.33B,0.00,1.041B,2.206B,1.739B,4.986B,-1.871B,3.115B,253.00M,241.00M,494.00M,15.02B,223.00M,926.00M,20.59B,53.93B,,6.511B,258.00M,6.769B,919.00M,7.688B,,,,,,2.59B,2.833B,2.283B,13.10B,,,2.769B,922.00M,3.691B,1.37B,5.061B,18.16B,,8.962B,26.70B,,111.00M,35.77B,,AOR,Restated
2009-09,,5.263B,18.20B,23.46B,3.361B,1.696B,5.057B,,,,455.00M,,1.135B,1.444B,31.56B,0.00,955.00M,2.047B,1.665B,4.667B,-1.713B,2.954B,206.00M,247.00M,453.00M,10.53B,,2.011B,15.95B,47.50B,,5.601B,430.00M,6.031B,936.00M,6.967B,,,,,,2.053B,2.278B,1.904B,11.51B,,,,853.00M,853.00M,1.286B,4.355B,15.86B,,8.21B,23.35B,,77.00M,31.64B,,AOR,Restated
2009-06,,5.605B,18.62B,24.22B,2.686B,1.494B,4.18B,,,,380.00M,259.00M,1.731B,1.267B,35.17B,0.00,911.00M,1.804B,1.507B,4.222B,-1.569B,2.653B,207.00M,259.00M,466.00M,6.899B,1.577B,875.00M,12.97B,48.14B,,4.854B,,4.854B,663.00M,5.517B,,,,,,8.469B,8.816B,2.058B,16.66B,,,970.00M,3.667B,4.637B,954.00M,5.591B,22.25B,,7.957B,17.88B,,53.00M,25.89B,,AOR,Restated
2009-03,,4.466B,20.55B,25.01B,1.932B,1.104B,3.036B,,,,312.00M,306.00M,1.539B,946.00M,33.85B,0.00,899.00M,1.81B,1.388B,4.097B,-1.551B,2.546B,207.00M,268.00M,475.00M,3.865B,1.469B,527.00M,9.384B,43.24B,,3.976B,100.00M,4.076B,483.00M,4.559B,,,,,,7.014B,7.397B,1.486B,13.75B,,,863.00M,3.46B,4.323B,852.00M,5.175B,18.93B,,7.643B,16.65B,,15.00M,24.31B,,AOR,Restated
2008-12,,7.236B,18.41B,25.65B,2.196B,1.217B,3.413B,,,,396.00M,345.00M,1.613B,1.336B,35.16B,0.00,888.00M,1.75B,1.359B,3.997B,-1.417B,2.58B,207.00M,277.00M,484.00M,2.498B,1.419B,560.00M,7.624B,42.79B,,4.715B,100.00M,4.815B,567.00M,5.382B,,,,,,6.235B,6.706B,2.417B,14.76B,,,865.00M,3.44B,4.305B,816.00M,5.121B,19.88B,,7.392B,15.45B,,69.00M,22.91B,,AOR,Restated
2008-09,,11.88B,10.24B,22.11B,2.422B,2.282B,4.704B,,,,509.00M,475.00M,1.044B,1.163B,30.01B,0.00,810.00M,1.613B,1.324B,3.747B,-1.292B,2.455B,207.00M,285.00M,492.00M,2.379B,171.00M,460.00M,6.165B,36.17B,,5.52B,506.00M,6.026B,1.00B,7.026B,,,,,,1.617B,2.298B,1.717B,11.36B,,,999.00M,768.00M,1.767B,746.00M,2.513B,13.87B,,7.177B,15.13B,,-9.00M,22.30B,,AOR,Restated
