,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2006-06,472.00M,,2.00M,,2.00M,57.00M,57.00M,118.00M,,37.00M,,-90.00M,-228.00M,-9.00M,,405.00M,12.00M,63.00M,82.00M,325.00M,1.007B,,-237.00M,,-237.00M,0.00,40.00M,706.00M,22.00M,531.00M,,,,,74.00M,-1.00M,73.00M,,,,56.00M,129.00M,,6.346B,1.667B,8.013B,,74.00M,,,-1.00M,24.00M,,,AOR,Restated
2006-03,410.00M,,3.00M,,3.00M,50.00M,50.00M,13.00M,,42.00M,,42.00M,470.00M,40.00M,,-788.00M,-135.00M,194.00M,-424.00M,-643.00M,-125.00M,,-193.00M,,-193.00M,0.00,,2.68B,-25.00M,2.462B,,,,,78.00M,-353.00M,-275.00M,,,,134.00M,-141.00M,,4.15B,2.196B,6.346B,,78.00M,,,-353.00M,62.00M,,,AOR,Restated
2005-12,565.00M,,0.00,,0.00,52.00M,52.00M,70.00M,,44.00M,,44.00M,-436.00M,-79.00M,,1.117B,-757.00M,478.00M,-771.00M,-448.00M,283.00M,,-82.00M,,-82.00M,0.00,,211.00M,-36.00M,93.00M,,,,,134.00M,,134.00M,,,,149.00M,283.00M,,3.491B,659.00M,4.15B,,134.00M,,,,22.00M,,,AOR,Restated
2005-09,428.00M,,3.00M,,3.00M,51.00M,51.00M,50.00M,,12.00M,149.00M,161.00M,-68.00M,28.00M,,249.00M,-139.00M,7.00M,-18.00M,59.00M,752.00M,,-96.00M,,-96.00M,,0.00,-341.00M,8.00M,-429.00M,,,,,74.00M,0.00,74.00M,,,,,74.00M,,3.094B,397.00M,3.491B,,74.00M,,,0.00,-91.00M,,,AOR,Restated
2005-06,315.00M,,2.00M,,2.00M,46.00M,46.00M,-13.00M,,17.00M,4.00M,21.00M,61.00M,-29.00M,,-243.00M,105.00M,168.00M,39.00M,101.00M,472.00M,,-63.00M,,-63.00M,,0.00,378.00M,-10.00M,305.00M,,,,,63.00M,0.00,63.00M,,,,,63.00M,,2.254B,840.00M,3.094B,,63.00M,,,0.00,61.00M,,,AOR,Restated
2005-03,290.00M,,2.00M,,2.00M,41.00M,41.00M,21.00M,,10.00M,135.00M,145.00M,-23.00M,-8.00M,,36.00M,-29.00M,90.00M,-29.00M,37.00M,536.00M,,-43.00M,,-43.00M,,,-834.00M,-32.00M,-909.00M,,,,,152.00M,0.00,152.00M,,,,,152.00M,,2.475B,-221.00M,2.254B,,152.00M,,,0.00,10.00M,,,AOR,Restated
2004-12,295.00M,,2.00M,,2.00M,41.00M,41.00M,-8.00M,,10.00M,140.00M,150.00M,-91.00M,-55.00M,,286.00M,-87.00M,269.00M,-27.00M,295.00M,775.00M,,-58.00M,,-58.00M,,,-1.478B,13.00M,-1.523B,,,,,254.00M,,254.00M,,,,,254.00M,,2.969B,-494.00M,2.475B,,254.00M,,,,37.00M,,,AOR,Restated
2004-09,96.00M,,4.00M,0.00,4.00M,40.00M,40.00M,-38.00M,,23.00M,,124.00M,-145.00M,-29.00M,,390.00M,-93.00M,111.00M,6.00M,240.00M,443.00M,,-59.00M,,-59.00M,,,-645.00M,2.00M,-702.00M,,0.00,,0.00,108.00M,,108.00M,,,,,108.00M,,3.12B,-151.00M,2.969B,,108.00M,,0.00,,,0.00,,AOR,Restated
2004-06,61.00M,,3.00M,-1.00M,2.00M,41.00M,41.00M,49.00M,,10.00M,,-8.00M,-44.00M,-9.00M,,70.00M,-66.00M,98.00M,-6.00M,43.00M,211.00M,,-38.00M,,-38.00M,,,-419.00M,-3.00M,-460.00M,,0.00,,0.00,211.00M,,211.00M,,,,,211.00M,,3.158B,-38.00M,3.12B,,211.00M,,0.00,,-15.00M,0.00,,AOR,Restated
2004-03,46.00M,,0.00,0.00,0.00,36.00M,36.00M,2.00M,,6.00M,,6.00M,1.00M,26.00M,,-94.00M,19.00M,32.00M,-13.00M,-29.00M,61.00M,,-35.00M,,-35.00M,,,-367.00M,-1.00M,-403.00M,,-300.00M,,-300.00M,76.00M,,76.00M,,,,,-224.00M,,3.724B,-566.00M,3.158B,,76.00M,,-300.00M,,7.00M,10.00M,,AOR,Restated
2003-12,63.00M,,0.00,-4.00M,-4.00M,33.00M,33.00M,6.00M,,7.00M,,7.00M,180.00M,-33.00M,,-69.00M,-36.00M,84.00M,-12.00M,114.00M,219.00M,,-44.00M,,-44.00M,,,108.00M,13.00M,77.00M,,,,,32.00M,,32.00M,,,,,32.00M,,3.396B,328.00M,3.724B,,32.00M,,,,8.00M,,,AOR,Restated
2003-09,41.00M,,0.00,-14.00M,-14.00M,29.00M,29.00M,12.00M,,7.00M,,0.00,-198.00M,-18.00M,,274.00M,-90.00M,45.00M,-15.00M,-2.00M,73.00M,,-58.00M,,-58.00M,,,-122.00M,0.00,-180.00M,,0.00,,0.00,22.00M,,-4.00M,,,,,-4.00M,,3.507B,-111.00M,3.396B,,22.00M,,0.00,,10.00M,30.00M,,AOR,Restated
2003-06,19.00M,,0.00,-5.00M,-5.00M,24.00M,24.00M,-4.00M,,7.00M,,0.00,-76.00M,3.00M,,-41.00M,22.00M,60.00M,-1.00M,-33.00M,8.00M,,-46.00M,,-46.00M,,,102.00M,18.00M,74.00M,,0.00,,0.00,15.00M,,15.00M,,,,,15.00M,,3.41B,97.00M,3.507B,,15.00M,,0.00,,10.00M,-20.00M,,AOR,Restated
2003-03,14.00M,,-1.00M,-9.00M,-10.00M,29.00M,29.00M,-14.00M,,1.00M,,0.00,5.00M,3.00M,,104.00M,-37.00M,5.00M,-2.00M,78.00M,98.00M,,-40.00M,,-40.00M,,,731.00M,6.00M,697.00M,,0.00,,0.00,3.00M,,3.00M,,,,,3.00M,,2.612B,798.00M,3.41B,,3.00M,,0.00,,8.00M,10.00M,,AOR,Restated
2002-12,-6.00M,,3.00M,-9.00M,-6.00M,31.00M,31.00M,2.00M,,1.00M,,12.00M,68.00M,1.00M,,-94.00M,71.00M,42.00M,-12.00M,76.00M,110.00M,,-20.00M,,-20.00M,,,248.00M,9.00M,237.00M,,,,,13.00M,,13.00M,,,,,13.00M,,2.252B,360.00M,2.612B,,13.00M,,,,17.00M,,,AOR,Restated
2002-09,-45.00M,,1.00M,63.00M,64.00M,29.00M,29.00M,-32.00M,,,,5.00M,61.00M,-11.00M,,7.00M,40.00M,-43.00M,2.00M,56.00M,82.00M,,-64.00M,,-64.00M,,,998.00M,26.00M,908.00M,,,,,16.00M,,16.00M,,,,,16.00M,,1.246B,1.006B,2.252B,,16.00M,,,,3.00M,10.00M,,AOR,Restated
2002-06,32.00M,,2.00M,-2.00M,0.00,28.00M,28.00M,-32.00M,,,,0.00,18.00M,-8.00M,,-83.00M,-63.00M,73.00M,-2.00M,-65.00M,-37.00M,,-31.00M,,-31.00M,,,114.00M,-1.00M,82.00M,,,,,42.00M,,42.00M,,,,,42.00M,,1.159B,87.00M,1.246B,,42.00M,,,,1.00M,0.00,,AOR,Restated
2002-03,40.00M,,2.00M,0.00,2.00M,29.00M,29.00M,40.00M,,,,0.00,-146.00M,-3.00M,,157.00M,-79.00M,-24.00M,-14.00M,-109.00M,2.00M,,-43.00M,,-43.00M,,,-740.00M,-42.00M,-825.00M,,,,,36.00M,,36.00M,,,,,36.00M,,1.946B,-787.00M,1.159B,,36.00M,,,,-1.00M,10.00M,,AOR,Restated
2001-12,38.00M,,2.00M,-26.00M,-24.00M,28.00M,28.00M,-10.00M,,,,4.00M,-32.00M,-12.00M,,29.00M,-12.00M,30.00M,3.00M,6.00M,42.00M,,-36.00M,,-36.00M,,,-391.00M,10.00M,-417.00M,,,,,11.00M,,11.00M,,,,,11.00M,,2.31B,-364.00M,1.946B,,11.00M,,,,8.00M,,,AOR,Restated
2001-09,66.00M,,5.00M,-14.00M,-9.00M,28.00M,28.00M,18.00M,13.00M,,,0.00,132.00M,8.00M,,-46.00M,40.00M,-48.00M,71.00M,157.00M,275.00M,,-163.00M,,-163.00M,,-19.00M,89.00M,-11.00M,-104.00M,,,,,18.00M,,18.00M,,,,,18.00M,,2.121B,189.00M,2.31B,,18.00M,,,,8.00M,10.00M,,AOR,Restated
2001-06,61.00M,,3.00M,-11.00M,-8.00M,26.00M,26.00M,23.00M,,,,11.00M,39.00M,-9.00M,,-114.00M,22.00M,-65.00M,-19.00M,-146.00M,-33.00M,,-30.00M,,-30.00M,,-203.00M,243.00M,0.00,10.00M,,,,,6.00M,,6.00M,,,,,6.00M,,2.138B,-17.00M,2.121B,,6.00M,,,,16.00M,0.00,,AOR,Restated
2001-03,43.00M,,1.00M,8.00M,9.00M,22.00M,22.00M,15.00M,-13.00M,,,-13.00M,-196.00M,11.00M,,324.00M,-72.00M,-163.00M,-24.00M,-120.00M,-44.00M,,-17.00M,,-17.00M,,129.00M,322.00M,-4.00M,430.00M,,,,,15.00M,,15.00M,,,,,15.00M,,1.737B,401.00M,2.138B,,15.00M,,,,9.00M,10.00M,,AOR,Restated
2000-12,-207.00M,,0.00,-71.00M,-71.00M,24.00M,24.00M,-92.00M,13.00M,,,13.00M,512.00M,12.00M,,-520.00M,116.00M,216.00M,-16.00M,320.00M,-13.00M,,-22.00M,,-22.00M,,74.00M,507.00M,-3.00M,556.00M,,,,,3.00M,,3.00M,,,,,3.00M,,1.191B,546.00M,1.737B,,3.00M,,,,9.00M,,,AOR,Restated
2000-09,170.00M,,10.00M,-83.00M,-73.00M,18.00M,18.00M,11.00M,0.00,,,0.00,14.00M,-28.00M,,90.00M,-55.00M,12.00M,41.00M,74.00M,200.00M,,-66.00M,-11.00M,-77.00M,,372.00M,-642.00M,-16.00M,-363.00M,,,,,35.00M,-25.00M,10.00M,,,,,10.00M,,1.344B,-153.00M,1.191B,,35.00M,,,-25.00M,11.00M,10.00M,,AOR,Restated
2000-06,200.00M,,-1.00M,-50.00M,-51.00M,25.00M,25.00M,47.00M,,,,,-27.00M,5.00M,,-71.00M,25.00M,95.00M,-14.00M,13.00M,234.00M,,-11.00M,1.00M,-10.00M,,-237.00M,-263.00M,5.00M,-505.00M,,,,,3.00M,-50.00M,-47.00M,,,,,-47.00M,,1.662B,-318.00M,1.344B,,3.00M,,,-50.00M,-1.00M,0.00,,AOR,Restated
2000-03,233.00M,,-2.00M,-100.00M,-102.00M,21.00M,21.00M,41.00M,,,,,-48.00M,5.00M,,-63.00M,-11.00M,-5.00M,-10.00M,-132.00M,61.00M,,-27.00M,10.00M,-17.00M,,101.00M,-89.00M,-10.00M,-15.00M,,,,,30.00M,0.00,30.00M,,,,,30.00M,,1.586B,76.00M,1.662B,,30.00M,,,0.00,29.00M,10.00M,,AOR,Restated
1999-12,183.00M,,3.00M,-134.00M,-131.00M,20.00M,20.00M,64.00M,0.00,,,0.00,-211.00M,5.00M,,362.00M,4.00M,74.00M,3.00M,237.00M,373.00M,,-38.00M,,-38.00M,,136.00M,-174.00M,-13.00M,-89.00M,,,,,17.00M,-41.00M,-24.00M,,,,,-24.00M,,1.326B,260.00M,1.586B,,17.00M,,,-41.00M,8.00M,,,AOR,Restated
1999-09,111.00M,188.00M,0.00,-230.00M,-42.00M,19.00M,19.00M,-50.00M,,,,,215.00M,-13.00M,,22.00M,-63.00M,28.00M,15.00M,204.00M,242.00M,,-40.00M,2.00M,-38.00M,,44.00M,-679.00M,14.00M,-659.00M,,,,,45.00M,-75.00M,-30.00M,,,,,-30.00M,,1.773B,-447.00M,1.326B,,45.00M,,,-75.00M,,9.00M,,AOR,Restated
1999-06,203.00M,-101.00M,,,-101.00M,19.00M,19.00M,9.00M,,,,,-92.00M,11.00M,,1.00M,42.00M,1.00M,-5.00M,-42.00M,88.00M,,-7.00M,1.00M,-6.00M,,105.00M,231.00M,-8.00M,322.00M,,,,,5.00M,0.00,5.00M,,,,,5.00M,,1.358B,415.00M,1.773B,,5.00M,,,0.00,,19.00M,,AOR,Restated
1999-03,135.00M,-87.00M,1.00M,32.00M,-54.00M,24.00M,24.00M,-4.00M,,,,,109.00M,7.00M,,136.00M,-9.00M,-72.00M,-3.00M,168.00M,269.00M,,-19.00M,20.00M,1.00M,,96.00M,-244.00M,-18.00M,-165.00M,,,,,33.00M,0.00,33.00M,,,,,33.00M,,1.221B,137.00M,1.358B,,33.00M,,,0.00,,10.00M,,AOR,Restated
1998-12,152.00M,,-1.00M,-32.00M,-33.00M,23.00M,23.00M,10.00M,,,,,42.00M,53.00M,,-64.00M,-2.00M,28.00M,14.00M,71.00M,223.00M,,-5.00M,,-5.00M,,,-501.00M,20.00M,-486.00M,,,,,3.00M,0.00,3.00M,,,,,3.00M,,1.481B,-260.00M,1.221B,,3.00M,,,0.00,,20.00M,,AOR,Restated
1998-09,106.00M,0.00,,,0.00,23.00M,23.00M,-5.00M,,,,0.00,-40.00M,51.00M,,39.00M,-37.00M,103.00M,42.00M,158.00M,282.00M,,-7.00M,10.00M,-7.00M,10.00M,0.00,-29.00M,-6.00M,-32.00M,,1.00M,,1.00M,27.00M,,27.00M,,,,,28.00M,,1.203B,278.00M,1.481B,,27.00M,-2.00M,3.00M,,,9.00M,,AOR,Restated
1998-06,101.00M,-40.00M,,,-40.00M,32.00M,32.00M,5.00M,,,,7.00M,-108.00M,128.00M,,50.00M,-21.00M,2.00M,50.00M,101.00M,206.00M,,-27.00M,34.00M,17.00M,-10.00M,24.00M,-252.00M,-46.00M,-267.00M,,-23.00M,,-23.00M,2.00M,,2.00M,,,,,-21.00M,,1.285B,-82.00M,1.203B,,2.00M,0.00,-23.00M,,,20.00M,,AOR,Restated
1998-03,55.00M,,,,,28.00M,28.00M,-2.00M,,,,,87.00M,147.00M,,-100.00M,62.00M,-108.00M,-14.00M,74.00M,155.00M,,-5.00M,3.00M,-2.00M,,,-104.00M,32.00M,-74.00M,,0.00,,0.00,11.00M,,11.00M,,,,,11.00M,,1.193B,92.00M,1.285B,,11.00M,1.00M,-1.00M,,,10.00M,,AOR,Restated
1997-12,47.00M,,,,,28.00M,28.00M,3.00M,,,,,133.00M,33.00M,,-62.00M,27.00M,-82.00M,5.00M,54.00M,132.00M,,-7.00M,42.00M,35.00M,,,-205.00M,,-170.00M,,0.00,,0.00,1.00M,,1.00M,,,,,1.00M,,1.23B,-37.00M,1.193B,,1.00M,1.00M,-1.00M,,,20.00M,,AOR,Restated
1997-09,-161.00M,,6.00M,,6.00M,41.00M,41.00M,4.00M,,,,0.00,172.00M,97.00M,,-101.00M,-19.00M,124.00M,,269.00M,159.00M,,-395.00M,35.00M,24.00M,,384.00M,-17.00M,-24.00M,-17.00M,,-102.00M,,-102.00M,22.00M,,22.00M,,,,,70.00M,,1.018B,212.00M,1.23B,,172.00M,,-102.00M,,,10.00M,,AOR,Restated
1997-06,-56.00M,,0.00,,0.00,22.00M,22.00M,-9.00M,,,,0.00,-59.00M,-25.00M,,-75.00M,6.00M,-10.00M,,-163.00M,-206.00M,,-6.00M,11.00M,5.00M,,-1.00M,-26.00M,-24.00M,-46.00M,,-7.00M,,-7.00M,4.00M,,4.00M,,,,,-3.00M,,1.273B,-255.00M,1.018B,,4.00M,-1.00M,-6.00M,,-24.00M,21.00M,,AOR,Restated
1997-03,-708.00M,,31.00M,,31.00M,30.00M,30.00M,-45.00M,,,,375.00M,352.00M,-21.00M,,161.00M,87.00M,-153.00M,,426.00M,109.00M,,-16.00M,-1.00M,-17.00M,,-383.00M,447.00M,-15.00M,32.00M,,-47.00M,,-47.00M,5.00M,,5.00M,,,,,-42.00M,,1.174B,99.00M,1.273B,,5.00M,0.00,-47.00M,,4.00M,10.00M,,AOR,Restated
1996-12,-120.00M,,,,,25.00M,25.00M,,,,,,4.00M,174.00M,,17.00M,-38.00M,30.00M,,187.00M,92.00M,,-20.00M,2.00M,-18.00M,,,-440.00M,-10.00M,-468.00M,,-5.00M,,-5.00M,3.00M,,3.00M,,,,,-2.00M,,1.552B,-378.00M,1.174B,,3.00M,1.00M,-6.00M,,20.00M,20.00M,,AOR,Restated
1996-09,25.00M,,-27.00M,,-27.00M,6.00M,6.00M,,,,,,-204.00M,399.00M,,-5.00M,71.00M,90.00M,378.00M,729.00M,296.00M,,-12.00M,,35.00M,,,-193.00M,42.00M,-116.00M,,-1.00M,,-1.00M,14.00M,,14.00M,0.00,0.00,,,13.00M,,1.359B,193.00M,1.552B,,14.00M,0.00,-1.00M,,,,,AOR,Restated
1996-06,-32.00M,,41.00M,,41.00M,22.00M,22.00M,,,,,,74.00M,405.00M,,-77.00M,33.00M,-105.00M,-74.00M,256.00M,287.00M,,-13.00M,,-13.00M,,,92.00M,9.00M,88.00M,,481.00M,,481.00M,3.00M,,3.00M,0.00,0.00,,,484.00M,,500.00M,859.00M,1.359B,,3.00M,646.00M,-165.00M,,,,,AOR,Restated
1996-03,-740.00M,,1.00M,,1.00M,46.00M,46.00M,,,,,,578.00M,481.00M,,-433.00M,-116.00M,146.00M,-325.00M,331.00M,-362.00M,,-11.00M,,-11.00M,,,184.00M,-6.00M,167.00M,,-110.00M,-37.00M,-147.00M,17.00M,,17.00M,1.00M,1.00M,,,-129.00M,,824.00M,-324.00M,500.00M,,17.00M,-1.00M,-109.00M,,,,,AOR,Restated
1995-12,-69.00M,,1.00M,,1.00M,42.00M,42.00M,,,,,,-13.00M,-172.00M,,266.00M,57.00M,78.00M,-3.00M,213.00M,187.00M,,-31.00M,,-31.00M,,,-80.00M,-36.00M,-147.00M,,1.00M,37.00M,38.00M,5.00M,,5.00M,-15.00M,-15.00M,,,28.00M,,756.00M,68.00M,824.00M,,5.00M,1.00M,,,,,,AOR,Restated
1995-09,60.00M,,5.00M,,5.00M,23.00M,23.00M,,,,,,-378.00M,-408.00M,,112.00M,-6.00M,-15.00M,-66.00M,-761.00M,-673.00M,,-49.00M,,-49.00M,,,312.00M,-79.00M,184.00M,,171.00M,-114.00M,57.00M,35.00M,,35.00M,-15.00M,-15.00M,,,77.00M,,1.168B,-412.00M,756.00M,,35.00M,,,,,,,AOR,Restated
1995-06,103.00M,,1.00M,,1.00M,37.00M,37.00M,,,,,,80.00M,-383.00M,,184.00M,-44.00M,-25.00M,21.00M,-167.00M,-26.00M,,-59.00M,,-59.00M,,,103.00M,0.00,44.00M,,-3.00M,-221.00M,-224.00M,13.00M,,13.00M,-14.00M,-14.00M,,,-225.00M,,1.375B,-207.00M,1.168B,,13.00M,,,,,,,AOR,Restated
1995-03,73.00M,,-5.00M,,-5.00M,29.00M,29.00M,,,,,,-34.00M,100.00M,,-200.00M,-86.00M,96.00M,33.00M,-91.00M,6.00M,,-29.00M,,-29.00M,,,-171.00M,-11.00M,-211.00M,,0.00,418.00M,418.00M,29.00M,,29.00M,-15.00M,-15.00M,,,432.00M,,1.148B,227.00M,1.375B,,29.00M,,,,,,,AOR,Restated
1994-12,188.00M,,5.00M,,5.00M,38.00M,38.00M,,,,,,-18.00M,4.00M,,140.00M,77.00M,-66.00M,85.00M,222.00M,453.00M,,-22.00M,,-22.00M,,,-385.00M,-12.00M,-419.00M,,-1.00M,-83.00M,-84.00M,9.00M,,9.00M,-14.00M,-14.00M,,,-89.00M,,1.203B,-55.00M,1.148B,,9.00M,,,,,,,AOR,Restated
1994-09,114.00M,,0.00,,0.00,46.00M,46.00M,,,,,,-304.00M,108.00M,,169.00M,34.00M,85.00M,-10.00M,82.00M,242.00M,,-37.00M,,-37.00M,,,33.00M,31.00M,27.00M,,-532.00M,308.00M,-224.00M,30.00M,,30.00M,-14.00M,-14.00M,,,-208.00M,,1.142B,61.00M,1.203B,,30.00M,,,,,,,AOR,Restated
1994-06,139.00M,,1.00M,,1.00M,41.00M,41.00M,,,,,,66.00M,90.00M,,-219.00M,128.00M,-60.00M,-44.00M,-39.00M,142.00M,,-24.00M,,-24.00M,,,-67.00M,-10.00M,-101.00M,,0.00,24.00M,24.00M,4.00M,,4.00M,-14.00M,-14.00M,,,14.00M,,1.087B,55.00M,1.142B,,4.00M,,,,,,,AOR,Restated
1994-03,17.00M,,3.00M,,3.00M,38.00M,38.00M,,,,,,-95.00M,52.00M,,18.00M,-187.00M,98.00M,39.00M,-75.00M,-17.00M,,-75.00M,,-75.00M,,,130.00M,9.00M,64.00M,,300.00M,-261.00M,39.00M,43.00M,,43.00M,-14.00M,-14.00M,,,68.00M,,972.00M,115.00M,1.087B,,43.00M,,,,,,,AOR,
1993-12,40.00M,,7.00M,,7.00M,43.00M,43.00M,,,,,,134.00M,168.00M,,-79.00M,59.00M,-33.00M,31.00M,280.00M,370.00M,,-24.00M,,-24.00M,,,66.00M,-34.00M,8.00M,,-2.00M,-71.00M,-73.00M,5.00M,,5.00M,-14.00M,-14.00M,,,-82.00M,,676.00M,296.00M,972.00M,,5.00M,,,,,,,AOR,Restated
1993-09,3.075M,,6.757M,,6.757M,42.36M,42.36M,,,,,,-116.83M,-268.44M,105.80M,11.19M,-17.91M,-75.80M,-89.46M,-451.46M,-399.26M,,-47.59M,,-47.59M,,,247.68M,12.77M,212.86M,,-0.775M,515.28M,514.51M,17.15M,0.458M,17.61M,-14.34M,-14.34M,,-48.00M,469.77M,,393.18M,283.37M,676.00M,,17.15M,,,0.458M,,,,,Restated
1993-06,-188.28M,,6.243M,,4.743M,41.44M,41.44M,-103.60M,,,,-0.10M,20.43M,-361.86M,-105.80M,321.01M,-17.29M,72.10M,39.46M,-31.94M,-277.74M,,-72.61M,,-72.61M,,,55.12M,-35.17M,-52.66M,,-10.22M,123.72M,237.99M,12.65M,-73.86M,-61.21M,-41.66M,-13.96M,,0.10M,162.93M,,0.00,-167.47M,393.18M,,12.65M,,,-73.86M,,,,,Restated
1993-03,110.86M,,-1.026M,,0.474M,42.80M,42.80M,103.60M,,,,0.10M,-87.05M,-280.18M,13.81M,160.05M,35.54M,-89.62M,-63.19M,-310.64M,-52.81M,,-48.51M,,-48.51M,,,342.68M,-26.06M,268.11M,,,-6.126M,-130.63M,38.92M,-133.82M,-94.91M,14.25M,-13.45M,,-0.10M,-239.09M,,584.44M,-23.78M,0.00,,38.92M,-6.126M,,-133.82M,,,,,
1992-12,161.34M,,1.026M,,1.026M,39.40M,39.40M,,,,,,-111.55M,-16.52M,-13.81M,26.75M,-96.34M,25.32M,63.19M,-122.96M,78.81M,,-44.29M,,-44.29M,,,75.52M,33.46M,64.69M,,,6.126M,6.126M,16.28M,-65.78M,-49.49M,-14.25M,-14.25M,,,-57.61M,,498.56M,85.88M,584.44M,,16.28M,6.126M,,-65.78M,,,,,Restated
1992-09,97.57M,,,,6.487M,59.98M,59.98M,-132.20M,,,,0.10M,-130.53M,-44.34M,,80.59M,-24.28M,20.22M,,26.43M,58.37M,,-43.85M,,-43.85M,,,-192.67M,5.49M,-231.03M,,,,3.904M,-12.31M,-37.42M,-49.74M,,-14.20M,,,-60.03M,,0.00,-232.69M,498.56M,,-12.31M,,,-37.42M,,,,,Restated
1992-06,131.70M,,,,2.90M,57.20M,57.20M,39.10M,,,,-0.30M,-83.30M,6.80M,,48.40M,50.10M,-17.00M,,5.00M,235.60M,,-57.40M,,-57.40M,,,-175.30M,-7.50M,-240.20M,,,,43.90M,42.60M,-103.20M,-60.60M,,-14.30M,,-0.10M,-31.10M,,0.00,-35.70M,0.00,,42.60M,,,-103.20M,,,,,
1992-03,135.10M,,,,1.80M,50.20M,50.20M,51.00M,,,,0.30M,100.10M,100.80M,,-59.80M,-39.10M,-19.10M,,82.90M,321.30M,,-42.00M,,-42.00M,,,-110.60M,-27.80M,-180.40M,,,,90.50M,71.40M,-51.70M,19.70M,,-14.50M,,0.20M,95.90M,,0.00,236.80M,0.00,,71.40M,,,-51.70M,,,,,
1991-12,166.00M,,,,3.50M,49.80M,49.80M,42.10M,,,,-0.10M,-66.30M,28.30M,,43.70M,-74.10M,112.80M,,44.40M,305.70M,,-51.60M,,-51.60M,,,-169.80M,-39.60M,-261.00M,,,,-102.80M,18.70M,-20.30M,-1.60M,,-14.20M,,-0.10M,-118.70M,,604.10M,-74.00M,0.00,,18.70M,,,-20.30M,,,,,
1991-09,81.20M,,,,3.00M,57.90M,57.90M,7.50M,,,,0.20M,-140.10M,61.70M,,-18.40M,46.10M,-43.70M,,-94.40M,55.40M,,-51.60M,,-51.60M,,,-172.60M,-6.40M,-230.60M,,,,-194.80M,224.00M,-9.60M,214.40M,,-14.10M,,,5.60M,,0.00,-169.60M,0.00,,224.00M,,,-9.60M,,,,,
1991-06,-53.10M,,,,0.10M,53.50M,53.50M,-109.30M,,,,-0.10M,23.90M,-112.40M,,-80.40M,-78.50M,220.80M,,-26.60M,-135.50M,,-53.50M,,-53.50M,,,51.00M,-21.40M,-23.90M,,,,337.30M,-156.50M,-107.60M,-264.10M,,-14.40M,,,58.80M,,0.00,-100.60M,0.00,,-156.50M,,,-107.60M,,,,,
1991-03,131.20M,,,,3.50M,45.90M,45.90M,71.70M,,,,0.10M,62.50M,-212.50M,,3.70M,-61.40M,-62.80M,,-270.50M,-18.10M,,-39.00M,,-39.00M,,,77.40M,-17.30M,21.10M,,,,-17.00M,168.80M,-5.60M,163.20M,,-14.10M,,,132.10M,,0.00,135.10M,0.00,,168.80M,,,-5.60M,,,,,
1990-12,150.50M,,,,0.40M,47.10M,47.10M,38.10M,,,,,-91.60M,-53.00M,,76.70M,-9.40M,68.10M,,-9.20M,226.90M,,-74.20M,,-74.20M,,,378.00M,-12.10M,291.70M,,,,-99.60M,21.40M,-61.90M,-40.50M,,-13.90M,,,-154.00M,,374.70M,364.60M,0.00,,21.40M,,,-61.90M,,,,,
1990-09,98.50M,,,,1.00M,60.80M,60.80M,6.00M,,,,-0.10M,-56.30M,-63.60M,,2.60M,8.90M,39.90M,,-68.50M,97.70M,,-67.80M,,-67.80M,,,-243.50M,-12.70M,-324.00M,,,,97.80M,34.30M,-183.20M,-148.90M,,-12.90M,,,-64.00M,,0.00,-290.30M,0.00,,34.30M,,,-183.20M,,,,,
1990-06,119.70M,,,,0.50M,49.90M,49.90M,45.30M,,,,0.10M,-46.80M,20.60M,,43.20M,4.90M,64.40M,,86.30M,301.80M,,-50.80M,,-50.80M,,,-28.80M,-42.00M,-121.60M,,,,4.90M,20.50M,-173.10M,-152.60M,,-13.40M,,,-161.10M,,0.00,19.10M,0.00,,20.50M,,,-173.10M,,,,,
1990-03,131.90M,,,,0.20M,44.20M,44.20M,53.70M,,,,-0.10M,90.30M,114.10M,,-22.90M,-60.60M,-47.50M,,73.40M,303.30M,,-42.80M,,-42.80M,,,147.30M,-20.20M,84.30M,,,,-47.90M,23.70M,-114.40M,-90.70M,,-13.50M,,-0.10M,-152.20M,,0.00,235.40M,0.00,,23.70M,,,-114.40M,,,,,
