,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1996-12,22.90M,,22.90M,138.10M,,138.10M,,39.30M,,,,91.80M,292.10M,,,,,,1.219B,,1.219B,,,237.50M,335.20M,,,1.792B,2.084B,,,,,,102.60M,134.40M,237.00M,,,,7.60M,,7.60M,,,,244.60M,637.50M,,637.50M,337.70M,337.70M,18.80M,129.80M,1.105B,1.350B,,7.50M,883.30M,0.00,,7.10M,24.90M,715.70M,,AOR,
1996-09,22.50M,,22.50M,,,135.80M,,35.90M,,,,103.70M,297.90M,,,,,,1.920B,-581.20M,1.339B,,215.60M,215.60M,,,,1.899B,2.197B,,92.30M,,,,92.30M,,92.30M,,,,7.60M,,7.60M,,,145.40M,245.30M,831.30M,,831.30M,316.10M,316.10M,16.20M,,1.147B,1.471B,,0.40M,860.60M,41.00M,,,,709.10M,,AOR,
1996-06,10.70M,,10.70M,,,137.50M,,38.80M,,,,95.00M,282.00M,,,,,,1.891B,-570.70M,1.32B,,217.20M,217.20M,,,,1.813B,2.095B,,84.40M,,,,84.40M,,84.40M,,,,7.90M,,7.90M,,,146.60M,238.90M,804.00M,,804.00M,306.50M,306.50M,11.80M,,1.110B,1.420B,,0.40M,788.30M,67.30M,,,,663.10M,,AOR,
1996-03,9.80M,,9.80M,,,144.60M,,37.70M,,,,51.10M,243.20M,,,,,,1.863B,-553.70M,1.309B,,198.40M,198.40M,,,,1.784B,2.027B,,83.60M,,,,83.60M,,83.60M,,,,10.10M,,10.10M,,,145.00M,238.70M,728.10M,,728.10M,296.20M,296.20M,9.90M,,1.024B,1.334B,,0.40M,770.10M,105.10M,,,,682.70M,,AOR,
1995-12,31.80M,,31.80M,135.60M,,135.60M,,39.80M,,,,74.00M,281.20M,,,,,,1.282B,,1.282B,,,204.40M,272.10M,,,1.758B,2.040B,,,,,,96.90M,213.10M,310.00M,,,,10.40M,,10.40M,,,,320.40M,633.80M,,633.80M,303.60M,303.60M,13.50M,73.10M,1.010B,1.331B,,7.50M,753.80M,133.90M,,7.10M,,695.20M,,AOR,
1995-09,14.60M,,14.60M,,,263.30M,,47.70M,,,,102.10M,427.70M,,,,,,2.246B,-740.60M,1.505B,,282.50M,282.50M,,,,2.079B,2.507B,,129.40M,,,,129.40M,,129.40M,,,,96.40M,,96.40M,,,166.20M,392.00M,1.038B,,1.038B,265.80M,265.80M,11.30M,,1.304B,1.799B,,0.40M,585.30M,304.00M,,,,696.80M,,AOR,
1995-06,12.00M,,12.00M,,,241.00M,,49.00M,,,,95.40M,397.40M,,,,,,2.195B,-735.80M,1.459B,,294.90M,294.90M,,,,2.030B,2.427B,,93.30M,,,,93.30M,,93.30M,,,,102.80M,,102.80M,,,182.50M,378.60M,1.032B,,1.032B,242.30M,242.30M,7.40M,,1.274B,1.747B,,0.40M,559.70M,311.80M,,,,672.80M,,AOR,
1995-03,19.30M,,19.30M,,,247.60M,,50.00M,,,,86.50M,403.40M,,,,,,2.154B,-715.10M,1.439B,,251.10M,251.10M,,,,1.951B,2.354B,,96.80M,,,,96.80M,,96.80M,,,,63.30M,,63.30M,,,147.50M,307.60M,1.003B,,1.003B,245.70M,245.70M,10.30M,,1.249B,1.650B,,0.40M,554.60M,339.20M,,,,694.00M,,AOR,
1994-12,12.70M,,12.70M,232.30M,,232.30M,,46.60M,,,,88.50M,380.10M,,,,,,2.101B,-686.00M,1.415B,,,220.80M,214.60M,,,1.851B,2.231B,,,,,,140.80M,142.40M,283.20M,,,,56.40M,,56.40M,,,,339.60M,928.80M,,928.80M,204.20M,204.20M,10.50M,80.50M,1.214B,1.553B,,7.50M,530.10M,338.00M,,7.10M,,667.20M,,AOR,
1994-09,29.10M,,29.10M,,,216.20M,,52.00M,,,,81.20M,378.50M,,,,,,2.025B,-666.00M,1.359B,,174.50M,174.50M,,,,1.744B,2.122B,,91.90M,,,,91.90M,,91.90M,,,,57.50M,,57.50M,,,144.60M,294.00M,855.50M,,855.50M,209.80M,209.80M,9.80M,,1.065B,1.459B,,0.40M,516.70M,338.80M,,,,653.50M,,AOR,
1994-06,9.90M,,9.90M,,,232.50M,,47.60M,,,,85.20M,375.20M,,,,,,1.965B,-637.90M,1.327B,,176.90M,176.90M,,,,1.712B,2.087B,,83.70M,,,,83.70M,,83.70M,,,,54.30M,,54.30M,,,147.70M,285.70M,867.30M,,867.30M,198.10M,198.10M,8.00M,,1.065B,1.451B,,0.40M,492.00M,338.80M,,,,627.70M,,AOR,
1994-03,10.50M,,10.50M,,,215.50M,,49.30M,,,,93.70M,369.00M,,,,,,1.877B,-615.30M,1.262B,,169.50M,169.50M,,,,1.634B,2.003B,,77.30M,,,,77.30M,,77.30M,,,,70.40M,,70.40M,,,143.30M,291.00M,811.00M,,811.00M,192.00M,192.00M,5.60M,,1.003B,1.398B,,31.30M,463.40M,308.70M,,,,598.90M,,AOR,
1993-12,6.60M,,6.60M,,,194.70M,,48.30M,,,,86.10M,335.70M,,,,,,1.792B,-599.40M,1.193B,,214.20M,214.20M,,,,1.581B,1.917B,,70.90M,,,,70.90M,,70.90M,,,,63.50M,,63.50M,,,154.00M,288.40M,776.20M,,776.20M,184.70M,184.70M,5.90M,,960.90M,1.348B,,,439.00M,,,,,562.70M,,AOR,
1993-09,22.10M,,22.10M,,,183.20M,,47.20M,,,,109.90M,362.40M,,,,,,1.731B,-589.70M,1.141B,,190.80M,190.80M,,,,1.478B,1.841B,,50.90M,,,,50.90M,,50.90M,,,,52.40M,,52.40M,,,177.90M,281.20M,760.80M,,760.80M,180.00M,180.00M,8.90M,,940.80M,1.310B,,,412.50M,,,,,522.10M,,AOR,
1993-06,22.90M,,22.90M,,,168.00M,,39.40M,,,,110.10M,340.40M,,,,,,1.700B,-573.60M,1.126B,,,,,,,1.486B,1.826B,,59.10M,,,,59.10M,,59.10M,,,,49.60M,,49.60M,,,166.90M,275.60M,749.40M,,749.40M,200.50M,200.50M,6.70M,,949.90M,1.317B,,,392.40M,,,,,502.20M,,AOR,
1993-03,51.50M,,51.50M,,,152.00M,,30.60M,,,,54.10M,288.20M,,,,,,1.332B,-560.20M,772.00M,,,,,,,1.060B,1.348B,,36.50M,,,,36.50M,,36.50M,,,,44.50M,,44.50M,,,119.60M,200.60M,478.00M,,478.00M,100.40M,100.40M,2.80M,,578.40M,866.90M,,,373.70M,,,,,478.40M,,AOR,
1992-12,15.40M,,15.40M,,,147.40M,,26.70M,,,,56.90M,246.40M,,,,,,1.312B,-543.80M,768.20M,,78.00M,78.00M,,,,1.002B,1.248B,,55.30M,,,,55.30M,,55.30M,,,,62.00M,,62.00M,,,101.30M,218.60M,387.00M,,387.00M,101.40M,101.40M,1.10M,,488.40M,784.90M,,,361.40M,,,,,462.40M,,AOR,
1992-09,119.80M,,119.80M,,,132.10M,,27.80M,,,,52.00M,331.70M,,,,,,1.259B,-530.60M,728.30M,,,,,,,932.90M,1.265B,,38.70M,,,,38.70M,,38.70M,,,,56.90M,,56.90M,,,123.00M,218.60M,419.40M,,419.40M,96.50M,96.50M,1.00M,,515.90M,809.20M,,,347.50M,,,,,454.40M,,AOR,
1992-06,18.80M,,18.80M,,,115.40M,,34.40M,,,,58.20M,226.80M,,,,,,1.236B,-537.70M,698.50M,,,,,,,906.40M,1.133B,,41.20M,,,,41.20M,,41.20M,,,,45.90M,,45.90M,,,110.10M,197.20M,321.80M,,321.80M,99.40M,99.40M,2.20M,,421.20M,688.60M,,,334.50M,,,,,442.40M,,AOR,
1992-03,42.00M,,42.00M,,,114.20M,,28.50M,,,,49.80M,234.50M,,,,,,1.211B,-539.00M,672.40M,,,,,,,876.40M,1.111B,,33.90M,,,,33.90M,,33.90M,,,,51.30M,,51.30M,,,115.10M,200.30M,318.70M,,318.70M,97.70M,97.70M,1.60M,,416.40M,681.70M,,,322.00M,,,,,427.60M,,AOR,
1991-12,44.00M,,44.00M,,,102.80M,,29.60M,,,,56.00M,232.40M,,,,,,1.210B,-543.70M,666.20M,,78.60M,78.60M,,,,859.50M,1.092B,,37.80M,,,,37.80M,,37.80M,,,,43.70M,,43.70M,,,119.00M,200.50M,317.10M,,317.10M,98.80M,98.80M,0.80M,,415.90M,679.30M,,,310.60M,,,,,411.80M,,AOR,
1991-09,92.80M,,92.80M,,,109.20M,,28.30M,,,,42.90M,273.20M,,,,,,1.214B,-562.70M,651.50M,,,,,,,841.20M,1.114B,,33.80M,,,,33.80M,,33.80M,,,,101.60M,,101.60M,,,112.10M,247.50M,314.70M,,314.70M,86.20M,86.20M,1.90M,,400.90M,710.50M,,,303.60M,,,,,402.00M,,AOR,
1991-06,21.30M,,21.30M,,,106.00M,,29.30M,,,,101.80M,258.40M,,,,,,1.201B,-554.90M,645.70M,,,,,,,838.00M,1.096B,,32.40M,,,,32.40M,,32.40M,,,,100.20M,,100.20M,,,103.10M,235.70M,322.80M,,322.80M,81.20M,81.20M,1.40M,,404.00M,701.10M,,,294.20M,,,,,393.90M,,AOR,
1991-03,30.30M,,30.30M,,,94.20M,,21.20M,,,,98.30M,244.00M,,,,,,1.158B,-546.90M,611.20M,,,,,,,796.80M,1.041B,,24.80M,,,,24.80M,,24.80M,,,,45.10M,,45.10M,,,97.40M,167.30M,344.30M,,344.30M,81.80M,81.80M,0.80M,,426.10M,655.30M,,,287.00M,,,,,384.70M,,AOR,
1990-12,32.90M,,32.90M,,,82.90M,,19.80M,,,,103.50M,239.10M,,,,,,1.146B,-536.40M,609.40M,,78.80M,78.80M,,,,794.90M,1.034B,,27.70M,,,,27.70M,,27.70M,,,,44.40M,,44.40M,,,99.40M,171.50M,344.90M,,344.90M,79.80M,79.80M,0.50M,,424.70M,657.80M,,,280.30M,,,,,375.70M,,AOR,
1990-09,37.40M,,37.40M,,,84.80M,,17.90M,,,,98.00M,238.10M,,,,,,1.099B,-526.70M,572.10M,,,,,,,748.80M,986.90M,,30.50M,,,,30.50M,,30.50M,,,,38.10M,,38.10M,,,99.00M,167.60M,317.00M,,317.00M,76.80M,76.80M,1.50M,,393.80M,618.00M,,,274.30M,,,,,367.40M,,AOR,
1990-06,31.80M,,31.80M,,,86.80M,,18.20M,,,,98.40M,235.20M,,,,,,1.088B,-522.20M,565.40M,,,,,,,709.90M,945.10M,,26.50M,,,,26.50M,,26.50M,,,,38.00M,,38.00M,,,90.80M,155.30M,289.00M,,289.00M,74.40M,74.40M,12.50M,,363.40M,577.30M,,,260.70M,,,,,355.30M,,AOR,
1990-03,33.60M,,33.60M,,,93.00M,,19.90M,,,,99.10M,245.60M,,,,,,1.082B,-518.20M,564.10M,,,,,,,704.30M,949.90M,,35.30M,,,,35.30M,,35.30M,,,,42.80M,,42.80M,,,97.00M,175.10M,284.70M,,284.70M,73.30M,73.30M,11.60M,,358.00M,590.60M,,,255.00M,,,,,347.70M,,AOR,
1989-12,52.40M,,52.40M,,,76.90M,,19.30M,,,,103.10M,251.70M,,,,,,1.109B,-528.10M,581.00M,,27.60M,27.60M,,,,713.20M,964.90M,,43.00M,,,,43.00M,,43.00M,,,,54.80M,,54.80M,,,102.40M,200.20M,282.80M,,282.80M,72.70M,72.70M,13.10M,,355.50M,612.70M,,,246.80M,,,,,339.10M,,AOR,
1988-12,108.50M,,108.50M,,,78.30M,,22.80M,,,,56.00M,265.60M,,,,,,1.038B,-489.90M,548.20M,,32.70M,32.70M,,,,713.50M,979.10M,,,,,,,,,,,,60.30M,,60.30M,,,198.10M,258.40M,299.90M,,299.90M,62.60M,62.60M,,,362.50M,694.40M,,,211.80M,,,,,284.70M,,AOR,
1987-12,87.00M,,87.00M,,,67.10M,,23.40M,,,,51.70M,229.20M,,,,,,971.00M,-436.00M,535.00M,,29.20M,29.20M,,,,697.80M,927.00M,,,,,,,,,,,,45.80M,,45.80M,,,137.50M,183.30M,224.70M,,224.70M,109.20M,109.20M,,,333.90M,572.90M,,,281.60M,,,,,354.10M,,AOR,
1986-12,73.50M,,73.50M,,,69.80M,,29.10M,,,,41.10M,213.50M,,,,,,1.098B,-434.50M,663.60M,,35.50M,35.50M,,,,792.60M,1.006B,,,,,,,,,,,,59.80M,,59.80M,,,136.30M,196.10M,320.30M,,320.30M,104.60M,104.60M,,,424.90M,658.20M,,,275.90M,,,,,347.90M,,AOR,
1985-12,93.00M,,93.00M,,,65.70M,,30.90M,,,,26.60M,216.20M,,,,,,998.80M,-350.40M,648.40M,,34.90M,34.90M,,,,849.50M,1.066B,,,,,,,,,,,,39.90M,,39.90M,,,107.20M,147.10M,302.20M,,302.20M,135.90M,135.90M,,,438.10M,635.20M,,,358.40M,,,,,430.50M,,AOR,
1984-12,48.60M,,48.60M,,,51.60M,,22.20M,,,,14.60M,137.00M,,,,,,873.80M,-315.90M,557.90M,,,,,,,717.40M,854.40M,,,,,,,,,,,,31.10M,,31.10M,,,90.60M,121.70M,172.80M,,172.80M,128.20M,128.20M,,,301.00M,459.60M,,,318.70M,,,,,394.80M,,AOR,
