,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2015-12,136.60M,,136.60M,171.90M,,243.50M,137.90M,137.90M,16.80M,,,2.20M,537.00M,0.00,218.10M,2.266B,7.004B,184.70M,9.672B,-2.085B,7.588B,,117.50M,117.50M,34.70M,,63.90M,7.804B,8.341B,,176.70M,35.90M,18.80M,,231.40M,83.60M,315.00M,40.50M,80.00M,276.10M,356.10M,,356.10M,,,46.00M,757.60M,2.045B,,2.045B,1.191B,1.191B,310.40M,122.60M,3.359B,4.116B,,7.20M,2.965B,947.10M,,6.10M,-4.70M,3.914B,,AOR,Restated
2015-09,116.60M,,116.60M,196.30M,,196.30M,127.70M,127.70M,,,69.80M,71.10M,581.50M,0.00,218.10M,2.282B,6.863B,162.60M,9.526B,-2.050B,7.475B,,141.20M,141.20M,40.00M,,84.50M,7.741B,8.322B,,,,,,,,440.10M,,,,25.30M,,25.30M,,,,465.40M,2.320B,,2.320B,1.210B,1.210B,309.70M,142.90M,3.673B,4.138B,,7.20M,2.913B,958.70M,,6.10M,-4.60M,3.875B,,AOR,Restated
2015-06,50.90M,,50.90M,195.30M,,195.30M,134.10M,134.10M,,,71.20M,72.00M,523.50M,0.00,217.80M,2.146B,6.690B,202.60M,9.256B,-1.979B,7.278B,,141.20M,141.20M,36.60M,,73.10M,7.529B,8.052B,,,,,,,,384.10M,,,,317.10M,,317.10M,,,,701.20M,1.828B,,1.828B,1.179B,1.179B,309.40M,145.70M,3.154B,3.855B,,7.20M,2.923B,962.10M,,6.10M,-3.80M,3.888B,,AOR,Restated
2015-03,38.40M,,38.40M,204.40M,,204.40M,127.30M,127.30M,,,83.80M,61.50M,515.40M,0.00,216.50M,2.096B,6.573B,208.00M,9.094B,-1.929B,7.165B,,141.20M,141.20M,40.10M,,79.10M,7.425B,7.941B,,,,,,,,390.30M,,,,268.10M,,268.10M,,,,658.40M,1.834B,,1.834B,1.165B,1.165B,309.00M,145.40M,3.144B,3.802B,,7.20M,2.866B,959.90M,,6.10M,-3.60M,3.830B,,AOR,Restated
2014-12,348.00M,,348.00M,181.60M,,237.50M,111.00M,111.00M,17.80M,,,3.90M,718.20M,0.00,216.80M,1.921B,6.515B,241.50M,8.894B,-1.858B,7.036B,,118.90M,118.90M,36.40M,,67.10M,7.258B,7.976B,,215.00M,31.00M,24.80M,,270.80M,106.40M,377.20M,42.40M,150.10M,324.80M,474.90M,,474.90M,,,4.30M,898.80M,1.826B,,1.826B,1.056B,1.056B,308.60M,130.80M,3.014B,3.912B,,7.20M,2.802B,949.80M,,6.10M,-3.20M,3.756B,,AOR,Restated
2014-09,285.80M,,285.80M,208.50M,,208.50M,122.80M,122.80M,,,115.40M,47.80M,780.30M,0.00,216.30M,1.862B,6.361B,173.40M,8.613B,-1.845B,6.768B,,141.20M,141.20M,43.30M,,84.00M,7.037B,7.817B,,,,,,,,424.10M,,312.00M,24.80M,336.80M,,336.80M,,,,760.90M,1.846B,,1.846B,1.128B,1.128B,307.00M,128.90M,3.103B,3.864B,,7.20M,2.692B,949.60M,,6.10M,-2.30M,3.646B,,AOR,Restated
2014-06,190.20M,,190.20M,213.10M,,213.10M,125.80M,125.80M,,,123.30M,55.80M,708.20M,0.00,216.40M,1.833B,6.300B,142.40M,8.492B,-1.807B,6.685B,,141.20M,141.20M,38.90M,,77.80M,6.942B,7.651B,,,,,,,,383.20M,,321.00M,24.80M,345.80M,,345.80M,,,,729.00M,1.852B,,1.852B,1.098B,1.098B,306.70M,129.60M,3.080B,3.809B,,7.20M,2.584B,945.40M,,6.10M,-2.00M,3.535B,,AOR,Restated
2014-03,167.50M,,167.50M,195.60M,,195.60M,131.80M,131.80M,,,125.60M,71.20M,691.70M,0.00,216.40M,1.603B,6.201B,134.90M,8.156B,-1.756B,6.400B,,141.20M,141.20M,40.80M,,87.60M,6.669B,7.361B,,,,,,,,374.40M,,175.00M,24.90M,199.90M,,199.90M,,,,574.30M,1.857B,,1.857B,1.067B,1.067B,306.30M,122.70M,3.047B,3.622B,,7.20M,2.486B,942.20M,,6.10M,-2.00M,3.433B,,AOR,Restated
2013-12,429.50M,,429.50M,198.30M,,198.30M,121.30M,121.30M,,,131.60M,61.70M,942.40M,0.00,216.40M,1.380B,6.165B,171.40M,7.932B,-1.696B,6.236B,,120.30M,120.30M,41.10M,,95.60M,6.493B,7.435B,,200.50M,23.80M,18.50M,,242.80M,107.90M,350.70M,47.90M,,,332.00M,,332.00M,,,,730.60M,1.857B,,1.857B,1.045B,1.045B,306.00M,126.70M,3.028B,3.759B,,7.20M,2.423B,942.50M,,6.10M,-2.00M,3.371B,,AOR,Restated
2013-09,95.90M,,95.90M,211.50M,,211.50M,135.40M,135.40M,,,96.70M,78.20M,617.70M,0.00,209.20M,1.248B,6.032B,157.60M,7.648B,-1.668B,5.979B,,141.20M,141.20M,42.60M,,100.30M,6.263B,6.881B,,,,,,,,403.00M,,,,51.80M,,51.80M,,,,454.80M,1.729B,,1.729B,985.40M,985.40M,305.40M,129.50M,2.844B,3.298B,,7.20M,2.333B,939.30M,,6.10M,-2.10M,3.277B,,AOR,Restated
2013-06,30.00M,,30.00M,199.60M,,199.60M,139.10M,139.10M,,,89.10M,85.90M,543.70M,0.00,209.20M,1.237B,5.921B,178.00M,7.546B,-1.623B,5.922B,,141.20M,141.20M,38.00M,,84.70M,6.186B,6.730B,,,,,,,,356.30M,,,,48.30M,,48.30M,,,,404.60M,1.766B,,1.766B,944.30M,944.30M,304.80M,132.00M,2.842B,3.247B,,7.20M,2.238B,935.20M,,6.10M,-2.10M,3.178B,,AOR,Restated
2013-03,63.70M,,63.70M,202.40M,,202.40M,140.40M,140.40M,,,87.70M,48.80M,543.00M,0.00,209.30M,978.70M,5.800B,192.30M,7.180B,-1.576B,5.604B,,141.20M,141.20M,56.60M,,128.20M,5.930B,6.474B,,,,,,,,356.90M,,,,162.50M,,162.50M,,,,519.40M,1.431B,,1.431B,909.40M,909.40M,304.50M,126.50M,2.467B,2.986B,,7.20M,2.247B,930.60M,,6.10M,-1.80M,3.183B,,AOR,Restated
2012-12,72.60M,,72.60M,183.60M,,215.00M,125.60M,125.60M,16.60M,,92.10M,0.40M,522.30M,0.00,208.90M,925.20M,5.850B,156.20M,7.140B,-1.577B,5.563B,,121.70M,121.70M,51.50M,,137.30M,5.874B,6.396B,,169.10M,0.00,28.70M,12.30M,210.10M,101.80M,311.90M,52.70M,,,60.20M,,60.20M,,,,424.80M,1.548B,,1.548B,894.20M,894.20M,304.10M,128.60M,2.570B,2.995B,,7.20M,2.166B,925.30M,,6.10M,-2.40M,3.097B,,AOR,Restated
2012-09,187.00M,,187.00M,200.80M,,200.80M,123.60M,123.60M,,,135.70M,35.30M,682.40M,5.461B,349.30M,861.10M,125.50M,251.60M,7.048B,-1.497B,5.552B,,,,59.70M,,130.50M,5.742B,6.424B,,,,,,,,436.30M,,,,51.80M,,51.80M,,,,488.10M,1.557B,,1.557B,892.00M,892.00M,295.60M,173.90M,2.623B,3.111B,,7.20M,2.096B,916.50M,,6.10M,-2.30M,3.018B,,AOR,Restated
2012-06,105.50M,,105.50M,184.80M,,184.80M,117.30M,117.30M,,,164.60M,55.20M,627.40M,5.522B,349.30M,857.80M,,209.90M,6.939B,-1.460B,5.479B,,,,54.50M,,129.80M,5.663B,6.291B,,,,,,,,393.20M,,,,52.20M,,52.20M,,,,445.40M,1.571B,,1.571B,868.10M,868.10M,295.00M,174.20M,2.613B,3.058B,,7.20M,2.028B,905.00M,,6.10M,-2.50M,2.937B,,AOR,Restated
2012-03,101.80M,,101.80M,186.60M,,186.60M,120.90M,120.90M,,,205.10M,69.50M,683.90M,5.521B,348.80M,834.00M,,156.90M,6.860B,-1.472B,5.388B,,,,57.50M,,124.60M,5.570B,6.254B,,,,,,,,400.10M,,,,46.40M,,46.40M,,,,446.50M,1.586B,,1.586B,863.40M,863.40M,294.50M,228.40M,2.677B,3.124B,,1.10M,1.929B,901.60M,,1.10M,-1.90M,2.836B,,AOR,Restated
