,NetIncome,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2013-06,15.70M,,,,-3.50M,,107.90M,,54.70M,54.70M,31.30M,3.70M,-0.40M,9.30M,4.70M,1.10M,-1.50M,-32.20M,,,-27.90M,200.80M,,-308.30M,1.40M,-153.70M,,,-4.80M,-321.40M,,215.00M,0.00,215.00M,,,,,-23.80M,0.50M,-104.80M,86.90M,,63.70M,-33.70M,,30.00M,,,1.404B,-1.189B,,,,,AOR,Restated
2013-03,104.20M,,,,-5.50M,,-5.50M,,53.10M,53.10M,22.10M,4.60M,-2.90M,2.00M,-18.70M,-13.10M,-25.40M,5.20M,,,-52.00M,125.60M,,-112.70M,2.90M,2.90M,,,-0.10M,-122.80M,,-14.50M,0.00,-14.50M,,,,,0.00,0.40M,2.40M,-11.70M,,72.60M,-8.90M,,63.70M,,,0.00,-14.50M,,,,,AOR,Restated
2012-12,92.50M,,,,-4.20M,,-2.10M,,51.90M,51.90M,55.00M,2.40M,-9.30M,6.90M,17.40M,0.70M,-52.60M,-18.10M,,,-52.60M,157.20M,,-220.80M,2.50M,2.50M,,,-1.60M,-223.70M,,-12.20M,,-12.20M,,,,,-43.00M,0.80M,6.50M,-47.90M,,187.00M,-114.40M,,72.60M,,,-0.10M,-12.10M,,,,,AOR,Restated
2012-09,90.70M,,,,-4.40M,,-4.40M,,49.80M,49.80M,60.80M,2.60M,-8.10M,-11.20M,-18.40M,-3.40M,50.80M,-3.30M,,,25.70M,205.90M,,-104.40M,5.80M,2.50M,,,6.50M,-96.90M,,-14.30M,,-14.30M,,,,,-21.50M,0.20M,8.10M,-27.50M,,105.50M,81.50M,,187.00M,,,0.10M,-14.40M,,,,,AOR,Restated
2012-06,120.90M,,,,-4.90M,,0.20M,,48.70M,48.70M,46.60M,2.50M,-0.90M,-60.30M,0.60M,4.90M,-1.40M,1.50M,,,5.60M,170.60M,,-115.40M,3.70M,-15.90M,,,1.40M,-130.20M,,-12.40M,,-12.40M,,,,,-21.50M,0.60M,-3.40M,-36.70M,,101.80M,3.70M,,105.50M,,,100.00M,-112.40M,,,,,AOR,Restated
2012-03,75.30M,,,,-5.80M,,7.10M,,48.40M,48.40M,34.90M,3.20M,-13.20M,11.40M,-21.10M,-11.50M,0.20M,4.80M,,,-27.60M,139.50M,,-99.40M,2.70M,2.70M,,,2.30M,-101.10M,,-7.40M,,-7.40M,,,,,-0.10M,0.30M,-1.80M,-9.00M,,72.40M,29.40M,,101.80M,,,229.60M,-237.00M,,,,,AOR,Restated
2011-12,96.00M,,,,-13.70M,-15.90M,34.70M,,47.10M,47.10M,0.50M,2.10M,-0.20M,-6.30M,25.40M,4.60M,-22.40M,-26.70M,,,-19.10M,172.90M,,-211.00M,3.20M,-9.60M,,29.00M,-16.10M,-218.20M,,-81.40M,,-81.40M,,,,,-0.10M,0.30M,-18.20M,-99.40M,,217.10M,-144.70M,,72.40M,,,50.00M,-131.40M,,,,,AOR,Restated
2011-09,100.10M,,,,-2.20M,6.80M,-20.80M,,47.90M,47.90M,43.00M,1.10M,0.00,5.00M,8.90M,2.00M,20.30M,-11.30M,,,19.90M,196.20M,,-112.20M,1.90M,1.90M,,-4.80M,-3.00M,-118.10M,,-12.30M,,-12.30M,,,,,0.00,0.60M,-5.30M,-17.00M,,156.00M,61.10M,,217.10M,,,300.00M,-312.30M,,,,,AOR,Restated
2011-06,71.70M,0.20M,,,1.30M,4.10M,5.40M,,45.50M,45.50M,42.20M,1.30M,0.00,-3.10M,-15.20M,-8.00M,7.20M,4.80M,,,-11.20M,151.80M,,-76.60M,3.40M,3.40M,,-17.50M,9.40M,-81.30M,,-3.80M,,-3.80M,,,,2.80M,-0.10M,0.80M,-12.90M,-16.00M,,101.50M,54.50M,,156.00M,,,200.00M,-203.80M,,,,,AOR,Restated
2011-03,64.10M,-0.20M,,,-3.60M,5.00M,1.20M,,45.70M,45.70M,35.00M,4.00M,0.00,-0.30M,-20.60M,-5.80M,-12.60M,6.40M,,,-32.60M,117.10M,,-95.20M,1.50M,1.50M,,-6.70M,7.60M,-92.80M,,-5.80M,,-5.80M,,,,-2.80M,-2.80M,0.40M,,-8.20M,,85.40M,16.10M,,101.50M,,,0.00,-5.80M,,,,,AOR,Restated
2010-12,55.60M,1.60M,,,-19.00M,,1.60M,,46.10M,46.10M,29.20M,2.70M,14.50M,-7.20M,13.90M,5.50M,-32.50M,-12.50M,,,-25.60M,136.40M,,-112.00M,2.10M,-22.90M,25.00M,18.20M,6.10M,-85.80M,,2.30M,,2.30M,0.00,,0.00,8.20M,-2.80M,1.30M,-34.80M,-34.00M,,68.80M,16.60M,,85.40M,,0.00,180.00M,-177.70M,,,,,AOR,Restated
2010-09,52.80M,-1.20M,,,-0.20M,,0.50M,,46.10M,46.10M,34.10M,1.60M,-0.20M,-30.90M,2.40M,0.40M,31.00M,1.80M,,,35.60M,139.60M,,-79.40M,2.70M,123.60M,0.00,-7.70M,4.10M,-80.30M,,-68.00M,,-68.00M,0.00,,0.00,-2.70M,-2.70M,0.10M,-4.20M,-74.80M,,84.30M,-15.50M,,68.80M,,0.00,5.00M,-73.00M,,,,,AOR,Restated
2010-06,71.60M,-0.40M,,,5.90M,,38.00M,,46.90M,46.90M,19.20M,1.30M,-3.80M,-57.40M,-7.00M,1.30M,-6.30M,5.00M,,,-7.00M,108.80M,,-68.60M,2.20M,-66.40M,0.00,-5.70M,8.50M,-63.60M,,-283.30M,,-283.30M,214.90M,,214.90M,-2.80M,-2.80M,0.20M,-16.00M,-87.00M,,126.10M,-41.80M,,84.30M,,214.90M,0.00,-283.30M,,,,,AOR,Restated
2010-03,,0.00,,,-6.40M,,8.50M,,45.80M,45.80M,23.70M,3.20M,-11.70M,41.70M,-29.50M,-0.90M,29.80M,0.90M,,,0.30M,111.50M,,-52.30M,1.30M,-51.00M,-25.00M,-4.80M,-1.00M,-81.80M,,-10.00M,,-10.00M,,,,-2.70M,-2.70M,0.50M,-8.90M,-21.10M,,117.50M,8.60M,,126.10M,,,295.70M,-305.70M,,,,,AOR,Restated
2009-12,35.20M,,,,4.50M,,4.40M,,42.70M,42.70M,15.20M,3.50M,-1.50M,-11.70M,19.70M,-3.30M,-42.80M,22.80M,,,-3.60M,84.20M,,-50.00M,0.30M,0.30M,0.00,-3.80M,19.90M,-33.60M,,-42.30M,,-42.30M,0.00,,0.00,-2.70M,-2.70M,1.50M,1.50M,-42.00M,,108.90M,8.60M,,117.50M,,0.00,12.30M,-54.60M,,,,,AOR,Restated
2009-09,28.60M,,,,-1.90M,,-2.00M,,44.60M,44.60M,14.60M,1.50M,0.00,8.00M,4.70M,7.50M,39.20M,-25.80M,,,25.60M,120.90M,,-70.70M,5.70M,5.70M,,-5.90M,-9.50M,-80.40M,,-14.40M,,-14.40M,22.60M,,22.60M,-2.80M,-2.80M,0.70M,0.00,6.10M,,62.30M,46.60M,,108.90M,,22.60M,0.00,-14.40M,,,,,AOR,Restated
2009-06,7.10M,,,,-2.00M,,-4.60M,,47.40M,47.40M,1.80M,2.80M,0.00,5.40M,-4.60M,-17.70M,-37.50M,8.90M,,-2.90M,-53.80M,6.10M,,-110.70M,4.20M,4.20M,,5.50M,2.00M,-99.00M,,-35.60M,,-35.60M,51.30M,,51.30M,-2.70M,-2.70M,0.50M,0.00,13.50M,,141.70M,-79.40M,,62.30M,,51.30M,-24.20M,-11.40M,,,,,AOR,Restated
2009-03,-2.80M,,,,-1.00M,,-2.00M,,46.90M,46.90M,-0.70M,2.10M,0.00,4.30M,3.50M,1.20M,21.20M,2.70M,,2.90M,31.50M,79.30M,,-115.40M,3.70M,3.70M,0.00,-17.80M,-1.50M,-131.00M,,-24.70M,,-24.70M,,,,-2.80M,-2.80M,0.30M,-9.30M,-36.50M,,229.90M,-88.20M,,141.70M,,,214.00M,-238.70M,,,,,AOR,Restated
2008-12,39.20M,,,,0.40M,,-1.10M,,45.40M,45.40M,-2.20M,2.10M,-3.60M,-9.70M,28.10M,2.10M,-61.50M,41.10M,,,9.80M,79.90M,,-118.20M,3.30M,3.30M,,-11.00M,5.20M,-120.70M,,176.30M,,176.30M,0.00,,0.00,-2.80M,-2.80M,1.30M,-0.60M,174.20M,,96.50M,133.40M,,229.90M,,0.00,180.20M,-3.90M,,,,,AOR,Restated
2008-09,51.70M,,,,-3.40M,,-6.00M,,42.70M,42.70M,24.70M,2.10M,-2.00M,-2.70M,23.10M,6.30M,25.80M,-3.90M,,5.90M,57.20M,167.70M,,-123.10M,10.80M,10.80M,,-2.50M,-7.10M,-121.90M,,17.60M,,17.60M,0.00,,0.00,-2.70M,-2.70M,6.20M,0.20M,21.30M,,29.40M,67.10M,,96.50M,,0.00,42.10M,-24.50M,,,,,,Restated
2008-06,55.50M,,,,4.00M,,5.90M,,40.20M,40.20M,25.70M,0.00,,-8.30M,-8.60M,-8.40M,-13.40M,-36.00M,,-5.90M,-72.30M,46.70M,,-200.00M,4.50M,4.50M,,0.00,55.00M,-140.50M,,65.90M,,65.90M,0.00,,0.00,-4.80M,-4.80M,0.00,-10.40M,50.70M,,72.50M,-43.10M,,29.40M,,0.00,285.00M,-219.10M,,,,,,Restated
2008-03,37.80M,,,,-0.10M,,-1.30M,,40.30M,40.30M,15.60M,3.20M,,22.00M,10.00M,-6.00M,6.30M,-9.20M,,,1.10M,118.70M,,-92.50M,2.30M,2.30M,,-16.90M,-47.80M,-154.90M,,57.50M,,57.50M,,,,-4.90M,-4.90M,1.10M,-0.50M,53.20M,,55.50M,17.00M,,72.50M,,,72.80M,-15.30M,,,,,,Restated
2007-12,54.70M,,,,,,-6.20M,,42.40M,42.40M,25.90M,,,-24.20M,41.10M,-2.40M,-52.90M,15.30M,,-15.10M,-14.00M,85.20M,,-197.50M,7.20M,220.20M,,-130.30M,135.60M,-185.00M,,,,41.50M,-0.70M,,-0.70M,,-4.90M,,2.50M,39.10M,,116.20M,-60.70M,,55.50M,,-0.70M,,,,,,,,Restated
2007-09,46.70M,,,,,,-7.30M,,38.90M,38.90M,17.50M,,,18.10M,13.90M,-7.10M,19.00M,-14.50M,,11.00M,22.30M,136.20M,,-80.30M,1.70M,-78.60M,,60.70M,-62.30M,-80.20M,,,,-0.60M,0.10M,,0.10M,,-4.80M,,-0.80M,-6.10M,,66.30M,49.90M,,116.20M,,0.10M,,,,,,,,
2007-06,30.20M,,,,,,-0.90M,,40.80M,40.80M,13.70M,,,-13.40M,1.30M,-3.80M,-15.10M,52.20M,,4.10M,38.70M,109.10M,,-55.60M,-0.30M,-55.90M,,-48.40M,27.40M,-76.90M,,,,-10.60M,0.50M,,0.50M,,-4.90M,,-18.90M,-33.90M,,68.00M,-1.70M,,66.30M,,0.50M,,,,,,,,
2007-03,22.20M,,,,,,1.30M,,38.10M,38.10M,9.20M,,,19.20M,34.60M,-4.50M,-50.30M,-18.80M,,,-39.00M,51.00M,,-77.10M,8.00M,-69.10M,,,30.70M,-38.40M,,,,-15.00M,0.10M,,0.10M,,-8.70M,,,-23.60M,,79.00M,-11.00M,,68.00M,,0.10M,,,,,,,,
2006-12,40.60M,,,,,,-4.60M,,42.10M,42.10M,10.10M,,,-5.10M,0.80M,4.60M,13.00M,-60.30M,,55.80M,13.90M,97.00M,,-128.70M,29.60M,-99.10M,,-29.30M,53.90M,-74.50M,,,,-0.70M,1.20M,,1.20M,,0.00,,-8.20M,-7.70M,,64.20M,14.80M,,79.00M,,1.20M,,,,,,,,
2006-09,31.30M,,,,,,-3.90M,,37.70M,37.70M,15.30M,,,17.80M,-34.80M,9.60M,71.80M,5.30M,28.80M,-64.30M,16.40M,114.60M,,-47.50M,0.40M,-47.10M,,37.50M,-27.00M,-36.60M,,,,-40.10M,2.20M,,2.20M,,-0.10M,,2.00M,-36.00M,,22.20M,42.00M,,64.20M,,2.20M,,,,,,,,
