,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-03,,511.36M,585.22M,1.097B,525.46M,,525.46M,84.59M,184.01M,,268.61M,147.90M,,,,2.039B,0.0,44.26M,110.98M,221.33M,3.281M,379.85M,-148.65M,231.20M,1.332B,1.037B,2.368B,3.497M,85.75M,12.84M,2.702B,4.740B,226.06M,9.758M,235.82M,81.06M,316.88M,155.99M,,,,44.32M,44.32M,,534.02M,,,,,328.30M,328.30M,2.203M,330.50M,864.52M,3.15M,3.138B,4.171B,3.422B,,,-13.72M,3.876B
2017-12,,528.62M,672.93M,1.202B,449.48M,,449.48M,78.83M,176.91M,,255.74M,179.60M,,,,2.086B,0.0,47.37M,107.37M,211.23M,3.109M,369.09M,-138.81M,230.28M,1.332B,1.034B,2.366B,2.366M,92.33M,13.93M,2.705B,4.791B,245.91M,10.64M,256.56M,87.57M,344.12M,138.00M,,,,43.24M,43.24M,,560.35M,,,,,334.35M,334.35M,1.095M,335.45M,895.80M,3.146M,2.928B,4.151B,3.170B,,,-16.66M,3.895B
2017-09,,465.56M,630.35M,1.096B,535.34M,,535.34M,83.19M,130.15M,,213.34M,89.71M,,,,1.934B,0.0,47.37M,104.72M,201.74M,4.121M,357.96M,-132.53M,225.42M,1.332B,1.033B,2.365B,7.003M,158.74M,18.32M,2.775B,4.709B,229.55M,10.16M,239.71M,128.39M,368.10M,158.82M,,,,43.57M,43.57M,,597.68M,,,,,342.25M,342.25M,0.819M,343.07M,940.75M,3.126M,2.727B,4.112B,3.058B,,,-15.53M,3.768B
2017-06,,777.66M,323.85M,1.102B,537.08M,,537.08M,79.92M,110.68M,,190.60M,50.89M,,,,1.880B,0.0,47.37M,98.04M,185.93M,3.906M,335.25M,-123.70M,211.56M,1.332B,1.033B,2.365B,48.64M,158.74M,20.60M,2.804B,4.684B,242.67M,8.951M,251.62M,101.10M,352.72M,141.48M,,,,43.95M,43.95M,,561.17M,,,,,346.94M,346.94M,,346.94M,908.11M,3.124M,2.508B,4.091B,2.809B,,,-16.83M,3.776B
2017-03,,576.34M,209.37M,785.70M,509.48M,,571.98M,70.03M,101.26M,,171.29M,87.85M,,,,1.617B,0.0,47.37M,81.84M,173.74M,3.115M,306.06M,-116.43M,189.63M,1.332B,1.033B,2.365B,0.477M,158.74M,19.56M,2.733B,4.350B,178.09M,8.749M,186.84M,100.55M,287.39M,125.53M,,,,42.62M,42.62M,,469.82M,,,,,349.70M,349.70M,,349.70M,819.52M,3.122M,2.286B,4.073B,2.809B,,,-21.92M,3.530B
2016-12,,377.58M,220.55M,598.14M,448.05M,,573.05M,58.66M,103.31M,,161.97M,99.11M,,,,1.432B,0.0,46.60M,69.55M,164.42M,2.687M,283.25M,-109.91M,173.34M,1.332B,1.033B,2.364B,2.394M,159.56M,21.63M,2.721B,4.153B,193.27M,7.657M,200.93M,87.71M,288.64M,110.24M,,,,41.67M,41.67M,,470.59M,,,,,353.17M,353.17M,,353.17M,823.76M,3.116M,2.108B,4.051B,2.809B,,,-23.25M,3.330B
2016-09,,341.53M,257.65M,599.18M,467.35M,,592.35M,68.86M,98.98M,,167.84M,190.66M,,,,1.550B,0.0,46.60M,41.94M,157.79M,2.726M,249.06M,-104.43M,144.62M,1.284B,1.081B,2.364B,9.519M,142.12M,25.69M,2.686B,4.236B,172.16M,5.835M,177.99M,97.47M,275.46M,140.95M,,,,34.41M,34.41M,,472.64M,,,,,365.39M,365.39M,,365.39M,838.03M,1.037M,1.935B,4.036B,2.559B,,,-14.53M,3.398B
2016-06,,434.77M,44.32M,479.09M,465.71M,,590.71M,69.81M,104.59M,,174.40M,48.63M,,,,1.293B,0.0,6.792M,40.98M,150.10M,2.756M,200.63M,-98.07M,102.56M,1.284B,1.082B,2.366B,0.00,261.32M,15.56M,2.745B,4.038B,183.08M,5.651M,188.74M,114.88M,303.62M,144.42M,,,,33.05M,33.05M,,497.36M,,,,,348.29M,348.29M,,348.29M,845.64M,1.036M,1.743B,4.022B,2.559B,,,-14.48M,3.192B
2016-03,,2.528B,508.24M,3.036B,416.70M,,541.70M,55.05M,110.88M,,165.93M,48.89M,,,,3.793B,0.0,6.792M,40.04M,144.29M,2.862M,193.99M,-94.73M,99.26M,1.280B,428.58M,1.708B,7.419M,261.30M,14.35M,2.091B,5.883B,183.22M,71.75M,254.97M,105.39M,360.36M,131.09M,,,,36.23M,36.23M,,540.66M,,,,,350.98M,350.98M,,350.98M,891.64M,1.036M,1.559B,4.006B,558.48M,,,-15.44M,4.992B
2015-12,,2.175B,744.61M,2.920B,352.96M,,477.96M,52.04M,104.08M,,156.12M,45.43M,,,,3.600B,0.0,6.792M,39.85M,140.43M,2.804M,189.87M,-92.52M,97.35M,1.280B,427.99M,1.708B,15.35M,140.47M,10.87M,1.972B,5.571B,144.76M,2.75M,147.51M,92.80M,240.32M,115.53M,,,,32.27M,32.27M,,410.28M,,,,,351.59M,351.59M,,351.59M,761.87M,3.105M,1.395B,3.990B,556.47M,,,-21.88M,4.809B
2015-09,,1.241B,1.545B,2.785B,408.48M,,533.48M,56.58M,103.11M,,159.69M,116.68M,,155.37M,,3.751B,0.0,6.792M,39.42M,144.91M,2.745M,193.87M,-99.14M,94.73M,1.288B,428.20M,1.716B,34.36M,0.00,8.031M,1.853B,5.604B,238.11M,14.81M,252.92M,75.59M,328.50M,124.54M,,,,31.41M,31.41M,,504.61M,,,,89.45M,355.13M,444.58M,,444.58M,949.18M,1.034M,1.256B,3.966B,548.14M,,,-20.85M,4.655B
2015-06,,1.696B,1.235B,2.931B,373.34M,,498.34M,58.59M,122.31M,,180.89M,115.01M,,196.98M,,3.922B,0.0,6.792M,39.10M,137.79M,2.807M,186.48M,-93.95M,92.54M,1.288B,428.17M,1.716B,52.36M,0.00,8.357M,1.869B,5.792B,194.73M,11.45M,206.18M,116.86M,323.05M,128.06M,,,,26.42M,26.42M,,491.93M,,,,89.46M,355.38M,444.83M,,444.83M,936.76M,1.033M,1.082B,3.952B,160.72M,,,-19.07M,4.855B
2015-03,,362.79M,647.28M,1.010B,344.06M,,344.06M,65.31M,132.60M,,197.91M,46.82M,,224.95M,,1.842B,0.0,6.792M,37.75M,129.48M,2.723M,176.74M,-88.45M,88.30M,,52.30M,52.30M,41.24M,54.11M,7.109M,243.05M,2.085B,167.79M,1.586M,169.38M,252.13M,421.50M,107.23M,,,,10.58M,10.58M,,549.29M,,,,,67.30M,67.30M,,67.30M,616.59M,1.058M,2.335B,636.27M,1.482B,,,-21.43M,1.468B
2014-12,,370.32M,781.13M,1.151B,280.76M,,280.76M,59.94M,114.64M,,174.57M,28.29M,,,,1.653B,0.0,6.792M,37.31M,126.84M,2.796M,173.74M,-83.58M,90.16M,,50.75M,50.75M,42.94M,94.38M,7.496M,285.72M,1.939B,127.64M,5.848M,133.49M,40.27M,173.76M,114.05M,,,,49.93M,49.93M,,355.72M,,,,,68.01M,68.01M,,68.01M,423.72M,1.035M,2.331B,426.14M,1.231B,,,-11.45M,1.515B
2014-09,,408.32M,588.04M,996.36M,333.16M,,333.16M,63.86M,141.58M,,205.45M,43.50M,,20.92M,,1.617B,0.0,5.382M,38.38M,121.88M,2.791M,168.43M,-79.95M,88.49M,,49.10M,49.10M,28.42M,71.53M,7.863M,245.40M,1.863B,145.37M,2.697M,148.07M,66.60M,214.67M,127.26M,,,,14.34M,14.34M,,370.61M,,,,,105.83M,105.83M,,105.83M,476.44M,1.035M,2.205B,417.60M,1.231B,,,-6.337M,1.386B
2014-06,,373.05M,453.97M,827.02M,398.79M,,398.79M,74.81M,133.10M,,207.91M,32.71M,,20.92M,,1.487B,0.0,5.382M,37.96M,120.61M,2.86M,166.81M,-75.59M,91.22M,,66.35M,66.35M,51.68M,63.44M,8.972M,281.67M,1.769B,155.78M,12.84M,168.62M,80.79M,249.41M,130.81M,,,,14.32M,14.32M,,404.84M,,,,,108.55M,108.55M,,108.55M,513.39M,1.032M,2.084B,394.61M,1.223B,,,-0.621M,1.256B
2014-03,,312.02M,438.93M,750.95M,345.79M,,345.79M,64.55M,139.51M,,204.06M,33.49M,,20.92M,,1.355B,0.0,5.382M,37.98M,115.28M,2.737M,161.37M,-69.64M,91.73M,,65.52M,65.52M,8.131M,63.44M,9.538M,238.37M,1.594B,125.58M,45.90M,171.48M,71.96M,243.44M,113.85M,,,,14.03M,14.03M,,380.37M,,,,,110.49M,110.49M,,110.49M,490.86M,1.031M,1.943B,383.18M,1.223B,,,-1.131M,1.103B
2013-12,,211.35M,402.25M,613.60M,296.18M,,296.18M,68.09M,153.36M,,221.45M,30.89M,,20.92M,,1.183B,0.0,5.382M,33.47M,111.39M,2.222M,152.47M,-64.32M,88.14M,,65.77M,65.77M,9.792M,63.61M,10.15M,237.47M,1.421B,119.38M,9.359M,128.74M,59.11M,187.85M,99.47M,,,,13.83M,13.83M,,316.01M,,,,,112.22M,112.22M,,112.22M,428.23M,1.03M,1.847B,368.07M,1.223B,,,-1.233M,992.28M
2013-09,,287.02M,315.57M,602.59M,343.20M,,343.20M,76.91M,170.45M,,247.37M,68.32M,,16.98M,,1.278B,0.0,5.382M,33.31M,108.49M,1.673M,148.85M,-60.36M,88.50M,,63.61M,63.61M,9.725M,61.41M,10.17M,233.41M,1.512B,162.85M,53.58M,216.43M,63.21M,279.64M,131.10M,,,,14.70M,14.70M,,438.27M,,,,,113.20M,113.20M,,113.20M,551.48M,1.029M,1.771B,357.99M,1.169B,,,-1.134M,960.39M
2013-06,,283.84M,148.20M,432.04M,348.20M,,348.20M,77.15M,156.40M,,233.55M,63.06M,,16.98M,,1.094B,0.0,5.382M,28.49M,102.70M,2.30M,138.87M,-55.34M,83.53M,,59.72M,59.72M,11.95M,61.41M,7.407M,224.02M,1.318B,144.36M,9.558M,153.92M,57.78M,211.70M,111.58M,,,,14.21M,14.21M,,346.17M,,,,,115.65M,115.65M,,115.65M,461.82M,1.028M,1.679B,347.65M,1.169B,,,-2.984M,856.02M
2013-03,,242.53M,102.14M,344.67M,317.66M,,317.66M,65.20M,150.13M,,215.34M,42.03M,,17.00M,,936.70M,0.0,5.382M,24.50M,93.99M,2.305M,126.18M,-51.58M,74.60M,,58.00M,58.00M,13.63M,60.86M,3.591M,210.67M,1.147B,135.48M,14.52M,150.00M,55.36M,205.35M,103.85M,,,,13.08M,13.08M,,329.77M,,,,,116.24M,116.24M,,116.24M,446.00M,1.019M,1.572B,297.41M,1.169B,,,-0.543M,701.37M
2012-12,,222.51M,97.04M,319.56M,236.71M,,236.71M,65.01M,138.10M,,203.11M,58.69M,,17.00M,,835.07M,0.0,5.382M,22.00M,86.67M,2.30M,116.35M,-47.21M,69.14M,,54.65M,54.65M,21.39M,59.50M,3.576M,208.26M,1.043B,127.33M,5.47M,132.80M,38.92M,171.72M,91.21M,,,,12.70M,12.70M,,288.54M,,,,,110.38M,110.38M,,110.38M,398.93M,1.019M,1.509B,287.95M,1.155B,,,2.074M,644.40M
2012-09,,283.05M,307.65M,590.71M,288.58M,0.669M,289.25M,62.08M,131.86M,,193.93M,38.61M,,16.43M,,1.129B,0.0,3.923M,12.71M,90.19M,2.311M,109.14M,-51.56M,57.57M,,52.85M,52.85M,19.88M,56.00M,3.673M,189.98M,1.319B,152.45M,2.833M,155.28M,137.50M,292.78M,,,,,12.36M,12.36M,,317.04M,,,,,112.21M,112.21M,,112.21M,429.25M,1.013M,1.441B,262.80M,815.73M,,,0.905M,889.68M
2012-06,,419.17M,451.06M,870.23M,305.71M,0.686M,306.39M,57.04M,142.01M,,199.05M,22.15M,,16.43M,,1.414B,0.0,3.923M,12.54M,83.54M,2.264M,102.27M,-46.32M,55.94M,,50.88M,50.88M,20.87M,56.00M,3.566M,187.26M,1.602B,157.21M,3.068M,160.28M,119.63M,279.91M,,,,,12.06M,12.06M,,299.83M,,,,,113.76M,113.76M,,113.76M,413.59M,1.004M,1.355B,252.44M,418.23M,,,-1.82M,1.188B
2012-03,,391.44M,419.59M,811.03M,255.71M,0.712M,256.42M,58.33M,120.80M,,179.13M,21.46M,,16.43M,,1.284B,0.0,3.888M,12.61M,78.69M,2.213M,97.40M,-41.71M,55.69M,,49.13M,49.13M,21.86M,56.00M,3.594M,186.28M,1.471B,134.04M,36.30M,170.34M,99.46M,269.80M,,,,,11.75M,11.75M,,288.12M,,,,,115.30M,115.30M,,115.30M,403.42M,1.003M,1.245B,238.91M,418.23M,,,0.908M,1.067B
2011-12,,359.33M,411.28M,770.61M,218.74M,,218.74M,51.10M,104.51M,,155.61M,21.28M,,16.43M,,1.183B,0.0,3.626M,3.211M,73.14M,2.132M,82.11M,-36.96M,45.15M,,48.40M,48.40M,23.19M,58.58M,4.405M,179.72M,1.362B,113.45M,11.00M,124.44M,31.97M,156.41M,87.75M,,,,11.58M,11.58M,,266.09M,,,,,117.15M,117.15M,,117.15M,383.24M,0.994M,1.169B,229.30M,418.23M,,,-1.547M,979.16M
2011-09,,287.16M,412.26M,699.41M,139.03M,0.512M,139.54M,53.63M,110.86M,,164.48M,18.52M,,16.77M,,1.039B,0.0,3.626M,3.132M,68.37M,2.10M,77.23M,-33.16M,44.07M,,47.47M,47.47M,26.69M,57.54M,3.926M,179.70M,1.218B,108.52M,3.128M,111.65M,32.82M,144.47M,,0.994M,,0.994M,11.43M,11.43M,,165.93M,,,,,119.95M,119.95M,,119.95M,285.88M,0.496M,1.104B,220.33M,390.88M,,,-1.504M,932.55M
2011-06,,418.20M,281.22M,699.42M,161.63M,0.673M,162.30M,54.98M,101.80M,,156.78M,18.87M,,16.77M,,1.054B,0.0,3.076M,,64.84M,2.015M,69.93M,-29.00M,40.93M,,46.68M,46.68M,30.20M,57.54M,4.08M,179.44M,1.234B,102.26M,8.784M,111.05M,32.71M,143.76M,,1.255M,,1.255M,11.05M,11.05M,,161.85M,,,,,121.38M,121.38M,,121.38M,283.23M,0.495M,1.022B,206.83M,280.70M,,,2.004M,950.34M
2011-03,,295.50M,298.98M,594.49M,148.99M,0.015M,149.00M,62.97M,110.75M,,173.72M,21.83M,,16.77M,,955.82M,0.0,3.076M,,59.21M,2.01M,64.30M,-25.26M,39.04M,,,45.30M,30.46M,58.41M,2.962M,176.17M,1.132B,89.71M,21.64M,111.34M,26.36M,137.70M,,1.623M,,1.623M,10.73M,10.73M,,155.25M,,,,,123.19M,123.19M,,123.19M,278.44M,0.494M,937.47M,195.18M,280.70M,,,1.11M,853.55M
2010-12,,354.84M,244.65M,599.49M,101.22M,0.413M,101.64M,61.01M,92.23M,,153.24M,27.01M,,16.77M,,898.15M,0.0,3.076M,,51.77M,1.998M,56.85M,-22.30M,34.55M,,,43.32M,44.19M,58.48M,3.447M,183.98M,1.082B,85.67M,0.925M,86.60M,24.22M,110.82M,,0.274M,,0.274M,10.14M,10.14M,,128.83M,,,,,124.90M,124.90M,,124.90M,253.73M,0.494M,882.42M,187.04M,241.84M,,,0.281M,828.40M
2010-09,,509.63M,24.20M,533.83M,130.94M,0.836M,131.78M,58.73M,90.21M,,148.94M,17.64M,,10.35M,,842.53M,0.0,3.076M,,48.05M,2.447M,53.57M,-20.40M,33.17M,,42.23M,42.23M,46.00M,60.95M,1.794M,184.15M,1.027B,91.02M,0.00,91.02M,38.81M,129.84M,,0.244M,,0.244M,9.696M,9.696M,,139.78M,,,,,124.93M,124.93M,,124.93M,264.71M,0.492M,833.29M,170.92M,241.84M,,,-0.885M,761.97M
2010-06,,409.91M,61.66M,471.57M,127.56M,3.916M,131.48M,54.04M,85.19M,,139.23M,16.58M,,10.35M,,769.21M,0.0,3.076M,,44.03M,2.409M,49.52M,-17.48M,32.04M,,39.75M,39.75M,59.48M,61.06M,3.343M,195.68M,964.90M,87.50M,19.29M,106.80M,42.53M,149.33M,,0.135M,,0.135M,9.452M,9.452M,,158.92M,,,,,127.51M,127.51M,,127.51M,286.43M,0.49M,766.80M,157.20M,241.84M,,,-4.185M,678.46M
2010-03,,375.91M,61.32M,437.22M,113.88M,3.827M,117.70M,41.71M,77.43M,,119.14M,14.61M,,10.35M,,699.04M,0.0,3.076M,,41.57M,2.37M,47.02M,-14.75M,32.27M,,36.93M,36.93M,64.44M,63.87M,4.395M,201.90M,900.94M,83.44M,7.032M,90.48M,35.76M,126.24M,,0.174M,,0.174M,9.229M,9.229M,,135.64M,,,,,129.32M,129.32M,,129.32M,264.97M,0.489M,702.96M,152.99M,218.30M,,,-2.164M,635.97M
2009-12,,328.35M,18.49M,346.84M,104.21M,4.699M,108.90M,43.66M,64.48M,,108.14M,11.27M,,10.35M,,585.50M,0.0,3.076M,,40.20M,2.365M,45.64M,-12.32M,33.31M,,,33.51M,80.84M,65.68M,1.226M,214.57M,800.07M,48.86M,0.761M,49.62M,26.28M,75.90M,,0.206M,,0.206M,,,,83.73M,,,,,131.39M,131.39M,,131.39M,215.12M,0.486M,670.40M,137.04M,218.30M,,,-4.667M,584.95M
2009-09,,317.66M,30.19M,347.84M,91.94M,5.35M,97.29M,33.45M,90.50M,,123.94M,9.705M,,9.741M,,588.52M,0.0,1.417M,,35.10M,2.309M,38.83M,-10.75M,28.08M,,31.67M,31.67M,87.97M,63.17M,1.885M,212.77M,801.29M,66.95M,5.189M,72.14M,35.21M,107.35M,,0.381M,,0.381M,,,,107.73M,,,,,132.60M,132.60M,,132.60M,240.34M,0.486M,617.04M,131.04M,183.09M,,,-4.525M,560.96M
2009-06,,283.28M,30.29M,313.57M,101.91M,23.99M,125.91M,33.44M,83.91M,,117.34M,13.15M,,9.741M,,579.71M,0.0,1.417M,,29.47M,2.12M,33.00M,-9.17M,23.84M,,29.82M,29.82M,87.90M,63.33M,1.899M,206.78M,786.50M,56.49M,8.533M,65.02M,36.29M,101.32M,,0.772M,,0.772M,,,,102.09M,,,,,134.13M,134.13M,,134.13M,236.22M,0.486M,560.54M,127.18M,132.13M,,,-5.802M,550.28M
2009-03,,279.12M,4.975M,284.10M,95.74M,24.36M,120.10M,28.09M,82.01M,,110.10M,8.99M,,9.741M,,533.03M,0.0,1.417M,,22.17M,2.113M,25.70M,-8.021M,17.68M,,28.99M,28.99M,86.54M,64.58M,1.864M,199.66M,732.69M,55.78M,10.85M,66.63M,41.19M,107.82M,,1.149M,,1.149M,,,,108.97M,,,,,138.37M,138.37M,,138.37M,247.34M,0.485M,503.24M,122.06M,132.13M,,,-8.314M,485.35M
2008-12,,256.80M,29.14M,285.95M,45.23M,90.72M,135.96M,24.45M,91.87M,,116.33M,13.36M,,9.741M,,561.32M,0.0,1.417M,,18.05M,2.112M,21.58M,-7.19M,14.39M,,28.36M,28.36M,89.57M,65.75M,2.444M,200.51M,761.84M,64.79M,0.00,64.79M,121.59M,186.38M,,0.959M,,0.959M,,,,187.33M,,,,,138.19M,138.19M,,138.19M,325.52M,0.484M,461.68M,117.11M,132.13M,,,-10.82M,436.32M
2008-09,,256.44M,,256.44M,72.97M,,72.97M,27.06M,83.40M,,110.47M,9.181M,14.84M,13.35M,,477.24M,0.0,1.417M,2.111M,14.34M,,17.86M,-6.798M,11.07M,,25.51M,25.51M,,16.21M,110.11M,162.90M,640.15M,60.72M,,60.72M,21.22M,81.94M,,0.673M,,0.673M,,,5.74M,88.36M,,,,,,,,37.66M,126.01M,0.484M,485.13M,110.35M,78.63M,,,-3.201M,514.14M
2008-06,,182.95M,22.07M,205.02M,83.40M,,83.40M,30.97M,92.25M,,123.22M,10.61M,,11.90M,,434.16M,0.0,,2.101M,13.27M,,15.37M,-6.129M,9.238M,,24.72M,24.72M,,16.40M,115.96M,166.32M,600.47M,71.27M,,71.27M,20.38M,91.65M,,0.313M,,0.313M,,,13.30M,105.26M,,,,,,,,38.17M,143.44M,0.483M,432.69M,105.92M,78.63M,,,-3.429M,457.04M
