,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2017-12,1.303B,810.36M,306.74M,503.61M,,,,,,236.50M,267.11M,,,,,267.84M,66.52M,201.32M,201.32M,201.32M,280.90M,13.78M,267.11M,0.36,,0.36,0.36,0.35,,0.35,0.35,564.48M,574.67M
2017-09,909.48M,909.48M,339.77M,569.71M,,,,,3.996M,252.34M,317.37M,,3.996M,,3.996M,321.37M,102.62M,218.74M,218.74M,218.74M,329.70M,12.33M,317.37M,0.39,,0.39,0.39,0.38,,0.38,0.38,567.88M,578.37M
2017-06,907.07M,907.07M,323.57M,583.50M,,,,,-2.551M,233.46M,350.04M,,-2.551M,,-2.551M,347.49M,124.86M,222.63M,222.63M,222.63M,361.63M,11.59M,350.04M,0.39,,0.39,0.39,0.39,,0.39,0.39,567.91M,578.02M
2017-03,742.15M,742.15M,261.27M,480.87M,,,,,0.658M,216.61M,264.26M,,0.658M,,0.658M,264.92M,86.94M,177.98M,177.98M,177.98M,275.44M,11.18M,264.26M,0.31,,0.31,0.31,0.31,,0.31,0.31,571.58M,582.03M
2016-12,1.190B,753.76M,255.65M,498.11M,,,,,,246.38M,251.73M,,,,,246.73M,73.78M,172.95M,172.95M,172.95M,262.70M,10.97M,251.73M,0.3,,0.3,0.3,0.3,,0.3,0.3,568.84M,580.44M
2016-09,787.95M,787.95M,284.98M,502.98M,,,,,-1.037M,212.60M,290.38M,,-1.037M,,-1.037M,289.34M,97.70M,191.64M,191.64M,191.64M,300.92M,10.54M,290.38M,0.34,,0.34,0.34,0.33,,0.33,0.33,571.14M,583.29M
2016-06,827.49M,827.49M,309.67M,517.81M,,,,,-0.222M,229.29M,288.52M,,-0.222M,,-0.222M,288.30M,104.08M,184.22M,184.22M,184.22M,298.83M,10.30M,288.52M,0.31,,0.31,0.31,0.3,,0.3,0.3,602.94M,614.90M
2016-03,680.19M,680.19M,257.09M,423.10M,,,,,0.608M,168.38M,254.71M,,0.608M,,0.608M,255.32M,91.44M,163.88M,163.88M,163.88M,263.74M,9.024M,254.71M,0.27,,0.27,0.27,0.26,,0.26,0.26,608.84M,620.72M
2015-12,1.029B,645.43M,242.07M,403.36M,,,0.00,,,174.91M,228.45M,,,-2.105M,,229.49M,90.74M,138.74M,138.74M,138.74M,237.55M,9.103M,228.45M,0.2267,,0.2267,0.2267,0.2233,,0.2233,0.2233,608.91M,617.85M
2015-09,756.62M,756.62M,291.14M,465.48M,,,,,-3.362M,174.04M,291.44M,,-3.362M,,-3.362M,288.08M,113.50M,174.57M,174.57M,174.57M,299.95M,8.508M,291.44M,0.2833,,0.2833,0.2833,0.28,,0.28,0.28,615.15M,624.28M
2015-06,693.72M,693.72M,299.21M,394.51M,,,161.47M,,-1.015M,189.84M,204.67M,,-1.015M,161.47M,-1.015M,365.12M,136.12M,229.00M,229.00M,127.76M,211.45M,6.779M,204.67M,0.43,,0.2393,0.43,0.42,,0.234,0.42,530.96M,544.25M
2015-03,626.79M,626.79M,257.83M,368.96M,,,,,1.233M,361.33M,7.629M,,1.233M,,1.233M,8.862M,4.448M,4.414M,4.414M,4.414M,14.10M,6.47M,7.629M,0.01,,0.01,0.01,0.01,,0.01,0.01,509.61M,521.33M
2014-12,967.79M,605.57M,273.78M,331.78M,,,0.00,,,138.86M,192.92M,,,0.00,,191.91M,66.58M,125.33M,125.33M,125.33M,199.45M,6.527M,192.92M,0.25,,0.25,0.25,0.24,,0.24,0.24,503.04M,525.28M
2014-09,635.97M,635.97M,294.05M,341.92M,,,0.00,,-1.038M,152.01M,189.91M,,-1.038M,0.00,-1.038M,188.87M,67.27M,121.60M,121.60M,121.60M,196.04M,6.129M,189.91M,0.2433,,0.2433,0.2433,0.2333,,0.2333,0.2333,502.04M,522.81M
2014-06,687.20M,687.20M,307.91M,379.29M,,,0.00,,0.178M,163.48M,215.81M,,0.178M,0.00,0.178M,215.99M,74.99M,141.00M,141.00M,141.00M,222.36M,6.542M,215.81M,0.28,,0.28,0.28,0.27,,0.27,0.27,501.29M,521.89M
2014-03,536.13M,536.13M,249.31M,286.82M,,,,,0.154M,137.96M,148.86M,,0.154M,,0.154M,149.02M,53.77M,95.25M,95.25M,95.25M,155.32M,6.453M,148.86M,0.19,,0.19,0.19,0.1833,,0.1833,0.1833,500.74M,521.22M
2013-12,540.85M,540.85M,263.69M,277.16M,,,,,-0.332M,142.40M,134.76M,,-0.332M,,-0.332M,131.74M,55.64M,76.11M,76.11M,76.11M,141.07M,6.318M,134.76M,0.1533,,0.1533,0.1533,0.1467,,0.1467,0.1467,501.80M,520.55M
2013-09,590.42M,590.42M,282.95M,307.47M,,,,,-0.75M,156.04M,151.43M,,-0.75M,0.044M,-0.75M,150.72M,58.54M,92.19M,92.19M,92.16M,157.54M,6.107M,151.43M,0.1833,,0.1833,0.1833,0.1767,,0.1766,0.1767,502.37M,521.84M
2013-06,630.93M,630.93M,294.67M,336.26M,,,,,-3.468M,156.84M,179.43M,,-3.468M,0.066M,-3.468M,176.02M,69.15M,106.87M,106.87M,106.83M,184.70M,5.277M,179.43M,0.2133,,0.2133,0.2133,0.2067,,0.2066,0.2067,499.34M,520.05M
2013-03,484.22M,484.22M,232.18M,252.04M,,,,,-4.473M,144.73M,107.31M,,-4.473M,2.571M,-4.473M,105.40M,41.91M,63.50M,63.50M,61.95M,112.37M,5.06M,107.31M,0.1267,,0.1236,0.1267,0.1233,,0.1203,0.1233,496.58M,517.68M
2012-12,471.52M,471.52M,227.63M,243.89M,,,,,-2.511M,130.01M,113.88M,,-2.511M,0.202M,-2.511M,111.57M,43.59M,67.98M,67.98M,67.86M,119.18M,5.298M,113.88M,0.1333,,0.1331,0.1333,0.13,,0.1298,0.13,506.42M,528.71M
2012-09,541.94M,541.94M,268.35M,273.59M,,,,,0.331M,132.91M,140.68M,,0.331M,0.222M,0.331M,141.24M,55.10M,86.14M,86.14M,86.01M,145.86M,5.171M,140.68M,0.1633,,0.1631,0.1633,0.1567,,0.1564,0.1567,525.08M,551.70M
2012-06,592.64M,592.64M,285.63M,307.01M,,,,,-0.027M,137.24M,169.77M,,-0.027M,-0.033M,-0.027M,169.71M,59.92M,109.80M,109.80M,109.82M,174.90M,5.125M,169.77M,0.2067,,0.2067,0.2067,0.1967,,0.1967,0.1967,528.56M,558.85M
2012-03,454.60M,454.60M,213.44M,241.17M,,,,,-0.05M,114.88M,126.28M,,-0.05M,0.396M,-0.05M,126.63M,50.53M,76.10M,76.10M,75.86M,131.25M,4.968M,126.28M,0.1467,,0.1462,0.1467,0.1367,,0.1362,0.1367,524.50M,555.79M
2011-12,409.96M,409.96M,195.71M,214.24M,,,,,1.055M,110.85M,103.40M,,1.055M,0.078M,1.055M,104.53M,39.99M,64.54M,64.54M,64.49M,108.29M,4.893M,103.40M,0.1233,,0.1232,0.1233,0.1167,,0.1166,0.1167,522.30M,555.61M
2011-09,474.71M,474.71M,224.40M,250.31M,118.22M,,,,-0.063M,118.22M,132.09M,,-0.063M,-0.799M,-0.063M,131.23M,48.84M,82.39M,82.39M,82.89M,136.59M,4.496M,132.09M,0.1567,0.0,0.1576,0.1567,0.1467,0.0,0.1476,0.1467,527.86M,559.92M
2011-06,462.14M,462.14M,217.92M,244.22M,111.74M,,,,0.624M,111.74M,132.48M,,0.624M,-0.35M,0.624M,132.76M,48.51M,84.25M,84.25M,84.47M,136.58M,4.102M,132.48M,0.16,0.0,0.1604,0.16,0.15,0.0,0.1504,0.15,530.85M,561.62M
2011-03,356.42M,356.42M,170.88M,185.54M,97.08M,,,,0.004M,97.08M,88.46M,,0.004M,0.297M,0.004M,88.76M,33.71M,55.04M,55.04M,54.86M,92.05M,3.593M,88.46M,0.1033,0.0,0.103,0.1033,0.0967,0.0,0.0963,0.0967,533.57M,561.74M
2010-12,318.66M,318.66M,154.26M,164.41M,,,,,0.263M,84.61M,79.80M,,0.263M,0.106M,0.263M,80.17M,31.03M,49.13M,49.13M,49.07M,83.09M,3.29M,79.80M,0.0933,,0.0932,0.0933,0.0883,,0.0882,0.0883,532.52M,560.03M
2010-09,381.47M,381.47M,183.54M,197.93M,90.37M,,,,0.541M,90.37M,107.56M,,0.541M,-0.727M,0.541M,107.37M,40.87M,66.50M,66.50M,66.95M,110.57M,3.012M,107.56M,0.125,0.0,0.1258,0.125,0.12,0.0,0.1208,0.12,530.21M,557.19M
2010-06,365.70M,365.70M,172.35M,193.35M,83.67M,,,1.034M,1.034M,83.67M,109.68M,1.034M,1.034M,-0.713M,1.034M,110.00M,46.16M,63.84M,63.84M,64.30M,112.50M,2.82M,109.68M,0.12,0.0,0.1209,0.12,0.115,0.0,0.1158,0.115,531.52M,557.81M
2010-03,238.11M,238.11M,113.56M,124.55M,73.77M,,,0.41M,0.41M,73.77M,50.78M,0.41M,0.41M,0.576M,0.41M,51.77M,19.21M,32.56M,32.56M,32.20M,53.44M,2.654M,50.78M,0.0617,0.0,0.061,0.0617,0.0583,0.0,0.0577,0.0583,530.08M,558.19M
2009-12,290.91M,290.91M,135.64M,155.28M,,,2.266M,,,69.44M,85.83M,,,2.266M,,86.50M,33.14M,53.36M,53.36M,51.96M,87.76M,1.922M,85.83M,0.1,0.0,0.0974,0.1,0.0967,0.0,0.0942,0.0967,532.37M,560.35M
2009-09,307.93M,307.93M,142.90M,165.03M,,,-0.342M,,0.183M,72.12M,92.92M,,0.183M,-0.342M,0.183M,92.76M,36.25M,56.50M,56.50M,56.71M,94.61M,1.694M,92.92M,0.105,0.0,0.1054,0.105,0.1,0.0,0.1004,0.1,540.92M,568.10M
2009-06,300.25M,300.25M,138.42M,161.83M,,,0.00,,0.401M,69.05M,92.78M,,0.401M,,0.401M,93.18M,35.90M,57.29M,57.29M,57.29M,93.97M,1.19M,92.78M,0.105,0.0,0.105,0.105,0.1,0.0,0.1,0.1,543.62M,571.69M
2009-03,244.21M,244.21M,114.03M,130.18M,,,-3.539M,,1.016M,64.40M,65.78M,,1.016M,-3.539M,1.016M,63.25M,21.69M,41.56M,41.56M,43.89M,66.88M,1.101M,65.78M,0.0767,0.0,0.081,0.0767,0.0733,0.0,0.0774,0.0733,542.60M,571.90M
2008-12,254.37M,254.37M,115.95M,138.42M,177.64M,,,,,177.64M,-39.22M,,,,,-37.84M,-14.39M,-23.45M,-23.45M,-23.45M,-38.35M,0.871M,-39.22M,-0.0417,0.0,-0.0417,-0.0417,-0.0417,0.0,-0.0417,-0.0417,549.02M,576.77M
2008-09,284.99M,284.99M,135.55M,149.44M,67.64M,,,,,67.64M,81.79M,,,,,83.90M,31.47M,52.44M,52.44M,52.44M,82.83M,1.035M,81.79M,0.095,0.0,0.095,0.095,0.09,0.0,0.09,0.09,554.02M,581.50M
2008-06,282.24M,282.24M,136.03M,146.21M,68.02M,,,,,68.02M,78.19M,,,,,80.96M,30.73M,50.23M,50.23M,50.23M,79.01M,0.822M,78.19M,0.09,0.0,0.09,0.09,0.085,0.0,0.085,0.085,557.47M,587.98M
2008-03,212.18M,212.18M,107.46M,104.72M,61.89M,,,,,61.89M,42.83M,,,,,46.45M,17.64M,28.81M,28.81M,28.81M,43.57M,0.744M,42.83M,0.0517,0.0,0.0517,0.0517,0.0483,0.0,0.0483,0.0483,559.88M,594.04M
2007-12,246.64M,246.64M,120.90M,125.74M,,,,,,61.47M,64.27M,,,,,67.60M,22.50M,45.10M,45.10M,45.10M,64.93M,0.654M,64.27M,0.0817,0.0,0.0817,0.0817,0.075,0.0,0.075,0.075,557.67M,598.43M
2007-09,247.21M,247.21M,118.83M,128.38M,55.00M,,,,,55.00M,73.38M,,,,,75.54M,29.74M,45.80M,45.80M,45.80M,73.96M,0.583M,73.38M,0.0833,0.0,0.0833,0.0833,0.0767,0.0,0.0767,0.0767,549.43M,593.37M
2007-06,244.76M,244.76M,116.51M,128.25M,66.83M,,,,,66.83M,61.42M,,,,,63.18M,24.86M,38.31M,38.31M,38.31M,61.93M,0.503M,61.42M,0.0717,0.0,0.0717,0.0717,0.065,0.0,0.065,0.065,540.71M,590.73M
2007-03,165.85M,165.85M,80.22M,85.64M,53.73M,,1.526M,,,53.73M,31.91M,,,1.526M,,33.44M,13.24M,20.20M,20.20M,19.28M,32.35M,0.444M,31.91M,0.0367,0.0,0.035,0.0367,0.035,0.0,0.0334,0.035,540.35M,589.81M
2006-12,151.34M,151.34M,70.92M,80.42M,44.77M,,,,,44.77M,35.66M,,,,,36.70M,14.50M,22.20M,22.20M,22.20M,36.09M,0.438M,35.66M,0.0417,0.0,0.0417,0.0417,0.0367,0.0,0.0367,0.0367,540.32M,588.06M
2006-09,178.65M,178.65M,86.46M,92.18M,49.84M,,,,,49.84M,42.34M,,,,,43.39M,16.93M,26.46M,26.46M,26.46M,42.79M,0.446M,42.34M,0.0483,0.0,0.0483,0.0483,0.045,0.0,0.045,0.045,543.05M,593.03M
2006-06,156.04M,156.04M,75.05M,80.99M,35.24M,,0.872M,,,35.24M,45.75M,,,0.872M,,46.62M,18.42M,28.20M,28.20M,27.67M,46.13M,0.382M,45.75M,0.0517,0.0,0.0507,0.0517,0.0467,0.0,0.0458,0.0467,539.47M,595.73M
2006-03,119.75M,119.75M,56.75M,63.00M,28.17M,,0.702M,,,28.17M,34.83M,,,0.702M,,35.53M,14.44M,21.09M,21.09M,20.67M,35.16M,0.328M,34.83M,0.0383,0.0,0.0376,0.0383,0.035,0.0,0.0343,0.035,544.70M,603.71M
2005-12,98.01M,98.01M,46.07M,51.94M,22.13M,0.0259M,,,,22.15M,29.79M,,,,,30.45M,12.01M,18.44M,18.44M,18.44M,30.12M,0.3313M,29.79M,0.0346,0.0,0.0346,0.0346,0.0317,0.0,0.0317,0.0317,532.79M,592.97M
2005-09,105.42M,105.42M,50.08M,55.34M,21.75M,0.0160M,0.3235M,,,21.77M,33.58M,,,0.3235M,,33.90M,13.65M,20.25M,20.25M,20.05M,33.86M,0.2887M,33.58M,0.0383,0.0,0.038,0.0383,0.0346,0.0,0.0343,0.0346,530.88M,584.02M
2005-06,85.44M,85.44M,40.51M,44.93M,19.57M,,0.254M,,,19.57M,25.36M,,,0.254M,,25.61M,10.36M,15.25M,15.25M,15.09M,25.62M,0.2612M,25.36M,0.0283,0.0,0.028,0.0283,0.0267,0.0,0.0264,0.0267,526.84M,585.25M
2005-03,60.01M,60.01M,29.68M,30.33M,15.59M,0.0142M,0.1175M,,,15.61M,14.72M,,,0.1175M,,14.84M,5.996M,8.845M,8.845M,8.774M,14.92M,0.1978M,14.72M,0.0167,0.0,0.0165,0.0167,0.0154,0.0,0.0153,0.0154,524.91M,578.92M
2004-12,50.34M,50.34M,25.35M,24.99M,13.06M,0.0144M,,,,13.08M,11.91M,,,,,11.99M,4.665M,7.327M,7.327M,7.327M,12.15M,0.2334M,11.91M,0.0142,0.0,0.0142,0.0142,0.0125,0.0,0.0125,0.0125,522.89M,577.52M
2004-09,52.64M,52.64M,28.83M,23.81M,13.87M,0.0193M,-0.0081M,,,13.88M,9.925M,,,-0.0081M,,9.917M,4.118M,5.799M,5.799M,5.804M,10.14M,0.2137M,9.925M,0.0112,0.0,0.0113,0.0112,0.01,0.0,0.01,0.01,519.18M,568.45M
2004-06,46.06M,46.06M,25.30M,20.76M,12.34M,0.0193M,-0.0084M,,,12.35M,8.404M,,,-0.0084M,,8.396M,3.318M,5.078M,5.078M,5.083M,8.592M,0.1882M,8.404M,0.01,0.0,0.01,0.01,0.009,0.0,0.009,0.009,504.99M,560.75M
2004-03,31.30M,31.30M,17.39M,13.91M,10.24M,0.0201M,-0.0106M,,,10.26M,3.644M,,,-0.0106M,,3.634M,1.451M,2.183M,2.183M,2.190M,3.852M,0.2077M,3.644M,0.0044,0.0,0.0044,0.0044,0.004,0.0,0.004,0.004,500.87M,550.25M
2003-12,26.57M,26.57M,15.83M,10.74M,8.852M,0.0253M,,,,8.877M,1.863M,,,,,1.853M,0.6267M,1.226M,1.226M,1.226M,2.056M,0.1933M,1.863M,0.0025,0.0,0.0025,0.0025,0.0021,0.0,0.0021,0.0021,499.93M,549.36M
2003-09,33.29M,33.29M,20.00M,13.29M,9.743M,0.0153M,-0.0093M,,,9.758M,3.528M,,,-0.0093M,,3.519M,1.425M,2.094M,2.094M,2.099M,3.692M,0.1637M,3.528M,0.0042,0.0,0.0042,0.0042,0.004,0.0,0.004,0.004,492.18M,516.28M
2003-06,28.41M,28.41M,16.96M,11.45M,8.100M,0.0108M,-0.0147M,,,8.111M,3.338M,,,-0.0147M,,3.323M,1.346M,1.977M,1.977M,1.986M,3.491M,0.1530M,3.338M,0.004,0.0,0.004,0.004,0.004,0.0,0.004,0.004,492.15M,501.80M
2003-03,22.09M,22.09M,13.79M,8.300M,7.192M,0.0104M,,,,7.203M,1.097M,,,,,1.064M,0.4309M,0.6331M,0.6331M,0.6331M,1.233M,0.1362M,1.097M,0.0012,0.0,0.0012,0.0012,0.0012,0.0,0.0012,0.0012,489.11M,500.93M
2002-12,20.20M,20.20M,13.28M,6.922M,6.758M,0.0155M,,,,6.773M,0.1489M,,,,,0.1039M,0.0267M,0.0772M,0.0772M,0.0772M,0.2975M,0.1487M,0.1489M,0.0002,0.0,0.0002,0.0002,0.0,0.0,0.0,0.0,482.55M,493.86M
2002-09,26.99M,26.99M,17.31M,9.678M,7.478M,0.0134M,,,,7.492M,2.186M,,,,,2.135M,0.8646M,1.270M,1.270M,1.270M,2.323M,0.1365M,2.186M,0.0027,0.0,0.0027,0.0027,0.0025,0.0,0.0025,0.0025,482.54M,498.72M
2002-06,26.26M,26.26M,16.43M,9.834M,7.628M,0.0129M,,,,7.641M,2.192M,,,,,2.136M,0.8652M,1.271M,1.271M,1.271M,2.324M,0.1316M,2.192M,0.0027,0.0,0.0027,0.0027,0.0025,0.0,0.0025,0.0025,482.54M,496.22M
2002-03,18.59M,18.59M,11.78M,6.810M,6.032M,0.0128M,,,,6.045M,0.7654M,,,,,0.6901M,0.2795M,0.4106M,0.4106M,0.4106M,0.8971M,0.1317M,0.7654M,0.0008,0.0,0.0008,0.0008,0.0008,0.0,0.0008,0.0008,482.44M,496.31M
2001-12,18.14M,18.14M,12.44M,5.699M,4.929M,0.1285M,,,,5.057M,0.6421M,,,,,0.5461M,0.2184M,0.3276M,0.3276M,0.3276M,0.8841M,0.2420M,0.6421M,0.0006,0.0,0.0006,0.0006,0.0004,0.0,0.0004,0.0004,487.53M,586.34M
2001-09,23.10M,23.10M,14.62M,8.474M,6.154M,0.1298M,,,,6.284M,2.189M,,,,,2.098M,0.8392M,1.259M,1.259M,1.259M,2.435M,0.2456M,2.189M,0.0027,0.0,0.0027,0.0027,0.0025,0.0,0.0025,0.0025,482.16M,495.49M
2001-06,22.51M,22.51M,14.12M,8.389M,6.287M,0.1260M,,,,6.413M,1.975M,,,,,1.846M,0.7383M,1.108M,1.108M,1.108M,2.211M,0.2355M,1.975M,0.0023,0.0,0.0023,0.0023,0.0023,0.0,0.0023,0.0023,482.16M,494.03M
2001-03,16.91M,16.91M,10.61M,6.300M,5.433M,0.1232M,,,,5.556M,0.7441M,,,,,0.5424M,0.2170M,0.3254M,0.3254M,0.3254M,0.9650M,0.2209M,0.7441M,0.0006,0.0,0.0006,0.0006,0.0006,0.0,0.0006,0.0006,480.48M,494.72M
2000-12,10.36M,10.36M,10.52M,-0.1558M,-0.6683M,,,,,-0.7527M,0.5969M,,,,,0.3852M,0.1755M,0.2097M,0.2097M,0.2097M,0.8271M,0.2303M,0.5969M,0.0004,0.0,0.0004,0.0004,0.0004,0.0,0.0004,0.0004,493.27M,493.27M
2000-09,22.70M,22.70M,11.63M,11.07M,8.576M,,,,,8.755M,2.320M,,,,,2.246M,0.8804M,1.365M,1.365M,1.365M,2.499M,0.1792M,2.320M,0.0029,0.0,0.0029,0.0029,0.0027,0.0,0.0027,0.0027,477.00M,502.45M
2000-06,22.67M,22.67M,11.91M,10.76M,7.793M,,,,,7.941M,2.816M,,,,,2.753M,1.101M,1.652M,1.652M,1.652M,2.964M,0.1479M,2.816M,0.0035,0.0,0.0035,0.0035,0.0033,0.0,0.0033,0.0033,477.20M,497.64M
2000-03,15.98M,15.98M,8.728M,7.250M,5.953M,,,,,6.082M,1.168M,,,,,1.147M,0.4587M,0.6881M,0.6881M,0.6881M,1.296M,0.1284M,1.168M,0.0015,0.0,0.0015,0.0015,0.0015,0.0,0.0015,0.0015,479.94M,503.13M
1999-12,17.50M,17.50M,9.70M,7.80M,6.30M,,,,,6.50M,1.30M,,,,,1.30M,0.50M,0.80M,0.80M,0.80M,1.50M,0.20M,1.30M,0.0017,0.0,0.0017,0.0017,0.0017,0.0,0.0017,0.0017,473.24M,495.75M
1999-09,20.50M,20.50M,11.00M,9.50M,7.10M,,,,,7.30M,2.20M,,,,,2.20M,0.90M,1.30M,1.30M,1.30M,2.40M,0.20M,2.20M,0.0027,0.0,0.0027,0.0027,0.0027,0.0,0.0027,0.0027,480.00M,480.00M
1999-06,19.14M,19.14M,10.20M,8.942M,6.50M,,,,,6.60M,2.342M,,,,,2.40M,1.00M,1.40M,1.40M,1.40M,2.442M,0.10M,2.342M,0.0029,0.0,0.0029,0.0029,0.0029,0.0,0.0029,0.0029,480.00M,480.00M
1999-03,15.23M,15.23M,7.70M,7.529M,5.80M,,,,,5.90M,1.629M,,,,,1.50M,0.60M,0.90M,0.90M,0.90M,1.729M,0.10M,1.629M,0.0019,0.0,0.0019,0.0019,0.0019,0.0,0.0019,0.0019,476.40M,505.04M
1998-12,12.10M,12.10M,6.00M,6.10M,4.80M,,,,,4.90M,1.20M,,,,,1.30M,0.60M,0.70M,0.70M,0.70M,1.30M,0.10M,1.20M,0.0015,0.0,0.0015,0.0015,0.0012,0.0,0.0012,0.0012,455.15M,511.27M
1998-09,16.60M,16.60M,8.60M,8.00M,6.00M,,,,,6.20M,1.80M,,,,,1.70M,0.60M,1.10M,1.10M,1.10M,2.00M,0.20M,1.80M,0.0025,0.0,0.0025,0.0025,0.0023,0.0,0.0023,0.0023,440.00M,480.00M
1998-06,14.00M,14.00M,7.00M,7.00M,5.30M,,,,,5.40M,1.60M,,,,,1.50M,0.50M,1.00M,1.00M,1.00M,1.70M,0.10M,1.60M,0.0023,0.0,0.0023,0.0023,0.0021,0.0,0.0021,0.0021,436.36M,480.00M
