,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2016-12,172.95M,,-0.033M,,-0.033M,,,10.97M,10.97M,-17.44M,,12.11M,,12.11M,14.90M,2.52M,91.00M,15.56M,,,-21.89M,102.10M,280.65M,-33.56M,0.102M,-32.19M,-1.263M,0.00,44.03M,-0.049M,10.53M,-0.628M,,-0.628M,5.79M,-250.00M,-244.21M,,-244.83M,341.53M,46.34M,-10.29M,377.58M,5.79M,-0.628M,-250.00M,1.902M,0.014M
2016-09,191.64M,,-0.051M,,-0.051M,,,10.54M,10.54M,-1.639M,,12.14M,,12.14M,-16.25M,6.742M,-124.50M,73.09M,,,21.41M,-39.49M,173.15M,-49.09M,0.164M,-49.55M,0.626M,0.00,-222.85M,2.433M,-269.34M,-0.632M,,-0.632M,2.448M,-0.187M,2.261M,,1.629M,434.77M,-94.57M,1.325M,341.53M,2.448M,-0.632M,-0.187M,744.55M,0.088M
2016-06,184.22M,,-0.166M,,-0.166M,,,10.30M,10.30M,-0.022M,,11.53M,,11.53M,-44.81M,19.25M,2.167M,-55.80M,,,11.33M,-67.87M,138.00M,-12.15M,0.16M,-9.448M,-2.539M,-688.48M,471.34M,-2.519M,-231.65M,-0.577M,,-0.577M,4.089M,-2.000B,-1.996B,,-1.997B,2.528B,-2.090B,-2.963M,434.77M,4.089M,-0.577M,-2.000B,-177.99M,-0.018M
2016-03,163.88M,,0.046M,,0.046M,,,9.024M,9.024M,0.009M,,10.06M,,10.06M,-60.21M,-7.639M,-23.38M,10.68M,,,7.081M,-73.46M,109.56M,-10.55M,0.381M,-7.824M,-2.342M,,244.30M,0.142M,234.27M,-0.522M,,-0.522M,4.078M,-2.016M,2.062M,,1.54M,2.175B,345.37M,7.321M,2.528B,4.078M,-0.522M,-2.016M,-137.19M,-0.016M
2015-12,138.74M,0.00,0.405M,,0.405M,,,9.103M,9.103M,-66.48M,,9.03M,,9.03M,55.49M,2.008M,69.42M,-37.99M,,,-8.734M,80.19M,170.99M,-11.51M,0.442M,-9.536M,-1.536M,0.00,819.16M,0.641M,808.72M,-0.276M,,-0.276M,5.61M,-48.99M,-43.38M,,-43.66M,1.241B,936.05M,-1.354M,2.175B,5.61M,-0.276M,-48.99M,83.74M,0.008M
2015-09,174.57M,0.00,-0.104M,,-0.104M,,,8.508M,8.508M,-271.81M,,8.852M,,8.852M,-37.18M,19.84M,-2.67M,283.05M,,,7.866M,270.92M,190.94M,-11.59M,0.323M,-9.477M,-1.786M,0.00,-291.70M,0.175M,-302.79M,-0.277M,,-0.277M,1.931M,-346.76M,-344.83M,,-345.10M,1.696B,-456.96M,1.378M,1.241B,1.931M,-0.277M,-346.76M,64.90M,0.009M
2015-06,229.00M,-161.47M,-0.062M,,-161.53M,,,6.779M,6.779M,156.71M,,8.483M,,8.483M,-26.97M,-2.372M,-68.08M,-107.97M,,,23.82M,-181.57M,57.87M,-13.15M,0.059M,-11.08M,177.64M,198.01M,-598.64M,-1.441M,-235.51M,-0.334M,,-0.334M,1.670B,-160.84M,1.509B,,1.509B,362.79M,1.331B,2.311M,1.696B,1.670B,-0.334M,-160.84M,53.58M,0.007M
2015-03,4.414M,,-0.046M,,-0.046M,,,6.47M,6.47M,0.00,,6.354M,,6.354M,-68.07M,-26.55M,-19.39M,249.81M,,,-50.07M,85.73M,102.92M,-6.239M,0.102M,-4.585M,-1.552M,,135.55M,0.227M,129.64M,-0.196M,,-0.196M,19.12M,-251.38M,-232.26M,,-232.46M,370.32M,0.105M,-7.641M,362.79M,19.12M,-0.196M,-251.38M,22.70M,0.005M
2014-12,125.33M,0.00,-0.029M,0.002M,-0.027M,,,6.527M,6.527M,9.614M,,6.043M,,6.043M,34.00M,29.46M,14.33M,-24.59M,,,-10.25M,42.95M,190.44M,-10.30M,0.218M,-8.434M,-1.646M,0.00,-207.54M,0.203M,-217.42M,-0.303M,,-0.303M,2.118M,-0.049M,2.069M,-11.54M,-9.775M,408.32M,-36.75M,-1.246M,370.32M,2.118M,-0.303M,-0.049M,57.16M,0.007M
2014-09,121.60M,0.00,-0.194M,0.026M,-0.168M,,,6.129M,6.129M,-16.32M,,7.42M,,7.42M,54.76M,-0.236M,-11.60M,-15.60M,,,2.093M,29.42M,148.07M,-5.163M,0.435M,-3.791M,-0.937M,0.00,-110.16M,-0.075M,-114.96M,-0.343M,,-0.343M,7.334M,-8.067M,-0.733M,8.238M,7.162M,373.05M,40.27M,-4.998M,408.32M,7.334M,-0.343M,-8.067M,90.44M,0.009M
2014-06,141.00M,0.00,-0.085M,0.012M,-0.073M,,,6.542M,6.542M,-0.701M,,8.103M,,8.103M,-56.87M,-3.874M,1.007M,10.81M,,,16.62M,-32.30M,122.58M,-6.031M,0.073M,-5.13M,-0.933M,0.00,-58.57M,0.559M,-64.07M,-0.353M,,-0.353M,1.988M,-0.039M,1.949M,0.701M,2.297M,312.02M,60.80M,0.233M,373.05M,1.988M,-0.353M,-0.039M,109.91M,0.006M
2014-03,95.25M,,-0.10M,0.001M,-0.099M,,,6.453M,6.453M,-2.434M,,6.986M,,6.986M,-41.60M,17.41M,-2.693M,49.77M,,,7.353M,30.25M,136.40M,-9.871M,0.237M,-9.634M,0.105M,,-34.96M,0.543M,-43.94M,-0.62M,,-0.62M,5.728M,-0.02M,5.708M,2.602M,7.69M,211.35M,100.15M,0.523M,312.02M,5.728M,-0.62M,-0.02M,9.747M,0.012M
2013-12,76.11M,,0.559M,-0.035M,0.524M,,,6.318M,6.318M,-6.246M,,7.172M,,7.172M,57.77M,25.14M,37.44M,-106.94M,,,-31.08M,-17.68M,66.20M,-10.32M,0.26M,-7.89M,-2.174M,,-86.26M,3.216M,-93.11M,-0.565M,,-0.565M,3.054M,-54.20M,-51.14M,0.098M,-51.61M,287.02M,-78.52M,2.853M,211.35M,3.054M,-0.565M,-54.20M,77.11M,0.013M
2013-09,92.19M,,0.163M,-0.042M,0.121M,,,6.107M,6.107M,-1.367M,,7.20M,,7.20M,2.253M,-12.72M,-5.291M,67.51M,,,20.11M,71.87M,176.11M,-14.02M,0.097M,-10.02M,-3.90M,,-159.16M,-3.038M,-176.12M,-0.528M,,-0.528M,1.91M,-0.005M,1.905M,1.367M,2.744M,283.84M,2.741M,0.439M,287.02M,1.91M,-0.528M,-0.005M,14.45M,0.017M
2013-06,106.87M,,-0.214M,-0.066M,-0.28M,,,5.277M,5.277M,-29.24M,,7.433M,,7.433M,-32.28M,-19.89M,-29.47M,35.35M,,,10.05M,-36.24M,53.83M,-15.50M,8.647M,-5.118M,-1.739M,,-43.99M,-4.319M,-55.16M,-0.498M,,-0.498M,13.91M,-0.035M,13.87M,28.71M,42.08M,242.53M,40.74M,0.563M,283.84M,13.91M,-0.498M,-0.035M,77.06M,0.014M
2013-03,63.50M,,-0.002M,-2.572M,-2.574M,,,5.06M,5.06M,-0.574M,,6.959M,,6.959M,-78.03M,-14.08M,16.83M,34.00M,,,14.80M,-26.47M,45.89M,-12.09M,0.018M,-8.714M,-3.362M,,-3.12M,-0.219M,-15.42M,-0.296M,,-0.296M,2.381M,-13.36M,-10.98M,0.176M,-11.10M,222.51M,19.38M,0.641M,242.53M,2.381M,-0.296M,-13.36M,5.663M,0.005M
2012-12,67.98M,,0.077M,-0.201M,-0.124M,-15.23M,-0.036M,5.298M,5.298M,-20.39M,,6.832M,,6.832M,52.75M,-8.922M,-19.90M,-25.48M,,,11.58M,10.03M,69.63M,-18.93M,0.05M,-17.07M,-1.811M,,211.79M,-0.008M,192.90M,-0.454M,,-0.454M,2.647M,-340.89M,-338.25M,15.36M,-323.34M,283.05M,-60.82M,0.276M,222.51M,2.647M,-0.454M,-340.89M,45.77M,0.008M
2012-09,86.14M,,-0.002M,-0.224M,-0.226M,5.159M,0.012M,5.171M,5.171M,-1.376M,,7.95M,,7.95M,17.32M,5.643M,-16.03M,-14.65M,,,18.05M,10.32M,107.98M,-7.92M,0.012M,-5.921M,-1.987M,,144.51M,-0.10M,136.50M,-0.531M,,-0.531M,1.931M,-386.78M,-384.84M,1.373M,-384.00M,419.17M,-139.52M,3.411M,283.05M,1.931M,-0.531M,-386.78M,69.14M,0.012M
2012-06,109.80M,,-0.011M,0.035M,0.024M,5.113M,0.012M,5.125M,5.125M,-2.43M,,7.06M,,7.06M,-53.94M,-10.16M,-0.845M,9.245M,,,9.425M,-46.28M,73.30M,-7.092M,0.062M,-5.276M,-1.754M,,-30.69M,0.183M,-37.53M,-0.481M,,-0.481M,3.715M,0.00,3.715M,2.43M,5.664M,391.44M,41.43M,-13.70M,419.17M,3.715M,-0.481M,0.00,91.82M,0.014M
2012-03,76.10M,,-0.039M,-0.396M,-0.435M,4.956M,0.012M,4.968M,4.968M,2.082M,,6.571M,,6.571M,-33.91M,-34.13M,-0.959M,55.97M,,,-39.48M,-52.52M,36.77M,-15.29M,0.164M,-14.38M,-0.749M,,-5.189M,0.302M,-20.01M,-0.61M,,-0.61M,2.722M,0.00,2.722M,0.492M,2.604M,359.33M,19.36M,12.75M,391.44M,2.722M,-0.61M,0.00,23.49M,0.014M
2011-12,64.54M,,0.075M,0.511M,4.257M,4.88M,0.013M,4.893M,4.893M,-1.148M,,6.702M,,6.702M,12.72M,7.368M,-7.158M,-20.06M,,,28.67M,21.53M,100.82M,-6.568M,0.17M,-5.456M,-0.942M,,4.684M,-0.651M,-2.365M,-0.764M,,-0.764M,2.524M,-27.35M,-24.82M,0.461M,-25.13M,287.16M,73.33M,-1.157M,359.33M,2.524M,-0.764M,-27.35M,32.23M,0.014M
2011-09,82.39M,,0.015M,-0.115M,-3.448M,4.481M,0.015M,4.496M,4.496M,-2.219M,,4.828M,,4.828M,17.48M,-9.381M,3.533M,12.37M,,,-1.018M,22.99M,109.04M,-8.42M,0.06M,-7.555M,-0.805M,,-127.41M,0.036M,-135.73M,-0.482M,,-0.482M,6.486M,-110.18M,-103.70M,2.219M,-101.96M,418.20M,-128.65M,-2.388M,287.16M,6.486M,-0.482M,-110.18M,52.29M,0.003M
2011-06,84.25M,,-0.034M,0.652M,0.315M,4.09M,0.012M,4.102M,4.102M,-0.954M,,4.115M,,4.115M,-35.89M,17.10M,1.099M,27.71M,,,-1.494M,8.527M,100.35M,-7.177M,0.082M,-5.706M,-1.389M,,19.62M,1.051M,13.57M,-0.447M,,-0.447M,7.061M,0.00,7.061M,0.954M,7.568M,295.50M,121.50M,1.197M,418.20M,7.061M,-0.447M,0.00,60.54M,0.021M
2011-03,55.04M,,-0.074M,-0.278M,-0.372M,3.581M,0.012M,3.593M,3.593M,-0.19M,,3.779M,,3.779M,-51.32M,-19.55M,5.787M,27.96M,,,-1.117M,-38.24M,23.61M,-8.519M,0.207M,-6.316M,-1.996M,,-40.17M,-0.026M,-48.50M,-0.249M,,-0.249M,4.247M,-38.86M,-34.62M,0.19M,-34.67M,354.84M,-59.57M,0.229M,295.50M,4.247M,-0.249M,-38.86M,2.87M,0.01M
2010-12,49.13M,,0.091M,-3.891M,-0.015M,3.278M,0.012M,3.29M,3.29M,-6.124M,,4.027M,,4.027M,15.68M,-4.362M,-9.511M,-9.256M,,,15.05M,7.604M,58.23M,-5.676M,0.056M,-4.522M,-1.098M,,-218.74M,-1.602M,-225.96M,-0.112M,,-0.112M,9.917M,0.00,9.917M,2.182M,11.99M,509.63M,-155.74M,0.955M,354.84M,9.917M,-0.112M,0.00,39.21M,0.004M
2010-09,66.50M,,-0.052M,0.411M,0.674M,3.00M,0.012M,3.012M,3.012M,-3.551M,,4.322M,,4.322M,0.487M,-7.854M,0.55M,-18.11M,,,-2.013M,-26.94M,44.09M,-6.073M,0.012M,-3.571M,-2.49M,,50.83M,-0.173M,44.60M,-0.069M,,-0.069M,5.886M,0.00,5.886M,3.548M,9.365M,409.91M,98.05M,1.665M,509.63M,5.886M,-0.069M,0.00,59.58M,0.003M
2010-06,63.84M,,0.145M,-0.277M,0.86M,2.81M,0.01M,2.82M,2.82M,2.418M,,3.532M,,3.532M,-15.09M,-21.38M,-2.237M,24.50M,,,-1.811M,-16.01M,58.72M,-5.78M,0.037M,-2.911M,-2.832M,,5.434M,0.266M,-0.043M,-0.077M,,-0.077M,0.497M,-23.54M,-23.04M,0.17M,-22.95M,375.91M,35.73M,-1.724M,409.91M,0.497M,-0.077M,-23.54M,31.13M,0.003M
2010-03,32.56M,,0.01M,4.515M,-0.567M,2.64M,0.014M,2.654M,2.654M,-6.478M,,4.981M,,4.981M,-9.464M,-11.38M,-1.568M,59.32M,,,-2.064M,34.85M,68.00M,-4.868M,0.01M,-1.426M,-3.432M,,-26.32M,0.069M,-31.10M,-0.162M,,-0.162M,4.524M,0.00,4.524M,6.474M,10.84M,328.35M,47.73M,-0.175M,375.91M,4.524M,-0.162M,0.00,6.446M,0.003M
2009-12,53.36M,,-0.226M,,-4.106M,1.91M,0.012M,1.922M,1.922M,-6.294M,,4.279M,2.219M,17.92M,-12.55M,15.66M,-1.585M,-23.23M,,,-1.216M,-22.91M,33.01M,-8.855M,0.75M,-6.255M,-1.85M,,18.82M,0.659M,11.37M,-0.24M,,-0.24M,0.765M,-35.22M,-34.45M,0.912M,-33.78M,317.66M,10.60M,0.091M,328.35M,0.765M,-0.24M,-35.22M,39.44M,0.005M
2009-09,56.50M,,0.029M,,0.37M,1.682M,0.012M,1.694M,1.694M,0.00,,3.301M,-0.128M,-0.129M,29.07M,-6.166M,3.394M,5.816M,,,-1.53M,30.58M,92.20M,-7.837M,0.032M,-5.938M,-1.867M,,0.301M,0.012M,-7.492M,-1.299M,0.883M,-0.416M,0.399M,-50.96M,-50.56M,0.128M,-50.85M,283.28M,33.86M,0.517M,317.66M,0.399M,-0.416M,-50.96M,40.76M,0.011M
2009-06,57.29M,,-0.009M,,3.53M,1.178M,0.012M,1.19M,1.19M,0.00,,3.725M,-0.886M,-3.399M,-5.716M,-6.86M,-4.068M,-5.872M,,,-4.239M,-26.76M,34.70M,-8.063M,0.053M,-7.172M,-0.838M,,-23.52M,-0.023M,-31.55M,0.397M,-0.883M,-0.486M,0.307M,0.00,0.307M,0.886M,0.707M,279.12M,3.854M,0.306M,283.28M,0.307M,-0.486M,0.00,40.97M,0.018M
2009-03,41.56M,,0.062M,,0.062M,1.069M,0.032M,1.101M,1.101M,0.00,,2.735M,-1.205M,3.539M,15.80M,5.91M,4.364M,-77.76M,,,0.186M,-51.50M,-3.708M,-4.014M,0.042M,-3.312M,-0.66M,,26.60M,0.578M,23.20M,-0.397M,,-0.397M,1.031M,,1.031M,1.205M,1.839M,256.80M,21.33M,0.99M,279.12M,1.031M,-0.397M,,4.662M,0.016M
2008-12,-23.45M,,,,0.541M,0.858M,0.013M,0.871M,0.871M,-46.77M,,,,6.32M,-63.26M,-7.345M,-4.339M,103.91M,,-3.705M,100.53M,125.79M,63.27M,-5.251M,0.08M,-0.817M,,,-3.678M,-1.825M,-10.67M,,,-0.328M,0.532M,-53.50M,-52.97M,2.136M,-51.16M,256.44M,1.436M,,256.80M,0.532M,,-53.50M,,
2008-09,52.44M,,,,0.092M,1.02M,0.015M,1.035M,1.035M,-1.45M,,,,3.957M,10.45M,12.75M,1.591M,-19.73M,,2.484M,-0.518M,7.031M,63.10M,-3.21M,0.073M,-3.137M,,,13.10M,0.18M,10.14M,,,-0.238M,0.453M,0.00,0.453M,0.024M,0.239M,182.95M,73.48M,,256.44M,0.453M,,0.00,,
2008-06,50.23M,,,,-0.006M,0.809M,0.013M,0.822M,0.822M,-0.655M,,,,2.574M,-1.678M,-13.43M,-3.128M,19.78M,,-6.409M,-0.906M,-5.772M,47.20M,-1.402M,0.006M,-1.396M,,,134.70M,-0.063M,133.24M,,,-0.285M,0.464M,-49.97M,-49.50M,1.127M,-48.66M,51.18M,131.78M,,182.95M,0.464M,,-49.97M,,
2008-03,28.81M,,,,0.001M,0.73M,0.014M,0.744M,0.744M,-0.055M,,,,1.048M,-0.246M,-11.64M,-3.787M,3.901M,,7.63M,-0.475M,-4.621M,25.93M,-1.209M,,-1.209M,,,12.49M,-0.012M,11.27M,,,-0.319M,0.808M,,0.808M,1.047M,1.536M,12.44M,38.74M,,51.18M,0.808M,,,,
2007-12,45.10M,,,,0.095M,2.128M,0.056M,0.654M,0.654M,-4.612M,,,,20.70M,8.828M,-4.115M,10.82M,2.818M,,-15.10M,-0.633M,2.615M,45.35M,-1.271M,0.004M,1.653M,,,-93.84M,0.479M,-94.63M,,,-0.308M,0.978M,,0.83M,2.122M,2.644M,59.07M,-46.63M,,12.44M,0.978M,,,,
2007-09,45.80M,,,,0.021M,,,0.583M,0.583M,-1.603M,,,,-15.86M,21.88M,-6.527M,-8.253M,-11.15M,,12.26M,0.836M,9.039M,37.97M,-1.777M,0.038M,-1.739M,,,-53.76M,0.02M,-55.48M,,,-0.218M,3.273M,,3.273M,18.04M,21.10M,55.48M,3.592M,,59.07M,3.273M,,,,
2007-06,38.31M,,,,0.011M,-0.43M,-0.014M,0.503M,0.503M,-4.906M,,,,-7.169M,-36.52M,-25.92M,-1.846M,40.00M,,-4.365M,5.989M,-22.65M,4.099M,-2.533M,0.212M,-2.321M,,,-31.27M,0.058M,-33.53M,,,-0.173M,3.94M,,3.94M,9.29M,13.06M,71.86M,-16.37M,,55.48M,3.94M,,,,
2007-03,20.20M,,,,-0.007M,0.43M,0.014M,0.444M,0.444M,-3.123M,,,,2.209M,-20.94M,15.43M,-3.765M,17.46M,,7.207M,12.92M,28.31M,48.03M,-1.447M,0.007M,-1.44M,,,-9.68M,0.026M,-11.09M,,,-0.211M,,,,,-0.211M,35.13M,36.73M,,71.86M,,,,,
2006-12,22.20M,,,,0.156M,0.424M,0.014M,0.438M,0.438M,-4.643M,,,,1.719M,14.23M,3.67M,0.525M,-29.19M,,-5.513M,8.265M,-8.015M,11.86M,-1.31M,0.227M,-1.083M,,,-18.97M,-0.704M,-20.76M,,,-0.252M,0.171M,0.00,0.171M,0.175M,0.094M,43.93M,-8.805M,,35.13M,0.171M,,0.00,,
2006-09,26.46M,,,,-0.006M,0.432M,0.014M,0.446M,0.446M,-6.506M,,,,-14.27M,-7.928M,-30.39M,8.49M,5.784M,,45.51M,12.18M,33.64M,39.76M,-1.622M,0.097M,-1.525M,,,13.34M,0.004M,11.82M,,,-0.302M,0.438M,-27.70M,-27.26M,0.953M,-26.61M,18.96M,24.97M,,43.93M,0.438M,,-27.70M,,
2006-06,28.20M,,,,-1.936M,0.368M,0.014M,0.382M,0.382M,-1.031M,,,,3.687M,-14.64M,-20.91M,-8.488M,26.16M,,-10.42M,,-28.28M,1.017M,-1.421M,0.03M,-1.391M,,,-28.86M,-0.034M,-30.28M,,,-0.345M,2.52M,,2.52M,15.51M,17.69M,30.54M,-11.57M,,18.96M,2.52M,,,,
