,NetIncome,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2018-06,2.404B,,-100.00M,-105.00M,-141.00M,283.00M,283.00M,223.00M,49.00M,136.00M,,,-881.00M,-46.00M,2.027B,,-415.00M,20.00M,-395.00M,266.00M,1.078B,-16.00M,957.00M,,-1.192B,-1.192B,123.00M,-390.00M,-267.00M,-1.662B,-1.662B,2.00M,-3.159B,,8.748B,-175.00M,-204.00M,8.369B,,123.00M,6.704B,-7.896B,-390.00M,,AOR,Restated
2018-03,1.327B,,-19.00M,-43.00M,-28.00M,270.00M,270.00M,-199.00M,72.00M,483.00M,,,-1.312B,46.00M,659.00M,,-274.00M,43.00M,-231.00M,-180.00M,1.71B,22.00M,1.297B,,806.00M,806.00M,477.00M,-927.00M,-450.00M,,,-72.00M,324.00M,,6.373B,2.28B,95.00M,8.748B,,477.00M,9.576B,-8.77B,-927.00M,,AOR,Restated
2017-12,-2.717B,,-30.00M,-69.00M,418.00M,334.00M,334.00M,-1.858B,52.00M,57.00M,,,4.893B,,1.179B,,-556.00M,36.00M,-520.00M,-2.24B,156.00M,21.00M,-2.583B,,-1.42B,-1.42B,275.00M,-595.00M,-320.00M,-3.155B,-3.155B,-53.00M,-4.948B,,12.79B,-6.352B,-69.00M,6.373B,,275.00M,5.027B,-6.447B,-595.00M,,AOR,Restated
2017-09,1.444B,,289.00M,-256.00M,716.00M,297.00M,297.00M,-14.00M,53.00M,7.00M,,,17.00M,0.00,2.52B,,-362.00M,30.00M,-332.00M,717.00M,948.00M,139.00M,1.472B,,-1.201B,-1.201B,403.00M,-890.00M,-487.00M,-1.581B,-1.581B,-27.00M,-3.296B,,11.99B,696.00M,111.00M,12.79B,,403.00M,6.313B,-7.514B,-890.00M,,AOR,Restated
2017-06,1.372B,,-39.00M,-214.00M,-491.00M,301.00M,301.00M,654.00M,59.00M,617.00M,,,66.00M,0.00,2.578B,,-390.00M,24.00M,-366.00M,442.00M,-2.337B,-271.00M,-2.532B,,1.195B,1.195B,523.00M,-893.00M,-370.00M,-1.584B,-1.584B,21.00M,-738.00M,,12.68B,-692.00M,-3.00M,11.99B,,523.00M,6.882B,-5.687B,-893.00M,,AOR,Restated
2017-03,1.184B,,72.00M,-89.00M,480.00M,328.00M,328.00M,-34.00M,55.00M,285.00M,,,-1.534B,0.00,764.00M,,-442.00M,18.00M,-424.00M,1.093B,631.00M,31.00M,1.331B,,2.481B,2.481B,394.00M,-1.304B,-910.00M,,,-36.00M,1.535B,,8.85B,3.63B,202.00M,12.68B,,394.00M,11.70B,-9.223B,-1.304B,,AOR,Restated
2016-12,547.00M,,-35.00M,-32.00M,715.00M,464.00M,464.00M,-758.00M,67.00M,351.00M,,,683.00M,,2.069B,,-701.00M,58.00M,-643.00M,219.00M,739.00M,14.00M,329.00M,,-595.00M,-595.00M,139.00M,-1.172B,-1.033B,-3.015B,-3.015B,-119.00M,-4.762B,,11.15B,-2.364B,-236.00M,8.85B,,139.00M,4.614B,-5.209B,-1.172B,,AOR,Restated
2016-09,1.05B,,75.00M,-193.00M,1.008B,420.00M,420.00M,80.00M,72.00M,-13.00M,,,286.00M,,2.903B,,-476.00M,51.00M,-425.00M,281.00M,4.00M,-256.00M,-396.00M,,-936.00M,-936.00M,187.00M,-353.00M,-166.00M,-11.00M,-11.00M,113.00M,-1.00B,,9.647B,1.507B,-7.00M,11.15B,,187.00M,6.72B,-7.656B,-353.00M,,AOR,Restated
2016-06,3.46B,,25.00M,-145.00M,-1.244B,445.00M,445.00M,-97.00M,50.00M,116.00M,,,486.00M,,3.216B,,-549.00M,12.00M,-537.00M,94.00M,-774.00M,-68.00M,-1.285B,,1.45B,1.45B,345.00M,-1.417B,-1.072B,-1.512B,-1.512B,-48.00M,-1.182B,,8.748B,749.00M,150.00M,9.647B,,345.00M,7.417B,-5.967B,-1.417B,,AOR,Restated
2016-03,1.493B,,93.00M,-79.00M,376.00M,458.00M,458.00M,-81.00M,69.00M,-31.00M,,,-1.68B,,604.00M,,-536.00M,29.00M,-507.00M,-397.00M,1.247B,5.00M,348.00M,,1.747B,1.747B,763.00M,-739.00M,24.00M,-1.505B,-1.505B,133.00M,399.00M,,7.309B,1.351B,88.00M,8.748B,,763.00M,8.53B,-6.783B,-739.00M,,AOR,Restated
2015-12,1.236B,,-61.00M,28.00M,143.00M,527.00M,527.00M,-139.00M,65.00M,117.00M,,,189.00M,,2.138B,,-883.00M,35.00M,-848.00M,147.00M,-149.00M,77.00M,-773.00M,,-1.443B,-1.443B,513.00M,-1.598B,-1.085B,-1.428B,-1.428B,21.00M,-3.935B,,9.983B,-2.57B,-104.00M,7.309B,,513.00M,6.136B,-7.579B,-1.598B,,AOR,Restated
2015-09,1.453B,,68.00M,-106.00M,758.00M,482.00M,482.00M,-431.00M,54.00M,338.00M,,,618.00M,,3.272B,,-556.00M,17.00M,-539.00M,-202.00M,-938.00M,22.00M,-1.657B,,1.619B,1.619B,322.00M,-668.00M,-346.00M,-1.436B,-1.436B,115.00M,-48.00M,,8.805B,1.567B,-389.00M,9.983B,,322.00M,9.42B,-7.801B,-668.00M,,AOR,Restated
2015-06,3.111B,,-98.00M,-52.00M,-1.529B,488.00M,488.00M,635.00M,57.00M,557.00M,,,225.00M,,3.544B,,-598.00M,12.00M,-586.00M,-1.497B,-408.00M,-453.00M,-2.944B,,1.902B,1.902B,131.00M,-644.00M,-513.00M,-1.436B,-1.436B,94.00M,47.00M,,8.211B,647.00M,-53.00M,8.805B,,131.00M,8.505B,-6.603B,-644.00M,,AOR,Restated
2015-03,1.566B,,-46.00M,8.00M,-5.00M,473.00M,473.00M,8.00M,60.00M,661.00M,,,-1.189B,,1.574B,,-516.00M,21.00M,-495.00M,-374.00M,-257.00M,314.00M,-812.00M,,618.00M,618.00M,279.00M,-654.00M,-375.00M,-1.441B,-1.441B,21.00M,-1.177B,,8.958B,-415.00M,-332.00M,8.211B,,279.00M,16.37B,-15.76B,-654.00M,,AOR,Restated
2014-12,771.00M,,110.00M,-112.00M,419.00M,499.00M,499.00M,139.00M,66.00M,680.00M,,,62.00M,,2.636B,,-788.00M,73.00M,-715.00M,29.00M,-274.00M,12.00M,-948.00M,,-86.00M,-86.00M,474.00M,-1.199B,-725.00M,-2.67B,-2.67B,46.00M,-3.435B,,11.08B,-1.747B,-379.00M,8.958B,,474.00M,8.382B,-8.468B,-1.199B,,AOR,Restated
2014-09,2.122B,,45.00M,-135.00M,180.00M,510.00M,510.00M,-112.00M,31.00M,104.00M,,,674.00M,,3.509B,,-588.00M,16.00M,-572.00M,17.00M,-2.837B,-38.00M,-3.43B,,1.653B,1.653B,408.00M,-1.01B,-602.00M,-1.338B,-1.338B,29.00M,-258.00M,,11.62B,-179.00M,-355.00M,11.08B,,408.00M,12.02B,-10.37B,-1.01B,,AOR,Restated
2014-06,2.605B,,-20.00M,-59.00M,61.00M,494.00M,494.00M,-80.00M,73.00M,-4.00M,,,255.00M,,3.404B,,-581.00M,66.00M,-515.00M,-202.00M,71.00M,-269.00M,-915.00M,,1.786B,1.786B,459.00M,-1.078B,-619.00M,-1.342B,-1.342B,32.00M,-143.00M,,9.131B,2.346B,141.00M,11.62B,,459.00M,10.34B,-8.555B,-1.078B,,AOR,Restated
2014-03,1.626B,,280.00M,-65.00M,215.00M,473.00M,473.00M,13.00M,39.00M,130.00M,,,-1.43B,,1.066B,,-449.00M,68.00M,-381.00M,-85.00M,-1.774B,27.00M,-2.213B,,1.359B,1.359B,191.00M,-875.00M,-684.00M,0.00,0.00,-470.00M,205.00M,,10.41B,-942.00M,-341.00M,9.131B,,191.00M,10.93B,-9.567B,-875.00M,,AOR,Restated
2013-12,1.708B,,28.00M,69.00M,97.00M,533.00M,533.00M,469.00M,72.00M,231.00M,,,-280.00M,,2.83B,,-925.00M,47.00M,-878.00M,-24.00M,-141.00M,-188.00M,-1.231B,,857.00M,857.00M,249.00M,-940.00M,-691.00M,-2.475B,-2.475B,-53.00M,-2.362B,,11.12B,-763.00M,59.00M,10.41B,,249.00M,12.28B,-11.42B,-940.00M,,AOR,Restated
2013-09,2.455B,,-19.00M,-138.00M,-804.00M,497.00M,497.00M,79.00M,63.00M,363.00M,,,1.103B,,3.756B,,-556.00M,7.00M,-549.00M,161.00M,3.00M,110.00M,-275.00M,,529.00M,529.00M,128.00M,-914.00M,-786.00M,-1.245B,-1.245B,-17.00M,-1.519B,,9.406B,1.962B,-250.00M,11.12B,,128.00M,8.368B,-7.839B,-914.00M,,AOR,Restated
2013-06,2.694B,,-25.00M,-55.00M,-102.00M,474.00M,474.00M,-57.00M,45.00M,-5.00M,,,429.00M,,3.478B,,-571.00M,22.00M,-549.00M,-280.00M,-572.00M,-89.00M,-1.49B,,805.00M,805.00M,534.00M,-1.455B,-921.00M,-1.249B,-1.249B,66.00M,-1.299B,,9.162B,689.00M,-445.00M,9.406B,,534.00M,10.19B,-9.389B,-1.455B,,AOR,Restated
2013-03,1.769B,,184.00M,-77.00M,106.00M,473.00M,473.00M,157.00M,47.00M,110.00M,,,-2.184B,,478.00M,,-498.00M,35.00M,-463.00M,662.00M,-1.281B,-136.00M,-1.218B,,2.52B,2.52B,417.00M,-1.523B,-1.106B,0.00,0.00,21.00M,1.435B,,8.442B,695.00M,25.00M,9.162B,,417.00M,12.58B,-10.06B,-1.523B,,AOR,Restated
2012-12,1.89B,,-24.00M,-88.00M,-102.00M,513.00M,513.00M,476.00M,5.00M,261.00M,,,-238.00M,,2.805B,,-809.00M,70.00M,-739.00M,-337.00M,298.00M,-227.00M,-1.005B,,120.00M,120.00M,170.00M,-940.00M,-770.00M,-2.291B,-2.291B,-7.00M,-2.948B,,9.615B,-1.148B,-25.00M,8.442B,,170.00M,9.903B,-9.783B,-940.00M,,AOR,Restated
2012-09,2.329B,,-24.00M,-195.00M,-221.00M,514.00M,514.00M,103.00M,88.00M,28.00M,,,821.00M,,3.662B,,-666.00M,16.00M,-650.00M,-385.00M,-752.00M,-52.00M,-1.839B,,235.00M,235.00M,324.00M,-1.009B,-685.00M,-1.149B,-1.149B,52.00M,-1.547B,,9.337B,276.00M,2.00M,9.615B,,324.00M,10.92B,-10.69B,-1.009B,,AOR,Restated
2012-06,2.80B,,-16.00M,-10.00M,-118.00M,508.00M,508.00M,156.00M,89.00M,67.00M,,,183.00M,,3.685B,,-713.00M,30.00M,-683.00M,-635.00M,-2.471B,112.00M,-3.677B,,1.34B,1.34B,559.00M,-1.531B,-972.00M,-1.155B,-1.155B,13.00M,-774.00M,,10.66B,-766.00M,-561.00M,9.337B,,559.00M,10.61B,-9.266B,-1.531B,,AOR,Restated
2012-03,2.067B,,-66.00M,-133.00M,-213.00M,447.00M,447.00M,-103.00M,77.00M,64.00M,,,-1.846B,,493.00M,,-592.00M,27.00M,-565.00M,-109.00M,-4.108B,-101.00M,-4.883B,,2.523B,2.523B,436.00M,-1.079B,-643.00M,0.00,0.00,42.00M,1.922B,,12.80B,-2.468B,329.00M,10.66B,,436.00M,11.36B,-8.835B,-1.079B,,AOR,Restated
2011-12,1.677B,,-28.00M,-97.00M,-429.00M,531.00M,531.00M,836.00M,86.00M,190.00M,,,-217.00M,,2.674B,,-1.005B,35.00M,-970.00M,-731.00M,2.634B,-43.00M,890.00M,,-563.00M,-563.00M,187.00M,-905.00M,-718.00M,,-2.141B,12.00M,-3.41B,,12.68B,154.00M,-33.00M,12.80B,,187.00M,4.872B,-5.435B,-905.00M,,AOR,Restated
2011-09,2.246B,,-53.00M,-146.00M,-223.00M,466.00M,466.00M,17.00M,87.00M,69.00M,,,496.00M,,3.158B,,-725.00M,20.00M,-705.00M,23.00M,-621.00M,217.00M,-1.086B,,2.792B,2.792B,580.00M,-2.237B,-1.657B,,-16.00M,27.00M,1.146B,,10.17B,3.218B,-702.00M,12.68B,,580.00M,9.924B,-7.132B,-2.237B,,AOR,Restated
2011-06,2.807B,,71.00M,66.00M,123.00M,471.00M,471.00M,206.00M,105.00M,-414.00M,,,-114.00M,,3.184B,,-601.00M,23.00M,-578.00M,-71.00M,-641.00M,9.00M,-1.281B,,18.00M,18.00M,362.00M,-242.00M,120.00M,,-1.078B,-16.00M,-956.00M,,9.075B,947.00M,144.00M,10.17B,,362.00M,5.383B,-5.365B,-242.00M,,AOR,Restated
2011-03,1.916B,,17.00M,-92.00M,47.00M,486.00M,486.00M,-24.00M,76.00M,15.00M,,,-2.058B,,458.00M,,-589.00M,23.00M,-566.00M,206.00M,-359.00M,-328.00M,-1.047B,,2.718B,2.718B,440.00M,-1.129B,-689.00M,,-1.065B,22.00M,986.00M,,8.517B,397.00M,161.00M,9.075B,,440.00M,7.316B,-4.598B,-1.129B,,AOR,Restated
2010-12,5.762B,,42.00M,-104.00M,-5.483B,509.00M,509.00M,558.00M,195.00M,689.00M,,,78.00M,,2.308B,,-880.00M,40.00M,-840.00M,-2.589B,1.694B,43.00M,-1.692B,,220.00M,220.00M,1.131B,-2.958B,-1.827B,,-1.034B,61.00M,-2.58B,,10.51B,-1.964B,-28.00M,8.517B,,1.131B,6.64B,-6.42B,-2.958B,,AOR,Restated
2010-09,2.067B,,42.00M,-321.00M,-302.00M,323.00M,323.00M,13.00M,71.00M,12.00M,,,730.00M,,2.914B,,-442.00M,29.00M,-413.00M,1.163B,-2.112B,-13.00M,-1.375B,,1.678B,1.678B,331.00M,-1.00M,330.00M,,-1.004B,-14.00M,990.00M,,7.735B,2.529B,245.00M,10.51B,,331.00M,3.161B,-1.483B,-1.00M,,AOR,Restated
2010-06,2.382B,,-26.00M,-128.00M,-125.00M,316.00M,316.00M,-1.00M,61.00M,2.00M,,,349.00M,,2.984B,,-500.00M,49.00M,-451.00M,-121.00M,738.00M,-136.00M,30.00M,,99.00M,99.00M,83.00M,0.00,83.00M,,-1.015B,1.00M,-832.00M,,5.684B,2.182B,-131.00M,7.735B,,83.00M,2.677B,-2.578B,0.00,,AOR,Restated
2010-03,1.626B,,93.00M,-118.00M,32.00M,295.00M,295.00M,34.00M,53.00M,73.00M,,,-787.00M,,1.326B,,-393.00M,16.00M,-377.00M,8.00M,-999.00M,,-1.368B,,-149.00M,-149.00M,121.00M,-2.00M,119.00M,,-1.015B,2.00M,-1.043B,,7.021B,-1.085B,-252.00M,5.684B,,121.00M,2.773B,-2.922B,-2.00M,,AOR,Restated
2009-12,1.578B,33.00M,46.00M,69.00M,105.00M,331.00M,331.00M,327.00M,99.00M,34.00M,,,-558.00M,,1.916B,,-594.00M,70.00M,-524.00M,124.00M,-2.18B,-9.00M,-2.589B,,622.00M,622.00M,432.00M,-1.512B,-1.08B,,-950.00M,-1.00M,-1.409B,,8.846B,-2.082B,257.00M,7.021B,,432.00M,3.54B,-2.918B,-1.512B,,AOR,Restated
2009-09,1.92B,-18.00M,14.00M,-237.00M,-213.00M,320.00M,320.00M,109.00M,35.00M,46.00M,,,391.00M,,2.608B,,-419.00M,2.00M,-417.00M,19.00M,-3.00M,5.00M,-396.00M,,-230.00M,-230.00M,158.00M,-2.00M,156.00M,,-951.00M,-1.00M,-1.026B,,7.647B,1.186B,13.00M,8.846B,,158.00M,3.091B,-3.321B,-2.00M,,AOR,Restated
2009-06,2.049B,-10.00M,-41.00M,-188.00M,-207.00M,302.00M,302.00M,-63.00M,54.00M,41.00M,,,613.00M,,2.789B,,-513.00M,25.00M,-488.00M,-61.00M,-11.00M,-5.00M,-565.00M,,-786.00M,-786.00M,64.00M,-4.00M,60.00M,,-949.00M,,-1.675B,,6.816B,549.00M,282.00M,7.647B,,64.00M,2.30B,-3.086B,-4.00M,,AOR,Restated
2009-03,1.359B,-5.00M,42.00M,-3.00M,108.00M,283.00M,283.00M,-20.00M,53.00M,100.00M,,,-1.01B,,873.00M,,-467.00M,7.00M,-460.00M,-142.00M,-6.00M,9.00M,-599.00M,,2.757B,2.757B,10.00M,0.00,10.00M,,-950.00M,,1.817B,,4.701B,2.091B,24.00M,6.816B,,10.00M,5.758B,-3.001B,0.00,,AOR,Restated
2008-12,1.005B,128.00M,-3.00M,490.00M,553.00M,285.00M,285.00M,-139.00M,43.00M,96.00M,,,60.00M,,1.903B,,-598.00M,83.00M,-515.00M,-79.00M,-32.00M,57.00M,-569.00M,,-2.068B,-2.068B,16.00M,0.00,16.00M,,-1.757B,,-3.809B,,7.797B,-2.475B,-621.00M,4.701B,,16.00M,-971.00M,-1.097B,0.00,,AOR,Restated
2008-09,1.915B,-17.00M,4.00M,-218.00M,-249.00M,306.00M,306.00M,1.00M,71.00M,23.00M,,,383.00M,,2.45B,,-474.00M,0.00,-474.00M,33.00M,-72.00M,-47.00M,-560.00M,,258.00M,258.00M,111.00M,-48.00M,63.00M,,-880.00M,,-559.00M,,6.571B,1.331B,-105.00M,7.797B,,111.00M,991.00M,-733.00M,-48.00M,,,Restated
2008-06,1.443B,-103.00M,-25.00M,978.00M,931.00M,330.00M,330.00M,-214.00M,77.00M,23.00M,,,-492.00M,,2.098B,,-510.00M,32.00M,-478.00M,-93.00M,-98.00M,-8.00M,-677.00M,,460.00M,460.00M,143.00M,-777.00M,-634.00M,,-884.00M,,-1.058B,,6.199B,363.00M,9.00M,6.571B,,143.00M,1.113B,-653.00M,-777.00M,,,Restated
2008-03,1.511B,-8.00M,-18.00M,-122.00M,-70.00M,307.00M,307.00M,-8.00M,75.00M,11.00M,,,-706.00M,,1.12B,,-386.00M,14.00M,-372.00M,-141.00M,-42.00M,-2.00M,-557.00M,,1.379B,1.379B,316.00M,-254.00M,62.00M,,0.00,,1.441B,,4.093B,2.004B,102.00M,6.199B,,316.00M,3.204B,-1.825B,-254.00M,,,Restated
2007-12,1.214B,,,,-171.00M,369.00M,369.00M,176.00M,,-142.00M,,-72.00M,-66.00M,,1.693B,,-557.00M,60.00M,-497.00M,-1.27B,-342.00M,2.00M,-2.107B,,,846.00M,606.00M,-139.00M,467.00M,,-1.574B,,-261.00M,,4.616B,-675.00M,152.00M,4.093B,,606.00M,,,-139.00M,,,Restated
2007-09,1.654B,,,,-153.00M,279.00M,279.00M,-23.00M,,38.00M,,367.00M,367.00M,,2.162B,,-321.00M,28.00M,-293.00M,-286.00M,20.00M,-7.00M,-566.00M,,,-187.00M,370.00M,-741.00M,-371.00M,,-788.00M,,-1.346B,,4.364B,250.00M,2.00M,4.616B,,370.00M,,,-741.00M,,,
2007-06,1.851B,,,,-106.00M,274.00M,274.00M,51.00M,,127.00M,,149.00M,149.00M,,2.346B,,-420.00M,62.00M,-358.00M,-2.882B,-20.00M,9.00M,-3.251B,,,2.05B,550.00M,-240.00M,310.00M,,-787.00M,,1.573B,,3.632B,668.00M,64.00M,4.364B,,550.00M,,,-240.00M,,,
2007-03,1.262B,,,,-91.00M,241.00M,241.00M,-95.00M,,76.00M,,-444.00M,-444.00M,,949.00M,,-350.00M,89.00M,-261.00M,-767.00M,237.00M,-4.00M,-795.00M,,,1.632B,93.00M,-718.00M,-625.00M,,,,1.007B,,2.44B,1.161B,31.00M,3.632B,,93.00M,,,-718.00M,,,
2006-12,678.00M,,,,471.00M,272.00M,272.00M,-3.00M,,139.00M,,177.00M,-234.00M,,1.323B,,-447.00M,40.00M,-407.00M,-117.00M,423.00M,-57.00M,-158.00M,,,373.00M,140.00M,-1.204B,-1.064B,,-1.451B,,-2.142B,,3.388B,-977.00M,29.00M,2.44B,,140.00M,,,-1.204B,,,
2006-09,1.46B,,,,-104.00M,233.00M,233.00M,-43.00M,,61.00M,,265.00M,265.00M,,1.872B,,-334.00M,21.00M,-313.00M,-499.00M,-35.00M,2.00M,-845.00M,,,-871.00M,7.00M,-47.00M,-40.00M,,-706.00M,,-1.617B,,4.004B,-590.00M,-26.00M,3.388B,,7.00M,,,-47.00M,,,
2006-06,1.836B,,,,-307.00M,224.00M,224.00M,39.00M,,176.00M,,87.00M,87.00M,,2.055B,,-370.00M,39.00M,-331.00M,-42.00M,183.00M,-4.00M,-194.00M,,,-832.00M,0.00,-656.00M,-656.00M,,-754.00M,,-2.242B,,4.364B,-381.00M,21.00M,4.004B,,0.00,,,-656.00M,,,
2006-03,1.106B,,,,153.00M,209.00M,209.00M,-28.00M,,,,-733.00M,-733.00M,,707.00M,,-256.00M,12.00M,-244.00M,-243.00M,-13.00M,-3.00M,-503.00M,,,-74.00M,1.00M,-509.00M,-508.00M,,,,-582.00M,,4.701B,-378.00M,41.00M,4.364B,,1.00M,,,-509.00M,,,
2005-12,864.00M,,,,65.00M,256.00M,256.00M,-14.00M,,,,-458.00M,-28.00M,,1.143B,,-266.00M,0.00,-266.00M,-2.00M,27.00M,-38.00M,-279.00M,,,556.00M,93.00M,-460.00M,-367.00M,,-1.332B,,-1.143B,,4.951B,-279.00M,29.00M,4.701B,,93.00M,,,-460.00M,,,
2005-09,1.283B,,,,71.00M,227.00M,227.00M,-115.00M,,,,280.00M,280.00M,,1.746B,,-257.00M,62.00M,-195.00M,-364.00M,-51.00M,41.00M,-569.00M,,,-635.00M,86.00M,-538.00M,-452.00M,,-15.00M,,-1.102B,,4.952B,75.00M,-76.00M,4.951B,,86.00M,,,-538.00M,,,
2005-06,1.723B,,,,-74.00M,223.00M,223.00M,46.00M,,,,244.00M,244.00M,,2.162B,,-211.00M,12.00M,-199.00M,-264.00M,-9.00M,-17.00M,-489.00M,,,-2.021B,42.00M,-961.00M,-919.00M,,-671.00M,,-3.611B,,6.965B,-1.938B,-75.00M,4.952B,,42.00M,,,-961.00M,,,
2005-03,1.002B,,,,215.00M,226.00M,226.00M,-5.00M,,,,-66.00M,-66.00M,,1.372B,,-165.00M,14.00M,-151.00M,-7.00M,13.00M,-14.00M,-159.00M,,,-182.00M,9.00M,-96.00M,-87.00M,,-660.00M,,-929.00M,,6.707B,284.00M,-26.00M,6.965B,,9.00M,,,-96.00M,,,
