,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2004-03,5.078B,5.078B,1.753B,3.325B,,,1.874B,-25.00M,,,,,1.874B,1.451B,,,,70.00M,,1.512B,385.00M,1.127B,,,,,1.127B,1.146B,1.664B,213.00M,1.451B,,0.23,0.00,,0.2338,0.23,,0.23,0.00,,0.2338,0.23,,4.88B,4.888B,0.125,,,
2003-12,5.176B,5.176B,1.85B,3.326B,,,2.234B,-39.00M,,,,,2.234B,1.092B,,,,42.00M,,1.124B,197.00M,927.00M,,,,,927.00M,959.16M,1.32B,228.00M,1.092B,,0.19,0.00,,0.1966,0.19,,0.19,0.00,,0.1966,0.19,,4.90B,4.906B,0.11,,,
2003-09,5.671B,5.671B,2.168B,3.503B,,,2.052B,-34.00M,,,,,2.052B,1.451B,,,,52.00M,,1.498B,275.00M,1.223B,,,,,1.223B,1.251B,1.662B,211.00M,1.451B,,0.25,0.00,,0.2557,0.25,,0.25,0.00,,0.2556,0.25,,4.91B,4.916B,0.11,,,
2003-06,5.695B,5.695B,2.127B,3.568B,,,1.966B,-44.00M,,,,,1.966B,1.602B,,,,146.00M,,1.75B,388.00M,1.362B,,,,,1.362B,1.396B,1.815B,213.00M,1.602B,,0.275,0.00,,0.2820,0.275,,0.275,0.00,,0.2819,0.275,,4.926B,4.932B,0.11,,,
2003-03,4.502B,4.502B,1.617B,2.885B,,,1.809B,-13.00M,,,,,1.809B,1.076B,,,,36.00M,,1.123B,288.00M,835.00M,,,,,835.00M,844.67M,1.274B,198.00M,1.076B,,0.17,0.00,,0.1720,0.17,,0.17,0.00,,0.1720,0.17,,4.938B,4.944B,0.11,,,
2002-12,4.795B,4.795B,1.701B,3.094B,,,1.804B,-61.00M,,,,,1.804B,1.29B,,,,-27.00M,,1.273B,343.00M,930.00M,,0.00,,,930.00M,974.56M,1.497B,207.00M,1.29B,,0.185,0.00,0.00,0.1940,0.185,,0.185,0.00,-0.0001,0.1940,0.185,,4.95B,4.954B,0.10,,,
2002-09,5.322B,5.322B,2.083B,3.239B,,,1.789B,-62.00M,,,,,1.789B,1.45B,,,,51.00M,,1.495B,404.00M,1.091B,,,,,1.091B,1.136B,1.651B,201.00M,1.45B,,0.22,0.00,,0.2291,0.22,,0.22,0.00,,0.2291,0.22,,4.956B,4.966B,0.10,,,
2002-06,5.368B,5.368B,1.927B,3.441B,,,1.789B,-55.00M,,,,,1.789B,1.652B,,,,121.00M,,1.767B,477.00M,1.29B,,,,,1.29B,1.330B,1.855B,203.00M,1.652B,,0.26,0.00,,0.2681,0.26,,0.26,0.00,,0.2681,0.26,,4.962B,4.976B,0.10,,,
2002-03,4.079B,4.079B,1.394B,2.685B,,,1.432B,-175.00M,,,,,1.432B,1.253B,,,,-114.00M,,1.151B,350.00M,801.00M,,-926.00M,,,-125.00M,922.79M,1.448B,195.00M,1.253B,,0.16,-0.185,0.00,0.1845,-0.025,,0.16,-0.185,-0.1863,0.1845,-0.025,,4.97B,4.97B,0.10,,,
2001-12,4.238B,4.238B,1.428B,2.81B,,,1.562B,16.00M,,,,,1.562B,1.248B,,,,1.00M,,1.292B,378.00M,914.00M,,0.00,,,914.00M,902.68M,1.48B,232.00M,1.248B,,0.185,0.00,0.00,0.1827,0.185,,0.185,0.00,0.00,0.1827,0.185,,4.974B,4.974B,0.09,,,
2001-09,4.695B,4.695B,1.692B,3.003B,,,1.692B,117.00M,,,,,1.692B,1.311B,,,,221.00M,,1.534B,460.00M,1.074B,,,,,1.074B,992.08M,1.497B,186.00M,1.311B,,0.215,0.00,,0.1985,0.215,,0.215,0.00,,0.1985,0.215,,4.976B,4.976B,0.09,,,
2001-06,5.293B,5.293B,1.579B,3.714B,,,2.201B,-18.00M,,,,,2.201B,1.513B,,,,83.00M,,1.597B,479.00M,1.118B,,,,,1.118B,1.131B,1.712B,199.00M,1.513B,,0.225,0.00,,0.2275,0.225,,0.225,0.00,,0.2275,0.225,,4.976B,4.976B,0.09,,,
2001-03,4.479B,4.479B,1.345B,3.134B,,,1.854B,15.00M,,,,,1.854B,1.28B,,,,-23.00M,,1.247B,374.00M,873.00M,,-10.00M,,,863.00M,862.50M,1.466B,186.00M,1.28B,,0.175,0.00,0.00,0.1729,0.175,,0.175,0.00,-0.0020,0.1729,0.175,,4.972B,4.98B,0.09,,,
2000-12,4.733B,4.733B,1.393B,3.34B,,,2.501B,-52.00M,,,,,2.501B,839.00M,,,,-341.00M,,477.00M,235.00M,242.00M,,,,,242.00M,273.20M,1.04B,201.00M,839.00M,,0.05,0.00,,0.0563,0.05,,0.05,0.00,,0.0562,0.05,,4.966B,4.992B,0.085,,,
2000-09,5.413B,5.413B,1.736B,3.677B,,,2.35B,184.00M,,,,,2.35B,1.327B,,,,184.00M,,1.483B,416.00M,1.067B,,,,,1.067B,934.61M,1.456B,129.00M,1.327B,,0.215,0.00,,0.1883,0.215,,0.215,0.00,,0.1884,0.215,,4.956B,4.978B,0.085,,,
2000-06,5.487B,5.487B,1.868B,3.619B,,,2.334B,7.00M,,,,,2.334B,1.285B,,,,78.00M,,1.342B,416.00M,926.00M,,,,,926.00M,921.17M,1.511B,226.00M,1.285B,,0.185,0.00,,0.1840,0.185,,0.185,0.00,,0.1840,0.185,,4.95B,4.96B,0.085,,,
2000-03,4.256B,4.256B,1.398B,2.858B,,,2.618B,-111.00M,,,,,2.618B,240.00M,,,,-111.00M,,97.00M,155.00M,-58.00M,,,,,-58.00M,8.60M,457.00M,217.00M,240.00M,,-0.01,0.00,,0.0035,-0.01,,-0.01,0.00,,0.0035,-0.01,,4.944B,4.944B,0.085,,,
1999-12,4.41B,4.41B,2.073B,2.337B,,,2.597B,88.00M,,,,,1.988B,349.00M,,,,-96.00M,,230.00M,275.00M,-45.00M,,,,,-45.00M,-97.80M,532.00M,183.00M,349.00M,,-0.01,0.00,,-0.0208,-0.01,,-0.01,0.00,,-0.0205,-0.01,,4.896B,5.04B,0.08,,,
1999-09,5.139B,5.139B,1.441B,3.698B,,,2.39B,69.00M,,,,,2.599B,1.099B,,,,69.00M,,1.141B,354.00M,787.00M,,,,,787.00M,739.41M,1.308B,209.00M,1.099B,,0.16,0.00,,0.1503,0.16,,0.16,0.00,,0.1503,0.16,,4.919B,4.919B,0.08,,,
1999-06,5.335B,5.335B,1.592B,3.743B,,,2.353B,-10.00M,,,,,2.353B,1.39B,,,,-10.00M,,1.366B,424.00M,942.00M,,,,,942.00M,948.90M,1.605B,215.00M,1.39B,,0.19,0.00,,0.1914,0.19,,0.19,0.00,,0.1914,0.19,,4.958B,4.958B,0.08,,,
1999-03,4.428B,4.428B,1.146B,3.282B,,,1.953B,-49.00M,,,,,2.138B,1.144B,,,,-49.00M,,1.082B,335.00M,747.00M,,,,,747.00M,780.83M,1.329B,185.00M,1.144B,,0.15,0.00,,0.1569,0.15,,0.15,0.00,,0.1568,0.15,,4.932B,4.974B,0.08,,,
1998-12,4.458B,4.458B,1.198B,3.26B,,,2.149B,-52.00M,,,,,2.323B,937.00M,,,,-52.00M,,865.00M,268.00M,597.00M,,,,,597.00M,632.89M,1.111B,174.00M,937.00M,,0.12,0.00,,0.1273,0.12,,0.12,0.00,,0.1272,0.12,,4.928B,4.98B,0.075,,,
1998-09,4.747B,4.747B,1.295B,3.452B,,,2.064B,66.00M,,,,,2.215B,1.237B,,,,66.00M,,1.287B,399.00M,888.00M,,,,,888.00M,842.46M,1.388B,151.00M,1.237B,,0.18,0.00,,0.1708,0.18,,0.18,0.00,,0.1709,0.18,,4.928B,4.984B,0.075,,,
1998-06,5.151B,5.151B,1.331B,3.82B,,,2.141B,304.00M,,,,,2.309B,1.511B,,,,304.00M,,1.803B,612.00M,1.191B,,,,,1.191B,990.19M,1.679B,168.00M,1.511B,,0.24,0.00,,0.1993,0.24,,0.24,0.00,,0.1999,0.24,,4.938B,5.002B,0.075,,,
1998-03,4.457B,4.457B,1.166B,3.291B,,,1.857B,-29.00M,,,,,2.009B,1.282B,,,,-29.00M,,1.243B,386.00M,857.00M,,,,,857.00M,876.99M,1.434B,152.00M,1.282B,,0.175,0.00,,0.1790,0.175,,0.17,0.00,,0.1740,0.17,,4.942B,5.004B,0.075,,,
1997-12,4.701B,4.701B,1.276B,3.425B,,,2.076B,81.00M,,,,,2.252B,1.173B,,,,81.00M,,1.184B,367.00M,817.00M,,,,,817.00M,761.11M,1.349B,176.00M,1.173B,,0.165,0.00,,0.1537,0.165,,0.165,0.00,,0.1539,0.165,,4.942B,5.018B,0.07,,,
1997-09,4.954B,4.954B,1.51B,3.444B,,,2.052B,320.00M,,,,,2.201B,1.243B,,,,320.00M,,1.505B,494.00M,1.011B,,,,,1.011B,796.04M,1.392B,149.00M,1.243B,,0.205,0.00,,0.1616,0.205,,0.20,0.00,,0.1573,0.20,,4.956B,5.03B,0.07,,,
1997-06,5.075B,5.075B,1.446B,3.629B,,,2.023B,554.00M,,,,,2.186B,1.443B,,,,554.00M,,1.935B,621.00M,1.314B,,,,,1.314B,937.80M,1.606B,163.00M,1.443B,,0.265,0.00,,0.1892,0.265,,0.26,0.00,,0.1853,0.26,,4.96B,5.038B,0.07,,,
1997-03,4.138B,4.138B,1.157B,2.981B,,,1.701B,357.00M,,,,,1.839B,1.142B,,,,357.00M,,1.431B,444.00M,987.00M,,,,,987.00M,740.77M,1.28B,138.00M,1.142B,,0.20,0.00,,0.1504,0.20,,0.195,0.00,,0.1461,0.195,,4.96B,5.038B,0.07,,,
1996-12,4.57B,4.57B,1.215B,3.355B,,,2.036B,134.00M,,,,,2.309B,1.046B,,,,134.00M,,1.104B,342.00M,762.00M,,,,,762.00M,669.51M,1.319B,273.00M,1.046B,,0.155,0.00,,0.1364,0.155,,0.15,0.00,,0.1322,0.15,,4.97B,5.202B,0.0625,,,
1996-09,4.656B,4.656B,1.689B,2.967B,,,2.388B,550.00M,,,,,2.513B,454.00M,,,,550.00M,,937.00M,-30.00M,967.00M,,,,,967.00M,637.00M,579.00M,125.00M,454.00M,,0.195,0.00,,0.1288,0.195,,0.19,0.00,,0.1238,0.19,,4.984B,4.984B,0.0625,,,
1996-06,5.286B,5.286B,1.783B,3.503B,,,1.998B,211.00M,,,,,2.121B,1.382B,,,,211.00M,,1.522B,472.00M,1.05B,,,,,1.05B,904.43M,1.505B,123.00M,1.382B,,0.21,0.00,,0.1809,0.21,,0.21,0.00,,0.1809,0.21,,5.00B,5.00B,0.0625,,,
1996-03,4.194B,4.194B,1.418B,2.776B,,,1.631B,72.00M,,,,,1.743B,1.033B,,,,72.00M,,1.033B,320.00M,713.00M,,,,,713.00M,663.30M,1.145B,112.00M,1.033B,,0.14,0.00,,0.1301,0.14,,0.14,0.00,,0.1301,0.14,,5.006B,5.006B,0.0625,,,
1995-12,4.442B,4.442B,1.445B,2.997B,,,1.889B,122.00M,,,,,2.114B,883.00M,,,,122.00M,,925.00M,277.00M,648.00M,,,,,648.00M,562.53M,1.108B,225.00M,883.00M,,0.125,0.00,,0.1079,0.125,,0.12,0.00,,0.1036,0.12,,5.008B,5.20B,0.055,,,
1995-09,4.895B,4.895B,1.831B,3.064B,,,1.94B,228.00M,,,,,2.058B,1.006B,,,,228.00M,,1.168B,366.00M,802.00M,,,,,802.00M,645.45M,1.124B,118.00M,1.006B,,0.16,0.00,,0.1289,0.16,,0.16,0.00,,0.1289,0.16,,5.036B,5.036B,0.055,,,
1995-06,4.936B,4.936B,1.767B,3.169B,,,1.802B,115.00M,,,,,1.911B,1.258B,,,,115.00M,,1.304B,406.00M,898.00M,,,,,898.00M,818.81M,1.367B,109.00M,1.258B,,0.18,0.00,,0.1643,0.18,,0.18,0.00,,0.1643,0.18,,5.06B,5.06B,0.055,,,
1995-03,3.854B,3.854B,1.335B,2.519B,,,1.53B,109.00M,,,,,1.64B,879.00M,,,,109.00M,,931.00M,293.00M,638.00M,,,,,638.00M,563.30M,989.00M,110.00M,879.00M,,0.125,0.00,,0.1103,0.125,,0.125,0.00,,0.1103,0.125,,5.088B,5.088B,0.055,,,
1994-12,4.017B,4.017B,1.378B,2.639B,,,1.653B,17.00M,,,,,1.773B,866.00M,,,,17.00M,,828.00M,261.00M,567.00M,,,,,567.00M,555.36M,986.00M,120.00M,866.00M,,0.11,0.00,,0.1077,0.11,,0.11,0.00,,0.1077,0.11,,5.124B,5.172B,0.0488,,,
1994-09,4.461B,4.461B,1.662B,2.799B,,,1.701B,84.00M,,,,,1.799B,1.00B,,,,84.00M,,1.033B,325.00M,708.00M,,,,,708.00M,650.43M,1.098B,98.00M,1.00B,,0.14,0.00,,0.1288,0.14,,0.14,0.00,,0.1288,0.14,,5.156B,5.156B,0.0488,,,
1994-06,4.342B,4.342B,1.565B,2.777B,,,1.605B,87.00M,,,,,1.707B,1.07B,,,,87.00M,,1.107B,349.00M,758.00M,,,,,758.00M,698.43M,1.172B,102.00M,1.07B,,0.15,0.00,,0.1385,0.15,,0.15,0.00,,0.1385,0.15,,5.168B,5.168B,0.0488,,,
1994-03,3.352B,3.352B,1.151B,2.201B,,,1.338B,31.00M,,,,,1.429B,772.00M,,,,31.00M,,760.00M,239.00M,521.00M,,,,,521.00M,499.75M,863.00M,91.00M,772.00M,,0.10,0.00,,0.0959,0.10,,0.10,0.00,,0.0959,0.10,,5.184B,5.184B,0.0488,,,
1993-12,3.373B,3.373B,1.163B,2.21B,,,1.476B,86.00M,,,,,1.573B,637.00M,,,,86.00M,,679.00M,213.00M,466.00M,,,,,454.00M,406.98M,734.00M,97.00M,637.00M,,0.09,0.00,,0.0784,0.09,,0.085,0.00,,0.0739,0.085,,5.069B,5.319B,0.0425,,,
1993-09,3.629B,3.629B,1.165B,2.464B,,,1.457B,79.00M,,,,,1.635B,829.00M,,,,79.00M,,870.00M,280.00M,590.00M,,,,,590.00M,536.43M,1.007B,90.00M,829.00M,,0.115,0.00,,0.1046,0.115,,0.115,0.00,,0.1046,0.115,,5.130B,5.130B,0.0425,,,
1993-06,3.899B,3.899B,1.379B,2.52B,,,1.476B,61.00M,,,,,1.561B,959.00M,,,,61.00M,,980.00M,302.00M,678.00M,,,,,678.00M,635.80M,1.044B,85.00M,959.00M,,0.13,0.00,,0.1219,0.13,,0.13,0.00,,0.1219,0.13,,5.215B,5.215B,0.0425,,,
1993-03,3.056B,3.056B,1.005B,2.051B,,,1.286B,25.00M,,,,,1.374B,677.00M,,,,25.00M,,656.00M,202.00M,454.00M,,,,,454.00M,436.70M,765.00M,88.00M,677.00M,,0.09,0.00,,0.0866,0.09,,0.09,0.00,,0.0866,0.09,,5.044B,5.044B,0.0425,,,
1992-12,3.244B,3.244B,1.191B,2.053B,,,1.397B,12.60M,,,,,1.470B,583.30M,,,,12.60M,,552.70M,173.60M,379.10M,,,,,159.70M,370.46M,656.30M,73.00M,583.30M,,0.03,0.00,,0.0284,0.03,,0.025,0.00,,0.0235,0.025,,5.296B,5.637B,0.035,,,
1992-09,3.508B,3.508B,1.296B,2.211B,,,1.351B,58.90M,,,,,1.440B,771.00M,,,,58.90M,,788.00M,247.40M,540.60M,,,,,540.60M,500.19M,860.00M,89.00M,771.00M,,0.105,0.00,,0.0972,0.105,,0.105,0.00,,0.0972,0.105,,5.149B,5.149B,0.035,,,
1992-06,3.550B,3.550B,1.287B,2.263B,,,1.340B,54.60M,,,,,1.427B,836.50M,,,,54.60M,,846.90M,265.90M,581.00M,,,,,581.00M,543.54M,923.00M,86.50M,836.50M,,0.11,0.00,,0.1029,0.11,,0.11,0.00,,0.1029,0.11,,5.282B,5.282B,0.035,,,
1992-03,2.772B,2.772B,958.10M,1.814B,,,1.161B,21.30M,,,,,1.234B,579.40M,,,,21.30M,,558.50M,175.40M,383.10M,,,,,383.10M,368.49M,652.80M,73.40M,579.40M,,0.075,0.00,,0.0721,0.075,,0.075,0.00,,0.0721,0.075,,5.108B,5.108B,0.035,,,
1991-12,2.879B,2.879B,1.175B,1.704B,,,1.201B,103.40M,,,,,1.217B,487.10M,,,,103.40M,,547.10M,188.70M,358.40M,,,,0.00,358.40M,290.66M,503.10M,16.00M,487.10M,,0.065,0.00,,0.0526,0.065,,0.06,0.00,,0.0484,0.06,,5.474B,5.828B,0.03,,,
1991-09,3.172B,3.172B,1.231B,1.941B,,,1.220B,60.90M,,,,,1.296B,644.70M,,,,60.90M,,665.20M,208.90M,456.30M,,,,,456.30M,414.53M,720.90M,76.20M,644.70M,,0.09,0.00,,0.0818,0.09,,0.09,0.00,,0.0818,0.09,,5.07B,5.07B,0.03,,,
1991-06,3.040B,3.040B,1.114B,1.925B,,,1.160B,63.90M,,,,,1.232B,693.20M,,,,63.90M,,703.20M,220.80M,482.40M,,,,,482.40M,438.56M,764.80M,71.50M,693.20M,,0.09,0.00,,0.0818,0.09,,0.09,0.00,,0.0818,0.09,,5.36B,5.36B,0.03,,,
1991-03,2.481B,2.481B,866.40M,1.615B,,,1.023B,28.50M,,,,,1.121B,494.00M,,,,28.50M,,467.80M,146.90M,320.90M,,,,0.50M,320.90M,301.35M,591.70M,97.70M,494.00M,,0.06,0.00,,0.0563,0.06,,0.06,0.00,,0.0563,0.06,,5.34B,5.34B,0.03,,,
1990-12,2.556B,2.556B,1.003B,1.554B,,,1.059B,59.60M,,,,,1.132B,421.50M,,,,59.60M,,429.00M,134.70M,294.30M,,,,3.70M,294.30M,253.41M,494.20M,72.70M,421.50M,,0.055,0.00,,0.0473,0.055,,0.05,0.00,,0.0429,0.05,,5.295B,5.723B,0.025,,,
1990-09,2.793B,2.793B,1.110B,1.683B,,,1.113B,115.50M,,,,,1.170B,512.50M,,,,115.50M,,574.60M,180.40M,394.20M,,,,4.80M,394.20M,314.96M,572.20M,59.70M,512.50M,,0.075,0.00,,0.0597,0.075,,0.075,0.00,,0.0597,0.075,,5.192B,5.192B,0.025,,,
1990-06,2.739B,2.739B,1.044B,1.695B,,,1.060B,70.30M,,,,,1.116B,579.70M,,,,70.30M,,597.50M,187.60M,409.90M,,,,4.90M,409.90M,361.67M,635.50M,50.10M,579.70M,,0.08,0.00,,0.0705,0.08,,0.08,0.00,,0.0705,0.08,,5.062B,5.062B,0.025,,,
1990-03,2.148B,2.148B,805.10M,1.343B,,,843.80M,48.40M,,,,,905.20M,438.00M,,,,48.40M,,413.20M,129.70M,283.50M,,,,4.90M,283.50M,250.29M,499.40M,61.40M,438.00M,,0.055,0.00,,0.0484,0.055,,0.055,0.00,,0.0484,0.055,,5.065B,5.065B,0.025,,,
1989-12,2.249B,2.249B,968.50M,1.280B,,,849.90M,39.60M,,,,,898.60M,381.80M,,,,39.60M,,342.80M,116.60M,226.20M,,,,5.10M,247.70M,200.07M,430.50M,48.70M,381.80M,,0.0450,,,0.0401,0.0450,,0.0450,0.00,,0.0401,0.0450,,5.392B,5.392B,0.0212,,,
1989-09,2.303B,2.303B,950.90M,1.352B,,,848.30M,162.00M,,,,,893.30M,458.40M,,,,162.00M,,531.30M,170.00M,361.30M,,,,5.20M,361.30M,251.14M,504.60M,46.20M,458.40M,,0.065,0.00,,0.0449,0.065,,0.065,0.00,,0.0449,0.065,,5.478B,5.478B,0.0212,,,
1989-06,2.429B,2.429B,1.002B,1.427B,,,883.90M,88.00M,,,,,928.40M,498.80M,,,,88.00M,,508.10M,162.60M,345.50M,,,,5.70M,345.50M,285.66M,543.30M,44.40M,498.80M,,0.065,0.00,,0.0536,0.065,,0.065,0.00,,0.0536,0.065,,5.228B,5.228B,0.0212,,,
1989-03,1.985B,1.985B,788.00M,1.197B,,,765.70M,56.90M,,,,,810.20M,387.00M,,,,56.90M,,382.10M,122.30M,259.80M,,,,5.40M,259.80M,221.11M,431.50M,44.50M,387.00M,,0.045,0.00,,0.0382,0.045,,0.045,0.00,,0.0382,0.045,,5.653B,5.653B,0.0212,,,
1988-12,2.027B,2.027B,,,,,,,,,,,,-4.713B,,,,,,,,235.50M,,,,,235.50M,,-4.713B,,-4.713B,,,,,,,,,,,,,,5.677B,5.677B,0.0188,,,
1988-09,2.128B,2.128B,,,,,,,,,,,,2.128B,,,,,,,,295.60M,,,,,295.60M,,2.128B,,2.128B,,0.055,0.00,,0.055,0.055,,0.055,0.00,,0.055,0.055,,5.744B,5.744B,0.0188,,,
1988-06,2.314B,2.314B,,,,,,,,,,,,2.314B,,,,,,,,303.10M,,,,,303.10M,,2.314B,,2.314B,,0.055,0.00,,0.055,0.055,,0.055,0.00,,0.055,0.055,,5.912B,5.912B,0.0188,,,
1988-03,1.869B,1.869B,,,,,,,,,,,,1.869B,,,,,,,,210.50M,,,,,210.50M,,1.869B,,1.869B,,0.04,0.00,,0.04,0.04,,0.04,0.00,,0.04,0.04,,5.910B,5.910B,0.0188,,,
1987-12,1.992B,1.992B,,,,,,,,,,,,-4.306B,,,,,,,,192.90M,,,,,192.90M,,-4.306B,,-4.306B,,,,,,,,,,,,,,5.958B,5.958B,0.0175,,,
1987-09,2.014B,2.014B,,,,,,,,,,,,2.014B,,,,,,,,271.40M,,,,,271.40M,,2.014B,,2.014B,,0.045,0.00,,0.045,0.045,,0.045,0.00,,0.045,0.045,,6.032B,6.032B,0.0175,,,
1987-06,2.104B,2.104B,,,,,,,,,,,,2.104B,,,,,,,,266.40M,,,,,266.40M,,2.104B,,2.104B,,0.045,0.00,,0.045,0.045,,0.045,0.00,,0.045,0.045,,6.048B,6.048B,0.0175,,,
1987-03,1.548B,1.548B,,,,,,,,,,,,1.548B,,,,,,,,185.40M,,,,,185.40M,,1.548B,,1.548B,,0.035,0.00,,0.035,0.035,,0.035,0.00,,0.035,0.035,,6.191B,6.191B,0.0175,,,
1986-12,2.155B,2.155B,,,,,,,,,,,,-5.368B,,,,,,,,314.50M,,,,,314.50M,,-5.368B,,-5.368B,,,,,,,,,,,,,,6.160B,6.160B,0.0162,,,
1986-09,2.534B,2.534B,,,,,,,,,,,,2.534B,,,,,,,,233.10M,,,,,233.10M,,2.534B,,2.534B,,0.04,0.00,,0.04,0.04,,0.04,0.00,,0.04,0.04,,6.191B,6.191B,0.0162,,,
1986-06,2.245B,2.245B,,,,,,,,,,,,2.245B,,,,,,,,225.50M,,,,,225.50M,,2.245B,,2.245B,,0.04,0.00,,0.04,0.04,,0.04,0.00,,0.04,0.04,,6.187B,6.187B,0.0163,,,
1986-03,1.735B,1.735B,,,,,,,,,,,,1.735B,,,,,,,,161.20M,,,,,161.20M,,1.735B,,1.735B,,0.03,0.00,,0.03,0.03,,0.03,0.00,,0.03,0.03,,6.285B,6.285B,0.0163,,,
1985-12,1.937B,1.937B,,,,,,,,,,,,-4.922B,,,,,,,,144.70M,,,,,144.70M,,-4.922B,,-4.922B,,,,,,,,,,,,,,6.182B,6.182B,,,,
1985-09,2.173B,2.173B,,,,,,,,,,,,2.173B,,,,,,,,195.70M,,,,,195.70M,,2.173B,,2.173B,,0.035,0.00,,0.035,0.035,,0.035,0.00,,0.035,0.035,,6.296B,6.296B,,,,
1985-06,2.038B,2.038B,,,,,,,,,,,,2.038B,,,,,,,,196.10M,,,,,196.10M,,2.038B,,2.038B,,0.035,0.00,,0.035,0.035,,0.035,0.00,,0.035,0.035,,6.286B,6.286B,,,,
1985-03,1.756B,1.756B,,,,,,,,,,,,1.756B,,,,,,,,141.20M,,,,,141.20M,,1.756B,,1.756B,,0.025,0.00,,0.025,0.025,,0.025,0.00,,0.025,0.025,,6.286B,6.286B,,,,
1984-12,1.784B,1.784B,,,,,,,,,,,,-4.523B,,,,,,,,130.40M,,,,,130.40M,,-4.523B,,-4.523B,,,,,,,,,,,,,,6.286B,6.286B,,,,
1984-09,2.074B,2.074B,,,,,,,,,,,,2.074B,,,,,,,,175.30M,,,,,175.30M,,2.074B,,2.074B,,0.03,0.00,,0.03,0.03,,0.03,0.00,,0.03,0.03,,6.363B,6.363B,,,,
1984-06,1.926B,1.926B,,,,,,,,,,,,1.926B,,,,,,,,185.00M,,,,,185.00M,,1.926B,,1.926B,,0.03,0.00,,0.03,0.03,,0.03,0.00,,0.03,0.03,,6.363B,6.363B,,,,
1984-03,1.580B,1.580B,,,,,,,,,,,,1.580B,,,,,,,,138.00M,,,,,138.00M,,1.580B,,1.580B,,0.025,0.00,,0.025,0.025,,0.025,0.00,,0.025,0.025,,6.363B,6.363B,,,,
