,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2017-12,40.47B,40.47B,39.35B,1.113B,558.52M,64.91M,40.23M,-53.79M,37.38M,1.519M,-35.86M,,663.66M,448.99M,1.519M,37.38M,-35.86M,-54.11M,-35.86M,359.02M,-502.83M,861.85M,,,0.00,861.85M,894.13M,508.13M,111.72M,396.40M,3.95,,,,4.098,3.95,3.9,,,,4.046,3.9,218.32M,220.82M,0.38
2017-09,39.12B,39.12B,37.95B,1.172B,560.88M,64.02M,40.32M,-641.81M,36.15M,0.842M,-35.31M,,665.21M,506.81M,0.842M,36.15M,-35.31M,-643.04M,-35.31M,-171.54M,173.05M,-344.59M,,,,-344.59M,40.50M,-23.32M,112.07M,-135.39M,-1.35,,,,0.4125,-1.35,-1.35,,,,0.39,-1.35,218.49M,221.31M,0.365
2017-06,38.71B,38.71B,37.63B,1.080B,525.46M,59.48M,40.04M,-284.52M,37.02M,1.414M,-35.60M,,624.98M,454.89M,1.414M,37.02M,-35.60M,-285.92M,-35.60M,133.38M,83.02M,50.35M,,,,50.35M,221.06M,278.27M,107.88M,170.39M,0.23,,,,1.011,0.23,0.23,,,,0.9994,0.23,218.68M,221.87M,0.365
2017-03,37.15B,37.15B,35.89B,1.256B,521.84M,57.75M,39.92M,-11.93M,37.88M,0.586M,-37.30M,,619.51M,636.92M,0.586M,37.88M,-37.30M,-6.701M,-37.30M,592.92M,181.44M,411.47M,,,0.00,411.47M,419.76M,736.93M,106.13M,630.80M,1.89,,,,1.9280000000000002,1.89,1.86,,,,1.8969999999999998,1.86,217.65M,221.22M,0.365
2016-12,38.17B,38.17B,37.13B,1.038B,520.55M,55.85M,40.23M,-21.07M,37.99M,1.015M,-36.97M,,616.63M,421.05M,1.015M,37.99M,-36.97M,-20.94M,-36.97M,363.14M,115.89M,247.25M,,,,247.25M,261.59M,507.38M,106.25M,401.12M,1.13,,,,1.196,1.13,1.11,,,,1.175,1.11,218.66M,221.98M,0.365
2016-09,37.56B,37.56B,36.44B,1.125B,530.26M,54.38M,40.29M,-14.19M,36.51M,1.458M,-35.05M,,624.92M,499.61M,1.458M,36.51M,-35.05M,-272.98M,-35.05M,191.57M,45.89M,145.68M,,,,145.68M,354.67M,331.54M,103.45M,228.08M,0.62,,,,1.574,0.62,0.62,,,,1.541,0.62,219.13M,226.90M,0.34
2016-06,36.88B,36.88B,35.77B,1.108B,516.44M,54.00M,40.27M,-52.23M,36.68M,1.525M,-35.15M,,610.71M,497.16M,1.525M,36.68M,-35.15M,33.63M,-35.15M,495.63M,146.48M,349.16M,,,,349.16M,327.00M,632.80M,100.48M,532.31M,1.62,,,,1.517,1.62,1.55,,,,1.4509999999999998,1.55,215.69M,224.80M,0.34
2016-03,35.70B,35.70B,34.62B,1.075B,519.47M,53.00M,39.84M,-16.49M,36.71M,0.746M,-35.97M,,612.30M,463.03M,0.746M,36.71M,-35.97M,488.21M,-35.97M,915.27M,311.82M,603.45M,,,,603.45M,282.22M,1.051B,99.06M,951.98M,2.9,,,,1.355,2.9,2.68,,,,1.255,2.68,207.86M,225.45M,0.34
2015-12,36.71B,36.71B,35.74B,964.88M,525.08M,50.87M,32.10M,-67.60M,34.45M,0.708M,-33.74M,,608.04M,356.84M,0.708M,34.45M,-33.74M,-534.66M,-33.74M,-211.57M,-541.21M,329.64M,,,,329.64M,650.62M,-87.95M,89.17M,-177.12M,1.6,,,,3.157,1.6,1.45,,,,2.866,1.45,206.18M,226.72M,0.34
2015-09,35.47B,35.47B,34.50B,973.57M,546.16M,54.39M,20.31M,-37.52M,37.12M,,-38.96M,,620.86M,352.71M,,37.12M,-38.96M,156.56M,-38.96M,470.31M,109.30M,361.01M,,,,361.01M,238.98M,585.60M,78.18M,507.43M,1.72,,,,1.145,1.72,1.56,,,,0.9846,1.56,212.08M,212.08M,0.29
2015-06,34.23B,34.23B,33.34B,891.46M,502.74M,48.28M,20.15M,-2.625M,30.65M,0.861M,-29.79M,,571.17M,320.29M,0.861M,30.65M,-29.79M,13.81M,-29.79M,304.31M,90.14M,214.16M,,,,214.16M,205.52M,404.94M,69.98M,334.96M,0.98,,,,0.9406,0.98,0.89,,,,0.854,0.89,219.36M,240.24M,0.29
2015-03,32.67B,32.67B,31.76B,911.98M,442.44M,45.70M,10.51M,-24.87M,23.37M,0.428M,-22.95M,,498.65M,413.33M,0.428M,23.37M,-22.95M,-788.98M,-22.95M,-398.60M,114.79M,-513.39M,,,,-513.39M,-46.84M,-318.57M,56.66M,-375.23M,-2.33,,,,-0.2117,-2.33,-2.33,,,,-0.2117,-2.33,220.24M,220.24M,0.29
2014-12,33.59B,33.59B,32.84B,752.30M,416.49M,43.77M,5.524M,-3.503M,17.89M,0.549M,-17.34M,,465.79M,286.51M,0.549M,17.89M,-17.34M,-376.22M,-17.34M,-107.05M,92.89M,-199.95M,,,,-199.95M,43.74M,-37.99M,51.17M,-89.16M,-0.91,,,,0.2004,-0.91,-0.91,,,,0.2004,-0.91,219.46M,219.46M,0.29
2014-09,31.59B,31.59B,30.72B,872.54M,452.65M,46.55M,6.351M,-0.781M,24.73M,0.304M,-24.42M,,505.55M,366.99M,0.304M,24.73M,-24.42M,-157.85M,-24.42M,184.71M,119.16M,65.55M,0.00,,,65.55M,167.29M,264.84M,55.40M,209.44M,0.3,0.0,,,0.7541,0.3,0.29,0.0,,,0.7229,0.29,224.04M,235.02M,0.235
2014-06,30.35B,30.35B,29.66B,692.00M,387.61M,40.88M,6.454M,-34.10M,21.12M,0.222M,-20.90M,,434.94M,257.06M,0.222M,21.12M,-20.90M,-177.82M,-20.90M,58.33M,71.11M,-12.78M,0.00,,,-12.78M,103.66M,128.72M,49.27M,79.46M,-0.06,0.0,,,0.4558,-0.06,-0.06,0.0,,,0.4558,-0.06,225.73M,225.73M,0.235
2014-03,28.46B,28.46B,27.73B,729.59M,376.34M,37.97M,6.526M,-1.967M,19.58M,0.103M,-19.47M,,420.84M,308.76M,0.103M,19.58M,-19.47M,-3.847M,-19.47M,285.44M,105.36M,180.08M,0.00,,,180.08M,184.89M,351.26M,46.24M,305.01M,0.78,0.0,,,0.801,0.78,0.76,0.0,,,0.7804,0.76,229.41M,236.27M,0.235
2013-12,29.18B,29.18B,28.49B,688.22M,364.06M,37.32M,6.631M,-4.302M,19.04M,0.211M,-18.83M,,408.01M,280.22M,0.211M,19.04M,-18.83M,-120.00M,-18.83M,141.38M,92.45M,48.93M,-7.546M,,,41.38M,127.32M,206.13M,45.71M,160.42M,0.21,-0.03,,,0.5504,0.18,0.21,-0.04,,,0.5407,0.17,230.28M,237.01M,0.235
2013-09,24.47B,24.47B,23.90B,567.55M,358.30M,35.71M,6.787M,-2.084M,19.12M,0.445M,-18.67M,,400.80M,166.75M,0.445M,19.12M,-18.67M,-51.36M,-18.67M,96.72M,46.16M,50.56M,0.462M,,,51.02M,84.73M,159.99M,44.15M,115.84M,0.22,0.0,,,0.3683,0.22,0.22,0.0,,,0.3653,0.22,230.45M,235.10M,0.21
2013-06,21.91B,21.91B,21.34B,562.45M,331.17M,34.40M,6.743M,-19.68M,18.55M,0.357M,-18.19M,,372.31M,190.14M,0.357M,18.55M,-18.19M,-56.02M,-18.19M,115.93M,51.82M,64.11M,104.33M,,,168.44M,100.18M,177.48M,43.00M,134.48M,0.28,0.45,,,0.4361,0.73,0.27,0.44,,,0.4231,0.71,231.00M,235.67M,0.21
2013-03,20.52B,20.52B,19.81B,716.99M,323.54M,33.07M,6.799M,0.299M,18.65M,0.137M,-18.51M,,363.40M,353.58M,0.137M,18.65M,-18.51M,-4.211M,-18.51M,330.86M,126.72M,204.14M,-158.51M,,,45.63M,206.28M,391.60M,42.09M,349.51M,0.89,-0.69,,,0.8993,0.2,0.87,-0.69,,,0.8791,0.19,230.42M,234.59M,0.21
2012-12,21.06B,21.06B,20.40B,660.83M,320.70M,31.87M,6.811M,-2.004M,18.74M,0.212M,-18.52M,,359.38M,301.44M,0.212M,18.74M,-18.52M,-1.981M,-18.52M,280.94M,106.32M,174.62M,-6.01M,,,168.61M,175.87M,341.23M,41.56M,299.68M,0.75,-0.03,,,0.7554,0.73,0.74,-0.03,,,0.7453,0.71,232.36M,235.99M,0.21
2012-09,19.06B,19.06B,18.35B,713.82M,329.14M,31.55M,6.944M,-27.42M,23.52M,0.382M,-23.14M,,367.63M,346.18M,0.382M,23.52M,-23.14M,-26.51M,-23.14M,296.54M,106.09M,190.45M,-26.96M,,,163.49M,208.06M,359.97M,39.91M,320.06M,0.78,-0.11,,,0.8525,0.67,0.77,-0.11,,,0.8415,0.67,242.84M,246.40M,0.13
2012-06,19.33B,19.33B,18.66B,667.87M,303.81M,29.55M,5.981M,-4.135M,24.32M,0.545M,-23.77M,,339.34M,328.52M,0.545M,24.32M,-23.77M,0.65M,-23.77M,305.40M,115.22M,190.18M,-8.906M,,,181.27M,192.75M,366.72M,37.00M,329.72M,0.75,-0.04,,,0.7602,0.72,0.74,-0.04,,,0.7501,0.71,252.12M,255.72M,0.13
2012-03,19.71B,19.71B,19.03B,679.74M,262.42M,26.60M,4.63M,-9.027M,24.04M,0.67M,-23.38M,,293.65M,386.09M,0.67M,24.04M,-23.38M,-8.896M,-23.38M,353.82M,134.67M,219.14M,-7.038M,,,212.10M,224.73M,409.58M,31.72M,377.86M,0.85,-0.03,,,0.8716,0.82,0.84,-0.03,,,0.8613,0.81,258.16M,262.36M,0.13
2011-12,20.31B,20.31B,19.73B,583.92M,268.89M,25.58M,4.463M,-3.559M,22.78M,0.204M,-22.58M,,298.94M,284.98M,0.204M,22.78M,-22.58M,-3.558M,-22.58M,258.84M,98.89M,159.96M,2.159M,,,162.12M,162.16M,313.51M,31.88M,281.62M,0.62,0.01,,,0.6285,0.63,0.61,0.01,,,0.6184,0.62,258.46M,263.08M,0.13
2011-09,18.89B,18.89B,18.35B,537.83M,255.05M,22.00M,0.356M,-31.82M,19.61M,0.268M,-19.34M,,277.41M,260.42M,0.268M,19.61M,-19.34M,-27.20M,-19.34M,213.87M,75.68M,138.20M,,,,147.32M,158.76M,255.84M,14.71M,233.48M,0.52,0.03,,,0.5972,0.55,0.51,0.03,,,0.5858,0.54,266.43M,271.36M,0.115
2011-06,20.16B,20.16B,19.51B,653.58M,308.81M,23.58M,4.038M,-0.062M,19.36M,0.75M,-18.60M,,336.42M,317.16M,0.75M,19.36M,-18.60M,-0.062M,-18.60M,298.49M,114.07M,184.42M,,,,184.42M,184.46M,349.86M,32.01M,317.85M,0.67,0.0,,,0.6701,0.67,0.66,0.0,,,0.6601,0.66,273.49M,279.02M,0.115
2011-03,19.76B,19.76B,19.07B,687.34M,296.13M,21.88M,4.079M,0.142M,19.62M,0.569M,-19.06M,,322.09M,365.25M,0.569M,19.62M,-19.06M,0.142M,-19.06M,346.34M,131.95M,214.38M,,,,214.38M,214.29M,396.35M,30.39M,365.96M,0.78,0.0,,,0.7797,0.78,0.77,0.0,,,0.7697,0.77,274.32M,279.77M,0.1
2010-12,19.89B,19.89B,19.31B,580.23M,278.03M,21.30M,4.129M,1.667M,19.74M,0.594M,-19.14M,,303.47M,276.77M,0.594M,19.74M,-19.14M,1.667M,-19.14M,259.29M,98.79M,160.50M,,,,160.50M,159.47M,308.89M,29.86M,279.03M,0.58,0.0,,,0.5763,0.58,0.57,0.0,,,0.5663,0.57,275.60M,280.69M,0.1
2010-09,19.54B,19.54B,18.98B,561.24M,301.82M,18.37M,2.091M,-1.467M,18.85M,0.903M,-17.95M,,322.28M,238.96M,0.903M,18.85M,-17.95M,-4.839M,-17.95M,216.18M,81.90M,134.28M,,,,141.23M,135.19M,255.49M,13.12M,235.03M,0.48,0.02,,,0.4833,0.51,0.47,0.02,,,0.4732,0.5,278.86M,283.75M,0.08
2010-06,19.60B,19.60B,19.01B,588.37M,289.29M,17.56M,4.069M,3.909M,18.62M,0.714M,-17.90M,,310.91M,277.46M,0.714M,18.62M,-17.90M,3.909M,-17.90M,263.46M,100.26M,163.20M,,,,163.20M,160.78M,308.09M,26.01M,282.08M,0.58,0.0,,,0.5714,0.58,0.57,0.0,,,0.5616,0.57,281.20M,286.69M,0.08
2010-03,19.30B,19.30B,18.69B,612.07M,279.49M,16.60M,4.086M,-0.931M,19.60M,0.319M,-19.28M,,300.18M,311.89M,0.319M,19.60M,-19.28M,-0.931M,-19.28M,291.68M,110.67M,181.01M,,,,181.01M,181.59M,336.47M,25.19M,311.28M,0.64,0.0,,,0.642,0.64,0.63,0.0,,,0.632,0.63,281.93M,287.16M,0.08
2009-12,19.34B,19.34B,18.77B,563.37M,280.24M,16.66M,4.139M,-0.277M,17.64M,0.375M,-17.27M,-0.048M,300.99M,262.38M,0.375M,17.64M,-17.27M,-0.277M,-17.27M,244.84M,93.53M,151.31M,,,,151.31M,151.48M,287.68M,25.20M,262.48M,0.53,0.0,,,0.5306,0.53,0.52,0.0,,,0.5206,0.52,286.96M,291.29M,0.08
2009-09,18.72B,18.72B,18.18B,538.53M,291.57M,16.88M,3.997M,-7.227M,15.56M,0.605M,-14.95M,,306.94M,231.59M,0.605M,15.56M,-14.95M,-7.227M,-14.95M,209.41M,79.26M,130.15M,0.00,,,130.15M,134.64M,249.89M,24.92M,224.97M,0.44,0.0,,,0.4553,0.44,0.44,0.0,,,0.4552,0.44,292.62M,295.50M,0.06
2009-06,18.39B,18.39B,17.87B,519.22M,277.43M,15.95M,3.74M,-9.086M,15.68M,1.032M,-14.65M,0.213M,297.34M,221.89M,1.032M,15.68M,-14.65M,-9.086M,-14.65M,198.15M,73.02M,125.13M,-6.327M,,,118.81M,130.87M,237.38M,23.55M,213.83M,0.42,-0.02,,,0.4392,0.4,0.42,-0.02,,,0.4391,0.4,298.48M,300.59M,0.05
2009-03,17.31B,17.31B,16.76B,552.47M,283.47M,15.61M,3.827M,-1.804M,15.90M,1.379M,-14.52M,,302.90M,249.57M,1.379M,15.90M,-14.52M,-1.804M,-14.52M,233.24M,89.20M,144.04M,-0.655M,,,143.39M,145.16M,272.33M,23.19M,249.14M,0.48,0.0,,,0.4837,0.47,0.47,0.0,,,0.4737,0.47,302.45M,304.58M,0.05
2008-12,17.34B,17.34B,16.85B,489.85M,273.06M,15.05M,3.856M,-0.429M,14.18M,,-14.18M,,291.96M,197.88M,,14.18M,-14.18M,-0.429M,-14.18M,183.27M,70.74M,112.53M,-1.473M,,,111.06M,112.79M,220.11M,22.66M,197.46M,0.36,0.0,,,0.3609,0.36,0.36,0.0,,,0.3608,0.36,308.59M,310.18M,0.05
2008-09,17.16B,17.16B,16.63B,527.45M,297.99M,14.56M,3.975M,-9.755M,,,,,316.52M,210.93M,,,,-9.755M,,187.76M,72.70M,115.06M,-0.155M,,,114.91M,121.04M,213.51M,22.27M,191.24M,0.37,-0.005,,,0.3891,0.36,0.36,-0.005,,,0.3789,0.355,312.85M,315.82M,0.0375
2008-06,18.00B,18.00B,17.50B,498.04M,271.10M,17.44M,4.117M,-8.633M,,,,,292.66M,205.39M,,,,-8.633M,,180.79M,68.03M,112.76M,-220.78M,,,-108.02M,118.15M,227.10M,21.71M,205.39M,0.355,-0.69,,,0.3719,-0.34,0.35,-0.69,,,0.3667,-0.34,319.06M,322.23M,0.0375
2008-03,17.85B,17.85B,17.29B,558.75M,297.61M,18.14M,4.899M,-0.392M,,,,,320.65M,238.11M,,,,-0.392M,,218.99M,85.14M,133.85M,,,,133.85M,134.09M,271.57M,33.46M,238.11M,0.415,0.0,,,0.4157,0.415,0.41,0.0,,,0.4107,0.41,322.44M,326.54M,0.0375
2007-12,17.28B,17.28B,16.80B,484.22M,270.77M,16.07M,4.557M,-0.914M,,,,,291.40M,192.82M,,,,-0.914M,,175.49M,67.08M,108.41M,1.411M,,,109.82M,108.97M,213.45M,18.44M,192.82M,0.33,0.005,,,0.3317,0.335,0.325,0.005,,,0.3267,0.33,329.81M,334.12M,0.0375
2007-09,16.39B,16.39B,15.86B,528.43M,332.90M,17.66M,4.431M,8.536M,,,,,357.96M,170.47M,,,,8.536M,,174.04M,61.87M,112.18M,,,,87.58M,106.68M,195.69M,25.22M,170.47M,0.325,-0.065,,,0.3092,0.255,0.32,-0.065,,,0.3044,0.255,348.68M,353.55M,0.025
2007-06,16.45B,16.45B,15.85B,597.22M,359.88M,19.61M,4.668M,-7.012M,,,,0.136M,384.29M,212.93M,,,,-7.012M,,199.73M,69.82M,129.91M,,,,129.91M,134.47M,240.29M,27.36M,212.93M,0.35,0.0,,,0.3623,0.35,0.345,0.0,,,0.3571,0.345,370.34M,375.90M,0.025
2007-03,16.51B,16.51B,15.91B,606.44M,363.37M,18.09M,3.962M,-0.511M,,,,,385.42M,221.03M,,,,-0.511M,,210.63M,81.13M,129.50M,,,,129.50M,129.81M,246.02M,24.99M,221.03M,0.345,0.0,,,0.3458,0.345,0.34,0.0,,,0.3408,0.34,377.54M,383.59M,0.025
2006-12,16.73B,16.73B,16.13B,594.64M,362.98M,17.80M,5.001M,-0.066M,,,,,385.78M,208.86M,,,,-0.066M,,200.65M,78.46M,122.19M,,,,122.19M,122.23M,235.63M,26.78M,208.86M,0.32,0.0,,,0.3201,0.32,0.315,0.0,,,0.3151,0.315,384.78M,389.94M,0.025
2006-09,15.64B,15.64B,15.06B,585.50M,379.73M,18.82M,3.929M,11.75M,,,,,402.48M,183.02M,,,,11.75M,,195.57M,73.59M,121.98M,0.00,,,121.98M,114.65M,208.07M,25.05M,183.02M,0.225,0.08,,,0.2066,0.305,0.22,0.08,,,0.2018,0.3,397.71M,402.55M,0.0125
2006-06,15.69B,15.69B,15.13B,557.18M,346.39M,18.77M,3.26M,-0.001M,,,,,368.42M,188.76M,,,,-0.001M,,189.34M,69.87M,119.47M,,,,119.47M,119.47M,213.71M,24.96M,188.76M,0.29,0.0,,,0.29,0.29,0.29,0.0,,,0.29,0.29,409.66M,414.67M,0.0125
2006-03,15.22B,15.22B,14.66B,560.76M,339.11M,16.95M,3.198M,2.249M,,,,,359.26M,201.50M,,,,2.249M,,196.41M,67.82M,128.59M,0.411M,,,129.00M,127.12M,224.73M,23.23M,201.50M,0.31,0.0,,,0.3065,0.31,0.305,0.0,,,0.3015,0.305,416.10M,421.54M,0.0125
2005-12,14.65B,14.65B,14.12B,528.38M,340.69M,18.56M,2.529M,-0.783M,,,,,361.77M,166.60M,,,,-0.783M,,159.31M,61.33M,97.98M,0.709M,,,98.68M,98.46M,190.30M,23.69M,166.60M,0.235,0.0,,,0.2362,0.235,0.235,0.0,,,0.2361,0.23,416.50M,420.70M,0.0062
2005-09,13.92B,13.92B,13.40B,521.77M,356.60M,18.26M,2.636M,-100.32M,,,,0.00,377.49M,144.28M,,,,-100.32M,,34.61M,13.27M,21.34M,-1.842M,0.0,,19.50M,83.21M,167.59M,23.31M,144.28M,0.0609,-0.0058,0.0,,0.2063,0.0558,-0.035,-0.0058,-0.0003,,0.1105,0.05,425.26M,425.26M,0.0062
2005-06,13.83B,13.83B,13.33B,502.07M,310.11M,17.11M,2.488M,-4.038M,,,,,329.71M,172.36M,,,,-4.038M,,157.05M,57.20M,99.84M,-5.067M,,,94.78M,102.41M,193.13M,20.78M,172.36M,0.24,-0.01,,,0.2462,0.23,0.24,-0.01,,,0.2461,0.225,415.13M,417.68M,0.0062
2005-03,13.19B,13.19B,12.69B,501.75M,297.08M,17.58M,2.572M,-4.876M,,,,5.259M,322.49M,179.26M,,,,-4.876M,,165.12M,63.41M,101.71M,-2.291M,,,99.42M,104.72M,202.58M,23.32M,179.26M,0.23,-0.005,,,0.2368,0.225,0.23,-0.005,,,0.2368,0.225,438.58M,440.94M,0.0062
2004-12,13.64B,13.64B,13.18B,460.90M,302.68M,18.05M,3.104M,0.043M,,,,,323.84M,137.06M,,,,0.043M,,115.03M,44.17M,70.86M,-6.408M,,,64.45M,70.83M,160.53M,23.47M,137.06M,0.1675,-0.015,,,0.1674,0.1525,0.165,-0.015,,,0.1649,0.15,422.24M,446.43M,0.0062
2004-09,13.37B,13.37B,12.88B,490.70M,301.56M,17.19M,2.619M,5.57M,,,,,321.38M,169.32M,,,,5.57M,,151.41M,57.52M,93.89M,-1.898M,,,91.99M,90.43M,192.52M,23.20M,169.32M,0.2298,-0.0048,,,0.2221,0.225,0.1275,-0.0048,,,0.1201,0.2025,447.35M,467.94M,0.0062
2004-06,13.06B,13.06B,12.48B,572.07M,298.97M,16.64M,2.59M,-20.23M,,,,3.00M,321.20M,250.86M,,,,-20.23M,,206.79M,79.61M,127.18M,-1.40M,,,125.78M,139.62M,273.78M,22.92M,250.86M,0.2825,-0.0025,,,0.3103,0.28,0.275,-0.0025,,,0.3013,0.2725,447.82M,472.62M,0.0062
2004-03,13.35B,13.35B,12.77B,580.44M,302.68M,15.69M,2.823M,3.663M,,,,,321.20M,259.25M,,,,3.663M,,232.04M,89.33M,142.71M,-0.554M,,,142.15M,140.45M,280.61M,21.36M,259.25M,0.32,-0.0025,,,0.315,0.3175,0.3075,-0.0025,,,0.3027,0.3075,447.39M,471.78M,0.0062
2003-12,13.34B,13.34B,12.82B,525.05M,296.94M,14.05M,2.666M,-2.587M,,,,,313.65M,211.40M,,,,-2.587M,,177.30M,68.26M,109.04M,-0.567M,,,108.47M,110.63M,231.01M,19.61M,211.40M,0.245,-0.0025,,,0.2486,0.2425,0.2375,-0.0025,,,0.2409,0.235,446.84M,472.12M,0.0062
