,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,45.74B,45.74B,38.83B,6.909B,,,523.00M,,-523.00M,4.913B,4.913B,1.996B,,523.00M,-523.00M,-3.00M,-523.00M,1.47B,472.00M,998.00M,,0.00,,998.00M,998.00M,2.637B,644.00M,1.993B,0.98,,,0.98,0.98,0.98,,,0.98,0.98,1.016B,1.019B,0.5
2017-12,48.41B,48.41B,40.49B,7.914B,,-46.00M,303.00M,,-318.00M,4.739B,4.739B,3.175B,,303.00M,-318.00M,-48.00M,-318.00M,2.809B,-478.00M,3.287B,0.00,0.00,,3.287B,3.315B,3.734B,622.00M,3.112B,3.23,0.0,,3.2569999999999997,3.23,3.22,0.0,,3.247,3.22,1.014B,1.018B,0.5
2017-09,46.18B,46.18B,39.06B,7.117B,,0.00,250.00M,5.00M,-245.00M,4.618B,4.618B,2.499B,5.00M,250.00M,-245.00M,-192.00M,-245.00M,2.062B,777.00M,1.285B,,,,1.285B,1.285B,2.927B,615.00M,2.312B,1.26,0.0,,1.26,1.26,1.26,0.0,,1.26,1.26,1.016B,1.02B,0.5
2017-06,45.68B,45.68B,38.76B,6.926B,,-135.00M,251.00M,4.00M,-247.00M,4.674B,4.674B,2.252B,4.00M,251.00M,-247.00M,-142.00M,-247.00M,1.863B,766.00M,1.097B,1.00M,,,1.098B,1.178B,2.737B,623.00M,2.114B,1.07,0.0,,1.149,1.07,1.07,0.0,,1.149,1.07,1.019B,1.024B,0.5
2017-03,44.51B,44.51B,37.94B,6.571B,,,258.00M,6.00M,-252.00M,4.778B,4.778B,1.793B,6.00M,258.00M,-252.00M,-7.00M,-252.00M,1.534B,572.00M,962.00M,-9.00M,-1.00M,,952.00M,961.00M,2.411B,619.00M,1.792B,0.93,-0.01,,0.93,0.92,0.92,-0.01,,0.92,0.92,1.03B,1.035B,0.5
2016-12,45.99B,45.99B,38.41B,7.583B,,0.00,248.00M,,-262.00M,4.563B,4.563B,3.02B,,248.00M,-262.00M,-5.00M,-262.00M,2.753B,1.046B,1.707B,0.00,0.00,,1.707B,1.707B,3.629B,628.00M,3.001B,1.6,0.0,,1.6,1.6,1.59,0.0,,1.59,1.59,1.064B,1.07B,0.425
2016-09,44.62B,44.62B,37.12B,7.492B,,-101.00M,258.00M,5.00M,-253.00M,4.668B,4.668B,2.824B,5.00M,258.00M,-253.00M,-108.00M,-253.00M,2.463B,921.00M,1.542B,-1.00M,-1.00M,,1.54B,1.604B,3.332B,611.00M,2.721B,1.44,0.0,,1.499,1.44,1.43,0.0,,1.489,1.43,1.068B,1.073B,0.425
2016-06,43.72B,43.72B,36.71B,7.015B,,-542.00M,284.00M,4.00M,-280.00M,4.658B,4.658B,2.357B,4.00M,284.00M,-280.00M,-549.00M,-280.00M,1.528B,604.00M,924.00M,,,,924.00M,1.252B,2.431B,619.00M,1.812B,0.86,0.0,,1.166,0.86,0.86,0.0,,1.165,0.86,1.07B,1.075B,0.425
2016-03,43.22B,43.22B,36.47B,6.744B,,,288.00M,5.00M,-283.00M,4.559B,4.559B,2.185B,5.00M,288.00M,-283.00M,-9.00M,-283.00M,1.893B,746.00M,1.147B,,-1.00M,,1.146B,1.146B,2.798B,617.00M,2.181B,1.04,0.0,,1.04,1.04,1.04,0.0,,1.04,1.04,1.092B,1.099B,0.425
2015-12,41.15B,41.15B,33.84B,7.301B,,,282.00M,6.00M,-276.00M,4.551B,4.551B,2.75B,6.00M,282.00M,-276.00M,,-276.00M,2.453B,953.00M,1.50B,-1.00M,-1.00M,,1.498B,1.499B,3.317B,582.00M,2.735B,1.35,0.0,,1.35,1.35,1.34,0.0,,1.34,1.34,1.106B,1.114B,0.35
2015-09,38.64B,38.64B,31.98B,6.661B,,,268.00M,7.00M,-261.00M,4.33B,4.33B,2.331B,7.00M,268.00M,-261.00M,,-261.00M,2.07B,833.00M,1.237B,10.00M,-1.00M,,1.246B,1.236B,2.87B,532.00M,2.338B,1.1,0.01,,1.1,1.11,1.1,0.01,,1.1,1.11,1.114B,1.121B,0.35
2015-06,37.17B,37.17B,30.77B,6.402B,,0.00,171.00M,5.00M,-166.00M,4.14B,4.14B,2.262B,5.00M,171.00M,-166.00M,,-166.00M,2.096B,824.00M,1.272B,,0.00,,1.272B,1.272B,2.755B,488.00M,2.267B,1.13,,,1.13,1.13,1.12,,,1.12,1.12,1.124B,1.132B,0.35
2015-03,36.33B,36.33B,30.17B,6.164B,,,137.00M,3.00M,-134.00M,4.032B,4.032B,2.132B,3.00M,137.00M,-134.00M,,-134.00M,1.998B,777.00M,1.221B,,0.00,,1.221B,1.221B,2.625B,490.00M,2.135B,1.08,,,1.08,1.08,1.07,,,1.07,1.07,1.128B,1.136B,0.35
2014-12,37.06B,37.06B,30.42B,6.633B,,0.00,135.00M,4.00M,-131.00M,4.312B,4.312B,2.321B,4.00M,135.00M,-131.00M,0.00,-131.00M,2.19B,868.00M,1.322B,-1.00M,0.00,,1.321B,1.322B,2.814B,489.00M,2.325B,1.14,0.0,,1.14,1.14,1.14,0.0,,1.14,1.14,1.143B,1.151B,0.275
2014-09,35.02B,35.02B,28.55B,6.468B,,-521.00M,158.00M,5.00M,-153.00M,4.222B,4.222B,2.246B,5.00M,158.00M,-153.00M,-521.00M,-153.00M,1.572B,624.00M,948.00M,0.00,0.00,,948.00M,1.262B,2.207B,477.00M,1.73B,0.82,0.0,,1.092,0.82,0.81,0.0,,1.08,0.81,1.157B,1.164B,0.275
2014-06,34.60B,34.60B,28.28B,6.324B,,,161.00M,3.00M,-158.00M,4.116B,4.116B,2.208B,3.00M,161.00M,-158.00M,,-158.00M,2.05B,804.00M,1.246B,,,,1.246B,1.246B,2.699B,488.00M,2.211B,1.07,,,1.07,1.07,1.06,,,1.06,1.06,1.165B,1.174B,0.275
2014-03,32.69B,32.69B,26.75B,5.942B,,,161.00M,3.00M,-158.00M,3.918B,3.918B,2.024B,3.00M,161.00M,-158.00M,,-158.00M,1.866B,737.00M,1.129B,,,,1.129B,1.129B,2.504B,477.00M,2.027B,0.96,,,0.96,0.96,0.95,,,0.95,0.95,1.18B,1.19B,0.275
2013-12,32.83B,32.83B,26.49B,6.339B,,0.00,138.00M,3.00M,-135.00M,4.122B,4.122B,2.217B,3.00M,138.00M,-135.00M,,-135.00M,2.082B,816.00M,1.266B,-1.00M,,,1.265B,1.266B,2.678B,458.00M,2.22B,1.06,0.0,,1.06,1.06,1.05,0.0,,1.05,1.05,1.19B,1.202B,0.225
2013-09,31.93B,31.93B,25.90B,6.027B,,0.00,125.00M,3.00M,-122.00M,3.873B,3.873B,2.154B,3.00M,125.00M,-122.00M,,-122.00M,2.032B,777.00M,1.255B,-6.00M,,,1.249B,1.255B,2.618B,461.00M,2.157B,1.03,0.0,,1.03,1.03,1.02,0.0,,1.02,1.02,1.218B,1.226B,0.225
2013-06,31.25B,31.25B,25.41B,5.841B,,,127.00M,1.00M,-126.00M,3.869B,3.869B,1.972B,1.00M,127.00M,-126.00M,,-126.00M,1.846B,721.00M,1.125B,-1.00M,,,1.124B,1.125B,2.422B,449.00M,1.973B,0.92,0.0,,0.92,0.92,0.91,0.0,,0.91,0.91,1.227B,1.236B,0.225
2013-03,30.75B,30.75B,25.17B,5.577B,,,127.00M,1.00M,-126.00M,3.883B,3.883B,1.694B,1.00M,127.00M,-126.00M,,-126.00M,1.568B,614.00M,954.00M,,,,954.00M,954.00M,2.197B,502.00M,1.695B,0.77,,,0.77,0.77,0.77,,,0.77,0.77,1.232B,1.241B,0.225
2012-12,31.38B,31.38B,25.10B,6.279B,,,162.00M,2.00M,-160.00M,3.994B,3.994B,2.285B,2.00M,162.00M,-160.00M,,-160.00M,1.777B,661.00M,1.116B,0.00,0.00,,1.116B,1.116B,2.395B,456.00M,1.939B,0.91,0.0,,0.91,0.91,0.9,0.0,,0.9,0.9,1.241B,1.25B,0.1625
2012-09,30.23B,30.23B,24.58B,5.647B,,,135.00M,1.00M,-134.00M,3.833B,3.833B,1.814B,1.00M,135.00M,-134.00M,,-134.00M,1.68B,669.00M,1.011B,-5.00M,0.00,,1.006B,1.011B,2.258B,443.00M,1.815B,0.8,0.0,,0.8,0.8,0.79,0.0,,0.79,0.79,1.265B,1.274B,0.1625
2012-06,30.71B,30.71B,25.26B,5.449B,,,132.00M,0.00,-132.00M,3.741B,3.741B,1.708B,0.00,132.00M,-132.00M,,-132.00M,1.576B,610.00M,966.00M,-1.00M,1.00M,,966.00M,967.00M,2.139B,431.00M,1.708B,0.76,0.0,,0.76,0.76,0.75,0.0,,0.75,0.75,1.278B,1.287B,0.1625
2012-03,30.80B,30.80B,25.68B,5.113B,,,133.00M,1.00M,-132.00M,3.709B,3.709B,1.404B,1.00M,133.00M,-132.00M,,-132.00M,1.272B,496.00M,776.00M,-1.00M,1.00M,,776.00M,777.00M,1.828B,423.00M,1.405B,0.6,0.0,,0.6,0.6,0.59,0.0,,0.59,0.59,1.299B,1.309B,0.1625
2011-12,28.30B,28.30B,22.74B,5.556B,,,148.00M,1.00M,-147.00M,,3.598B,1.958B,1.00M,148.00M,-147.00M,,-147.00M,1.811B,711.00M,1.10B,-36.00M,1.00M,,1.065B,1.101B,2.355B,396.00M,1.959B,0.84,-0.03,,0.84,0.81,0.83,-0.03,,0.83,0.8,1.302B,1.32B,0.125
2011-09,26.67B,26.67B,21.50B,5.178B,3.594B,,156.00M,1.00M,-155.00M,,3.594B,1.584B,1.00M,156.00M,-155.00M,,-155.00M,1.429B,562.00M,867.00M,0.00,1.00M,,868.00M,868.00M,1.992B,407.00M,1.585B,0.65,0.0,,0.65,0.65,0.65,0.0,,0.65,0.65,1.332B,1.34B,0.125
2011-06,26.41B,26.41B,21.33B,5.086B,3.602B,,149.00M,1.00M,-148.00M,,3.602B,1.484B,1.00M,149.00M,-148.00M,,-148.00M,1.336B,523.00M,813.00M,2.00M,1.00M,,816.00M,814.00M,1.876B,391.00M,1.485B,0.6,0.0,,0.6,0.6,0.6,0.0,,0.6,0.6,1.355B,1.364B,0.125
2011-03,25.70B,25.70B,20.95B,4.742B,3.437B,,135.00M,,-135.00M,,3.437B,1.305B,,135.00M,-135.00M,1.00M,-135.00M,1.171B,462.00M,709.00M,3.00M,1.00M,,713.00M,710.00M,1.68B,374.00M,1.306B,0.52,0.0,,0.52,0.52,0.52,0.0,,0.52,0.52,1.362B,1.371B,0.125
2010-12,24.59B,24.59B,19.14B,5.454B,,,137.00M,0.00,-137.00M,,3.693B,1.761B,0.00,137.00M,-137.00M,,-137.00M,1.624B,604.00M,1.02B,5.00M,1.00M,,1.026B,1.021B,2.134B,373.00M,1.761B,0.75,0.01,,0.75,0.76,0.74,0.01,,0.74,0.75,1.364B,1.374B,0.0875
2010-09,23.71B,23.71B,18.70B,5.015B,3.537B,,138.00M,1.00M,-137.00M,,3.537B,1.478B,1.00M,138.00M,-137.00M,,-137.00M,1.341B,526.00M,815.00M,-7.00M,1.00M,,809.00M,816.00M,1.849B,370.00M,1.479B,0.6,-0.01,,0.6,0.59,0.6,-0.01,,0.6,0.59,1.36B,1.368B,0.0875
2010-06,24.01B,24.01B,18.99B,5.02B,3.519B,,136.00M,1.00M,-135.00M,,3.519B,1.501B,1.00M,136.00M,-135.00M,,-135.00M,1.366B,544.00M,822.00M,-1.00M,0.00,,821.00M,822.00M,1.87B,368.00M,1.502B,0.61,0.0,,0.61,0.61,0.6,0.0,,0.6,0.6,1.359B,1.369B,0.0875
2010-03,23.76B,23.76B,19.01B,4.746B,3.336B,,129.00M,1.00M,-128.00M,,3.336B,1.41B,1.00M,129.00M,-128.00M,,-128.00M,1.282B,510.00M,772.00M,-2.00M,1.00M,,771.00M,773.00M,1.769B,358.00M,1.411B,0.56,0.0,,0.56,0.56,0.55,0.0,,0.55,0.55,1.386B,1.396B,0.0875
2009-12,25.31B,25.31B,19.76B,5.546B,,,133.00M,1.00M,-132.00M,,3.664B,1.882B,1.00M,133.00M,-132.00M,,-132.00M,1.75B,706.00M,1.044B,6.00M,,,1.05B,1.044B,2.235B,352.00M,1.883B,0.74,0.01,,0.74,0.75,0.73,0.01,,0.73,0.74,1.401B,1.414B,0.0762
2009-09,24.64B,24.64B,19.63B,5.012B,,,124.00M,1.00M,-123.00M,,3.446B,1.566B,1.00M,124.00M,-123.00M,,-123.00M,1.443B,420.00M,1.023B,-2.00M,,,1.021B,1.023B,1.868B,301.00M,1.567B,0.72,-0.01,,0.72,0.71,0.71,-0.01,,0.71,0.71,1.429B,1.445B,0.0762
2009-06,24.87B,24.87B,19.82B,5.052B,,,129.00M,1.00M,-128.00M,,3.452B,1.60B,1.00M,129.00M,-128.00M,,-128.00M,1.472B,583.00M,889.00M,-3.00M,,,886.00M,889.00M,1.983B,382.00M,1.601B,0.61,0.0,,0.61,0.61,0.6,0.0,,0.6,0.6,1.457B,1.472B,0.0762
2009-03,23.39B,23.39B,18.65B,4.748B,,,144.00M,2.00M,-142.00M,,3.371B,1.377B,2.00M,144.00M,-142.00M,,-142.00M,1.235B,492.00M,743.00M,-5.00M,0.00,,738.00M,743.00M,1.733B,354.00M,1.379B,0.51,0.0,,0.51,0.51,0.51,-0.01,,0.51,0.5,1.45B,1.469B,0.0762
2008-12,24.14B,24.14B,18.92B,5.223B,,,157.30M,6.60M,-150.70M,,3.492B,1.732B,6.60M,157.30M,-150.70M,,-150.70M,1.581B,627.70M,953.20M,-0.50M,,3.40M,952.70M,953.20M,2.092B,353.80M,1.738B,0.66,0.0,,0.66,0.66,0.64,0.0,,0.64,0.64,1.439B,1.469B,0.069
2008-09,20.86B,20.86B,16.46B,4.401B,,,117.00M,4.30M,-112.70M,,2.934B,1.466B,4.30M,117.00M,-112.70M,,-112.70M,1.354B,534.70M,818.80M,-82.80M,,3.50M,736.00M,818.80M,1.781B,310.90M,1.470B,0.57,-0.06,,0.57,0.51,0.56,-0.06,,0.56,0.5,1.436B,1.470B,0.069
2008-06,21.14B,21.14B,16.77B,4.373B,,,118.50M,3.80M,-114.70M,,2.895B,1.478B,3.80M,118.50M,-114.70M,,-114.70M,1.363B,539.90M,823.50M,-48.70M,,3.60M,774.80M,823.50M,1.792B,310.00M,1.482B,0.57,-0.03,,0.57,0.54,0.56,-0.03,,0.56,0.53,1.432B,1.469B,0.06
2008-03,21.33B,21.33B,17.03B,4.293B,2.923B,,,,,,2.923B,1.370B,,,,,,1.239B,490.70M,748.50M,,,3.50M,748.50M,748.50M,1.669B,299.30M,1.370B,0.52,0.0,,0.52,0.52,0.51,0.0,,0.51,0.51,1.430B,1.468B,0.06
2007-12,21.94B,21.94B,17.49B,4.451B,2.975B,,,,,,2.975B,1.476B,,,,,,1.339B,523.60M,815.00M,,,3.80M,815.00M,815.00M,1.752B,276.10M,1.476B,0.57,0.0,,0.57,0.57,0.56,0.0,,0.56,0.56,1.441B,1.482B,0.06
2007-09,20.50B,20.50B,16.30B,4.195B,2.924B,,,,,,2.924B,1.271B,,,,,,1.144B,454.10M,689.50M,,,3.40M,689.50M,689.50M,1.573B,301.70M,1.271B,0.47,0.0,,0.47,0.47,0.45,0.0,,0.45,0.45,1.474B,1.521B,0.06
2007-06,20.70B,20.70B,16.54B,4.158B,2.849B,,,,,,2.849B,1.310B,,,,,,1.204B,480.30M,723.60M,,,3.50M,723.60M,723.60M,1.618B,308.00M,1.310B,0.48,0.0,,0.48,0.48,0.47,0.0,,0.47,0.47,1.492B,1.542B,0.06
2007-03,13.18B,13.18B,9.835B,3.349B,2.404B,,,,,,2.613B,736.50M,,,,,,672.60M,263.70M,408.90M,,,3.50M,408.90M,408.90M,945.30M,208.80M,736.50M,0.45,0.0,,0.45,0.45,0.43,0.0,,0.43,0.43,906.10M,939.80M,0.0488
2006-12,12.07B,12.07B,8.751B,3.317B,2.568B,,,,,,2.568B,749.30M,,,,,,668.20M,251.00M,417.20M,,,3.40M,417.20M,417.20M,950.70M,201.40M,749.30M,0.5,0.0,,0.5,0.5,0.49,0.0,,0.49,0.49,824.50M,856.20M,0.0388
2006-09,11.21B,11.21B,8.173B,3.036B,2.499B,,,,,,2.499B,536.80M,,,,,,461.60M,177.40M,284.20M,,,3.50M,284.20M,284.20M,730.20M,193.40M,536.80M,0.34,0.0,,0.34,0.34,0.33,0.0,,0.33,0.33,822.30M,855.40M,0.0388
2006-06,10.56B,10.56B,7.770B,2.795B,2.200B,,,,,,2.200B,595.00M,,,,,,556.60M,218.70M,337.90M,,,3.50M,337.90M,337.90M,778.10M,183.10M,595.00M,0.41,0.0,,0.41,0.41,0.4,0.0,,0.4,0.4,818.90M,850.60M,0.0388
2006-03,9.979B,9.979B,7.330B,2.649B,1.933B,,,,,,2.088B,560.50M,,,,,,539.40M,209.80M,329.60M,,,3.50M,329.60M,329.60M,715.90M,155.40M,560.50M,0.4,0.0,,0.4,0.4,0.39,0.0,,0.39,0.39,816.80M,848.50M,0.0388
2005-12,9.732B,9.732B,7.237B,2.495B,2.326B,,,,,,1.892B,603.10M,,,,,,576.20M,169.80M,406.40M,,,3.60M,406.40M,406.40M,759.00M,155.90M,603.10M,0.49,0.0,,0.49,0.49,0.48,0.0,,0.48,0.48,814.40M,842.20M,0.0363
2005-09,8.970B,8.970B,6.569B,2.401B,1.814B,,,,,,1.962B,438.90M,,,,,,411.60M,158.90M,252.70M,,,3.50M,252.70M,252.70M,586.60M,147.70M,438.90M,0.31,0.0,,0.31,0.31,0.3,0.0,,0.3,0.3,813.50M,845.00M,0.0363
2005-06,9.122B,9.122B,6.704B,2.417B,1.792B,,,,,,1.940B,477.70M,,,,,,449.40M,173.50M,275.90M,,,3.50M,275.90M,275.90M,625.30M,147.60M,477.70M,0.34,0.0,,0.34,0.34,0.33,0.0,,0.33,0.33,810.90M,841.90M,0.0363
2005-03,9.182B,9.182B,6.801B,2.381B,1.743B,,,,,,1.881B,499.80M,,,,,,471.80M,182.10M,289.70M,,,3.50M,289.70M,289.70M,637.70M,137.90M,499.80M,0.355,0.0,,0.355,0.355,0.345,0.0,,0.345,0.345,806.80M,837.20M,0.0363
2004-12,8.923B,8.923B,6.561B,2.362B,1.828B,,,,,,2.016B,345.90M,,,,,,317.20M,62.10M,255.10M,,,3.30M,255.10M,255.10M,534.60M,131.80M,345.90M,0.31,0.0,,0.31,0.31,0.3,0.0,,0.3,0.3,814.42M,814.42M,0.0332
2004-09,7.909B,7.909B,5.839B,2.071B,1.636B,,,,,,1.755B,316.00M,,,,,,300.20M,115.60M,184.60M,,,3.60M,184.60M,184.60M,434.60M,118.60M,316.00M,0.23,0.0,,0.23,0.23,0.22,0.0,,0.22,0.22,799.20M,833.00M,0.0332
2004-06,6.943B,6.943B,5.117B,1.826B,1.343B,,,,,,1.439B,387.20M,,,,,,381.20M,146.70M,234.50M,,,3.70M,234.50M,234.50M,483.30M,96.10M,387.20M,0.29,0.0,,0.29,0.29,0.28,0.0,,0.28,0.28,796.00M,830.00M,0.0332
2004-03,6.819B,6.819B,5.047B,1.772B,1.273B,,,,,,1.366B,405.60M,,,,,,397.80M,153.20M,244.60M,,,3.60M,244.60M,244.60M,499.00M,93.40M,405.60M,0.305,0.0,,0.305,0.305,0.295,0.0,,0.295,0.295,792.60M,824.40M,0.0332
2003-12,7.452B,7.452B,5.487B,1.965B,1.439B,,,,,,1.526B,438.60M,,,,,,427.60M,164.20M,263.40M,,,3.60M,263.40M,263.40M,526.50M,87.90M,438.60M,0.335,0.0,,0.335,0.335,0.32,0.0,,0.32,0.32,777.66M,791.79M,0.0288
2003-09,6.378B,6.378B,4.720B,1.659B,1.256B,,,,,,1.342B,316.70M,,,,,,304.90M,117.10M,187.80M,,,3.70M,187.80M,187.80M,402.50M,85.80M,316.70M,0.235,0.0,,0.235,0.235,0.23,0.0,,0.23,0.23,789.60M,816.60M,0.0288
2003-06,6.445B,6.445B,4.811B,1.634B,1.211B,,,,,,1.297B,337.00M,,,,,,324.30M,124.50M,199.80M,,,3.70M,199.80M,199.80M,422.40M,85.40M,337.00M,0.25,0.0,,0.25,0.25,0.245,0.0,,0.245,0.245,788.00M,813.20M,0.0288
2003-03,6.313B,6.313B,4.707B,1.606B,1.192B,,,,,,1.274B,331.30M,,,,,,318.70M,122.40M,196.30M,,,3.60M,196.30M,196.30M,413.90M,82.60M,331.30M,0.245,0.0,,0.245,0.245,0.24,0.0,,0.24,0.24,786.80M,811.40M,0.0288
2002-12,6.345B,6.345B,4.732B,1.613B,1.198B,,,,,,1.278B,334.90M,,,,,,322.80M,122.70M,200.10M,,,3.70M,200.10M,200.10M,414.30M,79.40M,334.90M,0.25,0.0,,0.25,0.25,0.245,0.0,,0.245,0.245,785.80M,810.00M,0.0288
2002-09,5.876B,5.876B,4.395B,1.481B,1.128B,,,,,,1.205B,276.50M,,,,,,265.10M,100.70M,164.40M,,,3.70M,164.40M,164.40M,353.60M,77.10M,276.50M,0.205,0.0,,0.205,0.205,0.2,0.0,,0.2,0.2,785.40M,810.80M,0.0288
2002-06,5.990B,5.990B,4.508B,1.481B,1.104B,,,,,,1.183B,298.30M,,,,,,284.50M,108.10M,176.40M,,,3.70M,176.40M,176.40M,377.10M,78.80M,298.30M,0.22,0.0,,0.22,0.22,0.215,0.0,,0.215,0.215,784.00M,812.20M,0.0288
2002-03,5.971B,5.971B,4.477B,1.494B,1.122B,,,,,,1.197B,296.50M,,,,,,283.40M,107.70M,175.70M,,,3.70M,175.70M,175.70M,371.50M,75.00M,296.50M,0.22,0.0,,0.22,0.22,0.215,0.0,,0.215,0.215,783.20M,809.40M,0.0288
2001-12,5.950B,5.950B,4.543B,1.407B,1.146B,,,,,,1.228B,179.50M,,,,,,-187.10M,-56.80M,-130.30M,,,3.60M,-130.30M,-130.30M,260.80M,81.30M,179.50M,-0.17,0.0,,-0.17,-0.17,-0.17,0.0,,-0.17,-0.17,769.89M,769.89M,0.0288
2001-09,5.411B,5.411B,4.039B,1.372B,1.071B,,,,,,1.152B,220.20M,,,,,,204.10M,80.40M,123.70M,,,3.70M,123.70M,123.70M,300.90M,80.70M,220.20M,0.155,0.0,,0.155,0.155,0.15,0.0,,0.15,0.15,783.00M,812.00M,0.0288
2001-06,5.494B,5.494B,4.036B,1.458B,1.036B,,,,,,1.116B,342.00M,,,,,,326.90M,128.90M,198.00M,,,3.70M,198.00M,198.00M,422.20M,80.20M,342.00M,0.245,0.0,,0.245,0.245,0.24,0.0,,0.24,0.24,787.00M,822.20M,0.0288
