,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2014-09,18.77B,18.77B,9.734B,9.037B,5.404B,,170.00M,31.00M,-139.00M,5.404B,3.633B,31.00M,170.00M,-139.00M,13.00M,-139.00M,3.507B,791.00M,2.716B,-696.00M,-30.00M,60.00M,1.99B,2.686B,4.471B,794.00M,3.677B,,0.97,-0.26,0.97,0.71,,0.93,-0.26,0.93,0.69,,2.711B,2.888B,0.6436,,AOR,Restated
2014-06,13.49B,13.49B,8.308B,5.179B,2.847B,,178.00M,26.00M,-152.00M,2.847B,2.332B,26.00M,178.00M,-152.00M,141.00M,-152.00M,2.321B,425.00M,1.896B,724.00M,-41.00M,71.00M,2.579B,1.855B,3.323B,824.00M,2.499B,,0.92,0.00,0.92,0.92,,0.89,0.00,0.89,0.89,,2.712B,2.892B,0.6436,,AOR,Restated
2014-03,19.64B,19.64B,10.04B,9.601B,6.295B,,180.00M,29.00M,-151.00M,6.295B,3.306B,29.00M,180.00M,-151.00M,20.00M,-151.00M,3.175B,644.00M,2.531B,105.00M,-27.00M,57.00M,2.609B,2.504B,4.146B,791.00M,3.355B,,0.90,0.04,0.90,0.94,,0.87,0.03,0.87,0.90,,2.713B,2.894B,0.6015,,AOR,Restated
2013-12,21.10B,21.10B,10.47B,10.62B,6.323B,,185.00M,22.00M,-163.00M,6.323B,4.302B,22.00M,185.00M,-163.00M,43.00M,-163.00M,4.182B,885.00M,3.297B,175.00M,-44.00M,67.00M,3.428B,3.253B,5.122B,755.00M,4.367B,,1.18,0.06,1.18,1.24,,1.12,0.06,1.12,1.18,,2.719B,2.908B,0.6015,,AOR,Restated
2013-09,20.83B,20.83B,10.57B,10.26B,6.136B,0.00,165.00M,21.00M,-144.00M,6.136B,4.12B,21.00M,165.00M,-144.00M,5.00M,-144.00M,3.981B,942.00M,3.039B,18.00M,-30.00M,58.00M,3.027B,3.009B,4.917B,771.00M,4.146B,,1.08,0.01,1.08,1.09,,1.03,0.01,1.03,1.04,,2.735B,2.924B,0.6015,,AOR,Restated
2013-06,16.60B,16.60B,8.417B,8.187B,5.91B,,163.00M,29.00M,-134.00M,5.91B,2.277B,29.00M,163.00M,-134.00M,-296.00M,-134.00M,1.847B,414.00M,1.433B,,-7.00M,68.00M,1.875B,1.426B,2.804B,794.00M,2.01B,,0.66,0.00,0.66,0.66,,0.64,0.00,0.64,0.64,,2.746B,2.940B,0.6015,,AOR,Restated
2013-03,20.60B,20.60B,10.34B,10.25B,6.849B,,163.00M,21.00M,-142.00M,6.849B,3.405B,21.00M,163.00M,-142.00M,25.00M,-142.00M,3.288B,697.00M,2.591B,,-25.00M,54.00M,2.566B,2.566B,4.191B,740.00M,3.451B,,0.92,,0.92,0.92,,0.88,,0.88,0.88,,2.742B,2.931B,0.562,,AOR,Restated
2012-12,22.18B,22.18B,10.88B,11.30B,6.803B,,169.00M,19.00M,-150.00M,6.803B,4.492B,19.00M,169.00M,-150.00M,876.00M,-150.00M,5.218B,1.142B,4.076B,,-19.00M,65.00M,4.057B,4.057B,6.125B,738.00M,5.387B,,1.46,,1.46,1.46,,1.39,,1.39,1.39,,2.735B,2.919B,0.562,,AOR,Restated
2012-09,20.74B,20.74B,10.35B,10.39B,6.438B,,172.00M,19.00M,-153.00M,6.438B,3.951B,19.00M,172.00M,-153.00M,28.00M,-153.00M,3.826B,973.00M,2.853B,,-39.00M,57.00M,2.814B,2.814B,4.708B,710.00M,3.998B,,1.00,,1.00,1.00,,0.96,,0.96,0.96,,2.749B,2.932B,0.562,,AOR,Restated
2012-06,18.54B,18.54B,9.517B,9.021B,6.215B,0.00,182.00M,,-105.00M,6.215B,2.806B,,182.00M,-105.00M,-53.00M,-105.00M,2.648B,602.00M,2.046B,1.621B,-36.00M,75.00M,3.631B,2.01B,3.607B,777.00M,2.83B,,0.76,0.53,0.76,1.29,,0.74,0.50,0.74,1.24,,2.747B,2.930B,0.562,,AOR,Restated
2012-03,20.19B,20.19B,10.24B,9.957B,6.636B,-22.00M,179.00M,,-179.00M,6.636B,3.321B,,179.00M,-179.00M,45.00M,-179.00M,3.187B,754.00M,2.433B,34.00M,-56.00M,62.00M,2.411B,2.394B,4.337B,971.00M,3.366B,,0.84,0.01,0.8461,0.85,,0.81,0.01,0.8157,0.82,,2.746B,2.938B,0.525,,AOR,Restated
2011-12,21.74B,21.74B,10.85B,10.89B,6.659B,-1.554B,201.00M,,-201.00M,6.659B,4.234B,,201.00M,-201.00M,-1.384B,-201.00M,2.649B,977.00M,1.672B,41.00M,-23.00M,64.00M,1.69B,2.630B,3.563B,713.00M,2.85B,,0.58,0.01,0.9357,0.59,,0.56,0.01,0.8924,0.57,,2.757B,2.950B,0.525,,AOR,Restated
2011-09,21.53B,21.53B,10.81B,10.72B,6.474B,,207.00M,,-207.00M,6.474B,4.25B,,207.00M,-207.00M,1.00M,-207.00M,4.044B,1.045B,2.999B,58.00M,-33.00M,55.00M,3.024B,2.966B,4.994B,743.00M,4.251B,,1.06,0.02,1.06,1.08,,1.01,0.02,1.01,1.03,,2.756B,2.946B,0.525,,AOR,Restated
2011-06,20.45B,20.45B,10.53B,9.919B,6.74B,-171.00M,212.00M,,-150.00M,6.74B,3.179B,,212.00M,-150.00M,100.00M,-150.00M,3.129B,661.00M,2.468B,71.00M,-29.00M,66.00M,2.51B,2.574B,4.076B,735.00M,3.341B,,0.86,0.02,0.9084,0.88,,0.81,0.02,0.8552,0.84,,2.784B,2.982B,0.525,,AOR,Restated
2011-03,19.89B,19.89B,9.789B,10.10B,6.399B,104.00M,202.00M,,-202.00M,6.399B,3.705B,,202.00M,-202.00M,104.00M,-202.00M,3.607B,748.00M,2.859B,47.00M,-33.00M,51.00M,2.873B,2.744B,4.512B,703.00M,3.809B,,0.99,0.02,0.9606,1.01,,0.94,0.02,0.9125,0.96,,2.802B,2.999B,0.4818,,AOR,Restated
2010-12,21.35B,21.35B,10.29B,11.06B,6.80B,39.00M,209.00M,,-209.00M,6.80B,4.26B,,209.00M,-209.00M,39.00M,-209.00M,4.09B,728.00M,3.362B,,-29.00M,116.00M,3.333B,3.301B,5.01B,711.00M,4.299B,,1.17,0.00,1.159,1.17,,1.11,0.00,1.099,1.11,,2.814B,3.000B,0.4818,,AOR,
2010-09,20.12B,20.12B,9.689B,10.43B,5.932B,-11.00M,208.00M,,-208.00M,5.932B,4.501B,,208.00M,-208.00M,-11.00M,-208.00M,4.282B,1.201B,3.081B,,,53.00M,3.081B,3.089B,5.179B,689.00M,4.49B,,1.07,0.00,1.073,1.07,,1.02,0.00,1.023,1.02,,2.828B,3.026B,0.4818,,AOR,Restated
2010-06,17.56B,17.56B,8.683B,8.872B,6.211B,-93.00M,212.00M,,-212.00M,6.211B,2.661B,,212.00M,-212.00M,-11.00M,-212.00M,2.438B,348.00M,2.09B,205.00M,,70.00M,2.185B,2.060B,3.43B,780.00M,2.65B,,0.67,0.08,0.6978,0.75,,0.65,0.07,0.6760,0.72,,2.867B,3.067B,0.4818,,AOR,Restated
2010-03,19.18B,19.18B,9.225B,9.953B,5.985B,17.00M,223.00M,,-223.00M,5.985B,3.968B,,223.00M,-223.00M,17.00M,-223.00M,3.762B,1.177B,2.585B,0.00,,49.00M,2.585B,2.573B,4.784B,799.00M,3.985B,,0.88,0.00,0.8760,0.88,,0.83,0.00,0.8262,0.83,,2.898B,3.104B,0.44,,AOR,Restated
2009-12,21.03B,21.03B,9.736B,11.29B,6.636B,53.00M,224.00M,,-224.00M,6.636B,4.655B,,224.00M,-224.00M,53.00M,-224.00M,4.484B,1.335B,3.149B,1.51B,,50.00M,4.659B,3.112B,5.466B,758.00M,4.708B,,1.06,0.52,1.047,1.58,,1.01,0.48,0.9981,1.49,,2.917B,3.118B,0.44,,AOR,Restated
2009-09,19.81B,19.81B,9.398B,10.41B,5.961B,23.00M,287.00M,,-287.00M,5.961B,4.448B,,287.00M,-287.00M,23.00M,-287.00M,4.184B,1.157B,3.027B,280.00M,,50.00M,3.307B,3.010B,5.242B,771.00M,4.471B,,1.02,0.09,1.014,1.11,,0.97,0.09,0.9646,1.06,,2.921B,3.110B,0.44,,AOR,Restated
2009-06,18.08B,18.08B,9.216B,8.868B,5.488B,16.00M,328.00M,,-328.00M,5.488B,3.38B,,328.00M,-328.00M,16.00M,-328.00M,3.068B,745.00M,2.323B,148.00M,,53.00M,2.471B,2.311B,4.25B,854.00M,3.396B,,0.78,0.06,0.7758,0.84,,0.75,0.05,0.7461,0.80,,2.918B,3.098B,0.44,,AOR,Restated
2009-03,17.86B,17.86B,9.117B,8.747B,5.194B,34.00M,337.00M,,-337.00M,5.194B,3.553B,,337.00M,-337.00M,34.00M,-337.00M,3.25B,821.00M,2.429B,184.00M,,45.00M,2.613B,2.404B,4.312B,725.00M,3.587B,,0.82,0.06,0.8113,0.88,,0.78,0.06,0.7718,0.84,,2.920B,3.105B,0.40,,AOR,Restated
2008-12,19.76B,19.76B,9.799B,9.964B,5.909B,67.00M,354.00M,,-354.00M,5.909B,4.055B,,354.00M,-354.00M,67.00M,-354.00M,3.768B,955.00M,2.813B,2.191B,,47.00M,5.004B,2.763B,4.815B,693.00M,4.122B,,0.94,0.74,0.9231,1.68,,0.89,0.69,0.8742,1.58,,2.959B,3.171B,0.40,,,Restated
2008-09,20.98B,20.98B,10.56B,10.42B,6.039B,280.00M,339.00M,,-339.00M,6.039B,4.386B,,339.00M,-339.00M,280.00M,-339.00M,4.327B,1.212B,3.115B,233.00M,,47.00M,3.348B,2.913B,5.476B,810.00M,4.666B,,1.02,0.08,0.9531,1.10,,0.96,0.07,0.8978,1.03,,3.012B,3.240B,0.40,,,Restated
2008-06,20.88B,20.88B,10.57B,10.31B,6.577B,66.00M,355.00M,,-355.00M,6.577B,3.736B,,355.00M,-355.00M,66.00M,-355.00M,3.447B,497.00M,2.95B,66.00M,,50.00M,3.016B,2.894B,4.698B,896.00M,3.802B,,0.95,0.02,0.9314,0.97,,0.90,0.02,0.8827,0.92,,3.043B,3.270B,0.40,,,Restated
2008-03,20.03B,20.03B,9.679B,10.35B,6.334B,10.00M,364.00M,,-364.00M,6.334B,4.013B,,364.00M,-364.00M,10.00M,-364.00M,3.659B,1.009B,2.65B,60.00M,,41.00M,2.71B,2.643B,4.79B,767.00M,4.023B,,0.85,0.02,0.8476,0.87,,0.80,0.02,0.7978,0.82,,3.068B,3.301B,0.35,,,Restated
2007-12,21.04B,21.04B,10.03B,11.01B,6.42B,193.00M,,,,6.42B,4.59B,,,,193.00M,,3.194B,1.20B,3.194B,76.00M,,43.00M,3.27B,3.074B,5.341B,751.00M,4.59B,,1.02,0.02,0.9812,1.04,,0.96,0.02,0.9239,0.98,,3.103B,3.342B,0.35,,,
2007-09,20.20B,20.20B,9.519B,10.68B,6.262B,193.00M,,,,6.262B,4.418B,,,,193.00M,,4.252B,1.173B,3.079B,,,42.00M,3.079B,2.939B,5.17B,752.00M,4.418B,,0.97,0.00,0.9252,0.97,,0.92,0.00,0.8783,0.92,,3.118B,3.354B,0.35,,,
2007-06,19.27B,19.27B,9.476B,9.796B,6.395B,135.00M,,,,6.395B,3.401B,,,,135.00M,,3.208B,940.00M,2.268B,,,45.00M,2.268B,2.173B,4.164B,763.00M,3.401B,,0.71,0.00,0.6796,0.71,,0.67,0.00,0.6396,0.67,,3.143B,3.143B,0.35,,,
2007-03,18.69B,18.69B,9.057B,9.637B,5.991B,169.00M,,,,5.991B,3.646B,,,,169.00M,,3.536B,1.024B,2.512B,,,38.00M,2.512B,2.392B,4.524B,878.00M,3.646B,,0.78,0.00,0.7420,0.78,,0.74,0.00,0.7047,0.74,,3.156B,3.397B,0.31,,,
2006-12,19.72B,19.72B,9.287B,10.44B,6.088B,79.00M,,,,6.088B,4.35B,,,,79.00M,,4.09B,1.228B,2.862B,,,39.00M,2.862B,2.807B,5.055B,705.00M,4.35B,,0.89,0.00,0.8725,0.89,,0.84,0.00,0.8238,0.84,,3.162B,3.406B,0.31,,,
2006-09,18.78B,18.78B,8.865B,9.92B,5.866B,180.00M,,,,5.866B,4.054B,,,,180.00M,,3.876B,1.178B,2.698B,,,39.00M,2.698B,2.573B,4.838B,784.00M,4.054B,,0.84,0.00,0.8010,0.84,,0.79,0.00,0.7533,0.79,,3.212B,3.413B,0.31,,,
2006-06,17.84B,17.84B,8.894B,8.948B,5.999B,62.00M,,,,5.999B,2.949B,,,,62.00M,,2.711B,813.00M,1.898B,,,41.00M,1.898B,1.855B,3.685B,736.00M,2.949B,,0.57,0.00,0.5565,0.57,,0.54,0.00,0.5274,0.54,,3.209B,3.437B,0.31,,,
2006-03,17.25B,17.25B,8.34B,8.91B,5.559B,79.00M,,,,5.559B,3.351B,,,,79.00M,,3.129B,918.00M,2.211B,,,35.00M,2.211B,2.155B,4.084B,733.00M,3.351B,,0.67,0.00,0.6529,0.67,,0.63,0.00,0.6141,0.63,,3.270B,3.510B,0.28,,,
2005-12,18.34B,18.34B,8.732B,9.605B,5.713B,68.00M,,,,5.713B,3.892B,,,,68.00M,,3.661B,1.115B,2.546B,,,36.00M,2.546B,2.499B,4.602B,710.00M,3.892B,,0.76,0.00,0.7457,0.76,,0.72,0.00,0.7067,0.72,,3.308B,3.547B,0.28,,,
2005-09,14.79B,14.79B,7.159B,7.634B,4.577B,74.00M,,,,4.577B,3.057B,,,,74.00M,,2.912B,883.00M,2.029B,,,36.00M,2.029B,1.977B,3.505B,448.00M,3.057B,,0.82,0.00,0.7992,0.82,,0.77,0.00,0.7505,0.77,,2.474B,2.650B,0.28,,,
2005-06,14.26B,14.26B,7.309B,6.949B,4.793B,49.00M,,,,4.793B,2.156B,,,,49.00M,,1.974B,582.00M,1.392B,,,38.00M,1.392B,1.357B,2.637B,481.00M,2.156B,,0.55,0.00,0.5361,0.55,,0.52,0.00,0.5072,0.52,,2.482B,2.700B,0.28,,,
2005-03,14.29B,14.29B,7.055B,7.232B,4.69B,60.00M,,,,4.69B,2.542B,,,,60.00M,,2.38B,766.00M,1.614B,,,32.00M,1.614B,1.573B,3.017B,475.00M,2.542B,,0.63,0.00,0.6138,0.63,,0.59,0.00,0.5751,0.59,,2.511B,2.730B,0.25,,,
2004-12,14.45B,14.45B,6.871B,7.581B,4.511B,55.00M,,,,4.511B,3.07B,,,,55.00M,,2.925B,886.00M,2.039B,,,33.00M,2.039B,2.001B,3.518B,448.00M,3.07B,,0.77,0.00,0.7561,0.77,,0.72,0.00,0.7066,0.72,,2.752B,2.870B,0.25,,,
2004-09,13.74B,13.74B,6.623B,7.121B,4.332B,182.00M,,,,4.332B,2.789B,,,,182.00M,,2.79B,848.00M,1.942B,,,,1.942B,1.815B,3.269B,480.00M,2.789B,,0.75,0.00,0.7001,0.75,,0.70,0.00,0.6542,0.70,,2.541B,2.766B,0.25,,,
2004-06,12.96B,12.96B,6.546B,6.416B,4.722B,16.00M,,,,4.722B,1.694B,,,,16.00M,,1.535B,486.00M,1.049B,,,34.00M,1.049B,1.038B,2.148B,454.00M,1.694B,,0.40,0.00,0.3957,0.40,,0.37,0.00,0.3661,0.37,,2.558B,2.772B,0.25,,,
2004-03,13.03B,13.03B,6.394B,6.635B,4.332B,67.00M,,,,4.332B,2.303B,,,,67.00M,,2.206B,678.00M,1.528B,,,32.00M,1.528B,1.482B,2.725B,422.00M,2.303B,,0.58,0.00,0.5620,0.58,,0.55,0.00,0.5334,0.55,,2.578B,2.790B,0.2275,,,
2003-12,13.22B,13.22B,6.324B,6.897B,4.155B,29.00M,,,,4.155B,2.742B,,,,29.00M,,2.622B,804.00M,1.818B,,,32.00M,1.818B,1.798B,3.192B,450.00M,2.742B,,0.69,0.00,0.6822,0.69,,0.65,0.00,0.6428,0.65,,2.591B,2.801B,0.2275,,,
2003-09,12.20B,12.20B,5.879B,6.316B,3.673B,40.00M,,,,3.673B,2.643B,,,,40.00M,,2.542B,781.00M,1.761B,,,33.00M,1.761B,1.733B,3.05B,407.00M,2.643B,,0.67,0.00,0.6593,0.67,,0.63,0.00,0.6201,0.63,,2.593B,2.798B,0.2275,,,
