,NetIncome,Gain/LossonSaleBusiness,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2017-03,2.556B,,-109.00M,665.00M,665.00M,66.00M,,93.00M,-19.00M,436.00M,102.00M,-817.00M,,67.00M,-212.00M,3.04B,,-801.00M,,,0.00,-1.132B,131.00M,-1.802B,,9.00M,841.00M,850.00M,,-2.001B,-2.001B,-1.773B,1.324B,-1.60B,,6.051B,-362.00M,128.00M,5.817B,,,0.00,9.00M,-2.001B,,AOR,Restated
2016-12,7.896B,,-4.725B,707.00M,707.00M,-271.00M,,60.00M,41.00M,-171.00M,40.00M,-594.00M,,17.00M,-708.00M,3.00B,,-745.00M,,,-129.00M,-993.00M,1.967B,100.00M,,-2.278B,1.196B,-1.082B,,-1.501B,-1.501B,-1.786B,137.00M,-4.232B,,7.456B,-1.132B,-273.00M,6.051B,,,1.75B,-4.028B,-1.501B,,AOR,Restated
2016-09,2.757B,,-75.00M,728.00M,728.00M,-177.00M,,44.00M,26.00M,-424.00M,-287.00M,298.00M,,135.00M,-278.00M,3.025B,,-684.00M,,,-362.00M,-384.00M,-691.00M,-2.121B,,-110.00M,1.519B,1.409B,,-1.002B,-1.002B,-1.851B,937.00M,-507.00M,,7.102B,397.00M,-43.00M,7.456B,,,891.00M,-1.001B,-1.002B,,AOR,Restated
2016-06,1.958B,,-282.00M,839.00M,839.00M,-387.00M,0.00,119.00M,-3.00M,164.00M,210.00M,1.484B,,37.00M,1.895B,4.139B,,-1.291B,,,0.00,-218.00M,317.00M,-1.192B,,-3.00M,-1.953B,-1.956B,,-500.00M,-500.00M,-1.847B,648.00M,-3.655B,,7.895B,-708.00M,-85.00M,7.102B,,,0.00,-3.00M,-500.00M,,AOR,Restated
2016-03,2.783B,37.00M,278.00M,785.00M,785.00M,-568.00M,48.00M,76.00M,-47.00M,359.00M,292.00M,-521.00M,,-207.00M,-77.00M,3.278B,,-800.00M,,,-143.00M,-1.04B,-961.00M,-2.944B,,2.224B,-485.00M,1.739B,,-2.731B,-2.731B,-1.856B,1.017B,-1.831B,,9.403B,-1.497B,-11.00M,7.895B,,,2.195B,29.00M,-2.731B,,AOR,Restated
2015-12,3.228B,-30.00M,-30.00M,723.00M,723.00M,51.00M,0.00,73.00M,165.00M,-120.00M,133.00M,24.00M,,233.00M,270.00M,4.48B,,-691.00M,,,-186.00M,-58.00M,42.00M,-893.00M,,19.00M,1.57B,1.589B,,-2.001B,-2.001B,-1.868B,524.00M,-1.756B,,7.705B,1.831B,-133.00M,9.403B,,,1.721B,-1.702B,-2.001B,,AOR,Restated
2015-09,2.635B,-7.00M,-7.00M,731.00M,731.00M,89.00M,402.00M,67.00M,69.00M,-368.00M,-519.00M,298.00M,,141.00M,-448.00M,3.538B,,-532.00M,,,,-52.00M,38.00M,-546.00M,,-537.00M,450.00M,-87.00M,,-502.00M,-502.00M,-1.865B,483.00M,-1.971B,,6.836B,1.021B,-152.00M,7.705B,,,,-537.00M,-502.00M,,AOR,Restated
2015-06,538.00M,2.347B,1.581B,808.00M,808.00M,-668.00M,153.00M,106.00M,297.00M,41.00M,503.00M,782.00M,,-153.00M,1.173B,3.988B,,-1.274B,,,-926.00M,237.00M,783.00M,-1.18B,,122.00M,-2.439B,-2.317B,,-350.00M,-350.00M,-1.871B,162.00M,-4.376B,,8.374B,-1.568B,40.00M,6.836B,,,950.00M,-828.00M,-350.00M,,AOR,Restated
2015-03,2.188B,-20.00M,-20.00M,786.00M,786.00M,-166.00M,308.00M,80.00M,166.00M,650.00M,316.00M,-97.00M,,-659.00M,210.00M,3.552B,,-820.00M,,,-7.00M,-81.00M,67.00M,-841.00M,,-697.00M,-493.00M,-1.19B,,-1.00M,-1.00M,-1.802B,655.00M,-2.338B,,8.204B,373.00M,-203.00M,8.374B,,,76.00M,-773.00M,-1.00M,,AOR,Restated
2014-12,2.398B,-65.00M,-65.00M,746.00M,746.00M,46.00M,740.00M,70.00M,96.00M,-241.00M,62.00M,-569.00M,,152.00M,-596.00M,3.435B,,-832.00M,,,-97.00M,-1.082B,700.00M,-1.311B,,1.103B,247.00M,1.35B,,-1.875B,-1.875B,-1.808B,1.043B,-1.29B,,7.486B,834.00M,-116.00M,8.204B,,,1.112B,-9.00M,-1.875B,,AOR,Restated
2014-09,2.02B,-234.00M,-234.00M,794.00M,794.00M,-15.00M,973.00M,81.00M,187.00M,-101.00M,-568.00M,812.00M,,-316.00M,-173.00M,3.633B,,-810.00M,,,-15.00M,-1.681B,2.948B,442.00M,,-1.902B,105.00M,-1.797B,,-2.378B,-2.378B,-1.806B,966.00M,-5.015B,,8.558B,-940.00M,-132.00M,7.486B,,,,-1.902B,-2.378B,,AOR,Restated
2014-06,2.62B,-137.00M,-137.00M,824.00M,824.00M,46.00M,0.00,113.00M,131.00M,-63.00M,363.00M,1.161B,,-552.00M,909.00M,4.506B,,-1.241B,,,-27.00M,-644.00M,510.00M,-1.402B,,-2.037B,1.045B,-992.00M,,-500.00M,-500.00M,-1.814B,550.00M,-2.756B,,8.182B,348.00M,35.00M,8.548B,,,66.00M,-2.103B,-500.00M,,AOR,Restated
2014-03,2.636B,-12.00M,-12.00M,791.00M,791.00M,36.00M,0.00,94.00M,62.00M,526.00M,91.00M,31.00M,,-146.00M,502.00M,4.109B,,-944.00M,,,2.00M,-12.00M,52.00M,-902.00M,,-1.992B,2.688B,696.00M,,-1.501B,-1.501B,-1.688B,607.00M,-1.886B,,6.929B,1.321B,-68.00M,8.182B,,,-3.00M,-1.989B,-1.501B,,AOR,Restated
2013-12,3.472B,-3.00M,-3.00M,755.00M,755.00M,-115.00M,0.00,69.00M,-2.00M,-373.00M,6.00M,-382.00M,,-128.00M,-877.00M,3.299B,,-938.00M,,,0.00,-25.00M,13.00M,-950.00M,,3.195B,-2.291B,904.00M,,-1.502B,-1.502B,-1.701B,633.00M,-1.666B,,6.122B,683.00M,124.00M,6.929B,,,3.198B,-3.00M,-1.502B,,AOR,Restated
2013-09,3.057B,-2.00M,-2.00M,771.00M,771.00M,-11.00M,0.00,84.00M,140.00M,-3.00M,-452.00M,-809.00M,,-731.00M,-1.995B,2.044B,,-725.00M,,,1.00M,-124.00M,2.00M,-846.00M,,1.073B,1.862B,2.935B,,-2.502B,-2.502B,-1.708B,304.00M,-971.00M,,5.947B,227.00M,-52.00M,6.122B,,,1.073B,0.00,-2.502B,,AOR,Restated
2013-06,1.882B,-10.00M,-10.00M,794.00M,794.00M,-382.00M,,96.00M,426.00M,89.00M,267.00M,1.337B,,-415.00M,1.278B,4.392B,,-1.582B,,,3.00M,-66.00M,25.00M,-1.62B,,75.00M,-746.00M,-671.00M,,-1.001B,-1.001B,-1.722B,719.00M,-2.675B,,5.876B,97.00M,-26.00M,5.947B,,,78.00M,-3.00M,-1.001B,,AOR,Restated
2013-03,2.591B,-4.00M,-4.00M,740.00M,740.00M,57.00M,,96.00M,9.00M,410.00M,-168.00M,204.00M,,-73.00M,373.00M,3.862B,,-897.00M,,,-25.00M,-1.481B,85.00M,-2.318B,,14.00M,-820.00M,-806.00M,,-1.001B,-1.001B,-1.591B,1.068B,-2.33B,,6.643B,-786.00M,19.00M,5.876B,,,14.00M,0.00,-1.001B,,AOR,Restated
2012-12,4.076B,-885.00M,-885.00M,738.00M,738.00M,36.00M,,75.00M,-57.00M,-119.00M,178.00M,-352.00M,,159.00M,-134.00M,3.849B,,-724.00M,,,-1.135B,-167.00M,408.00M,-1.618B,,-2.484B,3.939B,1.455B,,-1.40B,-1.40B,-1.601B,711.00M,-835.00M,,5.302B,1.396B,-55.00M,6.643B,,,14.00M,-2.498B,-1.40B,,AOR,Restated
2012-09,2.853B,-17.00M,-17.00M,710.00M,710.00M,-18.00M,,79.00M,-1.00M,-795.00M,-502.00M,64.00M,,397.00M,-836.00M,2.77B,,-805.00M,,,12.00M,-12.00M,66.00M,-739.00M,,974.00M,1.033B,2.007B,,-2.584B,-2.584B,-1.605B,951.00M,-1.231B,,4.436B,800.00M,66.00M,5.302B,,,2.225B,-1.251B,-2.584B,,AOR,Restated
2012-06,3.667B,-1.905B,-1.905B,777.00M,777.00M,-60.00M,0.00,100.00M,149.00M,-80.00M,364.00M,1.536B,,-575.00M,1.245B,3.973B,,-1.301B,,,-130.00M,22.00M,2.603B,1.194B,,-35.00M,-3.29B,-3.325B,,-1.00M,-1.00M,-1.618B,290.00M,-4.654B,,3.991B,513.00M,-68.00M,4.436B,,,0.00,-35.00M,-1.00M,,AOR,Restated
2012-03,2.467B,-14.00M,-14.00M,971.00M,971.00M,-37.00M,22.00M,109.00M,4.00M,732.00M,210.00M,-549.00M,,-99.00M,294.00M,3.816B,,-883.00M,,,-6.00M,19.00M,52.00M,-818.00M,,1.995B,-2.538B,-543.00M,,-2.259B,-2.259B,-1.508B,850.00M,-3.46B,,4.414B,-462.00M,39.00M,3.991B,,,1.995B,0.00,-2.259B,,AOR,Restated
2011-12,1.713B,-185.00M,-185.00M,713.00M,713.00M,-94.00M,1.554B,88.00M,15.00M,-440.00M,430.00M,-530.00M,,64.00M,-476.00M,3.328B,,-947.00M,,,8.00M,96.00M,233.00M,-610.00M,,-1.499B,1.199B,-300.00M,,-503.00M,-503.00M,-1.51B,436.00M,-1.877B,,3.582B,841.00M,-9.00M,4.414B,,,2.00M,-1.501B,-503.00M,,AOR,Restated
2011-09,3.057B,-2.00M,-2.00M,743.00M,743.00M,126.00M,,80.00M,42.00M,-639.00M,-927.00M,-479.00M,,166.00M,-1.879B,2.167B,,-833.00M,,,-6.00M,-25.00M,5.00M,-859.00M,,975.00M,1.217B,2.192B,,-1.261B,-1.261B,-1.503B,153.00M,-419.00M,,2.768B,889.00M,-75.00M,3.582B,,,1.988B,-1.013B,-1.261B,,AOR,Restated
2011-06,2.539B,-133.00M,-133.00M,735.00M,735.00M,-58.00M,0.00,119.00M,100.00M,69.00M,316.00M,581.00M,,-390.00M,576.00M,3.878B,,-1.24B,-89.00M,-89.00M,15.00M,-24.00M,225.00M,-1.113B,,-18.00M,571.00M,553.00M,,-2.503B,-2.503B,-1.53B,512.00M,-2.968B,,2.946B,-203.00M,25.00M,2.768B,,,0.00,402.00M,-2.503B,,AOR,Restated
2011-03,2.906B,-67.00M,-67.00M,703.00M,703.00M,44.00M,0.00,115.00M,-17.00M,436.00M,-38.00M,154.00M,,-160.00M,392.00M,4.076B,,-810.00M,89.00M,89.00M,-54.00M,-31.00M,-22.00M,-828.00M,,-28.00M,-1.368B,-1.396B,,-1.008B,-1.008B,-1.403B,228.00M,-3.579B,,3.249B,-331.00M,28.00M,2.946B,,,-948.00M,-448.00M,-1.008B,,AOR,Restated
2010-12,3.401B,-5.00M,-5.00M,711.00M,711.00M,94.00M,0.00,93.00M,66.00M,-497.00M,-175.00M,-74.00M,,-690.00M,-1.436B,2.924B,,-737.00M,,,-37.00M,153.00M,8.00M,-613.00M,,1.393B,-1.464B,-71.00M,,-518.00M,-518.00M,-1.412B,327.00M,-1.674B,,2.603B,637.00M,9.00M,3.249B,,,71.00M,-142.00M,-518.00M,,AOR,
2010-09,3.081B,2.00M,2.00M,689.00M,689.00M,48.00M,,87.00M,-133.00M,-434.00M,-604.00M,-303.00M,,19.00M,-1.322B,2.452B,,-519.00M,,,-398.00M,-25.00M,14.00M,-928.00M,,-17.00M,2.412B,2.395B,,-3.01B,-3.01B,-1.422B,136.00M,-1.901B,,2.879B,-377.00M,101.00M,2.603B,,,2.413B,-18.00M,-3.01B,,AOR,Restated
2010-06,2.295B,-20.00M,-20.00M,780.00M,780.00M,-151.00M,,120.00M,-24.00M,324.00M,113.00M,248.00M,,-313.00M,372.00M,3.372B,,-1.087B,-3.047B,-3.047B,-360.00M,-141.00M,,-1.567B,,-1.546B,1.683B,137.00M,,-2.587B,-2.587B,-1.457B,131.00M,-3.776B,,4.899B,-1.971B,-49.00M,2.879B,,,1.078B,857.00M,-2.587B,,AOR,Restated
2010-03,2.585B,-13.00M,-13.00M,799.00M,799.00M,194.00M,,128.00M,274.00M,488.00M,-75.00M,885.00M,,-355.00M,943.00M,4.91B,,-706.00M,8.00M,8.00M,5.00M,17.00M,,-676.00M,,504.00M,-579.00M,-75.00M,,-2.003B,-2.003B,-1.329B,213.00M,-3.194B,,4.13B,1.04B,-271.00M,4.899B,,,1.257B,-1.332B,-2.003B,,AOR,Restated
2009-12,4.659B,-2.438B,-2.438B,758.00M,758.00M,22.00M,,106.00M,-153.00M,-313.00M,144.00M,495.00M,,-85.00M,241.00M,3.294B,,-722.00M,2.83B,2.83B,-51.00M,-33.00M,,2.024B,,-184.00M,-4.816B,-5.00B,,-1.406B,-1.406B,-1.336B,201.00M,-7.541B,,6.294B,-2.223B,59.00M,4.13B,,,-1.915B,-3.085B,-1.406B,,AOR,Restated
2009-09,3.307B,-199.00M,-199.00M,771.00M,771.00M,-29.00M,,99.00M,99.00M,-513.00M,-96.00M,818.00M,,397.00M,606.00M,4.555B,,-552.00M,209.00M,209.00M,-19.00M,-16.00M,,-378.00M,,-3.49B,1.914B,-1.576B,,-8.00M,-8.00M,-1.336B,117.00M,-2.803B,,4.781B,1.374B,139.00M,6.294B,,,3.41B,-4.986B,-8.00M,,AOR,Restated
2009-06,2.471B,7.00M,7.00M,854.00M,854.00M,486.00M,,148.00M,60.00M,166.00M,1.034B,271.00M,,-501.00M,970.00M,4.996B,,-1.08B,,,-53.00M,50.00M,-1.096B,-1.092B,,-397.00M,-1.976B,-2.373B,,-5.00M,-5.00M,-1.336B,98.00M,-3.616B,,4.434B,288.00M,59.00M,4.781B,,,0.00,-2.373B,-5.00M,,AOR,Restated
2009-03,2.613B,-80.00M,-80.00M,725.00M,725.00M,-82.00M,,145.00M,-122.00M,1.024B,512.00M,-345.00M,,-107.00M,1.084B,4.283B,,-737.00M,,,8.00M,64.00M,79.00M,-586.00M,,2.007B,-4.54B,-2.533B,,-1.122B,-1.122B,-1.215B,32.00M,-4.838B,,5.653B,-1.141B,-78.00M,4.434B,,,-2.082B,-451.00M,-1.122B,,AOR,Restated
2008-12,5.004B,-1.987B,-1.987B,693.00M,693.00M,-55.00M,,97.00M,86.00M,-50.00M,8.00M,-1.066B,,-534.00M,-1.642B,2.196B,,-722.00M,,,-31.00M,18.00M,472.00M,-263.00M,,1.138B,660.00M,1.798B,,-1.332B,-1.332B,-1.239B,146.00M,-627.00M,,4.502B,1.306B,-155.00M,5.653B,,,2.694B,-896.00M,-1.332B,,,Restated
2008-09,3.348B,-317.00M,-317.00M,810.00M,810.00M,247.00M,,126.00M,6.00M,-725.00M,-833.00M,398.00M,,384.00M,-776.00M,3.444B,,-699.00M,,,-292.00M,34.00M,545.00M,-412.00M,,-409.00M,3.436B,3.027B,,-3.911B,-3.911B,-1.254B,405.00M,-1.733B,,3.313B,1.299B,-110.00M,4.502B,,,4.314B,-1.287B,-3.911B,,,Restated
2008-06,3.016B,-66.00M,-66.00M,896.00M,896.00M,149.00M,,159.00M,37.00M,179.00M,27.00M,565.00M,,-1.149B,-378.00M,3.813B,,-1.194B,,,-417.00M,138.00M,169.00M,-1.304B,,-966.00M,911.00M,-55.00M,,-2.012B,-2.012B,-1.27B,431.00M,-2.906B,,3.737B,-397.00M,-27.00M,3.313B,,,1.465B,-1.52B,-2.012B,,,Restated
2008-03,2.71B,-218.00M,-433.00M,767.00M,767.00M,740.00M,,396.00M,-406.00M,956.00M,-488.00M,-171.00M,,-247.00M,50.00M,3.824B,,-668.00M,-747.00M,437.00M,12.00M,314.00M,759.00M,-330.00M,,-3.693B,1.739B,-2.026B,-979.00M,-2.554B,-3.533B,-1.118B,1.436B,-5.241B,,5.349B,-1.747B,135.00M,3.737B,,-979.00M,8.273B,-10.23B,-2.554B,,,Restated
2007-12,3.27B,,97.00M,751.00M,751.00M,112.00M,,,136.00M,-108.00M,76.00M,-123.00M,,-70.00M,-225.00M,4.141B,,-644.00M,473.00M,-171.00M,12.00M,-337.00M,,-496.00M,,,,457.00M,502.00M,-2.883B,-2.381B,-1.129B,,-3.053B,,4.626B,592.00M,131.00M,5.349B,,502.00M,,,-2.883B,,,
2007-09,3.079B,,118.00M,752.00M,752.00M,213.00M,,,106.00M,-595.00M,-665.00M,26.00M,,196.00M,-1.038B,3.23B,,-540.00M,274.00M,-266.00M,12.00M,-165.00M,,-419.00M,,,,-385.00M,477.00M,-2.598B,-2.121B,-1.138B,,-3.644B,,5.354B,-833.00M,105.00M,4.626B,,477.00M,,,-2.598B,,,
2007-06,2.268B,,592.00M,763.00M,763.00M,-53.00M,,,186.00M,137.00M,247.00M,-40.00M,,-518.00M,-174.00M,3.582B,,-949.00M,24.00M,-925.00M,-325.00M,-52.00M,,-1.302B,,,,1.421B,286.00M,-1.517B,-1.231B,-1.14B,,-950.00M,,3.994B,1.33B,30.00M,5.354B,,286.00M,,,-1.517B,,,
2007-03,2.512B,,,878.00M,878.00M,105.00M,,,193.00M,802.00M,-150.00M,-241.00M,,351.00M,762.00M,4.45B,,-757.00M,122.00M,-635.00M,-28.00M,105.00M,,-558.00M,,,,-3.003B,483.00M,-1.348B,-865.00M,-1.024B,,-4.892B,,4.987B,-1.00B,7.00M,3.994B,,483.00M,,,-1.348B,,,
2006-12,2.862B,,4.00M,705.00M,705.00M,45.00M,,,131.00M,-759.00M,20.00M,-466.00M,,-92.00M,-1.297B,2.45B,,-669.00M,34.00M,-635.00M,-67.00M,527.00M,,-175.00M,,,,-2.058B,312.00M,-1.358B,-1.046B,-1.022B,,-4.126B,,6.718B,-1.851B,120.00M,4.987B,,312.00M,,,-1.358B,,,
2006-09,2.698B,,-4.00M,784.00M,784.00M,156.00M,,,158.00M,-909.00M,-506.00M,474.00M,,102.00M,-839.00M,2.953B,,-570.00M,101.00M,-469.00M,-72.00M,93.00M,,-448.00M,,,,-550.00M,418.00M,-1.355B,-937.00M,-1.023B,,-2.51B,,6.693B,-5.00M,30.00M,6.718B,,418.00M,,,-1.355B,,,
2006-06,1.898B,,-400.00M,736.00M,736.00M,-228.00M,,,519.00M,-274.00M,544.00M,812.00M,,-417.00M,665.00M,3.19B,,-1.001B,530.00M,-471.00M,-45.00M,393.00M,,-123.00M,,,,1.876B,200.00M,-6.234B,-6.034B,-1.058B,,-5.216B,,8.675B,-2.149B,167.00M,6.693B,,200.00M,,,-6.234B,,,
2006-03,2.211B,,192.00M,733.00M,733.00M,-155.00M,,,-65.00M,707.00M,-234.00M,35.00M,,15.00M,523.00M,3.439B,,-637.00M,13.00M,-624.00M,-33.00M,452.00M,,-205.00M,,,,-582.00M,609.00M,-1.564B,-955.00M,-954.00M,,-2.491B,,7.816B,743.00M,116.00M,8.675B,,609.00M,,,-1.564B,,,
2005-12,2.546B,,208.00M,710.00M,710.00M,-13.00M,,,-35.00M,-418.00M,222.00M,-374.00M,,-271.00M,-841.00M,2.575B,,-628.00M,313.00M,-315.00M,1.427B,39.00M,17.00M,1.168B,,,,1.818B,368.00M,-3.477B,-3.109B,-964.00M,,-2.255B,,6.31B,1.488B,18.00M,7.816B,,368.00M,,,-3.477B,,,
2005-09,2.029B,,,448.00M,448.00M,284.00M,,,166.00M,-539.00M,-149.00M,-243.00M,,175.00M,-756.00M,2.171B,,-401.00M,26.00M,-375.00M,-1.178B,,-17.00M,-1.57B,,,,5.524B,142.00M,-5.555B,-5.413B,-727.00M,,-616.00M,,6.389B,-15.00M,-64.00M,6.31B,,142.00M,,,-5.555B,,,
2005-06,1.392B,,-370.00M,481.00M,481.00M,119.00M,,,373.00M,111.00M,134.00M,14.00M,,-164.00M,95.00M,2.09B,,-795.00M,149.00M,-646.00M,-44.00M,-44.00M,,-734.00M,,,,329.00M,115.00M,-1.446B,-1.331B,-733.00M,,-1.735B,,7.072B,-379.00M,-304.00M,6.389B,,115.00M,,,-1.446B,,,
