,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,2.569B,9.281B,11.85B,4.686B,4.686B,1.335B,588.00M,2.815B,4.738B,2.046B,,,,23.32B,0.00,841.00M,7.188B,30.60B,3.223B,41.85B,-21.25B,20.60B,45.18B,23.90B,69.08B,5.313B,94.99B,118.31B,,10.34B,268.00M,10.61B,3.208B,13.82B,513.00M,7.761B,2.662B,10.42B,10.42B,2.183B,28.24B,20.86B,,20.86B,6.163B,6.163B,6.263B,590.00M,1.247B,37.19B,65.43B,,4.976B,98.64B,63.85B,99.22B,967.00M,-1.204B,,-14.75B,-15.95B,52.29B,,AOR,Restated
2018-03,5.326B,10.21B,15.53B,5.149B,5.149B,1.415B,617.00M,3.175B,5.207B,2.07B,,,,27.96B,,,,,,,,20.92B,46.18B,24.13B,70.30B,5.18B,96.41B,124.37B,,9.716B,,9.716B,8.133B,17.85B,,,,12.86B,12.86B,,30.71B,22.44B,,22.44B,6.083B,6.083B,,631.00M,10.19B,38.71B,69.42B,,4.981B,98.62B,63.72B,97.91B,972.00M,-1.203B,,-13.89B,-15.09B,54.32B,,AOR,Restated
2017-12,7.432B,11.33B,18.76B,5.182B,5.182B,1.471B,575.00M,3.085B,5.131B,2.143B,,,,31.21B,,,,,,,,20.42B,45.62B,24.22B,69.85B,5.162B,95.43B,126.64B,,9.74B,,9.74B,7.82B,17.56B,,,,15.55B,15.55B,,33.11B,22.19B,,22.19B,6.145B,6.145B,,609.00M,10.48B,38.82B,71.92B,,4.995B,97.88B,63.76B,97.12B,986.00M,-1.229B,,-14.17B,-15.40B,54.11B,,AOR,Restated
2017-09,5.024B,10.98B,16.01B,4.942B,4.942B,1.344B,588.00M,3.091B,5.023B,2.124B,,,,28.10B,,,,,,,,20.11B,45.19B,24.26B,69.45B,5.196B,94.76B,122.85B,,9.458B,,9.458B,7.24B,16.70B,,,,14.03B,14.03B,,30.72B,20.19B,,20.19B,8.481B,8.481B,,597.00M,8.043B,36.71B,67.44B,,5.00B,97.20B,63.70B,95.56B,991.00M,-1.229B,,-14.29B,-15.52B,54.82B,,AOR,Restated
2017-06,5.569B,9.568B,15.14B,4.594B,4.594B,1.308B,529.00M,2.787B,4.624B,2.139B,,,,26.49B,0.00,765.00M,6.943B,29.50B,2.935B,40.15B,-20.26B,19.89B,44.70B,24.19B,68.89B,5.133B,93.91B,120.41B,,9.632B,449.00M,10.08B,2.96B,13.04B,277.00M,11.70B,1.849B,13.55B,13.55B,1.994B,30.21B,18.04B,,18.04B,8.126B,8.126B,6.82B,594.00M,1.434B,34.42B,64.63B,,5.015B,96.12B,63.64B,93.72B,1.006B,-1.249B,,-14.63B,-15.88B,55.18B,,AOR,Restated
2017-03,5.817B,8.51B,14.33B,4.358B,4.358B,1.324B,505.00M,2.925B,4.754B,2.446B,,0.00,,25.88B,,,,,,,,19.22B,43.68B,24.15B,67.84B,5.152B,92.21B,118.09B,,8.076B,,8.076B,7.225B,15.30B,,,,13.78B,13.78B,,29.08B,16.63B,,16.63B,8.644B,8.644B,,708.00M,9.184B,34.46B,63.54B,,5.019B,95.74B,63.51B,93.22B,1.01B,-1.248B,,-15.96B,-17.20B,53.84B,,AOR,Restated
2016-12,6.051B,7.403B,13.45B,4.729B,4.729B,1.398B,522.00M,2.867B,4.787B,2.602B,,0.00,,25.57B,,,,,,,,18.78B,43.46B,24.18B,67.64B,5.04B,91.46B,117.03B,,8.30B,,8.30B,7.584B,15.88B,,,,13.01B,13.01B,,28.89B,16.46B,,16.46B,8.692B,8.692B,,684.00M,9.246B,34.40B,63.29B,,5.033B,94.94B,63.60B,92.72B,1.024B,-1.272B,,-16.52B,-17.79B,53.06B,,AOR,Restated
2016-09,7.456B,6.615B,14.07B,4.713B,4.713B,1.38B,549.00M,3.07B,4.999B,2.447B,1.87B,,,35.17B,,,,,,,,19.31B,44.46B,24.43B,68.89B,5.675B,93.87B,129.04B,,9.024B,,9.024B,8.032B,17.06B,,,,12.22B,12.22B,3.13B,32.40B,18.91B,,18.91B,8.515B,8.515B,,689.00M,10.27B,37.69B,70.09B,,5.038B,88.86B,63.55B,81.97B,1.029B,-1.271B,,-15.94B,-17.21B,58.26B,,AOR,Restated
2016-06,7.102B,6.246B,13.35B,4.373B,4.373B,1.188B,563.00M,2.965B,4.716B,2.653B,,1.507B,,33.78B,0.00,769.00M,6.885B,29.51B,2.706B,39.87B,-20.48B,19.38B,44.35B,24.53B,68.88B,5.092B,93.35B,127.14B,,9.325B,397.00M,9.722B,2.978B,12.70B,315.00M,8.69B,2.963B,11.65B,11.65B,4.645B,30.77B,18.94B,,18.94B,9.113B,9.113B,8.569B,642.00M,1.756B,38.38B,69.15B,,5.047B,87.95B,63.71B,82.18B,1.038B,-1.29B,,-15.91B,-17.20B,57.34B,,AOR,Restated
2016-03,7.895B,5.924B,13.82B,4.591B,4.591B,1.285B,558.00M,3.114B,4.957B,2.733B,,1.189B,,34.32B,,,,,,,,19.19B,44.68B,24.63B,69.31B,4.697B,93.19B,127.51B,,7.795B,,7.795B,7.652B,15.45B,,,,13.68B,13.68B,2.229B,31.36B,19.13B,,19.13B,9.161B,9.161B,,666.00M,8.003B,36.30B,67.66B,,5.052B,87.85B,63.62B,82.40B,1.043B,-1.289B,,-13.64B,-14.93B,59.19B,,AOR,Restated
2015-12,9.403B,4.874B,14.28B,4.721B,4.721B,1.425B,533.00M,3.167B,5.125B,1.828B,,1.173B,,36.35B,,,,,,,,18.91B,44.16B,24.50B,68.65B,5.234B,92.80B,129.14B,,7.717B,,7.717B,7.945B,15.66B,,,,13.93B,13.93B,2.46B,32.05B,17.60B,,17.60B,9.257B,9.257B,,674.00M,7.936B,34.79B,66.84B,,5.071B,86.92B,63.75B,78.47B,1.062B,-1.308B,,-14.33B,-15.64B,61.63B,,AOR,Restated
2015-09,7.705B,4.901B,12.61B,4.724B,4.724B,1.381B,549.00M,3.309B,5.239B,2.357B,,1.334B,,35.62B,,,,,,,,19.08B,44.61B,24.72B,69.33B,5.237B,93.64B,129.26B,,7.758B,,7.758B,8.494B,16.25B,,,,13.09B,13.09B,2.222B,31.57B,17.39B,,17.39B,9.224B,9.224B,,667.00M,8.126B,34.74B,66.31B,,5.076B,85.58B,63.73B,77.04B,1.067B,-1.306B,,-13.75B,-15.05B,62.29B,,AOR,Restated
2015-06,6.836B,4.767B,11.60B,4.568B,4.568B,1.266B,525.00M,3.188B,4.979B,2.708B,,1.356B,,29.65B,0.00,763.00M,6.949B,29.42B,2.931B,40.06B,-20.41B,19.66B,44.62B,25.01B,69.63B,10.56B,99.85B,129.50B,,8.138B,845.00M,8.983B,3.003B,11.99B,389.00M,8.807B,3.211B,12.02B,12.02B,4.007B,29.79B,18.33B,,18.33B,9.179B,9.179B,6.661B,631.00M,1.771B,36.66B,66.44B,,5.086B,84.81B,63.85B,77.23B,1.077B,-1.32B,,-12.78B,-14.10B,62.42B,,AOR,Restated
2015-03,8.374B,4.786B,13.16B,4.99B,4.99B,1.536B,585.00M,3.772B,5.893B,3.067B,,820.00M,,31.56B,,,,,,,,20.04B,46.86B,26.91B,73.76B,5.568B,99.38B,130.94B,,7.285B,,7.285B,8.406B,15.69B,,,,15.08B,15.08B,1.115B,31.88B,17.36B,,17.36B,9.808B,9.808B,,647.00M,8.504B,35.68B,67.56B,,5.095B,86.16B,63.84B,77.19B,1.086B,-1.319B,,-13.85B,-15.17B,62.73B,,AOR,Restated
2014-12,8.204B,4.047B,12.25B,5.802B,5.802B,1.775B,612.00M,4.09B,6.477B,3.679B,,816.00M,,33.18B,,,,,,,,20.74B,48.88B,27.57B,76.44B,5.898B,103.08B,136.26B,,7.733B,,7.733B,8.853B,16.59B,,,,16.33B,16.33B,1.237B,34.15B,18.12B,,18.12B,9.552B,9.552B,,679.00M,9.623B,37.30B,71.45B,,5.103B,85.77B,63.81B,77.90B,1.094B,-1.332B,,-11.32B,-12.65B,64.13B,,AOR,Restated
2014-09,7.486B,3.36B,10.85B,6.197B,6.197B,1.829B,739.00M,4.532B,7.10B,3.914B,,916.00M,,29.11B,,,,,,,,21.80B,51.36B,30.21B,81.57B,5.706B,109.08B,138.18B,,8.28B,,8.28B,9.554B,17.83B,,,,14.23B,14.23B,9.00M,32.07B,19.00B,,19.00B,10.27B,10.27B,,774.00M,10.01B,39.28B,71.35B,,5.111B,85.21B,64.03B,77.15B,1.102B,-1.331B,,-9.811B,-11.14B,66.06B,,AOR,Restated
2014-06,8.558B,2.128B,10.69B,6.386B,6.386B,1.742B,684.00M,4.333B,6.759B,3.845B,,1.092B,,31.62B,0.00,893.00M,8.022B,32.40B,3.114B,44.43B,-22.12B,22.30B,53.70B,30.84B,84.55B,5.798B,112.65B,144.27B,,8.461B,711.00M,9.172B,3.689B,12.86B,381.00M,10.82B,4.788B,15.61B,15.61B,3.231B,33.73B,19.81B,,19.81B,10.22B,10.22B,7.89B,762.00M,2.645B,40.56B,74.29B,,5.12B,84.99B,63.91B,75.80B,1.111B,-1.34B,,-7.662B,-9.002B,69.21B,,AOR,Restated
2014-03,8.182B,1.57B,9.752B,6.353B,6.353B,1.802B,718.00M,4.707B,7.227B,3.539B,,1.255B,,28.13B,,,,,,,,22.27B,56.23B,31.31B,87.53B,5.265B,115.07B,143.20B,,7.512B,,7.512B,9.078B,16.59B,,,,15.53B,15.53B,,32.12B,20.84B,,20.84B,10.91B,10.91B,,760.00M,9.288B,41.04B,73.16B,,5.124B,84.22B,63.78B,75.87B,1.115B,-1.339B,,-6.635B,-7.974B,69.28B,,AOR,Restated
2013-12,6.929B,1.574B,8.503B,6.911B,6.911B,1.974B,686.00M,4.719B,7.379B,3.501B,,1.173B,,27.47B,,,,,,,,22.15B,56.29B,31.60B,87.89B,5.42B,115.46B,142.93B,,7.156B,,7.156B,9.48B,16.64B,,,,14.09B,14.09B,,30.73B,21.52B,,21.52B,10.81B,10.81B,,760.00M,9.736B,42.06B,72.79B,,5.134B,83.28B,63.73B,75.05B,1.125B,-1.348B,,-6.366B,-7.714B,69.38B,,AOR,Restated
2013-09,6.122B,1.58B,7.702B,6.555B,6.555B,1.844B,698.00M,4.852B,7.394B,3.576B,,1.095B,,26.32B,,,,,,,,21.88B,55.87B,31.72B,87.59B,5.338B,114.80B,141.12B,,7.489B,,7.489B,9.428B,16.92B,,,,16.30B,16.30B,,33.22B,18.48B,,18.48B,10.85B,10.85B,,729.00M,9.759B,39.09B,72.31B,,5.137B,81.53B,63.64B,74.14B,1.128B,-1.346B,,-6.731B,-8.077B,68.09B,,AOR,Restated
2013-06,5.947B,0.00,5.947B,6.508B,6.508B,1.704B,722.00M,4.483B,6.909B,3.678B,,948.00M,,23.99B,0.00,878.00M,7.829B,31.07B,3.235B,43.01B,-21.35B,21.67B,55.19B,31.57B,86.76B,6.847B,115.27B,139.26B,,8.777B,817.00M,9.594B,3.496B,13.09B,323.00M,7.642B,4.79B,12.43B,12.43B,2.527B,30.04B,19.11B,,19.11B,10.83B,10.83B,7.74B,645.00M,2.839B,40.52B,70.55B,,5.146B,80.20B,63.54B,71.97B,1.137B,-1.352B,,-7.499B,-8.851B,68.06B,,AOR,Restated
2013-03,5.876B,,5.876B,6.669B,6.669B,1.777B,721.00M,4.742B,7.24B,3.576B,,937.00M,,24.30B,0.00,878.00M,7.661B,33.81B,,42.35B,-21.16B,21.19B,55.07B,31.74B,86.81B,6.836B,114.83B,139.13B,,7.422B,,7.422B,8.892B,16.31B,,,,11.10B,11.10B,,27.41B,21.12B,,21.12B,10.72B,10.72B,,685.00M,11.92B,43.77B,71.18B,,5.152B,80.04B,63.36B,71.64B,1.143B,-1.351B,,-8.282B,-9.633B,67.27B,,AOR,Restated
2012-12,6.643B,,6.643B,7.183B,7.183B,1.92B,667.00M,4.632B,7.219B,3.573B,,983.00M,,25.60B,0.00,901.00M,7.684B,33.76B,,42.35B,-21.14B,21.20B,55.69B,32.15B,87.83B,5.264B,114.30B,139.90B,,7.157B,,7.157B,9.254B,16.41B,,,,9.819B,9.819B,,26.23B,23.61B,,23.61B,10.57B,10.57B,,642.00M,12.18B,46.35B,72.58B,,5.165B,79.04B,63.20B,71.68B,1.156B,-1.357B,,-7.694B,-9.051B,66.68B,,AOR,Restated
2012-09,5.302B,,5.302B,6.993B,6.993B,1.906B,755.00M,4.671B,7.332B,3.425B,,1.072B,,24.12B,0.00,899.00M,7.534B,32.94B,,41.37B,-20.49B,20.88B,54.33B,31.16B,85.50B,5.392B,111.76B,135.89B,,7.498B,,7.498B,9.086B,16.58B,,,,8.314B,8.314B,,24.90B,23.56B,,23.56B,10.16B,10.16B,,649.00M,12.32B,46.04B,70.94B,,5.179B,76.57B,63.17B,71.09B,1.17B,-1.355B,,-8.179B,-9.534B,64.30B,,AOR,Restated
2012-06,4.436B,,4.436B,6.068B,6.068B,1.74B,685.00M,4.296B,6.721B,3.684B,,1.001B,,21.91B,0.00,880.00M,7.324B,29.34B,2.687B,40.23B,-19.86B,20.38B,53.77B,30.99B,84.76B,5.196B,110.33B,132.24B,,7.92B,414.00M,8.334B,3.144B,11.48B,343.00M,4.574B,4.124B,8.698B,8.698B,2.728B,24.91B,21.08B,,21.08B,10.13B,10.13B,8.954B,596.00M,3.136B,43.30B,68.21B,,5.203B,75.35B,63.18B,69.60B,1.195B,-1.357B,,-9.333B,-10.69B,63.44B,,AOR,Restated
2012-03,3.991B,,3.991B,6.20B,6.20B,1.866B,728.00M,4.645B,7.239B,3.817B,,1.219B,,23.11B,0.00,897.00M,7.503B,32.15B,,40.55B,-20.17B,20.38B,54.83B,31.43B,86.26B,4.851B,111.50B,134.60B,,6.684B,,6.684B,8.449B,15.13B,,,,11.77B,11.77B,,26.90B,21.34B,,21.34B,11.30B,11.30B,,644.00M,9.154B,41.79B,68.70B,,5.21B,73.32B,63.07B,69.92B,1.202B,,,,-5.063B,65.26B,,AOR,Restated
2011-12,4.414B,,4.414B,6.905B,6.905B,2.053B,709.00M,4.682B,7.444B,3.792B,,1.096B,,23.65B,0.00,899.00M,7.43B,32.04B,,40.37B,-20.00B,20.37B,54.31B,31.32B,85.63B,4.656B,110.66B,134.31B,,6.735B,,6.735B,8.939B,15.67B,,,,14.12B,14.12B,,29.79B,19.27B,,19.27B,11.13B,11.13B,,603.00M,9.216B,39.62B,69.41B,,5.225B,72.41B,62.88B,68.48B,1.217B,,,,-6.374B,64.30B,,AOR,Restated
2011-09,3.582B,,3.582B,6.584B,6.584B,2.137B,744.00M,5.12B,8.001B,3.91B,,1.048B,,23.12B,0.00,919.00M,7.507B,32.32B,,40.75B,-19.98B,20.76B,56.08B,31.86B,87.94B,4.79B,113.49B,136.62B,,7.29B,,7.29B,9.202B,16.49B,,,,11.48B,11.48B,,27.97B,22.37B,,22.37B,11.07B,11.07B,,390.00M,9.573B,43.02B,70.98B,,5.229B,72.22B,62.54B,68.38B,1.221B,,,,-4.995B,65.24B,,AOR,Restated
2011-06,2.768B,,2.768B,6.275B,6.275B,2.153B,717.00M,4.509B,7.379B,4.408B,,1.14B,,21.97B,0.00,934.00M,7.753B,32.82B,,41.51B,-20.21B,21.29B,57.56B,32.62B,90.18B,4.909B,116.38B,138.35B,,8.022B,786.00M,8.808B,3.943B,12.75B,151.00M,6.95B,3.031B,9.981B,9.981B,2.657B,27.29B,22.03B,,22.03B,11.07B,11.07B,6.275B,361.00M,3.682B,43.06B,70.35B,,5.242B,70.68B,62.40B,67.28B,1.234B,-1.357B,,-2.054B,-3.411B,67.64B,,AOR,Restated
2011-03,2.946B,,2.946B,6.264B,6.264B,2.134B,710.00M,4.775B,7.619B,3.886B,,1.099B,,21.81B,0.00,911.00M,7.574B,31.80B,,40.28B,-19.76B,20.52B,57.03B,32.60B,89.63B,4.575B,114.72B,136.54B,,6.458B,,6.458B,9.996B,16.45B,,,,9.721B,9.721B,,26.18B,21.70B,,21.70B,10.92B,10.92B,,363.00M,10.31B,42.93B,69.11B,,5.249B,69.69B,62.18B,65.20B,1.241B,,,,-3.495B,67.07B,,AOR,Restated
2010-09,2.603B,,2.603B,6.082B,6.082B,1.959B,683.00M,4.635B,7.277B,3.566B,,968.00M,,20.50B,0.00,892.00M,7.259B,30.52B,,38.67B,-18.80B,19.88B,56.17B,32.37B,88.54B,4.779B,113.20B,133.69B,,6.716B,,6.716B,9.412B,16.13B,,,,11.51B,11.51B,,27.64B,21.46B,,21.46B,10.71B,10.71B,,346.00M,10.68B,42.85B,70.49B,,5.268B,66.28B,61.84B,64.17B,1.26B,,,,-5.007B,62.86B,,AOR,Restated
2010-06,2.879B,,2.879B,5.335B,5.335B,1.692B,604.00M,4.088B,6.384B,3.194B,,990.00M,,18.78B,0.00,850.00M,6.868B,29.29B,,37.01B,-17.77B,19.24B,54.01B,31.64B,85.65B,4.498B,109.39B,128.17B,,7.251B,,7.251B,8.559B,15.81B,,,,8.472B,8.472B,,24.28B,21.36B,,21.36B,10.90B,10.90B,,324.00M,10.19B,42.45B,66.73B,,5.285B,64.61B,61.70B,61.31B,1.277B,,,,-7.822B,61.12B,,AOR,Restated
2010-03,4.899B,,4.899B,5.86B,5.86B,1.716B,635.00M,4.399B,6.75B,2.75B,,1.231B,,21.49B,0.00,849.00M,6.829B,29.78B,,37.46B,-18.03B,19.43B,55.54B,32.20B,87.74B,4.33B,111.50B,132.99B,,5.785B,,5.785B,10.45B,16.23B,,,,7.038B,7.038B,,23.27B,22.94B,,22.94B,11.41B,11.41B,,343.00M,8.596B,42.94B,66.21B,,5.291B,63.88B,61.54B,58.88B,1.284B,,,,-4.049B,66.43B,,AOR,Restated
2009-12,4.13B,,4.13B,6.544B,6.544B,1.788B,640.00M,4.436B,6.864B,3.006B,,1.217B,,21.76B,0.00,883.00M,6.945B,29.86B,,37.69B,-18.04B,19.65B,56.98B,32.62B,89.60B,4.283B,113.53B,135.29B,,5.433B,,5.433B,10.46B,15.90B,,,,7.78B,7.78B,,23.68B,22.31B,,22.31B,11.04B,11.04B,,310.00M,9.316B,42.67B,66.35B,,5.308B,62.62B,61.37B,57.07B,1.301B,,,,-2.236B,68.64B,,AOR,Restated
2009-09,6.294B,,6.294B,6.239B,6.239B,1.699B,657.00M,4.694B,7.05B,2.691B,,1.254B,989.00M,24.52B,0.00,881.00M,6.795B,29.62B,,37.29B,-17.70B,19.59B,57.01B,32.69B,89.70B,4.576B,113.86B,138.38B,,5.581B,,5.581B,9.61B,15.19B,,,,12.96B,12.96B,526.00M,28.67B,22.44B,,22.44B,10.92B,10.92B,,313.00M,9.324B,42.68B,71.35B,,5.315B,59.29B,61.26B,55.84B,1.308B,,,,-1.963B,66.71B,,AOR,Restated
2009-06,4.781B,,4.781B,5.836B,5.836B,1.557B,672.00M,4.651B,6.88B,3.199B,,1.209B,,21.90B,0.00,885.00M,6.724B,29.04B,,36.65B,-17.19B,19.46B,56.51B,32.61B,89.12B,4.348B,112.93B,134.83B,,5.98B,,5.98B,8.601B,14.58B,,,,16.32B,16.32B,,30.90B,20.65B,,20.65B,10.75B,10.75B,,283.00M,9.146B,40.55B,71.45B,,5.331B,57.31B,61.12B,55.96B,1.324B,,,,-3.358B,63.10B,,AOR,Restated
2009-03,4.434B,,4.434B,5.744B,5.744B,1.839B,700.00M,5.076B,7.615B,2.718B,,1.497B,,22.01B,0.00,849.00M,6.354B,27.77B,,34.98B,-16.44B,18.53B,55.29B,32.16B,87.44B,4.411B,110.39B,132.40B,,5.138B,1.329B,6.467B,7.996B,14.46B,,,,18.37B,18.37B,,32.83B,20.45B,,20.45B,11.43B,11.43B,,,6.911B,38.79B,71.62B,,5.336B,56.17B,60.96B,56.02B,1.329B,,,,-4.323B,60.78B,,AOR,Restated
