,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2014-09,292.74M,,292.74M,160.47M,,160.47M,26.37M,16.19M,113.44M,156.01M,,,33.26M,60.15M,702.62M,,,,,,,,,,291.70M,176.54M,59.21M,235.75M,11.08M,,23.74M,25.74M,588.01M,1.291B,58.26M,17.31M,75.57M,79.61M,155.18M,,375.00M,,375.00M,,375.00M,29.56M,29.56M,,630.26M,350.00M,,350.00M,27.76M,21.55M,49.31M,,0.083M,31.59M,430.90M,1.061B,10.17M,1.649B,866.21M,2.304B,,,1.99M,229.39M
2014-06,305.05M,,305.05M,168.64M,,168.64M,24.90M,14.91M,105.60M,145.40M,,,33.79M,48.83M,701.71M,,,,,,,,,,286.71M,181.62M,55.55M,237.17M,11.76M,,23.01M,22.83M,581.49M,1.283B,41.42M,15.77M,57.19M,76.85M,134.04M,,384.00M,,384.00M,,384.00M,27.68M,27.68M,,600.35M,150.00M,,150.00M,28.82M,20.43M,49.25M,,0.062M,30.66M,229.91M,830.26M,10.16M,1.597B,856.35M,2.031B,,,15.03M,452.87M
2014-03,286.20M,,286.20M,179.92M,,179.92M,23.50M,16.12M,101.52M,141.13M,,,32.00M,43.90M,683.17M,,,,,,,,,,282.23M,180.47M,57.28M,237.75M,12.58M,,20.78M,25.83M,579.16M,1.262B,42.79M,15.39M,58.18M,71.03M,129.21M,,315.00M,1.05M,316.05M,,316.05M,23.81M,23.81M,,517.17M,150.09M,,150.09M,31.78M,19.26M,51.05M,,0.036M,31.76M,232.90M,750.07M,10.16M,1.540B,847.14M,1.905B,,,14.44M,512.22M
2013-12,279.06M,,279.06M,158.04M,,172.95M,23.77M,14.36M,95.30M,133.43M,20.81M,,33.23M,5.139M,652.71M,0.0,7.471M,158.38M,333.42M,,11.47M,39.27M,550.02M,-268.80M,281.21M,180.52M,58.84M,239.36M,13.08M,,21.20M,22.96M,577.81M,1.231B,29.94M,16.51M,46.45M,69.94M,116.39M,,277.00M,1.035M,278.04M,,278.04M,21.46M,21.46M,,478.35M,150.36M,,150.36M,33.95M,18.43M,52.38M,,0.028M,31.22M,233.95M,712.30M,10.12M,1.493B,825.32M,1.829B,,,13.62M,518.19M
2013-09,264.81M,,264.81M,151.57M,,151.57M,24.92M,15.50M,105.57M,145.99M,,,27.30M,35.55M,625.22M,,,,,,,,,,274.16M,180.99M,61.39M,242.38M,10.82M,,20.53M,22.13M,570.02M,1.195B,38.13M,9.887M,48.02M,67.27M,115.29M,,397.20M,1.019M,398.22M,,398.22M,22.44M,22.44M,,592.95M,0.624M,,0.624M,22.86M,15.13M,37.99M,,0.049M,28.78M,67.39M,660.34M,10.08M,1.450B,798.33M,1.744B,,,15.56M,534.85M
2013-06,251.01M,,251.01M,159.12M,,159.12M,25.08M,14.92M,100.94M,140.94M,,,26.37M,37.46M,614.90M,,,,,,,,,,266.49M,171.40M,58.10M,229.51M,9.514M,,21.20M,22.45M,549.17M,1.164B,37.58M,12.73M,50.31M,67.87M,118.19M,,367.50M,1.137M,368.64M,,368.64M,21.98M,21.98M,,551.67M,0.884M,,0.884M,22.54M,13.62M,36.16M,,0.045M,25.76M,62.81M,614.48M,10.07M,1.404B,787.19M,1.668B,,,10.49M,549.55M
2013-03,228.36M,,228.36M,158.99M,,158.99M,26.65M,15.25M,106.34M,148.24M,,,25.72M,33.08M,594.40M,,,,,,,,,,253.74M,172.46M,61.04M,233.50M,10.08M,,21.19M,19.74M,538.24M,1.133B,38.72M,10.17M,48.89M,69.22M,118.11M,,260.00M,1.122M,261.12M,,261.12M,21.27M,21.27M,,439.58M,1.141M,,1.141M,22.96M,12.85M,35.81M,,0.041M,24.82M,61.77M,501.34M,10.06M,1.350B,779.26M,1.525B,,,11.69M,631.25M
2012-12,223.99M,,223.99M,138.32M,,138.32M,26.99M,16.03M,97.93M,140.95M,,,27.71M,38.57M,569.54M,0.0,7.471M,123.68M,284.96M,,30.06M,32.14M,478.31M,-233.13M,245.18M,174.99M,62.83M,237.83M,10.32M,,21.80M,18.94M,534.06M,1.104B,35.29M,14.94M,50.23M,69.39M,119.63M,,212.00M,1.107M,213.11M,,213.11M,20.19M,20.19M,,406.33M,1.394M,,1.394M,23.03M,12.69M,35.72M,,0.034M,23.90M,61.01M,467.34M,10.02M,1.306B,757.21M,1.457B,,,15.95M,636.22M
2012-09,221.44M,,221.44M,141.37M,,141.37M,30.87M,16.85M,99.75M,147.47M,,,25.43M,35.06M,570.77M,,,,,,,,,,231.64M,174.61M,63.36M,237.98M,,,,52.96M,522.58M,1.093B,31.73M,14.89M,46.62M,68.97M,115.59M,,232.00M,0.96M,232.96M,,232.96M,16.49M,16.49M,,415.85M,1.776M,,1.776M,20.65M,14.66M,35.31M,,0.028M,22.89M,59.97M,475.82M,9.991M,1.262B,742.02M,1.416B,,,14.58M,617.51M
2012-06,201.81M,,201.81M,147.16M,,147.16M,30.38M,15.40M,97.92M,143.70M,,,25.12M,37.51M,555.31M,,,,,,,,,,220.58M,170.93M,64.63M,235.56M,,,,55.87M,512.01M,1.067B,29.71M,20.02M,49.72M,68.19M,117.91M,,244.00M,0.945M,244.94M,,244.94M,16.02M,16.02M,,419.15M,2.021M,,2.021M,21.56M,13.39M,34.94M,,0.008M,21.26M,58.22M,477.38M,9.97M,1.219B,726.62M,1.380B,,,8.858M,589.93M
2012-03,185.49M,,185.49M,160.98M,,160.98M,33.18M,15.14M,92.79M,141.10M,,,23.83M,33.46M,544.87M,,,,,,,,,,216.93M,175.10M,68.43M,243.53M,,,,55.78M,516.24M,1.061B,40.61M,20.66M,61.27M,67.17M,128.44M,,254.00M,0.931M,254.93M,,254.93M,15.65M,15.65M,,437.28M,2.263M,,2.263M,22.58M,12.08M,34.66M,,0.005M,20.02M,56.94M,494.22M,9.957M,1.168B,716.78M,1.352B,,,19.48M,566.88M
2011-12,183.90M,,183.90M,141.28M,,141.28M,28.34M,14.89M,89.87M,133.10M,,,25.64M,40.32M,524.23M,0.0,7.439M,115.48M,250.32M,,21.66M,27.45M,422.35M,-205.57M,216.78M,172.61M,69.21M,241.82M,12.09M,,21.08M,14.82M,506.59M,1.031B,36.55M,17.65M,54.20M,72.36M,126.56M,,243.00M,0.917M,243.92M,,243.92M,15.03M,15.03M,,436.88M,2.501M,,2.501M,23.29M,10.82M,34.11M,,0.014M,17.73M,54.34M,491.22M,9.923M,1.127B,702.58M,1.320B,,,15.44M,539.58M
2011-09,181.50M,,181.50M,134.92M,,134.92M,28.89M,14.11M,94.14M,137.14M,,,27.25M,29.93M,510.75M,,,,,,,,,,213.87M,150.02M,50.61M,200.62M,,,,43.95M,458.45M,969.20M,31.03M,16.64M,47.67M,71.08M,118.76M,,154.00M,0.903M,154.90M,,154.90M,13.64M,13.64M,,336.37M,2.735M,,2.735M,20.75M,8.102M,28.85M,,0.026M,15.28M,46.86M,383.23M,9.91M,1.089B,694.20M,1.231B,,,18.71M,585.94M
2011-06,159.40M,,159.40M,149.31M,,149.31M,30.18M,14.10M,89.66M,133.93M,,,26.89M,24.03M,493.57M,,,,,,,,,,210.16M,154.19M,53.04M,207.24M,,,,39.61M,457.00M,950.58M,29.89M,11.24M,41.13M,71.33M,112.46M,,132.55M,0.89M,133.44M,,133.44M,12.91M,12.91M,,298.14M,2.966M,,2.966M,21.15M,6.555M,27.71M,,0.037M,12.95M,43.63M,341.76M,9.884M,1.051B,680.09M,1.163B,,,26.47M,608.77M
2011-03,153.46M,,153.46M,137.55M,,137.55M,29.34M,14.38M,83.33M,127.05M,,,25.99M,21.39M,465.44M,,,,,,,,,,202.75M,152.50M,54.72M,207.21M,,,,34.08M,444.04M,909.48M,23.33M,8.217M,31.55M,63.25M,94.80M,,126.59M,0.877M,127.47M,,127.47M,14.12M,14.12M,,272.57M,3.194M,,3.194M,20.01M,4.514M,24.52M,,0.04M,12.28M,40.00M,312.57M,9.856M,1.002B,665.04M,1.105B,,,19.59M,596.87M
2010-12,156.92M,,156.92M,120.08M,,120.08M,26.76M,13.79M,87.34M,127.88M,,,26.20M,29.51M,460.59M,0.0,7.446M,109.09M,219.18M,,20.83M,20.08M,376.62M,-174.90M,201.72M,149.11M,55.75M,204.86M,,,,29.96M,436.55M,897.14M,22.67M,0.00,22.67M,118.60M,141.27M,,129.00M,0.863M,129.86M,,129.86M,13.98M,13.98M,,285.11M,3.418M,,3.418M,18.66M,4.627M,23.29M,,0.046M,11.04M,37.75M,322.86M,9.797M,965.54M,641.64M,1.061B,,,13.47M,574.24M
2010-09,133.51M,,133.51M,120.45M,,120.45M,26.97M,15.76M,88.82M,131.56M,,,24.90M,19.49M,429.91M,,,,,,,,,,200.61M,148.60M,57.55M,206.15M,,,,25.62M,432.39M,862.30M,25.27M,,25.27M,108.18M,133.46M,,125.91M,0.85M,126.76M,,126.76M,10.71M,10.71M,,270.93M,3.639M,,3.639M,20.49M,8.156M,28.65M,,0.038M,12.43M,44.71M,315.64M,9.762M,929.17M,626.52M,1.035B,,,11.43M,546.61M
2010-06,117.98M,,117.98M,127.14M,,127.14M,30.00M,14.71M,77.33M,122.03M,,,23.43M,19.97M,410.55M,,,,,,,,,,196.71M,143.25M,57.87M,201.12M,,,,25.34M,423.18M,833.74M,23.19M,,23.19M,99.63M,122.82M,,133.86M,0.838M,134.70M,,134.70M,13.68M,13.68M,,271.20M,3.856M,,3.856M,17.94M,4.74M,22.68M,,0.016M,11.72M,38.26M,309.46M,9.729M,894.48M,613.42M,1.001B,,,2.924M,524.26M
