,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2017-06,1.000B,1.000B,284.80M,715.70M,216.10M,,-6.60M,,54.30M,4.60M,-49.70M,249.00M,466.70M,4.60M,54.30M,-49.70M,45.00M,-49.70M,462.00M,148.40M,313.60M,,-1.40M,312.20M,286.13M,549.20M,32.90M,516.30M,1.63,,1.493,1.63,1.61,,1.475,1.61,191.00M,193.80M,0.38
2017-03,975.20M,975.20M,275.30M,699.90M,220.70M,,59.70M,,51.50M,4.10M,-47.40M,253.20M,446.70M,4.10M,51.50M,-47.40M,52.00M,-47.40M,451.30M,105.40M,345.90M,,-0.30M,345.60M,307.22M,535.30M,32.50M,502.80M,1.81,,1.609,1.81,1.78,,1.5819999999999999,1.78,191.10M,194.30M,0.38
2016-12,942.10M,942.10M,258.30M,683.80M,248.00M,,-863.80M,0.00,56.20M,2.70M,-53.50M,280.90M,402.90M,2.70M,56.20M,-53.50M,-814.90M,-53.50M,-465.50M,-40.00M,-425.50M,,-3.10M,-428.60M,323.50M,-376.40M,32.90M,-409.30M,-2.25,,1.69,-2.25,-2.25,,1.635,-2.25,190.90M,193.60M,0.37
2016-09,917.10M,917.10M,253.20M,663.90M,225.30M,,-8.40M,-1.60M,37.90M,2.50M,-35.40M,256.40M,407.50M,2.50M,37.90M,-35.40M,-3.10M,-35.40M,369.00M,112.40M,256.60M,,-1.30M,255.30M,258.15M,439.60M,32.70M,406.90M,1.33,,1.345,1.33,1.31,,1.325,1.31,191.70M,194.30M,0.37
2016-06,928.90M,928.90M,258.90M,670.00M,228.60M,,0.00,,37.10M,2.80M,-34.30M,259.80M,410.20M,2.80M,37.10M,-34.30M,3.00M,-34.30M,378.90M,120.80M,258.10M,,-2.60M,255.50M,254.96M,447.20M,31.20M,416.00M,1.32,,1.317,1.32,1.3,,1.297,1.3,193.40M,195.80M,0.37
2016-03,816.10M,816.10M,249.20M,566.90M,232.90M,,0.00,,37.00M,2.90M,-34.10M,262.80M,304.10M,2.90M,37.00M,-34.10M,5.60M,-34.10M,275.60M,89.00M,186.60M,,-2.20M,184.40M,181.69M,342.50M,29.90M,312.60M,0.95,,0.9361,0.95,0.93,,0.9163,0.93,195.00M,197.90M,0.37
2015-12,865.90M,865.90M,251.90M,614.00M,252.20M,,0.00,0.00,30.80M,2.70M,-28.10M,280.90M,333.10M,2.70M,30.80M,-28.10M,7.30M,-28.10M,312.30M,91.90M,220.40M,,-2.50M,217.90M,215.36M,371.80M,28.70M,343.10M,1.11,,1.097,1.11,1.09,,1.077,1.09,197.10M,200.10M,0.34
2015-09,834.90M,834.90M,236.10M,598.80M,220.80M,,0.00,-6.40M,28.60M,2.80M,-25.80M,242.70M,356.10M,2.80M,28.60M,-25.80M,13.30M,-25.80M,343.60M,109.80M,233.80M,,-2.20M,231.60M,225.00M,400.50M,28.30M,372.20M,1.16,,1.127,1.16,1.14,,1.107,1.14,199.40M,202.50M,0.34
2015-06,918.10M,918.10M,243.90M,674.20M,227.00M,,,,34.20M,2.30M,-31.90M,254.90M,419.30M,2.30M,34.20M,-31.90M,-8.20M,-31.90M,379.20M,115.10M,264.10M,,-2.40M,261.70M,270.19M,441.30M,27.90M,413.40M,1.3,,1.3419999999999999,1.3,1.28,,1.3219999999999998,1.28,201.30M,204.40M,0.34
2015-03,865.60M,865.60M,244.40M,621.20M,221.30M,,,,31.20M,1.90M,-29.30M,249.90M,371.30M,1.90M,31.20M,-29.30M,2.50M,-29.30M,344.50M,113.20M,231.30M,,-1.20M,230.10M,230.10M,404.30M,28.60M,375.70M,1.14,,1.14,1.14,1.11,,1.11,1.11,202.70M,206.50M,0.34
2014-12,877.50M,877.50M,255.50M,622.00M,250.30M,,0.00,0.00,30.90M,1.60M,-29.30M,277.30M,344.70M,1.60M,30.90M,-29.30M,20.40M,-29.30M,335.80M,94.40M,241.40M,,-5.10M,236.30M,222.79M,393.70M,27.00M,366.70M,1.14,,1.075,1.14,1.12,,1.056,1.12,206.50M,210.50M,0.28
2014-09,816.10M,816.10M,236.70M,579.40M,206.50M,,0.00,-6.40M,39.50M,1.80M,-37.70M,223.30M,356.10M,1.80M,39.50M,-37.70M,10.00M,-37.70M,328.40M,109.90M,218.50M,,-3.30M,215.20M,210.15M,391.10M,23.20M,367.90M,1.02,,0.996,1.02,1.0,,0.9764,1.0,210.40M,214.20M,0.28
2014-06,873.50M,873.50M,222.10M,651.40M,217.40M,,102.80M,,27.70M,1.70M,-26.00M,239.70M,411.70M,1.70M,27.70M,-26.00M,99.50M,-26.00M,485.20M,160.80M,324.40M,,-5.20M,319.20M,255.18M,535.20M,22.30M,512.90M,1.51,,1.208,1.51,1.48,,1.183,1.48,212.00M,215.70M,0.28
2014-03,767.20M,767.20M,216.00M,551.20M,195.10M,,,,25.40M,1.60M,-23.80M,218.20M,333.00M,1.60M,25.40M,-23.80M,2.40M,-23.80M,311.60M,89.90M,221.70M,,-3.70M,218.00M,217.29M,360.10M,23.10M,337.00M,1.02,,1.0170000000000001,1.02,1.0,,0.9967,1.0,214.00M,218.50M,0.28
2013-12,779.20M,779.20M,221.00M,558.20M,223.00M,,0.00,-19.20M,25.20M,1.50M,-23.70M,227.10M,331.10M,1.50M,25.20M,-23.70M,-5.60M,-23.70M,301.80M,92.20M,209.60M,,-2.90M,206.70M,206.70M,350.30M,23.30M,327.00M,0.96,,0.96,0.96,0.94,,0.94,0.94,214.30M,218.70M,0.25
2013-09,705.50M,705.50M,203.50M,502.00M,187.10M,,0.00,0.00,26.00M,1.60M,-24.40M,210.50M,291.50M,1.60M,26.00M,-24.40M,-3.60M,-24.40M,263.50M,76.70M,186.80M,,-2.90M,183.90M,188.01M,312.90M,23.40M,289.50M,0.84,,0.8589,0.84,0.83,,0.8485,0.83,217.80M,222.00M,0.25
2013-06,756.00M,756.00M,197.10M,558.90M,185.00M,,0.00,,22.90M,1.20M,-21.70M,208.10M,350.80M,1.20M,22.90M,-21.70M,7.70M,-21.70M,336.80M,108.40M,228.40M,,-2.90M,225.50M,221.91M,382.80M,23.10M,359.70M,1.01,,0.9938,1.01,1.0,,0.9841,1.0,222.30M,226.20M,0.2
2013-03,731.80M,731.80M,200.80M,531.00M,227.00M,,,,23.20M,1.20M,-22.00M,250.60M,280.40M,1.20M,23.20M,-22.00M,8.80M,-22.00M,267.20M,76.10M,191.10M,,-2.70M,188.40M,183.11M,314.00M,23.60M,290.40M,0.84,,0.8163,0.84,0.83,,0.8067,0.83,223.30M,227.20M,0.2
2012-12,754.20M,754.20M,221.60M,532.60M,236.40M,,,0.00,23.10M,1.50M,-21.60M,260.20M,272.40M,1.50M,23.10M,-21.60M,-14.40M,-21.60M,236.40M,74.40M,162.00M,,-1.90M,160.10M,160.03M,283.30M,23.80M,259.50M,0.72,,0.7197,0.72,0.7,,0.6997,0.7,222.90M,226.30M,0.16
2012-09,688.50M,688.50M,207.30M,481.20M,187.40M,,,-12.80M,16.50M,1.20M,-15.30M,198.70M,282.50M,1.20M,16.50M,-15.30M,-2.80M,-15.30M,264.40M,77.90M,186.50M,,-2.60M,183.90M,187.28M,305.00M,24.10M,280.90M,0.83,,0.8452,0.83,0.81,,0.825,0.81,222.50M,226.10M,0.16
2012-06,640.80M,640.80M,180.60M,460.20M,159.60M,,,,17.80M,1.20M,-16.60M,181.70M,278.50M,1.20M,17.80M,-16.60M,2.70M,-16.60M,264.60M,88.90M,175.70M,,-3.20M,172.50M,172.30M,304.50M,22.10M,282.40M,0.77,,0.7691,0.77,0.76,,0.7591,0.76,223.90M,227.20M,0.16
2012-03,646.80M,646.80M,185.50M,461.30M,168.80M,,,,11.60M,1.30M,-10.30M,192.30M,269.00M,1.30M,11.60M,-10.30M,-0.10M,-10.30M,258.60M,83.10M,175.50M,,-2.00M,173.50M,174.52M,293.70M,23.50M,270.20M,0.78,,0.7846,0.78,0.76,,0.7645,0.76,223.40M,227.40M,0.16
2011-12,567.10M,567.10M,181.20M,385.90M,193.20M,,-10.60M,,20.70M,1.40M,-19.30M,207.50M,178.40M,1.40M,20.70M,-19.30M,-3.50M,-19.30M,155.60M,57.50M,98.10M,,-1.90M,96.20M,102.88M,197.00M,20.70M,176.30M,0.43,,0.4601,0.43,0.43,,0.4596,0.43,222.10M,225.50M,0.14
2011-09,531.30M,531.30M,171.00M,360.30M,145.00M,,2.30M,,15.40M,1.60M,-13.80M,164.00M,196.30M,1.60M,15.40M,-13.80M,2.30M,-13.80M,184.80M,52.70M,132.10M,,-1.40M,130.70M,129.06M,219.20M,19.00M,200.20M,0.58,0.0,0.5727,0.58,0.57,0.0,0.5628,0.57,226.00M,229.00M,0.14
2011-06,605.20M,605.20M,170.50M,434.70M,142.90M,,8.60M,,16.30M,1.90M,-14.40M,164.70M,270.00M,1.90M,16.30M,-14.40M,8.60M,-14.40M,264.20M,73.50M,190.70M,,-1.70M,189.00M,182.79M,302.30M,21.80M,280.50M,0.83,0.0,0.8028,0.83,0.82,0.0,0.7932,0.82,228.20M,231.50M,0.14
2011-03,577.10M,577.10M,160.80M,416.30M,148.50M,,3.30M,,19.20M,1.00M,-18.20M,166.20M,250.10M,1.00M,19.20M,-18.20M,3.30M,-18.20M,235.20M,78.10M,157.10M,,-1.60M,155.50M,153.30M,272.10M,17.70M,254.40M,0.68,0.0,0.6704,0.68,0.67,0.0,0.6605,0.67,228.90M,231.40M,0.115
2010-12,564.30M,564.30M,180.90M,383.40M,169.50M,,-0.80M,,18.60M,1.20M,-17.40M,186.70M,196.70M,1.20M,18.60M,-17.40M,-6.70M,-17.40M,172.60M,33.70M,138.90M,,-1.50M,137.40M,138.04M,208.40M,17.20M,191.20M,0.59,,0.5928,0.59,0.59,,0.5927,0.59,233.50M,235.10M,0.105
2010-09,513.30M,513.30M,153.70M,359.60M,152.20M,,4.90M,,13.60M,0.80M,-12.80M,170.30M,189.30M,0.80M,13.60M,-12.80M,4.90M,-12.80M,181.40M,44.20M,137.20M,,-1.20M,136.00M,132.29M,213.10M,18.10M,195.00M,0.58,0.0,0.5642,0.58,0.58,0.0,0.5643,0.58,234.30M,235.70M,0.105
2010-06,477.80M,477.80M,134.30M,343.50M,137.50M,,-3.90M,,9.50M,0.50M,-9.00M,152.70M,190.80M,0.50M,9.50M,-9.00M,-3.90M,-9.00M,177.90M,55.30M,122.60M,,-1.60M,121.00M,123.69M,202.60M,15.20M,187.40M,0.51,0.0,0.5214,0.51,0.51,0.0,0.5214,0.51,235.30M,236.50M,0.105
2010-03,476.60M,476.60M,135.90M,340.70M,128.80M,,-0.30M,,14.30M,1.00M,-13.30M,144.60M,196.10M,1.00M,14.30M,-13.30M,-0.30M,-13.30M,182.50M,67.80M,114.70M,,-1.30M,113.40M,113.59M,212.60M,15.80M,196.80M,0.48,0.0,0.4808,0.48,0.47,0.0,0.4708,0.47,236.90M,239.10M,0.105
2009-12,485.80M,485.80M,146.90M,338.90M,144.50M,,-8.80M,,2.20M,-10.30M,-12.50M,161.10M,177.80M,-10.30M,2.20M,-12.50M,-8.80M,-12.50M,167.30M,64.00M,103.30M,,-1.40M,101.90M,107.33M,186.10M,16.60M,169.50M,0.43,0.0,0.453,0.43,0.43,0.0,0.4528,0.43,236.40M,238.40M,0.1
2009-09,451.80M,451.80M,135.10M,316.70M,124.30M,,-4.40M,,12.10M,0.60M,-11.50M,140.50M,176.20M,0.60M,12.10M,-11.50M,-4.40M,-11.50M,162.70M,61.00M,101.70M,,-1.10M,100.60M,103.35M,191.00M,16.20M,174.80M,0.43,0.0,0.4416,0.43,0.42,0.0,0.4315,0.42,236.40M,238.20M,0.1
2009-06,450.70M,450.70M,128.00M,322.70M,116.70M,,14.90M,,18.60M,0.60M,-18.00M,132.40M,190.30M,0.60M,18.60M,-18.00M,14.90M,-18.00M,174.60M,63.60M,111.00M,,-1.70M,109.30M,99.83M,208.90M,15.70M,193.20M,0.46,0.0,0.4199,0.46,0.46,0.0,0.4202,0.46,236.10M,238.10M,0.1
2009-03,408.90M,408.90M,122.40M,286.50M,110.20M,,-8.40M,,11.50M,0.80M,-10.70M,125.80M,160.70M,0.80M,11.50M,-10.70M,-8.40M,-10.70M,141.60M,50.50M,91.10M,,-0.90M,90.20M,95.60M,168.70M,15.60M,153.10M,0.38,0.0,0.403,0.38,0.38,0.0,0.4029,0.38,235.40M,236.50M,0.1
2008-12,403.70M,403.70M,-194.40M,598.10M,,,3.50M,,,,,472.50M,125.60M,,,,7.40M,,128.30M,35.60M,92.70M,,,88.70M,86.17M,211.20M,31.20M,180.00M,0.38,0.0,0.3693,0.38,0.38,0.0,0.3694,0.38,236.40M,237.50M,0.1
2008-09,433.40M,433.40M,230.80M,202.60M,,,8.50M,,,,,14.60M,188.00M,,,,8.50M,,183.90M,70.90M,113.00M,,,113.00M,107.78M,202.60M,14.60M,188.00M,0.47,0.0,0.4484,0.47,0.46,0.0,0.4386,0.46,241.30M,244.60M,0.1
2008-06,487.60M,487.60M,123.30M,364.30M,114.00M,,2.70M,,18.00M,5.60M,-12.40M,130.80M,233.50M,5.60M,18.00M,-12.40M,2.70M,-12.40M,223.80M,86.20M,137.60M,,-2.40M,135.20M,133.54M,258.60M,16.80M,241.80M,0.55,0.0,0.5432,0.55,0.54,0.0,0.5333,0.54,244.60M,248.10M,0.1
2008-03,430.70M,430.70M,119.90M,310.80M,99.70M,,9.60M,,18.50M,7.00M,-11.50M,112.20M,198.60M,7.00M,18.50M,-11.50M,9.60M,-11.50M,196.70M,75.50M,121.20M,,-0.50M,120.70M,114.78M,227.70M,12.50M,215.20M,0.49,0.0,0.4661,0.49,0.48,0.0,0.4564,0.48,247.40M,251.00M,0.1
2007-12,504.90M,504.90M,-220.20M,725.10M,,,-54.50M,,,,,463.00M,262.10M,,,,-54.50M,,192.30M,65.00M,127.30M,,,127.30M,163.38M,274.00M,11.90M,262.10M,0.5,0.0,0.6408,0.5,0.5,0.0,0.6385,0.5,256.20M,260.50M,0.08
2007-09,525.00M,525.00M,262.90M,262.10M,,,2.20M,,,,,11.60M,250.50M,,,,2.20M,,241.50M,104.60M,136.90M,,,136.90M,135.47M,262.10M,11.60M,250.50M,0.52,0.0,0.5145,0.52,0.51,0.0,0.5047,0.51,262.20M,267.60M,0.08
2007-06,646.10M,646.10M,273.30M,372.80M,,,,,,,,9.10M,363.70M,,,,,,381.50M,119.60M,261.90M,,,261.90M,261.90M,372.80M,9.10M,363.70M,0.97,0.0,0.97,0.97,0.95,0.0,0.95,0.95,269.60M,276.00M,0.08
2007-03,583.00M,583.00M,268.00M,315.00M,,,,,,,,10.30M,304.70M,,,,,,301.40M,126.00M,175.40M,,,175.40M,175.40M,315.00M,10.30M,304.70M,0.63,0.0,0.63,0.63,0.62,0.0,0.62,0.62,277.70M,284.90M,0.08
2006-12,590.00M,590.00M,-83.00M,673.00M,,,,,,,,209.70M,463.30M,,,,,,463.30M,184.70M,278.60M,,,278.60M,278.60M,474.30M,11.00M,463.30M,0.99,0.0,0.99,0.99,0.97,0.0,0.97,0.97,275.50M,282.90M,0.07
2006-09,495.50M,495.50M,216.90M,278.60M,,,,,,,,9.80M,268.80M,,,,,,265.70M,108.70M,157.00M,,,157.00M,157.00M,278.60M,9.80M,268.80M,0.56,0.0,0.56,0.56,0.55,0.0,0.55,0.55,280.70M,287.90M,0.07
2006-06,511.40M,511.40M,213.00M,298.40M,,,,,,,,9.30M,289.10M,,,,,,289.80M,117.70M,172.10M,,,172.10M,172.10M,298.40M,9.30M,289.10M,0.6,0.0,0.6,0.6,0.59,0.0,0.59,0.59,286.40M,293.70M,0.07
2006-03,440.20M,440.20M,192.50M,247.70M,,,,,,,,9.40M,238.30M,,,,,,241.70M,95.50M,146.20M,,,146.20M,146.20M,247.70M,9.40M,238.30M,0.5,0.0,0.5,0.5,0.49,0.0,0.49,0.49,290.50M,299.50M,0.07
2005-12,473.20M,473.20M,-82.20M,555.40M,,,,,,,,313.00M,242.40M,,,,,,243.90M,93.80M,150.10M,,,150.10M,150.10M,251.50M,9.10M,242.40M,0.51,0.0,0.51,0.51,0.5,0.0,0.5,0.5,292.90M,302.00M,0.055
2005-09,421.10M,421.10M,180.40M,240.70M,,,,,,,,8.80M,231.90M,,,,,,234.60M,88.00M,146.60M,,,146.60M,146.60M,240.70M,8.80M,231.90M,0.49,0.0,0.49,0.49,0.48,0.0,0.48,0.48,299.60M,307.70M,0.055
2005-06,446.80M,446.80M,185.30M,261.50M,,,,,,,,8.70M,252.80M,,,,,,248.90M,103.50M,145.40M,,,145.40M,145.40M,261.50M,8.70M,252.80M,0.48,0.0,0.48,0.48,0.47,0.0,0.47,0.47,300.40M,307.70M,0.0275
2005-03,390.50M,390.50M,169.40M,221.10M,,,,,,,,8.60M,212.50M,,,,,,207.30M,88.60M,118.70M,,,118.70M,118.70M,221.10M,8.60M,212.50M,0.4,0.0,0.4,0.4,0.39,0.0,0.39,0.39,299.00M,306.10M,0.0375
2004-12,391.60M,391.60M,,,-198.80M,,,,,,,-190.00M,206.20M,,,,,,206.00M,83.40M,122.60M,,,122.60M,122.60M,215.00M,8.80M,206.20M,0.41,0.0,0.41,0.41,0.4,0.0,0.4,0.4,297.00M,309.50M,0.0375
2004-09,357.90M,357.90M,,,151.80M,,,,,,,160.10M,197.80M,,,,,,194.30M,98.80M,95.50M,,,95.50M,95.50M,206.10M,8.30M,197.80M,0.32,0.0,0.32,0.32,0.32,0.0,0.32,0.32,295.20M,301.30M,0.0375
2004-06,357.60M,357.60M,,,149.40M,,,,,,,158.10M,199.50M,,,,,,193.10M,89.60M,103.50M,,,103.50M,103.50M,208.20M,8.70M,199.50M,0.35,0.0,0.35,0.35,0.34,0.0,0.34,0.34,297.80M,304.20M,0.0375
2004-03,331.20M,331.20M,140.00M,191.20M,,,,,,,,8.30M,182.90M,,,,,,177.90M,74.40M,103.50M,,,103.50M,103.50M,191.20M,8.30M,182.90M,0.345,0.0,0.345,0.345,0.34,0.0,0.34,0.34,298.20M,306.20M,0.0375
2003-12,350.70M,350.70M,,,-181.50M,,18.70M,,,,,-172.70M,176.10M,,,,18.70M,,173.00M,87.50M,85.50M,,,85.50M,74.28M,184.90M,8.80M,176.10M,0.285,0.0,0.2474,0.285,0.275,0.0,0.238,0.275,298.40M,303.40M,0.0225
2003-09,305.00M,305.00M,,,135.70M,,-7.40M,,,,,143.80M,161.20M,,,,-7.40M,,153.80M,68.20M,85.60M,,,85.60M,90.04M,169.30M,8.10M,161.20M,0.285,0.0,0.2999,0.285,0.28,0.0,0.2945,0.28,298.80M,307.00M,0.0225
2003-06,312.70M,312.70M,,,128.10M,,-4.20M,,,,,136.00M,176.70M,,,,-4.20M,,172.50M,71.60M,100.90M,,,100.90M,103.42M,184.60M,7.90M,176.70M,0.34,0.0,0.3485,0.34,0.33,0.0,0.3382,0.33,297.60M,306.00M,0.0225
2003-03,278.20M,278.20M,,,121.30M,,8.00M,,,,,129.10M,149.10M,,,,8.00M,,157.10M,65.20M,91.90M,,,91.90M,87.10M,156.90M,7.80M,149.10M,0.31,0.0,0.2938,0.31,0.305,0.0,0.2892,0.305,296.20M,303.00M,0.0225
2002-12,271.90M,271.90M,,,-149.60M,,17.00M,,,,,-142.40M,129.00M,,,,17.00M,,124.80M,55.00M,69.80M,,,69.80M,59.60M,136.20M,7.20M,129.00M,0.235,0.0,0.2012,0.235,0.225,0.0,0.1919,0.225,301.80M,307.80M,0.0225
2002-09,248.30M,248.30M,,,113.80M,,-5.90M,,,,,120.90M,127.40M,,,,-5.90M,,121.50M,53.70M,67.80M,,,67.80M,71.34M,134.50M,7.10M,127.40M,0.22,0.0,0.2314,0.22,0.215,0.0,0.2261,0.215,310.40M,318.80M,0.0225
2002-06,271.50M,271.50M,,,118.30M,,-6.00M,,,,,124.50M,147.00M,,,,-6.00M,,141.00M,62.30M,78.70M,,,78.70M,82.30M,153.20M,6.20M,147.00M,0.255,0.0,0.2666,0.255,0.245,0.0,0.2563,0.245,310.00M,318.60M,0.0225
2002-03,231.60M,231.60M,,,92.80M,,-4.60M,,,,,96.90M,134.70M,,,,-4.60M,,130.10M,57.50M,72.60M,,,72.60M,75.36M,138.80M,4.10M,134.70M,0.235,0.0,0.2439,0.235,0.23,0.0,0.2387,0.23,308.80M,316.20M,0.0225
2001-12,220.90M,220.90M,,,-134.20M,,11.40M,,,,,-129.70M,111.00M,,,,11.40M,,105.90M,47.10M,58.80M,,,58.80M,51.96M,115.50M,4.50M,111.00M,0.19,0.0,0.168,0.19,0.185,0.0,0.1633,0.185,310.40M,315.00M,0.0225
2001-09,190.40M,190.40M,,,92.30M,,-3.90M,,,,,96.70M,93.70M,,,,-3.90M,,89.80M,39.90M,49.90M,,,49.90M,52.24M,98.10M,4.40M,93.70M,0.16,0.0,0.1674,0.16,0.155,0.0,0.1622,0.155,316.40M,323.00M,0.0225
2001-06,205.20M,205.20M,,,97.20M,,-4.10M,,,,,101.20M,104.00M,,,,-4.10M,,99.90M,44.40M,55.50M,,,55.50M,57.96M,108.00M,4.00M,104.00M,0.175,0.0,0.1828,0.175,0.17,0.0,0.1776,0.17,316.00M,322.40M,0.0225
2001-03,180.20M,180.20M,,,86.30M,,-3.50M,,,,,90.40M,89.80M,,,,-3.50M,,86.30M,38.30M,48.00M,,,48.00M,50.10M,93.90M,4.10M,89.80M,0.15,0.0,0.1566,0.15,0.15,0.0,0.1565,0.15,318.00M,322.20M,0.0225
