,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2018-03,376.80M,,,,49.10M,49.10M,-4.20M,,35.10M,,35.10M,-29.90M,,-224.10M,47.80M,-0.10M,141.00M,-65.30M,,391.50M,-15.00M,,5.70M,-9.20M,,-18.50M,0.00,-40.00M,-40.00M,,-43.40M,-43.40M,-84.10M,-84.10M,-13.50M,-1.30M,-182.30M,1.072B,190.70M,15.10M,1.277B,,219.60M,-259.60M,-43.40M
2017-12,28.80M,-0.30M,0.10M,-0.20M,49.60M,49.60M,-73.40M,,34.10M,,34.10M,-138.20M,,189.20M,-53.80M,,375.10M,366.30M,,405.20M,-21.60M,,0.00,9.00M,,-12.60M,0.10M,-184.30M,-184.20M,,-36.40M,-36.40M,-72.20M,-72.20M,6.00M,-2.80M,-289.60M,962.80M,103.00M,5.70M,1.072B,,399.60M,-583.80M,-36.40M
2017-09,319.70M,0.00,-69.90M,-69.90M,43.00M,43.00M,-32.10M,,31.80M,,31.80M,6.70M,,50.20M,74.80M,,-33.80M,97.90M,,390.40M,-26.60M,,-3.506B,85.30M,,-3.447B,500.00M,314.30M,814.30M,,-29.10M,-29.10M,-72.60M,-72.60M,9.80M,-3.30M,719.10M,3.281B,-2.338B,19.70M,962.80M,,1.234B,-419.50M,-29.10M
2017-06,313.60M,0.00,-41.20M,-41.20M,32.90M,32.90M,8.50M,,28.70M,,28.70M,45.40M,,111.20M,37.30M,,-64.60M,129.30M,,471.80M,-24.10M,,0.00,45.40M,,21.30M,993.40M,-213.30M,780.10M,,-79.50M,-79.50M,-72.60M,-72.60M,16.60M,-27.80M,616.80M,2.130B,1.110B,41.40M,3.281B,,1.043B,-263.30M,-79.50M
2017-03,345.90M,-59.70M,,-59.70M,32.50M,32.50M,185.00M,,28.40M,,28.40M,-61.90M,,-988.60M,-128.30M,,134.30M,-1.044B,,-512.40M,-18.70M,,-5.00M,42.30M,,18.60M,498.50M,213.30M,711.80M,,-55.00M,-55.00M,-72.60M,-72.60M,-25.40M,-5.10M,553.70M,2.052B,59.90M,18.20M,2.130B,,1.452B,-740.40M,-55.00M
2016-12,-425.50M,-36.60M,,-36.60M,32.90M,32.90M,-160.20M,,25.30M,,25.30M,-69.20M,,957.00M,-14.10M,,54.30M,934.30M,,370.20M,-30.40M,,-0.20M,135.00M,,104.40M,0.00,0.00,0.00,,-59.90M,-59.90M,-70.60M,-70.60M,4.90M,-2.30M,-127.90M,1.746B,346.70M,-41.30M,2.052B,,0.00,0.00,-59.90M
2016-09,256.60M,0.00,,0.00,32.70M,32.70M,-8.20M,,23.90M,,23.90M,9.60M,,15.20M,31.90M,,-19.10M,37.60M,,342.60M,-30.50M,,-3.20M,38.60M,,4.90M,0.00,0.00,0.00,,-193.00M,-193.00M,-70.90M,-70.90M,34.80M,-45.50M,-274.60M,1.674B,72.90M,-1.10M,1.746B,,0.00,0.00,-193.00M
2016-06,258.10M,0.00,,0.00,31.20M,31.20M,2.40M,,23.50M,,23.50M,0.30M,,29.20M,5.60M,,-57.50M,-22.40M,,292.80M,-28.00M,,0.00,129.10M,,101.10M,0.00,0.00,0.00,,-223.80M,-223.80M,-71.50M,-71.50M,12.10M,-1.70M,-284.90M,1.576B,109.00M,-10.80M,1.674B,,0.00,0.00,-223.80M
2016-03,186.60M,0.00,,0.00,29.90M,29.90M,11.30M,,25.40M,,25.40M,-45.50M,,-99.00M,13.60M,,131.30M,0.40M,,253.60M,-26.30M,,-75.90M,-6.20M,,-108.40M,0.00,0.00,0.00,,-262.10M,-262.10M,-72.10M,-72.10M,-18.40M,-2.90M,-355.50M,1.757B,-210.30M,29.00M,1.576B,,0.00,0.00,-262.10M
2015-12,220.40M,,,,28.70M,28.70M,-1.60M,,20.70M,44.50M,65.20M,-86.40M,,87.10M,-33.80M,,25.00M,-8.10M,,304.60M,-23.10M,,-3.00M,15.60M,,-10.50M,300.00M,,300.00M,,-192.50M,-192.50M,-67.10M,-67.10M,16.90M,-50.30M,7.00M,1.471B,301.10M,-14.80M,1.757B,,300.00M,,-192.50M
2015-09,233.80M,,,,28.30M,28.30M,2.70M,,22.10M,-3.40M,18.70M,72.80M,,-0.70M,8.20M,,-64.70M,15.60M,,299.10M,-25.20M,,0.00,35.50M,,10.30M,0.00,,0.00,,-304.90M,-304.90M,-67.80M,-67.80M,16.90M,0.90M,-354.90M,1.539B,-45.50M,-22.00M,1.471B,,0.00,,-304.90M
2015-06,264.10M,,,,27.90M,27.90M,3.00M,,21.70M,-3.70M,18.00M,50.90M,,37.80M,-6.20M,,-62.90M,19.60M,,332.60M,-21.70M,,-4.60M,-16.20M,,-42.50M,0.00,,0.00,,-234.90M,-234.90M,-68.50M,-68.50M,19.80M,2.10M,-281.50M,1.510B,8.60M,20.10M,1.539B,,0.00,,-234.90M
2015-03,231.30M,,,,28.60M,28.60M,7.60M,,22.70M,-37.40M,-14.70M,-62.70M,,-72.80M,2.90M,,141.60M,9.00M,,261.80M,-19.00M,,0.00,-30.30M,,-49.30M,552.80M,,552.80M,,-365.80M,-365.80M,-68.70M,-68.70M,-23.90M,29.50M,123.90M,1.220B,336.40M,-46.00M,1.510B,,552.80M,,-365.80M
2014-12,241.40M,,,,27.00M,27.00M,-13.80M,,20.50M,-4.20M,0.00,-86.40M,,75.50M,22.30M,,26.50M,37.90M,,308.80M,-17.80M,,-29.20M,-273.30M,,-320.30M,0.00,,0.00,,-440.30M,-440.30M,-57.80M,-57.80M,14.70M,-187.70M,-671.10M,1.941B,-682.60M,-38.70M,1.220B,,0.00,0.00,-440.30M
2014-09,218.50M,,,,23.20M,23.20M,-8.90M,,19.30M,-9.30M,0.00,33.90M,,10.30M,-7.20M,,-28.00M,9.00M,,251.80M,-18.00M,,-130.00M,16.80M,,-131.20M,447.70M,,447.70M,,-320.50M,-320.50M,-59.00M,-59.00M,43.10M,-3.50M,107.80M,1.777B,228.40M,-64.90M,1.941B,,747.70M,-300.00M,-320.50M
2014-06,324.40M,,,,22.30M,22.30M,18.30M,,20.30M,-6.40M,-84.30M,-3.00M,,105.20M,-51.10M,,-46.40M,4.70M,,280.80M,-19.70M,,-7.90M,-3.60M,,-31.20M,0.00,,0.00,,-258.10M,-258.10M,-59.30M,-59.30M,34.20M,4.10M,-279.10M,1.792B,-29.50M,14.60M,1.777B,,0.00,0.00,-258.10M
2014-03,221.70M,,,,23.10M,23.10M,27.90M,,20.30M,-38.80M,-18.50M,-42.80M,,-131.80M,-5.00M,,102.60M,-77.00M,,177.20M,-19.10M,,-72.60M,9.50M,,-82.20M,0.00,,0.00,,-201.60M,-201.60M,-59.90M,-59.90M,6.00M,33.40M,-222.10M,1.920B,-127.10M,-0.20M,1.792B,,0.00,,-201.60M
2013-12,209.60M,,,,23.30M,23.30M,-33.40M,,17.80M,-6.40M,11.40M,-93.80M,,135.70M,-14.70M,,35.20M,62.40M,,273.30M,-11.30M,,-50.70M,22.90M,,-39.10M,0.00,,0.00,,-145.50M,-145.50M,-53.60M,-53.60M,39.40M,4.10M,-155.60M,1.835B,78.60M,5.80M,1.920B,,0.00,0.00,-145.50M
2013-09,186.80M,,,,23.40M,23.40M,-23.80M,,16.00M,-5.40M,10.60M,24.40M,,29.80M,49.60M,,-16.40M,87.40M,,284.40M,-12.90M,,0.00,-190.90M,,-203.80M,497.20M,,497.20M,,-397.20M,-397.20M,-54.60M,-54.60M,35.80M,1.80M,83.00M,1.633B,163.60M,38.50M,1.835B,,497.20M,0.00,-397.20M
2013-06,228.40M,,,,23.10M,23.10M,-2.30M,,16.10M,-10.90M,5.20M,27.40M,,-28.80M,-68.60M,,-17.90M,-87.90M,,166.50M,-9.50M,,0.00,-6.70M,,-16.20M,-31.90M,,-31.90M,,-259.10M,-259.10M,-44.60M,-44.60M,59.10M,6.30M,-270.20M,1.758B,-119.90M,-5.10M,1.633B,,,-31.90M,-259.10M
2013-03,191.10M,,,,23.60M,23.60M,13.10M,,17.20M,-16.10M,1.10M,-25.00M,,-139.60M,12.00M,,126.30M,-26.30M,,202.60M,-8.60M,,0.00,5.80M,,-2.80M,-31.90M,,-31.90M,,-91.30M,-91.30M,-44.50M,-44.50M,1.70M,10.00M,-156.00M,1.755B,43.80M,-41.20M,1.758B,,,-31.90M,-91.30M
2012-12,162.00M,,,,23.80M,23.80M,6.30M,,18.20M,-3.90M,26.50M,-71.20M,,150.20M,-23.00M,0.10M,52.40M,108.50M,,327.10M,-9.80M,,0.00,5.70M,,-4.10M,-31.90M,,-31.90M,,-71.40M,-71.40M,-35.70M,-35.70M,44.80M,2.40M,-91.80M,1.518B,231.20M,5.70M,1.755B,,0.00,-31.90M,-71.40M
2012-09,186.50M,,,,24.10M,24.10M,-30.50M,,16.40M,-2.60M,13.80M,-16.50M,,67.30M,41.30M,-0.10M,-25.40M,66.60M,,260.50M,-13.30M,,0.00,-6.90M,,-20.20M,464.20M,,464.20M,,-25.10M,-25.10M,-35.70M,-35.70M,37.00M,-3.50M,436.90M,824.10M,677.20M,17.20M,1.518B,,496.10M,-31.90M,-25.10M
2012-06,175.70M,,,,22.10M,22.10M,-0.70M,,14.90M,-0.60M,14.30M,55.50M,,-10.10M,-42.40M,,-40.90M,-37.90M,,173.50M,-6.60M,,-3.50M,-2.20M,,-12.30M,-3.70M,,-3.70M,,-100.00M,-100.00M,-35.90M,-35.90M,7.30M,-3.20M,-135.50M,814.70M,25.70M,-16.30M,824.10M,,,-3.70M,-100.00M
2012-03,175.50M,,,,23.50M,23.50M,48.20M,,15.00M,-8.60M,6.40M,-96.00M,,-105.70M,10.00M,,0.10M,-191.60M,,62.00M,-15.30M,,,1.70M,,-13.60M,-3.80M,,-3.80M,,0.00,0.00,-35.70M,-35.70M,27.60M,4.90M,-7.00M,760.00M,41.40M,13.30M,814.70M,,,-3.80M,0.00
2011-12,98.10M,,,,20.70M,20.70M,-8.90M,,13.50M,-1.40M,55.70M,-80.40M,,94.90M,-24.00M,0.10M,18.00M,8.60M,,137.00M,-14.10M,,-187.40M,-0.80M,,-202.30M,,7.50M,-3.80M,,0.00,0.00,,-31.10M,8.80M,0.80M,-25.30M,854.20M,-90.60M,-3.60M,760.00M,,0.00,-3.80M,0.00
2011-09,132.10M,,,,19.00M,19.00M,7.00M,,12.90M,-0.10M,0.00,86.30M,,7.00M,7.20M,0.10M,-51.10M,49.50M,,220.40M,-18.00M,,-3.00M,-3.90M,,-24.90M,,-3.70M,-3.70M,,-206.20M,-206.20M,,-31.70M,2.50M,-0.20M,-239.30M,938.50M,-43.80M,-40.50M,854.20M,,0.00,-3.70M,-206.20M
2011-06,190.70M,,,,21.80M,21.80M,5.80M,,14.30M,-3.10M,-19.60M,13.20M,,30.20M,6.80M,-31.20M,2.90M,21.90M,,245.00M,-16.00M,,-7.10M,-4.00M,,-27.10M,,-1.90M,-1.90M,,0.00,0.00,,-27.90M,23.20M,-1.40M,-8.00M,719.50M,209.90M,9.10M,938.50M,,,-1.90M,0.00
2011-03,157.10M,,,,17.70M,17.70M,,,16.00M,-2.80M,13.20M,-2.00M,,-108.20M,63.50M,31.00M,28.60M,12.90M,,200.90M,-19.60M,,,6.30M,,-13.30M,,-1.90M,-1.90M,,-127.60M,-127.60M,,-30.30M,11.90M,2.80M,-145.10M,659.60M,42.50M,17.40M,719.50M,,,-1.90M,-127.60M
2010-12,138.90M,,,,17.20M,17.20M,,,15.30M,-0.90M,14.40M,-85.50M,,63.50M,-72.40M,4.50M,108.60M,18.70M,,178.60M,-24.40M,,-148.60M,-0.80M,,-173.80M,494.80M,-511.80M,-17.00M,,-104.00M,-104.00M,,-20.10M,8.70M,-4.20M,-136.60M,793.70M,-131.80M,-2.30M,659.60M,,250.00M,-267.00M,-104.00M
2010-09,137.20M,,,,18.10M,18.10M,,,13.60M,-2.80M,10.80M,-14.70M,,79.30M,-7.10M,-44.80M,-8.10M,4.60M,,170.70M,-19.30M,,0.00,-2.40M,,-21.70M,-2.20M,155.40M,153.20M,,-19.70M,-19.70M,,-24.90M,11.70M,-1.20M,119.10M,485.90M,268.10M,39.70M,793.70M,,819.80M,-666.60M,-19.70M
2010-06,237.30M,,,,15.20M,15.20M,,,12.90M,-0.30M,-90.30M,32.30M,,-11.30M,-0.60M,-18.40M,-12.50M,-10.50M,,139.90M,-19.10M,,0.00,-0.60M,,-19.70M,-0.40M,-15.50M,-15.90M,,-70.00M,-70.00M,,-28.10M,1.80M,0.30M,-111.90M,496.40M,8.30M,-18.80M,485.90M,,1.122B,-1.138B,-70.00M
2010-03,,,,,15.80M,15.80M,,,14.80M,-3.00M,114.70M,13.50M,,-48.00M,6.60M,53.50M,-3.80M,21.80M,,164.10M,-16.20M,,,2.60M,,-13.60M,-0.30M,-71.70M,-72.00M,,-29.90M,-29.90M,,-25.50M,12.50M,3.00M,-111.90M,473.90M,38.60M,-16.10M,496.40M,,788.30M,-860.30M,-29.90M
2009-12,103.30M,,,,16.60M,16.60M,,,13.00M,-1.80M,11.20M,-66.20M,,43.30M,2.40M,50.30M,9.80M,39.60M,,187.20M,-26.40M,,0.00,-3.00M,,-29.40M,-0.30M,-87.40M,-87.70M,,0.00,0.00,,-24.50M,5.20M,1.80M,-105.20M,422.70M,52.60M,-1.40M,473.90M,,3.372B,-3.460B,0.00
2009-09,101.70M,,,,16.20M,16.20M,,,13.80M,-0.30M,13.50M,35.40M,,18.30M,13.00M,-44.80M,-21.20M,0.70M,,132.10M,-29.50M,,0.00,-1.30M,,-30.80M,-0.30M,-49.30M,-49.60M,,0.00,0.00,,-23.60M,2.20M,0.30M,-70.70M,392.80M,30.60M,-0.70M,422.70M,,2.869B,-2.919B,0.00
2009-06,111.00M,,,,15.70M,15.70M,,,16.10M,-2.50M,13.60M,-0.10M,,22.00M,13.00M,-35.20M,-10.50M,-10.80M,,129.50M,-22.40M,,0.00,2.40M,,-20.00M,-0.40M,-80.10M,-80.50M,,,,,-23.70M,11.10M,2.50M,-90.60M,341.70M,18.90M,32.20M,392.80M,,3.422B,-3.502B,
2009-03,91.10M,,,,15.60M,15.60M,,,14.50M,-0.40M,14.10M,16.00M,,-33.20M,26.90M,50.20M,14.30M,74.20M,,195.00M,-12.40M,,-0.90M,-0.30M,,-13.60M,-0.40M,-57.20M,-57.60M,,0.00,0.00,,-26.40M,1.30M,0.40M,-82.30M,245.90M,99.10M,-3.30M,341.70M,,3.824B,-3.881B,0.00
2008-12,92.70M,,,,31.20M,31.20M,,,63.20M,-7.50M,24.60M,-63.20M,,4.80M,-4.50M,54.10M,24.70M,15.90M,,139.30M,-19.00M,65.40M,-202.20M,1.40M,0.00,-219.80M,148.30M,166.30M,68.80M,-22.30M,-120.00M,-142.30M,,-28.50M,23.50M,0.10M,-78.40M,438.60M,-158.90M,-33.80M,245.90M,-22.30M,15.94B,-15.62B,-120.00M
2008-09,110.10M,,,,14.60M,14.60M,,,-29.20M,5.50M,38.90M,57.30M,,14.00M,-19.20M,-19.60M,-20.70M,11.80M,,151.70M,-21.40M,-65.40M,-0.60M,3.40M,0.00,-18.60M,-148.40M,24.80M,122.20M,22.30M,-145.00M,-122.70M,51.20M,-22.10M,-16.50M,1.20M,-37.90M,380.10M,95.20M,-36.70M,438.60M,22.30M,-8.231B,8.107B,-145.00M
2008-06,138.10M,,,,16.80M,16.80M,,,18.00M,-3.80M,-17.30M,-10.00M,,-58.20M,-6.00M,-23.50M,0.20M,-97.50M,,63.80M,-24.90M,,-0.10M,-3.20M,0.00,-28.20M,148.90M,-71.00M,77.90M,,-63.40M,-63.40M,-51.20M,-26.50M,12.80M,3.80M,4.60M,339.70M,40.20M,0.20M,380.10M,,3.242B,-3.164B,-63.40M
2008-03,120.70M,,,,12.50M,12.50M,,,11.20M,-1.70M,9.50M,42.10M,,-79.00M,6.60M,43.10M,29.40M,42.20M,,184.90M,-19.10M,,-38.50M,4.00M,0.90M,-52.70M,-0.50M,46.20M,45.70M,,-264.50M,-264.50M,,-24.70M,3.70M,1.70M,-238.10M,426.30M,-105.90M,19.30M,339.70M,,4.989B,-4.943B,-264.50M
2007-12,127.30M,,,0.00,11.90M,11.90M,,,,,21.10M,-50.50M,,38.10M,-60.60M,11.90M,191.60M,130.50M,,214.40M,-36.00M,-36.00M,-0.10M,-9.40M,,-45.50M,,,147.00M,13.10M,-311.40M,-298.30M,,-20.50M,,3.50M,-168.30M,421.10M,0.60M,4.60M,426.30M,13.10M,,,-311.40M
2007-09,136.90M,,,-52.30M,11.60M,11.60M,,,,,71.30M,94.10M,,41.70M,-1.00M,21.20M,-30.40M,125.60M,,293.10M,-52.50M,-52.50M,0.80M,8.90M,,-42.80M,,,289.30M,11.40M,-484.40M,-473.00M,,-20.80M,,4.50M,-200.00M,361.60M,50.30M,9.20M,421.10M,11.40M,,,-484.40M
2007-06,261.90M,,,,9.10M,9.10M,,,,,-38.90M,17.00M,,11.40M,7.90M,,22.80M,59.10M,,291.20M,-60.20M,-60.20M,-1.70M,-2.90M,,-64.80M,,,329.50M,19.90M,-500.00M,-480.10M,,-21.60M,,13.10M,-159.10M,289.50M,67.30M,4.80M,361.60M,19.90M,,,-500.00M
2007-03,175.40M,,,,10.30M,10.30M,,,,,-8.50M,-23.90M,,-37.30M,-4.60M,,73.90M,8.10M,,185.30M,-33.10M,-33.10M,-3.40M,64.90M,,28.40M,,,79.60M,21.50M,-442.60M,-421.10M,,-22.30M,,29.70M,-334.10M,408.10M,-120.40M,1.80M,289.50M,21.50M,,,-442.60M
2006-12,278.60M,,,-159.40M,11.00M,11.00M,,,,,4.60M,-110.50M,,98.80M,-14.70M,-19.10M,121.20M,75.70M,,183.30M,-9.90M,154.00M,-24.50M,-61.90M,,67.60M,,,,19.30M,-149.60M,-130.30M,,-19.60M,,17.90M,-132.60M,281.60M,118.30M,8.20M,408.10M,19.30M,,,-149.60M
2006-09,157.00M,,,,9.80M,9.80M,,,,,9.00M,65.50M,,43.50M,-1.50M,19.10M,-55.80M,70.80M,,246.60M,-8.30M,-8.30M,-12.70M,-5.90M,,-26.90M,,,,15.50M,-168.20M,-152.70M,,-19.60M,,11.00M,-161.30M,223.20M,58.40M,0.00,281.60M,15.50M,,,-168.20M
2006-06,172.10M,,,47.60M,9.30M,9.30M,,,,,-39.70M,3.10M,,-5.30M,10.50M,-50.90M,35.80M,-6.80M,,182.50M,-6.20M,-6.20M,0.00,104.00M,,97.80M,,,,19.40M,-574.00M,-554.60M,,-19.90M,,12.80M,-561.70M,495.90M,-281.40M,8.70M,223.20M,19.40M,,,-574.00M
2006-03,146.20M,,,-47.60M,9.40M,9.40M,,,,,,-0.50M,,4.40M,14.60M,50.90M,-37.30M,32.10M,,140.10M,-6.70M,-6.70M,-2.00M,-13.70M,,-22.40M,,,,51.10M,-201.80M,-150.70M,,-20.40M,,61.50M,-109.60M,486.00M,8.10M,1.80M,495.90M,51.10M,,,-201.80M
2005-12,150.10M,,,40.90M,9.10M,9.10M,,,,,,-85.50M,-2.50M,18.60M,-1.40M,52.50M,,-18.30M,,161.60M,-12.70M,-12.70M,,-12.30M,-26.30M,-51.30M,,,-0.40M,22.60M,-363.50M,-340.90M,,-15.90M,,-0.30M,-357.50M,736.70M,-247.20M,-3.50M,486.00M,22.60M,,,-363.50M
2005-09,146.60M,,,23.70M,8.80M,8.80M,,,,,,42.00M,0.80M,-7.50M,3.00M,-16.70M,,21.60M,,200.70M,-6.90M,-6.90M,,-72.70M,0.00,-79.60M,,,-0.30M,14.00M,-309.00M,-295.00M,,-16.60M,,-2.00M,-313.90M,930.80M,-192.80M,-1.30M,736.70M,14.00M,,,-309.00M
2005-06,145.40M,,,24.00M,8.70M,8.70M,,,,,,-5.00M,1.70M,6.40M,1.40M,10.50M,-1.00M,14.00M,,192.10M,-6.20M,-6.20M,,-6.90M,-3.90M,-17.00M,,,-0.30M,19.60M,-19.20M,0.40M,,-16.60M,,,-16.50M,777.00M,158.60M,-4.80M,930.80M,19.60M,,,-19.20M
2005-03,118.70M,,,38.60M,8.60M,8.60M,,,,,,-4.60M,,-33.50M,-8.70M,33.40M,1.00M,-12.40M,,153.50M,-5.50M,-5.50M,,3.00M,,-2.50M,,,-0.30M,32.90M,,32.90M,,-11.20M,,,21.40M,606.10M,172.40M,-1.50M,777.00M,32.90M,,,
2004-12,122.60M,,,29.80M,8.80M,8.80M,,,,,,-73.50M,-0.40M,32.60M,-32.00M,36.20M,21.40M,-15.70M,,135.90M,-6.80M,-6.80M,,5.50M,0.00,-1.30M,,,-0.40M,28.20M,0.00,28.20M,,-11.30M,,,16.50M,451.00M,151.10M,4.00M,606.10M,28.20M,,,0.00
2004-09,95.50M,,,15.80M,8.30M,8.30M,,,,,,11.30M,0.10M,42.50M,-11.80M,-7.40M,,34.70M,,154.30M,-3.10M,-3.10M,,-5.50M,-0.40M,-9.00M,,,-0.30M,19.60M,-35.10M,-15.50M,,-11.00M,,,-26.80M,332.30M,118.50M,0.20M,451.00M,19.60M,,,-35.10M
2004-06,103.50M,,,13.50M,8.70M,8.70M,,,,,,-14.00M,0.30M,18.10M,33.00M,-38.60M,-1.40M,-2.60M,,123.10M,-4.80M,-4.80M,,,-0.30M,-5.10M,,,-0.30M,14.50M,-155.70M,-141.20M,,-11.20M,,,-152.70M,368.10M,-34.70M,-1.10M,332.30M,14.50M,,,-155.70M
