,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,114.00M,,71.00M,,,374.00M,374.00M,1.00M,,3.00M,23.00M,4.00M,-5.00M,,,-33.00M,-43.00M,-57.00M,,-138.00M,,,2018-03,-370.00M,,,-14.00M,,,-384.00M,2018-03,-487.00M,,-487.00M,843.00M,-33.00M,810.00M,,,,-443.00M,-28.00M,-15.00M,-163.00M,,2018-03,-95.00M,0.00,345.00M,,2018-03,,843.00M,-2.40B,-33.00M,,2018-03,AOR,Restated
2017-12,20.00M,,0.00,,,361.00M,361.00M,15.00M,,7.00M,25.00M,2.00M,-8.00M,,40.00M,27.00M,,,-88.00M,189.00M,,,2017-12,-365.00M,,,-7.147B,,1.00M,-7.511B,2017-12,952.00M,,952.00M,0.00,0.00,0.00,0.00,,0.00,-427.00M,-30.00M,-2.00M,493.00M,,2017-12,-6.399B,0.00,440.00M,,2017-12,,0.00,-114.00M,0.00,,2017-12,AOR,Restated
2017-09,115.00M,,0.00,,,296.00M,296.00M,0.00,,5.00M,22.00M,3.00M,-12.00M,,8.00M,-20.00M,,,65.00M,41.00M,,,2017-09,-289.00M,,,-9.00M,,2.00M,-296.00M,2017-09,1.367B,,1.367B,3.757B,0.00,3.757B,1.608B,,1.608B,-386.00M,0.00,-16.00M,6.33B,,2017-09,6.516B,0.00,6.839B,,2017-09,,5.365B,-380.00M,0.00,,2017-09,AOR,Restated
2017-06,112.00M,,0.00,,,295.00M,295.00M,0.00,,4.00M,23.00M,3.00M,-2.00M,,-23.00M,37.00M,,,40.00M,52.00M,0.00,,2017-06,-301.00M,,,-607.00M,,-4.00M,-912.00M,2017-06,331.00M,,331.00M,442.00M,-1.00M,441.00M,,,,-348.00M,0.00,-4.00M,420.00M,,2017-06,-3.00M,1.00M,323.00M,,2017-06,,442.00M,-366.00M,-1.00M,,2017-06,AOR,Restated
2017-03,119.00M,,4.00M,,,289.00M,289.00M,,,1.00M,22.00M,-1.00M,93.00M,,-25.00M,-43.00M,,,-17.00M,8.00M,,,2017-03,-262.00M,,,-1.497B,,-4.00M,-1.763B,2017-03,1.304B,,1.304B,22.00M,-22.00M,0.00,,,,-348.00M,,-7.00M,949.00M,,2017-03,-372.00M,,325.00M,,2017-03,,22.00M,-1.099B,-22.00M,,2017-03,AOR,Restated
2016-12,124.74M,,2.709M,,,274.28M,274.28M,2.374M,,5.749M,18.60M,11.16M,-97.23M,,25.86M,36.20M,,,77.86M,42.68M,,,2016-12,-259.82M,,,-11.84M,-0.141M,-17.62M,-176.42M,2016-12,-436.46M,,-436.46M,1.002B,-0.241M,1.002B,0.00,,0.00,-342.37M,-11.01M,-0.569M,211.55M,,2016-12,404.27M,0.321M,697.00M,,2016-12,-113.15M,1.002B,-436.45M,-0.241M,,2016-12,AOR,Restated
2016-09,98.36M,,10.27M,,,280.82M,280.82M,2.679M,,8.339M,20.27M,3.176M,-46.54M,,-29.64M,-18.45M,,,57.25M,-37.39M,,,2016-09,-221.18M,,,-51.23M,0.00,9.762M,-375.80M,2016-09,140.45M,,140.45M,0.00,-0.299M,-0.299M,0.00,,0.00,-298.78M,-11.00M,0.262M,-169.36M,,2016-09,-45.48M,-0.641M,156.22M,,2016-09,113.15M,0.00,-969.35M,-0.299M,,2016-09,AOR,Restated
2016-06,86.06M,,11.47M,,,276.03M,276.03M,2.087M,,11.95M,20.24M,3.288M,25.78M,,-23.10M,21.97M,,,44.75M,69.41M,,,2016-06,-199.51M,,,-471.90M,0.00,2.223M,-669.19M,2016-06,539.65M,,539.65M,0.00,-0.106M,-0.106M,,,,-298.76M,-11.00M,-15.38M,214.40M,,2016-06,25.74M,0.896M,202.34M,,2016-06,,0.00,-1.430B,-0.106M,,2016-06,AOR,Restated
2016-03,47.84M,,30.55M,,,277.88M,277.88M,1.86M,,7.959M,19.90M,6.377M,58.99M,,-31.12M,1.281M,,,16.14M,45.30M,,,2016-03,-193.49M,,,-22.03M,8.141M,-0.369M,-94.60M,2016-03,-308.64M,,-308.64M,323.80M,-24.35M,299.44M,,,,-299.09M,-11.00M,-26.31M,-345.59M,,2016-03,-2.532M,-0.576M,175.70M,,2016-03,,323.80M,-5.871B,-24.35M,,2016-03,AOR,Restated
2015-12,142.72M,0.00,0.00,,,269.56M,269.56M,-44.42M,,13.82M,16.06M,3.057M,13.37M,,-23.11M,0.814M,,,111.27M,102.35M,-4.359M,,2015-12,-250.65M,,,-18.86M,0.00,-1.577M,-1.375B,2015-12,85.18M,,85.18M,0.00,-0.081M,-0.081M,,,,-295.39M,-11.00M,-14.20M,-235.49M,,2015-12,-5.086M,-0.22M,178.81M,,2015-12,,0.00,-144.82M,-0.081M,,2015-12,AOR,Restated
2015-09,104.30M,0.00,0.00,,,261.66M,261.66M,-6.029M,,7.477M,14.58M,7.678M,-60.93M,,-33.61M,-7.686M,,,84.56M,-17.67M,-0.522M,,2015-09,-237.36M,,,-1.019B,0.00,6.519M,-1.249B,2015-09,990.67M,,990.67M,,-0.086M,-0.086M,,,,-273.68M,-11.00M,18.28M,724.18M,,2015-09,-153.78M,-0.713M,184.12M,,2015-09,,,-119.33M,-0.086M,,2015-09,AOR,Restated
2015-06,166.53M,-54.48M,-50.32M,,,253.15M,253.15M,-6.464M,,3.62M,14.89M,6.298M,24.36M,,-47.87M,6.781M,,,94.85M,78.12M,-2.855M,,2015-06,-219.23M,,,-47.23M,54.48M,-7.566M,887.12M,2015-06,-951.56M,,-951.56M,0.00,-0.118M,-0.118M,,,,-273.69M,-11.00M,-15.56M,-1.252B,,2015-06,98.16M,0.291M,338.61M,,2015-06,,0.00,-2.172B,-0.118M,,2015-06,AOR,Restated
2015-03,111.73M,,,,,251.81M,251.81M,-3.706M,,8.555M,15.24M,11.18M,35.88M,,-7.661M,-5.164M,,,35.20M,58.25M,7.736M,,2015-03,-201.65M,,,-17.49M,,-0.514M,-222.76M,2015-03,133.50M,,133.50M,0.00,-29.37M,-29.37M,,,,-273.68M,-11.00M,8.31M,-172.24M,,2015-03,65.79M,-1.26M,240.15M,,2015-03,,0.00,-96.50M,-29.37M,,2015-03,AOR,Restated
2014-12,128.63M,,0.00,,,246.82M,246.82M,-7.27M,,3.573M,12.00M,-4.18M,-13.04M,,-38.59M,-16.86M,,,138.18M,69.70M,24.63M,,2014-12,-259.58M,,,-287.30M,0.00,0.69M,-552.22M,2014-12,310.77M,,310.77M,,-0.094M,-0.094M,,,,-273.76M,-11.00M,-9.872M,16.05M,,2014-12,-62.28M,-0.654M,175.62M,,2014-12,,,-141.23M,-0.094M,,2014-12,AOR,Restated
2014-09,99.16M,,0.00,,,247.21M,247.21M,-4.707M,,4.932M,12.12M,19.34M,-9.637M,,-69.51M,52.92M,,,76.17M,49.94M,0.564M,,2014-09,-199.66M,,,-88.57M,0.00,0.409M,-292.88M,2014-09,-10.81M,,-10.81M,,-0.048M,-0.048M,,,,-116.85M,-11.00M,15.43M,-123.28M,,2014-09,12.40M,-1.327M,238.55M,,2014-09,,,-83.81M,-0.048M,,2014-09,AOR,Restated
2014-06,15.74M,,44.63M,,,241.57M,241.57M,-7.55M,,3.008M,15.42M,19.91M,-59.34M,,-50.03M,-10.80M,,,148.10M,27.94M,40.74M,,2014-06,-156.36M,,,-23.56M,0.00,1.426M,-193.58M,2014-06,-52.80M,,-52.80M,,-0.313M,-0.313M,,,,-116.86M,-11.00M,-0.337M,-181.30M,,2014-06,26.51M,0.431M,227.48M,,2014-06,,,-1.310B,-0.313M,,2014-06,AOR,Restated
2014-03,102.79M,,,,,250.19M,250.19M,-2.332M,,2.733M,11.96M,20.11M,4.896M,,-51.34M,-11.62M,,,34.90M,-23.16M,,,2014-03,-142.94M,,,-62.23M,,0.952M,-204.22M,2014-03,-33.74M,,-33.74M,,-21.42M,-21.42M,,,,-116.83M,-11.36M,8.889M,-174.46M,,2014-03,-16.40M,-6.462M,200.54M,,2014-03,,,-116.74M,-21.42M,,2014-03,AOR,Restated
2013-12,-56.58M,,0.64M,,,168.82M,168.82M,93.27M,,2.89M,9.696M,21.81M,-18.34M,,-26.64M,21.40M,,,115.22M,91.64M,,,2013-12,-149.33M,,,-4.877B,,-0.325M,-5.088B,2013-12,795.66M,,795.66M,,-0.241M,2.980B,,,,,,-38.76M,4.688B,,2013-12,-1.036M,5.781M,223.39M,,2013-12,,,-873.86M,-0.241M,,2013-12,AOR,Restated
2013-09,46.47M,,0.001M,,,195.41M,195.41M,30.86M,,3.893M,9.862M,21.65M,-34.04M,,-60.32M,-17.03M,,,82.10M,-29.30M,,,2013-09,-130.66M,,,-27.85M,,0.957M,-157.56M,2013-09,-17.90M,,-17.90M,,-0.35M,-0.35M,,,,0.00,0.00,-10.65M,-28.90M,,2013-09,92.38M,-0.619M,218.65M,,2013-09,,,-863.90M,-0.35M,,2013-09,AOR,Restated
2013-06,53.38M,,0.577M,,,190.65M,190.65M,35.40M,,3.097M,9.443M,21.08M,8.161M,,-99.50M,16.26M,,,34.86M,-40.22M,,,2013-06,-138.47M,,,-14.47M,,6.497M,-146.44M,2013-06,-67.87M,,-67.87M,,-75.29M,-75.29M,,,,0.00,0.00,-16.45M,-159.61M,,2013-06,-32.65M,-1.33M,126.89M,,2013-06,,,-146.81M,-75.29M,,2013-06,AOR,Restated
2013-03,16.74M,,35.91M,,,186.46M,186.46M,14.74M,,3.715M,10.03M,37.68M,-19.81M,,-30.38M,21.03M,,,10.51M,-18.65M,,,2013-03,-116.35M,,,-12.81M,,0.147M,-129.02M,2013-03,-834.76M,,-834.76M,,-23.58M,-23.58M,,,,0.00,0.00,421.85M,-436.49M,,2013-03,-278.88M,-1.622M,160.86M,,2013-03,,,-834.76M,-23.58M,,2013-03,AOR,Restated
2012-12,-9.644M,,117.39M,,,175.84M,175.84M,-75.23M,,7.298M,8.371M,35.68M,-54.36M,,-57.74M,33.04M,,,67.46M,-11.60M,,,2012-12,-158.00M,,,-2.523B,,0.018M,-2.681B,2012-12,3.103B,,3.103B,0.019M,-0.059M,-0.04M,,,,,0.00,-346.68M,2.756B,,2012-12,322.70M,-0.238M,441.36M,,2012-12,,0.019M,-1.300B,-0.059M,,2012-12,AOR,Restated
2012-09,43.18M,,0.00,,,154.87M,154.87M,30.40M,,1.56M,16.47M,25.54M,-17.99M,,-80.71M,-7.581M,,,34.38M,-71.90M,,,2012-09,-123.69M,,,-36.92M,,0.056M,-160.56M,2012-09,-24.84M,,-24.84M,0.001M,-0.311M,-0.31M,,,,,0.00,6.895M,-18.25M,,2012-09,21.31M,1.417M,118.90M,,2012-09,,0.001M,-24.84M,-0.311M,,2012-09,AOR,Restated
2012-06,117.08M,,7.518M,,,152.48M,152.48M,-70.36M,,3.646M,8.07M,24.27M,-24.14M,,-63.22M,6.653M,,,0.125M,-80.58M,,,2012-06,-94.64M,,,-978.00M,,-0.007M,-1.073B,2012-06,-67.21M,,-67.21M,0.043M,-0.197M,-0.154M,,,,,0.00,11.67M,-55.70M,,2012-06,-966.22M,-1.291M,96.18M,,2012-06,,0.043M,-72.21M,-0.197M,,2012-06,AOR,Restated
2012-03,50.27M,,7.068M,,,139.40M,139.40M,4.813M,,3.044M,9.035M,24.47M,-2.08M,,-59.45M,-11.09M,,,-3.27M,-75.89M,,,2012-03,-65.05M,,,-221.32M,,1.195M,-285.17M,2012-03,1.182B,,1.182B,0.195M,-35.48M,-35.28M,,,,,-2.481M,-39.29M,1.105B,,2012-03,981.97M,1.592M,1.064B,,2012-03,,0.195M,-913.02M,-35.48M,,2012-03,AOR,Restated
2011-12,48.94M,,,,,,138.96M,-2.058M,-77.22M,8.589M,7.673M,102.22M,-12.09M,,-77.01M,12.34M,,,37.84M,-38.92M,,,2011-12,-82.83M,,,-19.55M,,0.003M,-102.38M,2011-12,84.68M,-148.00M,-63.32M,0.034M,-2.045M,-2.011M,,0.00,0.00,,-4.774M,-10.09M,-80.20M,,2011-12,5.606M,-1.01M,80.12M,,2011-12,,0.034M,-73.32M,-2.045M,,2011-12,AOR,Restated
2011-09,51.38M,,,,,,138.52M,4.139M,25.74M,3.09M,7.683M,0.539M,-8.786M,,-60.04M,-12.69M,,,21.89M,-59.63M,,,2011-09,-148.42M,,,-5.622M,,-15.20M,-169.25M,2011-09,-111.23M,219.00M,107.77M,0.766M,-108.81M,-108.04M,,-15.00M,-15.00M,,-4.774M,-14.94M,-34.98M,,2011-09,-32.77M,0.179M,75.52M,,2011-09,,0.766M,-63.23M,-123.81M,,2011-09,AOR,Restated
2011-06,31.01M,,,,,,138.19M,4.557M,25.68M,6.205M,7.758M,4.129M,-3.066M,,-53.36M,13.19M,,,-18.01M,-61.24M,,,2011-06,-64.04M,,,-11.94M,,0.536M,-75.44M,2011-06,93.73M,-21.00M,72.73M,0.106M,-150.34M,-150.23M,,,,,-4.97M,27.53M,-54.94M,,2011-06,25.91M,-0.114M,108.12M,,2011-06,,0.106M,-29.27M,-150.34M,,2011-06,AOR,Restated
2011-03,40.12M,,,,,,137.27M,-2.012M,25.80M,4.401M,9.496M,0.18M,6.534M,,-52.03M,-20.14M,,,-22.11M,-87.75M,,,2011-03,-52.65M,,,-0.435M,,0.293M,-52.79M,2011-03,-8.521M,-50.00M,-58.52M,0.651M,-42.22M,-41.57M,,,,,-4.969M,-0.526M,-105.59M,,2011-03,-30.87M,0.657M,82.32M,,2011-03,,0.651M,-58.52M,-42.22M,,2011-03,AOR,Restated
2010-12,40.90M,,-5.86M,,,,137.26M,8.083M,-59.73M,5.099M,10.36M,85.49M,-4.358M,,-66.24M,17.66M,,,27.12M,-25.82M,,,2010-12,-79.78M,,,-12.19M,,-0.521M,-92.49M,2010-12,148.88M,,148.88M,2.421M,-12.73M,-10.31M,,0.00,0.00,,-4.97M,-429.00M,-295.39M,,2010-12,-192.11M,0.659M,112.53M,,2010-12,,2.421M,-8.116M,-12.73M,,2010-12,AOR,Restated
2010-09,-135.15M,,176.35M,,,,136.22M,-11.96M,22.18M,4.429M,8.042M,0.375M,-2.281M,,-52.42M,-8.669M,,,22.32M,-41.04M,,,2010-09,-56.51M,-1.974M,-1.974M,-126.34M,21.80M,-23.21M,-186.24M,2010-09,148.74M,0.00,148.74M,7.913M,-0.024M,7.889M,,0.00,0.00,,-4.969M,-63.64M,88.03M,,2010-09,61.24M,0.656M,303.98M,,2010-09,,7.913M,-1.401B,-0.024M,,2010-09,AOR,Restated
2010-06,-97.61M,,114.60M,,,,134.43M,-8.552M,18.68M,2.597M,9.88M,-0.396M,-8.496M,,-26.30M,11.30M,,,13.83M,-9.668M,,,2010-06,-54.90M,0.232M,0.232M,-0.629M,0.00,,-55.30M,2010-06,-4.454M,0.00,-4.454M,1.572M,-38.16M,-36.59M,,,,,-4.971M,-217.21M,-263.22M,,2010-06,-154.57M,-0.837M,242.09M,,2010-06,,1.572M,-4.454M,-38.16M,,2010-06,AOR,Restated
2010-03,-119.40M,,139.71M,,,,132.87M,-13.77M,18.87M,1.562M,8.263M,0.839M,3.482M,,-41.04M,-22.87M,,,-24.26M,-84.69M,,,2010-03,-36.86M,1.742M,1.742M,0.00,-21.80M,,-56.92M,2010-03,-253.88M,0.00,-253.88M,6.825M,-108.73M,-101.90M,,,,,-4.969M,-35.28M,-396.04M,,2010-03,-368.70M,0.05M,397.50M,,2010-03,,6.825M,-2.154B,-108.73M,,2010-03,AOR,Restated
2009-12,-114.12M,,-20.19M,,,,133.50M,9.121M,61.36M,-14.46M,7.415M,83.36M,-10.87M,,,-82.03M,,9.317M,115.19M,31.60M,,,2009-12,-62.24M,0.614M,0.614M,-0.017M,0.00,,-61.64M,2009-12,216.67M,219.40M,436.07M,28.31M,-1.772M,26.54M,,,,,-4.97M,-76.44M,381.19M,,2009-12,497.13M,0.182M,766.15M,,2009-12,,28.31M,-61.43M,-1.772M,,2009-12,AOR,Restated
2009-09,101.72M,,60.51M,,,,131.46M,-23.75M,-26.60M,14.46M,6.779M,-75.06M,3.191M,,38.29M,-20.92M,,29.32M,-115.19M,-65.29M,,,2009-09,-32.39M,0.202M,0.202M,-2.581M,1.739M,,-33.03M,2009-09,57.35M,-219.40M,-162.05M,6.964M,-0.013M,6.951M,,,,,-4.97M,2.788M,-157.28M,,2009-09,-66.09M,-0.064M,268.83M,,2009-09,,6.964M,-412.05M,-0.013M,,2009-09,AOR,Restated
2009-06,-111.77M,,158.20M,,,,131.60M,-56.55M,16.20M,,8.055M,6.854M,-1.226M,,-29.95M,29.97M,,0.006M,,-1.198M,,,2009-06,-39.62M,0.741M,0.741M,,-1.739M,,-40.62M,2009-06,-331.30M,,-331.30M,5.704M,-0.166M,5.538M,,,,,-4.969M,-53.13M,-383.86M,,2009-06,-273.08M,-1.263M,334.99M,,2009-06,,5.704M,-1.546B,-0.166M,,2009-06,AOR,Restated
2009-03,10.05M,,-17.14M,,,,133.18M,-3.234M,10.40M,,6.976M,4.912M,4.078M,,-8.347M,6.519M,,-29.33M,,-27.08M,,,2009-03,-39.28M,2.431M,2.431M,,0.00,,-36.85M,2009-03,416.01M,,416.01M,4.074M,-1.052M,3.022M,,,,,-4.969M,-39.72M,374.35M,,2009-03,455.55M,-1.435M,609.34M,,2009-03,,4.074M,-397.73M,-1.052M,,2009-03,AOR,Restated
2008-12,-63.82M,,33.33M,,,-395.64M,130.80M,-26.49M,24.83M,,25.90M,-52.75M,-12.63M,,-7.279M,-4.307M,,63.79M,,39.58M,,,2008-12,-108.00M,1.855M,344.59M,0.00,-1.117M,,-107.26M,2008-12,87.62M,,7.493M,0.669M,-0.302M,0.367M,,,,,-19.88M,22.13M,25.02M,,2008-12,85.01M,-2.898M,155.22M,,2008-12,,0.669M,-6.782M,-0.302M,,2008-12,AOR,Restated
2008-09,-32.21M,,0.739M,,,395.64M,131.71M,-3.751M,-11.07M,,-12.04M,60.85M,0.016M,,-26.75M,4.896M,,17.24M,,-4.592M,,,2008-09,-140.30M,-1.117M,-343.85M,-27.74M,1.117M,,-168.04M,2008-09,-71.75M,,8.375M,1.269M,-0.045M,1.224M,,,,,9.939M,10.70M,15.33M,,2008-09,-23.06M,-2.589M,73.10M,,2008-09,,1.269M,3.25M,-0.045M,,2008-09,,
2008-06,60.34M,,,,,,131.90M,-77.00M,5.54M,,6.622M,6.809M,5.623M,,-9.351M,0.602M,,17.24M,,14.12M,,,2008-06,-140.75M,1.013M,1.013M,0.00,,,-139.74M,2008-06,-1.625M,,-1.625M,5.56M,-1.973M,3.587M,,,,,-4.97M,-4.794M,-7.802M,,2008-06,0.782M,0.74M,98.75M,,2008-06,,5.56M,-1.625M,-1.973M,,2008-06,,Restated
2008-03,-13.17M,,,,,,132.03M,-6.308M,5.53M,,5.418M,0.23M,1.979M,,-35.55M,-4.786M,,-17.58M,,-55.94M,,,2008-03,-61.69M,0.104M,0.104M,,,,-61.58M,2008-03,73.38M,,73.38M,0.946M,-42.36M,-41.42M,,,,,-4.969M,-11.83M,15.16M,,2008-03,21.37M,0.616M,97.23M,,2008-03,,0.946M,-1.625M,-42.36M,,2008-03,,Restated
2007-12,-80.17M,,-0.533M,539.90M,20.65M,153.00M,153.00M,-26.47M,,,,72.84M,-3.247M,,-28.39M,11.77M,,31.14M,,11.27M,,,2007-12,-108.75M,,-108.75M,0.00,-0.755M,0.755M,-108.75M,2007-12,,,71.75M,6.399M,-126.16M,-119.76M,,,,,,-12.65M,-65.63M,,2007-12,-44.44M,-0.12M,75.24M,,2007-12,,6.399M,,-126.16M,,2007-12,,
2007-09,-67.01M,,-3.96M,-272.02M,-9.26M,126.28M,126.28M,-32.83M,,,,84.16M,-5.666M,28.81M,-44.22M,1.918M,,-39.16M,53.35M,-4.966M,,,2007-09,-66.33M,,-66.33M,-4.875M,0.882M,-0.255M,-70.58M,2007-09,,,-1.625M,11.44M,-2.304M,9.139M,,,,,,-6.626M,-4.081M,,2007-09,27.02M,0.355M,119.80M,,2007-09,,11.44M,,-2.304M,,2007-09,,
2007-06,-32.74M,,4.536M,133.32M,4.797M,138.12M,138.12M,-16.72M,,,,6.841M,-1.306M,-28.81M,,-4.211M,,0.284M,3.983M,-30.06M,,,2007-06,-77.75M,-2.536M,-80.28M,0.00,2.782M,-0.50M,-78.00M,2007-06,,,0.00,7.758M,-0.643M,7.115M,,,,,,-26.94M,-24.80M,,2007-06,-32.81M,0.709M,92.43M,,2007-06,,7.758M,,-0.643M,,2007-06,,
