,NetIncome,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2013-12,168.83M,,,,34.97M,34.97M,,9.516M,-2.147M,7.369M,,,26.61M,0.208M,211.38M,-52.66M,1.616M,-51.04M,-440.86M,88.86M,,-403.05M,257.34M,,257.34M,,-27.72M,-27.72M,-63.33M,-63.33M,15.51M,2.028M,183.83M,889.37M,-7.839M,5.323M,886.80M,,550.60M,-293.26M,-27.72M,50.06M,17.56M
2013-09,161.39M,,,,34.77M,34.77M,,9.409M,-2.83M,6.579M,,,-5.819M,-5.819M,196.92M,-39.70M,0.672M,-39.03M,0.00,24.68M,,-14.35M,87.02M,,87.02M,,-115.87M,-115.87M,-16.72M,-16.72M,15.38M,-2.515M,-32.70M,723.66M,149.87M,15.84M,889.37M,,188.22M,-101.20M,-115.87M,44.10M,13.10M
2013-06,154.87M,,,,34.17M,34.17M,,8.892M,-7.303M,1.589M,,,-10.08M,-10.08M,180.55M,-36.35M,0.61M,-35.74M,-44.24M,-131.98M,,-211.96M,94.66M,,94.66M,,-95.81M,-95.81M,-16.76M,-16.76M,33.52M,6.814M,22.43M,734.99M,-8.983M,-2.351M,723.66M,,201.28M,-106.63M,-95.81M,43.79M,17.00M
2013-03,153.61M,,,,32.59M,32.59M,,8.283M,-8.72M,-0.437M,,,-5.514M,-5.514M,180.25M,-29.68M,0.802M,-28.88M,0.201M,-35.26M,,-63.94M,-17.92M,,-17.92M,,-85.30M,-85.30M,,,30.68M,7.473M,-65.06M,690.85M,51.26M,-7.113M,734.99M,,101.30M,-119.22M,-85.30M,38.85M,12.74M
2012-12,141.56M,,,,32.46M,32.46M,,8.233M,-3.795M,4.438M,,,37.64M,28.64M,207.10M,-32.61M,0.626M,-31.98M,-71.90M,-84.30M,,-188.19M,101.13M,,101.13M,,-150.66M,-150.66M,-33.72M,-33.72M,22.05M,3.326M,-57.87M,725.55M,-38.96M,4.201M,690.80M,,212.97M,-111.84M,-150.66M,55.22M,16.81M
2012-09,148.80M,,,,30.75M,30.75M,,8.066M,-8.128M,-0.062M,,,-3.488M,-3.488M,176.00M,-33.07M,1.87M,-31.20M,-97.25M,-32.90M,,-161.34M,61.50M,,61.50M,,-28.42M,-28.42M,-16.88M,-16.88M,37.74M,5.065M,59.00M,646.01M,73.66M,5.87M,725.55M,,170.56M,-109.06M,-28.42M,45.00M,12.84M
2012-06,141.89M,,,,29.59M,29.59M,,7.61M,-4.248M,3.362M,,,-47.45M,-47.45M,127.40M,-31.90M,1.289M,-30.61M,-82.35M,-12.20M,,-125.16M,148.98M,,148.98M,,-119.14M,-119.14M,-17.05M,-17.05M,13.29M,2.595M,28.68M,620.98M,30.92M,-5.891M,646.01M,,208.14M,-59.15M,-119.14M,44.42M,16.31M
2012-03,127.25M,,,,29.00M,29.00M,,7.491M,-5.429M,2.062M,,,5.895M,5.895M,164.20M,-31.52M,1.015M,-30.51M,0.00,11.60M,,-18.91M,17.88M,,17.88M,,-81.88M,-81.88M,-2.448M,-2.448M,22.42M,1.114M,-42.92M,515.09M,102.38M,3.52M,620.98M,,726.63M,-708.75M,-81.88M,45.06M,2.64M
2011-12,115.00M,,,,31.24M,31.24M,,7.668M,-0.371M,-2.012M,,,127.34M,17.09M,168.62M,-28.17M,0.984M,-27.19M,-250.28M,-43.12M,,-320.59M,111.80M,,111.80M,,-138.19M,-138.19M,,-2.494M,1.831M,-0.871M,-27.93M,690.18M,-179.90M,4.804M,515.09M,,198.10M,-86.30M,-138.19M,31.33M,17.45M
2011-09,136.06M,,,,30.99M,30.99M,,7.63M,-0.131M,12.40M,,,-2.704M,-2.704M,184.24M,-25.59M,6.457M,-19.13M,-1.104M,-5.383M,,-25.62M,107.12M,,107.12M,,-173.00M,-173.00M,,-2.547M,2.804M,-1.456M,-67.08M,611.21M,91.54M,-12.57M,690.18M,,185.90M,-78.78M,-173.00M,29.35M,2.508M
