,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-03,409.70M,409.70M,,409.70M,2.247B,,2.247B,489.90M,127.10M,197.10M,,800.40M,171.00M,,,,3.698B,0.0,932.40M,,3.031B,1.40M,386.20M,,4.351B,-1.427B,2.924B,1.891B,485.20M,2.376B,581.80M,,,455.60M,6.337B,10.03B,2.160B,,44.40M,,2.205B,,2.205B,,,,,194.00M,194.00M,,194.00M,,,37.80M,2.437B,,2.132B,,2.132B,,,,,300.20M,,105.10M,1.151B,3.582B,6.019B,2.50M,4.722B,1.102B,1.486B,,,-430.30M,3.911B
2017-12,545.30M,545.30M,,545.30M,1.736B,136.80M,2.019B,469.70M,126.70M,183.00M,,766.30M,87.20M,,,58.20M,3.543B,0.0,115.70M,783.50M,2.944B,1.50M,410.50M,,4.256B,-1.392B,2.864B,1.882B,492.70M,2.374B,239.60M,307.80M,248.90M,209.80M,6.244B,9.788B,1.546B,17.70M,151.80M,,1.715B,265.10M,1.980B,69.00M,,,,84.60M,84.60M,,84.60M,,,34.50M,2.425B,42.50M,2.104B,,2.104B,61.40M,,61.40M,,301.60M,,109.10M,1.027B,3.536B,5.962B,2.50M,4.531B,1.119B,1.445B,,,-490.00M,3.717B
2017-09,414.30M,414.30M,,414.30M,2.046B,,2.046B,454.00M,126.80M,207.40M,,773.40M,167.30M,,,,3.401B,0.0,874.70M,,2.842B,5.90M,381.90M,,4.105B,-1.351B,2.754B,1.882B,509.40M,2.392B,559.50M,,,710.40M,6.415B,9.816B,2.015B,,63.00M,,2.078B,,2.078B,,,282.40M,,20.80M,303.20M,,303.20M,,,,2.381B,,2.092B,,2.092B,,,,,301.70M,,90.60M,1.125B,3.519B,5.900B,2.50M,4.713B,1.100B,1.444B,,,-545.70M,3.826B
2017-06,387.10M,387.10M,,387.10M,1.939B,,1.939B,424.80M,120.10M,171.00M,,701.40M,165.40M,,,,3.193B,0.0,838.40M,,2.737B,3.40M,378.50M,,3.957B,-1.293B,2.664B,1.735B,453.80M,2.188B,528.60M,,,714.40M,6.095B,9.288B,1.905B,,59.60M,,1.964B,,1.964B,,,125.00M,,16.80M,141.80M,,141.80M,,,,2.106B,,2.078B,,2.078B,,,,,290.80M,,79.90M,1.122B,3.490B,5.597B,2.50M,4.557B,1.089B,1.430B,,,-606.40M,3.612B
2017-03,358.40M,358.40M,,358.40M,1.934B,,1.934B,387.60M,111.90M,171.80M,,656.90M,157.70M,,,,3.107B,0.0,807.30M,,2.613B,3.00M,366.70M,,3.790B,-1.237B,2.553B,1.708B,455.70M,2.164B,530.00M,,,729.50M,5.976B,9.084B,1.841B,,54.80M,,1.896B,,1.896B,,,231.70M,,23.40M,255.10M,,255.10M,,,,2.151B,,2.040B,,2.040B,,,,,292.00M,,76.30M,1.120B,3.453B,5.604B,2.50M,4.375B,1.078B,1.377B,,,-674.20M,3.403B
2016-12,443.70M,443.70M,,443.70M,1.448B,144.80M,1.689B,378.60M,102.90M,174.90M,,641.20M,85.50M,,,51.90M,2.912B,0.0,111.00M,670.60M,2.516B,3.90M,338.20M,,3.639B,-1.138B,2.502B,1.702B,463.50M,2.166B,218.90M,283.30M,424.00M,329.40M,5.923B,8.835B,1.259B,15.70M,132.50M,,1.408B,203.20M,1.611B,63.90M,,,,175.90M,175.90M,,175.90M,,,16.70M,2.092B,31.40M,2.044B,,2.044B,54.20M,33.50M,87.70M,,294.10M,,83.60M,984.20M,3.441B,5.533B,2.50M,4.215B,1.104B,1.382B,,,-722.10M,3.218B
2016-09,518.70M,518.70M,,518.70M,1.764B,,1.764B,397.10M,112.00M,191.80M,,687.20M,147.50M,,,,3.289B,0.0,807.60M,,2.534B,5.40M,331.00M,,3.678B,-1.160B,2.518B,1.730B,494.70M,2.225B,512.70M,,,462.00M,5.718B,9.007B,1.763B,,61.20M,,1.824B,,1.824B,,,337.40M,,188.00M,525.40M,,525.40M,,,95.30M,2.445B,,2.090B,,2.090B,,,,,293.70M,,80.80M,387.90M,2.772B,5.217B,2.50M,4.538B,1.093B,1.352B,,,-571.00M,3.710B
2016-06,495.00M,495.00M,,495.00M,1.807B,,1.807B,437.00M,109.10M,212.00M,,744.60M,160.40M,,,,3.207B,0.0,806.70M,,2.495B,5.10M,344.70M,,3.651B,-1.149B,2.503B,1.767B,525.30M,2.292B,508.90M,,,477.70M,5.782B,8.989B,1.791B,,93.80M,,1.884B,,1.884B,,,351.40M,,163.90M,515.30M,,515.30M,,,,2.400B,,2.120B,,2.120B,,,,,302.70M,,74.40M,410.50M,2.833B,5.232B,2.50M,4.482B,1.092B,1.301B,,,-593.80M,3.682B
2016-03,392.30M,392.30M,,392.30M,1.861B,,1.861B,439.00M,108.10M,223.60M,,756.30M,172.60M,,,,3.182B,0.0,814.40M,,2.460B,7.50M,365.60M,,3.647B,-1.148B,2.499B,1.774B,539.00M,2.313B,487.70M,,,458.50M,5.758B,8.941B,1.819B,,24.50M,,1.844B,,1.844B,,,303.20M,,163.30M,466.50M,,466.50M,,,,2.310B,,2.132B,,2.132B,,,,,313.60M,,67.90M,423.70M,2.869B,5.180B,2.50M,4.346B,1.085B,1.200B,,,-540.80M,3.693B
2015-12,577.70M,577.70M,,577.70M,1.424B,243.30M,1.665B,412.90M,102.50M,222.40M,,723.60M,110.40M,12.30M,,46.20M,3.135B,0.0,118.20M,661.70M,2.311B,7.20M,386.40M,,3.485B,-1.037B,2.448B,1.758B,543.80M,2.302B,200.10M,260.80M,213.50M,266.50M,5.690B,8.826B,1.226B,20.00M,49.40M,,1.295B,264.40M,1.559B,70.60M,,280.70M,,160.70M,441.40M,,441.40M,,,64.60M,2.357B,37.30M,2.109B,,2.109B,120.10M,36.60M,156.70M,,312.90M,,77.80M,221.20M,2.837B,5.194B,2.50M,4.210B,1.110B,1.158B,,,-610.20M,3.554B
2015-09,1.033B,1.033B,,1.033B,1.552B,,1.552B,327.20M,88.50M,125.30M,,523.10M,137.10M,,56.00M,,3.301B,0.0,720.50M,,2.056B,7.10M,389.10M,,3.173B,-987.50M,2.185B,1.184B,,1.184B,438.50M,,,578.70M,4.386B,7.687B,1.437B,,28.60M,,1.465B,,1.465B,,,66.60M,,8.00M,74.60M,,74.60M,,,,1.540B,,1.734B,,1.734B,,,,,306.70M,,70.90M,318.20M,2.359B,3.899B,2.50M,4.114B,1.109B,931.20M,,,-576.70M,3.717B
2015-06,1.108B,1.108B,,1.108B,1.573B,,1.573B,325.50M,87.70M,130.90M,,525.70M,145.00M,,49.80M,,3.401B,0.0,772.10M,,2.048B,9.10M,373.70M,,3.203B,-1.043B,2.160B,1.185B,,1.185B,437.50M,,,582.00M,4.365B,7.766B,1.528B,,35.30M,,1.564B,,1.564B,,,60.30M,,11.80M,72.10M,,72.10M,,,,1.636B,,1.732B,,1.732B,,,,,311.00M,,64.80M,336.50M,2.379B,4.015B,2.50M,3.985B,1.100B,861.60M,,,-539.50M,3.687B
2015-03,1.036B,1.036B,,1.036B,1.565B,,1.565B,321.70M,83.10M,119.30M,,506.30M,139.00M,,79.90M,,3.325B,0.0,754.80M,,1.990B,8.80M,342.60M,,3.096B,-1.046B,2.050B,1.169B,,1.169B,422.50M,,,556.20M,4.197B,7.523B,1.484B,,9.30M,,1.494B,,1.494B,,,89.00M,,18.80M,107.80M,,107.80M,,,,1.602B,,1.731B,,1.731B,,,,,315.00M,,58.50M,313.00M,2.359B,3.960B,2.50M,3.867B,1.097B,844.90M,,,-616.90M,3.504B
2014-12,797.80M,797.80M,,797.80M,1.201B,245.20M,1.444B,319.50M,89.00M,115.50M,,505.70M,89.70M,0.00,93.60M,40.50M,2.971B,0.0,107.00M,677.80M,2.067B,8.40M,310.40M,,3.171B,-1.077B,2.094B,1.206B,151.10M,1.357B,184.20M,219.10M,180.50M,222.70M,4.257B,7.228B,979.20M,15.90M,14.20M,,1.009B,221.40M,1.231B,91.90M,,601.20M,,22.50M,623.70M,,623.70M,,,2.40M,2.168B,40.10M,716.30M,,716.30M,46.80M,37.80M,84.60M,64.40M,326.60M,,74.70M,136.90M,1.369B,3.537B,2.50M,3.717B,1.112B,832.20M,,,-383.60M,3.616B
2014-09,782.80M,782.80M,,782.80M,1.466B,,1.466B,322.30M,91.20M,136.50M,,531.80M,121.40M,,49.70M,,2.952B,0.0,799.60M,,2.078B,8.80M,282.30M,,3.168B,-1.101B,2.067B,1.211B,,1.211B,460.80M,,,591.50M,4.330B,7.282B,1.504B,,13.20M,,1.517B,,1.517B,,,478.00M,,127.70M,605.70M,,605.70M,,,,2.123B,,705.80M,,705.80M,,,,,295.10M,,69.60M,358.40M,1.359B,3.482B,2.50M,3.606B,1.104B,782.80M,,,-199.90M,3.731B
2014-06,771.40M,771.40M,,771.40M,1.572B,,1.572B,324.40M,92.20M,128.20M,,528.00M,113.20M,,53.00M,,3.037B,0.0,786.10M,,2.125B,9.40M,310.70M,,3.231B,-1.142B,2.089B,1.244B,,1.244B,469.90M,,,616.60M,4.420B,7.457B,1.622B,,7.60M,,1.630B,,1.630B,,,414.90M,,126.20M,541.10M,,541.10M,,,,2.171B,,704.20M,,704.20M,,,,,307.80M,,64.90M,380.60M,1.393B,3.563B,2.50M,3.470B,1.097B,722.10M,,,-18.60M,3.829B
2014-03,808.10M,808.10M,,808.10M,1.546B,,1.546B,317.10M,93.40M,123.70M,,516.90M,98.70M,,51.50M,,3.021B,0.0,774.10M,,2.095B,10.70M,282.70M,,3.162B,-1.134B,2.028B,1.245B,,1.245B,440.20M,,,623.70M,4.336B,7.358B,1.563B,,9.80M,,1.572B,,1.572B,,,221.60M,,116.90M,338.50M,,338.50M,,,,1.911B,,1.028B,,1.028B,,,,,313.70M,,53.80M,368.30M,1.710B,3.620B,2.50M,3.308B,1.092B,702.70M,,,-16.80M,3.684B
2013-12,939.50M,939.50M,,939.50M,1.068B,183.10M,1.248B,279.80M,78.00M,116.30M,,458.10M,49.40M,,68.70M,34.30M,2.798B,0.0,87.20M,666.70M,2.010B,2.40M,272.30M,,3.039B,-1.099B,1.939B,1.197B,169.50M,1.366B,201.50M,203.60M,257.60M,149.90M,4.118B,6.917B,935.40M,16.70M,38.50M,,990.60M,186.90M,1.178B,38.40M,,84.80M,,116.80M,201.60M,,201.60M,,,,1.624B,34.30M,1.021B,,1.021B,81.30M,46.20M,127.50M,55.60M,312.90M,24.30M,71.80M,85.10M,1.661B,3.285B,2.50M,3.177B,1.122B,727.20M,,,-14.00M,3.561B
2013-09,920.40M,920.40M,,920.40M,1.348B,,1.348B,284.20M,79.80M,106.10M,,454.70M,98.30M,,85.30M,,2.906B,0.0,738.60M,,1.956B,2.40M,265.00M,,2.962B,-1.086B,1.875B,1.190B,,1.190B,402.30M,,,590.10M,4.058B,6.964B,1.378B,,43.30M,,1.421B,,1.421B,,,143.40M,,110.30M,253.70M,,253.70M,,,,1.675B,,1.019B,,1.019B,,,,,507.70M,,67.40M,328.60M,1.855B,3.530B,1.20M,3.066B,1.132B,740.50M,,,-91.00M,3.367B
2013-06,817.00M,817.00M,,817.00M,1.340B,,1.340B,263.80M,77.20M,112.50M,,439.20M,82.90M,,58.10M,,2.737B,0.0,687.60M,,2.000B,2.40M,277.40M,,2.967B,-1.171B,1.796B,1.172B,,1.172B,392.20M,,,607.80M,3.968B,6.705B,1.359B,,40.70M,,1.400B,,1.400B,,,206.70M,,110.10M,316.80M,,316.80M,,,,1.717B,,913.30M,,913.30M,,,,,502.60M,,60.90M,316.90M,1.733B,3.449B,1.20M,2.927B,1.129B,674.90M,,,-187.80M,3.195B
2013-03,695.40M,695.40M,,695.40M,1.318B,,1.318B,271.80M,80.70M,113.40M,,449.50M,77.50M,,60.70M,,2.602B,0.0,706.80M,,2.370B,2.30M,249.50M,,3.329B,-1.564B,1.765B,1.17B,,1.17B,377.50M,,,614.70M,3.927B,6.529B,1.312B,,42.00M,,1.354B,,1.354B,,,118.20M,,111.10M,229.30M,,229.30M,,,,1.583B,,971.40M,,971.40M,,,,,503.70M,,55.50M,309.00M,1.784B,3.367B,1.20M,2.753B,1.130B,589.60M,,,-189.20M,3.106B
2012-12,715.70M,715.70M,,715.70M,1.015B,134.80M,1.147B,264.00M,82.00M,117.60M,,447.60M,39.80M,,94.70M,22.00M,2.473B,0.0,76.40M,640.80M,2.392B,2.30M,243.70M,,3.355B,-1.567B,1.788B,1.181B,206.30M,1.388B,382.70M,,244.10M,125.50M,3.928B,6.401B,855.20M,9.50M,72.50M,,937.20M,169.60M,1.107B,33.10M,,129.10M,,114.30M,243.40M,,243.40M,1.40M,1.40M,9.80M,1.603B,31.80M,823.80M,,823.80M,89.40M,30.50M,119.90M,51.40M,509.70M,58.10M,63.50M,56.90M,1.652B,3.255B,1.20M,2.611B,1.161B,569.20M,,,-121.30M,3.083B
2012-09,621.50M,621.50M,,621.50M,,,1.261B,276.60M,85.10M,131.90M,,475.30M,101.60M,,33.80M,,2.494B,0.0,695.90M,,2.306B,,229.10M,2.40M,3.233B,-1.534B,1.699B,1.172B,,1.172B,380.70M,,,601.20M,3.853B,6.346B,1.276B,,55.40M,,1.332B,,1.332B,,231.00M,,,5.50M,236.50M,,236.50M,,,,1.568B,,866.30M,,866.30M,,,,,449.30M,,60.70M,357.00M,1.673B,3.241B,1.20M,2.49B,1.185B,510.80M,,,-120.60M,3.045B
2012-06,481.90M,481.90M,,481.90M,,,1.328B,273.30M,89.70M,128.20M,,472.70M,100.70M,,37.50M,,2.420B,0.0,691.40M,,2.244B,,201.40M,2.30M,3.139B,-1.467B,1.673B,1.162B,,1.162B,363.70M,,,602.00M,3.800B,6.221B,1.279B,,37.00M,,1.316B,,1.316B,,186.80M,,,10.20M,197.00M,,197.00M,,,,1.513B,,956.20M,,956.20M,,,,,451.10M,,60.80M,365.60M,1.773B,3.286B,1.20M,2.389B,1.478B,811.60M,,,-182.60M,2.874B
2012-03,396.90M,396.90M,,396.90M,,,1.369B,272.00M,94.90M,131.20M,,480.80M,93.30M,,69.60M,,2.41B,0.0,697.10M,,2.189B,,192.80M,2.40M,3.081B,-1.385B,1.696B,1.200B,,1.200B,345.60M,,,628.80M,3.871B,6.281B,1.291B,,28.60M,,1.320B,,1.320B,,184.20M,,,377.10M,561.30M,,561.30M,,,,1.881B,,848.70M,,848.70M,,,,,457.50M,,62.80M,373.10M,1.679B,3.560B,1.20M,2.268B,1.205B,721.70M,,,-94.80M,2.658B
2011-12,359.60M,359.60M,,359.60M,1.037B,149.90M,1.183B,254.40M,90.90M,124.30M,,454.30M,24.30M,,58.50M,55.40M,2.138B,0.0,71.20M,616.70M,2.111B,2.30M,206.80M,,3.008B,-1.344B,1.664B,1.186B,243.30M,1.430B,345.30M,,313.90M,67.80M,3.821B,5.959B,869.60M,11.70M,29.80M,,911.10M,136.20M,1.047B,38.60M,,,,577.80M,577.80M,,577.80M,6.50M,6.50M,2.40M,1.905B,34.10M,751.30M,,751.30M,120.20M,26.00M,146.20M,41.00M,457.00M,85.50M,65.10M,85.10M,1.600B,3.506B,1.20M,2.110B,1.134B,707.10M,,,-150.80M,2.388B
2011-09,377.00M,377.00M,,377.00M,,,1.238B,283.00M,96.20M,120.20M,,482.40M,90.40M,,80.00M,,2.268B,0.0,690.90M,,2.117B,,194.60M,2.30M,3.005B,-1.368B,1.637B,1.204B,,1.204B,354.80M,,,631.10M,3.827B,6.094B,1.346B,,52.30M,,1.399B,,1.399B,,157.90M,,,367.40M,525.30M,,525.30M,,,,1.924B,,867.20M,,867.20M,,,,,435.20M,,60.20M,402.10M,1.704B,3.629B,1.20M,1.988B,1.120B,618.40M,,,-85.00M,2.406B
2011-06,372.40M,372.40M,,372.40M,,,1.270B,289.60M,99.90M,120.80M,,495.50M,88.60M,,79.30M,,2.306B,0.0,714.00M,,2.192B,,168.00M,2.40M,3.076B,-1.395B,1.681B,1.241B,,1.241B,336.80M,,,661.40M,3.920B,6.226B,1.362B,,45.10M,,1.407B,,1.407B,,165.80M,,,363.60M,529.40M,,529.40M,,,,1.937B,,919.50M,,919.50M,,,,,450.00M,,67.60M,421.40M,1.791B,3.728B,1.20M,1.847B,1.136B,618.40M,,,65.90M,2.431B
2011-03,222.90M,222.90M,,222.90M,,,1.278B,282.20M,100.00M,122.70M,,490.70M,88.80M,,72.90M,,2.154B,0.0,685.90M,,2.146B,,158.30M,2.40M,2.993B,-1.370B,1.623B,1.232B,,1.232B,319.50M,,,678.90M,3.853B,6.007B,1.318B,,38.20M,,1.356B,,1.356B,,176.20M,,,,176.20M,,176.20M,,,,1.532B,,1.260B,,1.260B,,,,,447.40M,,47.40M,413.80M,2.121B,3.653B,1.20M,1.685B,1.121B,531.40M,,,31.10M,2.306B
2010-12,449.90M,449.90M,0.00,449.90M,859.50M,168.40M,1.024B,244.00M,88.10M,111.70M,,430.60M,27.60M,,75.80M,49.40M,2.060B,0.0,67.90M,601.40M,2.051B,,128.20M,2.30M,2.851B,-1.308B,1.543B,1.114B,168.80M,1.282B,307.90M,,305.50M,56.80M,3.495B,5.555B,766.60M,4.20M,39.70M,,810.50M,241.40M,1.052B,,122.40M,,,6.10M,128.50M,,128.50M,18.40M,18.40M,3.30M,1.392B,,1.052B,,1.052B,113.70M,23.40M,137.10M,,438.10M,78.80M,51.20M,147.00M,1.853B,3.245B,1.20M,1.560B,1.100B,349.50M,,,-53.70M,2.259B
2010-06,187.50M,187.50M,,187.50M,,,977.40M,223.50M,80.40M,86.70M,,378.80M,92.00M,,66.60M,,1.702B,0.0,623.20M,,1.872B,,112.90M,2.20M,2.610B,-1.204B,1.406B,1.081B,,1.081B,290.00M,,,490.30M,3.267B,4.969B,1.162B,,34.80M,,1.197B,,1.197B,,185.70M,,,,185.70M,,185.70M,,,,1.382B,,780.60M,,780.60M,,,,,449.50M,,42.00M,298.70M,1.529B,2.911B,1.20M,1.342B,1.045B,178.60M,,,-193.50M,2.016B
2010-03,374.10M,374.10M,,374.10M,,,885.20M,208.30M,75.80M,76.70M,,350.30M,97.40M,,52.00M,,1.759B,0.0,636.40M,,1.917B,,91.50M,2.30M,2.647B,-1.211B,1.436B,1.041B,,1.041B,264.90M,,,464.70M,3.207B,4.966B,1.043B,,10.10M,,1.053B,,1.053B,,132.40M,,,,132.40M,,132.40M,,,,1.185B,,774.00M,,774.00M,,,,,468.20M,,38.60M,296.10M,1.538B,2.723B,1.20M,1.263B,1.038B,37.10M,,,-60.60M,2.204B
