,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2006-06,70.20M,,,,17.90M,59.60M,3.40M,63.00M,63.00M,-4.80M,,,,3.00M,9.10M,-5.60M,-3.80M,26.40M,,-9.60M,19.30M,35.80M,185.10M,-75.20M,1.50M,-73.70M,,6.70M,,-67.00M,,,-90.50M,4.90M,,4.90M,,-25.40M,,9.10M,-101.90M,56.80M,16.20M,-5.80M,67.20M,4.90M,,,,,
2006-03,61.30M,,,,2.50M,57.90M,3.20M,61.10M,61.10M,-2.60M,,,,2.90M,-67.30M,-4.30M,3.70M,-0.30M,,3.00M,-11.90M,-77.10M,48.10M,-70.30M,1.10M,-69.20M,,-24.10M,,-93.30M,,,34.50M,2.40M,,2.40M,,-9.10M,,-9.10M,18.70M,89.70M,-26.50M,-6.40M,56.80M,2.40M,,,,,
2005-12,64.70M,,,,-3.40M,18.10M,44.60M,62.70M,62.70M,-6.70M,,,,,12.90M,1.30M,38.90M,28.70M,,-40.90M,-22.50M,18.40M,135.70M,-67.00M,55.70M,-11.30M,-44.20M,5.70M,-45.80M,-95.60M,,,-94.40M,2.30M,,2.30M,,-8.10M,,,-100.20M,93.20M,-60.10M,56.60M,89.70M,2.30M,,,,,
2005-09,61.40M,,,,-0.10M,58.20M,4.00M,62.20M,62.20M,-2.70M,,,,,-23.00M,2.10M,-7.80M,0.00,,-25.10M,7.70M,-46.10M,74.70M,-80.50M,2.00M,-78.50M,44.20M,7.30M,-30.00M,-57.00M,,,-17.30M,12.00M,,12.00M,,-13.10M,,,-18.40M,92.70M,-0.70M,1.20M,93.20M,12.00M,,,,,
2005-06,35.90M,,,,7.80M,71.30M,-4.20M,67.10M,67.10M,0.00,,,,,-13.80M,-35.90M,-18.50M,89.40M,,16.20M,-4.50M,32.90M,143.70M,-49.90M,-41.10M,-91.00M,-47.80M,-7.10M,33.50M,-112.40M,,,-84.30M,1.40M,,1.40M,,-10.90M,,,-93.80M,163.20M,-62.50M,-8.00M,92.70M,1.40M,,,,,
2005-03,77.60M,,,,-3.00M,38.00M,25.50M,63.50M,63.50M,-23.00M,,,,,-55.70M,2.40M,7.30M,19.50M,,-11.90M,-34.30M,-72.70M,42.40M,-49.30M,47.10M,-2.20M,-429.40M,,-3.50M,-435.10M,,,340.70M,1.90M,,1.90M,,-7.90M,,,334.70M,229.70M,-58.00M,-8.50M,163.20M,1.90M,,,,,
2004-12,67.70M,,,,-0.10M,38.60M,8.10M,46.70M,46.70M,,,,,,22.70M,7.30M,1.50M,30.30M,,23.10M,-107.10M,-22.20M,105.90M,-78.20M,1.30M,-76.90M,,,-7.00M,-83.90M,,,5.10M,4.60M,,4.60M,,-7.00M,,,2.70M,189.00M,24.70M,16.00M,229.70M,4.60M,,,,,
2004-09,44.80M,,,,-0.80M,32.90M,10.20M,43.10M,43.10M,,,,,,-1.80M,-3.90M,1.70M,-9.80M,,-4.10M,30.00M,12.10M,99.20M,-42.50M,0.40M,-42.10M,,,-10.40M,-52.50M,,,-2.20M,6.60M,,6.60M,,-7.00M,,,-2.60M,144.00M,44.10M,0.90M,189.00M,6.60M,,,,,
2004-06,54.70M,,,,20.10M,33.60M,10.10M,43.70M,43.70M,,,,,,21.30M,-1.90M,-1.90M,1.40M,,-17.10M,34.50M,36.30M,154.80M,-43.70M,2.50M,-41.20M,,,-17.60M,-58.80M,,,-24.00M,1.00M,,1.00M,,-7.00M,,,-30.00M,78.70M,66.00M,-0.70M,144.00M,1.00M,,,,,
2004-03,51.10M,,,,12.40M,33.70M,9.80M,43.50M,43.50M,,,,,,-102.60M,-14.20M,-8.30M,91.20M,,34.10M,-40.50M,-40.30M,66.70M,-40.50M,,-40.50M,,,-21.50M,-62.00M,,,-34.80M,2.20M,,2.20M,,-6.90M,,,-39.50M,113.10M,-34.80M,0.40M,78.70M,2.20M,,,,,
2003-12,50.00M,,,,1.30M,34.00M,11.20M,45.20M,45.20M,,,,,,-18.40M,2.90M,-2.30M,14.20M,,-24.30M,-22.10M,-50.00M,86.50M,-67.90M,-1.80M,-69.70M,0.00,,-5.60M,-75.30M,,,-11.30M,11.20M,0.00,11.20M,,-4.90M,,,-5.00M,106.80M,6.20M,0.10M,113.10M,11.20M,,,0.00,,
2003-09,35.90M,,,,1.40M,30.30M,9.90M,40.20M,40.20M,,,,,,-10.80M,-5.10M,11.70M,-7.20M,,8.20M,-9.20M,-12.40M,65.10M,-39.30M,5.90M,-33.40M,0.00,,-22.50M,-55.90M,,,0.30M,27.30M,0.00,27.30M,,-4.90M,,,22.70M,73.40M,31.90M,1.50M,106.80M,27.30M,,,0.00,,
2003-06,44.80M,,,,3.90M,30.50M,7.90M,38.40M,38.40M,,,,,,1.40M,1.10M,-6.30M,-3.20M,,8.80M,37.20M,39.00M,126.10M,-39.50M,0.90M,-38.60M,-12.80M,,-11.30M,-62.70M,,,-10.60M,0.60M,-2.30M,-1.70M,,-4.80M,,,-17.10M,25.90M,46.30M,1.20M,73.40M,0.60M,,,-2.30M,,
2003-03,44.20M,,,,2.60M,29.70M,7.80M,37.50M,37.50M,,,,,,-62.60M,-8.00M,4.20M,9.90M,,7.30M,-5.90M,-55.10M,29.20M,-25.30M,0.40M,-24.90M,,,-9.40M,-34.30M,,,0.30M,0.20M,-0.20M,0.00,,-4.80M,,,-4.50M,36.60M,-9.60M,-1.10M,25.90M,0.20M,,,-0.20M,,
2002-12,40.80M,,,,13.20M,27.30M,8.10M,35.40M,35.40M,,,,,,8.90M,-4.40M,9.90M,-58.40M,,-9.20M,27.70M,-25.50M,94.30M,-84.70M,4.00M,-80.70M,,,17.30M,-63.40M,,,-19.00M,0.20M,,-17.90M,,-4.10M,,,-41.00M,46.30M,-10.10M,0.40M,36.60M,0.20M,,,,,
2002-09,31.90M,,,,4.00M,26.60M,7.50M,34.10M,34.10M,,,,,,1.80M,-16.60M,-14.00M,8.20M,,4.30M,-7.90M,-24.20M,45.80M,-26.10M,2.80M,-23.30M,,,-1.20M,-24.50M,,,-4.40M,2.00M,,2.00M,,-3.90M,,,-6.30M,30.20M,15.00M,1.10M,46.30M,2.00M,,,,,
2002-06,45.70M,,,,-2.70M,27.20M,7.20M,34.40M,34.40M,,,,,,-29.70M,-7.80M,1.20M,19.10M,,4.90M,23.90M,11.60M,89.00M,-29.20M,1.80M,-27.40M,,,-8.30M,-35.70M,,,-43.40M,2.60M,,2.60M,,-4.00M,,,-44.80M,21.70M,8.50M,0.00,30.20M,2.60M,,,,,
2002-03,-237.50M,,,,271.20M,27.00M,6.50M,33.50M,33.50M,,,,,,-48.40M,-0.50M,-0.50M,16.40M,,14.10M,-16.00M,-34.90M,32.30M,-26.10M,7.00M,-19.10M,,,12.70M,-6.40M,,,-39.00M,5.00M,,5.00M,,-4.00M,,,-38.00M,32.90M,-12.10M,0.90M,21.70M,5.00M,,,,,
2001-12,1.80M,,,,18.90M,-78.40M,-31.40M,-5.80M,-5.80M,,,,,,-6.90M,2.00M,3.60M,15.60M,,2.30M,,16.60M,34.50M,-47.80M,19.60M,-28.20M,,,-13.90M,-45.10M,,,7.60M,-0.90M,,-1.90M,,-4.20M,,0.70M,2.20M,38.60M,-8.40M,0.20M,30.00M,-0.90M,,,,,
2001-09,18.40M,,,,-4.20M,25.60M,10.50M,36.10M,36.10M,,,,,,2.60M,-2.50M,-3.60M,15.40M,2.30M,9.90M,-13.50M,10.60M,60.90M,-42.60M,-12.40M,-55.00M,,,13.90M,-41.10M,,,-2.70M,1.50M,,1.50M,,-3.90M,,-0.70M,-5.80M,23.60M,14.00M,1.00M,38.60M,1.50M,,,,,
2001-06,24.70M,,,,-6.70M,25.80M,10.30M,36.10M,36.10M,,,,,,-7.20M,4.40M,3.80M,27.40M,-2.30M,-4.40M,20.90M,42.60M,96.70M,-33.40M,13.80M,-19.60M,,,-4.00M,-23.60M,,,-58.90M,0.10M,,0.10M,,-3.90M,,,-62.70M,15.50M,10.40M,-2.30M,23.60M,0.10M,,,,,
2001-03,21.10M,,,,-4.00M,27.00M,10.60M,37.60M,37.60M,,,,,,-37.50M,6.10M,-3.80M,-35.40M,,25.20M,-7.40M,-52.80M,1.90M,-17.20M,,-17.20M,,,4.00M,-13.20M,,,7.00M,2.30M,,2.30M,,-4.00M,,,5.30M,21.40M,-6.00M,0.10M,15.50M,2.30M,,,,,
2000-12,7.70M,,,,5.10M,,,36.30M,36.30M,,,,,,47.30M,12.30M,,8.20M,20.40M,13.90M,3.00M,105.10M,145.20M,-55.50M,25.70M,-29.80M,,,-4.60M,-34.40M,,,-99.50M,0.60M,0.10M,0.70M,,-4.00M,,,-102.80M,28.10M,8.00M,-14.40M,21.00M,0.60M,,,0.10M,,
2000-09,5.20M,,,,28.30M,,,35.90M,35.90M,,,,,,15.20M,-6.00M,,-20.30M,-0.80M,-14.30M,,-26.20M,43.20M,-32.90M,0.00,-32.90M,,,2.80M,-30.10M,,,-0.80M,0.20M,-3.50M,-3.30M,,-4.00M,,,-8.10M,21.30M,5.00M,1.80M,28.10M,0.20M,,,-3.50M,,
2000-06,40.10M,,,,-4.70M,,,36.60M,36.60M,,,,,,19.50M,-4.50M,,1.60M,-4.40M,-0.20M,7.30M,19.30M,91.30M,-50.30M,0.00,-50.30M,,,-0.80M,-51.10M,,,-4.50M,0.10M,-12.50M,-12.40M,,-4.00M,,,-20.90M,13.40M,19.30M,-11.40M,21.30M,0.10M,,,-12.50M,,
2000-03,41.00M,,,,-2.70M,,,37.20M,37.20M,,,,,,-63.00M,-16.80M,,17.50M,-3.20M,20.60M,-7.30M,-52.20M,23.30M,-28.30M,122.30M,94.00M,,,-40.40M,53.60M,,,-75.20M,0.10M,-6.10M,-6.00M,,-4.00M,,,-85.20M,21.70M,-8.30M,,13.40M,0.10M,,,-6.10M,,
1999-12,36.50M,,,,-0.10M,,,36.40M,36.40M,-6.70M,,,,7.80M,9.40M,9.00M,,16.00M,1.50M,-5.80M,8.10M,38.20M,112.10M,-363.10M,171.20M,-191.90M,,,-13.70M,-200.10M,,,88.40M,0.10M,,0.10M,,-4.00M,,,84.50M,25.20M,-3.50M,0.00,21.70M,0.10M,,,,,
1999-09,27.40M,,,,-11.70M,,,30.30M,30.30M,1.10M,,,,,11.90M,-4.60M,,-9.30M,4.40M,3.90M,-8.10M,-1.80M,45.30M,-577.90M,0.00,-577.90M,543.00M,,9.70M,-25.20M,,,-28.70M,0.50M,,0.50M,,-4.00M,,,-32.20M,37.20M,-12.10M,0.10M,25.20M,0.50M,,,,,
1999-06,36.30M,,,,0.40M,,,30.50M,30.50M,0.80M,,,,15.80M,-4.50M,-9.20M,,18.50M,-4.00M,2.80M,,3.60M,87.40M,512.50M,11.50M,524.00M,-543.00M,,0.80M,-18.20M,,,-75.30M,0.00,,0.00,,-4.00M,,,-79.30M,0.00,-10.10M,0.00,37.20M,0.00,,,,,
1999-03,32.10M,,,,-2.70M,,,26.20M,26.20M,0.80M,,,,-15.80M,24.30M,-14.20M,,32.70M,-1.70M,18.00M,,59.10M,99.70M,-570.40M,,-570.40M,,,3.20M,-567.20M,,,477.10M,0.10M,,0.10M,,-3.50M,,,473.70M,44.00M,6.20M,-2.90M,0.00,0.10M,,,,,
1998-12,31.80M,,,,-2.20M,,,21.40M,21.40M,14.80M,,,,6.80M,2.80M,13.10M,,12.10M,-0.60M,-1.50M,,25.90M,98.50M,-108.80M,2.40M,-106.40M,,,11.90M,-100.20M,,,35.20M,0.30M,0.00,0.30M,,-3.50M,,,32.00M,0.00,30.30M,2.00M,44.00M,0.30M,,,0.00,,
1998-09,17.30M,,,,-3.50M,,,23.20M,23.20M,1.00M,,,,8.90M,-34.60M,-6.00M,,4.80M,-1.60M,-2.60M,,-40.00M,6.90M,-23.10M,49.40M,26.30M,,,-6.40M,19.90M,,,-23.70M,0.00,-2.10M,-2.10M,,-3.50M,,,-29.30M,0.00,-2.50M,0.30M,0.00,0.00,,,-2.10M,,
1998-06,19.60M,,,,-1.50M,,,23.50M,23.50M,0.70M,,,,0.50M,20.60M,-15.50M,,-13.30M,-14.10M,-3.50M,,-25.80M,17.00M,-26.20M,,-26.20M,,,11.90M,-14.30M,,,16.70M,0.20M,-9.70M,-9.50M,,-3.60M,,,3.60M,0.00,6.30M,0.10M,0.00,0.20M,,,-9.70M,,
