,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,1.763B,,1.763B,7.80B,7.80B,12.31B,1.926B,,24.55B,0.00,2.115B,3.145B,5.26B,-2.773B,2.487B,8.316B,3.913B,12.23B,,682.00M,15.40B,39.95B,,19.68B,19.68B,2.002B,21.68B,,,1.001B,1.001B,,,213.00M,22.89B,8.012B,8.012B,2.975B,2.975B,0.00,12.00M,,11.00B,33.89B,,2.73B,4.645B,,1.224B,,,-92.00M,6.059B,,AOR,Restated
2018-03,2.175B,,2.175B,7.671B,7.671B,11.96B,1.705B,,23.51B,,,,,,2.521B,10.10B,4.201B,14.30B,,698.00M,17.52B,41.03B,,18.74B,18.74B,2.135B,20.88B,,,551.00M,551.00M,,,,21.43B,9.027B,9.027B,3.027B,3.027B,1.00M,12.00M,,12.07B,33.49B,,2.71B,5.958B,,1.126B,,,-5.00M,7.537B,,AOR,Restated
2017-12,1.249B,,1.249B,7.664B,7.664B,12.09B,1.972B,,25.19B,,,,,,2.547B,10.04B,4.321B,14.37B,,804.00M,17.72B,42.90B,,19.19B,19.19B,1.89B,21.08B,,,702.00M,702.00M,,,1.339B,23.12B,9.057B,9.057B,3.091B,3.091B,20.00M,13.00M,,12.16B,35.29B,,2.694B,5.848B,,848.00M,,,-95.00M,7.599B,,AOR,Restated
2017-09,1.181B,,1.181B,8.382B,8.382B,12.12B,2.041B,,23.72B,,,,,,2.651B,10.42B,4.507B,14.93B,,638.00M,18.22B,41.94B,,19.20B,19.20B,2.27B,21.47B,,,935.00M,935.00M,,,,22.41B,9.068B,9.068B,3.758B,3.758B,17.00M,12.00M,,12.84B,35.24B,,2.674B,4.943B,,853.00M,,,-86.00M,6.678B,,AOR,Restated
2017-06,6.879B,,6.879B,8.048B,8.048B,11.30B,2.117B,,28.34B,0.00,1.637B,2.99B,4.627B,-2.748B,1.879B,7.221B,1.986B,9.207B,,681.00M,11.77B,40.11B,,17.91B,17.91B,1.988B,19.89B,,,1.327B,1.327B,,,,21.22B,9.068B,9.068B,2.877B,2.877B,20.00M,118.00M,,12.06B,33.28B,,2.697B,4.967B,,731.00M,,,-125.00M,6.808B,,AOR,Restated
2017-03,1.368B,,1.368B,7.505B,7.505B,11.64B,1.769B,,22.28B,,,,,,1.849B,7.209B,2.078B,9.287B,,755.00M,11.89B,34.17B,,17.54B,17.54B,1.654B,19.19B,,,607.00M,607.00M,,,,19.80B,4.854B,4.854B,2.742B,2.742B,19.00M,117.00M,,7.713B,27.51B,,2.684B,4.842B,,744.00M,,,-136.00M,6.646B,,AOR,Restated
2016-12,1.881B,,1.881B,7.533B,7.533B,11.92B,1.824B,,23.15B,,,,,,1.856B,7.212B,2.064B,9.276B,,736.00M,11.87B,35.02B,,18.86B,18.86B,1.554B,20.41B,,,603.00M,603.00M,,,,21.01B,4.859B,4.859B,2.692B,2.692B,18.00M,115.00M,,7.666B,28.68B,,2.672B,4.604B,,783.00M,,,-170.00M,6.323B,,AOR,Restated
2016-09,2.001B,,2.001B,7.708B,7.708B,10.92B,1.657B,,22.28B,,,,,,1.823B,7.261B,2.166B,9.427B,,873.00M,12.12B,34.41B,,17.60B,17.60B,1.788B,19.38B,,,616.00M,616.00M,,,,20.00B,4.916B,4.916B,2.842B,2.842B,19.00M,116.00M,,7.874B,27.88B,,2.958B,6.582B,,2.912B,,,-116.00M,6.512B,,AOR,Restated
2016-06,2.356B,,2.356B,7.405B,7.405B,10.62B,1.58B,,21.96B,0.00,1.735B,2.741B,4.476B,-2.68B,1.796B,7.167B,2.259B,9.426B,,944.00M,12.17B,34.12B,,17.31B,17.31B,1.808B,19.11B,,,587.00M,587.00M,,,,19.70B,4.952B,4.952B,2.781B,2.781B,17.00M,117.00M,,7.85B,27.55B,,3.01B,6.419B,,2.759B,,,-116.00M,6.554B,,AOR,Restated
2016-03,2.598B,,2.598B,7.292B,7.292B,10.91B,1.491B,,22.29B,,,,,,1.683B,6.888B,2.262B,9.15B,,931.00M,11.76B,34.06B,,17.34B,17.34B,1.694B,19.03B,,,351.00M,351.00M,,,,19.38B,5.195B,5.195B,2.628B,2.628B,17.00M,117.00M,,7.94B,27.32B,,2.995B,6.231B,,2.429B,,,-84.00M,6.713B,,AOR,Restated
2015-12,2.324B,,2.324B,6.98B,6.98B,11.01B,1.518B,,21.83B,,,,,,1.651B,6.799B,2.314B,9.113B,,914.00M,11.68B,33.51B,,16.92B,16.92B,1.606B,18.52B,,,354.00M,354.00M,,,,18.88B,5.171B,5.171B,2.609B,2.609B,17.00M,120.00M,,7.90B,26.78B,,2.973B,5.972B,,2.137B,,,-97.00M,6.711B,,AOR,Restated
2015-09,2.974B,,2.974B,6.996B,6.996B,9.758B,1.49B,,21.22B,,,,,,1.546B,6.159B,1.405B,7.564B,,894.00M,10.00B,31.22B,,14.87B,14.87B,2.595B,17.46B,,,319.00M,319.00M,,,,17.78B,5.231B,5.231B,1.563B,1.563B,22.00M,119.00M,,6.913B,24.70B,,2.957B,5.774B,,2.158B,,,-68.00M,6.505B,,AOR,Restated
2015-06,4.616B,,4.616B,6.523B,6.523B,9.211B,1.402B,,21.75B,0.00,1.465B,2.569B,4.034B,-2.528B,1.506B,5.07B,948.00M,6.018B,,866.00M,8.39B,30.14B,,14.37B,14.37B,2.594B,16.96B,,,281.00M,281.00M,,,,17.24B,5.211B,5.211B,1.432B,1.432B,0.00,0.00,,6.643B,23.89B,,3.003B,5.521B,,2.245B,,,-23.00M,6.256B,,AOR,Restated
2015-03,3.183B,,3.183B,6.095B,6.095B,9.163B,1.19B,,19.63B,,,,,,1.407B,5.055B,978.00M,6.033B,,817.00M,8.257B,27.89B,,13.85B,13.85B,2.261B,16.11B,,,283.00M,283.00M,,,,16.40B,3.72B,3.72B,1.404B,1.404B,,,,5.124B,21.52B,,2.992B,5.353B,,1.923B,,,-53.00M,6.369B,,AOR,Restated
2014-12,2.881B,,2.881B,5.653B,5.653B,9.408B,1.213B,,19.16B,,,,,,1.415B,4.929B,947.00M,5.876B,,802.00M,8.093B,27.25B,,13.60B,13.60B,2.158B,15.76B,,,270.00M,270.00M,,,,16.03B,3.706B,3.706B,1.412B,1.412B,,,,5.118B,21.15B,,2.973B,5.10B,,1.97B,,,-3.00M,6.10B,,AOR,Restated
2014-09,2.469B,,2.469B,5.662B,5.662B,8.069B,1.338B,,17.54B,,,,,,1.434B,4.935B,988.00M,5.923B,,816.00M,8.173B,25.71B,,12.00B,12.00B,2.058B,14.05B,,,843.00M,843.00M,,,,14.90B,3.164B,3.164B,1.395B,1.395B,,,,4.559B,19.46B,,2.948B,4.925B,,1.663B,,,46.00M,6.256B,,AOR,Restated
2014-06,2.865B,,2.865B,5.38B,5.38B,8.266B,1.428B,,17.94B,0.00,1.419B,2.451B,3.87B,-2.411B,1.459B,4.878B,992.00M,5.87B,,765.00M,8.094B,26.03B,,12.15B,12.15B,2.165B,14.31B,,,801.00M,801.00M,,,,15.12B,3.171B,3.171B,1.346B,1.346B,,,,4.517B,19.63B,,2.98B,4.774B,,1.423B,,,70.00M,6.401B,,AOR,Restated
2014-03,3.041B,,3.041B,4.812B,4.812B,8.03B,1.053B,,16.94B,,,,,,1.404B,4.682B,911.00M,5.593B,,768.00M,7.765B,24.70B,,10.92B,10.92B,1.987B,12.91B,,,241.00M,241.00M,,,,13.15B,3.679B,3.679B,1.343B,1.343B,,,,5.022B,18.17B,,2.959B,4.657B,,1.154B,,,70.00M,6.532B,,AOR,Restated
2013-12,2.741B,,2.741B,4.876B,4.876B,8.478B,1.153B,,17.25B,,,,,,1.407B,4.635B,921.00M,5.556B,,798.00M,7.761B,25.01B,,11.22B,11.22B,1.886B,13.11B,,,255.00M,255.00M,,,,13.36B,3.679B,3.679B,1.379B,1.379B,,,,5.058B,18.42B,,2.961B,4.446B,,917.00M,,,99.00M,6.589B,,AOR,Restated
2013-09,2.753B,,2.753B,4.898B,4.898B,7.275B,1.111B,,16.04B,,,,,,1.445B,4.619B,951.00M,5.57B,,764.00M,7.779B,23.82B,,10.44B,10.44B,1.875B,12.32B,,,190.00M,190.00M,,,,12.51B,3.693B,3.693B,1.319B,1.319B,,,,5.012B,17.52B,,2.941B,4.273B,,1.009B,,,92.00M,6.297B,,AOR,Restated
2013-06,1.901B,,1.901B,6.304B,6.304B,8.373B,1.192B,,17.77B,0.00,1.398B,2.271B,3.669B,-2.18B,1.489B,4.601B,973.00M,5.574B,,986.00M,8.049B,25.82B,,12.30B,12.30B,2.127B,14.42B,,,168.00M,168.00M,,,,14.59B,3.686B,3.686B,1.568B,1.568B,,,,5.254B,19.84B,,2.953B,4.038B,,1.084B,,,68.00M,5.975B,,AOR,Restated
2013-03,2.305B,,2.305B,6.416B,6.416B,8.328B,878.00M,,17.93B,,,,,,1.47B,5.407B,1.006B,6.413B,,913.00M,8.796B,26.72B,,12.05B,12.05B,1.979B,14.03B,,,446.00M,446.00M,,,,14.47B,3.714B,3.714B,1.705B,1.705B,,,,5.419B,19.89B,,2.936B,4.742B,,904.00M,,,56.00M,6.83B,,AOR,Restated
2012-12,2.255B,,2.255B,6.158B,6.158B,8.452B,996.00M,,17.86B,,,,,,1.475B,4.018B,410.00M,4.428B,,878.00M,6.781B,24.64B,,11.80B,11.80B,1.932B,13.73B,,,474.00M,474.00M,,,,14.20B,2.423B,2.423B,1.475B,1.475B,,,,3.898B,18.10B,,2.929B,4.491B,,952.00M,,,74.00M,6.542B,,AOR,Restated
2012-09,2.44B,,2.44B,6.449B,6.449B,8.105B,1.013B,,18.01B,,,,,,1.511B,4.012B,429.00M,4.441B,,861.00M,6.813B,24.82B,,12.22B,12.22B,1.983B,14.20B,,,471.00M,471.00M,,,,14.67B,2.408B,2.408B,1.462B,1.462B,,,,3.87B,18.54B,,2.927B,4.282B,,989.00M,,,61.00M,6.281B,,AOR,Restated
2012-06,2.274B,,2.274B,6.355B,6.355B,7.864B,1.017B,,17.51B,0.00,1.126B,2.411B,3.537B,-1.986B,1.551B,3.978B,414.00M,4.392B,,807.00M,6.75B,24.26B,,11.73B,11.73B,1.972B,13.70B,,,476.00M,476.00M,,,,14.17B,2.418B,2.418B,1.424B,1.424B,,,,3.842B,18.02B,,2.93B,4.093B,,816.00M,,,37.00M,6.244B,,AOR,Restated
2012-03,2.410B,,2.410B,6.495B,6.495B,8.220B,944.30M,,18.07B,,,,3.450B,-1.932B,1.517B,3.966B,404.50M,4.371B,,683.70M,6.572B,24.64B,,12.57B,12.57B,1.928B,14.50B,,,345.50M,345.50M,,,,14.85B,2.208B,2.208B,1.348B,1.348B,,,,3.556B,18.40B,,0.00,3.939B,2.922B,691.90M,,,71.70M,6.240B,,AOR,Restated
2011-12,1.798B,,1.798B,5.995B,5.995B,8.889B,1.097B,,17.78B,,,,3.383B,-1.869B,1.514B,3.866B,377.80M,4.244B,,725.70M,6.484B,24.26B,,12.46B,12.46B,1.825B,14.28B,,,341.80M,341.80M,,,,14.62B,2.211B,2.211B,1.500B,1.500B,,,,3.712B,18.34B,,0.00,3.680B,2.900B,707.60M,,,55.10M,5.928B,,AOR,Restated
2011-09,2.011B,,2.011B,6.233B,6.233B,7.497B,982.80M,,16.72B,,,,3.305B,-1.811B,1.494B,3.854B,395.40M,4.249B,,716.50M,6.460B,23.18B,,11.75B,11.75B,1.715B,13.46B,,,333.10M,333.10M,,,,13.80B,2.195B,2.195B,1.478B,1.478B,,,,3.672B,17.47B,,0.00,3.493B,2.886B,725.20M,,,60.00M,5.714B,,AOR,Restated
2011-06,1.929B,,1.929B,6.156B,6.156B,7.334B,897.00M,,16.32B,0.00,1.105B,2.169B,3.274B,-1.762B,1.512B,3.846B,413.00M,4.259B,,759.00M,6.53B,22.85B,,11.33B,11.33B,1.711B,13.04B,,,327.00M,327.00M,,,,13.37B,2.175B,2.175B,1.452B,1.452B,,,,3.627B,17.00B,,2.898B,3.331B,,457.00M,,,77.00M,5.849B,,AOR,Restated
2011-03,1.962B,,1.962B,6.282B,6.282B,7.718B,723.40M,,16.69B,,,,3.288B,-1.818B,1.470B,3.852B,414.20M,4.266B,0.00,775.90M,6.511B,23.20B,,11.96B,11.96B,1.686B,13.65B,,,113.70M,113.70M,,,,13.76B,2.362B,2.362B,1.417B,1.417B,,,,3.779B,17.54B,,0.00,3.190B,2.887B,487.20M,,,67.10M,5.657B,,AOR,Restated
2010-12,1.348B,,1.348B,5.825B,5.825B,8.314B,789.50M,,16.28B,,,,3.213B,-1.728B,1.485B,3.824B,458.50M,4.283B,0.00,805.30M,6.573B,22.85B,,11.78B,11.78B,1.562B,13.34B,,,289.90M,289.90M,,,,13.63B,2.380B,2.380B,1.417B,1.417B,,,,3.797B,17.43B,,0.00,3.024B,2.877B,518.40M,,,39.40M,5.421B,,AOR,Restated
2010-09,2.712B,,2.712B,5.454B,5.454B,7.088B,664.40M,,15.92B,,,,3.152B,-1.676B,1.475B,2.612B,285.10M,2.897B,0.00,682.10M,5.054B,20.97B,,10.53B,10.53B,1.686B,12.22B,,,233.60M,233.60M,,,,12.45B,1.906B,1.906B,1.376B,1.376B,,,,3.282B,15.73B,,0.00,2.876B,2.866B,539.80M,,,37.20M,5.239B,,AOR,Restated
2010-06,2.755B,,2.755B,5.171B,5.171B,6.356B,637.10M,,14.92B,0.00,1.122B,1.972B,3.094B,-1.625B,1.469B,,,2.253B,691.50M,657.80M,5.071B,19.99B,,9.495B,9.495B,1.810B,11.30B,,,233.20M,233.20M,,,,11.54B,1.896B,1.896B,1.280B,1.280B,,,,3.176B,14.71B,,0.00,2.647B,2.890B,331.00M,,,70.00M,5.276B,,AOR,Restated
2010-03,2.639B,,2.639B,5.550B,5.550B,7.215B,534.50M,138.90M,16.08B,,,,3.118B,-1.712B,1.406B,2.209B,52.90M,2.262B,805.20M,719.80M,5.193B,21.27B,,10.77B,10.77B,1.713B,12.48B,,,232.60M,232.60M,,,35.30M,12.75B,1.876B,1.876B,1.286B,1.286B,,,,3.162B,15.91B,,0.00,2.464B,2.897B,172.40M,,,172.20M,5.361B,,AOR,Restated
2009-12,1.747B,,1.747B,4.928B,4.928B,7.961B,674.10M,148.90M,15.46B,,,,3.106B,-1.683B,1.423B,2.239B,55.30M,2.295B,897.40M,747.90M,5.363B,20.82B,,10.54B,10.54B,1.610B,12.15B,,,12.70M,12.70M,,,37.30M,12.20B,2.099B,2.099B,1.293B,1.293B,,,,3.392B,15.60B,,0.00,2.306B,2.893B,173.80M,,,200.40M,5.226B,,AOR,Restated
2009-09,1.585B,,1.585B,5.922B,5.922B,6.862B,557.80M,162.60M,15.09B,,,,3.046B,-1.607B,1.439B,2.202B,66.90M,2.269B,902.40M,735.40M,5.346B,20.43B,,10.05B,10.05B,1.702B,11.75B,,,362.30M,362.30M,,,35.60M,12.15B,2.104B,2.104B,1.243B,1.243B,,,,3.347B,15.49B,,0.00,2.124B,2.929B,188.90M,,,76.90M,4.941B,,AOR,Restated
2009-06,1.222B,,1.222B,5.215B,5.215B,6.833B,523.00M,,20.98B,0.00,1.111B,1.890B,3.001B,-1.537B,1.464B,,,2.267B,0.00,405.70M,4.137B,25.12B,,9.042B,9.042B,1.496B,10.54B,,,366.20M,366.20M,,,1.371B,12.28B,,,847.30M,847.30M,,,3.272B,4.119B,16.39B,,0.00,5.954B,3.032B,343.00M,,,82.20M,8.725B,,AOR,Restated
2009-03,1.366B,402.70M,1.769B,5.905B,5.905B,8.070B,561.20M,,16.30B,,,,3.685B,-1.961B,1.724B,5.089B,1.053B,6.142B,934.10M,430.30M,9.230B,25.53B,,10.01B,10.01B,,10.01B,,,368.00M,368.00M,1.550B,1.550B,2.40M,11.93B,3.303B,3.303B,1.871B,1.871B,,,,5.174B,17.10B,,0.00,5.744B,3.007B,348.50M,,,32.60M,8.434B,,AOR,Restated
2008-12,772.60M,388.80M,1.161B,5.215B,5.215B,8.536B,624.10M,,15.54B,,,3.611B,3.611B,-1.881B,1.730B,6.183B,,6.183B,,1.566B,9.478B,25.01B,,9.666B,9.666B,1.503B,11.17B,,,467.40M,467.40M,,,2.40M,11.64B,3.389B,3.389B,1.859B,1.859B,,,,5.248B,16.89B,,0.00,5.481B,3.005B,399.90M,,,41.30M,8.128B,,,Restated
2008-09,672.20M,384.80M,1.057B,5.862B,5.862B,7.692B,614.90M,,15.23B,,,,3.619B,-1.870B,1.750B,6.265B,,6.265B,,1.404B,9.419B,24.65B,,9.355B,9.355B,1.903B,11.26B,,,166.50M,166.50M,,,2.40M,11.43B,3.597B,3.597B,1.704B,1.704B,,,,5.301B,16.73B,,0.00,5.215B,2.963B,396.10M,,,136.40M,7.918B,,,Restated
2008-06,1.291B,383.70M,1.675B,4.988B,4.988B,6.758B,591.40M,264.20M,14.28B,0.00,1.090B,2.593B,3.682B,-1.968B,1.714B,,,6.157B,916.80M,384.10M,9.172B,23.45B,,8.304B,8.304B,1.875B,10.18B,,,159.00M,159.00M,,,50.00M,10.39B,3.687B,3.687B,1.626B,1.626B,,,,5.313B,15.70B,,0.00,5.016B,3.001B,480.70M,,,210.80M,7.748B,,,Restated
2008-03,1.529B,381.20M,1.910B,4.974B,4.974B,7.257B,578.00M,187.90M,14.91B,,,,3.785B,-2.106B,1.680B,5.681B,,5.681B,,1.336B,8.696B,23.60B,,8.988B,8.988B,1.778B,10.77B,,,355.30M,355.30M,,,20.60M,11.14B,3.450B,3.450B,1.618B,1.618B,,,,5.068B,16.21B,,0.00,4.748B,2.948B,506.30M,,,202.80M,7.393B,,,Restated
2007-12,1.184B,,1.184B,4.855B,4.855B,7.637B,667.70M,378.30M,14.72B,,,,3.726B,-2.045B,1.681B,5.813B,,5.813B,,1.251B,8.745B,23.47B,,8.982B,8.982B,1.751B,10.73B,,,673.60M,673.60M,,,3.60M,11.41B,3.396B,3.396B,1.552B,1.552B,,,,4.948B,16.36B,,0.00,4.436B,2.936B,418.90M,,,154.50M,7.108B,,,
2007-09,1.290B,,1.290B,4.905B,4.905B,7.151B,619.00M,369.10M,14.33B,,,,3.641B,-1.958B,1.683B,5.823B,,5.823B,,1.159B,8.665B,23.00B,,9.099B,9.099B,1.623B,10.72B,,,386.80M,386.80M,,,5.20M,11.11B,3.348B,3.348B,1.468B,1.468B,,,,4.816B,15.93B,,0.00,11.66B,3.958B,8.694B,,,146.10M,7.068B,,,
2007-06,1.309B,132.00M,1.441B,4.714B,4.714B,7.383B,651.30M,354.80M,14.54B,0.00,1.694B,1.843B,3.537B,-1.890B,1.647B,5.861B,,5.861B,,1.101B,8.609B,23.15B,,9.162B,9.162B,2.247B,11.41B,,,16.00M,16.00M,,,34.20M,11.46B,3.457B,3.457B,859.90M,859.90M,,,,4.317B,15.78B,,0.00,11.54B,3.931B,8.215B,,,121.00M,7.377B,,,
2007-03,866.50M,300.00M,1.166B,4.618B,4.618B,7.486B,535.70M,3.455B,17.26B,,,,3.366B,-1.832B,1.534B,4.407B,,4.407B,,1.089B,7.030B,24.29B,,9.406B,9.406B,2.724B,12.13B,,,296.90M,296.90M,,,518.30M,12.95B,2.899B,2.899B,578.20M,578.20M,,,,3.477B,16.42B,,0.00,10.68B,3.636B,6.575B,,,127.20M,7.869B,,,
2006-12,1.003B,467.10M,1.470B,4.394B,4.394B,7.309B,579.80M,3.424B,17.18B,,,,3.306B,-1.788B,1.518B,4.391B,,4.391B,,1.049B,6.959B,24.14B,,8.985B,8.985B,2.140B,11.12B,,,48.90M,48.90M,,,529.40M,11.70B,2.936B,2.936B,591.00M,591.00M,,,,3.527B,15.23B,,0.00,10.69B,3.355B,5.230B,,,90.20M,8.908B,,,
2006-09,1.610B,456.50M,2.066B,3.987B,3.987B,7.585B,710.50M,372.70M,14.72B,,,,5.044B,-2.470B,2.574B,5.054B,,5.054B,,1.081B,8.71B,23.43B,,8.878B,8.878B,2.374B,11.25B,,,315.30M,315.30M,,,10.90M,11.58B,2.627B,2.627B,804.40M,804.40M,,,,3.432B,15.01B,,0.00,9.994B,3.295B,4.929B,,,60.60M,8.421B,,,
2006-06,1.187B,498.40M,1.686B,3.809B,3.809B,7.493B,558.80M,3.030B,16.58B,,,,3.283B,-1.778B,1.505B,4.283B,,4.283B,,1.069B,6.857B,23.43B,,8.908B,8.908B,1.941B,10.85B,,,199.00M,199.00M,,,534.20M,11.58B,2.589B,2.589B,771.90M,771.90M,,,,3.360B,14.94B,,0.00,9.760B,3.196B,4.499B,,,33.90M,8.491B,,,
2006-03,1.713B,499.20M,2.213B,3.938B,3.938B,7.651B,863.10M,589.70M,15.25B,,,,4.807B,-2.318B,2.489B,4.822B,,4.822B,,1.080B,8.392B,23.65B,,8.826B,8.826B,2.210B,11.04B,,,280.70M,280.70M,,,155.20M,11.47B,2.548B,2.548B,1.039B,1.039B,,,,3.587B,15.06B,,3.114B,9.477B,,3.998B,,,-6.10M,8.587B,,,
2005-12,2.224B,419.00M,2.643B,3.544B,3.544B,7.277B,862.10M,287.10M,14.61B,,,,4.781B,-2.291B,2.49B,,5.083B,5.083B,,1.045B,8.618B,23.23B,,8.117B,8.117B,2.324B,10.44B,,,441.30M,441.30M,,,8.80M,10.89B,2.568B,2.568B,1.020B,1.020B,,,,3.588B,14.48B,,2.912B,9.354B,,3.492B,,,-23.90M,8.751B,,,
