,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2016-09,32.04B,32.04B,30.45B,1.59B,920.00M,122.00M,,-13.00M,44.00M,-44.00M,,1.042B,548.00M,44.00M,-44.00M,-10.00M,-44.00M,494.00M,184.00M,310.00M,,,-1.00M,,309.00M,317.15M,711.00M,173.00M,538.00M,,0.97,,,0.9955,0.97,,0.96,,,0.9853,0.96,,320.00M,322.00M,0.4489,,AOR,Restated
2016-06,31.38B,31.38B,29.72B,1.666B,970.00M,132.00M,,56.00M,44.00M,-44.00M,,1.102B,564.00M,44.00M,-44.00M,56.00M,-44.00M,576.00M,241.00M,335.00M,,,-3.00M,,332.00M,298.40M,796.00M,176.00M,620.00M,,1.03,0.00,,0.9263,1.03,,1.02,0.00,,0.9172,1.02,,324.00M,327.00M,0.4489,,AOR,Restated
2016-03,30.66B,30.66B,28.97B,1.689B,914.00M,108.00M,,-11.00M,44.00M,-44.00M,,1.022B,667.00M,44.00M,-44.00M,-11.00M,-44.00M,612.00M,226.00M,386.00M,,,0.00,,386.00M,392.94M,815.00M,159.00M,656.00M,,1.18,,,1.201,1.18,,1.17,,,1.191,1.17,,328.00M,331.00M,0.387,,AOR,Restated
2015-12,31.44B,31.44B,29.84B,1.609B,922.00M,114.00M,,-10.00M,45.00M,-45.00M,,1.036B,573.00M,45.00M,-45.00M,-8.00M,-45.00M,520.00M,194.00M,326.00M,,,0.00,,326.00M,332.27M,734.00M,169.00M,565.00M,,0.99,,,1.009,0.99,,0.98,,,0.9989,0.98,,329.00M,332.00M,0.387,,AOR,Restated
2015-09,28.06B,28.06B,26.48B,1.579B,842.00M,105.00M,,-12.00M,44.00M,-44.00M,,947.00M,632.00M,44.00M,-44.00M,-20.00M,-44.00M,568.00M,184.00M,384.00M,,,-1.00M,,383.00M,391.12M,749.00M,137.00M,612.00M,,1.17,,,1.195,1.17,,1.15,,,1.175,1.15,,328.00M,331.00M,0.387,,AOR,Restated
2015-06,27.55B,27.55B,26.09B,1.458B,847.00M,91.00M,,38.00M,36.00M,-36.00M,,938.00M,520.00M,36.00M,-36.00M,39.00M,-36.00M,523.00M,231.00M,292.00M,,,0.00,,295.00M,269.20M,674.00M,115.00M,559.00M,,0.89,0.00,,0.8213,0.89,,0.88,0.00,,0.8113,0.88,,332.00M,332.00M,0.387,,AOR,Restated
2015-03,25.38B,25.38B,23.92B,1.459B,803.00M,77.00M,,12.00M,35.00M,-35.00M,,880.00M,579.00M,35.00M,-35.00M,14.00M,-35.00M,558.00M,193.00M,365.00M,,,0.00,,365.00M,357.15M,709.00M,116.00M,593.00M,,1.10,,,1.076,1.10,,1.09,,,1.067,1.09,,330.00M,334.00M,0.3425,,AOR,Restated
2014-12,25.54B,25.54B,24.08B,1.454B,815.00M,60.00M,,-93.00M,36.00M,-36.00M,,875.00M,579.00M,36.00M,-36.00M,-92.00M,-36.00M,451.00M,162.00M,289.00M,,,0.00,,289.00M,348.52M,599.00M,112.00M,487.00M,,0.87,,,1.050,0.87,,0.86,,,1.038,0.86,,331.00M,334.00M,0.3425,,AOR,Restated
2014-09,24.07B,24.07B,22.73B,1.341B,775.00M,53.00M,,-47.00M,34.00M,-34.00M,,828.00M,513.00M,34.00M,-34.00M,-44.00M,-34.00M,435.00M,169.00M,266.00M,,,0.00,,266.00M,294.72M,577.00M,108.00M,469.00M,,0.79,,,0.8755,0.79,,0.78,,,0.8645,0.78,,336.00M,340.00M,0.3425,,AOR,Restated
2014-06,22.89B,22.89B,21.64B,1.256B,795.00M,63.00M,,-11.00M,33.00M,-33.00M,,858.00M,398.00M,33.00M,-33.00M,-8.00M,-33.00M,357.00M,123.00M,234.00M,0.00,,,,234.00M,241.21M,505.00M,115.00M,390.00M,,0.69,0.00,,0.7111,0.69,,0.68,0.00,,0.7011,0.68,,341.00M,342.00M,0.3425,,AOR,Restated
2014-03,21.43B,21.43B,20.13B,1.297B,736.00M,56.00M,,3.00M,34.00M,-34.00M,,792.00M,505.00M,34.00M,-34.00M,36.00M,-34.00M,507.00M,192.00M,315.00M,0.00,,,,315.00M,313.14M,651.00M,110.00M,541.00M,,0.92,0.00,,0.9146,0.92,,0.91,0.00,,0.9046,0.91,,342.00M,347.00M,0.3025,,AOR,Restated
2013-12,22.24B,22.24B,20.90B,1.345B,766.00M,56.00M,,-4.00M,33.00M,-33.00M,,822.00M,523.00M,33.00M,-33.00M,2.00M,-33.00M,492.00M,217.00M,275.00M,3.00M,,,,278.00M,277.60M,642.00M,117.00M,525.00M,,0.80,0.01,,0.8076,0.81,,0.79,0.01,,0.7975,0.80,,342.00M,346.00M,0.3025,,AOR,Restated
2013-09,24.52B,24.52B,23.26B,1.264B,732.00M,49.00M,,-12.00M,33.00M,-33.00M,,781.00M,483.00M,33.00M,-33.00M,-8.00M,-33.00M,442.00M,102.00M,340.00M,-1.00M,,,,339.00M,349.22M,592.00M,117.00M,475.00M,,1.00,0.00,,1.027,1.00,,0.99,0.00,,1.017,0.99,,340.00M,344.00M,0.3025,,AOR,Restated
2013-06,25.42B,25.42B,24.17B,1.248B,776.00M,52.00M,,-863.00M,36.00M,-36.00M,,828.00M,420.00M,36.00M,-36.00M,-865.00M,-36.00M,-481.00M,105.00M,-586.00M,0.00,,,,-586.00M,-25.05M,-323.00M,122.00M,-445.00M,,-1.72,0.00,,-0.0750,-1.72,,-1.72,0.00,,-0.0893,-1.72,,341.00M,344.00M,0.3025,,AOR,Restated
2013-03,24.55B,24.55B,23.26B,1.291B,712.00M,53.00M,,-51.00M,34.00M,-34.00M,,765.00M,526.00M,34.00M,-34.00M,-45.00M,-34.00M,447.00M,101.00M,346.00M,-1.00M,,,,345.00M,385.42M,580.00M,99.00M,481.00M,,1.01,0.00,,1.126,1.01,,1.00,0.00,,1.114,1.00,,341.00M,345.00M,0.275,,AOR,Restated
2012-12,25.23B,25.23B,24.01B,1.224B,699.00M,25.00M,,6.00M,27.00M,-27.00M,,724.00M,500.00M,27.00M,-27.00M,10.00M,-27.00M,483.00M,180.00M,303.00M,0.00,,,,303.00M,299.23M,598.00M,88.00M,510.00M,,0.89,0.00,,0.8789,0.89,,0.88,0.00,,0.8690,0.88,,340.00M,343.00M,0.275,,AOR,Restated
2012-09,25.89B,25.89B,24.73B,1.159B,690.00M,28.00M,,16.00M,26.00M,-26.00M,,718.00M,441.00M,26.00M,-26.00M,24.00M,-26.00M,439.00M,167.00M,272.00M,-1.00M,,,,271.00M,262.10M,553.00M,88.00M,465.00M,,0.80,0.00,,0.7710,0.80,,0.79,0.00,,0.7612,0.79,,341.00M,344.00M,0.2375,,AOR,Restated
2012-06,26.76B,26.76B,25.63B,1.136B,711.00M,10.00M,,-11.00M,25.00M,-25.00M,,721.00M,415.00M,25.00M,-25.00M,-13.00M,-25.00M,377.00M,141.00M,236.00M,1.00M,,,,237.00M,242.89M,488.00M,86.00M,402.00M,,0.68,0.00,,0.7000,0.68,,0.68,0.00,,0.6997,0.68,,345.00M,349.00M,0.2375,,AOR,Restated
2012-03,26.92B,26.92B,25.71B,1.207B,683.00M,-27.00M,,-24.00M,24.00M,-24.00M,,656.00M,551.00M,24.00M,-24.00M,-17.00M,-24.00M,510.00M,178.00M,332.00M,1.00M,,,,333.00M,347.62M,617.00M,83.00M,534.00M,,0.96,0.00,,1.005,0.96,,0.95,0.00,,0.9948,0.95,,345.00M,349.00M,0.215,,AOR,Restated
2011-12,27.08B,27.08B,25.96B,1.114B,640.00M,22.00M,,-3.00M,23.00M,-23.00M,,662.00M,452.00M,23.00M,-23.00M,-3.00M,-23.00M,426.00M,162.00M,264.00M,-2.00M,,,,262.00M,265.86M,527.00M,78.00M,449.00M,,0.77,-0.01,,0.7754,0.76,,0.76,-0.01,,0.7653,0.75,,345.00M,349.00M,0.215,,AOR,Restated
2011-09,26.79B,26.79B,25.71B,1.084B,644.00M,27.00M,,-1.00M,23.00M,-23.00M,,671.00M,413.00M,23.00M,-23.00M,-5.00M,-23.00M,385.00M,148.00M,237.00M,0.00,,,,237.00M,237.62M,486.00M,78.00M,408.00M,,0.69,0.00,,0.6918,0.69,,0.68,0.00,,0.6818,0.68,,345.00M,349.00M,0.215,,AOR,Restated
2011-06,26.76B,26.76B,25.72B,1.043B,670.30M,,,60.00M,24.00M,-24.00M,,760.30M,283.00M,24.00M,-24.00M,82.00M,-24.00M,341.00M,133.80M,207.20M,-4.50M,,,,202.70M,170.74M,438.80M,73.80M,365.00M,,0.59,-0.01,,0.4862,0.58,,0.58,-0.01,,0.4778,0.57,,351.10M,356.60M,0.215,,AOR,Restated
2011-03,26.07B,26.07B,24.91B,1.162B,669.50M,,,-42.50M,25.10M,-25.10M,,669.50M,492.70M,25.10M,-25.10M,-42.50M,-25.10M,425.10M,175.60M,249.50M,-3.50M,,,,246.00M,277.12M,547.70M,97.50M,450.20M,,0.72,-0.01,,0.7993,0.71,,0.71,-0.01,,0.7883,0.70,,348.50M,352.90M,0.195,,AOR,Restated
2010-12,25.37B,25.37B,24.38B,994.20M,606.70M,,,-37.80M,21.90M,-21.90M,,606.70M,387.50M,21.90M,-21.90M,-37.80M,-21.90M,327.80M,112.80M,215.00M,0.40M,,,,215.40M,239.79M,422.90M,73.20M,349.70M,,0.62,0.00,,0.6913,0.62,,0.61,0.00,,0.6807,0.61,,347.60M,350.70M,0.195,,AOR,Restated
2010-09,24.44B,24.44B,23.48B,962.20M,581.50M,,,65.50M,22.00M,-22.00M,,581.50M,380.70M,22.00M,-22.00M,65.50M,-22.00M,424.20M,129.80M,294.40M,0.40M,,,,294.80M,248.94M,514.70M,68.50M,446.20M,,0.84,0.00,,0.7097,0.84,,0.84,0.00,,0.7108,0.84,,348.90M,351.90M,0.195,,AOR,Restated
2010-06,24.46B,24.46B,23.56B,904.40M,606.00M,,,40.50M,24.10M,-24.10M,,625.00M,279.40M,24.10M,-24.10M,53.50M,-24.10M,308.80M,115.00M,193.80M,29.50M,,,,223.30M,168.38M,392.50M,59.60M,332.90M,,0.54,0.08,,0.4692,0.62,,0.53,0.08,,0.4595,0.61,,359.00M,360.40M,0.195,,AOR,Restated
2010-03,24.34B,24.34B,23.33B,1.010B,625.70M,,,6.50M,27.70M,-27.70M,,625.70M,384.40M,27.70M,-27.70M,6.50M,-27.70M,363.20M,138.40M,224.80M,-2.40M,,,,222.40M,220.78M,459.50M,68.60M,390.90M,,0.63,-0.01,,0.6188,0.62,,0.62,-0.01,,0.6089,0.61,,358.70M,361.80M,0.175,,AOR,Restated
2009-12,24.92B,24.92B,23.96B,957.70M,630.60M,,,14.50M,27.40M,-27.40M,-50.80M,579.80M,377.90M,27.40M,-27.40M,14.50M,-27.40M,365.00M,134.80M,230.20M,4.30M,,,,234.50M,221.06M,451.90M,59.50M,392.40M,,0.64,0.01,,0.6145,0.65,,0.64,0.01,,0.6147,0.65,,359.00M,361.00M,0.175,,AOR,Restated
2009-09,24.78B,24.78B,23.87B,908.80M,586.10M,,,-113.80M,33.90M,-33.90M,,586.10M,322.70M,33.90M,-33.90M,-113.80M,-33.90M,175.00M,236.80M,-61.80M,23.60M,,,,-38.20M,12.17M,275.20M,66.30M,208.90M,,-0.17,0.06,,0.0360,-0.11,,-0.17,0.06,,0.0360,-0.11,,359.10M,359.10M,0.175,,AOR,Restated
2009-06,24.35B,24.35B,23.40B,944.20M,591.40M,,,-30.60M,,-32.50M,,591.40M,352.80M,,-32.50M,-30.60M,-32.50M,289.70M,87.70M,202.00M,71.20M,,,,273.20M,223.34M,519.00M,57.00M,462.00M,,0.56,0.20,,0.6195,0.76,,0.56,0.19,,0.6188,0.75,,358.50M,363.00M,0.175,,AOR,Restated
2009-03,24.09B,24.09B,23.10B,986.90M,573.60M,,,-38.90M,30.30M,-30.30M,,573.60M,413.30M,30.30M,-30.30M,-38.90M,-30.30M,344.10M,129.00M,215.10M,97.80M,,,,312.90M,239.42M,427.10M,52.70M,374.40M,,0.60,0.28,,0.6679,0.88,,0.60,0.27,,0.6674,0.87,,358.10M,360.90M,0.14,,AOR,Restated
2008-12,24.12B,24.12B,23.20B,915.10M,578.20M,,,-43.50M,22.20M,-22.20M,,578.20M,336.90M,22.20M,-22.20M,-43.50M,-22.20M,271.20M,102.20M,169.00M,147.50M,,,,316.50M,196.11M,362.10M,68.70M,293.40M,,0.48,0.41,,0.5559,0.89,,0.47,0.41,,0.5452,0.88,,357.30M,360.30M,0.14,,,Restated
2008-09,23.44B,23.44B,22.54B,901.20M,590.30M,,,-26.80M,29.30M,-29.30M,,590.30M,310.90M,29.30M,-29.30M,-26.80M,-29.30M,254.80M,82.60M,172.20M,76.90M,,,,249.10M,190.31M,331.50M,47.40M,284.10M,,0.48,0.22,,0.5308,0.70,,0.48,0.21,,0.5302,0.69,,356.70M,361.10M,0.14,,,Restated
2008-06,19.24B,19.24B,19.63B,-387.60M,-172.90M,,,60.40M,,-12.10M,,-172.90M,-214.70M,,-12.10M,60.40M,-12.10M,-166.40M,-19.30M,-147.10M,465.10M,,,,318.00M,-200.49M,-149.00M,-64.90M,-149.00M,,-0.40,1.29,,-0.5502,0.89,,-0.40,1.27,,-0.5488,0.88,,355.50M,358.90M,0.14,,,Restated
2008-03,22.91B,22.91B,21.44B,1.468B,854.50M,,,-36.80M,31.10M,-31.10M,,854.50M,613.30M,31.10M,-31.10M,-36.80M,-31.10M,545.40M,179.50M,365.90M,-9.90M,,,,356.00M,390.59M,669.50M,93.00M,576.50M,,1.03,-0.03,,1.099,1.00,,1.02,-0.03,,1.089,0.99,,355.50M,360.20M,0.12,,,Restated
2007-12,23.28B,23.28B,21.93B,1.355B,828.90M,,,-6.50M,,,-35.00M,793.90M,560.70M,,,-6.50M,,469.20M,144.10M,325.10M,-0.40M,,,,324.70M,329.60M,657.70M,97.00M,560.70M,,0.91,0.00,,0.9226,0.91,,0.89,0.00,,0.9024,0.89,,358.70M,364.60M,0.12,,,
2007-09,21.97B,21.97B,20.63B,1.342B,830.10M,,,-22.30M,,,2.10M,832.20M,510.00M,,,-22.30M,,446.90M,143.70M,303.20M,-1.40M,,,,301.80M,318.33M,604.90M,94.90M,510.00M,,0.83,0.00,,0.8717,0.83,,0.82,0.00,,0.8609,0.82,,363.00M,370.20M,0.12,,,
2007-06,22.26B,22.26B,20.91B,1.358B,819.30M,,,-117.60M,,,18.40M,837.70M,519.80M,,,-117.60M,,401.40M,163.70M,237.70M,664.50M,,,,902.20M,314.14M,604.80M,85.00M,519.80M,,0.63,1.69,,0.8322,2.32,,0.60,1.66,,0.7958,2.26,,378.10M,390.30M,0.12,,,
2007-03,21.87B,21.87B,20.48B,1.388B,781.70M,,,-615.60M,,,606.10M,1.388B,-0.30M,,,-615.60M,,-42.00M,-37.10M,-4.90M,23.90M,,,,19.00M,395.24M,81.40M,81.70M,-0.30M,,-0.01,0.06,,1.004,0.05,,-0.01,0.06,,1.004,0.05,,394.60M,394.60M,0.09,,,
2006-12,21.78B,21.78B,20.48B,1.300B,755.80M,,,-32.20M,,,13.10M,768.90M,531.00M,,,-32.20M,,479.70M,164.00M,315.50M,423.80M,,,,739.30M,336.69M,608.00M,77.00M,531.00M,,0.78,1.06,,0.8327,1.84,,0.77,1.03,,0.8216,1.80,,402.20M,410.60M,0.09,,,
2006-09,20.94B,20.94B,19.74B,1.200B,725.50M,,,-23.80M,,,10.10M,735.60M,464.90M,,,-23.80M,,413.40M,122.00M,291.40M,-20.70M,,,,270.70M,308.18M,543.30M,78.40M,464.90M,,0.72,-0.05,,0.7615,0.67,,0.71,-0.05,,0.7506,0.66,,404.50M,413.00M,0.09,,,
2006-06,21.25B,21.25B,19.96B,1.292B,770.90M,,,-33.90M,,,8.90M,779.80M,512.40M,,,-33.90M,,459.60M,155.80M,303.80M,17.20M,,,,321.00M,326.21M,590.20M,77.80M,512.40M,,0.73,0.05,,0.7841,0.78,,0.71,0.05,,0.7629,0.75,,414.00M,423.70M,0.09,,,
2006-03,20.21B,20.21B,18.96B,1.254B,701.00M,,,-18.50M,,,0.10M,701.10M,553.30M,,,-18.50M,,508.70M,168.40M,340.30M,-193.50M,,,,146.80M,352.68M,627.50M,74.20M,553.30M,,0.81,-0.46,,0.8395,0.35,,0.80,-0.46,,0.8289,0.34,,419.10M,427.50M,0.06,,,
2005-12,19.35B,19.35B,18.18B,1.166B,696.90M,,,-11.70M,,,-3.50M,693.40M,472.30M,,,-11.70M,,430.50M,144.70M,285.80M,18.20M,,,,304.00M,293.57M,516.90M,44.60M,472.30M,,0.67,0.04,,0.6883,0.71,,0.66,0.04,,0.6780,0.70,,425.50M,431.90M,0.06,,,
2005-09,19.24B,19.24B,18.04B,1.194B,793.70M,,,-23.80M,,,5.30M,799.00M,395.20M,,,-23.80M,,345.70M,108.20M,237.50M,-9.20M,,,,228.30M,253.85M,496.20M,101.00M,395.20M,,0.56,-0.02,,0.5984,0.54,,0.55,-0.02,,0.5879,0.53,,426.30M,431.40M,0.06,,,
2005-06,17.69B,17.69B,16.81B,882.10M,471.20M,,,93.10M,,,48.80M,520.00M,362.10M,,,93.10M,,478.60M,217.20M,261.40M,-3.70M,,,,257.70M,205.54M,370.70M,8.60M,362.10M,,0.61,-0.01,,0.4793,0.60,,0.61,-0.01,,0.4812,0.59,,427.36M,433.80M,0.06,,,
2005-03,18.96B,18.96B,17.63B,1.329B,678.70M,,,-58.90M,,,7.10M,685.80M,643.10M,,,-58.90M,,551.30M,176.80M,374.50M,-8.80M,,,,365.70M,414.51M,731.90M,88.80M,643.10M,,0.87,-0.02,,0.9627,0.85,,0.86,-0.02,,0.9514,0.84,,431.80M,437.80M,0.03,,,
2004-12,18.55B,18.55B,17.35B,1.206B,699.60M,,,-186.10M,,,83.00M,782.60M,423.90M,,,-186.10M,,303.90M,100.10M,203.80M,10.20M,,,,214.00M,328.60M,532.10M,108.20M,423.90M,,0.47,0.02,,0.7588,0.49,,0.47,0.02,,0.7555,0.49,,432.10M,437.10M,0.03,,,
2004-09,17.79B,17.79B,16.70B,1.090B,692.50M,,,-35.70M,,,11.30M,703.80M,386.70M,,,-35.70M,,324.90M,102.60M,222.30M,-9.00M,,,,213.30M,246.73M,476.70M,90.00M,386.70M,,0.51,-0.02,,0.5666,0.49,,0.51,-0.02,,0.5662,0.49,,431.70M,434.70M,0.03,,,
2004-06,16.39B,16.39B,15.27B,1.126B,524.20M,,,-32.70M,,,1.80M,526.00M,599.90M,,,-32.70M,,544.30M,154.30M,390.00M,-30.80M,0.00,,,359.20M,413.43M,669.00M,69.10M,599.90M,,0.53,0.38,0.00,0.5897,0.91,,0.52,0.38,-0.0023,0.5792,0.90,,392.25M,395.74M,0.03,,,
2004-03,16.39B,16.39B,15.11B,1.283B,608.90M,,,-7.70M,,,-4.40M,604.50M,678.90M,,,-7.70M,,636.80M,208.50M,430.10M,-0.80M,,,,429.30M,435.28M,756.10M,77.20M,678.90M,,1.00,-0.01,,1.012,0.99,,0.99,-0.01,,1.002,0.98,,433.40M,439.00M,0.03,,,
