,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2003-12,2.99B,2.99B,,,,,,,,,,,587.00M,,,,,,561.00M,161.00M,375.00M,,,-8.00M,375.00M,375.00M,686.00M,99.00M,587.00M,,0.09,0.62,,0.09,0.71,,0.09,0.60,,0.09,0.69,,530.00M,542.00M,0.31,,,
2003-09,2.837B,2.837B,2.244B,593.00M,,,,,,,,,593.00M,,,,,,545.00M,188.00M,357.00M,,,-6.00M,357.00M,357.00M,691.00M,98.00M,593.00M,,0.67,0.00,,0.67,0.67,,0.65,0.00,,0.65,0.65,,531.00M,550.00M,0.31,,,
2003-06,2.865B,2.865B,2.266B,599.00M,,,,,,,,,599.00M,,,,,,560.00M,189.00M,365.00M,,,-6.00M,365.00M,365.00M,698.00M,99.00M,599.00M,,0.68,0.00,,0.68,0.68,,0.66,0.00,,0.66,0.66,,534.00M,552.00M,0.31,,,
2003-03,2.852B,2.852B,2.135B,717.00M,,,,,,,,,717.00M,,,,,,680.00M,232.00M,443.00M,,,-5.00M,443.00M,443.00M,812.00M,95.00M,717.00M,,0.83,0.00,,0.83,0.83,,0.81,0.00,,0.81,0.81,,536.00M,547.00M,0.28,,,
2002-12,2.588B,2.588B,,,,,,,,,,,510.00M,,,,,,491.00M,158.00M,312.00M,,,-3.00M,312.00M,312.00M,604.00M,94.00M,510.00M,,0.55,0.03,,0.55,0.58,,0.54,0.03,,0.54,0.57,,538.00M,551.00M,0.28,,,
2002-09,2.553B,2.553B,2.041B,512.00M,,,,,,,,,512.00M,,,,,,467.00M,168.00M,299.00M,,,-7.00M,299.00M,299.00M,602.00M,90.00M,512.00M,,0.56,0.00,,0.56,0.56,,0.55,0.00,,0.55,0.55,,535.00M,548.00M,0.28,,,
2002-06,2.612B,2.612B,2.047B,565.00M,,,,,,,,,565.00M,,,,,,531.00M,189.00M,336.00M,,,-6.00M,336.00M,336.00M,654.00M,89.00M,565.00M,,0.62,0.00,,0.62,0.62,,0.60,0.00,,0.60,0.60,,545.00M,562.00M,0.28,,,
2002-03,2.635B,2.635B,1.948B,687.00M,,,,,,,,,687.00M,,,,,,650.00M,232.00M,418.00M,,,-5.00M,418.00M,418.00M,773.00M,86.00M,687.00M,,0.765,0.00,,0.765,0.765,,0.735,0.00,,0.735,0.735,,548.00M,568.00M,0.265,,,
2001-12,2.29B,2.29B,1.836B,454.00M,,,,,,,,,280.00M,,,,,,243.00M,96.00M,144.00M,,,-3.00M,144.00M,144.00M,407.00M,127.00M,280.00M,,0.24,0.02,,0.24,0.26,,0.235,0.02,,0.235,0.26,,547.00M,575.76M,0.265,,,
2001-09,2.407B,2.407B,2.095B,312.00M,,,,,,,,,312.00M,,,,,,272.00M,100.00M,168.00M,,,-4.00M,168.00M,168.00M,440.00M,128.00M,312.00M,,0.31,0.00,,0.31,0.31,,0.29,0.00,,0.29,0.29,,548.00M,569.00M,0.265,,,
2001-06,2.541B,2.541B,2.015B,526.00M,,,,,,,,,526.00M,,,,,,472.00M,179.00M,293.00M,,,-5.00M,293.00M,293.00M,660.00M,134.00M,526.00M,,0.535,0.00,,0.535,0.535,,0.51,0.00,,0.51,0.51,,552.00M,574.00M,0.265,,,
2001-03,2.594B,2.594B,1.949B,645.00M,,,,,,,,,645.00M,,,,,,593.00M,224.00M,369.00M,,,-5.00M,369.00M,369.00M,776.00M,131.00M,645.00M,,0.665,0.00,,0.665,0.665,,0.635,0.00,,0.635,0.635,,552.00M,576.00M,0.25,,,
2000-12,2.627B,2.627B,2.387B,240.00M,,,,,,,,-305.00M,545.00M,,,,,,494.00M,187.00M,286.00M,,,,286.00M,286.00M,730.00M,185.00M,545.00M,,0.515,0.00,,0.515,0.515,,0.49,0.00,,0.49,0.49,,556.00M,574.00M,0.25,,,
2000-09,2.535B,2.535B,1.916B,619.00M,,,,,,,,103.00M,516.00M,,,,,,460.00M,178.00M,282.00M,,,,282.00M,282.00M,619.00M,103.00M,516.00M,,0.52,0.00,,0.52,0.52,,0.485,0.00,,0.485,0.485,,544.00M,572.00M,0.25,,,
2000-06,2.481B,2.481B,1.875B,606.00M,,,,,,,,100.00M,506.00M,,,,,,444.00M,168.00M,276.00M,,,,276.00M,276.00M,606.00M,100.00M,506.00M,,0.51,0.00,,0.51,0.51,,0.48,0.00,,0.48,0.48,,540.00M,566.00M,0.25,,,
2000-03,2.665B,2.665B,1.953B,712.00M,,,,,,,,100.00M,612.00M,,,,,,557.00M,220.00M,337.00M,,,,337.00M,337.00M,712.00M,100.00M,612.00M,,0.63,0.00,,0.63,0.63,,0.595,0.00,,0.595,0.595,,536.00M,560.00M,0.225,,,
1999-12,2.334B,2.334B,2.004B,330.00M,,,,,,,,154.00M,176.00M,,,,,,116.00M,69.00M,47.00M,,,,47.00M,47.00M,330.00M,154.00M,176.00M,,0.08,0.00,,0.08,0.08,,0.075,0.00,,0.075,0.075,,537.08M,537.08M,0.225,,,
1999-09,2.227B,2.227B,1.703B,524.00M,,,,,,,,99.00M,425.00M,,,,,,372.00M,149.00M,223.00M,,,,223.00M,223.00M,524.00M,99.00M,425.00M,,0.42,0.00,,0.42,0.42,,0.405,0.00,,0.405,0.405,,524.00M,540.00M,0.45,,,
1999-06,2.245B,2.245B,1.81B,435.00M,,,4.00M,,,,,88.00M,347.00M,,,,4.00M,,296.00M,119.00M,177.00M,,,,177.00M,174.60M,435.00M,88.00M,347.00M,,0.34,0.00,,0.3354,0.34,,0.315,0.00,,0.3105,0.315,,520.00M,538.00M,0.20,,,
1999-03,2.351B,2.351B,1.742B,609.00M,,,7.00M,,,,,90.00M,519.00M,,,,7.00M,,466.00M,187.00M,279.00M,,,,279.00M,274.80M,609.00M,90.00M,519.00M,,0.54,0.00,,0.5319,0.54,,0.515,0.00,,0.5072,0.515,,516.67M,541.75M,0.00,,,
1998-12,1.945B,1.945B,1.519B,426.00M,,,,,,,,91.00M,335.00M,,,,,,297.00M,111.00M,186.00M,,,,186.00M,186.00M,426.00M,91.00M,335.00M,,0.365,0.00,,0.365,0.365,,0.35,0.00,,0.35,0.35,,510.18M,510.18M,0.20,,,
1998-09,1.719B,1.719B,1.324B,395.00M,,,5.00M,,,,,60.00M,335.00M,,,,5.00M,,307.00M,121.00M,186.00M,,,,186.00M,182.97M,395.00M,60.00M,335.00M,,0.365,0.00,,0.3591,0.365,,0.345,0.00,,0.3394,0.345,,509.59M,539.13M,0.20,,,
1998-06,1.75B,1.75B,1.339B,411.00M,,,7.00M,,,,,65.00M,346.00M,,,,7.00M,,320.00M,127.00M,193.00M,,,,193.00M,188.78M,411.00M,65.00M,346.00M,,0.375,0.00,,0.3668,0.375,,0.36,0.00,,0.3521,0.36,,514.67M,536.11M,0.20,,,
1998-03,1.776B,1.776B,1.316B,460.00M,,,5.00M,,,,,56.00M,404.00M,,,,5.00M,,381.00M,150.00M,231.00M,,,,231.00M,227.97M,460.00M,56.00M,404.00M,,0.45,0.00,,0.4441,0.45,,0.435,0.00,,0.4293,0.435,,513.33M,531.03M,0.1667,,,
1997-12,1.626B,1.626B,1.564B,62.00M,,,,,,,,52.00M,10.00M,,,,,,-13.00M,2.00M,-15.00M,,,,-15.00M,-15.00M,62.00M,52.00M,10.00M,,-0.06,0.00,,-0.06,-0.06,,-0.06,0.00,,-0.06,-0.06,,536.19M,542.81M,0.3334,,,
1997-09,1.548B,1.548B,1.242B,306.00M,,,6.00M,,,,,57.00M,249.00M,,,,6.00M,,227.00M,87.00M,140.00M,,,,140.00M,136.30M,306.40M,57.40M,249.00M,,0.275,0.00,,0.2677,0.275,,0.27,0.00,,0.2629,0.27,,509.09M,518.52M,0.1667,,,
1997-06,1.450B,1.450B,1.136B,314.10M,,,7.80M,,,,,52.50M,261.60M,,,,7.80M,,238.00M,93.00M,145.00M,,,,145.00M,140.25M,314.10M,52.50M,261.60M,,0.29,0.00,,0.2805,0.29,,0.285,0.00,,0.2757,0.285,,500.00M,508.77M,0.15,,,
1997-03,1.209B,1.209B,894.30M,314.40M,,,3.20M,,,,,37.10M,277.30M,,,,3.20M,,263.00M,98.60M,164.40M,,,,164.40M,162.40M,314.40M,37.10M,277.30M,,0.375,0.00,,0.3704,0.375,,0.365,0.00,,0.3606,0.365,,438.40M,450.41M,0.15,,,
1996-12,1.308B,1.308B,1.166B,141.00M,,,3.30M,,,,,36.00M,105.00M,,,,3.30M,,92.90M,-5.20M,98.10M,,,,98.10M,96.12M,141.00M,36.00M,105.00M,,0.225,0.00,,0.2205,0.225,,0.225,0.00,,0.2205,0.225,,435.83M,436.92M,0.15,,,
1996-09,989.00M,989.00M,780.00M,209.00M,,,3.70M,,,,,34.80M,174.20M,,,,3.70M,,163.40M,60.80M,102.60M,,,,102.60M,100.28M,209.00M,34.80M,174.20M,,0.24,0.00,,0.2346,0.24,,0.235,0.00,,0.2297,0.235,,427.50M,436.60M,0.1334,,,
1996-06,1.037B,1.037B,809.20M,227.60M,,,3.50M,,,,,34.30M,193.30M,,,,3.50M,,180.90M,65.70M,115.20M,,,,115.20M,112.97M,227.60M,34.30M,193.30M,,0.265,0.00,,0.2599,0.265,,0.26,0.00,,0.2550,0.26,,434.72M,443.08M,0.1334,,,
1996-03,1.071B,1.071B,793.30M,277.40M,,,3.50M,,,,,34.90M,242.50M,,,,3.50M,,230.80M,87.70M,143.10M,,,,143.10M,140.93M,277.40M,34.90M,242.50M,,0.325,0.00,,0.3201,0.325,,0.325,0.00,,0.3201,0.325,,440.31M,440.31M,0.1333,,,
1995-12,1.125B,1.125B,942.10M,183.20M,,,4.50M,,,,,35.20M,148.00M,,,,4.50M,,137.00M,52.00M,85.00M,,,,85.00M,82.21M,183.20M,35.20M,148.00M,,0.19,0.00,,0.1837,0.19,,0.18,0.00,,0.1740,0.18,,445.30M,464.55M,0.00,,,
1995-09,921.60M,921.60M,728.60M,193.00M,,,4.70M,,,,,34.60M,158.40M,,,,4.70M,,147.30M,56.00M,91.30M,,,,91.30M,88.39M,193.00M,34.60M,158.40M,,0.21,0.00,,0.2033,0.21,,0.21,0.00,,0.2033,0.21,,434.76M,434.76M,0.1334,,,
1995-06,935.20M,935.20M,727.20M,208.00M,,,4.40M,,,,,33.10M,174.90M,,,,4.40M,,162.50M,60.70M,101.80M,,,,101.80M,99.04M,208.00M,33.10M,174.90M,,0.235,0.00,,0.2286,0.235,,0.235,0.00,,0.2286,0.235,,433.19M,433.19M,0.1209,,,
1995-03,955.20M,955.20M,709.40M,245.80M,,,4.10M,,,,,32.20M,213.60M,,,,4.10M,,203.00M,78.20M,124.80M,,,,124.80M,122.28M,245.80M,32.20M,213.60M,,0.285,0.00,,0.2792,0.285,,0.285,0.00,,0.2792,0.285,,437.89M,437.89M,0.1208,,,
1994-12,857.40M,857.40M,698.10M,159.30M,,,3.50M,,,,,29.80M,129.50M,,,,3.50M,,119.40M,47.20M,72.20M,,0.00,,72.20M,70.08M,159.30M,29.80M,129.50M,,0.1367,0.025,0.00,0.1319,0.1617,,0.1367,0.025,0.0001,0.1319,0.1617,,445.96M,445.96M,0.1209,,,
1994-09,826.90M,826.90M,646.90M,180.00M,,,2.40M,,,,,31.40M,148.60M,,,,2.40M,,137.90M,54.50M,83.40M,,,,83.40M,81.95M,180.00M,31.40M,148.60M,,0.19,0.00,,0.1867,0.19,,0.19,0.00,,0.1867,0.19,,438.95M,438.95M,0.1209,,,
1994-06,840.50M,840.50M,646.20M,194.30M,,,3.00M,,,,,30.50M,163.80M,,,,3.00M,,154.50M,58.80M,95.70M,,,,95.70M,93.84M,194.30M,30.50M,163.80M,,0.215,0.00,,0.2108,0.215,,0.215,0.00,,0.2108,0.215,,445.12M,445.12M,0.1209,,,
1994-03,910.20M,910.20M,652.90M,257.30M,,,2.90M,,,,,28.90M,228.40M,,,,2.90M,,219.70M,89.00M,130.70M,,-10.50M,,120.20M,128.96M,257.30M,28.90M,228.40M,,0.295,-0.025,0.00,0.2911,0.27,,0.295,-0.025,-0.0236,0.2911,0.27,,445.19M,445.19M,0.1126,,,
1993-12,779.80M,779.80M,634.70M,145.10M,,,3.10M,,,,,31.70M,113.40M,,,,3.10M,,105.10M,42.50M,62.60M,,,,62.60M,60.74M,145.10M,31.70M,113.40M,,0.14,0.00,,0.1358,0.14,,0.14,0.00,,0.1358,0.14,,444.96M,444.96M,0.1126,,,
1993-09,766.40M,766.40M,598.10M,168.30M,,,2.60M,,,,,28.60M,139.70M,,,,2.60M,,130.70M,54.60M,76.10M,,,,76.10M,74.54M,168.30M,28.60M,139.70M,,0.175,0.00,,0.1714,0.175,,0.175,0.00,,0.1714,0.175,,434.86M,434.86M,0.1126,,,
1993-06,783.30M,783.30M,601.10M,182.20M,,,3.10M,,,,,29.70M,152.50M,,,,3.10M,,143.80M,57.50M,86.30M,,,,86.30M,84.44M,182.20M,29.70M,152.50M,,0.195,0.00,,0.1908,0.195,,0.195,0.00,,0.1908,0.195,,442.56M,442.56M,0.1126,,,
1993-03,833.90M,833.90M,616.80M,217.10M,,,3.10M,,,,,29.90M,187.20M,,,,3.10M,,179.00M,71.60M,107.40M,,,,107.40M,105.54M,217.10M,29.90M,187.20M,,0.245,0.00,,0.2408,0.245,,0.245,0.00,,0.2408,0.245,,438.37M,438.37M,0.1126,,,
1992-12,705.20M,705.20M,586.80M,118.40M,,,4.40M,,,,,27.70M,90.70M,,,,4.40M,,85.30M,33.20M,52.10M,,,,12.00M,49.41M,118.40M,27.70M,90.70M,,0.12,-0.095,,0.1139,0.025,,0.12,-0.095,,0.1139,0.025,,438.41M,438.41M,0.1126,,,
1992-09,730.00M,730.00M,575.80M,154.20M,,,4.50M,,,,,29.10M,125.10M,,,,4.50M,,120.20M,50.50M,69.70M,,,,69.70M,67.00M,154.20M,29.10M,125.10M,,0.165,0.00,,0.1586,0.165,,0.165,0.00,,0.1586,0.165,,422.42M,422.42M,0.1126,,,
1992-06,733.00M,733.00M,560.60M,172.40M,,,4.10M,,,,,28.00M,144.40M,,,,4.10M,,138.40M,58.10M,80.30M,,,,80.30M,77.84M,172.40M,28.00M,144.40M,,0.185,0.00,,0.1793,0.185,,0.185,0.00,,0.1793,0.185,,434.05M,434.05M,0.1126,,,
1992-03,768.80M,768.80M,560.80M,208.00M,,,3.60M,,,,,27.20M,180.80M,,,,3.60M,,175.40M,73.70M,101.70M,,,,101.70M,99.54M,208.00M,27.20M,180.80M,,0.235,0.00,,0.2300,0.235,,0.235,0.00,,0.2300,0.235,,432.77M,432.77M,0.1084,,,
1991-12,665.90M,665.90M,587.70M,78.20M,,,50.20M,,,,,28.90M,49.30M,,,,50.20M,,89.70M,35.50M,54.20M,,,,54.20M,23.87M,78.20M,28.90M,49.30M,,0.12,0.00,,0.0522,0.12,,0.12,0.00,,0.0522,0.12,,447.14M,447.14M,0.1084,,,
1991-09,679.00M,679.00M,517.80M,161.20M,,,5.30M,,,,,27.80M,133.40M,,,,5.30M,,128.70M,54.70M,74.00M,,,,74.00M,70.82M,161.20M,27.80M,133.40M,,0.17,0.00,,0.1627,0.17,,0.17,0.00,,0.1627,0.17,,435.29M,435.29M,0.1084,,,
1991-06,690.20M,690.20M,518.30M,171.90M,,,5.80M,,,,,27.70M,144.20M,,,,5.80M,,140.30M,59.60M,80.70M,,,,80.70M,77.22M,171.90M,27.70M,144.20M,,0.185,0.00,,0.1770,0.185,,0.185,0.00,,0.1770,0.185,,436.22M,436.22M,0.1084,,,
1991-03,744.10M,744.10M,544.20M,199.90M,,,6.50M,,,,,28.70M,171.20M,,,,6.50M,,168.10M,71.50M,96.60M,,,,96.60M,92.70M,199.90M,28.70M,171.20M,,0.22,0.00,,0.2111,0.22,,0.22,0.00,,0.2111,0.22,,439.09M,439.09M,0.1084,,,
1990-12,668.50M,668.50M,547.40M,121.10M,,,8.70M,,,,,27.50M,93.60M,,,,8.70M,,90.90M,36.40M,54.50M,,,,54.50M,49.28M,121.10M,27.50M,93.60M,,0.125,0.00,,0.1130,0.125,,0.125,0.00,,0.1130,0.125,,436.53M,436.53M,0.1084,,,
1990-09,681.50M,681.50M,521.20M,160.30M,,,8.70M,,,,,26.60M,133.70M,,,,8.70M,,130.90M,56.30M,74.60M,,,,74.60M,69.38M,160.30M,26.60M,133.70M,,0.17,0.00,,0.1581,0.17,,0.17,0.00,,0.1581,0.17,,438.82M,438.82M,0.1084,,,
1990-06,677.30M,677.30M,513.50M,163.80M,,,7.80M,,,,,25.60M,138.20M,,,,7.80M,,141.70M,60.90M,80.80M,,,,80.80M,76.12M,163.80M,25.60M,138.20M,,0.185,0.00,,0.1743,0.185,,0.185,0.00,,0.1743,0.185,,436.76M,436.76M,0.1084,,,
1990-03,695.70M,695.70M,508.60M,187.10M,,,7.30M,,,,,25.30M,161.80M,,,,7.30M,,165.30M,71.10M,94.20M,,,,94.20M,89.82M,187.10M,25.30M,161.80M,,0.215,0.00,,0.2050,0.215,,0.215,0.00,,0.2050,0.215,,438.14M,438.14M,0.1042,,,
1989-12,592.10M,592.10M,,,,,,,,,,,-1.326B,,,,,,,,55.80M,,,,55.80M,,-1.326B,,-1.326B,,0.13,0.00,,0.13,0.13,,0.13,0.00,,0.13,0.13,,431.65M,431.65M,0.1042,,,
1989-09,606.60M,606.60M,,,,,,,,,,,606.60M,,,,,,,,73.50M,,,,73.50M,,606.60M,,606.60M,,0.17,0.00,,0.17,0.17,,0.17,0.00,,0.17,0.17,,430.13M,430.13M,0.1042,,,
1989-06,606.30M,606.30M,451.90M,154.40M,,,7.20M,,,,,21.40M,133.00M,,,,7.20M,,135.60M,58.30M,77.30M,,,,77.30M,72.98M,154.40M,21.40M,133.00M,,0.18,0.00,,0.1699,0.18,,0.18,0.00,,0.1699,0.18,,429.44M,429.44M,0.1042,,,
1989-03,622.70M,622.70M,,,,,,,,,,,622.70M,,,,,,,,88.30M,,,,88.30M,,622.70M,,622.70M,,0.205,0.00,,0.205,0.205,,0.205,0.00,,0.205,0.205,,430.70M,430.70M,0.1042,,,
1988-12,544.40M,544.40M,,,,,,,,,,,-1.213B,,,,,,,,50.60M,,,,50.60M,,-1.213B,,-1.213B,,,,,,,,,,,,,,428.88M,428.88M,0.1042,,,
1988-09,562.70M,562.70M,,,,,,,,,,,562.70M,,,,,,,,74.60M,,,,74.60M,,562.70M,,562.70M,,0.175,0.00,,0.175,0.175,,0.175,0.00,,0.175,0.175,,432.98M,432.98M,0.1042,,,
1988-06,570.00M,570.00M,,,,,,,,,,,570.00M,,,,,,,,77.00M,,,,77.00M,,570.00M,,570.00M,,0.175,0.00,,0.175,0.175,,0.175,0.00,,0.175,0.175,,437.33M,437.33M,0.1001,,,
1988-03,595.30M,595.30M,,,,,,,,,,,595.30M,,,,,,,,94.10M,,,,94.10M,,595.30M,,595.30M,,0.215,0.00,,0.215,0.215,,0.215,0.00,,0.215,0.215,,449.37M,449.37M,0.1001,,,
1987-12,514.30M,514.30M,,,,,,,,,,,-1.083B,,,,,,,,52.60M,,,,52.60M,,-1.083B,,-1.083B,,,,,,,,,,,,,,442.91M,442.91M,0.1001,,,
1987-09,533.70M,533.70M,,,,,,,,,,,533.70M,,,,,,,,77.70M,,,,77.70M,,533.70M,,533.70M,,0.175,0.00,,0.175,0.175,,0.175,0.00,,0.175,0.175,,447.77M,447.77M,0.1001,,,
1987-06,539.10M,539.10M,,,,,,,,,,,539.10M,,,,,,,,78.90M,,,,78.90M,,539.10M,,539.10M,,0.175,0.00,,0.175,0.175,,0.175,0.00,,0.175,0.175,,447.14M,447.14M,0.1001,,,
1987-03,560.00M,560.00M,,,,,,,,,,,560.00M,,,,,,,,92.90M,,,,92.90M,,560.00M,,560.00M,,0.21,0.00,,0.21,0.21,,0.21,0.00,,0.21,0.21,,443.47M,443.47M,0.0792,,,
1986-12,444.70M,444.70M,,,,,,,,,,,-878.90M,,,,,,,,49.30M,,,,49.30M,,-878.90M,,-878.90M,,,,,,,,,,,,,,443.05M,443.05M,0.0792,,,
1986-09,461.80M,461.80M,,,,,,,,,,,461.80M,,,,,,,,64.20M,,,,64.20M,,461.80M,,461.80M,,0.145,0.00,,0.145,0.145,,0.145,0.00,,0.145,0.145,,443.95M,443.95M,0.0792,,,
1986-06,453.40M,453.40M,,,,,,,,,,,453.40M,,,,,,,,64.60M,,,,64.60M,,453.40M,,453.40M,,0.145,0.00,,0.145,0.145,,0.145,0.00,,0.145,0.145,,441.99M,441.99M,0.0626,,,
1986-03,444.20M,444.20M,,,,,,,,,,,444.20M,,,,,,,,65.10M,,,,65.10M,,444.20M,,444.20M,,0.15,0.00,,0.15,0.15,,0.15,0.00,,0.15,0.15,,439.75M,439.75M,0.0626,,,
1985-12,361.70M,361.70M,,,,,,,,,,,-692.50M,,,,,,,,36.70M,,,,36.70M,,-692.50M,,-692.50M,,,,,,,,,,,,,,440.24M,440.24M,0.0563,,,
1985-09,350.90M,350.90M,,,,,,,,,,,350.90M,,,,,,,,42.30M,,,,42.30M,,350.90M,,350.90M,,0.095,0.00,,0.095,0.095,,0.095,0.00,,0.095,0.095,,437.81M,437.81M,,,,
1985-06,332.80M,332.80M,,,,,,,,,,,332.80M,,,,,,,,40.40M,,,,40.40M,,332.80M,,332.80M,,0.095,0.00,,0.095,0.095,,0.095,0.00,,0.095,0.095,,436.99M,436.99M,,,,
1985-03,322.20M,322.20M,,,,,,,,,,,322.20M,,,,,,,,43.50M,,,,43.50M,,322.20M,,322.20M,,0.10,0.00,,0.10,0.10,,0.10,0.00,,0.10,0.10,,436.99M,436.99M,,,,
1984-12,281.10M,281.10M,,,,,,,,,,,-606.00M,,,,,,,,26.60M,,,,26.60M,,-606.00M,,-606.00M,,,,,,,,,,,,,,435.56M,435.56M,,,,
1984-09,272.30M,272.30M,,,,,,,,,,,272.30M,,,,,,,,31.40M,,,,31.40M,,272.30M,,272.30M,,0.075,0.00,,0.075,0.075,,0.075,0.00,,0.075,0.075,,434.35M,434.35M,,,,
1984-06,268.80M,268.80M,,,,,,,,,,,268.80M,,,,,,,,29.00M,,,,29.00M,,268.80M,,268.80M,,0.065,0.00,,0.065,0.065,,0.065,0.00,,0.065,0.065,,434.33M,434.33M,,,,
1984-03,279.20M,279.20M,,,,,,,,,,,279.20M,,,,,,,,-28.30M,,,,-28.30M,,279.20M,,279.20M,,-0.065,0.00,,-0.065,-0.065,,-0.065,0.00,,-0.065,-0.065,,434.33M,434.33M,,,,
