,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,1.036B,1.036B,4.288B,429.00M,4.601B,,,,538.00M,6.175B,,,,,,,2.555B,-1.857B,698.00M,9.177B,1.234B,10.41B,532.00M,1.535B,14.98B,21.16B,,2.246B,212.00M,216.00M,2.674B,,2.674B,175.00M,,264.00M,439.00M,,439.00M,,4.216B,5.813B,,5.813B,,,1.768B,81.00M,1.565B,9.146B,13.36B,,561.00M,14.13B,732.00M,3.443B,,,-4.265B,7.716B,,AOR,Restated
2018-03,1.168B,1.168B,4.217B,459.00M,4.562B,,,,540.00M,6.27B,,,,,,,2.602B,-1.889B,713.00M,9.194B,1.256B,10.45B,554.00M,1.535B,15.11B,21.38B,,2.343B,193.00M,261.00M,2.797B,,2.797B,249.00M,,263.00M,512.00M,,512.00M,,4.122B,5.815B,,5.815B,,,1.842B,81.00M,1.579B,9.236B,13.36B,,561.00M,13.81B,682.00M,3.21B,,,-3.905B,7.94B,,AOR,Restated
2017-12,1.205B,1.205B,3.777B,466.00M,4.133B,,,,224.00M,5.562B,0.00,385.00M,,1.179B,,974.00M,2.538B,-1.826B,712.00M,9.089B,1.274B,10.36B,669.00M,1.43B,14.87B,20.43B,,2.083B,,199.00M,2.282B,,2.282B,,,262.00M,262.00M,,262.00M,,4.262B,5.225B,,5.225B,,,1.888B,83.00M,1.612B,8.725B,12.99B,,561.00M,13.14B,784.00M,3.083B,,,-4.043B,7.359B,,AOR,Restated
2017-09,1.078B,1.078B,3.651B,363.00M,3.909B,,,,228.00M,5.215B,,,,,,,2.55B,-1.822B,728.00M,9.10B,1.32B,10.42B,947.00M,1.225B,14.48B,19.69B,,2.002B,193.00M,229.00M,2.424B,,2.424B,0.00,,13.00M,13.00M,,13.00M,,3.814B,5.475B,,5.475B,,,1.948B,85.00M,1.322B,8.745B,12.56B,,561.00M,13.11B,783.00M,2.851B,,,-4.56B,7.046B,,AOR,Restated
2017-06,966.00M,966.00M,3.74B,347.00M,3.984B,,,,232.00M,5.182B,,,,,,,2.479B,-1.758B,721.00M,8.821B,1.233B,10.05B,975.00M,1.529B,14.26B,19.44B,,2.027B,194.00M,193.00M,2.414B,,2.414B,150.00M,,12.00M,162.00M,,162.00M,,3.649B,5.479B,,5.479B,,,1.986B,81.00M,1.254B,8.719B,12.37B,,561.00M,12.92B,763.00M,2.705B,,,-4.541B,6.993B,,AOR,Restated
2017-03,930.00M,930.00M,3.564B,331.00M,3.795B,,,,256.00M,4.981B,,,,,,,2.451B,-1.729B,722.00M,8.769B,1.291B,10.06B,1.009B,1.325B,13.99B,18.97B,,2.033B,176.00M,202.00M,2.411B,,2.411B,150.00M,,262.00M,412.00M,,412.00M,,3.588B,5.479B,,5.479B,,,2.025B,87.00M,1.258B,8.762B,12.35B,,561.00M,12.61B,733.00M,2.531B,,,-4.837B,6.532B,,AOR,Restated
2016-12,1.026B,1.026B,3.37B,369.00M,3.643B,,,,215.00M,4.884B,0.00,389.00M,,1.113B,,906.00M,2.408B,-1.683B,725.00M,8.369B,1.126B,9.495B,1.097B,1.213B,13.31B,18.19B,,1.969B,,146.00M,2.115B,,2.115B,50.00M,,262.00M,312.00M,,312.00M,,4.082B,4.495B,,4.495B,,,2.076B,80.00M,1.265B,7.836B,11.92B,,561.00M,12.39B,842.00M,2.506B,,,-5.093B,6.192B,,AOR,Restated
2016-09,1.388B,1.388B,3.316B,371.00M,3.603B,,,,218.00M,5.209B,,,,,,,2.411B,-1.694B,717.00M,7.975B,907.00M,8.882B,1.085B,1.212B,13.15B,18.36B,,1.862B,178.00M,213.00M,2.253B,,2.253B,,,,262.00M,,262.00M,,3.825B,4.494B,,4.494B,,,1.969B,83.00M,1.316B,7.779B,11.60B,,561.00M,11.95B,812.00M,2.366B,,,-4.289B,6.671B,,AOR,Restated
2016-06,974.00M,974.00M,3.473B,334.00M,3.721B,,,,235.00M,4.93B,,,,,,,2.402B,-1.666B,736.00M,7.945B,955.00M,8.90B,1.093B,1.22B,13.15B,18.08B,,1.868B,178.00M,182.00M,2.228B,,2.228B,,,,261.00M,,261.00M,,3.504B,4.496B,,4.496B,,,2.004B,81.00M,1.367B,7.867B,11.37B,,561.00M,11.75B,789.00M,2.176B,,,-4.301B,6.624B,,AOR,Restated
2016-03,918.00M,918.00M,3.357B,378.00M,3.647B,,,,233.00M,4.798B,,,,,,,2.408B,-1.651B,757.00M,7.95B,1.035B,8.985B,1.117B,1.29B,13.33B,18.13B,,1.879B,163.00M,128.00M,2.17B,,2.17B,252.00M,,13.00M,265.00M,,265.00M,,3.159B,4.748B,,4.748B,,,2.042B,92.00M,1.408B,8.198B,11.36B,,561.00M,11.46B,777.00M,2.022B,,,-4.097B,6.679B,,AOR,Restated
2015-12,1.374B,1.374B,3.198B,360.00M,3.471B,,,,199.00M,5.044B,0.00,396.00M,,1.133B,,865.00M,2.394B,-1.621B,773.00M,7.889B,1.036B,8.925B,1.138B,1.177B,13.17B,18.22B,,1.886B,,154.00M,2.04B,,2.04B,0.00,,12.00M,12.00M,,12.00M,,3.708B,4.402B,,4.402B,,,2.058B,89.00M,1.446B,7.906B,11.61B,,561.00M,11.30B,861.00M,1.991B,,,-4.22B,6.513B,,AOR,Restated
2015-09,1.33B,1.33B,3.255B,355.00M,3.517B,,,466.00M,213.00M,5.526B,,,,,,,2.443B,-1.657B,786.00M,7.506B,836.00M,8.342B,667.00M,1.221B,12.20B,17.72B,,1.759B,163.00M,107.00M,2.029B,,2.029B,,,,62.00M,,62.00M,,3.404B,4.422B,,4.422B,,,2.114B,95.00M,1.441B,7.977B,11.38B,,561.00M,10.93B,851.00M,1.97B,,,-4.122B,6.248B,,AOR,Restated
2015-06,930.00M,930.00M,3.404B,351.00M,3.659B,,,475.00M,235.00M,5.299B,,,,,,,2.47B,-1.663B,807.00M,7.381B,774.00M,8.155B,785.00M,1.219B,12.11B,17.41B,,1.748B,166.00M,209.00M,2.123B,,2.123B,50.00M,,61.00M,111.00M,,111.00M,,3.208B,3.825B,,3.825B,,,2.072B,89.00M,1.436B,7.333B,10.54B,,561.00M,10.77B,842.00M,1.465B,,,-3.923B,6.783B,,AOR,Restated
2015-03,1.104B,1.104B,3.135B,341.00M,3.38B,,,466.00M,227.00M,5.177B,,,,,,,2.429B,-1.635B,794.00M,7.16B,672.00M,7.832B,812.00M,1.209B,11.66B,16.83B,,1.699B,151.00M,136.00M,1.986B,,1.986B,,,,61.00M,,61.00M,,2.753B,3.828B,,3.828B,,,2.07B,91.00M,1.32B,7.218B,9.971B,,561.00M,10.52B,837.00M,1.051B,,,-4.09B,6.772B,,AOR,Restated
2014-12,1.958B,1.958B,3.142B,330.00M,3.377B,,,,198.00M,5.533B,0.00,401.00M,,1.193B,,854.00M,2.448B,-1.639B,809.00M,7.241B,692.00M,7.933B,1.358B,1.193B,12.26B,17.79B,,1.883B,,150.00M,2.033B,,2.033B,,,,11.00M,,11.00M,,3.677B,3.368B,,3.368B,,,2.244B,79.00M,1.371B,6.983B,10.66B,,561.00M,10.34B,930.00M,925.00M,,,-3.847B,7.054B,,AOR,Restated
2014-09,2.649B,2.649B,3.266B,335.00M,3.496B,,,478.00M,229.00M,6.852B,,,,,,,2.477B,-1.655B,822.00M,7.179B,635.00M,7.814B,516.00M,976.00M,11.14B,17.99B,,1.80B,153.00M,199.00M,2.152B,,2.152B,,,,640.00M,,640.00M,,4.13B,3.379B,,3.379B,,,1.094B,82.00M,1.469B,5.942B,10.07B,,561.00M,10.04B,922.00M,797.00M,,,-2.895B,7.833B,,AOR,Restated
2014-06,2.005B,2.005B,3.461B,351.00M,3.706B,,,480.00M,223.00M,6.414B,,,,,,,2.506B,-1.663B,843.00M,7.23B,641.00M,7.871B,546.00M,934.00M,11.17B,17.59B,,1.849B,154.00M,209.00M,2.212B,,2.212B,,,,333.00M,,333.00M,,3.53B,3.212B,,3.212B,,,1.123B,77.00M,1.495B,5.83B,9.36B,,561.00M,9.897B,914.00M,614.00M,,,-2.607B,8.151B,,AOR,Restated
2014-03,1.38B,1.38B,3.209B,355.00M,3.462B,,,484.00M,237.00M,5.563B,,,,,,,2.441B,-1.616B,825.00M,7.159B,640.00M,7.799B,564.00M,937.00M,11.01B,16.58B,,1.895B,139.00M,176.00M,2.21B,,2.21B,100.00M,,332.00M,432.00M,,432.00M,,3.343B,2.619B,,2.619B,,,1.135B,82.00M,1.437B,5.191B,8.534B,,561.00M,9.62B,909.00M,421.00M,,,-2.708B,7.961B,,AOR,Restated
2013-12,2.303B,2.303B,3.065B,343.00M,3.31B,,,482.00M,205.00M,6.30B,0.00,408.00M,,1.201B,,816.00M,2.425B,-1.597B,828.00M,6.893B,472.00M,7.365B,626.00M,882.00M,10.68B,16.98B,,1.861B,,148.00M,2.009B,,2.009B,,,,334.00M,,334.00M,,3.809B,2.621B,,2.621B,,,1.15B,70.00M,1.425B,5.196B,9.005B,,561.00M,9.452B,1.028B,515.00M,,,-2.621B,7.905B,,AOR,Restated
2013-09,2.174B,2.174B,3.12B,281.00M,3.294B,,,459.00M,234.00M,6.161B,,,,,,,2.435B,-1.611B,824.00M,6.865B,488.00M,7.353B,1.02B,838.00M,10.82B,16.98B,,1.83B,138.00M,148.00M,2.116B,,2.116B,,,,583.00M,,583.00M,,3.893B,2.623B,,2.623B,,,1.975B,78.00M,1.365B,5.963B,9.856B,,561.00M,9.151B,1.01B,467.00M,,,-3.213B,7.042B,,AOR,Restated
2013-06,1.23B,1.23B,3.162B,283.00M,3.345B,,,410.00M,229.00M,5.214B,,,,,,,2.399B,-1.595B,804.00M,6.804B,477.00M,7.281B,1.129B,742.00M,10.62B,15.84B,,1.786B,139.00M,171.00M,2.096B,,2.096B,,,,10.00M,,10.00M,,2.964B,2.703B,,2.703B,,,1.979B,67.00M,1.346B,6.028B,8.992B,,561.00M,9.036B,1.002B,385.00M,,,-3.435B,6.779B,,AOR,Restated
2013-03,1.263B,1.263B,2.994B,287.00M,3.176B,,,436.00M,222.00M,5.097B,,,,,,,2.379B,-1.586B,793.00M,,,7.199B,1.129B,739.00M,10.44B,15.54B,,1.808B,128.00M,148.00M,2.084B,,2.084B,,,,10.00M,,10.00M,,2.84B,2.705B,,2.705B,,,1.993B,73.00M,1.286B,5.984B,8.824B,,561.00M,8.786B,993.00M,321.00M,,,-3.379B,6.64B,,AOR,Restated
2012-12,2.301B,2.301B,2.858B,306.00M,3.058B,,,410.00M,194.00M,5.963B,0.00,412.00M,,1.168B,,811.00M,2.391B,-1.582B,809.00M,6.792B,469.00M,7.261B,1.223B,772.00M,10.32B,16.29B,,1.721B,,110.00M,1.831B,,1.831B,,,,260.00M,,260.00M,,3.564B,2.658B,,2.658B,,,2.094B,64.00M,1.366B,6.118B,9.682B,,561.00M,8.628B,1.107B,447.00M,,,-3.307B,6.542B,,AOR,Restated
2012-09,2.044B,2.044B,2.871B,297.00M,3.059B,,,334.00M,214.00M,5.651B,,,,,,,2.358B,-1.551B,807.00M,6.679B,434.00M,7.113B,1.192B,748.00M,10.08B,15.74B,,1.742B,126.00M,154.00M,2.022B,,2.022B,,,,259.00M,,259.00M,,3.506B,2.66B,,2.66B,,,1.594B,70.00M,1.396B,5.65B,9.156B,,561.00M,8.371B,1.076B,493.00M,,,-3.005B,6.51B,,AOR,Restated
2012-06,1.504B,1.504B,2.971B,238.00M,3.102B,,,381.00M,208.00M,5.195B,,,,,,,2.335B,-1.535B,800.00M,6.643B,443.00M,7.086B,1.153B,828.00M,10.01B,15.20B,,1.758B,126.00M,111.00M,1.995B,,1.995B,,,,259.00M,,259.00M,,3.17B,2.663B,,2.663B,,,1.574B,71.00M,1.451B,5.688B,8.858B,,561.00M,8.257B,1.053B,483.00M,,,-3.115B,6.273B,,AOR,Restated
2012-03,1.41B,1.41B,2.787B,327.00M,3.008B,,,390.00M,227.00M,5.035B,,,,,,,2.33B,-1.535B,795.00M,6.675B,454.00M,7.129B,1.143B,841.00M,9.975B,15.01B,,1.873B,121.00M,80.00M,2.074B,,2.074B,,,,259.00M,,259.00M,,3.032B,2.664B,,2.664B,,,1.606B,67.00M,1.443B,5.713B,8.745B,,561.00M,8.053B,1.018B,411.00M,,,-3.023B,6.198B,,AOR,Restated
2011-12,2.113B,2.113B,2.676B,335.00M,2.906B,,,376.00M,253.00M,5.648B,0.00,405.00M,,1.101B,,767.00M,2.273B,-1.469B,804.00M,6.562B,401.00M,6.963B,1.205B,795.00M,9.806B,15.45B,,2.016B,,63.00M,2.079B,,2.079B,,,,260.00M,,260.00M,,3.739B,2.668B,,2.668B,,,1.655B,57.00M,1.452B,5.775B,9.514B,,561.00M,7.949B,1.156B,595.00M,,,-3.188B,5.883B,,AOR,Restated
2011-09,1.714B,1.714B,2.682B,309.00M,2.925B,,,,391.00M,5.03B,,,,,,,2.287B,-1.483B,804.00M,6.539B,394.00M,6.933B,1.084B,793.00M,10.09B,15.12B,,1.819B,119.00M,80.00M,2.018B,,2.018B,,,,260.00M,,260.00M,,3.384B,2.67B,,2.67B,,,1.148B,58.00M,1.454B,5.272B,8.656B,,561.00M,7.696B,1.123B,640.00M,,,-2.333B,6.407B,,AOR,Restated
2011-06,1.659B,1.659B,2.895B,331.00M,3.111B,,,,416.00M,5.186B,,,,,,,2.189B,-1.366B,823.00M,6.595B,405.00M,7.00B,1.107B,914.00M,10.26B,15.45B,,1.881B,120.00M,110.00M,2.111B,,2.111B,,,,260.00M,,260.00M,,3.242B,2.773B,,2.773B,,,1.178B,53.00M,1.478B,5.429B,8.671B,,561.00M,7.688B,1.092B,536.00M,,,-2.078B,6.727B,,AOR,Restated
2011-03,1.33B,1.33B,2.704B,303.00M,3.212B,,,,394.00M,4.936B,,,,,,,2.289B,-1.461B,828.00M,6.557B,436.00M,6.993B,1.091B,881.00M,10.14B,15.07B,,1.796B,116.00M,49.00M,1.961B,,1.961B,,,,261.00M,,261.00M,,2.889B,2.771B,,2.771B,,,1.22B,58.00M,1.506B,5.497B,8.386B,,561.00M,7.528B,1.05B,327.00M,,,-2.183B,6.629B,,AOR,Restated
2010-12,1.894B,1.894B,2.544B,282.00M,3.035B,,,,347.00M,5.276B,0.00,402.00M,,1.079B,,752.00M,2.233B,-1.411B,822.00M,,,6.823B,1.205B,919.00M,10.03B,15.31B,,1.741B,,62.00M,1.803B,,1.803B,,,,8.00M,,8.00M,,3.105B,3.026B,,3.026B,,,1.211B,47.00M,1.553B,5.79B,8.895B,,561.00M,7.436B,1.185B,514.00M,,,-2.30B,6.368B,,AOR,Restated
2010-06,1.475B,1.475B,3.321B,,3.215B,,,,478.00M,5.168B,,,,,,,2.299B,-1.484B,815.00M,6.157B,342.00M,6.499B,1.144B,1.796B,10.45B,15.62B,,2.273B,109.00M,,2.382B,810.00M,3.192B,,,,558.00M,,558.00M,95.00M,3.845B,3.03B,,3.03B,,,1.136B,43.00M,1.567B,5.733B,9.578B,,561.00M,7.187B,1.149B,491.00M,,,-2.406B,6.00B,,AOR,Restated
2010-03,1.167B,1.167B,3.048B,,2.935B,,,,490.00M,4.592B,,,,,,,2.397B,-1.477B,920.00M,6.801B,449.00M,7.25B,1.096B,964.00M,10.37B,14.96B,,1.87B,109.00M,,1.979B,637.00M,2.616B,,,,558.00M,,558.00M,,3.174B,3.032B,,3.032B,,,,37.00M,2.742B,5.774B,8.948B,,561.00M,7.062B,1.109B,509.00M,,,-2.246B,5.977B,,AOR,Restated
2009-12,1.707B,1.707B,2.298B,358.00M,2.724B,,,,279.00M,4.931B,0.00,410.00M,,1.049B,,723.00M,2.182B,-1.332B,850.00M,,,6.219B,1.234B,2.009B,10.41B,15.34B,,1.751B,,0.00,1.751B,,1.751B,,,,558.00M,,558.00M,116.00M,3.715B,3.034B,,3.034B,,,1.182B,35.00M,1.543B,5.759B,9.474B,,561.00M,7.033B,1.211B,806.00M,,,-2.171B,5.828B,,AOR,Restated
2009-09,1.813B,1.813B,2.837B,,2.714B,,,,349.00M,4.876B,,,,,,,2.432B,-1.468B,964.00M,6.703B,344.00M,7.047B,1.126B,869.00M,10.46B,15.34B,,1.699B,106.00M,0.00,1.805B,1.038B,2.843B,,,,558.00M,,558.00M,,3.401B,3.037B,,3.037B,,,,35.00M,2.864B,5.901B,9.302B,,561.00M,7.013B,1.181B,915.00M,,,-1.836B,6.004B,,AOR,Restated
2009-06,1.291B,1.291B,2.972B,,2.854B,,,,345.00M,4.49B,,,,,,,2.381B,-1.411B,970.00M,,,6.983B,1.182B,899.00M,10.43B,14.92B,,1.712B,105.00M,24.00M,1.841B,820.00M,2.661B,,,,9.00M,,9.00M,,2.67B,3.588B,,3.588B,,,1.168B,33.00M,1.735B,6.491B,9.161B,,561.00M,6.90B,1.182B,992.00M,,,-1.924B,5.727B,,AOR,Restated
2009-03,1.414B,1.414B,2.858B,,2.746B,,,,350.00M,4.51B,,,,,,,2.27B,-1.325B,945.00M,,,7.129B,,2.057B,10.35B,14.86B,,1.67B,106.00M,19.00M,1.795B,594.00M,2.389B,,,,408.00M,,408.00M,,2.797B,3.59B,,3.59B,,,1.162B,34.00M,1.617B,6.369B,9.166B,,561.00M,7.202B,1.183B,1.154B,,,-2.132B,5.66B,,AOR,Restated
2008-12,1.685B,1.685B,2.755B,,2.755B,,,,344.00M,4.784B,0.00,395.00M,723.00M,1.152B,,,2.27B,-1.301B,969.00M,7.163B,,7.163B,,2.29B,10.42B,15.21B,,1.688B,,,1.688B,1.29B,2.978B,,,,408.00M,,408.00M,,3.386B,3.194B,,3.194B,,,,,2.904B,6.098B,9.484B,,561.00M,7.237B,1.245B,1.223B,-257.00M,-1.841B,-2.098B,5.722B,,,Restated
2008-09,1.461B,1.461B,2.914B,,2.914B,,,,430.00M,4.805B,,,,,,,2.438B,-1.401B,1.037B,7.335B,,7.335B,,2.849B,11.22B,16.03B,,1.686B,,,1.686B,1.116B,2.802B,,,,408.00M,,408.00M,104.00M,3.314B,3.197B,,3.197B,,,,,2.599B,5.796B,9.11B,,561.00M,7.157B,1.196B,1.236B,,,-762.00M,6.916B,,,
2008-06,1.165B,1.165B,3.143B,,3.143B,,,,453.00M,4.761B,,,,,,,2.465B,-1.416B,1.049B,7.376B,,7.376B,,3.246B,11.67B,16.43B,,1.787B,,,1.787B,943.00M,2.73B,,,,408.00M,,408.00M,103.00M,3.241B,3.199B,,3.199B,,,,,2.46B,5.659B,8.90B,,561.00M,7.273B,1.238B,1.288B,,,-252.00M,7.532B,,,Restated
2008-03,1.285B,1.285B,3.07B,,3.07B,,,,424.00M,4.779B,,,,,,,2.412B,-1.393B,1.019B,7.458B,,7.458B,,3.217B,11.69B,16.47B,,1.773B,,,1.773B,818.00M,2.591B,,,,9.00M,,9.00M,281.00M,2.881B,3.602B,,3.602B,,,,,2.467B,6.069B,8.95B,,561.00M,7.313B,1.193B,1.306B,,,-238.00M,7.523B,,,Restated
2007-12,2.133B,2.133B,2.874B,,2.874B,,,,447.00M,5.454B,0.00,410.00M,699.00M,1.257B,,,2.366B,-1.374B,992.00M,7.759B,,7.759B,,3.154B,11.90B,17.36B,,1.67B,,,1.67B,1.386B,3.056B,,,,260.00M,,260.00M,177.00M,3.493B,3.604B,,3.604B,,,,,2.44B,6.044B,9.537B,,561.00M,7.732B,1.242B,1.362B,,,-351.00M,7.822B,,,
2007-09,2.819B,2.819B,3.001B,,3.001B,,,,332.00M,6.152B,,,,,,,2.399B,-1.416B,983.00M,7.756B,,7.756B,,2.652B,11.39B,17.54B,,1.596B,,,1.596B,2.04B,3.636B,,,,262.00M,,262.00M,275.00M,4.173B,3.607B,,3.607B,,,,,2.841B,6.448B,10.62B,,561.00M,7.648B,1.11B,1.387B,,,-1.01B,6.922B,,,
2007-06,1.117B,1.117B,3.028B,,3.028B,,,,1.864B,6.009B,,,,,,,2.456B,-1.487B,969.00M,7.606B,,7.606B,,2.605B,11.18B,17.19B,,2.519B,,,2.519B,837.00M,3.356B,,,,1.341B,,1.341B,618.00M,5.315B,3.608B,,3.608B,,,,,2.607B,6.215B,11.53B,,561.00M,5.804B,1.097B,643.00M,,,-1.16B,5.659B,,,
