,NetIncome,Gain/LossonSaleBusiness,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2015-09,331.00M,0.00,4.00M,-37.00M,-31.00M,77.00M,31.00M,108.00M,108.00M,124.00M,,21.00M,-14.00M,156.00M,,-119.00M,-4.00M,,305.00M,338.00M,,877.00M,,-73.00M,1.00M,1.00M,-171.00M,27.00M,1.00M,-215.00M,,593.00M,-50.00M,543.00M,32.00M,-550.00M,-518.00M,-166.00M,-166.00M,-4.00M,-145.00M,,930.00M,517.00M,-117.00M,1.33B,,32.00M,546.00M,-3.00M,-550.00M,,AOR,Restated
2015-06,429.00M,0.00,-41.00M,0.00,-41.00M,79.00M,24.00M,103.00M,103.00M,3.00M,,22.00M,-13.00M,-273.00M,,120.00M,20.00M,,265.00M,132.00M,,635.00M,,-85.00M,0.00,0.00,-244.00M,-3.00M,-2.00M,-334.00M,,-2.00M,50.00M,48.00M,43.00M,-475.00M,-432.00M,-151.00M,-151.00M,-23.00M,-558.00M,,1.104B,-257.00M,83.00M,930.00M,,43.00M,51.00M,-3.00M,-475.00M,,AOR,Restated
2015-03,495.00M,,90.00M,-2.00M,89.00M,77.00M,24.00M,101.00M,101.00M,87.00M,,24.00M,-136.00M,-1.00M,,-158.00M,-26.00M,,-998.00M,-1.183B,,-523.00M,,-91.00M,1.00M,1.00M,-16.00M,-87.00M,-1.00M,-194.00M,,491.00M,0.00,491.00M,104.00M,-300.00M,-196.00M,-151.00M,-151.00M,-80.00M,64.00M,,1.958B,-653.00M,-201.00M,1.104B,,104.00M,493.00M,-2.00M,-300.00M,,AOR,Restated
2014-12,299.00M,,45.00M,0.00,140.00M,77.00M,22.00M,99.00M,99.00M,24.00M,,19.00M,3.00M,124.00M,,72.00M,27.00M,,171.00M,394.00M,,978.00M,,-83.00M,1.00M,1.00M,-442.00M,123.00M,-5.00M,-406.00M,,-11.00M,0.00,-11.00M,73.00M,-200.00M,-127.00M,-153.00M,-153.00M,-807.00M,-1.098B,,2.649B,-526.00M,-165.00M,1.958B,,73.00M,-7.00M,-4.00M,-200.00M,,AOR,Restated
2014-09,304.00M,,2.00M,-27.00M,-23.00M,76.00M,22.00M,98.00M,98.00M,20.00M,,23.00M,-15.00M,210.00M,,-48.00M,-3.00M,,317.00M,476.00M,,883.00M,,-83.00M,1.00M,1.00M,-33.00M,-119.00M,-1.00M,-235.00M,,476.00M,,476.00M,54.00M,-250.00M,-196.00M,-154.00M,-154.00M,-5.00M,121.00M,,2.005B,769.00M,-125.00M,2.649B,,54.00M,798.00M,-322.00M,-250.00M,,AOR,Restated
2014-06,438.00M,,14.00M,3.00M,19.00M,74.00M,20.00M,94.00M,94.00M,24.00M,,18.00M,-22.00M,-242.00M,,-21.00M,19.00M,,312.00M,68.00M,,638.00M,,-103.00M,0.00,0.00,-64.00M,2.00M,0.00,-165.00M,,593.00M,-100.00M,493.00M,44.00M,-250.00M,-206.00M,-138.00M,-138.00M,-22.00M,127.00M,,1.38B,600.00M,25.00M,2.005B,,44.00M,495.00M,-2.00M,-250.00M,,AOR,Restated
2014-03,456.00M,,12.00M,-13.00M,-1.00M,75.00M,22.00M,97.00M,97.00M,59.00M,,33.00M,-99.00M,-150.00M,,75.00M,-35.00M,,-816.00M,-926.00M,,-380.00M,,-99.00M,1.00M,1.00M,-319.00M,0.00,1.00M,-416.00M,,-3.00M,100.00M,97.00M,92.00M,-100.00M,-8.00M,-137.00M,-137.00M,-70.00M,-118.00M,,2.303B,-914.00M,-9.00M,1.38B,,92.00M,100.00M,-3.00M,-100.00M,,AOR,Restated
2013-12,307.00M,,-30.00M,-11.00M,-17.00M,73.00M,19.00M,92.00M,92.00M,47.00M,0.00,29.00M,-24.00M,-16.00M,,63.00M,72.00M,,213.00M,332.00M,,766.00M,,-113.00M,3.00M,3.00M,-32.00M,3.00M,-8.00M,-147.00M,,-2.00M,,-2.00M,98.00M,-150.00M,-52.00M,-139.00M,-139.00M,-291.00M,-484.00M,,2.174B,135.00M,-6.00M,2.303B,,98.00M,1.00M,-3.00M,-150.00M,,AOR,Restated
2013-09,259.00M,,-15.00M,-14.00M,-33.00M,71.00M,18.00M,89.00M,89.00M,66.00M,5.00M,34.00M,-24.00M,54.00M,,6.00M,-37.00M,,319.00M,342.00M,,738.00M,,-96.00M,0.00,0.00,-17.00M,8.00M,0.00,-105.00M,,494.00M,,494.00M,48.00M,-150.00M,-102.00M,-139.00M,-139.00M,-11.00M,242.00M,,1.23B,875.00M,69.00M,2.174B,,48.00M,496.00M,-2.00M,-150.00M,,AOR,Restated
2013-06,395.00M,,-23.00M,-23.00M,-43.00M,73.00M,17.00M,90.00M,90.00M,20.00M,,24.00M,-11.00M,-163.00M,,-12.00M,20.00M,,110.00M,-45.00M,,430.00M,,-104.00M,1.00M,1.00M,-90.00M,-10.00M,1.00M,-202.00M,,-3.00M,,-3.00M,71.00M,-150.00M,-79.00M,-128.00M,-128.00M,-18.00M,-228.00M,,1.263B,0.00,-33.00M,1.23B,,71.00M,0.00,-3.00M,-150.00M,,AOR,Restated
2013-03,424.00M,,36.00M,-21.00M,17.00M,69.00M,18.00M,87.00M,87.00M,51.00M,,42.00M,-349.00M,-120.00M,,92.00M,-54.00M,,-783.00M,-865.00M,,-593.00M,,-88.00M,1.00M,1.00M,2.00M,92.00M,1.00M,8.00M,,-202.00M,0.00,-202.00M,135.00M,-100.00M,35.00M,-127.00M,-127.00M,-70.00M,-364.00M,,2.301B,-949.00M,-89.00M,1.263B,,135.00M,50.00M,-252.00M,-100.00M,,AOR,Restated
2012-12,263.00M,,-10.00M,-5.00M,-5.00M,76.00M,19.00M,95.00M,95.00M,78.00M,0.00,154.00M,-129.00M,4.00M,,-46.00M,-56.00M,,214.00M,116.00M,,572.00M,,-71.00M,2.00M,2.00M,-141.00M,-6.00M,2.00M,-214.00M,,-2.00M,,-2.00M,97.00M,-50.00M,47.00M,-128.00M,-128.00M,-26.00M,-109.00M,,2.044B,249.00M,8.00M,2.301B,,97.00M,0.00,-2.00M,-50.00M,,AOR,Restated
2012-09,247.00M,,-44.00M,5.00M,-38.00M,68.00M,19.00M,87.00M,87.00M,-7.00M,8.00M,3.00M,-52.00M,45.00M,,49.00M,48.00M,,274.00M,416.00M,,684.00M,,-100.00M,3.00M,3.00M,-24.00M,34.00M,2.00M,-85.00M,,-3.00M,,-3.00M,56.00M,-80.00M,-24.00M,-127.00M,-127.00M,-10.00M,-164.00M,,1.504B,435.00M,105.00M,2.044B,,56.00M,0.00,-3.00M,-80.00M,,AOR,Restated
