,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2015-12,738.00M,7.00M,17.00M,,480.00M,480.00M,-12.00M,,,68.00M,96.00M,-1.138B,-109.00M,344.00M,,1.074B,171.00M,1.558B,,-804.00M,,-804.00M,-121.00M,-31.00M,4.00M,-952.00M,,702.00M,,702.00M,,-1.011B,-1.011B,,,-144.00M,-453.00M,,588.00M,153.00M,,741.00M,,,1.92B,-1.218B,-1.011B,322.00M,301.00M,,AOR,Restated
2015-09,573.00M,2.00M,2.00M,,482.00M,482.00M,-47.00M,,,68.00M,102.00M,-1.192B,-10.00M,-35.00M,,1.158B,-79.00M,1.101B,,-567.00M,,-567.00M,-84.00M,27.00M,2.00M,-622.00M,,-28.00M,,-28.00M,,-446.00M,-446.00M,,,-90.00M,-564.00M,,673.00M,-85.00M,,588.00M,,,30.00M,-58.00M,-446.00M,283.00M,539.00M,,AOR,Restated
2015-06,665.00M,5.00M,130.00M,,469.00M,469.00M,-539.00M,,,55.00M,25.00M,-889.00M,-89.00M,195.00M,,1.035B,252.00M,1.057B,,-558.00M,,-558.00M,-60.00M,45.00M,-4.00M,-577.00M,,155.00M,,155.00M,,-574.00M,-574.00M,,,26.00M,-393.00M,,586.00M,87.00M,,673.00M,,,3.008B,-2.853B,-574.00M,581.00M,323.00M,,AOR,Restated
2015-03,720.00M,-9.00M,-9.00M,,473.00M,473.00M,438.00M,,,48.00M,15.00M,-895.00M,-106.00M,-312.00M,,646.00M,-667.00M,1.018B,,-446.00M,,-446.00M,-13.00M,22.00M,5.00M,-432.00M,,-51.00M,,-51.00M,,-366.00M,-366.00M,,,-149.00M,-566.00M,,566.00M,20.00M,,586.00M,,,740.00M,-791.00M,-366.00M,,487.00M,,AOR,Restated
2014-12,676.00M,-9.00M,100.00M,,459.00M,459.00M,-22.00M,,,45.00M,25.00M,-990.00M,16.00M,486.00M,,832.00M,344.00M,1.627B,,-694.00M,,-694.00M,-656.00M,-59.00M,3.00M,-1.406B,,961.00M,,961.00M,,-1.00B,-1.00B,,,-131.00M,-170.00M,,515.00M,51.00M,,566.00M,,,2.60B,-1.639B,-1.00B,299.00M,317.00M,,AOR,Restated
2014-09,611.00M,12.00M,12.00M,,460.00M,460.00M,33.00M,,,41.00M,7.00M,-828.00M,-29.00M,63.00M,,758.00M,-36.00M,1.128B,,-569.00M,,-569.00M,-64.00M,-21.00M,6.00M,-648.00M,,-543.00M,,-543.00M,,0.00,0.00,,,-80.00M,-623.00M,,658.00M,-143.00M,,515.00M,,,-500.00M,-43.00M,0.00,241.00M,542.00M,,AOR,Restated
2014-06,632.00M,-11.00M,215.00M,,454.00M,454.00M,-238.00M,,,40.00M,9.00M,-702.00M,-96.00M,208.00M,,728.00M,138.00M,1.25B,,-513.00M,,-513.00M,1.00M,56.00M,1.00M,-455.00M,,-160.00M,,-160.00M,,-750.00M,-750.00M,7.00M,7.00M,-84.00M,-987.00M,,850.00M,-192.00M,,658.00M,,,2.78B,-2.94B,-750.00M,485.00M,376.00M,,AOR,Restated
2014-03,454.00M,-21.00M,-21.00M,,447.00M,447.00M,144.00M,,,37.00M,92.00M,-1.125B,-123.00M,-313.00M,,851.00M,-710.00M,443.00M,,-400.00M,,-400.00M,4.00M,-13.00M,,-409.00M,,520.00M,,520.00M,,0.00,0.00,-7.00M,-7.00M,-111.00M,402.00M,,414.00M,436.00M,,850.00M,,,1.062B,-542.00M,0.00,32.00M,523.00M,,AOR,Restated
2013-12,554.00M,-3.00M,-3.00M,,461.00M,461.00M,-15.00M,,,32.00M,24.00M,,,,,4.445B,173.00M,1.226B,,-596.00M,,-596.00M,-16.00M,-61.00M,1.00M,-672.00M,,-22.00M,,-22.00M,,-500.00M,-500.00M,13.00M,13.00M,-115.00M,-624.00M,,484.00M,-70.00M,,414.00M,,,340.00M,-362.00M,-500.00M,218.00M,368.00M,,AOR,Restated
2013-09,467.00M,1.00M,1.00M,,443.00M,443.00M,-25.00M,,,30.00M,13.00M,,,,,-29.00M,-29.00M,900.00M,,-451.00M,,-451.00M,-440.00M,-5.00M,12.00M,-884.00M,,118.00M,,118.00M,,0.00,0.00,-3.00M,-3.00M,-109.00M,6.00M,,462.00M,22.00M,,484.00M,,,630.00M,-512.00M,0.00,250.00M,555.00M,,AOR,Restated
