,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,1.638B,1.638B,1.035B,602.83M,435.03M,0.00,35.64M,2.058M,-33.58M,435.03M,167.80M,2.058M,35.64M,-33.58M,0.03M,-33.58M,134.25M,24.84M,109.41M,22.02M,,131.44M,109.41M,238.52M,68.62M,169.89M,0.71,0.14,,0.71,0.85,0.7,0.14,,0.7,0.84,154.52M,157.09M,0.47
2017-12,1.753B,1.753B,1.103B,649.89M,465.13M,113.04M,36.36M,1.822M,-34.54M,465.13M,184.76M,1.822M,36.36M,-34.54M,113.89M,-34.54M,264.10M,-25.54M,289.64M,6.803M,,296.45M,221.82M,371.58M,71.12M,300.47M,1.9,0.05,,1.464,1.9,1.88,0.04,,1.4509999999999998,1.88,155.74M,158.28M,0.47
2017-09,1.748B,1.748B,1.099B,649.19M,410.04M,0.00,35.37M,1.759M,-33.61M,410.04M,239.15M,1.759M,35.37M,-33.61M,1.236M,-33.61M,206.78M,47.32M,159.46M,19.46M,,178.91M,159.46M,314.68M,72.53M,242.15M,1.02,0.12,,1.02,1.15,1.01,0.12,,1.01,1.14,155.76M,157.56M,0.47
2017-06,1.737B,1.737B,1.083B,654.11M,421.27M,0.00,36.85M,2.335M,-34.52M,421.27M,232.84M,2.335M,36.85M,-34.52M,-0.259M,-34.52M,198.06M,55.58M,142.48M,21.58M,,164.06M,142.48M,278.94M,44.03M,234.91M,0.92,0.14,,0.92,1.05,0.9,0.14,,0.9,1.04,155.70M,157.51M,0.44
2017-03,1.813B,1.813B,1.152B,661.17M,486.26M,90.09M,36.41M,2.58M,-33.83M,486.26M,174.91M,2.58M,36.41M,-33.83M,90.89M,-33.83M,231.97M,59.72M,172.25M,,,172.25M,105.31M,363.98M,95.60M,268.38M,1.11,,,0.6796,1.11,1.09,,,0.6647,1.09,155.54M,157.40M,0.44
2016-12,1.027B,1.027B,651.56M,375.29M,216.68M,84.54M,35.08M,2.731M,-32.35M,216.68M,158.61M,2.731M,35.08M,-32.35M,85.09M,-32.35M,211.34M,56.95M,154.40M,,,161.16M,92.64M,246.43M,-13.75M,246.43M,1.04,0.0,,0.6425,1.04,1.03,0.0,,0.6363,1.03,155.38M,156.86M,0.44
2016-09,1.708B,1.708B,1.076B,631.79M,421.04M,0.00,33.79M,0.795M,-32.99M,421.04M,210.75M,0.795M,33.79M,-32.99M,3.424M,-32.99M,181.18M,51.09M,130.08M,,,130.08M,130.08M,301.69M,86.72M,214.96M,0.84,,,0.84,0.84,0.83,,,0.83,0.83,155.30M,156.80M,0.44
2016-06,1.686B,1.686B,1.055B,631.21M,437.41M,0.801M,33.78M,1.622M,-32.16M,437.41M,193.80M,1.622M,33.78M,-32.16M,2.854M,-32.16M,164.50M,46.21M,118.29M,,,118.29M,117.71M,286.37M,88.09M,198.28M,0.76,,,0.7563,0.76,0.76,,,0.7563,0.76,155.18M,156.60M,0.42
2016-03,1.622B,1.622B,1.033B,589.26M,443.45M,11.23M,33.32M,1.604M,-31.71M,443.45M,145.82M,1.604M,33.32M,-31.71M,13.52M,-31.71M,127.62M,28.27M,99.36M,,,99.36M,90.61M,249.55M,88.60M,160.94M,0.64,,,0.5836,0.64,0.64,,,0.584,0.64,155.06M,156.16M,0.42
2015-12,1.695B,1.695B,1.081B,613.81M,414.36M,,32.52M,1.271M,-31.25M,414.36M,199.44M,1.271M,32.52M,-31.25M,1.295M,-31.25M,169.49M,32.92M,136.57M,5.251M,,141.82M,136.57M,293.72M,91.71M,202.01M,0.88,0.03,,0.88,0.92,0.87,0.03,,0.87,0.91,154.96M,156.35M,0.42
2015-09,1.788B,1.788B,1.115B,672.61M,395.69M,,33.10M,1.115M,-31.98M,395.69M,276.92M,1.115M,33.10M,-31.98M,0.367M,-31.98M,245.30M,58.82M,186.48M,-0.385M,,186.10M,186.48M,355.58M,77.17M,278.40M,1.2,0.0,,1.2,1.2,1.19,0.0,,1.19,1.19,155.30M,156.56M,0.42
2015-06,1.759B,1.759B,1.104B,654.57M,402.70M,,33.05M,1.065M,-31.99M,402.70M,251.87M,1.065M,33.05M,-31.99M,1.256M,-31.99M,221.14M,65.51M,155.63M,176.76M,,332.40M,155.63M,332.22M,78.03M,254.19M,0.98,1.11,,0.98,2.1,0.97,1.1,,0.97,2.07,158.64M,160.40M,0.4
2015-03,1.716B,1.716B,1.088B,627.16M,434.63M,,33.00M,0.968M,-32.04M,434.63M,192.52M,0.968M,33.00M,-32.04M,4.187M,-32.04M,164.68M,47.48M,117.19M,92.32M,,209.51M,117.19M,277.86M,80.18M,197.68M,0.72,0.57,,0.72,1.3,0.72,0.57,,0.72,1.28,161.65M,163.32M,0.4
2014-12,1.978B,1.978B,1.254B,723.87M,460.38M,,32.56M,1.232M,-31.33M,460.38M,263.49M,1.232M,32.56M,-31.33M,-1.172M,-31.33M,230.99M,59.15M,171.84M,-2.541M,,169.29M,171.84M,344.84M,81.29M,263.55M,1.04,-0.02,,1.04,1.03,1.03,-0.02,,1.03,1.02,164.56M,166.08M,0.4
2014-09,2.010B,2.010B,1.235B,774.42M,426.16M,,32.50M,1.27M,-31.23M,426.16M,348.26M,1.27M,32.50M,-31.23M,1.032M,-31.23M,318.06M,92.38M,225.68M,6.161M,,231.84M,225.68M,425.04M,74.48M,350.56M,1.36,0.04,,1.36,1.4,1.34,0.04,,1.34,1.38,166.02M,168.34M,0.4
2014-06,1.963B,1.963B,1.195B,768.10M,438.82M,,32.93M,0.972M,-31.96M,438.82M,329.28M,0.972M,32.93M,-31.96M,6.233M,-31.96M,303.55M,92.97M,210.58M,3.378M,,213.96M,210.58M,412.03M,75.55M,336.48M,1.26,0.02,,1.26,1.29,1.25,0.02,,1.25,1.27,166.47M,168.86M,0.375
2014-03,1.803B,1.803B,1.095B,707.86M,433.40M,,33.69M,1.036M,-32.66M,433.40M,274.46M,1.036M,33.69M,-32.66M,-0.191M,-32.66M,241.61M,71.57M,170.04M,-9.903M,,160.14M,170.04M,351.17M,75.87M,275.30M,1.0,-0.06,,1.0,0.94,0.99,-0.06,,0.99,0.93,169.75M,172.01M,0.375
2013-12,1.518B,1.518B,933.69M,584.81M,356.60M,,31.68M,1.781M,-29.90M,356.60M,228.21M,1.781M,31.68M,-29.90M,3.905M,-29.90M,202.21M,56.19M,146.02M,47.94M,,193.96M,146.02M,296.82M,62.92M,233.89M,1.24,-0.1,,1.24,1.14,1.22,-0.1,,1.22,1.13,170.01M,172.58M,0.375
2013-09,1.940B,1.940B,1.184B,756.35M,408.26M,,30.99M,0.758M,-30.24M,408.26M,348.08M,0.758M,30.99M,-30.24M,-0.177M,-30.24M,317.67M,91.44M,226.24M,42.88M,,269.11M,226.24M,421.26M,72.60M,348.66M,1.33,0.25,,1.33,1.58,1.31,0.25,,1.31,1.56,170.54M,172.73M,0.375
2013-06,1.932B,1.932B,1.177B,755.82M,435.62M,,30.99M,0.754M,-30.23M,435.62M,320.20M,0.754M,30.99M,-30.23M,-1.647M,-30.23M,288.32M,30.26M,258.06M,71.99M,,330.05M,258.06M,391.11M,71.81M,319.30M,1.51,0.42,,1.51,1.93,1.49,0.42,,1.49,1.91,171.11M,173.10M,0.35
2013-03,1.764B,1.764B,1.082B,681.62M,416.44M,,30.87M,0.588M,-30.28M,416.44M,265.18M,0.588M,30.87M,-30.28M,2.889M,-30.28M,237.79M,70.57M,167.21M,42.79M,,210.00M,167.21M,339.36M,70.70M,268.66M,0.96,0.25,,0.96,1.21,0.95,0.24,,0.95,1.2,173.45M,175.57M,0.35
2012-12,536.14M,536.14M,289.47M,246.67M,148.94M,,31.78M,0.658M,-31.12M,148.94M,97.73M,0.658M,31.78M,-31.12M,-0.839M,-31.12M,65.76M,40.58M,25.18M,134.68M,,159.86M,25.18M,97.55M,-31.23M,97.55M,1.17,-0.27,,1.17,0.9,1.16,-0.27,,1.16,0.89,177.20M,179.50M,0.35
2012-09,2.098B,2.098B,1.287B,810.14M,451.94M,,31.10M,0.70M,-30.40M,451.94M,358.20M,0.70M,31.10M,-30.40M,-3.706M,-30.40M,324.09M,90.76M,233.33M,7.716M,,241.05M,233.33M,445.50M,90.32M,355.19M,1.28,0.04,,1.28,1.33,1.27,0.04,,1.27,1.31,181.76M,183.93M,0.35
2012-06,2.038B,2.038B,1.261B,777.10M,466.09M,,31.47M,1.758M,-29.72M,466.09M,311.01M,1.758M,31.47M,-29.72M,-0.364M,-29.72M,280.93M,75.78M,205.16M,8.945M,,214.10M,205.16M,401.94M,89.54M,312.41M,1.12,0.05,,1.12,1.17,1.1,0.05,,1.1,1.15,183.49M,185.78M,0.315
2012-03,1.955B,1.955B,1.209B,746.08M,453.99M,,31.64M,1.607M,-30.03M,453.99M,292.09M,1.607M,31.64M,-30.03M,-1.785M,-30.03M,260.28M,73.87M,186.41M,9.654M,,196.06M,186.41M,373.22M,81.31M,291.91M,1.01,0.05,,1.01,1.07,1.0,0.05,,1.0,1.05,183.74M,186.71M,0.315
2011-12,1.424B,1.424B,872.73M,550.77M,342.49M,,30.97M,1.978M,-28.99M,342.49M,208.29M,1.978M,30.97M,-28.99M,4.651M,-28.99M,183.95M,48.19M,135.76M,142.53M,,278.29M,135.76M,285.06M,70.15M,214.92M,0.74,0.77,,0.74,1.51,0.72,0.76,,0.72,1.48,184.79M,187.29M,0.315
2011-09,2.139B,2.139B,1.332B,806.28M,476.64M,-0.048M,31.70M,1.639M,-30.06M,476.64M,329.64M,1.639M,31.70M,-30.06M,-0.048M,-30.06M,299.53M,76.10M,223.44M,-51.16M,,172.28M,223.47M,415.51M,84.28M,331.23M,1.2,-0.28,,1.2,0.93,1.19,-0.28,,1.19,0.91,185.77M,188.44M,0.315
2011-06,1.995B,1.995B,1.219B,776.00M,448.40M,-1.477M,31.08M,2.923M,-28.16M,448.40M,327.60M,2.923M,31.08M,-28.16M,-1.477M,-28.16M,297.96M,58.76M,239.20M,10.57M,,249.77M,240.38M,397.47M,68.42M,329.04M,1.28,0.06,,1.286,1.34,1.26,0.06,,1.266,1.32,186.44M,189.70M,0.275
2011-03,1.812B,1.812B,1.100B,711.75M,453.43M,-1.188M,31.04M,2.718M,-28.32M,453.43M,258.32M,2.718M,31.04M,-28.32M,-1.188M,-28.32M,228.82M,54.03M,174.79M,20.11M,,194.90M,175.70M,327.48M,67.63M,259.85M,0.94,0.11,,0.9449,1.04,0.92,0.11,,0.9248,1.03,186.66M,190.09M,0.275
2010-12,1.086B,1.086B,621.24M,464.52M,300.95M,,28.67M,2.745M,-25.92M,300.95M,163.56M,2.745M,28.67M,-25.92M,-7.392M,-25.92M,137.92M,30.84M,107.08M,91.26M,,198.35M,107.08M,214.91M,48.32M,166.59M,0.57,0.49,,0.57,1.07,0.56,0.49,,0.56,1.04,186.84M,189.99M,0.275
2010-09,1.802B,1.802B,1.111B,690.79M,397.93M,9.786M,28.81M,2.477M,-26.34M,397.93M,292.87M,2.477M,28.81M,-26.34M,9.786M,-26.34M,256.75M,37.44M,219.31M,4.45M,,223.76M,210.95M,334.46M,48.90M,285.56M,1.17,0.02,,1.125,1.2,1.16,0.02,,1.1159999999999999,1.19,186.72M,188.56M,0.275
2010-06,1.787B,1.787B,1.098B,688.70M,423.81M,4.708M,29.00M,2.054M,-26.94M,423.81M,264.89M,2.054M,29.00M,-26.94M,4.708M,-26.94M,242.66M,70.76M,171.89M,-2.023M,,169.87M,168.56M,337.72M,66.07M,271.65M,0.92,-0.01,,0.9021,0.91,0.91,-0.01,,0.8923,0.9,186.82M,188.72M,0.26
2010-03,1.583B,1.583B,971.11M,612.16M,409.17M,1.241M,27.17M,,-27.17M,409.17M,202.99M,,27.17M,-27.17M,1.241M,-27.17M,177.06M,55.58M,121.48M,-13.36M,,108.13M,120.63M,270.17M,65.94M,204.23M,0.65,-0.07,,0.6454,0.58,0.65,-0.07,,0.6455,0.58,187.09M,187.89M,0.26
2009-12,1.507B,1.507B,941.23M,565.43M,400.64M,2.826M,26.84M,,-26.84M,400.64M,164.80M,,26.84M,-26.84M,2.826M,-26.84M,140.79M,38.35M,102.44M,-3.393M,,99.05M,100.38M,233.95M,66.32M,167.62M,0.55,-0.02,,0.539,0.53,0.54,-0.02,,0.5291,0.53,186.31M,187.98M,0.26
2009-09,1.500B,1.500B,941.34M,558.27M,378.12M,0.903M,26.30M,,-26.30M,378.12M,180.14M,,26.30M,-26.30M,0.903M,-26.30M,154.74M,47.26M,107.48M,-0.60M,,106.88M,106.86M,245.38M,64.34M,181.04M,0.58,0.0,,0.5766,0.57,0.58,0.0,,0.5766,0.57,186.15M,186.36M,0.26
2009-06,1.390B,1.390B,897.02M,493.31M,364.96M,-1.513M,24.84M,,-24.84M,364.96M,128.35M,,24.84M,-24.84M,-1.513M,-24.84M,102.00M,1.121M,100.87M,-3.794M,,97.08M,102.37M,190.57M,63.74M,126.84M,0.54,-0.02,,0.548,0.52,0.54,-0.02,,0.548,0.52,186.07M,186.29M,0.25
2009-03,1.379B,1.379B,896.94M,482.14M,367.39M,1.736M,22.40M,,-22.40M,367.39M,114.75M,,22.40M,-22.40M,1.736M,-22.40M,94.09M,33.00M,61.09M,-7.669M,,53.42M,59.97M,180.31M,63.82M,116.49M,0.33,-0.04,,0.3239,0.29,0.33,-0.04,,0.3239,0.29,186.01M,186.12M,0.25
2008-12,1.727B,1.727B,1.120B,606.50M,375.38M,3.80M,19.29M,,-19.29M,375.38M,231.12M,,19.29M,-19.29M,3.80M,-19.29M,215.63M,46.04M,169.58M,-48.86M,,120.73M,166.59M,298.19M,63.27M,234.92M,0.92,-0.26,,0.9039,0.65,0.91,-0.26,,0.8939,0.65,185.95M,185.95M,0.25
2008-09,1.966B,1.966B,1.261B,704.34M,434.99M,12.64M,25.92M,,-25.92M,434.99M,269.35M,,25.92M,-25.92M,12.64M,-25.92M,256.07M,65.74M,190.34M,-2.685M,,187.65M,180.94M,349.16M,67.17M,282.00M,1.02,-0.01,,0.9696,1.01,1.01,-0.01,,0.9599,1.0,186.49M,187.71M,0.25
2008-06,2.011B,2.011B,1.271B,739.62M,446.53M,-1.186M,27.39M,,-27.39M,446.53M,293.09M,,27.39M,-27.39M,-1.186M,-27.39M,264.51M,77.60M,186.91M,-51.63M,,135.28M,187.75M,357.30M,65.40M,291.90M,0.99,-0.27,,0.9944,0.72,0.98,-0.27,,0.9844,0.71,189.09M,190.59M,0.2
2008-03,1.865B,1.865B,1.186B,679.54M,443.78M,-2.533M,23.43M,,-23.43M,443.78M,235.77M,,23.43M,-23.43M,-2.533M,-23.43M,209.80M,61.88M,147.93M,-0.753M,,147.18M,149.71M,298.55M,65.31M,233.24M,0.77,0.0,,0.7793,0.76,0.77,0.0,,0.7792,0.76,192.42M,193.26M,0.2
2007-12,1.792B,1.792B,1.114B,678.26M,446.58M,-2.326M,,,,446.58M,231.67M,,,,-2.326M,,207.39M,48.74M,158.66M,26.71M,,185.36M,160.43M,296.84M,65.16M,231.67M,0.9,0.05,,0.9091,0.94,0.89,0.05,,0.899,0.94,195.62M,196.93M,0.2
2007-09,1.865B,1.865B,1.197B,668.36M,395.65M,-2.174M,,,,395.65M,272.71M,,,,-2.174M,,248.06M,65.94M,182.13M,-7.537M,,174.59M,183.72M,331.08M,58.37M,272.71M,0.91,-0.04,,0.9179,0.87,0.9,-0.04,,0.9079,0.86,200.85M,202.47M,0.2
2007-06,1.824B,1.824B,1.171B,653.62M,391.51M,0.045M,,,,391.51M,262.11M,,,,0.045M,,239.47M,64.80M,174.67M,-2.476M,,172.20M,174.64M,325.20M,63.09M,262.11M,0.85,-0.01,,0.8498,0.84,0.85,-0.01,,0.8498,0.84,204.43M,206.14M,0.185
2007-03,1.719B,1.719B,1.097B,622.39M,413.18M,0.28M,,,,413.18M,209.21M,,,,0.28M,,187.65M,53.16M,134.49M,-5.56M,,128.93M,134.29M,267.62M,58.41M,209.21M,0.66,-0.03,,0.659,0.63,0.65,-0.03,,0.649,0.63,204.46M,206.18M,0.185
2006-12,1.679B,1.679B,1.083B,596.54M,375.16M,-1.796M,,,,375.16M,221.38M,,,,-1.796M,,200.52M,45.96M,154.56M,-36.04M,,118.52M,155.95M,276.57M,55.18M,221.38M,0.81,-0.23,,0.8168,0.58,0.81,-0.23,,0.8167,0.58,204.20M,206.11M,0.185
2006-09,1.605B,1.605B,1.032B,573.04M,347.43M,-2.702M,,,,347.43M,225.61M,,,,-2.702M,,205.73M,50.44M,155.29M,12.24M,,167.52M,157.33M,271.54M,45.92M,225.61M,0.76,0.06,,0.77,0.82,0.76,0.06,,0.7699,0.82,203.68M,205.31M,0.185
2006-06,1.660B,1.660B,1.045B,614.94M,366.13M,-4.113M,,,,366.13M,248.82M,,,,-4.113M,,225.09M,66.70M,158.76M,-86.85M,,71.91M,161.65M,295.78M,46.96M,248.82M,0.78,-0.43,,0.7942,0.35,0.77,-0.43,,0.7841,0.35,203.90M,205.62M,0.17
2006-03,1.510B,1.510B,962.30M,547.91M,335.49M,-2.83M,,,,335.49M,212.42M,,,,-2.83M,,188.10M,56.81M,131.29M,72.54M,,203.83M,133.27M,259.98M,47.56M,212.42M,0.65,0.36,,0.6597,1.0,0.64,0.35,,0.6496,0.99,203.32M,204.96M,0.17
2005-12,1.212B,1.212B,762.72M,449.34M,283.35M,3.338M,,,,283.35M,165.99M,,,,3.338M,,144.69M,36.31M,108.38M,7.748M,,116.13M,105.88M,203.17M,37.18M,165.99M,0.6,-0.02,,0.5877,0.58,0.6,-0.03,,0.5877,0.57,202.74M,204.00M,0.17
2005-09,1.365B,1.365B,882.54M,482.06M,301.00M,0.957M,,,,301.00M,181.05M,,,,0.957M,,165.76M,42.72M,123.04M,-0.362M,,122.68M,122.33M,218.40M,37.35M,181.05M,0.61,0.0,,0.6065,0.61,0.6,0.0,,0.5965,0.6,202.57M,203.92M,0.17
2005-06,1.333B,1.333B,864.27M,469.05M,304.16M,5.711M,,,,304.16M,164.88M,,,,5.711M,,155.35M,45.88M,109.47M,63.73M,,173.20M,105.45M,196.39M,31.51M,164.88M,0.54,0.31,,0.5202,0.85,0.54,0.31,,0.5203,0.85,202.96M,203.98M,0.16
2005-03,1.449B,1.449B,951.54M,497.49M,351.44M,4.479M,,,,351.44M,146.05M,,,,4.479M,,134.39M,34.12M,100.26M,-2.131M,,98.13M,96.92M,188.55M,42.50M,146.05M,0.49,-0.01,,0.4736,0.48,0.49,-0.01,,0.4737,0.48,203.65M,204.90M,0.16
2004-12,593.16M,593.16M,338.06M,255.10M,166.04M,3.323M,,,,166.04M,89.06M,,,,3.323M,,77.19M,13.14M,64.06M,33.06M,,97.12M,61.30M,111.60M,22.54M,89.06M,0.31,0.16,,0.2964,0.48,0.31,0.16,,0.2965,0.48,203.41M,204.88M,0.16
2004-09,1.384B,1.384B,911.45M,472.44M,305.32M,1.645M,,,,305.32M,167.12M,,,,1.645M,,152.83M,40.18M,112.64M,7.62M,,120.26M,111.43M,204.30M,37.18M,167.12M,0.55,0.04,,0.544,0.59,0.55,0.04,,0.5441,0.59,203.34M,204.71M,0.16
2004-06,1.366B,1.366B,889.23M,476.49M,307.98M,0.189M,,,,307.98M,168.52M,,,,0.189M,,153.38M,45.33M,108.05M,4.216M,,112.26M,107.91M,205.33M,36.82M,168.52M,0.53,0.02,,0.5293,0.55,0.53,0.02,,0.5294,0.55,203.26M,204.79M,0.15
2004-03,1.242B,1.242B,806.52M,435.86M,303.18M,-0.313M,,,,303.18M,132.69M,,,,-0.313M,,117.70M,33.89M,83.81M,-0.697M,,83.11M,84.03M,170.89M,38.20M,132.69M,0.41,0.0,,0.4111,0.41,0.41,0.0,,0.4111,0.41,203.09M,204.76M,0.15
2003-12,1.198B,1.198B,787.05M,410.97M,289.89M,-4.609M,,,,289.89M,121.08M,,,,-4.609M,,101.89M,21.19M,80.70M,-4.383M,,76.32M,84.35M,158.86M,37.78M,121.08M,0.4,-0.02,,0.418,0.38,0.39,-0.02,,0.4079,0.37,202.78M,204.36M,0.15
2003-09,1.123B,1.123B,739.64M,383.27M,265.12M,-2.457M,,,,265.12M,118.16M,,,,-2.457M,,100.26M,25.02M,75.24M,9.12M,,84.36M,77.08M,156.08M,37.92M,118.16M,0.37,0.05,,0.3791,0.42,0.37,0.05,,0.379,0.42,202.57M,204.02M,0.15
2003-06,1.094B,1.094B,715.44M,378.56M,265.48M,-3.253M,,,,265.48M,113.09M,,,,-3.253M,,94.17M,22.58M,71.59M,1.191M,,72.78M,74.06M,151.79M,38.70M,113.09M,0.36,0.0,,0.3722,0.36,0.36,0.0,,0.3722,0.36,202.53M,203.34M,0.135
2003-03,998.37M,998.37M,650.76M,347.62M,256.18M,0.62M,,,,256.18M,91.44M,,,,0.62M,,75.58M,17.89M,57.69M,1.782M,,59.47M,57.22M,128.34M,36.90M,91.44M,0.28,0.01,,0.2777,0.29,0.28,0.01,,0.2777,0.29,202.43M,202.95M,0.135
2002-12,872.80M,872.80M,580.93M,291.87M,239.00M,-6.463M,,,,239.00M,52.87M,,,,-6.463M,,30.86M,-8.85M,39.71M,-24.68M,0.00,15.03M,43.58M,87.71M,34.84M,52.87M,0.21,-0.13,0.0,0.2293,0.07,0.21,-0.14,-0.0039,0.2291,0.07,200.47M,202.76M,0.135
2002-09,1.076B,1.076B,722.09M,354.01M,255.93M,-4.168M,,,,255.93M,98.08M,,,,-4.168M,,79.26M,21.92M,57.34M,-0.90M,,56.44M,60.36M,141.60M,43.53M,98.08M,0.28,0.0,,0.2949,0.28,0.28,0.0,,0.2948,0.28,202.65M,203.54M,0.135
2002-06,1.082B,1.082B,727.06M,354.78M,250.37M,-0.098M,,,,250.37M,104.41M,,,,-0.098M,,86.93M,21.62M,65.31M,-10.11M,,55.20M,65.39M,143.39M,38.98M,104.41M,0.32,-0.05,,0.3204,0.27,0.32,-0.05,,0.3204,0.27,202.66M,203.71M,0.135
2002-03,994.57M,994.57M,670.38M,324.19M,240.72M,3.996M,,,,240.72M,83.46M,,,,3.996M,,70.34M,21.92M,48.42M,-3.30M,-293.05M,-247.93M,45.67M,123.06M,39.60M,83.46M,0.24,-0.02,-0.0,0.2264,-1.22,0.24,-0.02,-1.446,0.2265,-1.22,202.66M,203.82M,0.135
