,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2017-09,2.779B,14.15B,16.92B,10.00B,,,,13.26B,879.00M,4.07B,2.977B,-1.00M,7.925B,,,,2.16B,40.29B,,,,,,,29.41B,-15.91B,13.50B,56.08B,49.72B,105.80B,7.311B,,1.858B,3.388B,131.86B,172.15B,,3.48B,1.909B,1.003B,6.392B,,6.392B,,9.448B,9.448B,9.448B,,,10.44B,28.22B,34.50B,34.50B,30.41B,30.41B,7.218B,,340.00M,6.388B,82.82B,111.04B,,485.00M,75.04B,83.83B,89.42B,22.00M,,,-9.164B,60.77B,,AOR,Restated
2017-06,2.585B,11.75B,14.33B,9.476B,,,,12.59B,813.00M,3.86B,2.911B,,7.584B,,,,1.876B,36.38B,,,,,,,28.89B,-15.51B,13.39B,55.01B,51.35B,106.36B,7.008B,,1.952B,3.466B,132.17B,168.56B,,3.439B,1.904B,552.00M,5.895B,,5.895B,,9.514B,9.514B,9.514B,,,10.15B,27.18B,34.19B,34.19B,30.88B,30.88B,7.076B,,326.00M,6.44B,82.68B,109.86B,,486.00M,74.11B,83.37B,89.42B,23.00M,,,-10.18B,58.37B,,AOR,Restated
2017-03,4.057B,10.50B,14.56B,8.892B,,,,11.68B,809.00M,3.445B,3.16B,1.00M,7.415B,,,,2.217B,35.88B,,,,,,,28.29B,-15.05B,13.24B,54.66B,52.43B,107.08B,7.346B,,1.909B,3.329B,132.90B,168.78B,,3.393B,0.00,790.00M,4.183B,,4.183B,,7.68B,7.68B,7.68B,,,11.14B,24.86B,36.33B,36.33B,30.86B,30.86B,7.042B,,311.00M,6.918B,85.17B,110.04B,,486.00M,74.85B,83.11B,89.41B,23.00M,,,-10.59B,58.44B,,AOR,Restated
2016-12,2.595B,15.26B,17.85B,8.225B,,,,11.27B,793.00M,3.696B,2.293B,1.00M,6.783B,,,,2.249B,38.95B,0.00,530.00M,9.81B,15.66B,,2.127B,28.12B,-14.81B,13.32B,54.45B,52.65B,107.10B,7.116B,,1.812B,3.323B,132.67B,171.62B,,4.536B,1.944B,437.00M,6.917B,,6.917B,5.80B,4.863B,10.66B,10.66B,,,11.05B,31.12B,30.40B,30.40B,30.75B,30.75B,8.172B,998.00M,296.00M,6.338B,80.66B,111.78B,,485.00M,71.77B,82.68B,84.36B,24.00M,,,-11.04B,59.54B,,AOR,Restated
2016-09,2.094B,12.28B,14.37B,9.836B,,,,12.66B,862.00M,3.965B,2.68B,,7.507B,,,,2.843B,38.50B,,,,,,,28.12B,-14.84B,13.28B,56.28B,54.24B,110.52B,9.507B,,1.859B,4.759B,139.93B,178.43B,,3.476B,1.821B,1.158B,6.455B,,6.455B,,,13.63B,13.63B,,,12.62B,34.76B,30.44B,30.44B,31.69B,31.69B,7.12B,,294.00M,6.059B,80.07B,114.83B,,486.00M,72.85B,82.53B,84.35B,25.00M,,,-8.214B,63.31B,,AOR,Restated
2016-06,3.411B,17.53B,20.94B,9.138B,,,,12.26B,950.00M,3.931B,2.734B,-1.00M,7.614B,,,,3.024B,43.84B,,,,,,,28.25B,-14.64B,13.61B,50.60B,43.06B,93.66B,13.12B,,1.805B,4.618B,126.81B,170.66B,,3.261B,1.82B,647.00M,5.728B,,5.728B,,,13.72B,13.72B,,,11.05B,32.10B,30.46B,30.46B,28.30B,28.30B,7.101B,,297.00M,5.519B,75.49B,107.59B,,486.00M,73.35B,82.14B,84.31B,25.00M,,,-8.891B,62.77B,,AOR,Restated
2016-03,2.561B,16.88B,19.44B,9.033B,,,,11.92B,840.00M,3.957B,2.782B,-1.00M,7.578B,,,,2.356B,41.30B,,,,,,,27.59B,-14.00B,13.58B,48.56B,39.60B,88.16B,14.15B,,1.738B,4.003B,121.63B,162.93B,,3.125B,0.00,920.00M,4.045B,,4.045B,,,11.55B,11.55B,,,11.42B,28.74B,27.82B,27.82B,26.55B,26.55B,7.244B,,279.00M,5.179B,70.85B,99.58B,,486.00M,74.97B,81.44B,84.31B,26.00M,,,-9.52B,63.07B,,AOR,Restated
2015-12,3.641B,19.65B,23.29B,8.176B,,,,10.84B,867.00M,3.932B,2.714B,,7.513B,,,,2.154B,43.80B,0.00,588.00M,9.604B,15.28B,1.00M,1.791B,27.27B,-13.50B,13.77B,48.24B,40.36B,88.60B,16.00B,,1.794B,3.42B,123.58B,167.38B,,3.62B,1.852B,418.00M,5.89B,,5.89B,,10.16B,10.16B,10.16B,,,10.99B,29.40B,28.74B,28.74B,26.88B,26.88B,8.119B,,278.00M,5.256B,72.98B,102.38B,,485.00M,71.99B,81.02B,79.25B,26.00M,,,-9.522B,64.72B,,AOR,Restated
2015-09,3.099B,17.56B,20.66B,9.535B,,,,9.535B,923.00M,4.198B,2.557B,,7.678B,,,4.883B,2.247B,45.00B,,,,,,,,,13.70B,47.22B,43.30B,90.51B,16.23B,,1.512B,3.911B,125.86B,170.87B,,3.294B,1.728B,1.178B,6.20B,,6.20B,,,9.818B,9.818B,,,9.672B,27.84B,29.08B,29.08B,28.65B,28.65B,8.725B,,286.00M,4.988B,75.90B,103.74B,,486.00M,74.02B,80.76B,79.26B,27.00M,,,-9.17B,66.84B,,AOR,Restated
2015-06,3.67B,26.59B,30.26B,8.951B,,,,8.951B,514.00M,3.458B,1.824B,,5.796B,,,4.263B,2.449B,51.72B,,,,,,,,,11.43B,41.57B,33.42B,75.00B,17.65B,,1.45B,3.635B,109.16B,160.88B,,2.93B,1.726B,1.057B,5.713B,,5.713B,,,8.394B,8.394B,,,8.39B,24.14B,26.73B,26.73B,24.66B,24.66B,8.498B,,286.00M,5.31B,69.56B,93.70B,,486.00M,73.62B,80.41B,79.10B,28.00M,,,-8.521B,66.89B,,AOR,Restated
2015-03,3.563B,24.14B,27.71B,8.92B,,,,8.92B,475.00M,3.414B,1.898B,-1.00M,5.786B,,,4.214B,2.815B,49.44B,,,,,,,,,11.53B,41.85B,34.33B,76.19B,18.29B,,1.477B,3.716B,111.20B,160.64B,,2.724B,0.00,944.00M,3.668B,,3.668B,,,6.555B,6.555B,,,8.32B,20.22B,29.37B,29.37B,24.47B,24.47B,9.051B,,283.00M,5.643B,72.83B,93.05B,,486.00M,74.47B,80.00B,79.10B,28.00M,,,-8.557B,67.30B,,AOR,Restated
2014-12,3.343B,32.78B,36.12B,8.401B,,,,10.97B,510.00M,3.248B,1.905B,,5.663B,,,,2.843B,55.60B,0.00,529.00M,9.355B,13.83B,,1.271B,24.99B,-13.23B,11.76B,42.07B,35.17B,77.24B,17.52B,,1.944B,3.513B,111.97B,167.57B,,3.21B,1.711B,531.00M,5.452B,,5.452B,,5.141B,5.141B,5.141B,,,9.153B,21.59B,31.54B,31.54B,23.32B,23.32B,10.26B,,321.00M,4.882B,74.36B,95.94B,,484.00M,72.18B,78.98B,73.02B,29.00M,,,-7.316B,71.30B,,AOR,Restated
2014-09,2.437B,31.01B,33.45B,9.955B,,,,9.955B,557.00M,3.597B,2.20B,1.00M,6.355B,,,4.687B,2.544B,56.99B,,,,,,,,,12.03B,42.72B,36.38B,79.10B,18.45B,,1.373B,3.421B,114.38B,171.36B,,2.973B,0.00,892.00M,3.865B,,3.865B,,,5.389B,5.389B,,,8.825B,19.92B,31.67B,31.67B,26.32B,26.32B,6.955B,,317.00M,4.266B,73.14B,93.06B,,485.00M,74.29B,78.50B,71.82B,30.00M,,,-3.467B,77.99B,,AOR,Restated
2014-06,3.406B,30.65B,34.05B,10.39B,,,,10.39B,588.00M,3.445B,2.216B,,6.249B,,,4.869B,2.727B,58.29B,,,,,,,,,12.18B,42.66B,37.36B,80.02B,17.17B,,1.383B,3.574B,114.32B,172.61B,,2.99B,1.65B,760.00M,5.40B,,5.40B,,,5.561B,5.561B,,,9.346B,21.94B,32.27B,32.27B,26.31B,26.31B,7.104B,,323.00M,4.238B,73.72B,95.66B,,485.00M,71.63B,78.21B,70.54B,31.00M,,,-3.152B,76.63B,,AOR,Restated
2014-03,2.862B,31.02B,33.88B,9.399B,,,,9.399B,527.00M,3.013B,2.526B,,6.066B,,,4.974B,3.473B,57.79B,,,,,,,,,12.35B,42.47B,38.12B,80.59B,15.82B,,1.498B,3.759B,114.02B,171.81B,,2.546B,1.00M,851.00M,3.398B,,3.398B,,,9.319B,9.319B,,,10.32B,24.79B,27.65B,27.65B,25.92B,25.92B,7.178B,,299.00M,4.416B,68.95B,93.74B,,486.00M,72.03B,77.85B,69.20B,32.00M,,,-3.39B,77.77B,,AOR,Restated
2013-12,2.183B,30.22B,32.41B,9.357B,,,,9.357B,505.00M,3.445B,2.216B,,6.166B,,,4.624B,3.689B,56.24B,0.00,557.00M,10.06B,13.96B,,1.102B,25.68B,-13.28B,12.40B,42.52B,39.38B,81.90B,16.41B,,1.554B,3.596B,115.86B,172.10B,,3.234B,1.663B,678.00M,5.575B,,5.575B,,6.027B,6.027B,6.027B,,,9.972B,23.37B,30.46B,30.46B,25.59B,25.59B,7.303B,,313.00M,4.767B,72.12B,95.48B,,486.00M,69.73B,77.28B,67.92B,33.00M,,,-3.271B,76.31B,,AOR,Restated
2013-09,2.052B,31.63B,33.68B,11.37B,,,,19.21B,410.00M,3.601B,2.471B,,6.482B,,,,,59.50B,,,,,,,,,12.36B,42.40B,40.55B,82.95B,15.73B,4.982B,,,116.02B,175.52B,,2.287B,1.00M,802.00M,3.09B,,3.09B,,,4.738B,4.738B,,,10.80B,20.37B,31.81B,31.81B,22.43B,22.43B,11.01B,,385.00M,4.515B,76.79B,97.17B,,487.00M,70.38B,76.76B,63.27B,35.00M,,,-6.383B,77.97B,,AOR,Restated
2013-06,2.436B,31.28B,33.71B,11.52B,,,,21.34B,576.00M,3.139B,2.567B,,6.282B,,,,,61.44B,,,,,,,,,12.44B,42.43B,41.78B,84.21B,16.11B,5.143B,,,117.90B,179.34B,,1.978B,1.685B,904.00M,4.567B,,4.567B,,,5.214B,5.214B,,,12.24B,23.45B,31.53B,31.53B,22.34B,22.34B,10.99B,,430.00M,5.231B,76.91B,100.36B,,487.00M,67.63B,76.41B,59.52B,36.00M,,,-6.465B,78.55B,,AOR,Restated
2013-03,2.134B,33.21B,35.35B,12.74B,,,,22.38B,916.00M,3.456B,2.663B,,7.035B,,,,,64.76B,,,,,,,,,13.95B,43.75B,44.11B,87.86B,15.39B,5.432B,,,122.64B,187.40B,,3.279B,5.00M,1.158B,4.442B,,4.442B,,,8.896B,8.896B,,,12.52B,27.54B,31.48B,31.48B,22.44B,22.44B,11.20B,,577.00M,5.138B,77.03B,104.57B,,488.00M,56.97B,75.78B,44.83B,38.00M,,,-6.155B,82.25B,,AOR,Restated
2012-12,10.08B,22.32B,32.40B,10.68B,,,,10.68B,448.00M,3.374B,2.254B,,6.076B,,,6.17B,3.567B,64.83B,0.00,566.00M,10.64B,13.80B,,957.00M,25.96B,-12.75B,13.21B,43.66B,45.15B,88.81B,14.15B,,1.565B,3.233B,120.97B,185.80B,,2.921B,1.733B,979.00M,5.633B,,5.633B,,6.424B,6.424B,6.424B,,,15.25B,29.19B,31.04B,31.04B,21.19B,21.19B,11.27B,,418.00M,4.851B,74.93B,104.12B,,487.00M,54.24B,72.61B,40.12B,39.00M,,,-5.953B,81.26B,,AOR,Restated
2012-09,4.506B,18.46B,22.97B,12.52B,,,,21.37B,888.00M,3.994B,2.634B,,7.516B,,,,,57.13B,,,,,,,,,14.61B,44.37B,47.21B,91.58B,13.43B,,,5.862B,125.48B,182.60B,,2.967B,1.00M,1.788B,4.756B,1.736B,6.492B,,,7.774B,7.774B,,,14.86B,29.13B,31.08B,31.08B,19.13B,19.13B,9.869B,,412.00M,5.261B,71.36B,100.49B,,488.00M,51.26B,72.32B,36.70B,41.00M,,,-5.653B,81.70B,,AOR,Restated
2012-06,3.031B,21.28B,24.31B,12.88B,,,,22.10B,773.00M,3.721B,2.507B,,7.001B,,,,,58.76B,,,,,,,,,14.76B,44.57B,48.40B,92.97B,10.55B,,,5.806B,124.08B,182.84B,,3.165B,1.826B,2.098B,7.089B,1.493B,8.582B,,,7.703B,7.703B,,,14.51B,30.80B,30.87B,30.87B,18.49B,18.49B,9.793B,,414.00M,5.836B,72.08B,102.88B,,489.00M,47.90B,72.03B,34.86B,42.00M,,,-6.008B,79.55B,,AOR,Restated
2012-03,2.934B,21.04B,23.97B,14.18B,,,,23.54B,935.00M,3.315B,2.939B,,7.189B,,,,,54.86B,,,,,,,,,16.19B,45.25B,52.80B,98.05B,10.63B,,,5.943B,130.82B,185.68B,,3.091B,1.00M,1.93B,5.022B,1.752B,6.774B,,,5.526B,5.526B,14.79B,14.79B,,27.09B,33.54B,33.54B,19.74B,19.74B,9.527B,,421.00M,5.119B,74.91B,102.01B,,489.00M,48.12B,71.79B,33.52B,43.00M,,,-3.622B,83.26B,,AOR,Restated
2011-12,3.182B,23.27B,26.45B,13.06B,,,,22.44B,785.00M,3.514B,2.311B,,6.61B,,,,,60.82B,0.00,737.00M,12.09B,15.12B,,1.294B,29.24B,-13.32B,15.92B,44.57B,51.18B,95.75B,9.814B,5.697B,,,127.18B,188.00B,,3.678B,1.796B,1.009B,6.483B,,6.483B,,4.016B,4.016B,4.016B,,,16.29B,28.91B,34.93B,34.93B,18.86B,18.86B,9.699B,,431.00M,6.10B,76.47B,105.38B,,490.00M,46.21B,71.42B,31.80B,45.00M,,,-4.129B,82.19B,,AOR,Restated
2011-09,3.706B,25.26B,28.96B,15.75B,184.00M,,,25.22B,874.00M,3.577B,3.975B,,8.426B,,,,,62.73B,,,,,,,,,17.72B,45.41B,55.60B,101.01B,9.468B,,,5.205B,133.40B,196.13B,,3.765B,0.00,2.215B,5.98B,,5.98B,,,5.637B,5.637B,,,14.24B,27.86B,35.40B,35.40B,20.42B,20.42B,8.793B,,483.00M,6.239B,77.75B,105.60B,,491.00M,48.12B,71.24B,28.59B,46.00M,,,-1.211B,90.05B,,AOR,Restated
2011-06,3.096B,22.39B,25.48B,15.19B,,462.00M,,24.92B,861.00M,4.189B,3.547B,,8.597B,,,,,60.48B,,,,,,,,,18.28B,45.11B,57.06B,102.17B,10.21B,,,4.761B,135.42B,195.90B,,3.698B,1.637B,1.849B,7.184B,,7.184B,,,5.988B,5.988B,,,15.48B,30.47B,35.72B,35.72B,20.07B,20.07B,8.909B,,482.00M,4.932B,76.46B,106.94B,,492.00M,44.32B,71.10B,26.47B,47.00M,,,-952.00M,88.48B,,AOR,Restated
2011-03,730.00M,23.28B,24.01B,15.18B,,406.00M,,24.34B,819.00M,3.909B,3.739B,,8.467B,,,,,58.24B,,,,,,,,,18.83B,44.85B,58.50B,103.35B,9.811B,,,4.718B,136.71B,194.96B,,3.75B,1.00M,1.958B,5.709B,,5.709B,,,6.093B,6.093B,,,15.52B,29.17B,35.31B,35.31B,19.41B,19.41B,8.97B,,466.00M,4.97B,75.25B,104.42B,,493.00M,44.93B,70.92B,24.22B,49.00M,,,-2.056B,90.07B,,AOR,Restated
2010-12,1.735B,26.28B,28.01B,14.61B,467.00M,,,15.08B,912.00M,3.733B,3.76B,,8.405B,,,8.411B,,60.47B,0.00,803.00M,13.40B,17.06B,,1.035B,32.30B,-13.18B,19.12B,43.95B,57.56B,101.50B,9.748B,,,4.17B,134.55B,195.01B,,4.026B,1.601B,946.00M,6.573B,2.108B,8.681B,,,5.623B,5.623B,,,14.30B,28.61B,38.41B,38.41B,18.65B,18.65B,9.236B,,452.00M,5.601B,78.14B,106.75B,,496.00M,42.72B,70.76B,22.71B,52.00M,,,-3.44B,87.81B,,AOR,Restated
2010-09,2.176B,20.29B,22.46B,14.30B,774.00M,,,15.08B,855.00M,3.799B,4.117B,,8.771B,,,7.284B,,54.09B,,,,,,,,,19.45B,43.79B,58.63B,102.41B,10.34B,,5.118B,,137.33B,191.42B,,3.206B,1.00M,1.62B,4.827B,1.853B,6.68B,,,5.158B,5.158B,12.33B,12.33B,,24.17B,39.01B,39.01B,16.94B,16.94B,8.454B,,433.00M,6.193B,79.18B,103.35B,,497.00M,42.87B,70.68B,22.71B,54.00M,,,-3.698B,87.64B,,AOR,Restated
2010-06,1.877B,17.39B,19.27B,14.01B,515.00M,,,14.53B,1.198B,4.083B,4.23B,,9.511B,,,7.113B,682.00M,51.10B,,,,,,,,,20.04B,43.14B,62.23B,105.37B,10.52B,,4.032B,,139.97B,191.07B,,3.078B,1.45B,727.00M,5.255B,1.789B,7.044B,,,5.509B,5.509B,12.13B,12.13B,,24.68B,37.76B,37.76B,17.34B,17.34B,9.215B,,439.00M,15.19B,79.51B,104.19B,,499.00M,42.01B,70.57B,22.21B,56.00M,,,-4.407B,86.44B,,AOR,Restated
2010-03,1.759B,15.50B,17.26B,13.61B,919.00M,,,14.53B,1.364B,4.233B,4.535B,,10.13B,,,7.502B,,49.92B,,,,,,,,,21.65B,42.65B,64.48B,107.13B,12.08B,,4.337B,,145.20B,195.11B,,3.028B,1.00M,765.00M,3.794B,2.06B,5.854B,,,7.769B,7.769B,12.30B,12.30B,,25.92B,38.28B,38.28B,17.46B,17.46B,9.358B,,423.00M,5.67B,79.11B,105.03B,,501.00M,42.43B,70.46B,21.70B,58.00M,,,-1.941B,89.66B,,AOR,Restated
2009-12,1.978B,23.99B,25.97B,14.64B,1.195B,,,15.84B,1.378B,5.776B,5.249B,,12.40B,,,6.962B,,61.67B,0.00,937.00M,14.19B,16.84B,,1.966B,33.92B,-11.14B,22.78B,42.38B,68.02B,110.39B,13.12B,,,4.986B,151.28B,212.95B,,4.37B,1.454B,10.11B,15.93B,2.242B,18.17B,,,5.469B,5.469B,,,13.58B,37.22B,43.19B,43.19B,17.84B,17.84B,9.635B,,432.00M,5.611B,85.28B,122.50B,,504.00M,40.43B,70.50B,21.63B,61.00M,,,552.00M,90.01B,,AOR,Restated
