,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2015-09,235.24M,,-136.19M,0.325M,-135.86M,147.55M,147.55M,0.00,0.00,3.076M,,-47.98M,6.943M,60.57M,20.64M,-45.10M,43.06M,258.91M,,,,-7.425M,0.00,174.86M,-5.781M,,197.90M,197.90M,,,,0.00,0.00,-118.78M,-20.36M,-139.15M,-0.371M,-39.70M,18.67M,,516.34M,271.80M,788.14M,,,1.13B,-932.10M,0.00,1.056M,77.79M,,AOR,Restated
2015-06,215.40M,,0.00,5.231M,5.231M,141.83M,141.83M,-90.03M,0.00,-24.22M,,-26.09M,-6.026M,-201.13M,-13.75M,-33.07M,-253.97M,-9.90M,,,,-113.55M,0.00,-0.074M,-624.47M,,246.32M,246.32M,,,,,,-118.71M,-20.36M,-139.08M,1.665M,-25.76M,83.14M,,1.068B,-551.23M,516.34M,,,946.46M,-700.14M,,4.409M,86.76M,,AOR,Restated
2015-03,125.25M,,-34.10M,2.405M,-31.70M,131.11M,131.11M,,0.256M,-17.64M,,45.84M,0.975M,62.66M,-12.69M,-125.42M,-74.48M,194.52M,,,,-23.91M,,18.04M,149.87M,,-107.43M,-107.43M,,,,,,-118.45M,-19.48M,-137.93M,9.079M,-239.01M,-475.30M,,1.198B,-130.91M,1.068B,,,800.00M,-907.43M,,2.175M,91.70M,,AOR,Restated
2014-12,575.99M,,-599.90M,-19.30M,-619.19M,159.45M,159.45M,0.00,5.676M,131.56M,,-31.33M,-5.507M,76.59M,7.679M,-48.29M,30.47M,306.74M,,,,-28.94M,,-20.51M,-377.33M,,-253.90M,-253.90M,,,,,,-137.11M,-20.37M,-157.47M,2.333M,-5.036M,-414.08M,,1.683B,-484.66M,1.198B,,,715.00M,-968.90M,,2.289M,126.38M,,AOR,Restated
2014-09,169.20M,,-60.46M,25.66M,-34.80M,135.77M,135.77M,0.00,0.00,-20.33M,,49.29M,-0.42M,53.51M,34.79M,-22.47M,65.41M,380.93M,,,,-28.80M,,-11.53M,-130.62M,,285.09M,285.09M,,,,,,-137.03M,-20.36M,-157.40M,3.613M,-69.69M,61.62M,,1.371B,311.92M,1.683B,,,315.00M,-29.91M,,2.681M,102.92M,,AOR,Restated
2014-06,165.69M,,-0.905M,53.74M,52.84M,134.32M,134.32M,0.00,0.00,-97.06M,,124.51M,5.269M,-192.72M,-29.40M,-37.75M,-254.60M,138.51M,,,,-46.26M,,76.64M,-149.28M,,718.04M,718.04M,,,,,,-136.93M,-20.37M,-157.30M,6.39M,-341.86M,225.26M,,1.157B,214.50M,1.371B,,,798.28M,-80.25M,,5.512M,114.03M,,AOR,Restated
2014-03,98.16M,,-9.635M,-1.979M,-11.61M,153.87M,153.87M,,20.84M,-14.17M,,-13.50M,-7.624M,53.84M,31.55M,-15.20M,62.58M,309.13M,,,,-16.63M,,121.60M,82.76M,,366.80M,366.80M,,,,,,-136.76M,-20.37M,-157.13M,3.098M,-31.23M,181.54M,,583.29M,573.44M,1.157B,,,600.00M,-233.20M,,1.214M,100.21M,,AOR,Restated
2013-12,-38.76M,,-270.76M,293.16M,95.38M,142.75M,142.75M,,-7.044M,59.48M,,-52.66M,20.62M,58.18M,-2.825M,-43.60M,32.37M,251.20M,,,,-17.68M,0.033M,-47.66M,-298.32M,,-66.79M,-66.79M,,,-0.23M,0.00,-0.23M,-136.58M,-20.37M,-156.95M,2.597M,-20.53M,-241.91M,,872.32M,-289.03M,583.29M,,-0.23M,661.89M,-728.68M,0.00,1.494M,114.36M,,AOR,Restated
2013-09,132.25M,,-14.12M,32.76M,18.63M,129.61M,129.61M,,0.72M,-12.37M,,-9.043M,9.459M,43.76M,11.79M,9.409M,74.42M,344.79M,,,,-153.15M,146.03M,6.536M,-50.28M,,-33.98M,-33.98M,,,0.00,0.00,0.00,-136.51M,-20.37M,-156.88M,0.587M,-13.57M,-203.84M,,781.66M,90.67M,872.32M,,0.00,17.00M,-50.98M,0.00,2.797M,115.31M,,AOR,Restated
2013-06,182.32M,,-75.74M,35.39M,-40.35M,140.72M,140.72M,,2.493M,-33.59M,,-1.788M,2.307M,-171.96M,-28.78M,-34.65M,-233.09M,29.87M,,,,220.89M,7.04M,49.63M,543.00M,,-186.62M,-186.62M,,,-0.174M,-36.90M,-37.07M,-136.48M,-19.29M,-155.77M,2.836M,-0.407M,-377.04M,,585.82M,195.83M,781.66M,,-0.174M,83.98M,-270.60M,-36.90M,2.907M,119.45M,,AOR,Restated
2013-03,288.93M,,-143.06M,-22.52M,-165.59M,148.92M,148.92M,,41.00M,-13.52M,,39.55M,51.51M,67.81M,-21.91M,-32.41M,65.01M,414.93M,,,,-39.89M,140.68M,14.78M,527.68M,,-1.030B,-1.030B,,,290.71M,-262.50M,28.21M,-136.34M,-23.16M,-159.50M,1.302M,-156.66M,-1.317B,,960.32M,-374.50M,585.82M,,290.71M,1.499B,-2.530B,-262.50M,1.825M,116.14M,,AOR,Restated
2012-12,91.89M,300.75M,-159.19M,-280.94M,-139.38M,138.88M,138.88M,,120.47M,33.54M,,-13.33M,-13.83M,42.35M,-12.95M,-100.08M,-84.52M,314.40M,,,,-18.73M,-23.32M,-70.32M,-676.27M,,1.143B,1.143B,,,-0.173M,0.00,-0.173M,-314.96M,-19.94M,-334.91M,1.509M,47.28M,856.31M,,465.88M,494.44M,960.32M,,-0.173M,1.82B,-677.40M,0.00,2.487M,123.85M,,AOR,Restated
2012-09,264.16M,-31.10M,-135.43M,-12.68M,-179.22M,133.39M,133.39M,,0.00,-5.558M,,53.75M,-0.473M,47.12M,8.606M,-99.70M,-44.45M,246.78M,,,,-6.523M,13.78M,-47.62M,-136.88M,,-15.08M,-15.08M,,,291.14M,-243.30M,47.84M,-128.23M,-18.46M,-146.69M,0.543M,-1.999M,-115.38M,,471.36M,-5.479M,465.88M,,291.14M,548.00M,-563.08M,-243.30M,12.73M,116.58M,,AOR,Restated
2012-06,58.23M,,36.98M,6.627M,43.61M,140.31M,140.31M,,13.51M,-21.14M,,-20.76M,10.42M,-151.21M,-14.67M,-121.95M,-277.42M,-43.24M,,,,-10.50M,13.41M,5.992M,-1.201M,,-22.54M,-22.54M,,,0.00,0.00,0.00,-128.15M,-17.79M,-145.93M,1.67M,68.25M,-98.56M,,614.36M,-143.00M,471.36M,,0.00,600.00M,-622.54M,0.00,3.931M,134.15M,,AOR,Restated
2012-03,280.26M,,-56.86M,-136.13M,-192.99M,145.30M,145.30M,,0.00,-6.844M,,-27.83M,-19.39M,51.20M,40.61M,22.58M,95.00M,307.10M,,,,-46.73M,0.00,-5.678M,172.10M,,-259.68M,-259.68M,,,0.00,0.00,0.00,-127.97M,-17.79M,-145.76M,-22.04M,-43.91M,-471.39M,,606.55M,7.806M,614.36M,,0.00,625.00M,-884.68M,0.00,2.563M,117.28M,,AOR,Restated
2011-12,96.99M,0.00,-47.28M,17.22M,-30.06M,166.00M,166.00M,,58.17M,1.823M,,-37.04M,-2.423M,60.78M,-60.93M,-135.50M,-138.08M,135.83M,,,,-131.06M,68.77M,36.92M,-163.09M,,155.01M,155.01M,,,-0.195M,0.00,-0.195M,-127.36M,-17.79M,-145.15M,2.343M,36.62M,48.63M,,585.18M,21.37M,606.55M,,-0.195M,1.229B,-1.074B,0.00,15.89M,142.24M,,AOR,Restated
2011-09,66.22M,0.00,36.24M,-3.836M,32.40M,141.01M,141.01M,,0.00,-5.639M,,-26.38M,22.77M,48.94M,18.98M,-23.56M,67.14M,306.63M,,,,-14.49M,-5.15M,30.17M,-24.93M,,-129.79M,-129.79M,,,24.50M,-20.00M,4.499M,-127.28M,-16.56M,-143.84M,1.618M,-20.51M,-288.03M,,591.52M,-6.332M,585.18M,,24.50M,900.00M,-1.030B,-20.00M,4.883M,132.16M,,AOR,Restated
2011-06,130.97M,,6.304M,-2.765M,3.539M,137.12M,137.12M,,0.00,-13.57M,,-18.99M,-1.003M,-152.26M,-17.66M,-22.03M,-192.95M,63.94M,,,,-110.25M,4.139M,64.66M,-37.16M,,-92.86M,-92.86M,,,214.54M,-8.00M,206.54M,-127.16M,-13.56M,-140.72M,5.682M,-32.26M,-53.62M,,618.36M,-26.85M,591.52M,,214.54M,346.65M,-439.50M,-8.00M,2.907M,148.32M,,AOR,Restated
2011-03,445.82M,,-75.00M,-129.23M,-288.14M,136.86M,136.86M,,,0.00,,-105.37M,-10.48M,34.76M,30.91M,-74.18M,-18.99M,196.10M,,,,-316.13M,15.16M,82.94M,60.42M,,-259.79M,-259.79M,,,,,,-126.94M,-13.56M,-140.50M,14.90M,56.44M,-328.95M,,690.79M,-72.43M,618.36M,,,937.52M,-1.197B,,2.509M,108.46M,,AOR,Restated
2010-12,282.14M,,-169.08M,23.62M,-244.99M,136.67M,136.67M,,,,,-113.31M,8.487M,51.42M,-75.51M,-70.60M,-86.20M,176.36M,,,,-6.117M,-335.73M,-35.09M,-571.46M,,336.46M,336.46M,,,0.00,-30.35M,-30.35M,-119.36M,-13.57M,-132.93M,14.80M,51.66M,239.63M,,846.25M,-155.46M,690.79M,,0.00,878.52M,-542.07M,-30.35M,18.61M,139.37M,,AOR,Restated
2010-09,116.13M,,-37.32M,4.553M,-32.04M,139.58M,139.58M,,,0.00,,-9.767M,-6.068M,-124.39M,54.58M,-93.97M,-169.86M,62.36M,,,,-117.13M,3.059M,-31.51M,-156.26M,,437.19M,437.19M,,,0.00,-35.60M,-35.60M,-118.66M,-13.57M,-132.22M,1.929M,16.74M,288.04M,,652.12M,194.13M,846.25M,,0.00,702.32M,-265.13M,-35.60M,1.487M,138.96M,,AOR,Restated
2010-06,77.21M,,-4.382M,16.55M,13.24M,139.81M,139.81M,,,0.00,,-12.28M,2.08M,34.43M,-2.561M,-19.01M,14.94M,244.32M,,,,-5.179M,137.67M,131.54M,200.02M,,-431.57M,-431.57M,,,0.00,-9.00M,-9.00M,-118.32M,-14.27M,-132.59M,8.964M,-16.96M,-581.15M,,788.94M,-136.82M,652.12M,,0.00,240.70M,-672.28M,-9.00M,2.16M,149.42M,,AOR,Restated
2010-03,232.54M,,-3.305M,-137.21M,-140.52M,140.25M,140.25M,,,,,-24.52M,-2.48M,44.86M,26.14M,4.659M,73.17M,288.05M,,,,-36.74M,11.37M,59.07M,7.342M,,135.09M,135.09M,,,,-4.00M,-4.00M,-117.96M,-14.27M,-132.22M,-24.36M,-16.43M,-41.93M,,535.48M,253.46M,788.94M,,,660.34M,-525.25M,-4.00M,1.701M,121.57M,,AOR,Restated
2009-12,-143.45M,,-3.838M,43.43M,92.50M,145.36M,145.36M,,,,,15.11M,3.772M,29.09M,-74.12M,-24.34M,-65.59M,144.09M,,,,-9.528M,-114.01M,31.65M,-164.40M,,-1.860B,-1.860B,0.00,0.00,,0.00,0.00,-68.31M,-14.27M,-82.58M,-30.48M,-30.92M,-2.004B,,2.560B,-2.025B,535.48M,,0.00,1.440B,-3.300B,0.00,-28.66M,-1.093B,,AOR,Restated
2009-09,155.84M,,-47.09M,-24.59M,-75.08M,135.89M,135.89M,,,,,-37.27M,-4.043M,-119.61M,62.80M,-14.83M,-75.68M,110.05M,,,,-3.026M,50.76M,21.28M,141.51M,,335.86M,335.86M,0.00,0.00,,0.001M,0.001M,-67.91M,-14.27M,-82.18M,0.544M,-14.27M,239.96M,,2.068B,491.51M,2.560B,,0.00,688.07M,-352.21M,0.001M,3.04M,140.74M,,AOR,Restated
2009-06,-40.38M,0.00,,16.51M,-1.174M,141.63M,141.63M,,,,,82.86M,8.185M,,-7.172M,18.92M,19.94M,209.63M,,,,-16.13M,-0.435M,129.96M,-40.88M,,-339.44M,-339.44M,710.23M,710.23M,,-0.001M,-0.001M,-67.06M,-14.27M,-81.33M,-0.49M,-14.66M,274.30M,,1.625B,443.05M,2.068B,,710.23M,166.28M,-505.72M,-0.001M,2.69M,188.86M,,AOR,Restated
2009-03,156.43M,0.00,,-107.74M,-113.64M,136.18M,136.18M,,,,,6.99M,7.469M,,14.89M,-46.88M,-24.53M,169.81M,,,,-9.582M,-2.047M,-23.70M,-178.43M,,215.56M,215.56M,,,,-24.33M,-24.33M,-59.12M,-14.27M,-73.38M,-0.032M,-10.61M,107.21M,,1.527B,98.60M,1.625B,,,353.86M,-138.29M,-24.33M,1.15M,132.21M,,AOR,Restated
2008-12,-227.67M,0.00,8.717M,226.95M,225.85M,139.77M,139.77M,0.00,-28.89M,,,85.50M,7.179M,34.37M,-94.18M,-4.396M,-57.02M,170.20M,,,,-40.98M,-153.39M,35.12M,-314.67M,,347.58M,347.58M,0.00,0.00,,0.00,0.00,-146.81M,-14.27M,-161.08M,-23.80M,-20.39M,142.31M,,1.529B,-2.159M,1.527B,,0.00,297.52M,50.07M,0.00,15.85M,194.92M,,AOR,Restated
2008-09,43.55M,0.00,-1.29M,10.94M,9.651M,145.88M,145.88M,0.00,19.82M,,,-20.01M,-15.85M,-46.82M,78.67M,-12.75M,3.239M,194.09M,,,,-18.97M,33.49M,-5.253M,-173.73M,,-41.18M,-41.18M,0.00,0.00,,0.00,0.00,-138.69M,-14.27M,-152.96M,9.841M,-19.09M,-203.39M,,1.712B,-183.02M,1.529B,,0.00,208.96M,-250.14M,0.00,2.075M,146.82M,,AOR,Restated
2008-06,145.82M,0.00,-56.75M,11.10M,-45.65M,134.73M,134.73M,0.00,0.00,,,-15.06M,3.343M,,-36.14M,34.82M,2.028M,231.94M,,,,-21.72M,6.854M,11.88M,37.57M,,70.74M,70.74M,0.00,0.00,,0.00,0.00,-138.45M,-14.28M,-152.72M,1.833M,-18.40M,-98.55M,,1.541B,170.96M,1.712B,,0.00,259.00M,-188.26M,0.00,2.278M,180.77M,,AOR,Restated
2008-03,449.75M,-112.69M,17.78M,-92.53M,-187.44M,156.96M,156.96M,-222.17M,9.073M,,,-6.43M,3.686M,,46.44M,-38.27M,11.86M,221.58M,,,,-74.55M,-0.656M,15.33M,-2.404M,,351.16M,351.16M,,,,0.00,0.00,-138.03M,-14.29M,-152.32M,10.31M,-41.83M,167.31M,,1.155B,386.48M,1.541B,,,956.50M,-605.34M,0.00,1.80M,135.87M,,AOR,Restated
2007-12,144.14M,0.00,-72.47M,15.40M,-57.07M,153.31M,153.31M,0.00,10.38M,,,-6.23M,-7.978M,,-69.72M,49.49M,-25.83M,210.23M,,,,-69.99M,81.96M,134.42M,-2.147M,,297.07M,297.07M,,,,,,-137.45M,-14.30M,-151.75M,-13.06M,-20.03M,112.24M,,834.27M,320.32M,1.155B,,,437.39M,-140.32M,,10.52M,196.14M,,,Restated
2007-09,130.84M,0.00,-47.36M,-5.723M,-51.38M,143.32M,143.32M,0.00,0.00,,,-27.52M,-22.64M,,58.59M,-54.64M,-18.70M,187.66M,,,,-34.82M,253.67M,-25.41M,101.01M,,-5.969M,-5.969M,,,,,,-129.32M,-14.30M,-143.62M,-0.56M,-47.75M,-197.90M,,743.51M,90.77M,834.27M,,,6.888M,-12.86M,,22.57M,167.84M,,AOR,Restated
2007-06,165.92M,0.00,-87.85M,1.952M,-85.90M,136.30M,136.30M,0.00,0.00,,,-25.79M,7.25M,,-8.155M,18.86M,17.96M,218.18M,,,,-75.57M,-73.30M,13.20M,-1.861B,,-334.62M,-334.62M,,,,,,-129.13M,-14.30M,-143.43M,3.469M,-23.89M,-498.47M,,2.885B,-2.141B,743.51M,,,223.49M,-558.11M,,2.495M,166.08M,,AOR,Restated
2007-03,166.93M,0.00,-10.29M,-81.28M,-85.60M,112.96M,112.96M,0.00,0.00,,,-5.683M,-2.506M,,-70.67M,-45.88M,-119.06M,81.26M,,,,-91.04M,-41.47M,-84.35M,-1.306B,,2.130B,2.130B,,,,,,-128.81M,-14.35M,-143.16M,1.835M,-112.85M,1.876B,,2.233B,651.36M,2.885B,,,2.287B,-156.76M,,0.907M,123.75M,,AOR,Restated
2006-12,119.78M,,-98.16M,55.72M,-24.56M,110.29M,110.29M,,,,,-28.64M,-8.674M,,108.57M,46.73M,146.63M,337.83M,,,,-138.50M,-54.55M,59.51M,-1.147B,,2.604B,2.604B,,,-0.043M,0.00,-0.043M,-197.45M,-14.35M,-211.80M,-133.50M,-606.81M,2.656B,,386.88M,1.846B,2.233B,,1.004B,3.345B,-741.29M,0.00,4.944M,132.72M,,AOR,Restated
