,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,InvestmentWriteOff,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2017-09,461.81M,528.76M,225.23M,303.53M,34.29M,34.29M,,,0.00,,77.09M,2.39M,-82.68M,139.26M,164.27M,2.39M,77.09M,-82.68M,-43.23M,-82.68M,38.36M,1.188M,37.18M,-47.93M,,-2.144M,16.13M,-12.90M,37.94M,233.10M,117.64M,115.46M,,0.09,-0.24,,0.1053,-0.15,,0.09,-0.24,,0.1052,-0.15,,189.59M,190.85M,0.60,,AOR,Restated
2017-06,456.95M,511.09M,215.70M,295.39M,35.40M,35.40M,,,,,76.81M,2.102M,-82.69M,140.53M,154.86M,2.102M,76.81M,-82.69M,56.59M,-82.69M,128.76M,-0.61M,129.37M,18.11M,,-15.38M,16.13M,132.10M,109.37M,349.59M,144.01M,205.58M,,0.52,0.09,,0.4956,0.61,,0.52,0.09,,0.4957,0.61,,189.40M,190.44M,0.71,,AOR,Restated
2017-03,508.06M,508.06M,220.66M,287.40M,47.24M,47.24M,,,0.501M,,74.16M,0.743M,-81.98M,152.36M,135.03M,0.743M,74.16M,-81.98M,7.327M,-81.98M,60.38M,1.851M,58.53M,15.32M,,-9.966M,16.13M,63.88M,44.61M,280.42M,145.89M,134.54M,,0.18,0.07,,0.1591,0.25,,0.18,0.07,,0.1592,0.25,,189.21M,190.37M,0.71,,AOR,Restated
2016-12,452.16M,513.97M,218.02M,295.95M,31.05M,31.05M,,,6.905M,,72.39M,5.262M,-74.94M,135.69M,160.26M,5.262M,72.39M,-74.94M,109.11M,-74.94M,194.43M,-0.998M,195.43M,509.12M,,-37.23M,16.13M,667.31M,185.04M,416.05M,149.23M,266.82M,,0.92,2.53,,1.062,3.45,,0.92,2.52,,1.061,3.43,,189.01M,190.43M,0.63,,AOR,Restated
2016-09,439.44M,502.75M,213.76M,288.99M,33.58M,33.58M,,,-1.069M,,71.82M,0.754M,-78.97M,139.46M,149.53M,0.754M,71.82M,-78.97M,9.524M,-78.97M,80.09M,4.563M,75.52M,25.08M,,-8.024M,19.05M,92.58M,64.14M,298.40M,146.50M,151.90M,,0.23,0.12,,0.2122,0.35,,0.23,0.12,,0.2123,0.35,,188.90M,190.05M,0.63,,AOR,Restated
2016-06,553.78M,621.71M,245.14M,376.57M,45.56M,45.56M,,,156.63M,,97.07M,0.748M,-104.83M,186.88M,189.69M,0.748M,97.07M,-104.83M,183.15M,-104.83M,268.02M,2.109M,265.91M,2.475M,,-27.56M,20.36M,240.83M,59.16M,513.98M,148.89M,365.08M,,1.16,0.01,,0.2108,1.17,,1.15,0.01,,0.2063,1.16,,188.77M,189.88M,0.63,,AOR,Restated
2016-03,544.84M,613.04M,256.35M,356.69M,48.70M,48.70M,,,-164.59M,,91.22M,0.748M,-99.74M,191.66M,165.03M,0.748M,91.22M,-99.74M,-154.78M,-99.74M,-89.49M,2.831M,-92.32M,0.716M,,-2.191M,20.36M,-93.80M,-3.296M,152.38M,150.65M,1.731M,,-0.61,0.00,,-0.1265,-0.61,,-0.61,0.00,,-0.1265,-0.61,,188.66M,188.66M,0.63,,AOR,Restated
2015-12,360.44M,134.81M,70.77M,64.04M,15.42M,15.42M,,,39.57M,,23.67M,1.258M,-28.93M,-7.778M,71.82M,1.258M,23.67M,-28.93M,66.65M,-28.93M,109.54M,-0.767M,110.31M,173.23M,,-32.44M,20.36M,251.11M,38.76M,278.93M,145.71M,133.21M,,0.36,0.87,,0.1526,1.23,,0.36,0.86,,0.1530,1.22,,188.54M,188.89M,0.63,,AOR,Restated
2015-09,550.46M,627.60M,256.56M,371.04M,36.16M,36.16M,,,101.52M,,87.48M,1.154M,-94.19M,178.08M,192.96M,1.154M,87.48M,-94.19M,104.86M,-94.19M,203.63M,2.856M,200.78M,34.46M,,-16.01M,20.36M,219.23M,82.41M,438.66M,147.55M,291.11M,,0.88,0.17,,0.3370,1.05,,0.88,0.17,,0.3400,1.05,,188.50M,189.58M,0.63,,AOR,Restated
2015-06,543.75M,616.29M,242.69M,373.60M,39.19M,39.19M,,,-4.061M,,84.60M,1.135M,-90.96M,176.15M,197.45M,1.135M,84.60M,-90.96M,21.20M,-90.96M,127.69M,-88.07M,215.76M,-0.364M,,-29.38M,20.36M,186.02M,171.44M,354.12M,141.83M,212.29M,,0.88,0.00,,0.8007,0.88,,0.87,0.00,,0.7912,0.87,,188.36M,189.60M,0.63,,AOR,Restated
2015-03,530.85M,606.80M,254.49M,352.31M,58.49M,58.49M,,,-0.121M,,84.22M,2.824M,-88.85M,182.61M,169.70M,2.824M,84.22M,-88.85M,29.19M,-88.85M,110.04M,0.971M,109.07M,16.18M,,-21.17M,19.48M,104.08M,58.13M,325.37M,131.11M,194.26M,,0.37,0.08,,0.2117,0.45,,0.37,0.08,,0.2128,0.45,,188.00M,189.34M,0.63,,AOR,Restated
2014-12,801.00M,597.01M,246.56M,350.45M,40.91M,40.91M,,,-14.44M,,85.46M,1.264M,-110.45M,162.40M,188.05M,1.264M,85.46M,-110.45M,33.66M,-110.45M,111.26M,2.498M,108.77M,467.22M,,-42.38M,20.36M,533.60M,53.87M,356.18M,159.45M,196.73M,,0.39,2.35,,0.3234,2.74,,0.38,2.34,,0.3138,2.72,,187.78M,188.98M,0.73,,AOR,Restated
2014-09,505.01M,578.71M,240.09M,338.62M,40.38M,40.38M,,,1.388M,,93.96M,1.129M,-99.69M,155.21M,183.42M,1.129M,93.96M,-99.69M,5.953M,-99.69M,89.68M,2.652M,87.03M,82.17M,,-17.67M,20.36M,151.52M,40.15M,319.41M,135.77M,183.64M,,0.29,0.41,,0.1344,0.70,,0.28,0.41,,0.1253,0.69,,187.67M,188.81M,0.73,,AOR,Restated
2014-06,511.00M,574.41M,230.40M,344.01M,40.48M,40.48M,,,-0.162M,,96.18M,1.034M,-102.88M,153.68M,190.34M,1.034M,96.18M,-102.88M,54.57M,-102.88M,142.02M,3.28M,138.74M,26.94M,,-68.68M,20.37M,97.01M,-33.02M,372.52M,134.32M,238.20M,,0.27,0.14,,-0.2797,0.41,,0.27,0.14,,-0.2766,0.41,,187.53M,188.62M,0.73,,AOR,Restated
2014-03,495.50M,562.38M,236.56M,325.82M,47.50M,47.50M,,,8.35M,,91.89M,2.384M,-93.93M,179.29M,146.53M,2.384M,91.89M,-93.93M,37.94M,-93.93M,90.54M,0.851M,89.69M,8.466M,,-15.44M,20.37M,82.72M,40.57M,336.30M,153.87M,182.43M,,0.29,0.04,,0.1102,0.33,,0.29,0.04,,0.1111,0.33,,187.31M,188.24M,0.73,,AOR,Restated
2013-12,496.46M,240.65M,145.02M,95.63M,31.50M,31.50M,,,-68.45M,,56.51M,5.90M,-59.20M,98.54M,-2.911M,5.90M,56.51M,-59.20M,-259.64M,-59.20M,-321.75M,-14.89M,-306.86M,268.11M,,-9.76M,20.37M,-48.52M,-350.71M,-122.49M,142.75M,-265.24M,,-1.72,1.35,,-1.902,-0.37,,-1.72,1.34,,-1.901,-0.37,,187.11M,187.80M,0.73,,AOR,Restated
2013-09,579.28M,668.99M,265.02M,403.97M,44.19M,44.19M,,,12.32M,,114.72M,4.766M,-114.91M,166.30M,237.67M,4.766M,114.72M,-114.91M,-12.56M,-114.91M,110.20M,2.222M,107.97M,24.28M,,-28.88M,20.37M,103.37M,61.17M,354.52M,129.61M,224.92M,,0.33,0.11,,0.2341,0.44,,0.33,0.11,,0.2345,0.44,,186.97M,187.72M,0.73,,AOR,Restated
2013-06,589.39M,671.22M,274.32M,396.90M,50.30M,50.30M,,,-2.345M,,115.90M,4.94M,-115.72M,183.48M,213.41M,4.94M,115.90M,-115.72M,18.21M,-115.72M,115.91M,2.877M,113.03M,69.29M,,-24.13M,20.37M,158.19M,38.47M,372.54M,140.72M,231.81M,,0.43,0.35,,0.1602,0.78,,0.43,0.35,,0.1613,0.78,,186.93M,187.72M,0.73,,AOR,Restated
2013-03,634.30M,718.71M,277.12M,441.59M,51.38M,51.38M,,,-37.32M,,114.97M,5.077M,-115.27M,190.70M,250.90M,5.077M,114.97M,-115.27M,-52.39M,-115.27M,83.24M,1.073M,82.16M,206.76M,,-26.00M,21.70M,262.92M,131.74M,347.12M,148.92M,198.21M,,0.20,1.04,,0.6047,1.24,,0.20,1.04,,0.6031,1.24,,186.75M,187.53M,0.73,,AOR,Restated
2012-12,847.59M,602.42M,289.16M,313.26M,39.53M,39.53M,,,-313.73M,,105.55M,4.994M,-106.54M,148.29M,164.97M,4.994M,105.55M,-106.54M,51.13M,-106.54M,109.56M,-9.187M,118.74M,-26.85M,,-5.758M,20.75M,86.14M,263.53M,353.99M,138.88M,215.11M,,0.47,-0.14,,1.278,0.33,,0.46,-0.14,,1.265,0.33,,186.27M,186.92M,0.69,,AOR,Restated
2012-09,613.46M,703.05M,331.94M,371.11M,48.46M,48.46M,,,-1.07M,,113.71M,2.852M,-116.48M,170.70M,200.41M,2.852M,113.71M,-116.48M,24.79M,-116.48M,108.73M,3.015M,105.71M,158.44M,,-22.85M,20.61M,241.31M,73.24M,355.82M,133.39M,222.43M,,0.45,0.80,,0.3982,1.25,,0.44,0.80,,0.3884,1.24,,185.92M,186.66M,0.69,,AOR,Restated
2012-06,600.42M,677.98M,297.42M,380.56M,46.83M,46.83M,,,2.297M,,118.40M,3.165M,-121.16M,175.20M,205.36M,3.165M,118.40M,-121.16M,-36.37M,-121.16M,47.84M,7.479M,40.36M,17.87M,,-19.93M,17.79M,38.30M,46.80M,306.55M,140.31M,166.24M,,0.02,0.09,,0.1621,0.11,,0.02,0.09,,0.1615,0.11,,185.67M,186.34M,0.69,,AOR,Restated
2012-03,590.44M,669.24M,299.51M,369.73M,55.29M,55.29M,,,-0.685M,,124.63M,2.851M,-127.21M,186.83M,182.90M,2.851M,124.63M,-127.21M,160.02M,-127.21M,215.72M,6.825M,208.89M,71.37M,,-28.74M,17.79M,251.52M,158.37M,485.65M,145.30M,340.35M,,0.90,0.36,,0.7825,1.26,,0.90,0.35,,0.7865,1.25,,185.37M,191.89M,0.69,,AOR,Restated
2011-12,889.92M,651.98M,255.56M,396.42M,54.17M,54.17M,,0.00,-5.685M,,119.60M,4.854M,-120.11M,197.01M,199.40M,4.854M,119.60M,-120.11M,23.34M,-120.11M,102.63M,5.377M,97.25M,-0.265M,,-9.691M,17.79M,87.30M,50.95M,388.23M,166.00M,222.23M,,0.38,-0.01,,0.1817,0.37,,0.38,-0.01,,0.1831,0.37,,184.57M,185.97M,0.69,,AOR,Restated
2011-09,602.10M,687.86M,296.26M,391.60M,46.12M,46.12M,,0.00,-0.99M,,127.33M,3.442M,-128.56M,173.06M,218.55M,3.442M,127.33M,-128.56M,-25.25M,-128.56M,64.74M,6.959M,57.78M,8.444M,,-12.46M,17.63M,53.76M,72.82M,333.08M,141.01M,192.07M,,0.18,0.04,,0.3291,0.22,,0.18,0.04,,0.3278,0.22,,184.40M,186.06M,0.69,,AOR,Restated
2011-06,618.14M,696.04M,287.17M,408.87M,49.80M,49.80M,,0.00,-1.897M,,130.17M,3.083M,-132.28M,175.60M,233.27M,3.083M,130.17M,-132.28M,25.25M,-132.28M,126.24M,5.641M,120.60M,10.37M,,-22.39M,16.67M,108.58M,79.24M,393.53M,137.12M,256.41M,,0.44,0.06,,0.3370,0.50,,0.44,0.05,,0.3381,0.49,,184.27M,186.14M,0.69,,AOR,Restated
2011-03,637.21M,726.88M,324.64M,402.24M,58.95M,58.95M,,-82.74M,71.15M,,130.08M,2.644M,-132.07M,188.78M,213.46M,2.644M,130.08M,-132.07M,233.18M,-132.07M,314.58M,6.382M,308.20M,137.63M,,-33.16M,13.45M,412.66M,175.09M,581.51M,136.86M,444.65M,,1.47,0.70,,0.9268,2.17,,1.45,0.67,,0.9282,2.12,,183.99M,191.53M,0.69,,AOR,Restated
2010-12,791.40M,520.36M,180.50M,339.86M,58.17M,58.17M,,-29.99M,118.65M,,113.77M,2.659M,-113.36M,159.81M,180.06M,2.659M,113.77M,-113.36M,203.07M,-113.36M,269.78M,6.144M,263.63M,18.51M,,-25.17M,13.56M,256.97M,18.85M,520.22M,136.67M,383.55M,,1.24,0.09,,0.0420,1.33,,1.23,0.09,,0.0439,1.32,,183.32M,185.16M,0.65,,AOR,Restated
2010-09,591.78M,687.12M,275.08M,412.05M,55.20M,55.20M,,0.00,3.427M,,140.39M,2.62M,-142.94M,185.80M,226.25M,2.62M,140.39M,-142.94M,41.94M,-142.94M,125.25M,5.449M,119.80M,-3.667M,,-11.88M,13.44M,104.25M,65.24M,405.22M,139.58M,265.64M,,0.54,-0.02,,0.3061,0.52,,0.54,-0.02,,0.3083,0.52,,182.46M,184.17M,0.65,,AOR,Restated
2010-06,597.57M,683.99M,261.84M,422.14M,49.54M,49.54M,,6.90M,-5.52M,,137.66M,2.325M,-139.85M,182.82M,239.33M,2.325M,137.66M,-139.85M,-13.62M,-139.85M,85.86M,4.964M,80.89M,-3.681M,,-5.105M,14.27M,72.11M,74.97M,363.32M,139.81M,223.52M,,0.34,-0.02,,0.3355,0.32,,0.33,-0.02,,0.3255,0.31,,182.03M,183.64M,0.65,,AOR,Restated
2010-03,593.38M,685.31M,274.69M,410.62M,48.63M,48.63M,,0.00,3.305M,,131.30M,2.715M,-133.01M,182.42M,228.20M,2.715M,131.30M,-133.01M,152.51M,-133.01M,247.69M,5.58M,242.11M,-9.57M,,-17.99M,14.27M,214.55M,211.11M,519.24M,140.25M,379.00M,,1.15,-0.05,,1.078,1.10,,1.14,-0.05,,1.069,1.09,,181.54M,183.44M,0.65,,AOR,Restated
2009-12,551.66M,632.02M,235.98M,396.03M,50.20M,50.20M,,,-319.56M,,15.13M,5.556M,-14.45M,170.89M,225.14M,5.556M,15.13M,-14.45M,-349.93M,-14.45M,-139.23M,4.869M,-144.10M,0.653M,,6.527M,14.27M,-136.92M,63.17M,21.25M,145.36M,-124.10M,,-0.90,0.00,,0.2157,-0.90,,-0.90,0.00,,0.1977,-0.90,,179.92M,182.88M,0.3767,,AOR,Restated
2009-09,581.69M,671.22M,265.95M,405.27M,51.68M,51.68M,,,7.839M,,153.86M,6.521M,-151.68M,182.19M,223.08M,6.521M,153.86M,-151.68M,46.39M,-151.68M,117.79M,5.267M,112.52M,43.32M,,-15.23M,14.27M,140.62M,78.58M,407.54M,135.89M,271.64M,,0.48,0.23,,0.3752,0.71,,0.48,0.22,,0.3766,0.70,,178.69M,180.98M,0.3750,,AOR,Restated
2009-06,590.42M,673.79M,269.71M,404.08M,49.63M,49.63M,,,17.68M,,277.49M,9.78M,-272.02M,186.32M,217.76M,9.78M,277.49M,-272.02M,15.98M,-272.02M,-38.28M,5.457M,-43.74M,3.363M,,2.74M,14.27M,-37.64M,-60.49M,380.84M,141.63M,239.21M,,-0.32,0.02,,-0.4336,-0.30,,-0.32,0.02,,-0.4336,-0.30,,171.53M,171.53M,0.3687,,AOR,Restated
2009-03,580.54M,678.57M,278.90M,399.67M,79.06M,79.06M,,,5.905M,,153.71M,10.32M,-147.44M,210.72M,188.95M,10.32M,153.71M,-147.44M,117.38M,-147.44M,158.89M,5.049M,153.84M,2.592M,,-16.32M,14.27M,140.11M,131.20M,448.78M,136.18M,312.60M,,0.79,0.02,,0.7495,0.81,,0.78,0.02,,0.7398,0.80,,155.99M,157.10M,0.9471,,AOR,Restated
2008-12,559.00M,642.96M,255.15M,387.81M,44.80M,44.80M,,58.43M,-130.85M,,187.98M,,-147.48M,176.13M,211.68M,,187.98M,-147.48M,-297.45M,-147.48M,-233.25M,2.526M,-235.78M,8.111M,,14.99M,14.27M,-212.68M,-135.74M,94.50M,139.77M,-45.28M,,-1.440,0.0942,,-0.8114,-1.346,,-1.440,0.0941,,-0.8238,-1.346,,135.31M,138.05M,0.9315,,AOR,Restated
2008-09,578.25M,676.07M,276.12M,399.95M,49.49M,49.49M,,5.00M,0.16M,,143.75M,,-148.01M,186.04M,213.91M,,143.75M,-148.01M,-17.96M,-148.01M,47.94M,5.244M,42.70M,0.846M,,-6.54M,14.27M,37.01M,36.02M,337.57M,145.88M,191.70M,,0.1394,0.00,,0.1385,0.1394,,0.1394,0.00,,0.1385,0.1394,,160.45M,165.14M,0.8825,,AOR,Restated
2008-06,589.47M,674.36M,256.36M,418.01M,50.28M,50.28M,,,2.66M,,131.31M,,-135.97M,181.23M,236.77M,,131.31M,-135.97M,-8.415M,-135.97M,92.39M,4.915M,87.48M,58.34M,,-14.68M,14.27M,131.13M,70.27M,358.44M,134.73M,223.70M,,0.4063,0.3270,,0.3905,0.7333,,0.3964,0.3171,,0.3811,0.7135,,159.97M,164.79M,0.8825,,AOR,Restated
2008-03,562.12M,649.28M,261.25M,388.03M,49.38M,49.38M,,,-2.283M,,139.11M,,-143.35M,180.00M,208.04M,,139.11M,-143.35M,55.66M,-143.35M,120.34M,-217.33M,337.67M,112.08M,,-45.91M,14.28M,403.84M,293.24M,416.40M,156.96M,259.45M,,1.834,0.6177,,1.843,2.451,,1.755,0.5785,,1.764,2.334,,159.19M,169.56M,0.8825,,AOR,Restated
2007-12,567.80M,651.89M,252.53M,399.37M,50.93M,50.93M,,,-26.40M,,404.73M,,-287.22M,173.24M,226.12M,,404.73M,-287.22M,107.82M,-287.22M,46.73M,3.776M,42.96M,42.46M,,-7.569M,14.29M,77.85M,59.65M,604.77M,153.31M,451.47M,,0.2208,0.2431,,0.3898,0.4639,,0.2184,0.2431,,0.3875,0.4639,,143.55M,143.55M,0.8825,,,Restated
2007-09,547.78M,637.08M,259.00M,378.08M,47.89M,47.89M,,,1.012M,,89.60M,,-93.14M,166.88M,211.20M,,89.60M,-93.14M,6.113M,-93.14M,124.17M,2.806M,121.36M,24.54M,,-15.06M,14.30M,130.84M,105.31M,357.09M,143.32M,213.77M,,0.5981,0.1569,,0.5918,0.7550,,0.5687,0.1569,,0.5626,0.7256,,155.01M,161.66M,0.8335,,AOR,Restated
2007-06,505.95M,583.22M,227.21M,356.01M,49.79M,49.79M,,,15.78M,,16.93M,,-20.60M,160.56M,195.45M,,16.93M,-20.60M,14.77M,-20.60M,189.62M,2.508M,187.11M,0.478M,,-21.67M,14.30M,165.92M,149.87M,342.85M,136.30M,206.55M,,0.9805,0.00,,0.8800,0.9805,,0.9413,0.00,,0.8484,0.9413,,154.81M,167.50M,0.8335,,AOR,Restated
2007-03,463.78M,536.24M,212.80M,323.44M,40.42M,40.42M,,,-7.898M,,77.19M,,-77.19M,129.42M,194.02M,,77.19M,-77.19M,73.33M,-77.19M,190.15M,0.089M,190.06M,-1.135M,,-22.00M,14.30M,166.93M,175.96M,380.30M,112.96M,267.34M,,1.000,-0.0098,,1.051,0.9904,,0.9511,-0.0098,,0.9983,0.9413,,154.43M,167.25M,0.8335,,AOR,Restated
2006-12,-138.98M,-69.39M,-258.90M,189.51M,31.64M,31.64M,,,10.55M,,-63.08M,,62.75M,60.87M,128.64M,,-63.08M,62.75M,-50.61M,62.75M,140.78M,-1.871M,142.66M,-5.65M,,-17.23M,14.35M,119.78M,119.10M,188.00M,110.29M,77.70M,,0.7550,-0.0392,,0.7120,0.7158,,0.7060,-0.0392,,0.6654,0.6766,,147.20M,155.76M,0.8335,,AOR,Restated
2006-09,607.30M,675.93M,346.56M,329.37M,52.10M,52.10M,,,8.032M,,12.93M,,-17.19M,153.90M,175.47M,,12.93M,-17.19M,-10.71M,-17.19M,147.57M,0.382M,147.19M,0.577M,,-19.79M,14.35M,127.98M,119.39M,263.02M,102.52M,160.50M,,0.7844,0.00,,0.7290,0.7844,,0.7452,0.00,,0.6929,0.7452,,144.49M,153.07M,0.7844,,AOR,Restated
2006-06,602.11M,663.03M,319.85M,343.18M,51.72M,51.72M,,,56.95M,,100.64M,,-104.20M,150.60M,192.59M,,100.64M,-104.20M,81.57M,-104.20M,169.95M,0.848M,169.10M,16.76M,,-22.70M,14.40M,163.17M,89.74M,376.76M,106.17M,270.59M,,0.9119,0.1177,,0.5190,1.030,,0.8629,0.1079,,0.5042,0.9707,,144.22M,157.97M,0.7844,,AOR,Restated
