,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-03,198.00M,,198.00M,1.594B,1.594B,1.368B,,1.96B,,3.328B,,228.00M,5.99B,0.0,484.00M,4.628B,7.284B,,,12.40B,-6.641B,5.755B,9.404B,6.231B,15.64B,711.00M,22.10B,28.09B,1.485B,,1.485B,497.00M,1.982B,,,1.128B,1.128B,728.00M,3.838B,8.872B,8.872B,2.039B,2.039B,20.00M,1.186B,12.10B,15.94B,45.00M,11.48B,4.362B,3.77B,,,20.00M,12.14B
2017-12,293.00M,,293.00M,1.60B,1.60B,1.309B,,1.904B,,3.213B,,172.00M,5.993B,0.0,474.00M,4.528B,7.17B,,,12.17B,-6.499B,5.673B,9.404B,6.282B,15.69B,694.00M,22.05B,28.05B,1.748B,,1.748B,468.00M,2.216B,,,811.00M,811.00M,951.00M,3.978B,8.875B,8.875B,2.013B,2.013B,19.00M,1.206B,12.09B,16.07B,45.00M,11.27B,4.346B,3.726B,,,18.00M,11.96B
2017-09,318.00M,,318.00M,1.675B,1.675B,1.292B,,1.947B,,3.239B,,219.00M,6.258B,0.0,461.00M,4.37B,7.111B,,,11.94B,-6.374B,5.568B,9.324B,6.243B,15.57B,673.00M,21.81B,28.07B,1.698B,,1.698B,673.00M,2.371B,,,906.00M,906.00M,755.00M,4.032B,9.297B,9.297B,2.979B,2.979B,18.00M,1.199B,13.48B,17.51B,45.00M,9.776B,4.378B,3.674B,,,16.00M,10.54B
2017-06,231.00M,,231.00M,1.71B,1.71B,1.315B,,1.933B,,3.248B,,238.00M,6.288B,0.0,450.00M,4.427B,6.943B,,,11.82B,-6.275B,5.545B,9.264B,6.372B,15.64B,594.00M,21.78B,28.06B,1.608B,,1.608B,713.00M,2.321B,,,1.017B,1.017B,527.00M,3.865B,9.807B,9.807B,2.989B,2.989B,20.00M,1.265B,14.06B,17.93B,44.00M,9.464B,4.361B,3.70B,,,-52.00M,10.12B
2017-03,243.00M,,243.00M,1.589B,1.589B,1.302B,,1.668B,,2.97B,,215.00M,5.017B,0.0,437.00M,4.183B,6.88B,,,11.50B,-6.217B,5.283B,6.669B,5.036B,11.70B,591.00M,17.58B,22.60B,1.466B,,1.466B,675.00M,2.141B,,,543.00M,543.00M,422.00M,3.106B,5.905B,5.905B,2.516B,2.516B,18.00M,1.28B,9.701B,12.81B,44.00M,9.098B,4.355B,3.675B,,,-51.00M,9.771B
2016-12,307.00M,,307.00M,1.512B,1.512B,1.25B,,1.517B,,2.767B,,156.00M,4.742B,0.0,429.00M,4.076B,6.815B,,,11.32B,-6.114B,5.206B,6.669B,5.064B,11.73B,576.00M,17.52B,22.26B,1.591B,263.00M,1.854B,610.00M,2.464B,,,66.00M,66.00M,442.00M,2.972B,5.901B,5.901B,2.538B,2.538B,17.00M,1.279B,9.718B,12.69B,44.00M,8.837B,4.342B,3.613B,,,-60.00M,9.55B
2016-09,349.00M,,349.00M,1.542B,1.542B,1.202B,,1.53B,,2.732B,,265.00M,4.888B,0.0,426.00M,3.952B,6.789B,,,11.17B,-5.997B,5.17B,6.669B,5.084B,11.75B,562.00M,17.48B,22.37B,1.511B,,1.511B,775.00M,2.286B,,,79.00M,79.00M,397.00M,2.762B,6.20B,6.20B,2.545B,2.545B,16.00M,1.242B,9.987B,12.75B,43.00M,8.348B,4.355B,3.093B,,,-45.00M,9.608B
2016-06,197.00M,,197.00M,1.599B,1.599B,1.359B,,1.559B,,2.918B,,167.00M,4.881B,0.0,417.00M,3.987B,6.707B,,,11.11B,-5.954B,5.157B,6.669B,5.104B,11.77B,599.00M,17.53B,22.41B,1.466B,,1.466B,692.00M,2.158B,,,79.00M,79.00M,476.00M,2.713B,6.099B,6.099B,2.486B,2.486B,15.00M,1.306B,9.891B,12.60B,43.00M,8.01B,4.343B,2.515B,,,-90.00M,9.791B
2016-03,254.00M,,254.00M,1.493B,1.493B,1.345B,,1.648B,,2.993B,,187.00M,4.927B,0.0,415.00M,3.959B,6.618B,,,10.99B,-5.826B,5.166B,6.67B,5.125B,11.80B,623.00M,17.58B,22.51B,1.456B,,1.456B,658.00M,2.114B,,,79.00M,79.00M,417.00M,2.61B,6.27B,6.27B,2.516B,2.516B,16.00M,1.308B,10.09B,12.70B,43.00M,7.58B,4.321B,2.065B,,,-88.00M,9.791B
2015-12,1.187B,,1.187B,1.514B,1.514B,1.317B,,1.501B,,2.818B,,158.00M,5.677B,0.0,412.00M,3.954B,6.575B,,,10.94B,-5.757B,5.184B,6.669B,5.145B,11.81B,615.00M,17.61B,23.29B,1.781B,,1.781B,558.00M,2.339B,,,717.00M,717.00M,612.00M,3.668B,5.988B,5.988B,2.514B,2.514B,15.00M,1.343B,9.845B,13.51B,42.00M,7.203B,4.293B,1.678B,,,-98.00M,9.762B
2015-09,688.00M,,688.00M,1.62B,1.62B,1.247B,,1.631B,,2.878B,,195.00M,5.381B,0.0,408.00M,3.956B,6.452B,,,10.82B,-5.64B,5.176B,6.667B,5.168B,11.84B,577.00M,17.59B,22.97B,1.662B,,1.662B,670.00M,2.332B,,,715.00M,715.00M,488.00M,3.535B,5.975B,5.975B,2.449B,2.449B,15.00M,1.304B,9.728B,13.26B,42.00M,6.813B,4.307B,1.381B,,,-90.00M,9.691B
2015-06,471.00M,,471.00M,1.633B,1.633B,1.396B,,1.686B,,3.082B,,214.00M,5.589B,0.0,410.00M,4.074B,6.387B,,,10.87B,-5.559B,5.312B,6.69B,5.202B,11.89B,650.00M,17.85B,23.44B,1.621B,,1.621B,461.00M,2.082B,,,1.205B,1.205B,741.00M,4.028B,6.029B,6.029B,2.447B,2.447B,16.00M,1.256B,9.732B,13.76B,42.00M,6.591B,4.303B,1.112B,,,-157.00M,9.667B
2015-03,223.00M,,223.00M,1.632B,1.632B,1.474B,,1.788B,,3.262B,,346.00M,5.668B,0.0,409.00M,4.022B,6.322B,,,10.75B,-5.475B,5.278B,6.689B,5.223B,11.91B,668.00M,17.86B,23.53B,1.694B,,1.694B,393.00M,2.087B,,,1.236B,1.236B,728.00M,4.051B,6.438B,6.438B,2.452B,2.452B,15.00M,1.215B,10.10B,14.16B,42.00M,6.285B,4.282B,1.106B,,,-148.00M,9.355B
2014-12,381.00M,,381.00M,1.777B,1.777B,,,,,3.192B,,375.00M,5.938B,0.0,404.00M,3.967B,6.204B,,,10.58B,-5.364B,5.211B,6.70B,5.246B,11.95B,663.00M,17.82B,23.76B,2.147B,,2.147B,349.00M,2.496B,,,596.00M,596.00M,862.00M,3.954B,6.931B,6.931B,2.473B,2.473B,14.00M,1.263B,10.67B,14.62B,42.00M,6.011B,4.265B,1.071B,,,-124.00M,9.123B
2014-09,438.00M,,438.00M,1.684B,1.684B,1.48B,,1.794B,,3.274B,,379.00M,6.221B,0.0,402.00M,3.835B,6.144B,,,10.38B,-5.251B,5.13B,6.706B,5.276B,11.98B,623.00M,17.74B,23.96B,1.806B,,1.806B,675.00M,2.481B,,,643.00M,643.00M,673.00M,3.797B,7.535B,7.535B,2.45B,2.45B,14.00M,1.27B,11.26B,15.05B,42.00M,5.748B,4.257B,1.01B,,,-147.00M,8.89B
2014-06,587.00M,,587.00M,1.624B,1.624B,1.503B,,1.558B,,3.061B,,241.00M,5.513B,0.0,378.00M,3.259B,5.68B,,,9.317B,-5.376B,3.941B,1.925B,151.00M,2.076B,525.00M,6.542B,12.06B,1.496B,,1.496B,392.00M,1.888B,,,41.00M,41.00M,428.00M,2.612B,1.784B,1.784B,404.00M,404.00M,16.00M,545.00M,2.733B,5.345B,39.00M,5.64B,2.122B,1.011B,,,-96.00M,6.694B
2014-03,438.00M,,438.00M,1.548B,1.548B,1.51B,,1.458B,,2.968B,,230.00M,5.184B,0.0,525.00M,3.276B,5.615B,,,9.416B,-5.311B,4.105B,1.925B,156.00M,2.081B,516.00M,6.702B,11.89B,1.429B,,1.429B,324.00M,1.753B,,,52.00M,52.00M,431.00M,2.505B,1.888B,1.888B,444.00M,444.00M,28.00M,585.00M,2.917B,5.422B,39.00M,5.407B,2.181B,1.088B,,,-103.00M,6.436B
2013-12,825.00M,,825.00M,1.497B,1.497B,1.376B,,1.402B,,2.778B,,130.00M,5.23B,0.0,520.00M,3.25B,5.535B,,,9.305B,-5.233B,4.072B,1.907B,133.00M,2.04B,502.00M,6.614B,11.84B,1.477B,143.00M,1.62B,293.00M,1.913B,,,52.00M,52.00M,373.00M,2.606B,1.89B,1.89B,450.00M,450.00M,31.00M,582.00M,2.922B,5.528B,39.00M,5.219B,2.388B,1.245B,,,-116.00M,6.285B
2013-09,1.145B,,1.145B,1.497B,1.497B,1.394B,,1.423B,,2.817B,,145.00M,5.604B,0.0,517.00M,3.181B,5.504B,,,9.202B,-5.149B,4.053B,1.902B,138.00M,2.04B,480.00M,6.573B,12.18B,1.359B,,1.359B,419.00M,1.778B,,,513.00M,513.00M,719.00M,3.01B,1.895B,1.895B,479.00M,479.00M,32.00M,560.00M,2.934B,5.944B,39.00M,4.999B,2.292B,1.021B,,,-108.00M,6.201B
2013-06,943.00M,,943.00M,1.454B,1.454B,1.409B,,1.492B,,2.901B,,229.00M,5.527B,0.0,517.00M,3.194B,5.412B,,,9.123B,-5.081B,4.042B,1.903B,143.00M,2.046B,487.00M,6.575B,12.10B,1.309B,,1.309B,381.00M,1.69B,,,508.00M,508.00M,468.00M,2.938B,1.899B,1.899B,467.00M,467.00M,34.00M,551.00M,2.917B,5.855B,39.00M,4.754B,2.288B,746.00M,,,-122.00M,6.213B
2013-03,762.00M,,762.00M,1.428B,1.428B,1.463B,,1.458B,,2.921B,,188.00M,5.299B,0.0,515.00M,3.215B,5.351B,,,9.081B,-5.079B,4.002B,1.892B,115.00M,2.007B,481.00M,6.49B,11.79B,1.265B,,1.265B,297.00M,1.562B,,,512.00M,512.00M,379.00M,2.732B,1.904B,1.904B,498.00M,498.00M,38.00M,541.00M,2.943B,5.675B,39.00M,4.522B,2.275B,667.00M,,,-93.00M,6.076B
2012-12,951.00M,,951.00M,1.365B,1.365B,1.513B,,1.419B,,2.932B,,139.00M,5.387B,0.0,512.00M,3.205B,5.276B,,,8.993B,-4.95B,4.043B,1.891B,126.00M,2.017B,427.00M,6.487B,11.87B,1.435B,,1.435B,272.00M,1.707B,,,519.00M,519.00M,346.00M,2.846B,1.907B,1.907B,536.00M,536.00M,24.00M,527.00M,2.97B,5.816B,39.00M,4.444B,2.281B,656.00M,,,-74.00M,6.034B
2012-09,1.071B,,1.071B,1.378B,1.378B,1.444B,,1.365B,,2.809B,,145.00M,5.403B,0.0,509.00M,3.166B,5.208B,,,8.883B,-4.861B,4.022B,1.891B,129.00M,2.02B,451.00M,6.493B,11.90B,1.372B,,1.372B,382.00M,1.754B,,,515.00M,515.00M,287.00M,2.83B,1.917B,1.917B,558.00M,558.00M,30.00M,549.00M,3.024B,5.854B,39.00M,4.327B,2.278B,569.00M,,,-63.00M,6.012B
2012-06,828.00M,,828.00M,1.35B,1.35B,380.00M,,1.375B,917.00M,2.672B,,155.00M,5.005B,0.0,497.00M,3.287B,5.02B,,,8.804B,-4.812B,3.992B,1.891B,136.00M,2.027B,437.00M,6.456B,11.46B,1.189B,,1.189B,,1.189B,,,119.00M,119.00M,551.00M,2.221B,2.345B,2.345B,473.00M,473.00M,34.00M,517.00M,3.335B,5.556B,39.00M,4.155B,2.271B,521.00M,,,-73.00M,5.871B
2012-03,723.00M,,723.00M,1.253B,1.253B,2.622B,,,,2.622B,,152.00M,4.75B,0.0,488.00M,3.269B,4.925B,,,8.682B,-4.739B,3.943B,1.892B,143.00M,2.035B,442.00M,6.42B,11.17B,1.191B,,1.191B,586.00M,1.777B,,,84.00M,84.00M,,2.17B,2.136B,2.136B,433.00M,433.00M,29.00M,496.00M,3.065B,5.235B,39.00M,4.094B,2.266B,453.00M,,,-40.00M,5.906B
2011-12,857.00M,,857.00M,1.281B,1.281B,414.00M,,1.325B,859.00M,2.598B,,122.00M,4.858B,0.0,484.00M,3.206B,4.863B,,,8.553B,-4.665B,3.888B,1.891B,145.00M,2.036B,445.00M,6.369B,11.23B,1.358B,,1.358B,,1.358B,,,84.00M,84.00M,657.00M,2.374B,2.131B,2.131B,420.00M,420.00M,28.00M,493.00M,3.044B,5.418B,39.00M,3.943B,2.259B,385.00M,,,-75.00M,5.781B
2011-09,716.00M,,716.00M,1.321B,1.321B,1.291B,,1.296B,,2.587B,,156.00M,4.78B,0.0,481.00M,3.144B,4.897B,,,8.522B,-4.699B,3.823B,1.892B,149.00M,2.041B,427.00M,6.291B,11.07B,1.264B,,1.264B,407.00M,1.671B,,,70.00M,70.00M,335.00M,2.374B,2.112B,2.112B,424.00M,424.00M,28.00M,476.00M,3.012B,5.386B,39.00M,3.801B,2.261B,365.00M,,,-79.00M,5.657B
2011-06,981.00M,,981.00M,1.334B,1.334B,378.00M,,1.369B,964.00M,2.711B,,146.00M,5.172B,0.0,481.00M,3.165B,4.822B,,,8.468B,-4.666B,3.802B,1.895B,158.00M,2.053B,461.00M,6.316B,11.49B,1.193B,,1.193B,,1.193B,,,362.00M,362.00M,800.00M,2.761B,2.094B,2.094B,393.00M,393.00M,31.00M,457.00M,2.944B,5.705B,39.00M,3.719B,2.257B,276.00M,,,13.00M,5.752B
2011-03,794.00M,,794.00M,1.256B,1.256B,2.73B,,,,2.73B,,157.00M,4.937B,0.0,485.00M,3.081B,4.822B,,,8.388B,-4.626B,3.762B,1.895B,161.00M,2.056B,471.00M,6.289B,11.23B,1.126B,,1.126B,355.00M,1.481B,,,390.00M,390.00M,608.00M,2.479B,2.105B,2.105B,389.00M,389.00M,104.00M,500.00M,2.994B,5.473B,39.00M,3.538B,2.252B,197.00M,,,17.00M,5.649B
2010-12,1.122B,,1.122B,1.18B,1.18B,347.00M,,1.272B,870.00M,2.489B,,162.00M,4.953B,0.0,477.00M,2.971B,4.811B,,,8.259B,-4.545B,3.714B,1.894B,163.00M,2.057B,466.00M,6.237B,11.19B,1.212B,,1.212B,,1.212B,,,424.00M,424.00M,1.009B,2.645B,2.124B,2.124B,354.00M,354.00M,102.00M,520.00M,2.998B,5.643B,39.00M,3.395B,2.245B,226.00M,,,-8.00M,5.445B
2010-09,978.00M,,978.00M,1.198B,1.198B,332.00M,,1.183B,759.00M,2.274B,0.00,168.00M,4.618B,0.0,329.00M,3.13B,4.694B,,,8.153B,-4.479B,3.674B,1.893B,166.00M,2.059B,401.00M,6.134B,10.75B,1.11B,,1.11B,,1.11B,,,401.00M,401.00M,1.034B,2.545B,2.135B,2.135B,321.00M,321.00M,99.00M,486.00M,2.942B,5.487B,39.00M,3.113B,2.243B,229.00M,,,0.00,5.166B
2010-06,834.00M,,834.00M,1.229B,1.229B,333.00M,,1.079B,720.00M,2.132B,0.00,169.00M,4.364B,0.0,327.00M,3.102B,4.63B,,,8.059B,-4.428B,3.631B,1.916B,168.00M,2.084B,388.00M,6.103B,10.47B,996.00M,,996.00M,,996.00M,,,93.00M,93.00M,1.073B,2.162B,2.489B,2.489B,284.00M,284.00M,95.00M,513.00M,3.286B,5.448B,39.00M,2.916B,2.232B,226.00M,,,-37.00M,4.924B
2010-03,812.00M,,812.00M,1.125B,1.125B,2.112B,,,,2.112B,0.00,180.00M,4.229B,0.0,324.00M,3.038B,4.658B,,,8.02B,-4.392B,3.628B,1.918B,176.00M,2.094B,460.00M,6.182B,10.41B,963.00M,,963.00M,,963.00M,,,90.00M,90.00M,864.00M,1.917B,2.889B,2.889B,309.00M,309.00M,30.00M,573.00M,3.771B,5.688B,39.00M,2.685B,2.227B,231.00M,,,-27.00M,4.693B
2009-12,1.364B,,1.364B,1.052B,1.052B,1.942B,,,,1.942B,140.00M,128.00M,4.626B,0.0,322.00M,2.939B,4.647B,,,7.908B,-4.319B,3.589B,1.918B,181.00M,2.099B,537.00M,6.225B,10.85B,1.001B,,1.001B,,1.001B,,,227.00M,227.00M,967.00M,2.195B,3.189B,3.189B,308.00M,308.00M,30.00M,586.00M,4.083B,6.278B,39.00M,2.542B,2.225B,237.00M,,,-26.00M,4.543B
2009-09,1.004B,,1.004B,1.10B,1.10B,335.00M,,1.043B,631.00M,2.009B,140.00M,122.00M,4.375B,0.0,323.00M,2.867B,4.64B,,,7.83B,-4.254B,3.576B,1.917B,187.00M,2.104B,540.00M,6.22B,10.60B,1.013B,,1.013B,,1.013B,,,219.00M,219.00M,761.00M,1.993B,3.258B,3.258B,309.00M,309.00M,98.00M,539.00M,4.106B,6.099B,39.00M,2.399B,2.236B,242.00M,,,-34.00M,4.398B
2009-06,845.00M,,845.00M,1.126B,1.126B,,,,,2.079B,140.00M,121.00M,4.311B,0.0,96.00M,2.752B,4.826B,,,7.674B,-4.20B,3.474B,2.462B,148.00M,2.61B,492.00M,6.576B,10.89B,924.00M,,924.00M,,924.00M,,,182.00M,182.00M,797.00M,1.903B,3.336B,3.336B,248.00M,248.00M,,585.00M,4.169B,6.072B,39.00M,2.879B,2.178B,237.00M,,,-44.00M,4.815B
2009-03,817.00M,,817.00M,1.083B,1.083B,2.064B,,,,2.064B,234.00M,162.00M,4.36B,0.0,95.00M,2.758B,4.781B,,,7.634B,-4.15B,3.484B,2.47B,148.00M,2.618B,475.00M,6.577B,10.94B,957.00M,,957.00M,,957.00M,,,275.00M,275.00M,778.00M,2.01B,3.477B,3.477B,231.00M,231.00M,,586.00M,4.294B,6.304B,39.00M,2.76B,2.168B,230.00M,,,-104.00M,4.633B
2008-12,166.00M,,166.00M,1.106B,1.106B,,,,,2.233B,,392.00M,3.897B,0.0,309.00M,2.761B,4.472B,,,7.542B,-4.018B,3.524B,2.52B,152.00M,2.672B,391.00M,6.587B,10.48B,1.094B,,1.094B,199.00M,1.293B,,,17.00M,17.00M,548.00M,1.858B,2.997B,2.997B,271.00M,271.00M,,564.00M,3.832B,5.69B,39.00M,2.879B,2.161B,227.00M,,,-58.00M,4.794B
2008-09,250.00M,,250.00M,1.271B,1.271B,,,,,2.538B,,302.00M,4.361B,0.0,299.00M,2.792B,4.382B,,,7.473B,-3.954B,3.519B,2.511B,128.00M,2.639B,331.00M,6.489B,10.85B,1.217B,,1.217B,,1.217B,,,8.00M,8.00M,878.00M,2.103B,2.888B,2.888B,291.00M,291.00M,,554.00M,3.733B,5.836B,39.00M,3.006B,2.161B,233.00M,60.00M,-19.00M,41.00M,5.014B
2008-06,55.00M,,55.00M,1.252B,1.252B,,,,,2.473B,,355.00M,4.135B,0.0,299.00M,2.78B,4.355B,,,7.434B,-3.899B,3.535B,2.50B,123.00M,2.623B,355.00M,6.513B,10.65B,1.123B,,1.123B,,1.123B,,,353.00M,353.00M,854.00M,2.33B,2.725B,2.725B,333.00M,333.00M,,485.00M,3.543B,5.873B,37.00M,2.972B,1.901B,234.00M,,,99.00M,4.775B
2008-03,53.00M,,53.00M,1.074B,1.074B,356.00M,,,2.083B,2.439B,,213.00M,3.779B,0.0,316.00M,2.783B,4.386B,,,7.485B,-3.87B,3.615B,2.487B,125.00M,2.612B,361.00M,6.588B,10.37B,1.014B,,1.014B,227.00M,1.241B,,,265.00M,265.00M,603.00M,2.109B,2.689B,2.689B,361.00M,361.00M,,454.00M,3.504B,5.613B,37.00M,2.977B,1.891B,232.00M,,,81.00M,4.754B
2007-12,55.00M,,55.00M,1.184B,1.184B,659.00M,,,1.591B,2.25B,,152.00M,3.641B,0.0,314.00M,2.472B,4.383B,,270.00M,7.439B,-3.778B,3.661B,2.487B,125.00M,2.612B,336.00M,6.609B,10.25B,1.192B,,1.192B,203.00M,1.395B,,,132.00M,132.00M,600.00M,2.127B,2.574B,2.574B,340.00M,340.00M,,457.00M,3.371B,5.498B,37.00M,2.996B,1.886B,227.00M,,,60.00M,4.752B
2007-09,42.00M,,42.00M,1.246B,1.246B,314.00M,,,1.924B,2.238B,,70.00M,3.596B,0.0,311.00M,2.718B,4.337B,,,7.366B,-3.673B,3.693B,2.485B,126.00M,2.611B,327.00M,6.631B,10.23B,1.05B,,1.05B,249.00M,1.299B,,,137.00M,137.00M,679.00M,2.115B,2.642B,2.642B,367.00M,367.00M,,372.00M,3.381B,5.496B,37.00M,2.993B,1.877B,226.00M,62.00M,-12.00M,50.00M,4.731B
2007-06,48.00M,,48.00M,1.306B,1.306B,308.00M,,,1.893B,2.201B,,97.00M,3.652B,0.0,313.00M,2.47B,4.312B,,240.00M,7.335B,-3.638B,3.697B,2.512B,128.00M,2.64B,327.00M,6.664B,10.32B,997.00M,,997.00M,237.00M,1.234B,,,150.00M,150.00M,565.00M,1.949B,2.827B,2.827B,405.00M,405.00M,,452.00M,3.684B,5.633B,37.00M,2.975B,1.833B,199.00M,,,37.00M,4.683B
