,NetIncome,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2006-12,57.00M,-3.00M,,,128.00M,128.00M,78.00M,,,,,,,65.00M,65.00M,325.00M,-43.00M,2.00M,-41.00M,,774.00M,7.00M,740.00M,,,-1.018B,8.00M,-24.00M,-16.00M,,-14.00M,,,-1.048B,28.00M,17.00M,,45.00M,8.00M,,,-24.00M
2006-09,-56.00M,-16.00M,,,134.00M,134.00M,-19.00M,,,,,,,93.00M,101.00M,171.00M,-61.00M,7.00M,-54.00M,,12.00M,2.00M,-40.00M,,,-133.00M,11.00M,-12.00M,-1.00M,,-14.00M,,,-148.00M,44.00M,-17.00M,1.00M,28.00M,11.00M,,,-12.00M
2006-06,-52.00M,-6.00M,,,130.00M,130.00M,10.00M,,,,,,,-139.00M,-139.00M,-57.00M,-113.00M,1.00M,-112.00M,,50.00M,1.00M,-61.00M,,,126.00M,12.00M,-10.00M,2.00M,,-14.00M,,,114.00M,39.00M,-4.00M,9.00M,44.00M,12.00M,,,-10.00M
2006-03,-127.00M,52.00M,,,128.00M,128.00M,-72.00M,,,,,,,-2.00M,-2.00M,-21.00M,-168.00M,2.00M,-166.00M,,-792.00M,5.00M,-953.00M,,,998.00M,16.00M,-8.00M,8.00M,,-13.00M,,,993.00M,30.00M,19.00M,-10.00M,39.00M,16.00M,,,-8.00M
2005-12,39.00M,,,,125.00M,125.00M,-49.00M,,,,,,,79.00M,79.00M,194.00M,-189.00M,11.00M,-178.00M,,3.00M,5.00M,-170.00M,,,-7.00M,3.00M,-12.00M,-9.00M,,-14.00M,,,-30.00M,40.00M,-6.00M,-4.00M,30.00M,3.00M,,,-12.00M
2005-09,117.00M,-4.00M,,,124.00M,124.00M,-81.00M,,,,,,,-151.00M,-103.00M,78.00M,-176.00M,32.00M,-144.00M,,-5.00M,-14.00M,-163.00M,,,100.00M,8.00M,-9.00M,-1.00M,,-14.00M,,,85.00M,32.00M,0.00,8.00M,40.00M,8.00M,,,-9.00M
2005-06,131.00M,8.00M,,,126.00M,126.00M,16.00M,,,,,,,183.00M,183.00M,464.00M,-163.00M,7.00M,-156.00M,,-8.00M,14.00M,-150.00M,,,-307.00M,11.00M,-9.00M,2.00M,,-14.00M,,,-319.00M,35.00M,-5.00M,2.00M,32.00M,11.00M,,,-9.00M
2005-03,76.00M,1.00M,,,125.00M,125.00M,26.00M,,,,,,,-193.00M,-193.00M,35.00M,-122.00M,-1.00M,-123.00M,,-31.00M,-3.00M,-157.00M,,,132.00M,5.00M,-11.00M,-6.00M,,-13.00M,,1.00M,114.00M,41.00M,-8.00M,2.00M,35.00M,5.00M,,,-11.00M
2004-12,48.00M,3.00M,,,126.00M,126.00M,-54.00M,,,,,,,299.00M,299.00M,422.00M,-110.00M,9.00M,-101.00M,,5.00M,5.00M,-91.00M,,,-292.00M,,-16.00M,-16.00M,,-14.00M,,-1.00M,-323.00M,33.00M,8.00M,,41.00M,,,,-16.00M
2004-09,66.00M,4.00M,,,131.00M,131.00M,19.00M,,,,,,,-235.00M,-124.00M,142.00M,-140.00M,7.00M,-133.00M,,-10.00M,-26.00M,-169.00M,,,39.00M,6.00M,-23.00M,-17.00M,,-14.00M,,,8.00M,51.00M,-19.00M,1.00M,33.00M,6.00M,,,-23.00M
2004-06,161.00M,-1.00M,,,121.00M,121.00M,25.00M,,,,,,,-61.00M,-61.00M,245.00M,-115.00M,7.00M,-108.00M,,-89.00M,5.00M,-192.00M,,,-62.00M,15.00M,-11.00M,4.00M,,-14.00M,,,-72.00M,70.00M,-19.00M,0.00,51.00M,15.00M,,,-11.00M
2004-03,119.00M,7.00M,,,119.00M,119.00M,29.00M,,,,,,,10.00M,10.00M,284.00M,-107.00M,10.00M,-97.00M,,,-23.00M,-120.00M,,,-105.00M,22.00M,-29.00M,-7.00M,,-20.00M,,,-132.00M,40.00M,32.00M,-2.00M,70.00M,22.00M,,,-29.00M
2003-12,57.00M,22.00M,,,119.00M,119.00M,-65.00M,,,,,,,128.00M,128.00M,261.00M,-124.00M,3.00M,-121.00M,,,2.00M,-119.00M,,,-114.00M,,-9.00M,-9.00M,,-7.00M,,,-130.00M,25.00M,12.00M,3.00M,40.00M,,,,-9.00M
2003-09,147.00M,24.00M,,,120.00M,120.00M,65.00M,,,,,,,242.00M,45.00M,401.00M,-73.00M,7.00M,-66.00M,,,0.00,-62.00M,,,-390.00M,,-9.00M,-9.00M,,-11.00M,,,-410.00M,100.00M,-71.00M,-4.00M,25.00M,,,,-9.00M
2003-06,79.00M,12.00M,,,110.00M,110.00M,48.00M,,,,,,,-120.00M,-120.00M,129.00M,-147.00M,12.00M,-135.00M,,,-30.00M,-165.00M,,,84.00M,,-3.00M,-3.00M,,-14.00M,,,67.00M,71.00M,31.00M,-2.00M,100.00M,,,,-3.00M
2003-03,72.00M,-23.00M,,,112.00M,112.00M,31.00M,,,,,,,53.00M,53.00M,245.00M,-82.00M,4.00M,-78.00M,,,26.00M,-52.00M,,,-167.00M,,-14.00M,-14.00M,,-14.00M,,,-195.00M,76.00M,-2.00M,-3.00M,71.00M,,,,-14.00M
2002-12,39.00M,45.00M,,,116.00M,116.00M,-31.00M,,,,,,,-124.00M,-124.00M,45.00M,-100.00M,7.00M,-93.00M,,,11.00M,-82.00M,,,86.00M,,-15.00M,-15.00M,,-15.00M,,,56.00M,51.00M,19.00M,6.00M,76.00M,,,,-15.00M
2002-09,84.00M,5.00M,,,111.00M,111.00M,-33.00M,7.00M,,,,,,47.00M,61.00M,235.00M,-67.00M,137.00M,70.00M,0.00,0.00,-7.00M,63.00M,,,-268.00M,,-4.00M,-4.00M,,-15.00M,,,-287.00M,48.00M,11.00M,-8.00M,51.00M,,,,-4.00M
2002-06,107.00M,-2.00M,,,124.00M,124.00M,-1.00M,9.00M,,,,,,13.00M,13.00M,250.00M,-126.00M,6.00M,-120.00M,-73.00M,94.00M,-95.00M,-194.00M,,,-46.00M,,-5.00M,-5.00M,,-14.00M,,,-65.00M,50.00M,-9.00M,7.00M,48.00M,,,,-5.00M
2002-03,65.00M,2.00M,,,115.00M,115.00M,-4.00M,,,,,,,4.00M,4.00M,182.00M,-132.00M,2.00M,-130.00M,,,-30.00M,-160.00M,,,-47.00M,,-4.00M,-4.00M,,-16.00M,,,-67.00M,92.00M,-45.00M,3.00M,50.00M,,,,-4.00M
2001-12,127.00M,,,,117.00M,117.00M,60.00M,,,,,,,203.00M,203.00M,507.00M,-108.00M,,-108.00M,,,71.00M,-37.00M,,,-428.00M,,-6.00M,-6.00M,,-13.00M,,,-447.00M,70.00M,23.00M,-1.00M,92.00M,,,,-6.00M
