,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2015-12,2.369B,2.369B,124.00M,,124.00M,1.138B,444.00M,449.00M,,2.031B,,387.00M,4.911B,0.00,295.00M,1.406B,2.969B,207.00M,4.877B,-2.895B,1.982B,5.285B,12.03B,17.31B,6.722B,531.00M,26.55B,31.46B,,400.00M,1.11B,,1.51B,5.556B,7.066B,4.00M,4.00M,,7.07B,12.84B,12.84B,4.667B,4.667B,3.522B,-7.00M,37.00M,447.00M,21.52B,28.59B,,935.00M,27.26B,5.813B,27.84B,,,-3.28B,2.88B,,AOR,Restated
2015-09,1.907B,1.907B,137.00M,,137.00M,1.05B,393.00M,511.00M,,1.954B,1.143B,370.00M,5.511B,,,,,,4.866B,-2.85B,2.016B,5.285B,12.03B,17.32B,6.737B,417.00M,26.49B,32.00B,,307.00M,1.11B,,1.417B,5.147B,6.564B,3.00M,3.00M,,6.567B,12.92B,12.92B,5.831B,5.831B,3.347B,-6.00M,35.00M,420.00M,22.55B,29.12B,,935.00M,27.12B,5.80B,27.81B,,,-3.157B,2.887B,,AOR,Restated
2015-06,1.123B,1.123B,142.00M,,142.00M,1.066B,367.00M,481.00M,,1.914B,1.143B,311.00M,4.633B,,,,,,4.805B,-2.814B,1.991B,5.285B,12.04B,17.32B,7.456B,465.00M,27.24B,31.87B,,290.00M,1.023B,,1.313B,3.945B,5.258B,1.003B,1.003B,,6.261B,12.92B,12.92B,6.011B,6.011B,3.396B,-6.00M,36.00M,475.00M,22.84B,29.10B,,935.00M,26.70B,5.768B,27.74B,,,-2.878B,2.779B,,AOR,Restated
2015-03,3.674B,3.674B,172.00M,,172.00M,1.219B,410.00M,456.00M,,2.085B,1.143B,159.00M,7.233B,,,,,,4.784B,-2.812B,1.972B,5.285B,12.04B,17.33B,7.21B,468.00M,26.98B,34.21B,,274.00M,1.026B,482.00M,1.782B,6.113B,7.895B,1.00B,1.00B,,8.895B,12.90B,12.90B,5.907B,5.907B,3.432B,-5.00M,34.00M,515.00M,22.79B,31.68B,,935.00M,26.27B,5.754B,27.48B,,,-2.945B,2.533B,,AOR,Restated
2014-12,3.321B,3.321B,124.00M,,124.00M,1.191B,429.00M,420.00M,,2.04B,1.143B,250.00M,6.878B,0.00,293.00M,1.323B,2.986B,153.00M,4.755B,-2.772B,1.983B,5.285B,12.05B,17.33B,7.797B,483.00M,27.60B,34.48B,,416.00M,1.028B,,1.444B,5.229B,6.673B,1.00B,1.00B,,7.673B,13.69B,13.69B,6.088B,6.088B,3.473B,-4.00M,35.00M,503.00M,23.79B,31.46B,,935.00M,26.28B,5.735B,27.25B,,,-2.682B,3.014B,,AOR,Restated
2014-09,2.241B,2.241B,106.00M,,106.00M,1.028B,347.00M,515.00M,,1.89B,1.095B,330.00M,5.662B,,,,,,4.851B,-2.853B,1.998B,5.285B,12.05B,17.34B,8.413B,670.00M,28.42B,34.08B,,332.00M,1.031B,,1.363B,4.704B,6.067B,1.30B,1.30B,,7.367B,12.69B,12.69B,6.829B,6.829B,2.365B,-3.00M,35.00M,502.00M,22.42B,29.79B,,935.00M,26.07B,5.723B,26.98B,,,-1.454B,4.294B,,AOR,Restated
2014-06,1.193B,1.193B,105.00M,,105.00M,1.029B,335.00M,486.00M,,1.85B,1.101B,226.00M,4.475B,,,,,,4.816B,-2.819B,1.997B,5.285B,12.06B,17.34B,8.816B,650.00M,28.81B,33.28B,,311.00M,954.00M,,1.265B,3.781B,5.046B,,,,5.046B,13.99B,13.99B,6.97B,6.97B,2.365B,-2.00M,34.00M,481.00M,23.84B,28.89B,,935.00M,25.70B,5.692B,26.70B,,,-1.229B,4.395B,,AOR,Restated
2014-03,3.62B,3.62B,113.00M,,113.00M,1.164B,379.00M,427.00M,,1.97B,1.10B,174.00M,6.977B,,,,,,4.828B,-2.825B,2.003B,5.174B,12.05B,17.23B,8.608B,591.00M,28.43B,35.41B,,321.00M,957.00M,518.00M,1.796B,5.788B,7.584B,,,,7.584B,13.99B,13.99B,6.908B,6.908B,2.369B,-2.00M,34.00M,406.00M,23.71B,31.29B,,935.00M,25.39B,5.678B,26.57B,,,-1.318B,4.115B,,AOR,Restated
2013-12,3.175B,3.175B,115.00M,,115.00M,1.113B,394.00M,372.00M,,1.879B,1.10B,321.00M,6.59B,0.00,291.00M,1.308B,3.111B,107.00M,4.817B,-2.789B,2.028B,5.174B,12.06B,17.23B,8.452B,557.00M,28.27B,34.86B,,409.00M,959.00M,,1.368B,5.165B,6.533B,525.00M,525.00M,,7.058B,13.99B,13.99B,6.854B,6.854B,2.367B,-1.00M,35.00M,435.00M,23.68B,30.74B,,935.00M,25.17B,5.714B,26.32B,,,-1.378B,4.119B,,AOR,Restated
2013-09,4.211B,4.211B,92.00M,,92.00M,975.00M,307.00M,436.00M,,1.718B,1.218B,310.00M,7.549B,,,,,,4.787B,-2.746B,2.041B,5.174B,12.06B,17.24B,8.673B,450.00M,28.40B,35.95B,,347.00M,963.00M,,1.31B,5.043B,6.353B,1.984B,1.984B,,8.337B,12.89B,12.89B,6.466B,6.466B,3.735B,0.00,34.00M,505.00M,23.63B,31.97B,,935.00M,25.64B,5.701B,26.07B,,,-2.223B,3.981B,,AOR,Restated
2013-06,2.571B,2.571B,114.00M,,114.00M,941.00M,311.00M,449.00M,,1.701B,1.217B,257.00M,5.86B,,,,,,4.776B,-2.736B,2.04B,5.174B,12.07B,17.24B,8.847B,451.00M,28.58B,34.44B,,275.00M,885.00M,,1.16B,3.926B,5.086B,1.984B,1.984B,,7.07B,12.89B,12.89B,6.56B,6.56B,3.791B,1.00M,33.00M,530.00M,23.80B,30.87B,,935.00M,25.20B,5.67B,25.91B,,,-2.33B,3.565B,,AOR,Restated
2013-03,3.775B,3.775B,112.00M,,112.00M,1.038B,339.00M,439.00M,,1.816B,1.216B,197.00M,7.116B,,,,,,4.763B,-2.695B,2.068B,5.174B,12.07B,17.25B,9.134B,441.00M,28.89B,36.01B,,259.00M,886.00M,600.00M,1.745B,5.769B,7.514B,1.984B,1.984B,,9.498B,11.89B,11.89B,6.657B,6.657B,3.824B,1.00M,35.00M,528.00M,22.94B,32.44B,,935.00M,24.82B,5.656B,25.77B,,,-2.068B,3.569B,,AOR,Restated
2012-12,2.90B,2.90B,193.00M,,193.00M,1.049B,349.00M,348.00M,,1.746B,1.216B,260.00M,6.315B,0.00,292.00M,1.276B,3.068B,114.00M,4.75B,-2.648B,2.102B,5.174B,12.08B,17.25B,9.218B,442.00M,29.01B,35.33B,,451.00M,888.00M,,1.339B,5.461B,6.80B,1.459B,1.459B,,8.259B,12.42B,12.42B,6.652B,6.652B,4.239B,2.00M,34.00M,556.00M,23.90B,32.16B,,935.00M,24.32B,5.688B,25.73B,,,-2.04B,3.168B,,AOR,Restated
2012-09,2.186B,2.186B,,,196.00M,934.00M,261.00M,429.00M,,1.624B,1.287B,641.00M,5.934B,,,,,,4.719B,-2.608B,2.111B,5.174B,12.08B,17.26B,9.273B,463.00M,29.10B,35.04B,,289.00M,895.00M,65.00M,1.249B,4.953B,6.202B,,,,6.348B,13.88B,13.88B,6.815B,6.815B,3.475B,35.00M,,621.00M,24.79B,31.14B,,935.00M,24.10B,5.67B,25.23B,,,-1.604B,3.866B,,AOR,Restated
2012-06,1.528B,1.528B,,,256.00M,983.00M,269.00M,432.00M,,1.684B,1.207B,468.00M,5.143B,,,,,,4.75B,-2.619B,2.131B,5.174B,12.09B,17.26B,9.498B,513.00M,29.40B,34.55B,,335.00M,836.00M,218.00M,1.389B,2.765B,4.154B,600.00M,600.00M,1.217B,6.081B,13.09B,13.09B,6.838B,6.838B,3.506B,35.00M,,725.00M,24.16B,30.24B,,935.00M,24.33B,5.647B,24.97B,,,-1.674B,4.273B,,AOR,Restated
2012-03,4.156B,4.156B,,,244.00M,1.11B,310.00M,410.00M,,1.83B,1.207B,456.00M,7.893B,,,,,,4.737B,-2.572B,2.165B,5.174B,12.09B,17.27B,9.212B,1.278B,29.92B,37.82B,,328.00M,839.00M,589.00M,1.756B,5.012B,6.768B,600.00M,600.00M,1.338B,8.781B,13.09B,13.09B,7.446B,7.446B,3.521B,35.00M,,1.242B,25.30B,34.08B,,935.00M,23.72B,5.633B,24.90B,,,-1.685B,3.701B,,AOR,Restated
2011-12,3.27B,3.27B,268.00M,,268.00M,1.104B,316.00M,359.00M,,1.779B,1.207B,396.00M,6.92B,0.00,290.00M,1.271B,3.097B,70.00M,4.728B,-2.512B,2.216B,5.174B,12.10B,17.27B,9.068B,1.275B,29.83B,36.75B,,503.00M,841.00M,,1.344B,5.488B,6.832B,600.00M,600.00M,,7.432B,13.09B,13.09B,7.562B,7.562B,4.021B,3.00M,32.00M,932.00M,25.64B,33.07B,,935.00M,23.58B,5.674B,24.62B,,,-1.887B,3.68B,,AOR,Restated
2011-09,3.043B,3.043B,,,194.00M,959.00M,243.00M,423.00M,,1.625B,1.187B,526.00M,6.575B,,,,,,4.762B,-2.478B,2.284B,5.174B,12.10B,17.28B,9.353B,1.713B,30.63B,37.20B,,326.00M,846.00M,286.00M,1.458B,4.743B,6.201B,600.00M,600.00M,,6.979B,13.09B,13.09B,8.08B,8.08B,3.399B,36.00M,,1.20B,25.77B,32.75B,,935.00M,23.58B,5.65B,24.29B,,,-1.461B,4.419B,,AOR,Restated
2011-06,2.064B,2.064B,,,166.00M,990.00M,279.00M,404.00M,,1.673B,1.163B,591.00M,5.657B,,,,,,4.737B,-2.432B,2.305B,5.174B,12.11B,17.28B,9.796B,1.793B,31.18B,36.83B,,252.00M,792.00M,399.00M,1.443B,2.555B,3.998B,,,1.31B,5.446B,13.69B,13.69B,8.212B,8.212B,3.406B,35.00M,,1.412B,26.72B,32.16B,,935.00M,23.26B,5.627B,23.91B,,,-1.279B,4.633B,,AOR,Restated
2011-03,3.432B,3.432B,,,71.00M,1.099B,299.00M,426.00M,,1.824B,1.163B,498.00M,6.988B,,,,,,5.099B,-2.76B,2.339B,5.174B,12.11B,17.29B,10.13B,1.839B,31.60B,38.58B,,282.00M,798.00M,620.00M,1.70B,4.988B,6.688B,,,1.102B,7.884B,12.19B,12.19B,8.512B,8.512B,3.399B,35.00M,,1.107B,25.21B,33.10B,,935.00M,23.60B,5.621B,23.31B,,,-1.391B,5.453B,,AOR,Restated
2010-12,2.314B,2.314B,85.00M,,85.00M,1.12B,299.00M,384.00M,,1.803B,1.165B,614.00M,5.981B,0.00,291.00M,1.292B,3.473B,94.00M,5.15B,-2.77B,2.38B,5.174B,12.12B,17.29B,9.898B,1.851B,31.42B,37.40B,,529.00M,797.00M,231.00M,1.557B,5.051B,6.608B,,,,6.84B,12.19B,12.19B,4.618B,4.618B,3.593B,35.00M,,4.93B,25.34B,32.18B,,935.00M,23.46B,5.751B,23.47B,,,-1.484B,5.192B,,AOR,Restated
2010-09,1.70B,1.70B,82.00M,,82.00M,1.003B,225.00M,390.00M,,1.618B,1.264B,842.00M,5.506B,,,,,,5.177B,-2.755B,2.422B,5.174B,12.12B,17.30B,10.02B,1.865B,31.60B,37.11B,,320.00M,796.00M,132.00M,1.248B,3.71B,4.958B,,,1.211B,6.349B,12.19B,12.19B,8.771B,8.771B,3.516B,35.00M,,1.095B,25.58B,31.92B,,935.00M,23.33B,5.76B,23.51B,,,-1.369B,5.15B,,AOR,Restated
2010-06,854.00M,854.00M,,,90.00M,1.011B,248.00M,391.00M,,1.65B,1.267B,791.00M,4.652B,,,,,,5.821B,-3.286B,2.535B,5.174B,12.13B,17.30B,5.119B,5.637B,30.59B,35.24B,,277.00M,733.00M,371.00M,1.381B,3.97B,5.351B,200.00M,200.00M,,5.551B,11.98B,11.98B,8.464B,8.464B,3.517B,2.00M,,1.206B,25.17B,30.72B,,935.00M,23.00B,5.809B,23.64B,,,-1.576B,4.521B,,AOR,Restated
2010-03,3.29B,3.29B,,,170.00M,1.144B,281.00M,388.00M,,1.813B,1.261B,504.00M,7.038B,,,,,,6.012B,-3.377B,2.635B,5.174B,12.13B,17.31B,5.177B,5.843B,30.96B,38.00B,,311.00M,733.00M,204.00M,1.248B,6.817B,8.065B,975.00M,975.00M,,9.04B,11.18B,11.18B,8.481B,8.481B,3.504B,2.00M,,1.524B,24.69B,33.73B,,935.00M,22.68B,5.82B,23.68B,,,-1.491B,4.263B,,AOR,Restated
2009-12,1.871B,1.871B,96.00M,,96.00M,1.15B,293.00M,367.00M,,1.81B,1.336B,660.00M,5.773B,0.00,366.00M,1.909B,3.649B,220.00M,6.144B,-3.46B,2.684B,5.174B,12.14B,17.31B,9.811B,1.097B,30.90B,36.68B,,494.00M,710.00M,318.00M,1.522B,5.456B,6.978B,775.00M,775.00M,,7.992B,11.18B,11.18B,4.383B,4.383B,3.483B,35.00M,,5.53B,24.58B,32.57B,,935.00M,22.60B,5.997B,23.90B,,,-1.561B,4.069B,,AOR,Restated
2009-09,1.03B,1.03B,,,92.00M,1.057B,231.00M,474.00M,,1.762B,1.501B,623.00M,5.008B,,,,,,6.127B,-3.353B,2.774B,4.998B,12.14B,17.14B,4.962B,5.996B,30.87B,35.88B,,312.00M,709.00M,,1.021B,5.374B,6.395B,775.00M,775.00M,,7.17B,11.18B,11.18B,8.306B,8.306B,3.97B,2.00M,,1.527B,24.99B,32.16B,,935.00M,22.58B,6.081B,24.04B,,,-1.834B,3.721B,,AOR,Restated
2009-06,544.00M,544.00M,,,101.00M,1.091B,250.00M,540.00M,,1.881B,1.561B,795.00M,4.882B,,,,,,6.081B,-3.257B,2.824B,4.998B,12.15B,17.15B,4.78B,6.196B,30.95B,35.83B,,293.00M,667.00M,,960.00M,4.849B,5.809B,1.168B,1.168B,,6.977B,11.68B,11.68B,8.191B,8.191B,3.944B,2.00M,,1.688B,25.51B,32.48B,,935.00M,22.40B,6.082B,24.06B,,,-2.015B,3.343B,,AOR,Restated
