,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2015-09,2.151B,2.151B,1.489B,661.40M,372.67M,,,19.32M,-19.32M,372.67M,288.73M,19.32M,-19.32M,-4.249M,-19.32M,265.17M,49.46M,215.70M,,-0.829M,,214.87M,219.44M,379.44M,94.96M,284.48M,2.91,,,2.972,2.91,2.89,,,2.951,2.89,73.92M,74.44M
2015-06,2.042B,2.042B,1.427B,615.13M,359.31M,,,16.84M,-16.84M,359.31M,255.82M,16.84M,-16.84M,-2.928M,-16.84M,236.05M,49.28M,186.77M,,-0.442M,,186.33M,189.13M,340.90M,88.01M,252.89M,2.54,,,2.5780000000000003,2.54,2.53,,,2.568,2.53,73.26M,73.76M
2015-03,1.881B,1.881B,1.369B,511.94M,468.17M,,,16.45M,-16.45M,468.17M,43.77M,16.45M,-16.45M,1.083M,-16.45M,28.41M,5.904M,22.50M,,-0.158M,,22.35M,21.98M,130.51M,85.66M,44.86M,0.31,,,0.305,0.31,0.3,,,0.2951,0.3,72.99M,73.53M
2014-12,1.951B,1.951B,1.410B,541.60M,335.48M,,,20.62M,-20.62M,335.48M,206.12M,20.62M,-20.62M,-9.737M,-20.62M,175.76M,28.68M,147.08M,,-0.212M,,146.87M,148.69M,292.05M,95.66M,196.38M,2.01,0.0,,2.035,2.01,2.0,0.0,,2.025,2.0,72.91M,73.46M
2014-09,1.991B,1.991B,1.434B,556.42M,342.73M,,,34.79M,-34.79M,342.73M,213.69M,34.79M,-34.79M,2.374M,-34.79M,181.28M,30.02M,151.26M,,0.006M,,151.27M,151.13M,301.23M,85.17M,216.07M,2.08,,,2.0780000000000003,2.08,2.06,,,2.0580000000000003,2.06,72.86M,73.38M
2014-06,2.048B,2.048B,1.473B,574.81M,352.56M,,,20.70M,-20.70M,352.56M,222.25M,20.70M,-20.70M,1.555M,-20.70M,203.10M,50.24M,152.86M,,-0.111M,,152.75M,151.97M,307.56M,83.75M,223.80M,2.1,,,2.089,2.1,2.08,,,2.069,2.08,72.83M,73.30M
2014-03,1.813B,1.813B,1.332B,481.36M,350.62M,,,22.10M,-22.10M,350.62M,130.74M,22.10M,-22.10M,-4.89M,-22.10M,103.75M,22.70M,81.05M,,0.028M,,81.08M,85.68M,206.83M,80.98M,125.84M,1.11,,,1.173,1.11,1.11,,,1.173,1.11,72.74M,73.28M
2013-12,1.924B,1.924B,1.411B,512.80M,361.81M,,,22.15M,-22.15M,361.81M,150.99M,22.15M,-22.15M,-2.656M,-22.15M,126.18M,15.42M,110.76M,-15.98M,-0.132M,,94.65M,113.65M,234.66M,86.33M,148.33M,1.52,-0.22,,1.5619999999999998,1.3,1.51,-0.22,,1.551,1.29,72.69M,73.28M
2013-09,1.962B,1.962B,1.445B,516.89M,340.99M,,,25.63M,-25.63M,340.99M,175.90M,25.63M,-25.63M,-1.168M,-25.63M,149.10M,28.99M,120.11M,-0.553M,-0.491M,,119.07M,122.09M,256.28M,81.55M,174.74M,1.65,-0.01,,1.6840000000000002,1.64,1.64,-0.01,,1.6740000000000002,1.63,72.58M,73.09M
2013-06,1.976B,1.976B,1.462B,514.06M,380.86M,,,25.31M,-25.31M,380.86M,133.20M,25.31M,-25.31M,1.097M,-25.31M,108.98M,23.24M,85.74M,-1.361M,0.19M,,84.57M,85.33M,214.94M,80.64M,134.30M,1.19,-0.02,,1.182,1.17,1.18,-0.02,,1.172,1.16,72.41M,72.87M
2013-03,1.487B,1.487B,1.110B,377.07M,290.22M,,,19.16M,-19.16M,290.22M,86.84M,19.16M,-19.16M,-6.387M,-19.16M,61.30M,10.73M,50.57M,,-0.072M,,50.50M,53.63M,140.80M,60.35M,80.46M,0.73,,,0.7752,0.73,0.72,,,0.7648,0.72,69.38M,69.90M
2012-12,1.436B,1.436B,1.066B,369.33M,273.47M,,,15.40M,-15.40M,273.47M,95.86M,15.40M,-15.40M,-1.366M,-15.40M,79.09M,12.70M,66.39M,0.00,0.00,,66.39M,67.50M,158.37M,63.88M,94.49M,0.96,0.0,,0.9761,0.96,0.95,0.0,,0.966,0.95,69.10M,69.48M
2012-09,1.473B,1.473B,1.101B,372.84M,268.88M,,,17.97M,-17.97M,268.88M,103.95M,17.97M,-17.97M,-0.322M,-17.97M,85.66M,15.36M,70.30M,0.00,,,70.30M,70.12M,174.93M,71.30M,103.63M,1.02,0.0,,1.0170000000000001,1.02,1.01,0.0,,1.0070000000000001,1.01,69.01M,69.34M
2012-06,1.470B,1.470B,1.081B,388.46M,280.75M,,,18.84M,-18.84M,280.75M,107.72M,18.84M,-18.84M,-0.44M,-18.84M,88.43M,15.25M,73.19M,0.00,0.00,,73.19M,72.32M,179.11M,71.83M,107.28M,1.06,0.0,,1.047,1.06,1.06,0.0,,1.047,1.06,68.98M,69.26M
2012-03,1.409B,1.409B,1.050B,359.43M,287.45M,,,22.50M,-22.50M,287.45M,71.98M,22.50M,-22.50M,1.825M,-22.50M,51.30M,10.29M,41.01M,,-0.635M,,40.38M,35.86M,147.09M,73.29M,73.80M,0.59,,,0.5244,0.59,0.58,,,0.5147,0.58,68.86M,69.14M
2011-12,1.378B,1.378B,1.043B,335.42M,269.12M,,,24.13M,-24.13M,269.12M,66.29M,24.13M,-24.13M,-0.257M,-24.13M,41.91M,-1.99M,43.90M,,-0.966M,,42.93M,42.74M,140.97M,74.93M,66.04M,0.62,0.0,,0.6172,0.62,0.62,0.0,,0.6172,0.62,68.77M,69.02M
2011-09,1.443B,1.443B,1.085B,357.62M,266.16M,,-0.913M,25.13M,-25.13M,266.16M,91.46M,25.13M,-25.13M,-13.41M,-25.13M,52.92M,5.223M,47.70M,,-1.05M,,46.65M,58.74M,152.26M,74.21M,78.05M,0.68,0.0,,0.8558,0.68,0.68,0.0,,0.8553,0.68,68.76M,68.95M
2011-06,1.478B,1.478B,1.096B,382.25M,280.55M,,0.803M,25.76M,-25.76M,280.55M,101.70M,25.76M,-25.76M,-0.396M,-25.76M,75.54M,13.45M,62.09M,,-1.191M,,60.90M,61.23M,175.65M,74.34M,101.30M,0.89,0.0,,0.8947,0.89,0.88,0.0,,0.8847,0.88,68.74M,68.98M
2011-03,1.344B,1.344B,1.002B,341.59M,285.51M,,0.015M,26.60M,-26.60M,285.51M,56.08M,26.60M,-26.60M,0.015M,-26.60M,29.50M,4.966M,24.54M,,-1.096M,,23.44M,23.43M,130.35M,74.25M,56.10M,0.34,0.0,,0.3398,0.34,0.34,0.0,,0.3398,0.34,68.67M,68.90M
2010-12,1.262B,1.262B,920.53M,341.67M,256.03M,,-0.898M,30.17M,-30.17M,256.03M,85.64M,30.17M,-30.17M,3.002M,-30.17M,58.48M,11.04M,47.44M,,-4.922M,,42.51M,43.24M,163.16M,74.52M,88.64M,0.67,,,0.6806,0.67,0.66,,,0.6706,0.66,68.61M,68.84M
2010-09,1.310B,1.310B,964.62M,344.93M,259.75M,,4.641M,30.05M,-30.05M,259.75M,85.18M,30.05M,-30.05M,4.641M,-30.05M,59.78M,7.513M,52.26M,,-1.17M,,51.09M,47.04M,162.78M,72.96M,89.82M,0.74,0.0,,0.6808,0.74,0.74,0.0,,0.681,0.74,68.59M,68.77M
2010-06,1.400B,1.400B,1.025B,374.76M,285.03M,,-0.544M,39.03M,-39.03M,285.03M,89.73M,39.03M,-39.03M,-0.544M,-39.03M,50.15M,-18.81M,68.96M,,-0.884M,,68.08M,68.43M,161.68M,72.50M,89.18M,0.95,0.0,,0.9552,0.95,0.95,0.0,,0.9551,0.95,68.58M,68.79M
2010-03,1.347B,1.347B,1.006B,341.25M,287.62M,,4.531M,33.91M,-33.91M,287.62M,53.62M,33.91M,-33.91M,4.531M,-33.91M,24.24M,2.974M,21.27M,,-0.732M,,20.54M,16.56M,134.95M,76.80M,58.15M,0.3,0.0,,0.242,0.3,0.3,0.0,,0.2422,0.3,68.52M,68.73M
2009-12,1.347B,1.347B,1.005B,341.69M,294.83M,,0.00,34.53M,-34.53M,294.83M,46.86M,34.53M,-34.53M,0.00,-34.53M,12.34M,-8.95M,21.29M,,-1.509M,,19.78M,19.78M,128.69M,81.83M,46.86M,0.29,0.0,,0.29,0.29,0.29,0.0,,0.29,0.29,68.47M,68.47M
2009-09,1.383B,1.383B,1.013B,369.46M,301.39M,,1.657M,32.32M,-32.32M,301.39M,68.07M,32.32M,-32.32M,1.657M,-32.32M,37.41M,2.015M,35.40M,,-1.047M,,34.35M,32.78M,146.16M,76.44M,69.73M,0.5,0.0,,0.4771,0.5,0.5,0.0,,0.4772,0.5,68.46M,68.65M
2009-06,1.406B,1.406B,1.039B,367.39M,292.71M,,5.568M,30.00M,-30.00M,292.71M,74.68M,30.00M,-30.00M,5.568M,-30.00M,50.24M,3.037M,47.21M,,-0.946M,,46.26M,41.03M,157.31M,77.06M,80.25M,0.68,0.0,,0.6036,0.68,0.67,0.0,,0.5938,0.67,68.45M,68.61M
2009-03,1.208B,1.208B,1.055B,153.69M,299.57M,,-1.637M,30.18M,-30.18M,299.57M,-145.88M,30.18M,-30.18M,-1.637M,-30.18M,-177.70M,-72.80M,-104.91M,,-0.978M,,-105.89M,-104.82M,-79.84M,67.68M,-147.52M,-1.55,0.0,,-1.534,-1.55,-1.55,0.0,,-1.534,-1.55,68.43M,68.43M
2008-12,1.485B,1.485B,1.129B,355.96M,324.89M,,-141.64M,30.00M,-30.00M,324.89M,31.07M,30.00M,-30.00M,-141.64M,-30.00M,-140.58M,-14.15M,-126.42M,,-1.193M,,-127.62M,-0.2316M,-41.54M,69.03M,-110.57M,-1.87,0.0,,-0.0081,-1.87,-1.87,0.0,,-0.0081,-1.87,68.42M,68.42M
2008-09,1.763B,1.763B,1.324B,439.07M,321.26M,,-1.422B,30.54M,-30.54M,321.26M,117.81M,30.54M,-30.54M,-1.422B,-30.54M,-1.334B,148.94M,-1.483B,,-1.524M,,-1.485B,-560.75M,-1.226B,77.71M,-1.304B,-21.7,0.0,,-8.193,-21.7,-21.7,0.0,,-8.193,-21.7,68.41M,68.41M
2008-06,1.840B,1.840B,1.357B,482.89M,336.83M,,-0.012M,32.74M,-32.74M,336.83M,146.06M,32.74M,-32.74M,-0.012M,-32.74M,113.31M,22.89M,90.42M,,-1.638M,,88.78M,88.79M,221.10M,75.05M,146.05M,1.3,0.0,,1.3,1.3,1.29,0.0,,1.29,1.29,68.40M,68.62M
2008-03,1.738B,1.738B,1.278B,459.84M,335.52M,,-1.44M,33.77M,-33.77M,335.52M,124.32M,33.77M,-33.77M,-1.44M,-33.77M,89.11M,22.38M,66.73M,,-1.339M,,65.39M,66.47M,196.13M,73.26M,122.88M,0.96,0.0,,0.9758,0.96,0.95,0.0,,0.9657,0.95,68.38M,68.58M
2007-12,1.807B,1.807B,1.318B,489.26M,308.80M,,0.003M,,,308.80M,180.47M,,,0.003M,,144.24M,-234.88M,379.11M,,,,379.11M,379.11M,270.52M,81.57M,188.95M,5.56,0.0,,5.56,5.56,5.53,0.0,,5.53,5.53,68.33M,68.58M
2007-09,1.938B,1.938B,1.392B,545.38M,344.57M,,0.799M,,,344.57M,200.81M,,,0.799M,,164.10M,42.04M,122.05M,,,,122.05M,121.46M,276.45M,75.64M,200.81M,1.79,0.0,,1.781,1.79,1.78,0.0,,1.771,1.78,68.28M,68.60M
2007-06,1.977B,1.977B,1.421B,556.70M,358.45M,,2.783M,,,358.45M,198.25M,,,2.783M,,161.89M,46.62M,115.27M,,,,115.27M,113.29M,273.63M,75.38M,198.25M,1.69,0.0,,1.661,1.69,1.68,0.0,,1.651,1.68,68.17M,68.53M
2007-03,1.864B,1.864B,1.340B,523.44M,352.86M,,4.895M,,,352.86M,170.58M,,,4.895M,,133.89M,43.52M,90.38M,,,,90.38M,87.07M,244.42M,73.85M,170.58M,1.33,0.0,,1.281,1.33,1.32,0.0,,1.272,1.32,67.91M,68.26M
2006-12,1.899B,1.899B,1.345B,554.08M,324.70M,,2.262M,,,324.70M,229.37M,,,2.262M,,189.05M,59.56M,129.49M,,,,129.49M,127.94M,301.65M,72.28M,229.37M,1.92,0.0,,1.8969999999999998,1.92,1.9,0.0,,1.8769999999999998,1.9,67.73M,68.06M
2006-09,2.024B,2.024B,1.456B,568.51M,345.77M,,8.779M,,,345.77M,222.74M,,,8.779M,,186.86M,59.16M,127.71M,,,,127.71M,121.71M,290.78M,68.04M,222.74M,1.89,0.0,,1.801,1.89,1.88,0.0,,1.7919999999999998,1.88,67.70M,68.02M
2006-06,2.058B,2.058B,1.466B,592.38M,369.33M,,2.634M,,,369.33M,223.04M,,,2.634M,,179.56M,60.04M,119.51M,,,,119.51M,117.76M,292.83M,69.78M,223.04M,1.77,0.0,,1.744,1.77,1.76,0.0,,1.734,1.76,67.69M,68.07M
2006-03,1.925B,1.925B,1.409B,516.34M,352.44M,,-2.727M,,,352.44M,163.90M,,,-2.727M,,120.84M,41.72M,79.12M,,,,79.12M,80.91M,228.75M,64.85M,163.90M,1.17,0.0,,1.196,1.17,1.16,0.0,,1.186,1.16,67.56M,68.08M
2005-12,1.805B,1.805B,1.373B,431.65M,289.72M,,-0.934M,,,289.72M,141.93M,,,-0.934M,,109.37M,38.68M,70.69M,,,,70.69M,71.29M,197.68M,55.76M,141.93M,1.48,0.0,,1.489,1.48,1.46,0.0,,1.469,1.46,67.25M,67.86M
2005-09,1.698B,1.698B,1.235B,462.95M,274.05M,,0.40M,,,274.05M,188.90M,,,0.40M,,178.53M,62.76M,115.76M,,,,115.76M,115.50M,220.04M,31.14M,188.90M,1.73,0.0,,1.726,1.73,1.71,0.0,,1.706,1.71,66.86M,67.52M
2005-06,1.625B,1.625B,1.187B,438.16M,271.02M,,-0.922M,,,271.02M,167.14M,,,-0.922M,,153.71M,55.63M,98.08M,,,,98.08M,98.67M,198.64M,31.50M,167.14M,1.47,0.0,,1.479,1.47,1.45,0.0,,1.459,1.45,66.81M,67.50M
2005-03,1.493B,1.493B,1.109B,384.70M,261.07M,,-2.004M,,,261.07M,123.63M,,,-2.004M,,109.75M,39.73M,70.02M,,,,70.02M,71.30M,155.90M,32.26M,123.63M,1.05,0.0,,1.069,1.05,1.03,0.0,,1.0490000000000002,1.03,66.80M,67.69M
2004-12,1.475B,1.475B,1.059B,415.92M,243.10M,,0.071M,,,243.10M,172.82M,,,0.071M,,160.58M,58.11M,102.47M,,,,102.47M,102.42M,202.83M,30.01M,172.82M,1.57,0.0,,1.569,1.57,1.55,0.0,,1.5490000000000002,1.55,66.69M,67.60M
2004-09,1.530B,1.530B,1.094B,436.05M,243.00M,,-2.467M,,,243.00M,193.06M,,,-2.467M,,176.67M,63.99M,112.69M,,,,112.69M,114.26M,225.02M,31.96M,193.06M,1.69,0.0,,1.714,1.69,1.67,0.0,,1.693,1.67,66.67M,67.47M
2004-06,1.486B,1.486B,1.083B,403.32M,252.65M,,-0.991M,,,252.65M,150.67M,,,-0.991M,,136.47M,49.31M,87.16M,,,,87.16M,87.79M,180.77M,30.10M,150.67M,1.31,0.0,,1.319,1.31,1.29,0.0,,1.2990000000000002,1.29,66.74M,67.56M
2004-03,1.390B,1.390B,1.024B,365.55M,246.51M,,-1.422M,,,246.51M,119.04M,,,-1.422M,,103.66M,37.36M,66.31M,,,,66.31M,67.22M,150.05M,31.01M,119.04M,1.0,0.0,,1.014,1.0,0.98,0.0,,0.9935,0.98,66.63M,67.60M
2003-12,1.364B,1.364B,950.30M,414.02M,239.65M,,0.728M,,,239.65M,174.36M,,,0.728M,,160.86M,58.72M,102.14M,,,,102.14M,101.68M,203.54M,29.17M,174.36M,1.54,0.0,,1.5330000000000001,1.54,1.52,0.0,,1.5130000000000001,1.52,66.50M,67.43M
2003-09,1.303B,1.303B,938.28M,364.89M,205.48M,,-1.333M,,,205.48M,159.40M,,,-1.333M,,143.91M,52.53M,91.38M,,,,91.38M,92.23M,185.41M,26.01M,159.40M,1.38,0.0,,1.393,1.38,1.36,0.0,,1.3730000000000002,1.36,66.26M,67.22M
2003-06,1.247B,1.247B,907.08M,340.10M,210.04M,,-1.059M,,,210.04M,130.07M,,,-1.059M,,118.09M,43.10M,74.98M,,,,74.98M,75.66M,156.46M,26.39M,130.07M,1.14,0.0,,1.15,1.14,1.12,0.0,,1.13,1.12,65.89M,66.71M
2003-03,1.085B,1.085B,809.92M,274.80M,196.60M,,0.48M,,,196.60M,78.19M,,,0.48M,,65.58M,23.94M,41.64M,,,,41.64M,41.34M,103.24M,25.05M,78.19M,0.63,0.0,,0.6254,0.63,0.62,0.0,,0.6155,0.62,66.36M,67.12M
2002-12,1.198B,1.198B,823.44M,374.65M,208.80M,,-9.573M,,,208.80M,165.86M,,,-9.573M,,129.69M,45.49M,84.20M,,,,84.20M,90.42M,192.30M,26.44M,165.86M,1.27,0.0,,1.364,1.27,1.26,0.0,,1.3530000000000002,1.26,66.33M,67.19M
2002-09,1.224B,1.224B,883.75M,340.66M,197.78M,,-0.888M,,,197.78M,142.88M,,,-0.888M,,125.56M,44.00M,81.56M,,,,81.56M,82.14M,167.90M,25.02M,142.88M,1.22,0.0,,1.229,1.22,1.21,0.0,,1.219,1.21,66.82M,67.68M
2002-06,1.228B,1.228B,888.56M,339.19M,200.12M,,0.154M,,,200.12M,139.06M,,,0.154M,,119.79M,44.27M,75.52M,,,,75.52M,75.42M,167.93M,28.87M,139.06M,1.12,0.0,,1.119,1.12,1.1,0.0,,1.099,1.1,67.48M,68.62M
2002-03,866.71M,866.71M,652.12M,214.60M,140.33M,,0.843M,,,140.33M,74.27M,,,0.843M,,68.59M,25.38M,43.21M,,,,43.21M,42.68M,95.88M,21.61M,74.27M,0.8,0.0,,0.7902,0.8,0.8,0.0,,0.7905,0.8,54.26M,55.96M
2001-12,895.80M,895.80M,675.80M,220.00M,122.42M,,-1.86M,,,122.42M,97.58M,,,-1.86M,,89.99M,30.80M,59.19M,,,,59.19M,60.42M,119.05M,21.47M,97.58M,1.13,0.0,,1.153,1.13,1.11,0.0,,1.133,1.11,52.63M,53.50M
2001-09,907.85M,907.85M,688.43M,219.42M,127.02M,,-1.051M,,,127.02M,92.41M,,,-1.051M,,84.49M,28.76M,55.73M,,,,55.73M,56.42M,113.08M,20.68M,92.41M,1.06,0.0,,1.073,1.06,1.05,0.0,,1.063,1.05,52.41M,53.21M
2001-06,864.96M,864.96M,648.80M,216.15M,132.59M,,-1.574M,,,132.59M,83.56M,,,-1.574M,,73.76M,27.29M,46.47M,,,,46.47M,47.46M,104.64M,21.08M,83.56M,0.89,0.0,,0.909,0.89,0.88,0.0,,0.8988,0.88,52.27M,52.88M
2001-03,777.34M,777.34M,600.02M,177.32M,123.72M,,-1.469M,,,123.72M,53.60M,,,-1.469M,,43.18M,15.98M,27.21M,,,,27.21M,28.13M,74.55M,20.94M,53.60M,0.52,0.0,,0.5377,0.52,0.51,0.0,,0.5275,0.51,52.36M,52.97M
2000-12,799.44M,799.44M,576.32M,223.12M,126.76M,,-1.608M,,,147.69M,75.43M,,,-1.608M,,64.36M,25.10M,39.26M,,,,39.26M,40.24M,96.36M,20.94M,75.43M,0.74,0.0,,0.7587,0.74,0.74,0.0,,0.7585,0.74,52.53M,52.95M
