,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-03,114.84M,,114.84M,1.675B,96.87M,1.690B,473.77M,167.72M,1.403B,2.045B,379.11M,,,68.21M,4.297B,,,,,7.808B,,,7.808B,-3.347B,4.461B,2.513B,899.99M,3.413B,389.94M,,8.263B,12.56B,897.52M,,,897.52M,343.03M,1.241B,40.46M,,1.974M,1.332B,1.334B,,1.334B,,,,2.796B,1.586B,,1.586B,339.66M,339.66M,8.066M,30.92M,462.22M,2.418B,5.214B,0.819M,6.213B,1.827B,215.75M,,,,-487.17M,7.338B
2017-12,84.88M,,84.88M,1.538B,96.08M,1.558B,462.70M,159.92M,1.326B,1.949B,376.84M,,,104.42M,4.073B,0.0,385.03M,1.414B,4.816B,,792.94M,78.80M,7.486B,-3.215B,4.271B,2.471B,891.77M,3.363B,387.87M,,8.022B,12.09B,810.03M,,,810.03M,386.28M,1.196B,39.04M,1.141B,8.879M,63.04M,1.213B,,1.213B,,,,2.655B,1.560B,,1.560B,328.10M,328.10M,7.847M,29.46M,455.03M,2.372B,5.028B,0.818M,6.005B,1.828B,215.77M,,,,-558.53M,7.059B
2017-09,84.50M,,84.50M,1.661B,80.65M,1.656B,448.17M,151.91M,1.311B,1.911B,325.16M,,,20.36M,3.997B,,,,,7.252B,,,7.252B,-3.162B,4.090B,2.454B,890.30M,3.345B,390.95M,,7.826B,11.82B,859.91M,,,859.91M,391.99M,1.252B,44.20M,1.150B,7.276M,22.43M,1.180B,,1.180B,,,,2.697B,1.545B,,1.545B,421.10M,421.10M,8.55M,28.51M,333.92M,2.328B,5.025B,0.817M,5.764B,1.811B,215.77M,,,,-571.37M,6.789B
2017-06,130.24M,,130.24M,1.652B,69.18M,1.640B,416.61M,149.23M,1.300B,1.866B,345.29M,,,29.64M,4.011B,,,,,6.959B,,,6.959B,-3.066B,3.892B,2.417B,878.30M,3.295B,391.16M,,7.579B,11.59B,871.44M,,,871.44M,342.85M,1.214B,45.08M,1.545B,11.74M,209.24M,1.766B,,1.766B,,,,3.221B,1.174B,,1.174B,389.26M,389.26M,8.015M,26.71M,323.85M,1.914B,5.135B,0.817M,5.494B,1.804B,215.77M,,,,-636.79M,6.446B
2017-03,188.44M,,188.44M,1.509B,64.03M,1.498B,386.81M,147.04M,1.207B,1.741B,279.15M,,,28.60M,3.735B,,,,,6.459B,,,6.459B,-2.953B,3.506B,2.293B,835.76M,3.129B,357.51M,,6.993B,10.73B,780.47M,,,780.47M,335.41M,1.116B,46.56M,1.458B,11.11M,39.66M,1.509B,,1.509B,,,,2.828B,1.132B,,1.132B,385.40M,385.40M,7.412M,24.20M,292.50M,1.834B,4.663B,0.817M,5.233B,1.789B,215.77M,,,,-749.99M,6.057B
2016-12,121.66M,,121.66M,1.386B,59.56M,1.376B,410.87M,137.31M,1.128B,1.676B,267.72M,,,30.22M,3.472B,0.0,288.63M,1.189B,4.216B,,472.23M,77.98M,6.244B,-2.873B,3.370B,2.274B,834.61M,3.109B,279.70M,,6.759B,10.23B,729.42M,,,729.42M,354.34M,1.084B,46.35M,820.30M,12.27M,562.44M,1.395B,,1.395B,,,,2.718B,1.129B,,1.129B,361.42M,361.42M,7.036M,23.70M,214.93M,1.729B,4.447B,0.815M,5.033B,1.792B,215.79M,,,,-833.03M,5.776B
2016-09,112.11M,,112.11M,1.524B,54.40M,1.506B,420.47M,137.80M,1.115B,1.673B,252.81M,,,31.84M,3.576B,,,,,6.163B,,,6.163B,-2.822B,3.341B,2.332B,876.72M,3.209B,294.85M,,6.844B,10.42B,767.25M,,,767.25M,410.84M,1.178B,37.51M,990.39M,12.10M,557.86M,1.560B,,1.560B,,,,2.983B,1.166B,,1.166B,360.51M,360.51M,7.246M,24.74M,213.76M,1.765B,4.748B,0.816M,4.799B,1.785B,215.79M,,,,-704.12M,5.665B
2016-06,112.05M,,112.05M,1.466B,56.07M,1.449B,415.82M,136.81M,1.107B,1.660B,259.25M,,,38.88M,3.519B,,,,,6.007B,,,6.007B,-2.763B,3.244B,2.323B,930.32M,3.253B,296.73M,,6.794B,10.31B,782.05M,,,782.05M,329.37M,1.111B,36.75M,1.169B,10.04M,626.34M,1.806B,,1.806B,,,,3.130B,1.161B,,1.161B,402.63M,402.63M,7.041M,23.68M,210.50M,1.798B,4.927B,0.815M,4.529B,1.780B,215.79M,,,,-715.86M,5.379B
2016-03,98.30M,,98.30M,1.423B,58.44M,1.407B,400.62M,144.13M,1.107B,1.652B,254.09M,,,59.40M,3.471B,,,,,5.935B,,,5.935B,-2.711B,3.224B,2.340B,950.98M,3.290B,306.94M,,6.822B,10.29B,751.27M,,,751.27M,288.68M,1.040B,37.25M,1.545B,12.33M,531.32M,2.089B,,2.089B,,,,3.324B,1.174B,,1.174B,393.14M,393.14M,6.953M,23.43M,221.89M,1.812B,5.136B,0.814M,4.274B,1.763B,215.80M,,,,-672.82M,5.150B
2015-12,81.69M,,81.69M,1.244B,71.08M,1.258B,387.06M,137.19M,1.083B,1.607B,258.63M,,,44.89M,3.250B,0.0,305.94M,1.120B,3.885B,,403.50M,68.98M,5.783B,-2.636B,3.147B,2.293B,936.54M,3.230B,307.40M,,6.684B,9.934B,696.97M,,,696.97M,328.49M,1.025B,35.52M,756.87M,14.02M,1.246B,2.017B,,2.017B,,,,3.259B,1.189B,,1.189B,388.13M,388.13M,6.69M,21.95M,215.46M,1.815B,5.074B,0.813M,4.103B,1.760B,215.80M,,,,-793.57M,4.854B
2015-09,110.72M,,110.72M,1.350B,58.71M,1.341B,401.78M,145.66M,1.074B,1.621B,226.66M,,152.90M,47.11M,3.499B,,,,,5.624B,,,5.624B,-2.577B,3.046B,2.281B,918.66M,3.199B,319.42M,,6.565B,10.06B,771.01M,,,771.01M,360.16M,1.131B,37.76M,702.27M,17.79M,1.226B,1.946B,,1.946B,,,,3.300B,1.263B,,1.263B,485.04M,485.04M,6.798M,22.15M,238.45M,2.009B,5.309B,0.813M,3.911B,1.751B,215.80M,,,,-698.30M,4.749B
2015-06,171.09M,,171.09M,1.398B,57.90M,1.388B,376.36M,139.24M,1.077B,1.592B,263.48M,,153.57M,40.39M,3.609B,,,,,5.526B,,,5.526B,-2.512B,3.015B,2.294B,931.30M,3.226B,316.79M,,6.557B,10.17B,727.68M,,,727.68M,352.08M,1.080B,39.47M,541.00M,21.82M,1.157B,1.720B,,1.720B,,,,3.002B,1.778B,,1.778B,518.06M,518.06M,6.648M,21.30M,232.06M,2.549B,5.551B,0.821M,3.696B,1.753B,215.80M,,,,-625.57M,4.608B
2015-03,107.04M,,107.04M,1.165B,56.24M,1.159B,371.28M,129.82M,1.005B,1.506B,247.49M,,147.03M,37.77M,3.204B,,,,,5.057B,,,5.057B,-2.438B,2.619B,1.553B,661.85M,2.215B,247.17M,,5.081B,8.285B,634.26M,,,634.26M,274.30M,908.56M,32.42M,657.10M,25.81M,1.149B,1.832B,,1.832B,,,,2.892B,606.08M,,606.08M,394.31M,394.31M,3.864M,,168.46M,1.169B,4.061B,0.812M,3.510B,1.604B,239.45M,,,,-655.39M,4.220B
2014-12,97.88M,,97.88M,1.081B,60.77M,1.082B,392.65M,129.47M,1.021B,1.543B,225.76M,,,31.57M,2.980B,0.0,294.55M,977.41M,3.446B,,348.46M,63.98M,5.130B,-2.427B,2.703B,1.604B,702.01M,2.306B,295.49M,,5.305B,8.286B,622.36M,,,622.36M,288.94M,911.30M,29.35M,301.60M,16.08M,549.70M,867.39M,,867.39M,,,,1.947B,1.402B,,1.402B,410.76M,410.76M,4.807M,,103.11M,1.916B,3.863B,0.811M,3.487B,1.599B,239.45M,,,,-429.32M,4.418B
2014-09,105.57M,,105.57M,1.227B,54.24M,1.210B,419.33M,133.60M,1.088B,1.640B,233.76M,,137.22M,42.22M,3.369B,,,,,5.175B,,,5.175B,-2.402B,2.773B,1.669B,746.30M,2.415B,145.10M,,5.333B,8.701B,715.10M,20.64M,,735.74M,283.02M,1.019B,31.00M,569.05M,23.33M,14.44M,606.83M,,606.83M,9.705M,9.705M,,1.831B,1.807B,,1.807B,374.95M,374.95M,5.793M,,111.82M,2.294B,4.125B,0.811M,3.340B,1.592B,239.45M,,,,-122.88M,4.571B
2014-06,70.04M,,70.04M,1.280B,57.16M,1.262B,412.68M,131.99M,1.100B,1.645B,230.26M,,135.26M,36.95M,3.379B,,,,,5.209B,,,5.209B,-2.379B,2.830B,1.731B,792.26M,2.523B,149.42M,,5.503B,8.882B,711.81M,12.84M,,724.64M,297.86M,1.023B,32.24M,560.00M,20.95M,59.23M,640.18M,,640.18M,11.71M,11.71M,,1.873B,1.808B,,1.808B,409.33M,409.33M,8.691M,,118.92M,2.336B,4.208B,0.81M,3.188B,1.580B,239.23M,,,,135.38M,4.665B
2014-03,72.64M,,72.64M,1.193B,57.12M,1.175B,397.57M,138.34M,1.096B,1.632B,207.62M,,133.81M,42.07M,3.263B,,,,,5.056B,,,5.056B,-2.311B,2.745B,1.722B,796.90M,2.519B,154.47M,,5.418B,8.681B,697.37M,15.26M,,712.62M,248.97M,961.59M,33.26M,591.14M,27.07M,63.73M,681.94M,,681.94M,9.075M,9.075M,,1.844B,1.812B,,1.812B,423.03M,423.03M,8.504M,,109.71M,2.345B,4.188B,0.81M,3.035B,1.573B,239.23M,,,,115.61M,4.485B
2013-12,54.07M,,54.07M,1.077B,55.50M,1.063B,403.77M,129.08M,1.039B,1.572B,204.03M,,147.53M,44.88M,3.086B,0.0,325.98M,1.059B,3.282B,,222.34M,60.29M,4.950B,-2.248B,2.702B,1.736B,811.60M,2.548B,159.02M,,5.408B,8.494B,631.73M,,,631.73M,321.18M,952.91M,35.82M,,18.01M,127.22M,145.23M,,145.23M,,,,1.321B,2.133B,,2.133B,445.82M,445.82M,9.249M,,124.45M,2.703B,4.024B,0.808M,2.954B,1.567B,239.23M,,,,178.69M,4.461B
2013-09,63.58M,,63.58M,1.164B,58.52M,1.154B,394.15M,128.53M,1.090B,1.613B,179.56M,,136.05M,42.20M,3.188B,,,,,4.927B,,,4.927B,-2.243B,2.684B,1.714B,811.12M,2.525B,166.71M,,5.376B,8.564B,727.77M,11.21M,,738.98M,286.93M,1.026B,33.57M,,18.48M,89.03M,107.51M,,107.51M,14.56M,14.56M,,1.385B,2.257B,,2.257B,452.59M,452.59M,9.148M,,135.32M,2.845B,4.231B,0.808M,2.859B,1.557B,239.14M,,,,146.22M,4.324B
2013-06,168.74M,,168.74M,1.164B,59.29M,1.146B,380.44M,120.66M,1.090B,1.592B,191.12M,,134.49M,38.74M,3.270B,,,,,2.594B,,,2.594B,,2.594B,1.691B,800.53M,2.491B,153.36M,,5.239B,8.509B,729.03M,5.308M,,734.34M,281.47M,1.016B,33.67M,,14.06M,83.17M,97.23M,,97.23M,14.26M,14.26M,,1.345B,2.451B,,2.451B,452.82M,452.82M,8.643M,,156.30M,3.060B,4.405B,0.807M,2.740B,1.544B,239.14M,,,,49.81M,4.096B
2013-03,1.120B,,1.120B,843.85M,23.76M,825.66M,344.34M,108.08M,777.82M,1.230B,134.94M,,113.52M,22.07M,3.447B,,,,,1.730B,,,1.730B,,1.730B,1.394B,569.36M,1.963B,121.90M,,3.815B,7.262B,459.40M,10.03M,,469.43M,192.60M,662.03M,35.48M,,17.41M,53.50M,70.91M,,70.91M,10.38M,10.38M,,877.63M,2.253B,,2.253B,319.29M,319.29M,1.366M,,87.32M,2.660B,3.537B,0.806M,2.656B,1.308B,323.39M,,,,82.24M,3.723B
2012-12,477.67M,,477.67M,691.55M,25.79M,679.47M,334.44M,103.68M,695.61M,1.134B,138.12M,,111.58M,9.463M,2.550B,0.0,178.11M,730.67M,2.649B,,145.37M,54.88M,3.758B,-2.065B,1.693B,1.386B,553.80M,1.940B,121.22M,,3.754B,6.304B,387.87M,2.074M,,389.94M,206.88M,596.83M,32.93M,,25.48M,55.21M,80.69M,,80.69M,6.309M,6.309M,,828.65M,1.328B,,1.328B,329.81M,329.81M,,0.00,97.88M,1.755B,2.584B,0.802M,2.605B,1.278B,323.46M,,,,159.73M,3.720B
2012-09,380.84M,,380.84M,802.60M,54.84M,817.21M,323.98M,107.68M,707.74M,1.139B,128.50M,,113.00M,17.78M,2.597B,,,,,,,,,,1.657B,1.371B,554.26M,1.926B,122.91M,,3.706B,6.303B,397.86M,,18.62M,416.48M,231.34M,647.82M,,,,,57.67M,,57.67M,6.184M,6.184M,,818.86M,1.467B,,1.467B,329.19M,329.19M,0.00,,92.36M,1.889B,2.708B,0.801M,2.539B,1.266B,323.46M,,,,112.85M,3.595B
2012-06,319.46M,,319.46M,794.69M,29.48M,782.12M,335.97M,106.00M,719.10M,1.161B,127.50M,,126.61M,17.41M,2.534B,,,,,,,,,,1.652B,1.363B,564.95M,1.928B,149.84M,,3.731B,6.265B,381.50M,,19.33M,400.83M,231.32M,632.15M,,,,,57.16M,,57.16M,7.32M,7.32M,,790.57M,1.571B,,1.571B,334.07M,334.07M,0.00,,93.29M,1.998B,2.788B,0.80M,2.468B,1.260B,323.46M,,,,70.46M,3.476B
2012-03,304.78M,,304.78M,753.74M,28.26M,782.00M,343.46M,110.88M,710.66M,1.165B,113.76M,,156.11M,22.99M,2.545B,,,,,,,,,,1.718B,1.391B,599.62M,1.990B,145.83M,,3.855B,6.399B,398.84M,,7.335M,406.18M,212.27M,618.45M,,,,,57.31M,,57.31M,8.102M,8.102M,,778.69M,1.642B,,1.642B,362.95M,362.95M,0.00,,95.84M,2.101B,2.880B,0.80M,2.395B,1.256B,323.46M,,,,190.62M,3.519B
2011-12,311.94M,,311.94M,696.86M,31.31M,686.16M,329.44M,113.31M,670.88M,1.114B,112.78M,,150.91M,22.74M,2.398B,0.0,180.58M,682.40M,2.561B,,160.93M,54.50M,3.640B,-1.928B,1.712B,1.375B,605.10M,1.980B,115.64M,,3.808B,6.206B,372.62M,0.00,,372.62M,188.80M,561.41M,30.14M,,17.59M,386.26M,403.84M,,403.84M,8.76M,8.76M,,1.101B,1.200B,,1.200B,355.65M,355.65M,,33.72M,99.54M,1.689B,2.790B,0.798M,2.355B,1.248B,323.55M,,,,135.64M,3.416B
2011-09,276.16M,,276.16M,747.95M,16.66M,775.42M,325.27M,104.65M,702.15M,1.132B,104.25M,0.00,131.93M,20.76M,2.441B,,,,,,,,3.627B,-1.930B,1.696B,1.389B,634.16M,2.024B,117.20M,,3.837B,6.278B,412.95M,3.85M,,416.80M,247.34M,664.13M,,,,,438.30M,,438.30M,6.986M,6.986M,,1.213B,1.173B,,1.173B,343.87M,343.87M,32.76M,,95.93M,1.613B,2.826B,0.798M,2.312B,1.245B,323.55M,,,,184.63M,3.419B
2011-06,285.42M,,285.42M,759.72M,27.37M,797.89M,328.89M,98.28M,675.60M,1.103B,103.52M,0.00,135.34M,22.30M,2.447B,,,,,,,,3.650B,-1.919B,1.731B,1.419B,592.43M,2.011B,110.84M,88.74M,3.942B,6.389B,416.91M,4.373M,,421.28M,242.90M,664.19M,,,,,453.18M,,453.18M,7.894M,7.894M,,1.224B,1.155B,,1.155B,366.61M,366.61M,32.30M,,93.50M,1.615B,2.840B,0.798M,2.265B,1.243B,323.55M,,,,331.56M,3.517B
2011-03,256.23M,,256.23M,759.16M,31.00M,754.83M,308.52M,111.42M,655.67M,1.076B,97.85M,0.00,133.49M,21.67M,2.340B,,,,,,,,3.610B,-1.894B,1.716B,1.407B,689.70M,2.096B,114.23M,,3.927B,6.266B,396.78M,9.286M,,406.06M,185.77M,591.83M,,,,,52.71M,,52.71M,10.01M,10.01M,36.44M,792.47M,1.577B,,1.577B,355.34M,355.34M,33.26M,,94.64M,2.027B,2.820B,0.797M,2.204B,1.239B,323.63M,,,,292.83M,3.413B
2010-12,354.22M,,354.22M,,,614.47M,286.16M,97.26M,624.08M,1.008B,91.73M,27.95M,133.30M,19.43M,2.249B,0.0,186.41M,703.94M,2.444B,,130.00M,54.16M,3.518B,-1.831B,1.687B,1.369B,677.13M,2.047B,116.67M,,3.850B,6.099B,353.39M,9.301M,,362.69M,230.56M,593.24M,,,,,350.59M,,350.59M,5.089M,5.089M,,1.049B,1.303B,,1.303B,346.50M,346.50M,35.44M,,93.52M,1.743B,2.792B,0.797M,2.181B,1.235B,323.63M,,,,178.10M,3.272B
2010-09,365.84M,,365.84M,,,697.49M,285.02M,89.76M,621.50M,996.27M,87.21M,,119.73M,27.67M,2.294B,,,,,,,,3.488B,-1.808B,1.681B,1.389B,710.93M,2.100B,117.18M,,3.898B,6.192B,389.26M,6.134M,38.70M,434.10M,342.79M,776.88M,,,,,351.49M,,351.49M,2.94M,2.94M,,1.131B,1.303B,,1.303B,352.23M,352.23M,31.01M,,89.72M,1.745B,2.876B,0.796M,2.138B,1.232B,323.26M,,,,236.38M,3.284B
2010-06,342.67M,,342.67M,,,703.46M,282.01M,94.20M,589.56M,965.78M,118.10M,,135.61M,19.24M,2.285B,,,,,,,,3.400B,-1.746B,1.654B,1.340B,686.16M,2.026B,38.74M,,3.719B,6.004B,393.32M,33.14M,,426.46M,334.95M,761.42M,,,,,351.31M,,351.31M,2.993M,2.993M,44.50M,1.160B,1.303B,,1.303B,340.77M,340.77M,30.25M,,90.58M,1.735B,2.895B,0.796M,2.087B,1.230B,323.26M,,,,83.80M,3.079B
2010-03,452.34M,,452.34M,,,788.12M,274.66M,83.56M,574.57M,932.78M,109.97M,,136.52M,23.73M,2.443B,,,,,,,,3.427B,-1.708B,1.719B,1.378B,736.35M,2.114B,42.52M,,3.875B,6.319B,383.01M,93.90M,53.45M,530.36M,325.68M,856.04M,,,,,551.43M,,551.43M,3.649M,3.649M,,1.411B,1.303B,,1.303B,353.77M,353.77M,29.87M,,99.09M,1.756B,3.167B,0.796M,2.019B,1.228B,323.26M,,,,196.93M,3.122B
2009-12,531.46M,,531.46M,,,673.93M,249.23M,84.41M,559.34M,892.98M,108.95M,0.00,130.99M,20.69M,2.359B,0.0,195.17M,722.53M,2.429B,,67.42M,55.00M,3.470B,-1.678B,1.791B,1.411B,785.34M,2.196B,44.56M,,4.032B,6.391B,335.40M,85.70M,17.90M,439.00M,289.02M,728.02M,,,,,52.91M,,52.91M,2.836M,2.836M,,884.02M,1.802B,,1.802B,370.90M,370.90M,33.46M,,100.67M,2.273B,3.157B,0.795M,1.999B,1.228B,323.36M,,,,296.92M,3.201B
2009-09,306.14M,,306.14M,,,832.10M,267.16M,86.40M,585.91M,939.48M,117.37M,,164.02M,,2.359B,,,,,,,,3.474B,-1.632B,1.842B,1.424B,817.59M,2.242B,45.59M,,4.129B,6.488B,353.28M,72.48M,78.87M,504.63M,371.48M,876.11M,,,,,53.16M,,53.16M,0.472M,0.472M,,929.74M,1.802B,,1.802B,402.54M,402.54M,30.22M,,107.95M,2.313B,3.242B,0.795M,1.979B,1.225B,323.36M,,,,334.73M,3.216B
2009-06,226.54M,,226.54M,,,778.46M,249.99M,87.78M,598.57M,936.34M,127.87M,,186.57M,,2.256B,,,,,,,,3.454B,-1.590B,1.864B,1.399B,812.19M,2.211B,24.15M,,4.100B,6.356B,355.04M,40.75M,109.85M,505.64M,367.81M,873.45M,,,,,55.34M,,55.34M,2.144M,2.144M,,930.92M,1.804B,,1.804B,383.14M,383.14M,29.55M,,107.22M,2.294B,3.225B,0.795M,1.944B,1.222B,323.36M,,,,256.48M,3.101B
