,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2016-09,270.83M,-8.428M,-8.428M,103.68M,103.68M,-45.26M,47.90M,5.294M,,18.78M,-54.06M,-12.27M,,90.40M,14.27M,4.474M,,42.81M,435.60M,-183.85M,,-183.85M,0.00,,,-183.85M,-68.72M,-185.58M,-254.30M,,-0.208M,-0.208M,,2.291M,-252.22M,112.05M,-0.458M,0.517M,112.11M,,3.661B,-3.915B,-0.208M
2016-06,256.11M,-4.753M,-4.753M,101.21M,101.21M,7.497M,,14.49M,,4.271M,-57.13M,-17.80M,,85.13M,28.27M,-4.422M,,34.04M,412.87M,-136.08M,,-136.08M,0.00,,,-136.08M,96.01M,-360.17M,-264.16M,,-1.269M,-1.269M,,0.989M,-264.44M,98.30M,12.35M,1.394M,112.05M,,6.681B,-6.946B,-1.269M
2016-03,172.12M,2.332M,2.332M,100.19M,100.19M,9.878M,,9.059M,,5.253M,-144.12M,-23.50M,,-5.251M,24.84M,1.074M,,-146.96M,151.87M,-140.83M,,-140.83M,0.00,,,-140.83M,-753.91M,766.01M,12.10M,,-10.40M,-10.40M,,-1.923M,-0.23M,81.69M,10.81M,5.805M,98.30M,,7.879B,-7.867B,-10.40M
2015-12,192.00M,2.658M,2.658M,94.02M,94.02M,6.288M,,8.064M,,14.37M,126.09M,9.619M,,-139.55M,-42.20M,0.833M,,-45.21M,272.20M,-151.59M,,-151.59M,-158.85M,,,-310.44M,-37.79M,67.54M,29.74M,,,,,-1.857M,16.30M,110.72M,-21.94M,-7.083M,81.69M,,2.804B,-2.775B,
2015-09,215.70M,-0.137M,-0.137M,94.96M,94.96M,-22.47M,,8.292M,,4.898M,40.46M,-40.66M,,64.30M,24.64M,-0.539M,,88.19M,389.43M,-123.65M,,-123.65M,-20.43M,,,-144.08M,-455.71M,160.80M,-294.90M,,,,,-3.731M,-298.63M,171.09M,-53.28M,-7.09M,110.72M,,4.837B,-5.131B,
2015-06,186.77M,0.952M,0.952M,88.01M,88.01M,-13.01M,,7.76M,,7.161M,-72.71M,29.69M,,73.18M,6.564M,2.795M,,39.52M,317.16M,-122.63M,,-122.63M,-1.188B,,,-1.311B,1.177B,-116.10M,1.061B,,,,,-7.047M,1.054B,107.04M,60.42M,3.628M,171.09M,,5.428B,-4.367B,
2015-03,22.50M,-0.466M,-0.466M,85.66M,85.66M,0.308M,,8.436M,,6.657M,-108.23M,7.758M,,8.551M,-64.81M,-16.01M,,-172.74M,-49.65M,-105.79M,,-105.79M,-3.328M,,,-109.12M,-195.62M,355.50M,159.88M,,,,,15.43M,175.30M,97.88M,16.54M,-7.372M,107.04M,,5.214B,-5.054B,
2014-12,147.08M,1.642M,17.07M,95.66M,95.66M,20.82M,,6.464M,,2.419M,79.54M,41.86M,,-70.12M,-2.11M,0.082M,,49.25M,338.76M,-170.22M,,-170.22M,-3.867M,,,-174.09M,125.84M,-267.45M,-141.61M,,,,,-10.53M,-152.14M,105.57M,12.54M,-20.23M,97.88M,,3.168B,-3.310B,
2014-09,151.26M,-0.189M,16.34M,85.17M,85.17M,-22.86M,,7.30M,,5.327M,13.44M,-34.28M,,22.22M,-14.32M,-4.064M,,-16.99M,225.55M,-141.88M,,-141.88M,0.00,,,-141.88M,-42.49M,9.05M,-33.44M,,,,,-8.333M,-41.78M,70.04M,41.89M,-6.365M,105.57M,,2.557B,-2.591B,
2014-06,152.86M,0.294M,0.294M,83.75M,83.75M,-12.17M,,6.583M,,4.09M,-85.93M,-8.955M,,35.05M,-15.81M,9.11M,,-66.53M,168.88M,-127.62M,,-127.62M,0.00,,,-127.62M,-7.967M,-31.14M,-39.11M,0.00,,0.00,,-5.572M,-44.68M,72.64M,-3.416M,0.815M,70.04M,0.00,2.088B,-2.127B,
2014-03,81.05M,0.406M,0.406M,80.98M,80.98M,-9.814M,,7.614M,,4.661M,-114.76M,-65.64M,,-36.36M,1.858M,-21.00M,,-235.91M,-71.01M,-122.08M,,-122.08M,0.019M,,,-122.06M,-393.43M,591.14M,197.71M,,,,,15.33M,213.04M,54.07M,19.98M,-1.396M,72.64M,,1.561B,-1.363B,
2013-12,107.26M,-0.453M,-0.453M,86.33M,86.33M,-22.73M,,4.477M,,27.43M,70.28M,25.71M,,-70.78M,-21.71M,-7.633M,,-4.125M,198.19M,-111.03M,,-111.03M,6.00M,,,-105.03M,-110.55M,,-110.55M,,,,,7.662M,-102.89M,63.58M,-9.727M,0.213M,54.07M,,821.80M,-932.35M,
2013-09,119.56M,1.292M,1.292M,81.55M,81.55M,-23.55M,,4.336M,,13.67M,5.865M,-5.369M,,-0.264M,19.75M,-3.784M,,16.20M,213.06M,-109.43M,,-109.43M,-0.002M,,,-109.43M,-222.88M,0.00,-222.88M,,,,,11.36M,-211.53M,168.74M,-107.90M,2.733M,63.58M,,1.059B,-1.282B,
2013-06,84.38M,0.371M,0.371M,80.64M,80.64M,-10.27M,,3.994M,,20.17M,-51.64M,9.579M,,31.55M,-15.71M,-0.21M,,-26.43M,152.86M,-82.82M,,-82.82M,-301.70M,,,-384.51M,-728.57M,0.00,-728.57M,,,,,-1.759M,-730.33M,1.120B,-961.98M,10.56M,168.74M,,506.17M,-1.235B,
2013-03,50.57M,0.051M,0.051M,60.35M,60.35M,-5.985M,,5.504M,,8.222M,-120.81M,-50.13M,,15.57M,11.12M,-13.39M,,-157.65M,-38.94M,-63.28M,,-63.28M,-147.77M,,,-211.05M,923.60M,0.00,923.60M,,,,,14.38M,937.98M,477.67M,687.98M,-45.48M,1.120B,,1.463B,-539.04M,
2012-12,66.39M,3.009M,3.009M,63.88M,63.88M,1.702M,,2.872M,,6.109M,108.17M,7.644M,31.82M,-0.451M,2.599M,-4.696M,,145.08M,289.04M,-73.30M,,-73.30M,0.00,,,-73.30M,-142.02M,,-142.02M,,,,,12.88M,-129.14M,380.84M,86.61M,10.22M,477.67M,,512.80M,-654.82M,
2012-09,70.30M,1.78M,1.78M,71.30M,71.30M,5.618M,,2.811M,,4.229M,2.623M,27.76M,0.00,23.63M,-6.15M,-0.937M,,46.93M,202.97M,-47.31M,,-47.31M,0.00,,,-47.31M,-102.91M,,-102.91M,,,,,2.034M,-100.88M,319.46M,54.78M,6.594M,380.84M,,302.70M,-405.61M,
2012-06,73.19M,-0.426M,-0.426M,71.83M,71.83M,6.695M,,2.828M,,2.655M,-8.418M,-6.155M,0.00,2.186M,-7.878M,-2.031M,,-22.30M,140.05M,-44.44M,,-44.44M,-7.007M,,,-51.44M,-71.84M,,-71.84M,,,,,13.07M,-58.78M,304.78M,29.83M,-15.14M,319.46M,,588.30M,-660.14M,
2012-03,41.01M,0.419M,0.419M,73.29M,73.29M,-4.978M,,5.571M,,5.571M,-91.48M,-46.33M,-31.82M,13.81M,1.565M,-5.523M,,-159.78M,-44.47M,-43.25M,,-43.25M,0.00,,,-43.25M,113.12M,,113.12M,,,,,-41.16M,71.96M,311.94M,-15.76M,8.592M,304.78M,,443.50M,-330.38M,
2011-12,43.90M,-2.229M,-2.229M,74.93M,74.93M,-3.884M,,2.03M,,7.696M,77.64M,14.48M,6.293M,-48.89M,,,-1.94M,40.36M,162.80M,-93.31M,,-93.31M,0.00,,,-93.31M,245.62M,-270.50M,-24.87M,,,,,-0.283M,-25.16M,276.16M,44.34M,-8.548M,311.94M,,303.31M,-328.18M,
2011-09,47.70M,0.471M,1.587M,74.21M,74.21M,-1.063M,,2.091M,,0.929M,10.60M,-29.91M,0.90M,-0.654M,,,3.206M,-15.85M,109.60M,-69.74M,,-69.74M,-24.10M,0.00,,-93.84M,-14.92M,17.50M,2.573M,,,,,-7.129M,-4.556M,285.42M,11.20M,-20.47M,276.16M,,538.42M,-535.85M,
2011-06,62.09M,0.348M,0.348M,74.34M,74.34M,2.151M,,2.177M,,6.514M,-40.18M,-24.48M,-4.616M,19.03M,,,-1.387M,-51.62M,96.00M,-59.71M,,-59.71M,,0.00,,-59.71M,-274.59M,218.61M,-55.98M,-1.067M,,-1.067M,,45.24M,-11.80M,256.23M,24.49M,4.701M,285.42M,-1.067M,283.10M,-304.69M,
2011-03,24.54M,0.137M,0.137M,74.25M,74.25M,-1.82M,,3.861M,,6.813M,-131.83M,-60.30M,-2.577M,19.39M,,,0.121M,-175.20M,-67.41M,-52.81M,,-52.81M,,,,-52.81M,-23.78M,34.39M,10.61M,1.067M,,1.067M,,-3.283M,8.392M,354.22M,-111.83M,13.85M,256.23M,1.067M,607.33M,-631.11M,
2010-12,47.44M,0.13M,0.13M,74.52M,74.52M,-8.793M,,1.664M,,0.078M,78.41M,-14.96M,1.105M,-62.17M,,,9.999M,-5.719M,109.32M,-69.94M,,-69.94M,0.00,,0.001M,-69.94M,6.504M,,6.504M,-1.126M,,-1.126M,,-49.27M,-43.90M,365.84M,-4.517M,-7.101M,354.22M,-1.126M,-0.198M,6.702M,
2010-09,52.26M,-4.153M,-4.153M,72.96M,72.96M,5.852M,,1.74M,0.162M,3.33M,15.41M,-21.04M,9.203M,-12.54M,,,-1.769M,-10.73M,121.42M,-39.10M,,-39.10M,-79.92M,,4.614M,-114.40M,0.01M,3.229M,3.239M,0.113M,,0.113M,,-2.615M,0.737M,342.67M,7.75M,15.41M,365.84M,0.113M,0.01M,3.229M,
2010-06,90.24M,-1.289M,2.221M,72.50M,72.50M,-12.66M,,1.626M,-0.134M,-12.34M,78.66M,-38.80M,-7.464M,-31.88M,,,-6.78M,-6.276M,135.17M,-23.83M,,-23.83M,,,,-23.83M,-207.81M,-2.34M,-210.15M,0.619M,,0.619M,,-0.463M,-210.00M,452.34M,-98.66M,-11.00M,342.67M,0.619M,0.581M,-210.74M,
2010-03,,0.337M,4.341M,76.80M,76.80M,-5.675M,,1.858M,-0.028M,21.27M,-116.01M,-44.10M,-2.844M,19.64M,,,-1.45M,-144.76M,-46.19M,-23.31M,,-23.31M,,,,-23.31M,0.496M,-0.889M,-0.393M,0.394M,,0.394M,,-2.043M,-2.042M,531.46M,-71.54M,-7.58M,452.34M,0.394M,-0.393M,0.00,
2009-12,21.29M,1.163M,30.95M,81.83M,81.83M,1.523M,,2.913M,0.342M,3.255M,155.50M,43.20M,5.972M,-74.90M,,,-9.137M,120.64M,259.48M,-37.64M,,-37.64M,0.00,,,-37.64M,-0.24M,4.738M,4.498M,0.545M,,0.545M,3.877M,-1.825M,7.095M,306.14M,228.94M,-3.623M,531.46M,0.545M,22.68M,-18.18M,
2009-09,35.40M,-0.662M,15.36M,76.44M,76.44M,33.32M,,2.11M,-0.001M,2.109M,-42.75M,5.424M,11.63M,5.926M,,,0.33M,-19.44M,143.17M,-18.36M,,-18.36M,-5.924M,,,-24.28M,-4.054M,-3.455M,-7.509M,0.258M,,0.258M,-0.376M,-38.30M,-45.93M,226.54M,72.97M,6.636M,306.14M,0.258M,-4.054M,-3.455M,
2009-06,47.21M,0.458M,8.209M,77.06M,77.06M,-0.392M,,2.111M,0.004M,2.115M,13.05M,54.42M,1.393M,34.89M,,,-6.327M,97.43M,231.63M,-25.83M,,-25.83M,,,,-25.83M,-0.215M,-121.89M,-122.10M,0.072M,,0.072M,-3.501M,4.54M,-120.99M,136.55M,84.81M,5.185M,226.54M,0.072M,59.37M,-181.47M,
2009-03,-104.91M,0.522M,4.379M,67.68M,67.68M,-55.03M,,2.519M,-0.003M,2.516M,-95.52M,173.12M,-1.674M,45.59M,,,1.762M,123.28M,37.92M,-27.09M,,-27.09M,,,,-27.09M,11.05M,15.80M,26.84M,0.009M,,0.009M,0.00,7.126M,33.98M,93.52M,44.80M,-1.771M,136.55M,0.009M,283.40M,-256.56M,
2008-12,-121.92M,-0.631M,28.99M,69.03M,69.03M,-54.94M,124.48M,2.915M,-0.017M,127.38M,229.76M,58.56M,35.79M,-174.56M,,,1.014M,150.57M,199.11M,-62.50M,,-62.50M,0.07M,,,-62.43M,-11.52M,-100.26M,-111.77M,0.258M,,0.258M,-0.602M,4.053M,-108.06M,62.02M,28.61M,2.883M,93.52M,0.258M,308.07M,-419.84M,
2008-09,-1.485B,0.266M,0.266M,77.71M,77.71M,119.12M,1.419B,2.537M,-0.581M,1.421B,37.08M,9.772M,-43.07M,46.25M,,,7.064M,57.10M,190.29M,-49.51M,,-49.51M,-8.346M,,,-57.86M,-0.071M,-127.58M,-127.65M,0.10M,,0.10M,-5.45M,-0.624M,-133.62M,64.04M,-1.195M,-0.818M,62.02M,0.10M,346.98M,-474.63M,
2008-06,88.78M,3.308M,3.308M,75.05M,75.05M,3.043M,,3.994M,0.402M,4.396M,-26.94M,45.39M,-1.593M,70.17M,,,5.268M,92.29M,266.87M,-49.84M,,-49.84M,,,,-49.84M,-0.083M,-223.63M,-223.71M,0.703M,,0.703M,,-3.233M,-226.24M,73.29M,-9.21M,-0.041M,64.04M,0.703M,194.05M,-417.77M,
2008-03,65.39M,-0.671M,-0.671M,73.26M,73.26M,2.618M,,2.545M,-0.138M,2.407M,-121.70M,-11.02M,-14.90M,-69.77M,,,-5.791M,-223.18M,-80.18M,-55.97M,,-55.97M,,,,-55.97M,-0.147M,118.16M,118.02M,0.854M,,0.854M,,0.138M,119.01M,89.60M,-17.14M,0.827M,73.29M,0.854M,421.34M,-303.33M,
2007-12,379.11M,,-1.05M,81.57M,81.57M,-309.37M,,,,2.467M,177.20M,24.60M,,-113.20M,-20.73M,,21.62M,120.51M,273.24M,-65.24M,,-65.24M,-4.325M,,,-69.57M,,,-110.14M,2.331M,,2.331M,,-88.06M,-195.87M,81.66M,7.799M,0.141M,89.60M,2.331M,,,
2007-09,122.05M,,7.796M,75.64M,75.64M,31.41M,,,,2.619M,37.75M,-2.531M,,-11.06M,20.73M,,2.989M,47.87M,287.38M,-37.45M,,-37.45M,-142.77M,,,-180.22M,,,-52.81M,3.162M,,3.162M,,-28.69M,-78.34M,57.76M,28.82M,-4.923M,81.66M,3.162M,,,
2007-06,115.27M,,0.764M,75.38M,75.38M,-6.712M,,,,0.868M,-20.72M,17.00M,,49.30M,,,-5.469M,40.12M,225.68M,-35.43M,,-35.43M,,,,-35.43M,,,-287.66M,10.95M,,10.95M,,85.78M,-190.93M,53.60M,-0.669M,4.834M,57.76M,10.95M,,,
2007-03,90.38M,,0.179M,73.85M,73.85M,-5.228M,,,,0.812M,-66.76M,-18.10M,,16.19M,,,-2.55M,-71.22M,88.77M,-24.96M,,-24.96M,,,,-24.96M,,,-83.59M,14.43M,,14.43M,,-5.719M,-74.88M,63.49M,-11.07M,1.174M,53.60M,14.43M,,,
2006-12,129.49M,,-0.27M,72.28M,72.28M,-4.93M,,,,2.341M,82.90M,52.83M,,-86.18M,-18.64M,,5.985M,36.89M,235.80M,-41.72M,,-41.72M,0.00,,,-41.72M,,,-80.93M,3.164M,0.00,3.164M,,-123.19M,-200.95M,69.73M,-6.869M,0.631M,63.49M,3.164M,,,0.00
2006-09,127.71M,,1.671M,68.04M,68.04M,-48.52M,,,,2.263M,21.05M,7.749M,,-1.805M,18.64M,,6.736M,52.37M,203.53M,-41.39M,,-41.39M,2.335M,,,-39.05M,,,-278.47M,1.867M,-5.18M,-3.313M,,113.80M,-167.99M,73.40M,-3.506M,-0.162M,69.73M,1.867M,,,-5.18M
2006-06,119.51M,,4.224M,69.78M,69.78M,-19.59M,,,,1.291M,-1.091M,-24.17M,,92.87M,,,-4.645M,62.96M,238.18M,-37.03M,,-37.03M,-73.24M,,,-110.27M,,,-160.85M,1.359M,,1.359M,,20.25M,-139.24M,82.17M,-11.33M,2.553M,73.40M,1.359M,,,
2006-03,79.12M,,,64.85M,64.85M,4.085M,,,,2.452M,-91.24M,-31.58M,,74.18M,,,2.659M,-45.98M,104.53M,-45.63M,,-45.63M,,,,-45.63M,,,-82.41M,6.279M,,6.279M,,-36.54M,-112.66M,134.58M,-53.77M,1.358M,82.17M,6.279M,,,
2005-12,99.63M,,8.602M,55.76M,55.76M,0.917M,,,,-4.749M,145.12M,47.93M,,-58.98M,-4.527M,,1.245M,73.35M,233.51M,-96.50M,,-96.50M,-2.563B,,,-2.659B,,,2.518B,48.53M,0.927M,49.46M,,,2.567B,0.00,,,134.58M,48.53M,,,0.927M
2005-09,115.76M,,0.088M,31.14M,31.14M,3.975M,,,,0.921M,-35.64M,24.09M,,29.87M,4.527M,,-1.479M,21.37M,173.25M,-51.45M,,-51.45M,0.00,,,-51.45M,,,-112.65M,2.497M,-0.927M,1.57M,,-10.72M,-121.80M,0.00,,,0.00,2.497M,,,-0.927M
2005-06,101.72M,,-0.749M,31.50M,31.50M,4.412M,,,,3.828M,-36.20M,8.279M,,-6.985M,,,-1.722M,-36.63M,104.08M,-64.83M,,-64.83M,0.00,,,-64.83M,,,-34.67M,1.922M,-14.52M,-12.60M,,8.018M,-39.25M,0.00,,,0.00,1.922M,,,-14.52M
2005-03,70.02M,,1.973M,32.26M,32.26M,,,,,,-69.70M,-113.87M,,128.06M,,,1.956M,-53.56M,50.70M,-34.52M,,-34.52M,-50.61M,,,-85.13M,,,27.16M,4.559M,,4.559M,,2.707M,34.43M,0.00,,,0.00,4.559M,,,
2004-12,102.47M,,3.379M,30.01M,30.01M,,,,,,57.36M,-17.18M,,-160.09M,-8.467M,0.619M,,-127.76M,46.80M,-36.22M,,-36.22M,0.00,,,-36.22M,,,-15.98M,4.148M,0.00,4.148M,,1.255M,-10.58M,0.00,,,0.00,4.148M,,,0.00
2004-09,112.69M,,2.649M,31.96M,31.96M,,,,,,-19.15M,-74.41M,,84.40M,0.459M,-0.243M,,-8.944M,138.36M,-31.71M,,-31.71M,0.00,,,-31.71M,,,-6.56M,2.357M,-11.23M,-8.874M,,-91.21M,-106.65M,0.00,,,0.00,2.357M,,,-11.23M
2004-06,87.16M,,0.81M,30.10M,30.10M,,,,,,-33.08M,-23.12M,,-8.243M,2.413M,-1.615M,,-63.65M,54.42M,-25.51M,,-25.51M,-15.00M,,,-40.50M,,,14.18M,1.199M,-7.182M,-5.983M,,-22.11M,-13.92M,0.00,,,0.00,1.199M,,,-7.182M
2004-03,66.31M,,3.744M,31.01M,31.01M,,,,,,-90.54M,-65.06M,,58.69M,-1.003M,0.105M,,-97.80M,3.261M,-13.17M,,-13.17M,,,,-13.17M,,,-20.71M,7.253M,,7.253M,,23.36M,9.906M,0.00,,,0.00,7.253M,,,
2003-12,102.14M,,4.221M,29.17M,29.17M,34.78M,,,,,52.06M,38.68M,,-94.74M,-10.06M,0.704M,,-13.36M,156.95M,-34.31M,,-34.31M,-354.81M,,,-389.12M,,,40.88M,2.281M,-0.001M,2.28M,,172.65M,215.81M,16.36M,-16.36M,,0.00,2.281M,,,-0.001M
2003-09,91.38M,,5.613M,26.01M,26.01M,,,,,,-22.75M,-24.64M,,27.23M,-3.245M,1.714M,,-21.69M,101.31M,-10.69M,,-10.69M,-29.31M,,,-40.00M,,,-55.80M,11.69M,0.00,11.69M,,-0.846M,-44.95M,0.00,16.36M,,16.36M,11.69M,,,0.00
2003-06,74.98M,,1.566M,26.39M,26.39M,-1.315M,,,,,-37.16M,-35.37M,,-12.21M,4.712M,2.81M,,-77.22M,24.40M,-44.97M,,-44.97M,,,,-44.97M,,,28.30M,3.044M,-4.877M,-1.833M,,-5.905M,20.56M,0.00,,,0.00,3.044M,,,-4.877M
