,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,31.44M,,31.44M,297.27M,,318.94M,,96.07M,,,470.74M,0.00,50.23M,143.92M,367.62M,,39.87M,48.06M,649.70M,-364.15M,285.55M,649.93M,441.67M,1.092B,74.86M,110.30M,1.562B,2.033B,,30.36M,,30.36M,88.76M,119.12M,,,,,,,328.93M,328.93M,,,448.06M,,,,208.30M,40.98M,249.29M,12.87M,262.16M,710.21M,,1.033M,1.913B,464.14M,1.055B,1.323B,,AOR,Restated
2018-03,57.40M,,57.40M,168.93M,,182.32M,,76.31M,,,362.03M,,,,,,,,,,261.22M,652.24M,436.25M,1.088B,93.73M,99.89M,1.543B,1.905B,,7.332M,,7.332M,82.79M,90.12M,,,,,,,199.12M,199.12M,,,289.24M,105.00M,,105.00M,169.32M,106.42M,275.74M,12.30M,393.04M,682.28M,,1.032M,1.800B,458.12M,1.036B,1.223B,,AOR,Restated
2017-12,57.72M,,57.72M,166.83M,,190.46M,,71.43M,,,369.60M,,,,,,,,,,272.09M,652.33M,437.98M,1.090B,94.44M,90.64M,1.547B,1.917B,,13.14M,,13.14M,75.40M,88.53M,,,,,,,265.22M,265.22M,,,353.75M,100.00M,,100.00M,166.79M,110.47M,277.26M,12.07M,389.32M,743.08M,,1.032M,1.756B,452.84M,1.036B,1.174B,,AOR,Restated
2017-09,104.04M,,104.04M,172.52M,,175.46M,,70.81M,,,403.87M,,,,,,,,,,273.83M,558.83M,381.32M,940.15M,93.79M,84.70M,1.392B,1.796B,,8.857M,8.682M,17.54M,72.68M,90.22M,,,,,,,324.52M,324.52M,,,414.74M,,,,220.90M,115.05M,335.95M,7.843M,343.79M,758.53M,,1.032M,1.625B,448.29M,1.036B,1.038B,,AOR,Restated
2017-06,114.76M,,114.76M,276.92M,,297.06M,,66.89M,,,520.03M,0.00,50.35M,143.35M,370.99M,,15.97M,47.29M,627.95M,-345.01M,282.93M,552.46M,374.14M,926.61M,96.85M,82.52M,1.389B,1.909B,,6.841M,,6.841M,81.57M,88.42M,,,,,,,382.78M,382.78M,,,471.19M,50.00M,,50.00M,219.54M,128.61M,348.15M,7.554M,405.70M,876.89M,,1.031M,1.585B,452.02M,1.006B,1.032B,,AOR,Restated
2017-03,42.92M,,42.92M,139.50M,,148.10M,,65.23M,,,299.15M,,,,,,,,,,285.02M,552.85M,373.90M,926.75M,99.07M,76.98M,1.388B,1.687B,,5.255M,,5.255M,69.81M,75.06M,,,,,0.00,0.00,194.81M,194.81M,,,269.88M,50.00M,,50.00M,203.43M,143.93M,347.36M,7.634M,405.00M,674.87M,,1.031M,1.545B,446.45M,980.02M,1.012B,,AOR,Restated
2016-12,64.19M,,64.19M,146.26M,,155.90M,,60.84M,,,323.74M,,,,,,,,,,289.27M,552.85M,371.30M,924.16M,104.15M,76.77M,1.394B,1.718B,,15.86M,,15.86M,67.56M,83.42M,,,,,0.00,0.00,245.17M,245.17M,,,328.59M,50.00M,,50.00M,197.35M,162.27M,359.62M,8.478M,418.10M,746.68M,,1.03M,1.509B,441.73M,980.02M,971.41M,,AOR,Restated
2016-09,84.52M,,84.52M,148.43M,,151.42M,,61.66M,,,342.90M,,,,,,,,,,293.24M,552.85M,365.59M,918.45M,102.56M,75.10M,1.389B,1.732B,,7.092M,6.547M,13.64M,69.82M,83.46M,,,,,0.00,0.00,295.91M,295.91M,,,379.37M,,,,196.38M,173.96M,370.34M,9.951M,380.29M,759.66M,,1.03M,1.472B,437.45M,937.47M,972.59M,,AOR,Restated
2016-06,70.31M,,70.31M,253.92M,,269.56M,,56.59M,,,431.93M,0.00,50.46M,146.46M,375.53M,,7.373M,46.90M,626.72M,-328.16M,298.56M,552.85M,361.91M,914.76M,99.80M,70.46M,1.384B,1.816B,,14.60M,,14.60M,85.41M,100.01M,,,,,0.20M,0.20M,343.52M,343.52M,,,443.73M,,,,188.60M,177.53M,366.13M,9.44M,375.57M,819.30M,,1.029M,1.431B,440.12M,876.13M,996.21M,,AOR,Restated
2016-03,54.00M,,54.00M,137.41M,,145.64M,,70.08M,,,309.97M,,,,,,,,,,298.02M,556.26M,380.71M,936.97M,98.72M,58.94M,1.393B,1.703B,,7.06M,0.00,7.06M,69.72M,76.78M,,,,0.213M,,0.213M,202.27M,202.27M,0.00,,279.26M,100.00M,,100.00M,183.88M,180.90M,364.78M,9.709M,474.49M,753.76M,,1.028M,1.369B,434.43M,855.59M,948.87M,,AOR,Restated
2015-12,55.13M,,55.13M,147.09M,,150.21M,,74.94M,,,320.02M,,,,,,,,,,302.09M,556.26M,371.86M,928.12M,101.28M,57.36M,1.389B,1.709B,,5.653M,0.00,5.653M,74.47M,80.12M,,,,,0.323M,0.323M,246.27M,253.31M,7.034M,,333.75M,100.00M,,100.00M,158.42M,193.87M,352.29M,10.35M,462.64M,796.39M,,1.028M,1.337B,429.86M,855.59M,912.47M,,AOR,Restated
2015-09,84.48M,,84.48M,147.65M,,149.45M,,71.81M,,,345.42M,,,,,,,,,,295.94M,556.26M,361.99M,918.25M,101.93M,52.65M,1.369B,1.714B,,8.116M,20.04M,28.15M,67.16M,95.31M,,,,1.107M,,1.107M,293.78M,300.81M,7.034M,,397.23M,,,,153.88M,199.58M,353.46M,9.228M,362.69M,759.91M,,1.028M,1.298B,425.36M,769.71M,954.28M,,AOR,Restated
2015-06,148.31M,,148.31M,245.39M,,248.14M,,69.10M,,,493.50M,0.00,50.42M,144.41M,365.64M,,23.56M,32.17M,616.20M,-319.87M,296.33M,550.37M,347.78M,898.15M,96.42M,52.43M,1.343B,1.837B,,9.933M,5.543M,15.48M,78.96M,94.44M,,,0.714M,0.714M,1.881M,2.595M,339.54M,346.58M,7.034M,,443.61M,50.10M,,50.10M,150.22M,192.44M,342.67M,8.922M,401.69M,845.30M,,1.027M,1.266B,424.54M,700.47M,991.53M,,AOR,Restated
2015-03,52.80M,,52.80M,137.42M,,137.42M,,73.55M,,,294.53M,,,,,,,,,,290.72M,550.37M,340.40M,890.77M,93.91M,48.21M,1.324B,1.618B,,6.639M,4.601M,11.24M,64.86M,76.10M,,,,7.247M,,7.247M,180.45M,204.26M,23.80M,,287.60M,70.20M,,70.20M,103.63M,190.02M,293.65M,10.08M,373.92M,661.53M,,1.026M,1.226B,420.04M,690.58M,956.61M,,AOR,Restated
2014-12,49.33M,,49.33M,147.89M,,150.00M,,73.69M,,,306.78M,,,,,,,,,,295.48M,550.37M,333.10M,883.46M,88.83M,46.41M,1.314B,1.621B,,7.889M,0.438M,8.327M,63.88M,72.21M,,70.00M,5.601M,75.60M,2.287M,77.89M,234.94M,255.16M,20.22M,,405.26M,,0.923M,0.923M,103.07M,178.14M,281.21M,11.52M,293.65M,698.91M,,1.026M,1.196B,415.98M,690.58M,922.06M,,AOR,Restated
2014-09,39.40M,,39.40M,159.11M,,161.73M,,100.99M,,,302.12M,,,,,,,,,,301.13M,552.76M,328.28M,881.04M,,37.39M,1.256B,1.558B,,8.316M,14.69M,23.01M,58.04M,81.04M,,,,9.964M,,9.964M,260.55M,298.14M,37.59M,,389.15M,1.041M,,1.041M,136.58M,9.017M,145.59M,10.35M,156.98M,546.14M,,1.026M,1.237B,412.09M,638.32M,1.012B,,AOR,Restated
2014-06,70.38M,,70.38M,224.04M,,231.98M,,61.07M,,,390.51M,0.00,50.40M,143.73M,343.31M,,12.20M,28.96M,578.60M,-286.93M,291.68M,552.76M,322.65M,875.41M,78.46M,44.66M,1.290B,1.681B,,10.52M,0.00,10.52M,63.30M,73.82M,,,4.028M,4.028M,1.379M,5.407M,337.49M,367.59M,30.09M,,446.81M,,3.729M,3.729M,97.72M,155.38M,253.10M,9.683M,266.51M,713.32M,,1.024M,1.132B,412.51M,577.78M,967.39M,,AOR,Restated
2014-03,52.24M,,52.24M,140.01M,,141.07M,,85.67M,,,278.98M,,,,,,,,,,299.15M,552.06M,316.13M,868.19M,,35.38M,1.235B,1.514B,,7.098M,6.864M,13.96M,58.14M,72.10M,,,9.26M,9.26M,2.572M,11.83M,144.54M,170.52M,25.97M,,254.45M,3.622M,,3.622M,125.98M,9.195M,135.18M,6.684M,145.48M,399.93M,,1.024M,1.170B,408.32M,465.08M,1.115B,,AOR,Restated
2013-12,155.50M,,155.50M,136.37M,,137.71M,,89.50M,,,382.71M,,,,,,,,,,299.02M,533.29M,301.75M,835.04M,,32.66M,1.199B,1.582B,,10.73M,3.222M,13.95M,51.29M,65.25M,,,,3.989M,,3.989M,189.47M,220.31M,30.84M,,289.55M,5.689M,,5.689M,124.30M,10.84M,135.14M,6.322M,147.15M,436.70M,,1.024M,1.142B,404.36M,402.08M,1.145B,,AOR,Restated
2013-09,181.79M,,181.79M,152.62M,,155.32M,,93.36M,,,430.46M,,,,,,,,,,295.64M,533.29M,296.32M,829.61M,,31.01M,1.185B,1.615B,,13.91M,14.89M,28.80M,52.16M,80.96M,,,,11.45M,,11.45M,241.99M,272.83M,30.84M,,365.24M,6.543M,,6.543M,122.30M,10.45M,132.74M,5.833M,145.12M,510.36M,,1.023M,1.105B,400.58M,402.08M,1.105B,,AOR,Restated
2013-06,127.90M,,127.90M,231.26M,,237.37M,,60.84M,,,456.12M,0.00,50.39M,142.35M,338.22M,,18.10M,24.04M,573.10M,-272.59M,300.51M,533.29M,289.16M,822.45M,57.84M,35.47M,1.216B,1.672B,,11.70M,,11.70M,68.53M,80.23M,,,6.915M,6.915M,1.014M,7.929M,323.68M,346.04M,22.37M,,434.20M,7.366M,,7.366M,93.50M,115.92M,209.42M,5.586M,222.37M,656.57M,,1.02M,1.016B,400.71M,402.08M,1.016B,,AOR,Restated
2013-03,182.05M,,182.05M,126.82M,,129.59M,,81.12M,,,392.76M,,,,,,,,,,291.33M,533.29M,289.11M,822.40M,,29.55M,1.171B,1.563B,,11.33M,3.679M,15.01M,55.18M,70.19M,,,,37.58M,,37.58M,129.42M,153.02M,23.60M,,260.79M,95.06M,,95.06M,108.76M,13.52M,122.28M,5.476M,222.81M,483.60M,,1.019M,1.042B,396.51M,359.74M,1.080B,,AOR,Restated
2012-12,192.85M,,192.85M,129.46M,,132.15M,,83.93M,,,408.94M,,,,,,,,,,286.42M,533.29M,288.12M,821.41M,,29.59M,1.161B,1.570B,,11.61M,,11.61M,51.46M,63.07M,,,,30.38M,,30.38M,182.72M,206.31M,23.60M,,299.76M,98.93M,,98.93M,106.52M,13.40M,119.93M,4.333M,223.19M,522.94M,,1.018M,1.007B,391.55M,353.25M,1.047B,,AOR,Restated
2012-09,223.69M,,223.69M,136.83M,,138.54M,,88.50M,,,450.73M,,,,,,,,,,279.06M,533.52M,287.85M,821.37M,,28.87M,1.152B,1.603B,,10.52M,10.94M,21.46M,47.48M,68.94M,,,,31.47M,,31.47M,228.70M,254.96M,26.26M,,355.37M,101.23M,,101.23M,104.00M,18.90M,122.91M,7.159M,231.30M,586.67M,,1.017M,976.64M,387.09M,348.73M,1.016B,,AOR,Restated
2012-06,157.31M,,157.31M,218.30M,,226.78M,,84.56M,,,468.65M,0.00,50.96M,141.73M,297.53M,,5.75M,22.18M,518.16M,-241.43M,276.73M,533.52M,288.73M,822.25M,,30.52M,1.151B,1.619B,,16.32M,,16.32M,58.26M,74.58M,,,25.30M,25.30M,0.206M,25.50M,275.91M,302.16M,26.26M,,402.24M,106.17M,,106.17M,100.93M,20.09M,121.02M,7.002M,234.19M,636.44M,,1.015M,944.08M,381.92M,343.96M,983.06M,,AOR,Restated
2012-03,89.77M,0.00,89.77M,118.37M,,125.66M,,77.54M,,,292.96M,,,,,,,,,,273.11M,533.52M,289.99M,823.51M,,29.39M,1.151B,1.444B,,10.24M,0.042M,10.28M,49.55M,59.83M,,,27.08M,27.08M,1.488M,28.57M,118.04M,133.31M,15.27M,,221.71M,112.48M,,112.48M,99.41M,20.23M,119.64M,11.42M,243.54M,465.24M,,1.013M,910.72M,376.65M,309.58M,978.79M,,AOR,Restated
2011-12,95.20M,1.00M,96.20M,126.60M,,133.47M,,79.10M,,,308.77M,,,,,,,,,,278.23M,533.52M,291.59M,825.11M,,29.43M,1.155B,1.464B,,7.527M,5.941M,13.47M,48.31M,61.78M,,,27.41M,27.41M,1.506M,28.91M,171.39M,186.67M,15.27M,,277.36M,118.11M,,118.11M,93.21M,19.93M,113.14M,10.55M,241.79M,519.16M,,1.011M,884.05M,368.97M,309.58M,944.45M,,AOR,Restated
2011-09,108.06M,1.00M,109.06M,134.65M,,139.98M,,73.93M,,,322.97M,,,,,,,,,,279.74M,533.52M,296.13M,829.65M,,28.74M,1.159B,1.482B,,10.32M,5.706M,16.02M,43.97M,60.00M,,,30.29M,30.29M,2.87M,33.16M,219.37M,234.64M,15.27M,,327.80M,124.15M,,124.15M,91.24M,19.15M,110.39M,10.28M,244.82M,572.62M,,1.009M,854.62M,363.12M,309.58M,909.16M,,AOR,Restated
2011-06,63.12M,1.00M,64.12M,207.51M,,224.63M,,65.20M,,,353.95M,0.00,50.89M,137.58M,271.95M,,8.972M,24.44M,493.84M,-223.65M,270.19M,533.52M,300.57M,834.09M,,28.49M,1.152B,1.506B,,12.83M,,12.83M,49.48M,62.31M,,,23.08M,23.08M,3.016M,26.09M,276.84M,292.11M,15.27M,,380.51M,127.94M,,127.94M,89.30M,18.27M,107.57M,10.00M,245.51M,626.02M,,1.008M,827.22M,361.13M,309.58M,879.78M,,AOR,Restated
2011-03,54.38M,1.00M,55.38M,115.53M,,121.70M,,54.67M,,,231.75M,,,,,,,,,,270.12M,533.52M,305.86M,839.38M,,26.13M,1.153B,1.385B,,8.754M,3.441M,12.20M,42.11M,54.30M,,,19.00M,19.00M,1.105M,20.10M,122.30M,132.74M,10.45M,,207.15M,224.59M,,224.59M,78.60M,15.31M,93.92M,9.61M,328.11M,535.26M,,1.007M,799.72M,358.38M,309.58M,849.52M,,AOR,Restated
2010-12,46.87M,1.00M,47.87M,126.83M,,134.68M,,56.51M,,,239.06M,,,,,,,,,,270.98M,533.52M,310.76M,844.28M,,27.25M,1.159B,1.398B,,8.026M,0.10M,8.126M,40.72M,48.85M,,,12.53M,12.53M,2.514M,15.04M,174.92M,185.37M,10.45M,,249.26M,229.89M,,229.89M,74.69M,15.10M,89.78M,9.569M,329.24M,578.50M,,1.005M,775.69M,352.04M,309.58M,819.15M,,AOR,Restated
2010-09,46.77M,1.00M,47.77M,133.50M,,139.72M,,61.27M,,,248.75M,,,,,,,,,,274.47M,537.11M,317.00M,854.11M,,24.73M,1.167B,1.416B,,8.633M,13.20M,21.83M,37.92M,59.75M,11.04M,,,11.04M,,11.04M,220.96M,234.25M,13.28M,,305.04M,235.42M,,235.42M,75.11M,14.37M,89.48M,8.395M,333.30M,638.34M,,1.00M,747.79M,337.96M,309.58M,777.16M,,AOR,Restated
2010-06,125.52M,1.00M,126.52M,208.45M,,215.39M,,51.19M,,,393.10M,0.00,44.75M,103.74M,251.89M,,53.60M,21.01M,474.99M,-200.32M,274.67M,533.52M,322.79M,856.31M,,25.38M,1.167B,1.561B,,13.50M,3.851M,17.35M,46.40M,63.75M,,,105.96M,105.96M,,105.96M,264.22M,274.67M,10.45M,,444.38M,272.73M,,272.73M,73.60M,11.40M,85.00M,8.07M,365.80M,810.19M,,0.998M,724.14M,334.82M,309.58M,750.37M,,AOR,Restated
2010-03,35.78M,1.00M,36.78M,122.46M,,122.46M,,50.02M,0.882M,,210.14M,,,,,,,,,,256.69M,344.92M,212.05M,556.98M,,15.99M,838.10M,1.048B,,7.663M,0.171M,7.834M,38.34M,46.18M,,,,73.79M,,73.79M,110.31M,110.31M,,,230.27M,,,,73.55M,10.27M,83.82M,10.56M,94.38M,324.65M,,0.996M,702.27M,329.91M,309.58M,723.59M,,AOR,Restated
2009-12,24.94M,1.00M,25.94M,117.95M,,122.08M,,54.69M,0.882M,,203.59M,,,,,,,,,,250.26M,344.92M,215.10M,560.02M,,14.84M,833.36M,1.037B,,11.73M,1.146M,12.88M,36.84M,49.72M,,,,61.73M,,61.73M,155.62M,155.62M,,,267.07M,,,,64.48M,9.616M,74.10M,10.98M,85.07M,352.14M,,0.989M,678.67M,314.74M,309.58M,684.81M,,AOR,Restated
2009-09,108.02M,1.00M,109.02M,124.63M,,124.63M,,51.56M,,0.882M,286.09M,,,,,,,,,,241.41M,292.40M,140.52M,432.92M,,11.64M,693.57M,979.66M,,9.17M,8.084M,17.25M,30.96M,48.21M,,,,2.916M,,2.916M,189.58M,189.58M,,,240.71M,7.98M,,7.98M,65.31M,8.906M,74.22M,,82.20M,322.90M,,0.986M,655.86M,309.49M,309.58M,656.75M,,AOR,Restated
2009-06,118.25M,1.00M,119.25M,192.73M,,195.42M,,44.09M,0.882M,,359.65M,0.00,44.26M,99.40M,234.21M,,16.69M,21.95M,416.50M,-178.73M,237.78M,292.40M,142.13M,434.53M,,11.96M,691.05M,1.051B,,8.206M,1.165M,9.371M,34.02M,43.39M,63.46M,,,63.46M,,63.46M,237.56M,237.56M,0.00,,344.41M,,,,65.07M,7.981M,73.05M,6.74M,79.79M,424.19M,,0.98M,636.73M,298.38M,309.58M,626.51M,,AOR,Restated
2009-03,26.42M,1.00M,27.42M,,,104.52M,,45.50M,4.584M,,182.03M,,,,,,,,,,236.17M,292.40M,142.94M,435.34M,,10.66M,690.69M,872.72M,,5.38M,1.025M,6.405M,27.26M,33.67M,,,,64.74M,,64.74M,91.06M,91.06M,,,189.47M,5.839M,,5.839M,64.34M,9.771M,74.11M,,79.95M,269.42M,,0.979M,616.00M,295.91M,309.58M,603.30M,,AOR,Restated
2008-12,40.60M,0.998M,41.60M,122.67M,,122.67M,,51.61M,4.452M,,220.32M,,,,,,,,389.14M,-148.30M,240.83M,292.38M,63.59M,355.97M,,99.42M,696.23M,916.55M,,9.333M,,9.333M,31.82M,41.15M,63.73M,,,63.73M,,63.73M,136.78M,136.78M,,,241.66M,,,,63.33M,,63.33M,19.61M,82.94M,324.60M,,0.979M,598.34M,294.06M,301.42M,591.96M,,,Restated
2008-09,24.84M,0.996M,25.83M,125.96M,,125.96M,,54.61M,4.453M,,210.86M,,,,,,,,382.48M,-148.30M,234.18M,292.38M,142.81M,435.19M,,20.66M,690.04M,900.89M,,7.098M,,7.098M,29.24M,36.34M,20.15M,,,20.15M,,20.15M,176.08M,176.08M,,,232.57M,,,,62.89M,,62.89M,17.53M,80.42M,313.00M,,0.978M,576.65M,292.77M,282.51M,587.90M,,,
2008-06,65.56M,0.997M,66.56M,213.95M,,213.95M,,44.66M,4.59M,,329.76M,0.00,44.24M,97.59M,218.49M,,4.995M,22.00M,387.31M,-148.30M,239.00M,289.37M,142.76M,432.13M,,10.56M,691.29M,1.021B,,6.946M,15.68M,22.63M,36.00M,58.62M,,,,70.18M,,70.18M,212.38M,212.38M,,,341.18M,,,,61.71M,11.22M,72.93M,5.489M,78.42M,419.59M,,0.977M,560.53M,291.12M,251.18M,601.45M,,,Restated
2008-03,40.58M,0.995M,41.57M,125.88M,,125.88M,,45.25M,3.26M,,215.96M,,,,,,,,363.24M,-117.01M,246.23M,289.05M,142.44M,431.50M,,21.90M,699.63M,915.60M,,7.397M,,7.397M,33.53M,40.92M,85.19M,,,85.19M,,85.19M,97.34M,97.34M,,,223.46M,,,,63.29M,,63.29M,20.08M,83.36M,306.82M,,0.973M,542.13M,284.32M,218.65M,608.78M,,,
2007-12,28.14M,0.991M,29.13M,128.08M,,128.08M,,48.15M,3.26M,,208.61M,,,,,,,,367.25M,-117.01M,250.24M,284.58M,142.33M,426.91M,,22.05M,699.20M,907.80M,,5.963M,,5.963M,39.15M,45.12M,25.22M,,,25.22M,,25.22M,133.83M,133.83M,,,204.16M,,,,51.21M,,51.21M,22.23M,73.44M,277.60M,,0.971M,522.07M,280.66M,173.50M,630.20M,,,
2007-09,54.53M,0.981M,55.51M,132.15M,,132.15M,,46.75M,3.26M,,237.67M,,,,,,,,365.50M,-117.01M,248.49M,262.02M,130.09M,392.10M,,23.60M,664.18M,901.85M,,6.292M,,6.292M,44.09M,50.38M,0.284M,,,0.284M,,0.284M,159.52M,159.52M,,,210.19M,,,,51.21M,,51.21M,23.85M,75.06M,285.25M,,0.967M,498.73M,272.28M,155.37M,616.61M,,,
2007-06,88.62M,0.989M,89.61M,209.24M,,209.24M,,48.28M,3.26M,,350.38M,0.00,44.23M,117.56M,197.61M,,7.497M,,366.89M,-117.01M,249.88M,248.86M,124.45M,373.31M,,25.76M,648.96M,999.34M,,11.48M,,11.48M,52.80M,64.28M,70.50M,,,70.50M,,70.50M,195.69M,195.69M,,,330.48M,,,,53.29M,,53.29M,17.21M,70.50M,400.98M,,0.962M,484.84M,262.74M,150.18M,598.36M,,,
