,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-06,67.84M,,0.719M,11.50M,28.22M,39.73M,39.73M,11.71M,3.924M,,3.924M,-120.31M,-22.42M,18.62M,,,177.46M,53.35M,,177.27M,,-52.91M,,,-30.63M,0.092M,0.00,0.048M,-52.77M,,-105.00M,-105.00M,2.153M,-18.97M,-16.82M,-28.59M,-28.59M,0.00,-0.054M,-150.46M,,57.40M,-25.96M,31.44M,,2.153M,0.00,-105.00M,-18.97M,,,,AOR,Restated
2018-03,69.09M,,0.168M,11.87M,27.08M,38.94M,38.94M,0.447M,3.225M,,3.225M,-2.115M,-3.034M,3.261M,,,-52.02M,-53.91M,,57.96M,,-31.80M,,,-26.19M,0.00,-5.00M,0.053M,-36.75M,,5.00M,5.00M,2.01M,0.00,2.01M,-28.58M,-28.58M,0.175M,-0.135M,-21.54M,,57.72M,-0.317M,57.40M,,2.01M,25.00M,-20.00M,0.00,,,,AOR,Restated
2017-12,161.24M,,-0.221M,12.18M,24.86M,37.04M,37.04M,-90.43M,3.096M,,3.096M,41.98M,-39.14M,-3.758M,,,-71.62M,-72.54M,,38.19M,,-35.07M,,,-26.53M,-127.05M,,0.099M,-162.02M,,100.00M,100.00M,1.568M,0.00,1.568M,-23.94M,-23.94M,0.00,-0.111M,77.52M,,104.04M,-46.32M,57.72M,,1.568M,100.00M,0.00,0.00,,,,AOR,Restated
2017-09,66.87M,,-1.62M,12.42M,23.86M,36.28M,36.28M,3.39M,1.513M,,1.513M,101.93M,-18.07M,-4.107M,,,-47.46M,32.29M,,138.72M,,-30.14M,,,-26.43M,-10.26M,,0.106M,-40.28M,,-50.00M,-50.00M,1.792M,-30.02M,-28.23M,-23.90M,-23.90M,0.001M,-7.033M,-109.16M,,114.76M,-10.72M,104.04M,,1.792M,,-50.00M,-30.02M,,,,AOR,Restated
2017-06,48.46M,,3.329M,12.12M,23.23M,35.35M,35.35M,6.357M,3.767M,,3.767M,-147.52M,-2.839M,5.713M,,,205.84M,61.19M,,158.46M,,-41.45M,,,-27.66M,3.346M,0.00,0.019M,-38.09M,,0.00,0.00,1.839M,-26.26M,-24.42M,-24.07M,-24.07M,0.00,-0.037M,-48.52M,,42.92M,71.85M,114.76M,,1.839M,0.00,0.00,-26.26M,,,,AOR,Restated
2017-03,60.04M,,0.771M,12.66M,22.31M,34.98M,34.98M,6.085M,3.132M,,3.132M,6.753M,0.088M,-8.373M,,,-68.48M,-70.01M,,35.00M,,-36.20M,,,-25.46M,2.286M,0.00,0.119M,-33.80M,,0.00,0.00,1.632M,0.00,1.632M,-24.06M,-24.06M,0.00,-0.049M,-22.48M,,64.19M,-21.27M,42.92M,,1.632M,30.00M,-30.00M,0.00,,,,AOR,Restated
2016-12,58.81M,,0.477M,12.50M,22.82M,35.32M,35.32M,0.962M,3.033M,,3.033M,2.172M,0.072M,6.748M,,,-77.11M,-68.11M,,30.50M,,-37.86M,,,-28.56M,0.00,,0.053M,-37.80M,,50.00M,50.00M,1.304M,-42.55M,-41.24M,-21.72M,-21.72M,0.00,-0.057M,-13.02M,,84.52M,-20.33M,64.19M,,1.304M,50.00M,0.00,-42.55M,,,,AOR,Restated
2016-09,62.24M,,0.194M,12.39M,21.75M,34.14M,34.14M,7.783M,1.197M,,1.197M,105.50M,-22.31M,-23.87M,,,-31.50M,27.82M,,133.37M,,-32.68M,,,-24.56M,,,0.777M,-31.90M,,-0.20M,-0.20M,1.47M,-61.34M,-59.87M,-21.86M,-21.86M,0.001M,-5.337M,-87.26M,,70.31M,14.21M,84.52M,,1.47M,,-0.20M,-61.34M,,,,AOR,Restated
2016-06,84.27M,,-16.84M,12.46M,22.06M,34.53M,34.53M,12.83M,2.507M,,2.507M,-121.91M,-6.999M,23.11M,,,147.55M,41.76M,,159.05M,,-36.44M,,,-23.42M,34.03M,,0.047M,-2.366M,,-100.02M,-100.02M,1.594M,-20.54M,-18.95M,-22.08M,-22.08M,0.696M,-0.029M,-140.38M,,54.00M,16.31M,70.31M,,1.594M,0.00,-100.02M,-20.54M,,,,AOR,Restated
2016-03,53.88M,,0.242M,12.13M,20.00M,32.13M,32.13M,18.43M,3.101M,,3.101M,9.685M,5.335M,-0.02M,,,-62.70M,-47.70M,,60.09M,,-40.53M,,,-28.73M,0.00,,0.05M,-40.48M,,-0.11M,-0.11M,1.496M,0.00,1.496M,-22.06M,-22.06M,0.00,-0.06M,-20.74M,,55.13M,-1.125M,54.00M,,1.496M,0.00,-0.11M,0.00,,,,AOR,Restated
2015-12,59.35M,,-0.376M,12.98M,18.80M,31.78M,31.78M,4.539M,3.142M,,3.142M,0.561M,-7.746M,2.303M,,,-73.08M,-77.96M,,20.47M,,-47.27M,,,-28.67M,0.00,,2.709M,-44.56M,,99.22M,99.22M,1.226M,-85.88M,-84.65M,-19.77M,-19.77M,0.00,-0.061M,-5.271M,,84.48M,-29.36M,55.13M,,1.226M,100.00M,-0.784M,-85.88M,,,,AOR,Restated
2015-09,51.37M,,0.086M,12.99M,18.21M,31.20M,31.20M,1.728M,1.97M,,1.97M,97.93M,-20.17M,-13.27M,,,-24.03M,40.46M,,126.81M,,-40.32M,,,-27.42M,-8.275M,,0.038M,-48.56M,,-51.59M,-51.59M,1.395M,-69.24M,-67.85M,-20.20M,-20.20M,0.001M,-2.44M,-142.08M,,148.31M,-63.83M,84.48M,,1.395M,,-51.59M,-69.24M,,,,AOR,Restated
2015-06,60.54M,,-0.001M,13.13M,16.78M,29.91M,29.91M,29.82M,2.77M,4.156M,-7.529M,-107.97M,0.528M,17.11M,,,158.78M,68.44M,,191.30M,,-42.70M,,,-24.16M,8.135M,,-8.084M,-42.65M,,-24.75M,-24.75M,1.357M,-9.888M,-8.531M,-20.23M,-20.23M,0.186M,0.184M,-53.14M,,52.80M,95.51M,148.31M,,1.357M,20.00M,-44.75M,-9.888M,,,,AOR,Restated
2015-03,50.71M,,0.27M,13.55M,16.12M,29.67M,29.67M,4.145M,2.759M,-0.15M,2.609M,10.48M,-2.831M,-1.847M,,,-37.61M,-31.82M,,55.59M,,-30.96M,,,-22.48M,0.00,,0.024M,-30.93M,,-1.364M,-1.364M,1.363M,0.00,1.363M,-20.22M,-20.22M,0.054M,-1.019M,-21.19M,,49.33M,3.468M,52.80M,,1.363M,0.00,-1.364M,0.00,,,,AOR,Restated
2014-12,53.88M,,-5.259M,13.84M,16.13M,29.97M,29.97M,-1.845M,2.515M,-0.205M,2.31M,11.22M,-5.33M,5.516M,,,-56.71M,-45.30M,,33.75M,,-28.70M,,,-22.80M,0.00,,8.184M,-20.52M,,65.50M,65.50M,1.007M,-52.26M,-51.25M,-17.92M,-17.92M,0.241M,0.127M,-3.302M,,39.40M,9.93M,49.33M,,1.007M,70.00M,-4.499M,-52.26M,,,,AOR,Restated
2014-09,46.09M,,-0.056M,13.63M,15.82M,29.45M,29.45M,-2.682M,2.068M,-3.801M,-1.733M,64.93M,-26.22M,-6.88M,,,-9.743M,22.08M,,93.15M,,-42.94M,,,-21.45M,0.00,,0.058M,-42.88M,,-0.17M,-0.17M,1.154M,-60.54M,-59.39M,-18.04M,-18.04M,0.161M,-3.801M,-81.24M,,70.38M,-30.98M,39.40M,,1.154M,,-0.17M,-60.54M,,,,AOR,Restated
2014-06,52.53M,,-0.529M,13.35M,14.90M,28.25M,28.25M,22.15M,2.788M,-0.086M,2.702M,-84.03M,-0.355M,8.073M,,,151.44M,75.12M,,180.22M,,-28.09M,,,-22.61M,0.00,,2.389M,-25.70M,,-6.602M,-6.602M,1.203M,-112.70M,-111.50M,-18.48M,-18.48M,0.201M,-0.001M,-136.38M,,52.24M,18.13M,70.38M,,1.203M,25.00M,-31.60M,-112.70M,,,,AOR,Restated
2014-03,42.60M,,-0.203M,13.43M,13.97M,27.40M,27.40M,-5.505M,2.762M,-0.168M,2.594M,-3.165M,-1.87M,1.481M,,,-33.21M,-36.76M,,30.12M,,-25.71M,,,-19.88M,-27.89M,,2.583M,-51.02M,,-1.926M,-1.926M,1.107M,-63.00M,-61.89M,-18.62M,-18.62M,0.187M,-0.104M,-82.36M,,155.50M,-103.26M,52.24M,,1.107M,0.00,-1.926M,-63.00M,,,,AOR,Restated
2013-12,48.36M,,-0.022M,13.19M,13.08M,26.27M,26.27M,-1.602M,2.619M,-0.205M,2.414M,16.20M,-6.534M,-3.145M,,,-48.32M,-41.79M,,33.63M,,-33.25M,,,-18.74M,,,0.107M,-33.14M,,-10.83M,-10.83M,0.904M,0.00,0.904M,-17.09M,-17.09M,0.11M,0.142M,-26.77M,,181.79M,-26.29M,155.50M,,0.904M,0.00,-10.83M,0.00,,,,AOR,Restated
2013-09,43.22M,,-0.03M,12.96M,12.89M,25.86M,25.86M,-2.287M,1.922M,-2.947M,-1.025M,78.49M,-19.81M,-14.02M,,,-12.70M,31.96M,,97.69M,,-24.61M,,,-17.26M,,,2.702M,-21.91M,,-2.798M,-2.798M,1.07M,0.00,1.07M,-17.05M,-17.05M,0.111M,-3.229M,-21.90M,,127.90M,53.88M,181.79M,,1.07M,,-2.798M,0.00,,,,AOR,Restated
2013-06,38.63M,,1.602M,13.46M,12.25M,25.71M,25.71M,13.17M,2.494M,,-1.127M,-104.47M,-9.922M,12.92M,,,180.23M,78.76M,,156.75M,,-31.23M,,,-13.39M,0.00,,0.02M,-31.21M,,-121.86M,-121.86M,1.022M,-42.34M,-41.32M,-17.20M,-17.20M,0.591M,0.101M,-179.68M,,182.05M,-54.15M,127.90M,,1.022M,,-121.86M,-42.34M,-44.46M,-2.624M,,AOR,Restated
2013-03,46.00M,,1.603M,14.09M,12.08M,26.17M,26.17M,2.229M,2.012M,,2.012M,2.542M,-1.329M,2.433M,,,-48.40M,-44.76M,,33.26M,,-23.57M,,,-14.12M,0.00,,0.245M,-23.33M,,-5.988M,-5.988M,1.006M,-6.491M,-5.485M,-11.19M,-11.19M,1.888M,0.039M,-20.73M,,192.85M,-10.80M,182.05M,,1.006M,,-5.988M,-6.491M,11.09M,0.671M,,AOR,Restated
2012-12,40.51M,,0.071M,12.33M,11.91M,24.24M,24.24M,-0.138M,2.375M,,2.375M,7.715M,3.363M,5.429M,,,-66.24M,-49.73M,,17.32M,,-24.34M,,,-12.18M,,,0.134M,-24.21M,,-11.61M,-11.61M,0.723M,-4.521M,-3.798M,-9.902M,-9.902M,1.354M,0.012M,-23.94M,,223.69M,-30.83M,192.85M,,0.723M,,-11.61M,-4.521M,32.13M,1.015M,,AOR,Restated
2012-09,42.48M,,0.632M,12.09M,12.13M,24.22M,24.22M,3.071M,1.734M,,1.734M,81.48M,-3.614M,-17.60M,,,-30.55M,29.72M,,101.85M,,-18.63M,,,-11.83M,,,0.131M,-18.50M,,-5.726M,-5.726M,0.949M,-4.776M,-3.827M,-9.911M,-9.911M,2.942M,-0.457M,-16.98M,,157.31M,66.38M,223.69M,,0.949M,,-5.726M,-4.776M,1.229M,0.938M,,AOR,Restated
2012-06,40.38M,,1.119M,12.01M,12.15M,24.15M,24.15M,10.81M,2.064M,,-1.401M,-99.93M,-9.138M,15.57M,,,164.97M,71.47M,,146.53M,,-26.90M,,,-12.02M,,0.00,0.00,-26.90M,,-10.96M,-10.96M,0.906M,-34.37M,-33.46M,-9.964M,-9.964M,2.194M,0.113M,-52.09M,,89.77M,67.54M,157.31M,,0.906M,,-10.96M,-34.37M,,,,AOR,Restated
2012-03,36.66M,,0.261M,11.24M,11.81M,23.05M,23.05M,6.193M,1.872M,,1.872M,8.229M,-1.428M,5.393M,,,-58.47M,-46.28M,,21.76M,,-17.85M,,,-10.21M,,1.00M,0.131M,-16.72M,,-6.268M,-6.268M,0.864M,0.00,0.864M,-9.997M,-9.997M,5.049M,-0.114M,-10.47M,,95.20M,-5.431M,89.77M,,0.864M,,-6.268M,0.00,,,,AOR,Restated
2011-12,38.52M,,-0.193M,11.01M,12.71M,23.72M,23.72M,1.974M,1.77M,,1.77M,8.048M,-7.212M,-0.746M,,,-48.09M,-48.00M,,17.80M,,-16.44M,,,-8.178M,,-0.001M,2.641M,-13.80M,,-11.71M,-11.71M,0.722M,0.00,0.722M,-9.093M,-9.093M,3.235M,-0.009M,-16.85M,,108.06M,-12.85M,95.20M,,0.722M,,-11.71M,0.00,,,,AOR,Restated
2011-09,36.48M,,0.011M,11.07M,12.62M,23.69M,23.69M,1.936M,1.244M,,1.244M,72.86M,-9.983M,-8.96M,,,-38.82M,15.10M,,78.46M,,-18.84M,,,-8.187M,,0.001M,,-18.84M,,-6.34M,-6.34M,0.83M,0.00,0.83M,-9.074M,-9.074M,0.526M,-0.637M,-14.70M,,63.12M,44.93M,108.06M,,0.83M,,-6.34M,0.00,,,,AOR,Restated
2011-06,36.57M,,0.576M,10.50M,12.39M,22.90M,22.90M,15.52M,1.285M,,1.285M,-91.98M,-14.91M,8.446M,,,146.56M,48.12M,,124.97M,,-15.54M,,19.28M,-26.95M,,0.00,,-15.54M,,-92.93M,-92.93M,0.739M,,0.739M,,-9.067M,0.616M,-0.043M,-100.69M,,54.38M,8.742M,63.12M,,0.739M,0.00,-92.93M,,,,,AOR,Restated
2011-03,33.08M,,0.273M,10.52M,12.05M,22.58M,22.58M,3.919M,1.232M,,1.232M,11.30M,2.096M,7.264M,,,-52.41M,-31.75M,,29.33M,,-15.91M,,-19.28M,12.13M,,0.001M,,-15.91M,,-1.628M,-1.628M,0.654M,,0.654M,,-9.058M,4.514M,-0.39M,-5.908M,,46.87M,7.512M,54.38M,,0.654M,0.00,-1.628M,,,,,AOR,Restated
2010-12,36.04M,,0.147M,10.66M,12.21M,22.87M,22.87M,0.56M,1.273M,,1.273M,6.672M,-0.481M,-11.30M,,,-45.32M,-50.43M,,10.47M,,-11.40M,,,-5.974M,,-0.001M,,-11.40M,,-3.04M,-3.04M,0.498M,,0.498M,,-8.145M,12.22M,-0.49M,1.043M,,46.77M,0.105M,46.87M,,0.498M,-0.036M,-3.004M,,,,,AOR,Restated
2010-09,31.77M,,0.029M,10.22M,11.95M,22.17M,22.17M,0.522M,0.933M,,0.933M,74.95M,-11.25M,-3.489M,,,-40.28M,19.94M,,75.36M,,-16.18M,,,-6.159M,,0.001M,,-16.18M,,-131.85M,-131.85M,0.566M,,0.566M,,-8.121M,2.025M,-0.55M,-137.93M,,125.52M,-78.75M,46.77M,,0.566M,0.435M,-132.29M,,,,,AOR,Restated
2010-06,29.98M,,0.414M,9.119M,10.36M,19.48M,19.48M,7.17M,0.843M,,-2.41M,-88.82M,-2.986M,12.61M,,,148.18M,68.98M,,126.87M,,-24.44M,,-5.399M,,-300.79M,0.00,-0.096M,-324.29M,,299.15M,299.15M,0.555M,,0.555M,,-8.109M,2.991M,-7.421M,287.17M,,35.78M,89.74M,125.52M,,0.555M,376.45M,-77.30M,,,,,AOR,Restated
2010-03,31.64M,,0.307M,9.08M,9.294M,18.37M,18.37M,9.066M,0.912M,,0.912M,-0.273M,3.318M,-2.702M,,,-44.66M,-44.32M,,15.98M,,-16.86M,,-19.16M,12.91M,0.00,0.001M,0.071M,-16.79M,,7.203M,7.203M,0.511M,,0.511M,,-8.039M,11.85M,0.128M,11.65M,,24.94M,10.84M,35.78M,,0.511M,10.58M,-3.373M,,,,,AOR,Restated
2009-12,29.98M,,0.006M,9.423M,8.403M,17.83M,17.83M,0.214M,0.856M,,0.856M,16.68M,1.168M,-1.393M,,,-55.13M,-38.68M,,10.20M,,-21.47M,,,-7.562M,-125.86M,0.00,0.00,-147.33M,,57.35M,57.35M,0.403M,,0.403M,,-7.17M,3.307M,0.164M,54.06M,,108.02M,-83.08M,24.94M,,0.403M,60.00M,-2.648M,,,,,AOR,Restated
2009-09,26.27M,,0.139M,8.967M,6.862M,15.83M,15.83M,0.244M,0.64M,,0.64M,70.88M,-7.958M,-2.78M,,,-37.61M,22.53M,,65.66M,,-17.32M,,,-5.347M,,0.00,0.025M,-17.30M,,-60.54M,-60.54M,0.484M,,0.484M,,-7.143M,8.421M,0.192M,-58.59M,,118.25M,-10.23M,108.02M,,0.484M,1.621M,-62.17M,,,,,AOR,Restated
2009-06,27.81M,-0.89M,0.048M,9.312M,6.576M,15.89M,15.89M,4.552M,0.703M,,0.001M,-88.21M,1.845M,8.055M,,122.76M,21.94M,66.40M,,115.40M,,-16.75M,-0.029M,-0.029M,,0.00,0.00,0.042M,-16.74M,,-1.305M,-1.305M,0.477M,0.00,0.477M,,-7.076M,1.189M,-0.107M,-6.822M,,26.42M,91.84M,118.25M,,0.477M,11.73M,-13.04M,0.00,,,,AOR,Restated
2009-03,24.80M,0.846M,0.846M,9.96M,6.351M,16.31M,16.31M,0.876M,0.587M,,-0.002M,18.14M,6.652M,-5.962M,,-46.77M,,-27.94M,,15.48M,,-12.54M,0.02M,0.02M,,-0.015M,0.00,,-12.53M,,-2.601M,-2.601M,0.512M,-8.168M,-7.656M,,-7.139M,0.312M,-0.058M,-17.14M,,40.60M,-14.19M,26.42M,,0.512M,6.786M,-9.387M,-8.168M,,,,AOR,Restated
2008-12,27.98M,0.044M,0.048M,9.746M,6.375M,16.12M,16.12M,0.436M,0.982M,,-0.398M,3.292M,3.957M,-18.28M,,-67.93M,50.34M,-28.62M,,16.56M,,-22.72M,0.002M,4.243M,,0.00,0.00,6.021M,-16.70M,,-9.583M,40.46M,-0.532M,-18.91M,-19.44M,,-6.30M,1.219M,-0.026M,15.91M,,24.84M,15.77M,40.60M,,-0.532M,58.17M,-67.76M,-18.91M,,,,,Restated
2008-09,22.51M,,-0.004M,9.841M,5.986M,15.83M,15.83M,1.183M,,,0.392M,87.99M,-10.48M,0.151M,,-8.069M,-50.34M,19.24M,,59.15M,,-4.241M,0.007M,-4.234M,,-3.012M,0.004M,-6.021M,-13.26M,,,-50.04M,1.432M,-31.33M,-29.90M,,-6.388M,,-0.296M,-86.62M,,65.56M,-40.73M,24.84M,,1.432M,,,-31.33M,,,,,
2008-06,24.92M,,1.164M,10.05M,5.715M,15.76M,15.76M,-3.248M,,,-1.024M,-88.07M,2.346M,-1.016M,,17.28M,113.97M,44.51M,,83.53M,,-9.565M,0.015M,45.29M,,-0.298M,-0.001M,0.00,-9.849M,,,-15.37M,4.738M,-32.53M,-27.79M,,-6.517M,,0.981M,-48.70M,,40.58M,24.99M,65.56M,,4.738M,,,-32.53M,,,,,Restated
2008-03,26.61M,,0.291M,10.40M,5.72M,16.12M,16.12M,7.732M,,,0.512M,2.196M,3.079M,1.453M,,-5.402M,-38.55M,-37.22M,,14.05M,,-12.55M,0.014M,-12.54M,,0.00,0.007M,-0.034M,-12.57M,,,46.87M,15.66M,-45.16M,-29.50M,,-6.549M,,0.14M,10.96M,,28.14M,12.44M,40.58M,,15.66M,,,-45.16M,,,,,
2007-12,29.15M,,-0.006M,10.21M,5.504M,15.72M,15.72M,0.00,,,0.368M,5.226M,0.215M,-0.628M,,-6.023M,-29.73M,-30.94M,,14.29M,,-17.40M,0.00,-17.40M,,-31.66M,0.00,0.00,-49.06M,,,38.00M,-7.23M,-18.13M,-25.36M,,-5.81M,,1.547M,8.374M,,54.53M,-26.39M,28.14M,,-7.23M,,,-18.13M,,,,,
2007-09,23.54M,,0.234M,9.533M,4.872M,14.40M,14.40M,0.836M,,,0.111M,77.73M,4.03M,-5.307M,,-5.854M,-40.60M,30.00M,,69.13M,,-15.32M,2.069M,-13.26M,,-17.36M,0.019M,-0.072M,-30.67M,,,-69.92M,7.23M,-5.183M,2.047M,,-5.807M,,1.141M,-72.54M,,88.62M,-34.09M,54.53M,,7.23M,,,-5.183M,,,,,
2007-06,29.10M,,0.048M,9.331M,4.256M,13.59M,13.59M,-7.93M,,,0.106M,-94.74M,-4.808M,7.001M,,26.28M,114.18M,47.91M,,82.82M,,-18.25M,,-18.23M,,0.082M,0.086M,0.008M,-18.05M,,,19.93M,7.777M,-27.04M,-19.27M,,-5.83M,,1.285M,-3.884M,,27.73M,60.89M,88.62M,,7.777M,,,-27.04M,,,,,
2007-03,26.38M,,0.059M,9.206M,4.303M,13.51M,13.51M,7.034M,,,0.484M,-1.241M,-1.947M,-3.681M,,-3.871M,-31.38M,-42.12M,,5.347M,,-11.10M,,-11.10M,,-3.409M,0.013M,0.101M,-14.40M,,,24.55M,12.12M,-23.34M,-11.22M,,-5.869M,,1.70M,9.156M,,27.62M,0.105M,27.73M,,12.12M,,,-23.34M,,,,,
2006-12,27.79M,,0.044M,8.827M,3.113M,11.94M,11.94M,3.14M,,,0.265M,5.604M,2.05M,2.804M,,5.612M,-34.63M,-18.56M,,24.61M,,-12.70M,,-12.70M,,-34.01M,0.636M,-0.034M,-46.11M,,,24.95M,6.268M,-28.20M,-21.93M,,-4.976M,,1.236M,-0.721M,,49.84M,-22.22M,27.62M,,6.268M,,,-28.20M,,,,,
