,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,SECFilingLinks,AsOriginallyReported,Restated
2018-03,777.00M,-788.00M,,,-616.00M,254.00M,254.00M,180.00M,,72.00M,-39.00M,-16.00M,-33.00M,-66.00M,,,2.00M,-152.00M,,515.00M,,-495.00M,,,1.136B,-196.00M,-29.00M,416.00M,,2018-03,-429.00M,,,,,,-86.00M,-86.00M,-115.00M,-630.00M,,2018-03,375.00M,5.00M,2.168B,,74.00M,,2.638B,-3.067B,,71.00M,207.00M,2018-03,AOR,Restated
2017-12,-675.00M,3.00M,,,82.00M,285.00M,285.00M,675.00M,277.00M,75.00M,102.00M,38.00M,-33.00M,58.00M,,,-51.00M,114.00M,,803.00M,,-590.00M,,,10.00M,-39.00M,-25.00M,-644.00M,,2017-12,-334.00M,,,,,,-79.00M,-79.00M,-222.00M,-635.00M,,2017-12,-497.00M,-13.00M,1.788B,,-21.00M,,1.186B,-1.52B,,86.00M,399.00M,2017-12,AOR,Restated
2017-09,261.00M,1.00M,,,65.00M,303.00M,303.00M,15.00M,2.00M,-29.00M,-159.00M,-23.00M,-13.00M,350.00M,,,-40.00M,115.00M,,739.00M,,-464.00M,,,-588.00M,215.00M,-22.00M,-859.00M,,2017-09,753.00M,,,,,,-80.00M,-80.00M,-59.00M,614.00M,,2017-09,402.00M,15.00M,2.298B,,-92.00M,,2.322B,-1.569B,,73.00M,185.00M,2017-09,AOR,Restated
2017-06,150.00M,48.00M,-12.00M,,67.00M,290.00M,290.00M,-12.00M,90.00M,54.00M,-170.00M,-27.00M,42.00M,-165.00M,,,-76.00M,-396.00M,,254.00M,,-649.00M,,,-16.00M,-137.00M,23.00M,-779.00M,,2017-06,455.00M,,,,,,-79.00M,-79.00M,-233.00M,143.00M,,2017-06,-362.00M,-5.00M,1.881B,,20.00M,,2.101B,-1.646B,,144.00M,417.00M,2017-06,AOR,Restated
2017-03,98.00M,,12.00M,,-5.00M,291.00M,291.00M,-6.00M,168.00M,48.00M,50.00M,-16.00M,111.00M,-27.00M,,,-16.00M,102.00M,,708.00M,,-474.00M,,,4.00M,191.00M,-38.00M,-317.00M,,2017-03,74.00M,,,,,,-79.00M,-79.00M,-74.00M,-79.00M,,2017-03,277.00M,11.00M,2.248B,,-35.00M,,794.00M,-720.00M,,74.00M,195.00M,2017-03,AOR,Restated
2016-12,690.00M,1.00M,-26.00M,,21.00M,299.00M,299.00M,-318.00M,-160.00M,74.00M,-98.00M,6.00M,200.00M,19.00M,,,-38.00M,89.00M,,715.00M,,-575.00M,,,384.00M,-197.00M,121.00M,-267.00M,,2016-12,-277.00M,,0.00,0.00,,,-72.00M,-72.00M,-140.00M,-489.00M,,2016-12,-89.00M,30.00M,1.96B,,-48.00M,,1.246B,-1.523B,0.00,-912.00M,-2.11B,2016-12,AOR,Restated
2016-09,229.00M,0.00,12.00M,,28.00M,291.00M,291.00M,-32.00M,79.00M,27.00M,-31.00M,24.00M,197.00M,-25.00M,,,25.00M,190.00M,,819.00M,,-515.00M,,,-49.00M,-6.00M,27.00M,-543.00M,,2016-09,-39.00M,,0.00,0.00,,,-73.00M,-73.00M,-103.00M,-215.00M,,2016-09,61.00M,-1.00M,1.325B,,0.00,,999.00M,-1.038B,0.00,78.00M,222.00M,2016-09,AOR,Restated
2016-06,-387.00M,17.00M,14.00M,,31.00M,296.00M,296.00M,-474.00M,1.018B,82.00M,329.00M,36.00M,199.00M,-592.00M,,,163.00M,135.00M,,723.00M,,-615.00M,,,36.00M,61.00M,-260.00M,-778.00M,,2016-06,423.00M,,0.00,0.00,,,-72.00M,-72.00M,-214.00M,137.00M,,2016-06,84.00M,2.00M,1.265B,,2.00M,,2.289B,-1.866B,0.00,165.00M,387.00M,2016-06,AOR,Restated
2016-03,74.00M,-47.00M,,,-51.00M,290.00M,290.00M,31.00M,161.00M,-3.00M,37.00M,-24.00M,274.00M,-220.00M,,,72.00M,139.00M,,640.00M,,-640.00M,,,109.00M,-105.00M,88.00M,-548.00M,,2016-03,-71.00M,,-79.00M,-79.00M,,,-73.00M,-73.00M,43.00M,-180.00M,,2016-03,-84.00M,6.00M,1.179B,,4.00M,,409.00M,-480.00M,-79.00M,182.00M,228.00M,2016-03,AOR,Restated
2015-12,41.00M,-5.00M,-3.00M,,13.00M,264.00M,264.00M,-42.00M,326.00M,-42.00M,-64.00M,-15.00M,278.00M,-28.00M,,,-121.00M,50.00M,,629.00M,,-621.00M,,,39.00M,-28.00M,-117.00M,-727.00M,,2015-12,112.00M,,-74.00M,-74.00M,,,-67.00M,-67.00M,-29.00M,-58.00M,,2015-12,-138.00M,-12.00M,1.218B,,18.00M,,1.249B,-1.137B,-74.00M,69.00M,390.00M,2015-12,AOR,Restated
2015-09,203.00M,-24.00M,11.00M,,7.00M,283.00M,283.00M,-25.00M,231.00M,-20.00M,130.00M,43.00M,245.00M,64.00M,,,-289.00M,193.00M,,915.00M,,-519.00M,,,95.00M,-112.00M,-33.00M,-569.00M,,2015-09,361.00M,,-101.00M,-101.00M,,,-68.00M,-68.00M,-95.00M,97.00M,,2015-09,438.00M,-21.00M,1.436B,,-5.00M,,1.657B,-1.296B,-101.00M,72.00M,210.00M,2015-09,AOR,Restated
2015-06,264.00M,1.00M,12.00M,,135.00M,299.00M,299.00M,29.00M,37.00M,5.00M,-107.00M,-19.00M,64.00M,-210.00M,,,-196.00M,-468.00M,,153.00M,,-549.00M,,,1.00M,168.00M,30.00M,-350.00M,,2015-06,137.00M,,-272.00M,-272.00M,,,-71.00M,-71.00M,82.00M,-124.00M,,2015-06,-304.00M,8.00M,1.019B,,17.00M,,2.201B,-2.064B,-272.00M,144.00M,423.00M,2015-06,AOR,Restated
2015-03,254.00M,-1.00M,,,22.00M,298.00M,298.00M,-12.00M,8.00M,65.00M,-337.00M,-35.00M,68.00M,258.00M,,,-166.00M,-212.00M,,437.00M,,-619.00M,,,-17.00M,22.00M,-106.00M,-720.00M,,2015-03,8.00M,,-35.00M,-35.00M,,,-70.00M,-70.00M,210.00M,113.00M,,2015-03,-175.00M,-27.00M,1.337B,,-5.00M,,675.00M,-667.00M,-35.00M,103.00M,242.00M,2015-03,AOR,Restated
2014-12,247.00M,5.00M,-39.00M,,31.00M,308.00M,308.00M,-36.00M,129.00M,-43.00M,-26.00M,27.00M,-61.00M,79.00M,,,-87.00M,-68.00M,,575.00M,,-627.00M,,,139.00M,-69.00M,265.00M,-292.00M,,2014-12,-26.00M,,-168.00M,-168.00M,,,-36.00M,-36.00M,-188.00M,-418.00M,,2014-12,-151.00M,4.00M,1.517B,,-16.00M,,2.004B,-2.03B,-168.00M,79.00M,449.00M,2014-12,AOR,Restated
2014-09,508.00M,-363.00M,11.00M,,-305.00M,312.00M,312.00M,31.00M,31.00M,90.00M,-182.00M,-36.00M,60.00M,117.00M,,,130.00M,89.00M,,763.00M,,-481.00M,,,778.00M,-324.00M,54.00M,27.00M,,2014-09,-219.00M,,-108.00M,-108.00M,,,-36.00M,-36.00M,-231.00M,-594.00M,,2014-09,196.00M,-41.00M,1.67B,,0.00,,564.00M,-783.00M,-108.00M,69.00M,226.00M,2014-09,AOR,Restated
2014-06,282.00M,,5.00M,,20.00M,319.00M,319.00M,-4.00M,107.00M,9.00M,-93.00M,-27.00M,2.00M,-579.00M,,,256.00M,-441.00M,,232.00M,,-509.00M,,,133.00M,217.00M,94.00M,-65.00M,,2014-06,199.00M,,-32.00M,-32.00M,,,-36.00M,-36.00M,-249.00M,-118.00M,,2014-06,94.00M,8.00M,1.515B,,45.00M,,2.451B,-2.252B,-32.00M,95.00M,450.00M,2014-06,AOR,Restated
2014-03,110.00M,,3.00M,,137.00M,306.00M,306.00M,56.00M,166.00M,36.00M,-219.00M,-12.00M,-74.00M,209.00M,,,-506.00M,-602.00M,,221.00M,,-399.00M,,,29.00M,56.00M,-12.00M,-326.00M,,2014-03,154.00M,,0.00,0.00,,,-36.00M,-36.00M,-250.00M,-132.00M,,2014-03,-207.00M,-22.00M,1.413B,,30.00M,,1.521B,-1.367B,0.00,237.00M,226.00M,2014-03,AOR,Restated
2013-12,-149.00M,,-4.00M,,-13.00M,312.00M,312.00M,-76.00M,352.00M,59.00M,11.00M,22.00M,-45.00M,-19.00M,,,-58.00M,-89.00M,,675.00M,,-658.00M,,,-1.00M,181.00M,-29.00M,-507.00M,,2013-12,91.00M,,-259.00M,-259.00M,,,-30.00M,-30.00M,-303.00M,-501.00M,,2013-12,-360.00M,-22.00M,1.642B,,-27.00M,,2.334B,-2.243B,-259.00M,64.00M,475.00M,2013-12,AOR,Restated
2013-09,300.00M,,6.00M,,6.00M,321.00M,321.00M,-36.00M,261.00M,-49.00M,-56.00M,6.00M,348.00M,-258.00M,,,15.00M,55.00M,,855.00M,,-464.00M,,,32.00M,-193.00M,64.00M,-561.00M,,2013-09,523.00M,,-45.00M,-45.00M,,,-29.00M,-29.00M,-285.00M,164.00M,,2013-09,473.00M,2.00M,2.024B,,15.00M,,666.00M,-143.00M,-45.00M,74.00M,223.00M,2013-09,AOR,Restated
2013-06,326.00M,,-13.00M,,152.00M,332.00M,332.00M,-59.00M,0.00,-33.00M,149.00M,-8.00M,247.00M,-437.00M,,,-112.00M,-161.00M,,567.00M,,-465.00M,,,131.00M,87.00M,122.00M,-125.00M,,2013-06,-706.00M,,-18.00M,-18.00M,,,-30.00M,-30.00M,-355.00M,-1.109B,,2013-06,-676.00M,-31.00M,1.549B,,-9.00M,,1.66B,-2.366B,-18.00M,137.00M,466.00M,2013-06,AOR,Restated
2013-03,237.00M,,11.00M,,58.00M,329.00M,329.00M,13.00M,48.00M,56.00M,42.00M,-4.00M,-192.00M,51.00M,,,-46.00M,-149.00M,,618.00M,,-401.00M,,,1.00M,-157.00M,-24.00M,-581.00M,,2013-03,497.00M,,,,,,-30.00M,-30.00M,-157.00M,310.00M,,2013-03,364.00M,-8.00M,2.256B,,17.00M,,1.506B,-1.009B,,295.00M,234.00M,2013-03,AOR,Restated
2012-12,369.00M,,-1.757B,,-1.968B,356.00M,356.00M,61.00M,,23.00M,-50.00M,34.00M,30.00M,131.00M,,,-150.00M,-5.00M,,772.00M,,-527.00M,,,116.00M,178.00M,14.00M,-219.00M,,2012-12,-223.00M,,0.00,0.00,,,-30.00M,-30.00M,-271.00M,-524.00M,,2012-12,21.00M,-4.00M,1.90B,,-8.00M,,3.357B,-3.58B,0.00,67.00M,485.00M,2012-12,AOR,Restated
2012-09,-1.401B,,1.873B,,1.873B,332.00M,332.00M,29.00M,,-40.00M,-16.00M,33.00M,72.00M,173.00M,,,-56.00M,206.00M,,1.015B,,-510.00M,,,95.00M,8.00M,83.00M,-324.00M,,2012-09,-203.00M,,-70.00M,-70.00M,,,0.00,0.00,-208.00M,-481.00M,,2012-09,253.00M,6.00M,1.891B,,43.00M,,243.00M,-446.00M,-70.00M,55.00M,241.00M,2012-09,AOR,Restated
2012-06,76.00M,,21.00M,,21.00M,346.00M,346.00M,-29.00M,,90.00M,14.00M,-32.00M,135.00M,-126.00M,,,67.00M,58.00M,,580.00M,,-492.00M,,,256.00M,694.00M,-85.00M,373.00M,,2012-06,-132.00M,,-231.00M,-231.00M,,,0.00,0.00,-536.00M,-899.00M,,2012-06,52.00M,-22.00M,1.688B,,-2.00M,,76.00M,-208.00M,-231.00M,200.00M,492.00M,2012-06,AOR,Restated
2012-03,515.00M,,-92.00M,,-92.00M,360.00M,360.00M,101.00M,,-40.00M,-189.00M,-11.00M,-117.00M,105.00M,,,-115.00M,-327.00M,,534.00M,,-579.00M,,,63.00M,-350.00M,141.00M,-725.00M,,2012-03,68.00M,,,,,,0.00,0.00,-31.00M,37.00M,,2012-03,-55.00M,25.00M,1.658B,,99.00M,,503.00M,-435.00M,,325.00M,291.00M,2012-03,AOR,Restated
2011-12,57.00M,,-301.00M,,-292.00M,315.00M,315.00M,-132.00M,,84.00M,-51.00M,-23.00M,-74.00M,439.00M,,,-112.00M,179.00M,-1.00M,570.00M,,-598.00M,,,-2.679B,-253.00M,358.00M,-3.172B,,2011-12,1.296B,,-54.00M,-54.00M,,,,,-177.00M,1.065B,,2011-12,-1.541B,-43.00M,1.624B,,,,2.013B,-717.00M,-54.00M,324.00M,460.00M,2011-12,AOR,Restated
2011-09,175.00M,,284.00M,,322.00M,325.00M,325.00M,-95.00M,,154.00M,-3.00M,-30.00M,-82.00M,455.00M,,,-75.00M,265.00M,-9.00M,1.127B,,-813.00M,,,38.00M,-44.00M,-158.00M,-977.00M,,2011-09,286.00M,,-127.00M,-127.00M,,,,,-432.00M,-273.00M,,2011-09,-123.00M,-108.00M,3.37B,,,,943.00M,-657.00M,-127.00M,141.00M,248.00M,2011-09,AOR,Restated
2011-06,427.00M,,34.00M,,49.00M,317.00M,317.00M,11.00M,,-5.00M,-70.00M,-19.00M,136.00M,-260.00M,,,65.00M,-148.00M,3.00M,678.00M,,-540.00M,,,-19.00M,492.00M,-89.00M,-156.00M,,2011-06,1.782B,,-35.00M,-35.00M,,,,,-664.00M,1.083B,,2011-06,1.605B,14.00M,3.601B,,,,2.61B,-828.00M,-35.00M,202.00M,505.00M,2011-06,AOR,Restated
2011-03,483.00M,,3.00M,,3.00M,305.00M,305.00M,17.00M,,-84.00M,-112.00M,-69.00M,13.00M,-146.00M,,,70.00M,-244.00M,7.00M,509.00M,,-479.00M,,,-130.00M,20.00M,-12.00M,-601.00M,,2011-03,-352.00M,,-63.00M,-63.00M,,,,,-48.00M,-463.00M,,2011-03,-555.00M,15.00M,1.982B,,,,139.00M,-491.00M,-63.00M,304.00M,229.00M,2011-03,AOR,Restated
2010-12,-378.00M,,1.081B,,1.102B,302.00M,302.00M,-449.00M,,50.00M,38.00M,1.00M,191.00M,278.00M,,,-48.00M,460.00M,,1.049B,,-782.00M,,,112.00M,25.00M,-48.00M,-693.00M,,2010-12,-281.00M,1.00M,-84.00M,-83.00M,,,,,-364.00M,-728.00M,,2010-12,-338.00M,29.00M,2.506B,,,1.00M,447.00M,-728.00M,-84.00M,109.00M,459.00M,2010-12,AOR,Restated
2010-09,397.00M,,329.00M,,209.00M,292.00M,292.00M,-86.00M,,-39.00M,-67.00M,10.00M,25.00M,205.00M,,,52.00M,225.00M,,1.001B,,-526.00M,,,34.00M,109.00M,-9.00M,-392.00M,,2010-09,-242.00M,-3.00M,-15.00M,-18.00M,,,,,-410.00M,-670.00M,,2010-09,-61.00M,23.00M,2.845B,,,-3.00M,140.00M,-382.00M,-15.00M,160.00M,239.00M,2010-09,AOR,Restated
2010-06,429.00M,,-101.00M,,-87.00M,291.00M,291.00M,88.00M,,-22.00M,-5.00M,-4.00M,138.00M,-237.00M,,,130.00M,22.00M,,747.00M,,-509.00M,,,33.00M,-24.00M,140.00M,-360.00M,,2010-06,-335.00M,-1.00M,0.00,-1.00M,,,,,-487.00M,-823.00M,,2010-06,-436.00M,-23.00M,2.888B,,,-1.00M,1.189B,-1.524B,0.00,169.00M,480.00M,2010-06,AOR,Restated
2010-03,402.00M,,4.00M,,17.00M,293.00M,293.00M,29.00M,,-20.00M,-64.00M,3.00M,31.00M,56.00M,,,-125.00M,-99.00M,,668.00M,,-493.00M,,,65.00M,-119.00M,-48.00M,-595.00M,,2010-03,17.00M,1.57B,0.00,1.57B,,,,,-72.00M,1.515B,,2010-03,1.588B,-21.00M,3.347B,,,1.57B,242.00M,-225.00M,0.00,260.00M,284.00M,2010-03,AOR,Restated
2009-12,283.00M,,172.00M,0.00,175.00M,282.00M,282.00M,39.00M,,-110.00M,144.00M,-24.00M,46.00M,-157.00M,,,-367.00M,-358.00M,,325.00M,,-755.00M,,,0.00,-243.00M,125.00M,-873.00M,,2009-12,519.00M,0.00,,0.00,,,,,-152.00M,367.00M,,2009-12,-181.00M,3.00M,1.782B,,,0.00,2.104B,-396.00M,,95.00M,424.00M,2009-12,AOR,Restated
2009-09,440.00M,,-12.00M,,-12.00M,269.00M,269.00M,87.00M,,29.00M,-79.00M,1.00M,58.00M,229.00M,,,-59.00M,150.00M,,1.003B,,-572.00M,,,0.00,-76.00M,-12.00M,-660.00M,,2009-09,155.00M,0.00,,0.00,,,,,-243.00M,-88.00M,,2009-09,255.00M,5.00M,1.96B,,,0.00,-881.00M,-153.00M,,83.00M,274.00M,2009-09,AOR,Restated
2009-06,531.00M,,-91.00M,0.00,-94.00M,253.00M,253.00M,-86.00M,,51.00M,-83.00M,-58.00M,158.00M,-91.00M,,34.00M,-44.00M,-84.00M,,517.00M,,-619.00M,,,2.00M,159.00M,-3.00M,-461.00M,,2009-06,715.00M,0.00,,0.00,,,,12.00M,-309.00M,418.00M,,2009-06,474.00M,16.00M,1.70B,,,0.00,1.044B,-329.00M,,106.00M,426.00M,2009-06,AOR,Restated
2009-03,501.00M,,-12.00M,,-12.00M,245.00M,245.00M,-25.00M,0.00,-47.00M,80.00M,47.00M,-124.00M,-201.00M,,-34.00M,-73.00M,-305.00M,,357.00M,,-574.00M,,,0.00,283.00M,368.00M,77.00M,,2009-03,-149.00M,0.00,,0.00,,,,-12.00M,74.00M,-87.00M,,2009-03,347.00M,-2.00M,1.226B,,,0.00,244.00M,-393.00M,,200.00M,271.00M,2009-03,AOR,Restated
2008-12,105.00M,,,,116.00M,241.00M,241.00M,-136.00M,,204.00M,-88.00M,18.00M,-26.00M,330.00M,,,-222.00M,44.00M,,574.00M,,-887.00M,,,235.00M,-115.00M,-376.00M,-1.143B,,2008-12,-186.00M,,0.00,0.00,,,,-147.00M,133.00M,-200.00M,,2008-12,-769.00M,-46.00M,881.00M,,,,166.00M,-352.00M,0.00,75.00M,474.00M,2008-12,AOR,Restated
2008-09,359.00M,,,,18.00M,260.00M,260.00M,88.00M,,124.00M,-120.00M,-22.00M,182.00M,171.00M,,,-257.00M,-46.00M,,803.00M,,-578.00M,,,2.00M,-199.00M,-28.00M,-803.00M,,2008-09,162.00M,,-143.00M,-143.00M,,,,-206.00M,223.00M,36.00M,,2008-09,36.00M,-53.00M,1.704B,,,,525.00M,-363.00M,-143.00M,157.00M,309.00M,2008-09,,Restated
2008-06,1.16B,,,,-936.00M,256.00M,256.00M,156.00M,,-43.00M,-8.00M,-58.00M,-91.00M,-90.00M,,,-32.00M,-279.00M,,314.00M,,-752.00M,,,142.00M,42.00M,43.00M,-525.00M,,2008-06,340.00M,,,,,,,-240.00M,97.00M,197.00M,,2008-06,-14.00M,-15.00M,1.721B,,,,1.953B,-1.613B,,170.00M,531.00M,2008-06,,Restated
2008-03,408.00M,,,,86.00M,244.00M,244.00M,52.00M,,-57.00M,-235.00M,-21.00M,-126.00M,75.00M,,,44.00M,-263.00M,,470.00M,,-633.00M,,,-186.00M,-189.00M,-102.00M,-1.11B,,2008-03,339.00M,,,,,,,-4.00M,-6.00M,329.00M,,2008-03,-311.00M,18.00M,1.75B,,,,437.00M,-98.00M,,63.00M,301.00M,2008-03,,Restated
2007-12,8.00M,,,,480.00M,,248.00M,-148.00M,,-247.00M,-60.00M,0.00,,-416.00M,100.00M,,-251.00M,-266.00M,,481.00M,,-696.00M,-10.00M,1.719B,1.137B,-374.00M,-700.00M,-643.00M,,2007-12,695.00M,,,0.00,,,,,-166.00M,529.00M,,2007-12,367.00M,23.00M,2.043B,,,,,,,161.00M,505.00M,2007-12,AOR,Restated
2007-09,104.00M,,,,283.00M,,237.00M,33.00M,,-12.00M,-108.00M,-3.00M,,147.00M,-31.00M,,108.00M,113.00M,,758.00M,,-613.00M,5.00M,-608.00M,-782.00M,283.00M,935.00M,-172.00M,,2007-09,-67.00M,-29.00M,,-29.00M,,,,,-277.00M,-373.00M,,2007-09,213.00M,-4.00M,1.664B,,,-29.00M,,,,110.00M,338.00M,2007-09,,
2007-06,248.00M,,,,331.00M,,457.00M,115.00M,,677.00M,-138.00M,-23.00M,,-193.00M,-69.00M,,-872.00M,-1.295B,,533.00M,,-640.00M,3.00M,-637.00M,640.00M,-287.00M,-194.00M,-478.00M,,2007-06,-168.00M,15.00M,,15.00M,,,,,93.00M,-60.00M,,2007-06,-5.00M,33.00M,1.455B,,,15.00M,,,,157.00M,504.00M,2007-06,,
2007-03,-455.00M,,,,,,,,,,,,,,,,1.036B,1.036B,,581.00M,,-476.00M,2.00M,-474.00M,-174.00M,-144.00M,115.00M,-677.00M,,2007-03,186.00M,14.00M,,14.00M,,,,,-52.00M,148.00M,,2007-03,52.00M,17.00M,1.448B,,,14.00M,,,,193.00M,415.00M,2007-03,,
2006-12,67.00M,,,,,,,,,,,,,,,,-1.251B,-1.799B,,534.00M,,-415.00M,-10.00M,1.035B,84.00M,-64.00M,113.00M,-292.00M,,2006-12,-588.00M,-59.00M,,-59.00M,,,,,-59.00M,-706.00M,,2006-12,-464.00M,48.00M,1.347B,,,-59.00M,,,,119.00M,516.00M,2006-12,,Restated
