,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2018-03,-1.085B,-14.00M,-23.00M,-37.00M,,,254.00M,254.00M,-21.00M,1.678B,,12.00M,2.221B,952.00M,-932.00M,,-18.00M,2.223B,,3.024B,-188.00M,,-136.00M,-869.00M,,16.00M,-1.041B,-332.00M,-749.00M,-1.081B,18.00M,-758.00M,-740.00M,-70.00M,-70.00M,-46.00M,-1.937B,2.619B,46.00M,7.00M,2.672B,18.00M,9.365B,-10.45B,-758.00M
2017-12,961.00M,-155.00M,90.00M,-65.00M,,,234.00M,234.00M,-889.00M,0.00,,170.00M,-234.00M,-193.00M,-605.00M,,603.00M,-429.00M,,-18.00M,-137.00M,,-105.00M,60.00M,,-10.00M,-87.00M,0.00,445.00M,445.00M,31.00M,-250.00M,-219.00M,-71.00M,-71.00M,-30.00M,125.00M,2.565B,20.00M,34.00M,2.619B,31.00M,4.235B,-3.79B,-250.00M
2017-09,56.00M,,61.00M,61.00M,,,236.00M,236.00M,-43.00M,539.00M,,-93.00M,-449.00M,-1.158B,1.345B,,104.00M,-158.00M,,598.00M,-137.00M,,-89.00M,-99.00M,,-31.00M,-267.00M,-4.00M,302.00M,298.00M,56.00M,-401.00M,-345.00M,-59.00M,-59.00M,-35.00M,-141.00M,2.341B,190.00M,34.00M,2.565B,56.00M,6.182B,-5.884B,-401.00M
2017-06,365.00M,,120.00M,120.00M,,,227.00M,227.00M,85.00M,,,-79.00M,-363.00M,-59.00M,463.00M,,-18.00M,23.00M,,741.00M,-118.00M,,-75.00M,-1.485B,,5.00M,-1.598B,-541.00M,-181.00M,-722.00M,27.00M,-300.00M,-273.00M,-62.00M,-62.00M,-74.00M,-1.131B,4.254B,-1.988B,75.00M,2.341B,27.00M,2.282B,-3.004B,-300.00M
2017-03,3.623B,-19.00M,0.00,-19.00M,,,247.00M,247.00M,760.00M,0.00,-109.00M,-3.526B,-108.00M,694.00M,179.00M,,-306.00M,459.00M,,1.435B,-193.00M,,-158.00M,1.485B,,-942.00M,350.00M,615.00M,-1.228B,-613.00M,31.00M,-251.00M,-220.00M,-61.00M,-61.00M,-30.00M,-924.00M,2.434B,861.00M,15.00M,4.254B,31.00M,7.315B,-7.928B,-251.00M
2016-12,646.00M,0.00,0.00,0.00,,,204.00M,204.00M,212.00M,0.00,30.00M,6.00M,3.00M,-536.00M,-281.00M,,97.00M,-717.00M,,381.00M,-129.00M,,-95.00M,-2.126B,,-18.00M,-2.273B,-386.00M,1.405B,1.019B,14.00M,-2.002B,-1.988B,-63.00M,-63.00M,1.00M,-1.031B,5.464B,-2.923B,-107.00M,2.434B,14.00M,2.793B,-1.774B,-2.002B
2016-09,324.00M,0.00,0.00,0.00,,,217.00M,217.00M,-121.00M,290.00M,79.00M,-184.00M,-357.00M,283.00M,623.00M,,-85.00M,464.00M,,1.069B,-126.00M,,-75.00M,-219.00M,,153.00M,-192.00M,-5.00M,0.00,-5.00M,39.00M,0.00,39.00M,-63.00M,-63.00M,-3.00M,-32.00M,4.659B,845.00M,-40.00M,5.464B,39.00M,3.00M,-8.00M,0.00
2016-06,560.00M,113.00M,0.00,113.00M,,,242.00M,242.00M,31.00M,,,-197.00M,-300.00M,-121.00M,1.549B,,-18.00M,1.11B,,1.859B,-114.00M,,-76.00M,-1.92B,,880.00M,-1.154B,-1.00M,-7.00M,-8.00M,36.00M,-58.00M,-22.00M,-66.00M,-66.00M,14.00M,-82.00M,4.048B,623.00M,-12.00M,4.659B,36.00M,7.00M,-15.00M,-58.00M
2016-03,444.00M,0.00,,0.00,,,214.00M,214.00M,34.00M,8.00M,10.00M,179.00M,-290.00M,1.146B,1.607B,,-246.00M,2.217B,,3.106B,-260.00M,,-216.00M,-9.00M,,-1.06B,-1.329B,-602.00M,9.00M,-593.00M,26.00M,-652.00M,-626.00M,-65.00M,-65.00M,78.00M,-1.206B,3.406B,571.00M,71.00M,4.048B,26.00M,29.00M,-622.00M,-652.00M
2015-12,647.00M,-1.00M,,-1.00M,,,220.00M,220.00M,7.00M,0.00,35.00M,127.00M,-630.00M,-928.00M,-265.00M,,103.00M,-1.72B,,-685.00M,-143.00M,,-94.00M,-14.00M,,-2.00M,-159.00M,-498.00M,-136.00M,-634.00M,25.00M,-355.00M,-330.00M,-65.00M,-65.00M,-28.00M,-1.057B,5.359B,-1.901B,-52.00M,3.406B,25.00M,31.00M,-665.00M,-355.00M
2015-09,630.00M,-51.00M,,-51.00M,,,222.00M,222.00M,0.00,,78.00M,217.00M,-288.00M,-834.00M,957.00M,,-134.00M,-299.00M,,797.00M,-154.00M,,-101.00M,115.00M,,-13.00M,-52.00M,-402.00M,3.00M,-399.00M,34.00M,-500.00M,-466.00M,-55.00M,-55.00M,-67.00M,-987.00M,5.635B,-242.00M,-34.00M,5.359B,34.00M,970.00M,-1.369B,-500.00M
2015-06,589.00M,-51.00M,,-51.00M,,,229.00M,229.00M,23.00M,,,-34.00M,-749.00M,-635.00M,1.003B,,79.00M,-302.00M,,454.00M,-120.00M,,-77.00M,78.00M,,25.00M,-17.00M,-96.00M,-3.00M,-99.00M,38.00M,-105.00M,-67.00M,-59.00M,-59.00M,22.00M,-203.00M,5.341B,234.00M,60.00M,5.635B,38.00M,531.00M,-630.00M,-105.00M
2015-03,144.00M,0.00,,0.00,,,231.00M,231.00M,97.00M,,47.00M,40.00M,-6.00M,436.00M,644.00M,,9.00M,1.083B,,1.883B,-146.00M,,-95.00M,-130.00M,,38.00M,-238.00M,-120.00M,-156.00M,-276.00M,37.00M,-344.00M,-307.00M,-56.00M,-56.00M,-77.00M,-716.00M,4.587B,929.00M,-175.00M,5.341B,37.00M,676.00M,-952.00M,-344.00M
2014-12,511.00M,6.00M,,6.00M,,,248.00M,248.00M,-40.00M,,45.00M,328.00M,-1.284B,-1.458B,2.611B,,97.00M,-34.00M,,1.064B,-129.00M,,-91.00M,8.00M,,-11.00M,-132.00M,-2.00M,-114.00M,-116.00M,49.00M,-1.00M,48.00M,-56.00M,-56.00M,40.00M,-84.00M,3.804B,848.00M,-65.00M,4.587B,49.00M,634.00M,-750.00M,-1.00M
2014-09,477.00M,-6.00M,,-6.00M,,,258.00M,258.00M,-24.00M,,82.00M,218.00M,-838.00M,-229.00M,96.00M,,-51.00M,-1.022B,,-17.00M,-154.00M,,-107.00M,-19.00M,,-22.00M,-195.00M,-6.00M,60.00M,54.00M,32.00M,-3.00M,29.00M,-56.00M,-56.00M,-28.00M,-1.00M,4.105B,-213.00M,-88.00M,3.804B,32.00M,882.00M,-828.00M,-3.00M
2014-06,411.00M,,,,,,280.00M,280.00M,138.00M,,,-160.00M,-693.00M,-893.00M,1.367B,,-268.00M,-487.00M,,182.00M,-116.00M,,-83.00M,-14.00M,,18.00M,-112.00M,-222.00M,158.00M,-64.00M,34.00M,-102.00M,-68.00M,-59.00M,-59.00M,24.00M,-167.00M,4.193B,-97.00M,9.00M,4.105B,34.00M,911.00M,-975.00M,-102.00M
2014-03,365.00M,,,,,,240.00M,240.00M,-69.00M,,45.00M,-38.00M,7.00M,205.00M,1.831B,,-2.00M,2.041B,,2.664B,-120.00M,,-87.00M,-4.518B,,14.00M,-4.624B,3.776B,-52.00M,3.724B,27.00M,-2.00M,25.00M,-60.00M,-60.00M,3.00M,3.692B,2.431B,1.732B,30.00M,4.193B,27.00M,10.05B,-6.33B,-2.00M
2013-12,65.00M,,,,,,163.00M,163.00M,-65.00M,,42.00M,465.00M,-482.00M,-1.152B,237.00M,,386.00M,-1.011B,,-341.00M,-100.00M,,-58.00M,97.00M,,-145.00M,-148.00M,0.00,0.00,0.00,31.00M,0.00,31.00M,-55.00M,-55.00M,-12.00M,-36.00M,2.96B,-525.00M,-4.00M,2.431B,31.00M,0.00,0.00,0.00
2013-09,404.00M,,,,,,170.00M,170.00M,53.00M,,73.00M,165.00M,-254.00M,-175.00M,-245.00M,,-94.00M,-768.00M,,97.00M,-98.00M,,-64.00M,-42.00M,,50.00M,-90.00M,0.00,0.00,0.00,69.00M,-1.00M,68.00M,-46.00M,-46.00M,14.00M,36.00M,2.905B,43.00M,12.00M,2.96B,69.00M,50.00M,-50.00M,-1.00M
2013-06,424.00M,,,,,,162.00M,162.00M,98.00M,,,-273.00M,-139.00M,-60.00M,589.00M,,-85.00M,305.00M,,716.00M,-101.00M,,-69.00M,-74.00M,,-9.00M,-184.00M,0.00,0.00,0.00,50.00M,-127.00M,-77.00M,-53.00M,-53.00M,57.00M,-73.00M,2.456B,459.00M,-10.00M,2.905B,50.00M,100.00M,-100.00M,-127.00M
2013-03,259.00M,,,,,,198.00M,198.00M,116.00M,,44.00M,54.00M,251.00M,253.00M,953.00M,,-112.00M,1.345B,,2.207B,-144.00M,,-96.00M,-1.296B,,15.00M,-1.425B,-237.00M,0.00,-237.00M,54.00M,-801.00M,-747.00M,-47.00M,-47.00M,-7.00M,-1.038B,2.726B,-256.00M,-14.00M,2.456B,54.00M,2.006B,-2.243B,-801.00M
2012-12,298.00M,,,,,,131.00M,131.00M,101.00M,,41.00M,254.00M,-144.00M,-332.00M,-454.00M,,-78.00M,-1.008B,,-183.00M,-98.00M,,-62.00M,-326.00M,,-9.00M,-433.00M,892.00M,0.00,892.00M,32.00M,-360.00M,-328.00M,-47.00M,-47.00M,-2.00M,515.00M,2.831B,-101.00M,-4.00M,2.726B,32.00M,892.00M,0.00,-360.00M
2012-09,401.00M,,,,,,127.00M,127.00M,128.00M,,82.00M,-168.00M,-237.00M,23.00M,309.00M,,346.00M,441.00M,,1.011B,-80.00M,,-38.00M,-143.00M,,22.00M,-201.00M,,0.00,0.00,37.00M,0.00,37.00M,-47.00M,-47.00M,2.00M,-8.00M,2.013B,802.00M,16.00M,2.831B,37.00M,1.125B,-1.125B,0.00
2012-06,380.00M,,,,,,125.00M,125.00M,270.00M,,,-612.00M,448.00M,-4.00M,-933.00M,,-226.00M,-715.00M,,-552.00M,-78.00M,,-45.00M,-108.00M,,36.00M,-150.00M,,-400.00M,-400.00M,43.00M,-53.00M,-10.00M,-53.00M,-53.00M,38.00M,-425.00M,3.149B,-1.127B,-9.00M,2.013B,43.00M,0.00,-400.00M,-53.00M
2012-03,521.00M,,,,,,85.00M,85.00M,190.00M,,41.00M,44.00M,-193.00M,318.00M,401.00M,,-173.00M,353.00M,,1.234B,-91.00M,,-51.00M,-847.00M,,-134.00M,-1.072B,-407.00M,400.00M,-7.00M,45.00M,-1.202B,-1.157B,-49.00M,-49.00M,5.00M,-1.208B,4.191B,-1.046B,4.00M,3.149B,45.00M,400.00M,-407.00M,-1.202B
2011-12,882.00M,,,,,,137.00M,137.00M,-41.00M,,35.00M,-495.00M,-140.00M,-931.00M,627.00M,,247.00M,-197.00M,,321.00M,-80.00M,,-44.00M,-10.00M,,9.00M,-81.00M,-6.00M,0.00,-6.00M,40.00M,0.00,40.00M,-146.00M,-49.00M,3.00M,-12.00M,3.943B,228.00M,20.00M,4.191B,40.00M,0.00,-6.00M,0.00
2011-09,,,,,,,136.00M,136.00M,-7.00M,,39.00M,345.00M,-240.00M,34.00M,521.00M,,241.00M,556.00M,,1.069B,-118.00M,,-68.00M,-88.00M,,11.00M,-195.00M,-1.00M,0.00,-1.00M,31.00M,0.00,31.00M,,-50.00M,3.00M,-17.00M,3.116B,857.00M,-30.00M,3.943B,31.00M,0.00,-1.00M,0.00
2011-06,,,,,,,135.00M,135.00M,33.00M,,39.00M,179.00M,-195.00M,-303.00M,488.00M,,-50.00M,-60.00M,,326.00M,-109.00M,,-58.00M,-106.00M,,61.00M,-154.00M,-16.00M,0.00,-16.00M,51.00M,-672.00M,-621.00M,,-47.00M,16.00M,-668.00M,3.612B,-496.00M,0.00,3.116B,51.00M,,-16.00M,-672.00M
2011-03,1.202B,,,-213.00M,,,144.00M,144.00M,,0.00,38.00M,-874.00M,-475.00M,345.00M,481.00M,-82.00M,288.00M,557.00M,,1.00B,-120.00M,,-76.00M,0.00,,-38.00M,-158.00M,-41.00M,,-41.00M,129.00M,-502.00M,-373.00M,,-45.00M,14.00M,-445.00M,3.213B,397.00M,2.00M,3.612B,129.00M,,-2.73B,-502.00M
2010-12,0.00,,,189.00M,,,114.00M,114.00M,,0.00,33.00M,168.00M,-53.00M,-640.00M,469.00M,82.00M,178.00M,36.00M,,540.00M,-86.00M,,-50.00M,-258.00M,,-27.00M,-371.00M,0.00,,0.00,44.00M,-1.00M,43.00M,,-46.00M,-17.00M,-20.00M,3.05B,149.00M,14.00M,3.213B,44.00M,,0.00,-1.00M
2010-09,-72.00M,,,24.00M,,,118.00M,118.00M,,72.00M,33.00M,238.00M,-317.00M,690.00M,-497.00M,,-19.00M,-143.00M,,270.00M,-95.00M,,-55.00M,75.00M,,4.00M,-16.00M,0.00,,0.00,50.00M,-531.00M,-481.00M,,-47.00M,55.00M,-473.00M,3.265B,-219.00M,4.00M,3.05B,50.00M,,0.00,-531.00M
2010-06,,,,,,,120.00M,120.00M,,,33.00M,310.00M,172.00M,-28.00M,80.00M,,-159.00M,65.00M,,528.00M,-87.00M,,-52.00M,0.00,,8.00M,-79.00M,0.00,,0.00,144.00M,-1.016B,-872.00M,,-33.00M,2.00M,-903.00M,3.731B,-454.00M,-12.00M,3.265B,144.00M,,0.00,-1.016B
2010-03,348.00M,,,,,,-202.00M,-202.00M,,0.00,31.00M,-178.00M,282.00M,-577.00M,297.00M,-30.00M,,-28.00M,,591.00M,-107.00M,,-62.00M,1.00M,,0.00,-106.00M,,,,27.00M,322.00M,349.00M,,-33.00M,-281.00M,-184.00M,3.428B,301.00M,2.00M,3.731B,27.00M,,,322.00M
2009-12,326.00M,,,,,,126.00M,126.00M,,0.00,30.00M,-291.00M,-466.00M,-229.00M,320.00M,251.00M,125.00M,1.00M,,192.00M,-82.00M,,-44.00M,-18.00M,,89.00M,-11.00M,,,,77.00M,0.00,77.00M,,-32.00M,-15.00M,30.00M,3.215B,211.00M,2.00M,3.428B,77.00M,,,0.00
2009-09,301.00M,,,,,,113.00M,113.00M,,0.00,29.00M,147.00M,-250.00M,66.00M,455.00M,-110.00M,-125.00M,36.00M,,626.00M,-103.00M,,-51.00M,0.00,,-3.00M,-106.00M,,,,77.00M,-24.00M,53.00M,,-32.00M,15.00M,36.00M,2.644B,556.00M,15.00M,3.215B,77.00M,,,-24.00M
2009-06,288.00M,,,,,,111.00M,111.00M,,,24.00M,-47.00M,301.00M,-42.00M,356.00M,-84.00M,,531.00M,,907.00M,-86.00M,,-42.00M,,,,-86.00M,,,,31.00M,-298.00M,-267.00M,,-34.00M,-2.00M,-303.00M,2.109B,518.00M,17.00M,2.644B,31.00M,,,-298.00M
2009-03,281.00M,,,,,,111.00M,111.00M,244.00M,,27.00M,78.00M,-177.00M,860.00M,-727.00M,-143.00M,,-187.00M,,617.00M,-104.00M,,-44.00M,25.00M,,-116.00M,-195.00M,,0.00,695.00M,10.00M,-355.00M,-345.00M,,-33.00M,210.00M,527.00M,1.175B,949.00M,-15.00M,2.109B,10.00M,727.00M,-32.00M,-355.00M
2008-12,-20.00M,,,,,,112.00M,112.00M,14.00M,,19.00M,407.00M,-691.00M,-321.00M,426.00M,240.00M,,-346.00M,,186.00M,-118.00M,,-71.00M,0.00,0.00,39.00M,-79.00M,,0.00,0.00,14.00M,0.00,14.00M,,-33.00M,-1.00M,-20.00M,1.123B,87.00M,-35.00M,1.175B,14.00M,70.00M,-70.00M,0.00
2008-09,327.00M,,,,,,112.00M,112.00M,52.00M,,25.00M,-247.00M,146.00M,103.00M,-326.00M,-99.00M,141.00M,-35.00M,,234.00M,-92.00M,,-40.00M,-78.00M,,79.00M,-91.00M,,0.00,0.00,38.00M,0.00,38.00M,,-33.00M,-204.00M,-199.00M,1.187B,-56.00M,-8.00M,1.123B,38.00M,2.974B,-2.974B,0.00
2008-06,235.00M,,,,,,106.00M,106.00M,10.00M,,28.00M,-4.00M,14.00M,-272.00M,391.00M,-53.00M,-141.00M,-61.00M,,314.00M,-78.00M,,-40.00M,-242.00M,,-42.00M,-362.00M,,0.00,0.00,35.00M,-147.00M,-112.00M,,-17.00M,-1.00M,-130.00M,1.362B,-178.00M,3.00M,1.187B,35.00M,558.00M,-558.00M,-147.00M
2008-03,307.00M,,,-11.00M,,,100.00M,100.00M,6.00M,,,17.00M,142.00M,555.00M,-299.00M,-236.00M,336.00M,498.00M,-1.00M,916.00M,-109.00M,,-109.00M,-18.00M,,-953.00M,-119.00M,,,-153.00M,57.00M,-772.00M,-715.00M,,-17.00M,14.00M,-871.00M,1.436B,-74.00M,0.00,1.362B,57.00M,,,-772.00M
2007-12,201.00M,,,37.00M,,,93.00M,93.00M,151.00M,,,-983.00M,-268.00M,-1.166B,270.00M,424.00M,-78.00M,-818.00M,0.00,-1.319B,-86.00M,,-86.00M,-541.00M,,969.00M,342.00M,,,-1.00M,114.00M,-231.00M,-117.00M,,-17.00M,34.00M,-101.00M,2.518B,-1.078B,-4.00M,1.436B,114.00M,,,-231.00M
2007-09,247.00M,,,75.00M,,,89.00M,89.00M,145.00M,,,41.00M,27.00M,-261.00M,791.00M,-155.00M,-160.00M,242.00M,1.00M,840.00M,-85.00M,,-85.00M,-29.00M,,-24.00M,-138.00M,,,0.00,34.00M,-428.00M,-394.00M,,-18.00M,7.00M,-405.00M,2.203B,297.00M,18.00M,2.518B,34.00M,,,-428.00M
2007-06,235.00M,,,-80.00M,,,89.00M,89.00M,-104.00M,,,-18.00M,-189.00M,196.00M,,65.00M,238.00M,310.00M,,432.00M,-76.00M,,-76.00M,-22.00M,,8.00M,-90.00M,,,-8.00M,149.00M,-267.00M,-118.00M,,-18.00M,51.00M,-93.00M,1.954B,249.00M,,2.203B,149.00M,,,-267.00M
2007-03,257.00M,,,131.00M,,,87.00M,87.00M,90.00M,,,-48.00M,-77.00M,536.00M,-42.00M,-94.00M,144.00M,467.00M,0.00,984.00M,-111.00M,,-111.00M,-2.007B,,26.00M,-1.956B,,,977.00M,160.00M,-247.00M,-87.00M,,-18.00M,36.00M,908.00M,2.013B,-64.00M,,1.954B,160.00M,,,-247.00M
2006-12,243.00M,,,101.00M,,,69.00M,69.00M,7.00M,,,-20.00M,-388.00M,-829.00M,460.00M,263.00M,-33.00M,-527.00M,-3.00M,-130.00M,-58.00M,,-58.00M,-11.00M,,12.00M,-57.00M,,,-3.00M,48.00M,-98.00M,-50.00M,,-18.00M,17.00M,-54.00M,2.254B,-241.00M,,2.013B,48.00M,,,-98.00M
2006-09,229.00M,,,-94.00M,,,69.00M,69.00M,12.00M,,,-27.00M,121.00M,-189.00M,149.00M,-53.00M,115.00M,143.00M,58.00M,390.00M,-63.00M,,-63.00M,171.00M,,1.00M,109.00M,,,-5.00M,129.00M,-375.00M,-246.00M,,-18.00M,36.00M,-242.00M,2.00B,257.00M,,2.254B,129.00M,,,-375.00M
2006-06,184.00M,,,-6.00M,,,70.00M,70.00M,58.00M,,,12.00M,135.00M,-446.00M,305.00M,65.00M,-82.00M,-23.00M,,295.00M,-74.00M,,-74.00M,-91.00M,,-39.00M,-204.00M,,,-3.00M,62.00M,-283.00M,-221.00M,,-18.00M,,-233.00M,2.142B,-142.00M,,2.00B,62.00M,,,-283.00M
2006-03,220.00M,,,307.00M,,,68.00M,68.00M,177.00M,,,-273.00M,-81.00M,951.00M,-117.00M,70.00M,-53.00M,770.00M,3.00M,1.272B,-61.00M,,-61.00M,-92.00M,,6.00M,-1.045B,,,-1.00M,133.00M,-379.00M,-246.00M,,-18.00M,-1.00M,-266.00M,2.181B,-39.00M,,2.139B,133.00M,,,-379.00M
2005-12,193.00M,,,-190.00M,,,69.00M,69.00M,115.00M,,,47.00M,-496.00M,-612.00M,131.00M,208.00M,-12.00M,-781.00M,11.00M,-536.00M,-118.00M,,-118.00M,13.00M,,-11.00M,-116.00M,,,-3.00M,144.00M,-289.00M,-145.00M,,-19.00M,5.00M,-162.00M,2.996B,-814.00M,,2.181B,144.00M,,,-289.00M
2005-09,167.00M,,,-35.00M,,,61.00M,61.00M,78.00M,,,-60.00M,81.00M,0.00,1.042B,-46.00M,96.00M,1.173B,-20.00M,1.364B,-71.00M,,-71.00M,-502.00M,,13.00M,-560.00M,,,-9.00M,133.00M,-224.00M,-91.00M,,-18.00M,-100.00M,-218.00M,2.409B,586.00M,,2.996B,133.00M,,,-224.00M
2005-06,171.00M,,,-31.00M,,,64.00M,64.00M,33.00M,,,51.00M,-23.00M,262.00M,48.00M,147.00M,-84.00M,350.00M,,638.00M,-76.00M,,-76.00M,-8.00M,,-8.00M,-92.00M,,,-11.00M,158.00M,-66.00M,92.00M,,-18.00M,,63.00M,1.80B,609.00M,,2.409B,158.00M,,,-66.00M
2005-03,259.00M,,,-703.00M,,,61.00M,61.00M,-361.00M,,,1.076B,-108.00M,881.00M,-80.00M,-76.00M,113.00M,730.00M,,1.046B,-182.00M,-12.00M,-194.00M,21.00M,,56.00M,-117.00M,,,-250.00M,106.00M,,106.00M,,-17.00M,-1.00M,-162.00M,1.033B,767.00M,,1.80B,106.00M,,,
