,NetIncome,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2018-04,364.85M,,,109.34M,109.34M,8.046M,12.41M,,3.34M,,12.36M,3.294M,-50.08M,,,85.10M,50.67M,548.65M,-164.63M,0.631M,-164.00M,,,,-164.00M,-138.04M,,-138.04M,,-150.00M,-150.00M,-77.66M,-77.66M,,-2.427M,-368.12M,267.44M,16.53M,283.97M,,499.50M,-637.53M,-150.00M,,
2018-01,712.16M,0.00,,105.66M,105.66M,-175.22M,9.375M,,-1.699M,,-8.273M,-34.21M,60.56M,,,-9.117M,8.958M,659.23M,-157.84M,0.423M,-157.42M,,,,-157.42M,-0.749M,-119.70M,-120.45M,,-280.98M,-280.98M,-70.00M,-70.00M,,10.86M,-460.56M,226.19M,41.25M,267.44M,,0.00,-0.749M,-280.98M,,
2017-10,252.53M,0.00,,100.96M,100.96M,30.82M,8.109M,,1.428M,,-134.70M,28.04M,124.18M,,,-54.71M,-37.20M,356.65M,-174.57M,0.662M,-173.90M,,,,-173.90M,-1.343M,34.40M,33.06M,,-135.00M,-135.00M,-70.60M,-70.60M,,1.81M,-170.73M,214.17M,12.02M,226.19M,,0.00,-1.343M,-135.00M,,
2017-07,294.78M,0.00,,99.03M,99.03M,-2.766M,7.907M,,9.237M,,-162.93M,-30.90M,301.71M,,,-240.30M,-132.42M,275.77M,-170.53M,0.212M,-170.32M,,,,-170.32M,-0.309M,47.80M,47.49M,,-74.98M,-74.98M,-71.04M,-71.04M,,1.282M,-97.25M,205.98M,8.196M,214.17M,,0.00,-0.309M,-74.98M,,
2017-04,279.49M,3.502M,,98.59M,98.59M,9.516M,8.932M,,2.122M,,-42.46M,-12.34M,17.12M,,,145.99M,108.32M,510.46M,-143.52M,0.131M,-143.39M,,,,-143.39M,-150.72M,-22.80M,-173.52M,,-88.76M,-88.76M,-71.29M,-71.29M,,-15.44M,-349.01M,187.92M,18.06M,205.98M,,599.56M,-750.28M,-88.76M,,
2017-01,414.18M,,,97.54M,97.54M,15.57M,9.291M,,-5.56M,,233.55M,5.425M,-390.53M,,,101.16M,-50.39M,480.63M,-154.40M,5.027M,-149.37M,,,,-149.37M,-1.836M,37.50M,35.66M,,-311.06M,-311.06M,-68.89M,-68.89M,,0.702M,-343.58M,200.24M,-12.32M,187.92M,,0.00,-1.836M,-311.06M,,
2016-10,235.32M,,,95.44M,95.44M,-10.37M,8.188M,,-0.146M,,-213.77M,4.064M,261.04M,,,-48.68M,2.645M,331.08M,-138.09M,1.907M,-136.18M,,,,-136.18M,-337.49M,453.00M,115.51M,,-224.91M,-224.91M,-70.09M,-70.09M,,-0.215M,-179.70M,185.03M,15.20M,200.24M,,1.00M,-338.49M,-224.91M,,
2016-07,306.52M,,,94.62M,94.62M,-0.382M,9.235M,,2.521M,,-195.16M,-17.86M,305.58M,,,-115.70M,-23.13M,389.38M,-168.84M,2.103M,-166.74M,,,,-166.74M,65.68M,0.00,65.68M,,-223.55M,-223.55M,-70.85M,-70.85M,,3.425M,-225.29M,187.69M,-2.654M,185.03M,,832.00M,-766.32M,-223.55M,,
2016-04,295.12M,,,92.32M,92.32M,7.541M,10.25M,,-0.44M,,3.476M,-16.68M,-76.68M,,,89.03M,-0.849M,403.95M,-98.97M,0.323M,-98.64M,,,,-98.64M,19.50M,0.00,19.50M,,-230.96M,-230.96M,-71.31M,-71.31M,,7.198M,-275.57M,157.95M,29.74M,187.69M,,751.00M,-731.50M,-230.96M,,
2016-01,376.18M,0.00,,89.14M,89.14M,71.15M,9.657M,,0.667M,,27.27M,-0.384M,16.00M,,,-7.114M,35.78M,582.57M,-117.92M,0.61M,-117.31M,,,,-117.31M,-137.28M,,-137.28M,,-290.20M,-290.20M,-63.16M,-63.16M,,0.811M,-489.83M,182.51M,-24.57M,157.95M,,732.00M,-869.28M,-290.20M,,
2015-10,253.32M,0.326M,,88.55M,88.55M,-26.35M,9.248M,,-0.604M,,-70.48M,6.512M,-28.27M,,,-8.128M,-100.37M,224.13M,-139.84M,0.556M,-139.28M,,,,-139.28M,262.70M,,262.70M,,-275.08M,-275.08M,-63.96M,-63.96M,,-6.526M,-82.86M,180.52M,1.989M,182.51M,,1.356B,-1.094B,-275.08M,,
2015-07,282.35M,,,87.58M,87.58M,-22.58M,9.517M,,6.327M,,-189.69M,-18.51M,140.70M,,,-80.92M,-148.42M,214.77M,-147.12M,0.094M,-147.03M,,,,-147.03M,147.74M,,147.74M,,-199.68M,-199.68M,-65.17M,-65.17M,,4.772M,-112.33M,225.12M,-44.59M,180.52M,,432.10M,-284.36M,-199.68M,,
2015-04,253.24M,,,87.15M,87.15M,-10.10M,10.12M,,1.407M,,-57.10M,-12.24M,22.15M,,,75.58M,28.39M,370.21M,-99.93M,0.163M,-99.77M,,,,-99.77M,-25.35M,,-25.35M,,-534.65M,-534.65M,-66.04M,-66.04M,,0.886M,-625.15M,579.82M,-354.71M,225.12M,,13.00M,-38.35M,-534.65M,,
2015-01,355.37M,,,86.59M,86.59M,29.87M,9.64M,,0.977M,,5.743M,4.431M,-32.74M,,,26.46M,3.893M,486.34M,-85.43M,0.68M,-84.75M,,,,-84.75M,-26.55M,,-26.55M,,0.00,0.00,0.00,0.00,,-11.37M,-37.93M,216.16M,363.67M,579.82M,,0.00,-26.55M,0.00,,
2014-10,236.32M,,,86.26M,86.26M,2.271M,9.378M,,4.035M,,-3.412M,-0.424M,5.186M,,,14.01M,15.36M,353.62M,-97.12M,0.896M,-96.23M,,,,-96.23M,-215.24M,,-215.24M,,0.00,0.00,0.00,0.00,,1.527M,-213.72M,172.47M,43.68M,216.16M,,51.00M,-266.24M,0.00,,
2014-07,251.26M,,,85.34M,85.34M,-21.93M,9.568M,,3.315M,,-184.35M,-4.845M,197.79M,,,-100.67M,-92.08M,235.46M,-107.33M,0.589M,-106.74M,,,,-106.74M,-125.24M,,-125.24M,,0.00,0.00,0.00,0.00,,2.655M,-122.58M,166.33M,6.144M,172.47M,,541.00M,-666.24M,0.00,,
2014-04,222.40M,,,84.16M,84.16M,-27.94M,8.752M,,0.224M,,-51.54M,-24.21M,-31.43M,,,71.04M,-36.13M,251.46M,-84.09M,0.103M,-83.98M,,,,-83.98M,288.57M,,288.57M,,-800.10M,-800.10M,0.00,0.00,,4.818M,-506.71M,505.57M,-339.24M,166.33M,,431.00M,-142.43M,-800.10M,,
2014-01,322.17M,0.00,,85.16M,85.16M,-46.16M,4.589M,,-9.195M,,42.55M,-10.22M,-7.234M,,,70.82M,95.92M,452.49M,-94.47M,287.52M,193.05M,,,,193.05M,-106.23M,,-106.23M,,-200.08M,-200.08M,,,,0.618M,-305.69M,165.72M,339.85M,505.57M,,2.00M,-108.23M,-200.08M,,
2013-10,237.38M,0.00,,84.44M,84.44M,-3.126M,5.529M,,-3.376M,,-54.08M,19.51M,5.559M,,,-15.38M,-44.39M,276.46M,-135.45M,0.692M,-134.76M,,,,-134.76M,53.78M,,53.78M,,-199.99M,-199.99M,,,,1.014M,-145.20M,169.22M,-3.503M,165.72M,,347.00M,-293.22M,-199.99M,,
2013-07,245.48M,0.00,,82.74M,82.74M,-4.92M,5.533M,,-0.324M,,-117.00M,-1.083M,185.40M,,,-58.93M,8.381M,336.89M,-158.87M,0.183M,-158.69M,,,,-158.69M,34.78M,,34.78M,,-199.98M,-199.98M,,,,0.697M,-164.50M,155.53M,13.69M,169.22M,,329.00M,-294.22M,-199.98M,,
2013-04,220.08M,18.87M,,80.49M,80.49M,-13.63M,5.31M,,0.148M,,-16.41M,-13.16M,-130.52M,,,-3.954M,-164.04M,147.23M,-149.65M,0.075M,-149.58M,,,,-149.58M,63.96M,,63.96M,,-20.00M,-20.00M,,,,-26.89M,17.07M,140.81M,14.72M,155.53M,,2.792B,-2.728B,-20.00M,,
2013-01,317.42M,0.00,,80.51M,80.51M,-29.24M,6.307M,,-2.774M,,-65.33M,-6.846M,30.90M,,,109.52M,68.24M,440.47M,-117.97M,0.616M,-117.35M,,,,-117.35M,-252.03M,,-252.03M,,-75.02M,-75.02M,,,,2.163M,-324.88M,142.58M,-1.771M,140.81M,,583.30M,-835.33M,-75.02M,,
2012-10,207.68M,0.00,,76.14M,76.14M,-1.035M,5.133M,,6.216M,,-186.08M,14.25M,93.16M,,,101.93M,23.26M,317.39M,-149.64M,0.718M,-148.92M,,,,-148.92M,133.22M,,133.22M,,-296.44M,-296.44M,,,,3.171M,-160.05M,134.16M,8.423M,142.58M,,668.00M,-534.78M,-296.44M,,
2012-07,214.14M,28.99M,,73.99M,73.99M,-40.37M,5.465M,,0.504M,,-146.50M,-7.217M,145.68M,,,-93.84M,-101.86M,180.85M,-158.13M,0.307M,-157.82M,,,,-157.82M,-20.54M,,-20.54M,,0.00,0.00,,,,-0.858M,-21.40M,132.53M,1.627M,134.16M,,950.50M,-971.04M,0.00,,
2012-04,213.42M,1.629M,,72.27M,72.27M,-19.71M,4.759M,,2.828M,,6.499M,5.37M,-112.44M,,,18.02M,-82.56M,192.64M,-145.86M,0.119M,-145.74M,,,,-145.74M,262.90M,,262.90M,,-300.00M,-300.00M,,,,-3.395M,-40.50M,126.13M,6.404M,132.53M,,584.90M,-322.00M,-300.00M,,
2012-01,292.51M,0.00,,70.64M,70.64M,-30.75M,4.281M,,22.53M,,59.44M,-3.655M,-20.55M,,,51.53M,86.76M,445.98M,-151.76M,0.297M,-151.46M,,,,-151.46M,184.46M,-287.80M,-103.34M,,-186.60M,-186.60M,,,-16.10M,19.07M,-286.97M,118.58M,7.546M,126.13M,,508.70M,-612.04M,-186.60M,,
2011-10,171.16M,0.00,,68.90M,68.90M,-9.81M,4.171M,,13.95M,,-128.26M,6.237M,79.82M,,,-0.106M,-42.31M,206.06M,-144.98M,0.256M,-144.72M,,,,-144.72M,-0.347M,-58.20M,-58.55M,,0.00,0.00,,,15.65M,-12.91M,-55.81M,113.05M,5.53M,118.58M,,277.50M,-336.05M,0.00,,
2011-07,146.04M,58.14M,,68.38M,68.38M,10.73M,3.279M,,13.14M,,-217.39M,-4.767M,97.38M,,,-0.051M,-124.84M,174.87M,-126.16M,0.106M,-126.06M,,,,-126.06M,-884.21M,346.00M,-538.21M,,0.00,0.00,,,0.016M,-0.027M,-538.22M,602.46M,-489.41M,113.05M,,371.60M,-909.81M,0.00,,
2011-04,156.97M,2.167M,,67.49M,67.49M,6.959M,3.519M,,4.574M,,-5.275M,-32.37M,19.56M,,,-0.017M,-18.10M,223.57M,-91.96M,0.367M,-91.59M,,,,-91.59M,-27.15M,0.00,-27.15M,,0.00,0.00,,,0.434M,-0.247M,-26.96M,497.45M,105.02M,602.46M,,0.00,-27.15M,0.00,,
2011-01,222.55M,0.00,,65.19M,65.19M,5.46M,4.336M,6.413M,5.629M,,115.09M,16.26M,-62.85M,,,42.82M,111.32M,420.89M,-161.15M,0.58M,-160.57M,,,,-160.57M,-0.526M,,-0.526M,-0.599M,5.949M,5.35M,,,,-5.60M,-0.776M,237.91M,259.54M,497.45M,-0.599M,0.00,-0.526M,5.949M,,
2010-10,128.12M,8.189M,,63.58M,63.58M,36.48M,3.254M,-1.026M,1.454M,,-147.31M,-10.59M,42.44M,,,-0.097M,-115.56M,124.49M,-96.18M,0.324M,-95.86M,,,,-95.86M,-72.52M,,-72.52M,0.198M,-0.851M,-0.653M,,,,1.026M,-72.14M,281.42M,-43.52M,237.91M,0.198M,0.00,-72.52M,-0.851M,,
2010-07,141.20M,6.387M,,62.90M,62.90M,-14.89M,3.387M,-0.581M,4.833M,,-134.41M,-2.319M,122.58M,,,-0.985M,-15.14M,188.09M,-72.06M,0.286M,-71.77M,,,,-71.77M,-57.67M,0.00,-57.67M,0.116M,-0.631M,-0.515M,,,,0.581M,-57.61M,222.71M,58.71M,281.42M,0.116M,0.00,-57.67M,-0.631M,,
2010-04,136.00M,,,63.25M,63.25M,10.03M,4.979M,-4.806M,1.633M,,-85.18M,-13.50M,-21.17M,,,-0.026M,-119.87M,91.21M,-91.00M,0.258M,-90.74M,,,,-90.74M,-0.463M,,-0.463M,0.285M,-4.467M,-4.182M,,,,4.806M,0.161M,222.08M,0.633M,222.71M,0.285M,,-0.463M,-4.467M,,
2010-01,87.20M,,,62.73M,62.73M,-30.52M,8.046M,,-0.644M,,162.74M,-4.25M,-87.74M,,,28.87M,99.63M,281.70M,-63.89M,2.019M,-61.87M,,,,-61.87M,-777.34M,,-777.34M,441.74M,,441.74M,,,,0.834M,-334.77M,337.02M,-114.94M,222.08M,441.74M,-1.08M,-776.26M,,,
2009-10,75.65M,,,62.98M,62.98M,27.68M,3.143M,,1.07M,,-126.73M,1.061M,143.63M,,,-41.22M,-23.26M,147.26M,-79.55M,0.36M,-79.19M,,,,-79.19M,-6.386M,,-6.386M,0.00,,0.00,,,0.00,-240.04M,-246.42M,515.38M,-178.36M,337.02M,0.00,0.00,-6.386M,,,
2009-07,93.59M,,,66.54M,66.54M,-3.155M,3.168M,,6.881M,,-97.22M,-1.097M,78.45M,,,-12.18M,-32.05M,134.97M,-55.48M,0.17M,-55.31M,,,,-55.31M,0.544M,,0.544M,1.398M,,1.398M,,,0.00,-0.813M,1.129M,434.58M,80.79M,515.38M,1.398M,1.08M,-0.536M,,,
2009-04,83.01M,,,64.53M,64.53M,15.46M,2.938M,,1.26M,,-39.04M,-3.012M,-39.79M,,,23.54M,-58.30M,108.89M,-51.82M,0.152M,-51.67M,,,,-51.67M,-0.999M,,-0.999M,0.62M,,0.62M,,,,-0.252M,-0.631M,378.00M,56.59M,434.58M,0.62M,,-0.999M,,,
2009-01,81.85M,,,63.74M,63.74M,43.38M,2.752M,-0.374M,17.60M,,191.68M,6.62M,-94.58M,,,5.173M,108.90M,314.04M,-45.84M,0.295M,-45.54M,,0.00,,-45.54M,-41.20M,,-41.20M,1.96M,-2.221M,-0.261M,,,,0.374M,-41.09M,150.59M,227.40M,378.00M,1.96M,0.00,-41.20M,-2.221M,,
2008-10,-7.306M,,,62.13M,62.13M,48.26M,2.69M,-0.101M,21.25M,,-145.95M,-1.158M,-12.35M,,,-2.856M,-162.31M,-35.38M,-79.61M,0.288M,-79.32M,,2.597M,,-76.72M,-103.53M,102.50M,-1.028M,2.268M,-0.275M,1.993M,,,,0.101M,1.066M,261.63M,-111.04M,150.59M,2.268M,0.00,-1.028M,-0.275M,-3.83M,-193.24M
2008-07,27.72M,,,60.62M,60.62M,-12.61M,2.17M,-0.475M,17.86M,,-189.00M,-2.515M,230.63M,,,11.88M,50.99M,144.96M,-44.73M,0.589M,-44.14M,,45.97M,,1.836M,-1.15M,0.00,-1.15M,0.00,-0.503M,-0.503M,,,,0.58M,-1.073M,115.90M,145.73M,261.63M,0.00,0.00,-1.15M,-0.503M,1.626M,147.50M
2008-04,5.916M,,,61.41M,61.41M,-5.60M,2.346M,,0.219M,,-29.75M,-3.545M,119.37M,,,-0.115M,85.96M,151.56M,-35.37M,0.094M,-35.28M,,3.073M,,-32.21M,-1.045M,-102.50M,-103.54M,0.00,-0.01M,-0.01M,,,,-0.105M,-103.66M,100.21M,15.70M,115.90M,0.00,,-103.54M,-0.01M,2.204M,45.74M
2008-01,55.39M,,,59.31M,59.31M,16.92M,0.68M,-3.927M,0.00,,187.34M,8.464M,-54.71M,,,2.71M,143.81M,273.43M,-38.94M,0.181M,-38.75M,-0.221M,5.864M,0.00,-33.11M,-30.19M,-199.50M,-229.69M,0.00,-0.417M,-0.417M,,0.00,0.00,-0.545M,-230.65M,440.15M,9.671M,449.82M,0.00,288.40M,-518.09M,-0.417M,,
2007-10,-33.03M,,,65.33M,65.33M,17.00M,1.977M,3.927M,8.444M,,-80.85M,3.986M,41.09M,,,-2.07M,-37.84M,25.82M,-33.31M,0.19M,-33.12M,-13.80M,7.97M,-37.05M,-75.99M,-1.459M,-130.30M,-131.76M,-5.903M,-0.124M,-6.027M,,0.00,0.00,154.83M,17.05M,473.28M,-33.13M,440.15M,-5.903M,801.40M,-933.16M,-0.124M,,
2007-07,-70.05M,,,59.04M,59.04M,-30.30M,43.13M,-0.398M,-4.679M,,1.374M,-14.34M,125.18M,,,4.116M,116.33M,113.02M,-33.45M,0.613M,-32.84M,-6.724B,-15.34M,,-6.773B,3.965B,432.30M,4.397B,2.765B,0.00,2.765B,,0.002M,7.265M,-241.28M,6.928B,204.42M,268.87M,473.28M,2.765B,4.609B,-212.14M,0.00,,
2007-04,34.88M,,,50.45M,50.45M,-4.948M,3.469M,-3.529M,-0.06M,,-11.98M,-0.552M,-38.96M,,,0.456M,-51.03M,29.29M,-34.10M,0.169M,-33.93M,,0.33M,,-33.60M,-2.653M,0.00,-2.653M,,0.00,0.00,,-15.71M,34.28M,3.529M,19.44M,189.29M,15.13M,204.42M,,0.00,-2.653M,0.00,,
2007-01,50.09M,,,51.70M,51.70M,7.61M,7.578M,-0.615M,-1.098M,,244.82M,-0.558M,4.297M,,,21.78M,270.34M,385.60M,-40.47M,0.326M,-40.15M,,-2.465M,,-42.61M,-2.701M,-232.30M,-235.00M,,0.00,0.00,,-15.61M,6.005M,-0.008M,-244.61M,90.91M,98.37M,189.29M,,245.25M,-480.25M,0.00,,
2006-10,-5.285M,,,51.43M,51.43M,-51.64M,,-0.017M,81.09M,,-12.26M,-0.781M,-2.377M,,,47.61M,32.19M,105.90M,-64.73M,0.649M,-64.08M,,1.233M,,-62.85M,-2.533M,-20.70M,-23.23M,,0.00,0.00,,-15.58M,0.306M,0.023M,-38.48M,86.35M,4.562M,90.91M,,814.70M,-837.93M,0.00,,
2006-07,45.47M,,,48.70M,48.70M,0.206M,-1.74M,-0.42M,-2.16M,,-98.91M,8.357M,-0.537M,,,-71.14M,-162.24M,-70.02M,-79.21M,2.179M,-77.03M,,-7.389M,,-84.42M,-6.52M,188.00M,181.48M,,0.00,0.00,,-15.60M,2.649M,0.384M,168.92M,71.88M,14.48M,86.35M,,836.25M,-654.77M,0.00,,
2006-04,47.67M,,,48.78M,48.78M,5.602M,1.74M,-1.461M,0.279M,,-161.70M,-12.43M,55.35M,,,0.339M,-118.44M,-16.12M,-77.10M,0.303M,-76.80M,,-15.28M,,-92.08M,-2.364M,65.00M,62.64M,,-79.95M,-79.95M,,-15.69M,10.93M,1.53M,-20.53M,200.61M,-128.73M,71.88M,,116.50M,-53.86M,-79.95M,,
2006-01,145.27M,,,49.01M,49.01M,7.951M,,2.448M,5.78M,,100.15M,-2.783M,-41.90M,,,57.29M,112.76M,320.77M,-67.26M,1.544M,-65.72M,,-25.84M,,-91.56M,-3.478M,-75.00M,-78.48M,,-36.90M,-36.90M,,-14.18M,7.364M,0.829M,-121.36M,92.77M,107.84M,200.61M,,83.60M,-162.08M,-36.90M,,
2005-10,64.42M,,,47.50M,47.50M,13.74M,,0.199M,0.199M,,-113.87M,-3.244M,66.88M,,,-39.94M,-90.17M,35.70M,-77.26M,0.263M,-76.99M,,0.00,,-76.99M,11.85M,75.00M,86.85M,,-87.95M,-87.95M,,-14.40M,3.60M,0.019M,-11.89M,145.95M,-53.18M,92.77M,,163.10M,-76.25M,-87.95M,,
2005-07,75.56M,,,46.31M,46.31M,-16.79M,,0.843M,0.843M,,5.281M,0.861M,26.90M,,,4.93M,37.97M,143.90M,-74.53M,0.70M,-73.83M,,0.00,,-73.83M,-3.461M,0.00,-3.461M,,-147.69M,-147.69M,,-14.45M,4.947M,0.022M,-160.64M,236.52M,-90.57M,145.95M,,0.00,-3.461M,-147.69M,,
2005-04,64.90M,,,44.01M,44.01M,3.34M,,2.967M,2.967M,,-89.44M,-5.464M,49.70M,,,-14.89M,-60.09M,55.12M,-65.06M,0.122M,-64.94M,,42.92M,,-22.01M,-4.722M,0.00,-4.722M,,-25.06M,-25.06M,,-13.14M,13.49M,0.022M,-29.41M,232.83M,3.693M,236.52M,,0.00,-4.722M,-25.06M,,
2005-01,133.89M,,,41.60M,41.60M,-1.381M,,4.042M,5.821M,,182.04M,0.373M,-31.68M,,,-1.359M,149.37M,329.30M,-69.12M,3.17M,-65.95M,,-41.42M,,-107.37M,-4.106M,-64.50M,-68.61M,,-10.93M,-10.93M,,-13.12M,13.00M,-0.536M,-80.19M,91.09M,141.74M,232.83M,,85.90M,-154.51M,-10.93M,,
2004-10,71.13M,,,42.18M,42.18M,-1.885M,,1.931M,1.931M,,-179.03M,-1.566M,69.93M,,,4.936M,-105.73M,7.629M,-84.72M,0.064M,-84.66M,,9.801M,,-74.86M,-3.892M,64.50M,60.61M,,-28.97M,-28.97M,,-13.12M,6.84M,0.357M,25.72M,132.61M,-41.51M,91.09M,,109.10M,-48.49M,-28.97M,,
2004-07,71.32M,,,41.06M,41.06M,16.46M,,1.512M,1.512M,,-102.36M,0.076M,-41.10M,,,-0.756M,-144.14M,-13.79M,-73.75M,0.061M,-73.69M,,60.35M,,-13.34M,-4.356M,,-4.356M,,-35.80M,-35.80M,,-13.13M,7.739M,-1.417M,-46.96M,206.70M,-74.09M,132.61M,,,-4.356M,-35.80M,,
2004-04,67.85M,,,39.64M,39.64M,12.56M,,2.172M,2.172M,,-120.04M,-2.235M,83.95M,,,-15.51M,-53.84M,68.38M,-60.70M,0.029M,-60.67M,,-2.925M,,-63.60M,-4.063M,,-4.063M,,-133.59M,-133.59M,,-13.32M,6.546M,0.447M,-143.98M,345.90M,-139.20M,206.70M,,,-4.063M,-133.59M,,
2004-01,100.83M,,,41.34M,41.34M,-2.301M,,3.785M,3.785M,,216.06M,,-50.56M,19.60M,,34.62M,203.41M,347.07M,-47.10M,0.074M,-47.03M,,,0.00,-114.26M,-4.099M,,-4.099M,,-29.69M,-29.69M,,-11.75M,9.825M,-0.144M,-35.85M,138.47M,196.96M,345.90M,,0.00,-4.099M,-29.69M,,
