,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2012-06,,120.51B,,120.51B,628.00M,,628.00M,,129.68B,1.711B,17.91B,4.962B,22.87B,45.43B,362.00M,45.07B,110.64B,200.60B,330.28B,,13.30B,,,13.30B,5.969B,19.27B,1.564B,,1.564B,1.564B,30.00B,20.91B,20.91B,221.14B,852.00M,,258.75B,294.90B,,512.00M,13.59B,23.37B,1.653B,500.00M,,,-1.28B,34.53B,,AOR,Restated
2012-03,,101.22B,,101.22B,599.00M,,599.00M,,107.25B,1.715B,18.00B,5.072B,23.07B,43.03B,386.00M,42.64B,105.52B,192.92B,300.17B,,12.96B,,,12.96B,5.819B,18.78B,1.07B,,1.07B,1.07B,28.13B,22.40B,22.40B,192.46B,829.00M,,231.79B,265.34B,,12.00M,13.28B,23.30B,1.364B,,,,-1.229B,34.00B,,AOR,Restated
2011-12,,130.74B,78.47B,209.21B,4.868B,2.573B,7.441B,928.00M,223.68B,1.681B,17.90B,6.138B,24.04B,43.98B,394.00M,43.58B,103.87B,175.51B,325.27B,,,6.235B,12.67B,18.91B,,18.91B,10.00M,2.174B,2.184B,2.184B,27.36B,19.93B,19.93B,219.09B,670.00M,114.00M,257.26B,291.18B,,12.00M,12.81B,23.18B,965.00M,,,,-1.627B,33.42B,,AOR,Restated
2011-09,,127.45B,,127.45B,645.00M,,645.00M,,132.73B,1.705B,18.04B,5.38B,23.42B,45.31B,392.00M,44.92B,97.63B,189.45B,322.19B,,13.10B,6.324B,,19.42B,,19.42B,44.00M,,44.00M,44.00M,26.23B,23.96B,23.96B,210.89B,834.00M,,253.44B,287.66B,,12.00M,12.46B,23.12B,894.00M,,,,-1.004B,33.70B,,AOR,Restated
2011-06,,122.27B,,122.27B,628.00M,,628.00M,,127.95B,1.729B,18.19B,5.514B,23.70B,42.15B,441.00M,41.71B,87.99B,176.76B,304.71B,,11.51B,6.053B,,17.56B,,17.56B,36.00M,,36.00M,36.00M,25.17B,19.34B,19.34B,197.95B,872.00M,,236.26B,269.98B,,12.00M,11.98B,23.04B,425.00M,,,,-751.00M,33.85B,,AOR,Restated
2011-03,,87.45B,,87.45B,546.00M,,546.00M,,92.76B,1.662B,18.16B,5.617B,23.77B,40.01B,467.00M,39.54B,88.15B,173.69B,266.44B,,10.55B,5.69B,,16.24B,,16.24B,13.00M,,13.00M,13.00M,21.69B,18.38B,18.38B,162.50B,882.00M,,202.12B,232.30B,,12.00M,11.40B,23.00B,152.00M,,,,-1.003B,33.26B,,AOR,Restated
2010-12,,72.42B,,72.42B,508.00M,,508.00M,,78.10B,1.693B,18.04B,5.696B,23.74B,37.81B,498.00M,37.31B,86.70B,168.88B,247.26B,,9.962B,,,9.962B,6.164B,16.13B,10.00M,,10.00M,10.00M,21.74B,19.38B,19.38B,145.34B,803.00M,,185.19B,214.10B,,12.00M,10.90B,22.88B,86.00M,,,,-1.355B,32.35B,,AOR,Restated
2010-06,,79.72B,,79.72B,4.167B,1.841B,6.008B,1.624B,91.81B,1.548B,16.11B,5.354B,21.46B,37.15B,542.00M,36.60B,63.70B,139.60B,235.69B,,,,,10.20B,4.645B,14.84B,7.00M,,7.00M,7.00M,17.56B,18.77B,18.77B,143.67B,709.00M,,170.76B,204.59B,,12.00M,9.875B,22.07B,55.00M,,,,-1.509B,30.40B,,AOR,Restated
2010-03,,68.20B,,68.20B,748.00M,,748.00M,,73.39B,1.583B,16.08B,5.449B,21.53B,33.89B,520.00M,33.37B,61.42B,146.82B,220.55B,,,,,10.33B,4.268B,14.60B,6.00M,,6.00M,6.00M,18.48B,17.80B,17.80B,131.63B,772.00M,,155.70B,190.10B,,12.00M,9.34B,21.99B,49.00M,,,,-1.614B,29.68B,,AOR,Restated
2009-12,,67.40B,,67.40B,639.00M,,639.00M,,71.57B,1.602B,16.25B,5.588B,21.84B,36.69B,503.00M,36.19B,62.05B,138.41B,212.22B,,10.72B,4.484B,,15.20B,,15.20B,12.00M,,12.00M,12.00M,18.56B,17.71B,17.71B,135.05B,26.00M,,159.16B,183.22B,,12.00M,8.912B,21.92B,29.00M,,,,-1.835B,28.98B,,AOR,Restated
2009-09,,67.69B,,67.69B,699.00M,,699.00M,,72.30B,1.682B,16.02B,5.574B,21.60B,36.27B,456.00M,35.81B,62.30B,137.69B,212.01B,,,,,10.46B,3.855B,14.31B,163.00M,,163.00M,163.00M,17.03B,18.77B,18.77B,133.94B,21.00M,,160.53B,183.69B,,12.00M,8.462B,21.79B,26.00M,,,,-1.947B,28.30B,,AOR,Restated
2009-06,,63.65B,,63.65B,529.00M,,529.00M,,67.86B,1.685B,16.04B,5.677B,21.72B,38.23B,434.00M,37.80B,56.55B,133.01B,203.01B,,,,,8.492B,2.79B,11.28B,272.00M,,272.00M,272.00M,13.61B,18.71B,18.71B,130.59B,28.00M,,156.19B,175.71B,,12.00M,11.03B,21.87B,23.00M,,,,-5.608B,27.28B,,AOR,Restated
2009-03,,74.97B,,74.97B,500.00M,,500.00M,,78.02B,1.718B,15.80B,5.717B,21.52B,41.49B,470.00M,41.02B,46.20B,125.46B,203.48B,,,,,8.415B,3.38B,11.80B,279.00M,,279.00M,279.00M,13.68B,16.97B,16.97B,133.59B,27.00M,,157.30B,175.24B,,2.807B,10.95B,20.45B,12.00M,2.795B,,,-5.99B,28.21B,,AOR,Restated
2008-12,,97.28B,,97.28B,619.00M,4.057B,4.676B,,103.96B,1.686B,,,22.36B,43.39B,415.00M,42.98B,58.59B,133.29B,237.51B,,9.274B,4.052B,,13.33B,,13.33B,,,,,14.70B,22.35B,22.35B,159.67B,,,182.02B,209.46B,,2.797B,10.25B,20.43B,3.00M,2.786B,-363.00M,-5.063B,-5.426B,28.05B,,,Restated
2008-09,,97.56B,,97.56B,738.00M,5.467B,6.205B,,111.52B,1.678B,,,22.96B,59.04B,365.00M,58.68B,63.05B,155.73B,267.51B,,10.97B,5.134B,,16.10B,,16.10B,,10.91B,10.91B,10.91B,33.48B,18.46B,18.46B,174.17B,,,192.62B,240.00B,,11.00M,10.44B,20.21B,33.00M,,,,-3.115B,27.51B,,,Restated
2008-06,,43.89B,,43.89B,510.00M,4.247B,4.757B,,64.74B,1.698B,,,23.40B,50.57B,353.00M,50.22B,50.33B,136.29B,201.22B,,9.596B,6.304B,,15.90B,,15.90B,,,,,18.39B,17.08B,17.08B,127.20B,,,144.28B,172.66B,,11.00M,10.46B,20.13B,112.00M,,,,-1.919B,28.57B,,,Restated
2008-03,,45.40B,,45.40B,723.00M,,723.00M,,58.02B,1.714B,16.58B,6.353B,22.93B,52.09B,314.00M,51.78B,53.14B,146.91B,204.94B,,7.727B,6.483B,,14.21B,,14.21B,31.00M,,31.00M,31.00M,17.20B,20.37B,20.37B,127.21B,,,153.48B,176.46B,,11.00M,10.44B,20.08B,212.00M,,,,-1.837B,28.48B,,AOR,Restated
2007-12,,40.95B,,40.95B,739.00M,4.889B,5.628B,,55.68B,1.731B,,,23.25B,50.93B,327.00M,50.60B,55.12B,141.89B,197.66B,,7.578B,8.101B,,15.68B,,15.68B,,,,,17.87B,22.79B,22.79B,118.12B,,,140.92B,168.25B,,11.00M,10.02B,19.99B,39.00M,,11.00M,-585.00M,-574.00M,29.40B,,,
2007-09,,34.17B,,34.17B,655.00M,4.071B,4.726B,,43.09B,1.701B,,,22.32B,50.86B,332.00M,50.52B,53.97B,140.65B,183.97B,,7.917B,7.842B,,15.76B,,15.76B,,,,,18.69B,16.42B,16.42B,108.20B,,,124.63B,155.02B,,11.00M,9.773B,19.71B,49.00M,,,,-491.00M,28.96B,,,
2007-06,,26.15B,,26.15B,480.00M,4.327B,4.807B,,42.95B,1.119B,,,6.953B,38.40B,282.00M,38.12B,31.50B,83.14B,126.33B,,7.90B,4.23B,,12.13B,,12.13B,,,,,13.67B,12.60B,12.60B,81.35B,,,93.96B,114.50B,,10.00M,9.571B,10.20B,7.544B,,,,-411.00M,11.83B,,,
2007-03,,15.63B,,15.63B,409.00M,,409.00M,,17.75B,1.064B,,,6.578B,38.29B,290.00M,38.00B,27.37B,82.09B,99.85B,,6.739B,4.153B,,10.89B,,10.89B,,,,,11.66B,11.30B,11.30B,59.02B,,,70.32B,88.32B,,7.909B,9.294B,2.203B,7.539B,,,,-340.00M,11.53B,,,Restated
2006-12,,16.01B,,16.01B,422.00M,,422.00M,,21.55B,1.05B,,,6.461B,37.79B,287.00M,37.51B,26.65B,81.44B,103.21B,,200.00M,5.129B,7.266B,12.60B,,12.60B,,,,,13.38B,10.40B,10.40B,62.15B,,,72.54B,91.78B,,10.00M,9.28B,10.04B,7.576B,,,,-320.00M,11.43B,,,
2006-09,,18.82B,,18.82B,406.00M,,406.00M,,24.37B,1.009B,,,4.673B,33.96B,339.00M,33.62B,25.28B,81.96B,106.64B,,201.00M,4.14B,6.673B,11.01B,,11.01B,,1.121B,1.121B,1.121B,13.18B,8.434B,8.434B,54.95B,,,63.39B,96.17B,,7.874B,7.82B,2.015B,7.169B,,,,-73.00M,10.47B,,,
2006-06,,14.99B,,14.99B,394.00M,,394.00M,,17.62B,963.00M,,,4.669B,35.65B,337.00M,35.31B,33.42B,91.05B,108.88B,,192.00M,3.864B,6.638B,10.69B,,10.69B,,1.026B,1.026B,1.026B,12.90B,8.207B,8.207B,56.74B,,,64.95B,98.82B,,7.867B,7.636B,1.965B,7.174B,,,,-238.00M,10.06B,,,
2006-03,,11.04B,,11.04B,378.00M,,378.00M,,16.20B,1.059B,,,4.744B,40.05B,419.00M,39.64B,34.42B,87.14B,103.61B,,171.00M,3.676B,7.556B,11.40B,,11.40B,,1.158B,1.158B,1.158B,13.46B,8.309B,8.309B,65.22B,,,73.53B,93.51B,,7.857B,7.347B,1.904B,6.811B,,,,-196.00M,10.10B,,,
2005-12,,11.53B,,11.53B,363.00M,,363.00M,,14.31B,1.004B,,,4.321B,32.93B,326.00M,32.60B,33.15B,87.59B,102.12B,,163.00M,4.123B,8.623B,12.91B,,12.91B,,,,,13.74B,8.721B,8.721B,49.79B,,,58.51B,92.24B,,7.838B,7.089B,1.826B,6.736B,,,,-141.00M,9.876B,,,
2005-09,,10.55B,,10.55B,357.00M,,357.00M,,14.48B,1.04B,,,4.426B,42.14B,561.00M,41.58B,32.52B,87.11B,101.77B,,132.00M,4.552B,8.103B,12.79B,,12.79B,,1.27B,1.27B,1.27B,17.41B,7.529B,7.529B,61.08B,,,68.61B,92.16B,,7.866B,6.846B,1.865B,6.852B,,,,-117.00M,9.608B,,,
