,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-06,3.875B,3.875B,,1.551B,1.551B,48.00M,,1.599B,83.00M,916.00M,1.394B,286.00M,1.108B,,,-5.00M,48.00M,1.103B,1.103B,342.00M,2.031B,,1.04,,,1.04,1.04,,1.03,,,1.03,1.03,,1.010B,1.014B,0.24,,AOR,Restated
2018-03,3.901B,3.901B,,1.627B,1.627B,49.00M,,1.676B,22.00M,919.00M,1.444B,282.00M,1.162B,,,9.00M,36.00M,1.171B,1.171B,335.00M,1.906B,,1.11,,,1.11,1.11,,1.10,,,1.10,1.10,,1.017B,1.022B,0.24,,AOR,Restated
2017-12,3.467B,3.467B,,1.694B,1.694B,52.00M,,1.746B,-207.00M,851.00M,728.00M,-453.00M,1.181B,,,-6.00M,49.00M,1.175B,1.175B,430.00M,1.096B,,1.09,,,1.09,1.09,,1.08,,,1.08,1.08,,1.025B,1.030B,0.24,,AOR,Restated
2017-09,3.755B,3.755B,,1.534B,1.534B,52.00M,,1.586B,92.00M,839.00M,1.368B,348.00M,1.02B,,,-2.00M,35.00M,1.018B,1.018B,351.00M,1.68B,,0.94,,,0.94,0.94,,0.94,,,0.94,0.94,,1.035B,1.041B,0.24,,AOR,Restated
2017-06,3.685B,3.685B,,1.495B,1.495B,53.00M,,1.548B,132.00M,826.00M,1.308B,332.00M,976.00M,,,-1.00M,49.00M,975.00M,975.00M,346.00M,1.534B,,0.88,,,0.88,0.88,,0.88,,,0.88,0.88,,1.036B,1.042B,0.19,,AOR,Restated
2017-03,3.583B,3.583B,,1.539B,1.539B,52.00M,,1.591B,120.00M,792.00M,1.206B,269.00M,937.00M,,,-15.00M,42.00M,922.00M,922.00M,347.00M,1.374B,,0.83,,,0.83,0.83,,0.83,,,0.83,0.83,,1.041B,1.048B,0.19,,AOR,Restated
2016-12,3.639B,3.639B,,1.466B,1.466B,60.00M,-7.00M,1.519B,85.00M,831.00M,1.152B,280.00M,872.00M,,,-2.00M,48.00M,870.00M,875.30M,384.00M,1.249B,,0.77,,,0.7750,0.77,,0.77,,,0.7750,0.77,,1.051B,1.057B,0.19,,AOR,Restated
2016-09,3.775B,3.775B,,1.519B,1.519B,61.00M,-18.00M,1.562B,133.00M,774.00M,1.317B,324.00M,993.00M,,,-6.00M,13.00M,987.00M,1.001B,370.00M,1.417B,,0.90,,,0.9128,0.90,,0.90,,,0.9127,0.90,,1.062B,1.068B,0.19,,AOR,Restated
2016-06,3.622B,3.622B,,1.477B,1.477B,59.00M,-7.00M,1.529B,105.00M,767.00M,1.165B,290.00M,875.00M,,,-2.00M,48.00M,873.00M,878.26M,384.00M,1.288B,,0.76,,,0.7649,0.76,,0.75,,,0.7549,0.75,,1.073B,1.078B,0.17,,AOR,Restated
2016-03,3.577B,3.577B,,1.516B,1.516B,57.00M,-17.00M,1.556B,119.00M,766.00M,1.091B,283.00M,808.00M,,,9.00M,13.00M,817.00M,829.60M,364.00M,1.208B,,0.73,,,0.7417,0.73,,0.73,,,0.7416,0.73,,1.080B,1.085B,0.17,,AOR,Restated
2015-12,3.634B,3.634B,,1.556B,1.556B,64.00M,-18.00M,1.602B,130.00M,760.00M,871.00M,175.00M,696.00M,,,-3.00M,56.00M,693.00M,707.38M,373.00M,945.00M,,0.58,,,0.5932,0.58,,0.57,,,0.5831,0.57,,1.089B,1.096B,0.17,,AOR,Restated
2015-09,3.695B,3.695B,,1.496B,1.496B,66.00M,-11.00M,1.551B,59.00M,759.00M,1.109B,282.00M,827.00M,,,6.00M,13.00M,833.00M,841.21M,376.00M,1.188B,,0.74,,,0.7475,0.74,,0.74,,,0.7474,0.74,,1.098B,1.106B,0.17,,AOR,Restated
2015-06,3.79B,3.79B,,1.506B,1.506B,65.00M,-59.00M,1.512B,160.00M,779.00M,1.165B,276.00M,889.00M,,,-36.00M,23.00M,853.00M,898.02M,368.00M,1.233B,,0.74,,,0.7804,0.74,,0.73,,,0.7701,0.73,,1.114B,1.122B,0.17,,AOR,Restated
2015-03,3.694B,3.694B,,1.546B,1.546B,66.00M,3.00M,1.615B,136.00M,728.00M,1.09B,280.00M,810.00M,,,-31.00M,13.00M,779.00M,776.77M,340.00M,1.169B,,0.67,,,0.6680,0.67,,0.67,,,0.6680,0.67,,1.119B,1.126B,0.17,,AOR,Restated
2014-12,3.587B,3.587B,,1.493B,1.493B,73.00M,-800.00M,766.00M,151.00M,712.00M,164.00M,-93.00M,257.00M,,,-24.00M,24.00M,233.00M,753.00M,316.00M,254.00M,,0.18,,,0.6440,0.18,,0.18,,,0.6406,0.18,,1.121B,1.129B,0.17,,AOR,Restated
2014-09,4.504B,4.504B,,1.538B,1.538B,75.00M,-220.00M,1.393B,949.00M,721.00M,1.662B,556.00M,1.106B,,,-23.00M,13.00M,1.083B,1.229B,330.00M,1.75B,,0.93,,,1.060,0.93,,0.93,,,1.059,0.93,,1.127B,1.135B,0.17,,AOR,Restated
2014-06,3.633B,3.633B,,1.507B,1.507B,75.00M,-122.00M,1.46B,206.00M,719.00M,811.00M,217.00M,594.00M,,,-17.00M,23.00M,577.00M,666.43M,313.00M,903.00M,,0.48,,,0.5589,0.48,,0.48,,,0.5585,0.48,,1.134B,1.140B,0.17,,AOR,Restated
2014-03,3.54B,3.54B,,1.575B,1.575B,75.00M,12.00M,1.662B,160.00M,728.00M,926.00M,232.00M,694.00M,,,-20.00M,13.00M,674.00M,665.01M,333.00M,1.01B,,0.57,,,0.5621,0.57,,0.57,,,0.5621,0.57,,1.139B,1.145B,0.15,,AOR,Restated
2013-12,3.501B,3.501B,,1.618B,1.618B,82.00M,-2.00M,1.698B,32.00M,761.00M,728.00M,172.00M,556.00M,,,-17.00M,26.00M,539.00M,540.53M,338.00M,813.00M,,0.44,,,0.4413,0.44,,0.44,,,0.4413,0.44,,1.143B,1.148B,0.15,,AOR,Restated
2013-09,3.675B,3.675B,,1.579B,1.579B,81.00M,-16.00M,1.644B,205.00M,772.00M,1.002B,19.00M,983.00M,,,-8.00M,13.00M,975.00M,990.70M,345.00M,1.085B,,0.82,,,0.8337,0.82,,0.82,,,0.8336,0.82,,1.149B,1.153B,0.15,,AOR,Restated
2013-06,3.914B,3.914B,,1.599B,1.599B,93.00M,-13.00M,1.679B,382.00M,757.00M,1.222B,339.00M,883.00M,,,-40.00M,12.00M,843.00M,852.39M,373.00M,1.301B,,0.71,,,0.7182,0.71,,0.71,,,0.7181,0.71,,1.153B,1.156B,0.15,,AOR,Restated
2013-03,3.523B,3.523B,,1.54B,1.54B,86.00M,-39.00M,1.587B,186.00M,719.00M,825.00M,1.062B,-237.00M,,,-16.00M,13.00M,-253.00M,-227.65M,333.00M,921.00M,,-0.23,,,-0.2081,-0.23,,-0.23,,,-0.2081,-0.23,,1.159B,1.159B,0.13,,AOR,Restated
2012-12,3.509B,3.509B,,1.545B,1.545B,96.00M,-46.00M,1.595B,208.00M,725.00M,853.00M,207.00M,646.00M,,,-11.00M,13.00M,635.00M,669.84M,335.00M,971.00M,,0.53,,,0.5600,0.53,,0.53,,,0.5599,0.53,,1.161B,1.164B,0.13,,AOR,Restated
2012-09,3.566B,3.566B,,1.496B,1.496B,95.00M,-26.00M,1.565B,193.00M,749.00M,975.00M,225.00M,750.00M,,,-25.00M,5.00M,725.00M,744.99M,313.00M,1.103B,,0.61,,,0.6271,0.61,,0.61,,,0.6271,0.61,,1.170B,1.172B,0.13,,AOR,Restated
2012-06,3.514B,3.514B,,1.486B,1.486B,97.00M,-378.00M,1.205B,155.00M,734.00M,589.00M,93.00M,496.00M,,,-30.00M,,466.00M,784.28M,299.00M,730.00M,,0.39,,,0.6594,0.39,,0.39,,,0.6590,0.39,,1.181B,1.183B,0.13,,AOR,Restated
2012-03,3.545B,3.545B,,1.509B,1.509B,96.00M,-109.00M,1.496B,222.00M,765.00M,885.00M,254.00M,631.00M,,,-12.00M,,619.00M,696.72M,299.00M,1.032B,,0.52,,,0.5851,0.52,,0.52,,,0.5850,0.52,,1.194B,1.196B,0.13,,AOR,Restated
2011-12,3.124B,3.124B,,1.287B,967.00M,106.00M,-176.00M,897.00M,652.00M,780.00M,689.00M,211.00M,478.00M,,,27.00M,,505.00M,627.10M,219.00M,834.00M,,0.42,,,0.5213,0.42,,0.3877,,,0.4886,0.3877,,1.205B,1.210B,0.13,,AOR,Restated
2011-09,3.694B,3.694B,100.00M,1.57B,1.67B,106.00M,-92.00M,1.684B,-2.00M,775.00M,945.00M,281.00M,664.00M,,,-13.00M,,651.00M,715.64M,191.00M,1.098B,,0.53,0.00,,0.5832,0.53,,0.53,0.00,,0.5832,0.53,,1.214B,1.214B,0.13,,AOR,Restated
2011-06,3.85B,3.85B,109.00M,1.584B,1.693B,108.00M,-63.00M,1.738B,193.00M,731.00M,1.034B,277.00M,757.00M,,,-22.00M,,735.00M,781.12M,183.00M,1.19B,,0.59,0.00,,0.6275,0.59,,0.59,0.00,,0.6274,0.59,,1.230B,1.234B,0.13,,AOR,Restated
2011-03,3.646B,3.646B,111.00M,1.546B,1.657B,108.00M,-11.00M,1.754B,72.00M,698.00M,949.00M,279.00M,670.00M,,,-45.00M,,625.00M,632.77M,183.00M,1.099B,,0.50,0.00,,0.5063,0.50,,0.50,0.00,,0.5063,0.50,,1.234B,1.238B,0.09,,AOR,Restated
2010-12,3.751B,3.751B,104.00M,1.534B,1.638B,115.00M,-64.00M,1.689B,1.00M,720.00M,970.00M,265.00M,705.00M,-11.00M,,-15.00M,,679.00M,736.52M,216.00M,1.142B,,0.55,0.00,,0.5877,0.55,,0.55,0.00,,0.5876,0.55,,1.233B,1.236B,0.09,,AOR,Restated
2010-09,3.423B,3.423B,94.00M,1.452B,1.546B,111.00M,-71.00M,1.586B,6.00M,718.00M,834.00M,220.00M,614.00M,-3.00M,,11.00M,5.00M,622.00M,677.27M,156.00M,975.00M,,0.51,0.00,,0.5532,0.51,,0.51,0.00,,0.5531,0.51,,1.211B,1.213B,0.09,,AOR,
2010-06,3.24B,3.24B,90.00M,1.325B,1.415B,98.00M,1.00M,1.514B,13.00M,722.00M,1.006B,304.00M,702.00M,-10.00M,,-34.00M,,658.00M,667.30M,144.00M,1.146B,,0.55,-0.01,,0.5494,0.54,,0.55,-0.01,,0.5494,0.54,,1.205B,1.209B,0.09,,AOR,Restated
2010-03,3.359B,3.359B,89.00M,1.366B,1.455B,97.00M,-33.00M,1.519B,72.00M,765.00M,884.00M,258.00M,626.00M,-42.00M,,-25.00M,,559.00M,624.37M,113.00M,1.002B,,0.50,-0.04,,0.5194,0.46,,0.49,-0.04,,0.5094,0.46,,1.203B,1.206B,0.09,,AOR,Restated
2009-12,3.301B,3.301B,91.00M,1.319B,1.41B,107.00M,-1.145B,372.00M,241.00M,724.00M,672.00M,-41.00M,713.00M,-119.00M,,-1.00M,0.00,593.00M,1.456B,191.00M,802.00M,,0.61,-0.10,,1.230,0.51,,0.61,-0.10,,1.230,0.51,,1.201B,1.201B,0.09,,AOR,Restated
2009-09,-1.507B,-1.507B,97.00M,1.252B,1.349B,104.00M,-49.00M,1.404B,-4.833B,716.00M,-3.965B,-1.527B,-2.438B,-19.00M,,-1.00M,,-2.458B,-2.409B,193.00M,-3.852B,,-2.04,-0.02,,-2.015,-2.06,,-2.04,-0.02,,-2.015,-2.06,,1.197B,1.197B,0.09,,AOR,Restated
2009-06,2.957B,2.957B,106.00M,1.39B,1.496B,108.00M,-65.00M,1.539B,-256.00M,700.00M,513.00M,12.00M,501.00M,-91.00M,,2.00M,236.00M,412.00M,566.48M,176.00M,658.00M,,0.23,-0.08,,0.2842,0.15,,0.23,-0.08,,0.2840,0.15,,1.171B,1.174B,0.09,,AOR,Restated
2009-03,2.911B,2.911B,107.00M,1.406B,1.513B,107.00M,-78.00M,1.542B,-295.00M,775.00M,572.00M,161.00M,411.00M,-41.00M,,-1.00M,47.00M,369.00M,466.05M,151.00M,776.00M,,0.31,-0.04,,0.3589,0.28,,0.31,-0.04,,0.3589,0.28,,1.146B,1.147B,0.24,,AOR,Restated
2008-12,2.864B,2.864B,123.00M,763.00M,886.00M,113.00M,-2.18B,-1.181B,-1.034B,1.047B,-49.00M,-137.00M,88.00M,-22.00M,,-5.00M,,61.00M,1.50B,187.00M,429.00M,,0.04,-0.02,,1.278,0.02,,0.04,-0.02,,1.274,0.02,,1.145B,1.148B,0.24,,,Restated
2008-09,3.607B,3.607B,133.00M,1.499B,1.632B,118.00M,-111.00M,1.639B,-162.00M,681.00M,265.00M,-42.00M,307.00M,0.00,,-4.00M,,303.00M,375.15M,221.00M,896.00M,,0.26,0.00,,0.3231,0.26,,0.26,0.00,,0.3229,0.26,,1.143B,1.148B,0.24,,,Restated
2008-06,3.275B,3.275B,,1.662B,1.662B,123.00M,-149.00M,1.636B,-152.00M,388.00M,621.00M,312.00M,309.00M,6.00M,,-6.00M,,309.00M,399.85M,239.00M,1.298B,,0.26,0.00,,0.3453,0.27,,0.26,0.00,,0.3447,0.27,,1.135B,1.143B,0.24,,,Restated
2008-03,3.747B,3.747B,130.00M,1.604B,1.734B,122.00M,-126.00M,1.73B,-73.00M,767.00M,1.119B,361.00M,758.00M,-3.00M,,-9.00M,,746.00M,834.35M,231.00M,2.008B,,0.65,0.00,,0.7252,0.65,,0.65,0.00,,0.7246,0.65,,1.134B,1.144B,0.24,,AOR,Restated
2007-12,3.797B,3.797B,,1.368B,1.368B,,-124.00M,1.244B,-192.00M,752.00M,1.028B,328.00M,700.00M,0.00,,,,520.00M,784.44M,376.00M,2.066B,,0.61,0.00,,0.6837,0.42,,0.61,0.00,,0.6834,0.42,,1.145B,1.151B,0.24,,,
2007-09,3.60B,3.60B,,1.28B,1.28B,,-218.00M,1.062B,-9.00M,669.00M,894.00M,252.00M,642.00M,-2.00M,,,,640.00M,798.55M,224.00M,2.003B,,0.57,0.00,,0.7091,0.57,,0.56,0.00,,0.6972,0.56,,1.125B,1.141B,0.24,,,
2007-06,2.032B,2.032B,,752.00M,752.00M,,-47.00M,705.00M,-2.00M,452.00M,658.00M,210.00M,448.00M,-3.00M,,,,445.00M,480.00M,99.00M,1.368B,,0.63,0.00,,0.6751,0.63,,0.62,0.00,,0.6643,0.62,,709.78M,722.66M,0.2333,,,
2007-03,1.902B,1.902B,4.00M,787.00M,791.00M,28.00M,-110.00M,709.00M,38.00M,427.00M,645.00M,208.00M,437.00M,-3.00M,0.00,,,434.00M,511.53M,127.00M,1.239B,,0.61,0.00,0.00,0.7149,0.61,,0.61,-0.01,0.00,0.7135,0.60,,710.15M,719.98M,0.233,,,Restated
2006-12,1.875B,1.875B,,736.00M,736.00M,,-17.00M,719.00M,,451.00M,622.00M,195.00M,427.00M,1.362B,,,,1.789B,438.67M,148.00M,1.228B,,0.60,1.68,,0.6165,2.28,,0.59,1.66,,0.6063,2.25,,708.96M,716.88M,0.233,,,
2006-09,1.614B,1.614B,,644.00M,644.00M,,-89.00M,555.00M,1.00M,351.00M,422.00M,124.00M,298.00M,54.00M,,,,352.00M,360.85M,127.00M,1.031B,,0.42,0.08,,0.5080,0.49,,0.41,0.07,,0.4969,0.49,,713.95M,723.27M,0.233,,,
2006-06,1.724B,1.724B,,656.00M,656.00M,,,656.00M,23.00M,358.00M,591.00M,200.00M,391.00M,57.00M,,,,448.00M,391.00M,102.00M,1.143B,,0.52,0.07,,0.52,0.59,,0.52,0.07,,0.52,0.59,,756.00M,765.00M,0.223,,,
2006-03,1.604B,1.604B,,604.00M,604.00M,,,604.00M,-4.00M,339.00M,535.00M,175.00M,360.00M,62.00M,,,,422.00M,337.12M,117.00M,1.009B,,0.47,0.08,,0.4400,0.55,,0.47,0.08,,0.4404,0.55,,763.85M,773.63M,0.223,,,
2005-12,1.547B,1.547B,,589.00M,589.00M,,,589.00M,18.00M,344.00M,500.00M,161.00M,339.00M,66.00M,,,,405.00M,339.00M,156.00M,929.00M,,0.44,0.09,,0.44,0.53,,0.44,0.08,,0.44,0.52,,767.37M,776.57M,0.223,,,
2005-09,1.531B,1.531B,,585.00M,585.00M,,,585.00M,15.00M,346.00M,490.00M,157.00M,333.00M,56.00M,,,,389.00M,333.00M,89.00M,837.00M,,0.44,0.07,,0.44,0.51,,0.44,0.07,,0.44,0.51,,761.00M,769.00M,0.223,,,
2005-06,1.523B,1.523B,,581.00M,581.00M,,,581.00M,23.00M,329.00M,505.00M,162.00M,343.00M,55.00M,,,,398.00M,343.00M,103.00M,810.00M,,0.45,0.07,,0.45,0.52,,0.45,0.07,,0.45,0.52,,765.00M,772.00M,0.212,,,
2005-03,1.633B,1.633B,,618.00M,618.00M,,,618.00M,12.00M,455.00M,566.00M,187.00M,379.00M,,,,,379.00M,379.00M,178.00M,837.00M,,0.49,0.00,,0.49,0.49,,0.49,0.00,,0.49,0.49,,771.00M,779.00M,0.212,,,
2004-12,942.00M,942.00M,,386.00M,386.00M,,,386.00M,19.00M,39.00M,295.00M,131.00M,164.00M,,,,,351.00M,164.00M,113.00M,471.00M,,0.22,0.24,,0.22,0.46,,0.21,0.24,,0.21,0.45,,764.21M,779.51M,0.212,,,
2004-09,1.527B,1.527B,,564.00M,564.00M,,,564.00M,14.00M,428.00M,528.00M,174.00M,354.00M,,,,,354.00M,354.00M,133.00M,729.00M,,0.46,0.00,,0.46,0.46,,0.46,0.00,,0.46,0.46,,772.00M,778.00M,0.212,,,
2004-06,1.587B,1.587B,,570.00M,570.00M,,,570.00M,12.00M,421.00M,565.00M,194.00M,371.00M,,,,,371.00M,371.00M,115.00M,745.00M,,0.48,0.00,,0.48,0.48,,0.48,0.00,,0.48,0.48,,772.00M,779.00M,0.212,,,
2004-03,1.498B,1.498B,,574.00M,574.00M,,,574.00M,33.00M,268.00M,473.00M,109.00M,364.00M,,,,,364.00M,364.00M,119.00M,646.00M,,0.47,0.00,,0.47,0.47,,0.47,0.00,,0.47,0.47,,771.00M,778.00M,0.201,,,
2003-12,1.521B,1.521B,,548.00M,548.00M,,,548.00M,9.00M,419.00M,469.00M,162.00M,307.00M,,,,,307.00M,307.00M,123.00M,635.00M,,0.40,0.00,,0.40,0.40,,0.39,0.00,,0.39,0.39,,770.00M,777.00M,0.201,,,
2003-09,1.47B,1.47B,,533.00M,533.00M,,,533.00M,9.00M,407.00M,391.00M,131.00M,260.00M,,,,,260.00M,260.00M,113.00M,559.00M,,0.34,0.00,,0.34,0.34,,0.34,0.00,,0.34,0.34,,766.00M,774.00M,0.201,,,
2003-06,1.394B,1.394B,,498.00M,498.00M,,-25.00M,473.00M,9.00M,398.00M,451.00M,156.00M,295.00M,,,,,295.00M,311.35M,105.00M,648.00M,,0.39,0.00,,0.4118,0.39,,0.39,0.00,,0.4116,0.39,,751.00M,757.00M,0.201,,,
2003-03,1.23B,1.23B,,423.00M,423.00M,,,423.00M,7.00M,386.00M,451.00M,156.00M,295.00M,,,,,295.00M,295.00M,89.00M,641.00M,,0.41,0.00,,0.41,0.41,,0.41,0.00,,0.41,0.41,,722.00M,726.00M,0.201,,,
2002-12,1.246B,1.246B,,379.00M,379.00M,,,379.00M,13.00M,412.00M,156.00M,56.00M,100.00M,,,,,100.00M,100.00M,85.00M,376.00M,,-0.12,0.26,,-0.12,0.14,,-0.12,0.26,,-0.12,0.14,,737.88M,737.88M,0.201,,,
2002-09,1.054B,1.054B,,397.00M,397.00M,,,397.00M,-188.00M,418.00M,123.00M,44.00M,79.00M,,,,,79.00M,79.00M,56.00M,354.00M,,0.11,0.00,,0.11,0.11,,0.11,0.00,,0.11,0.11,,721.00M,727.00M,0.201,,,
2002-06,1.278B,1.278B,,418.00M,418.00M,,,418.00M,25.00M,423.00M,547.00M,186.00M,361.00M,,,,,361.00M,361.00M,39.00M,799.00M,,0.50,0.00,,0.50,0.50,,0.50,0.00,,0.50,0.50,,722.00M,729.00M,0.201,,,
2002-03,1.222B,1.222B,,384.00M,384.00M,,,384.00M,31.00M,412.00M,546.00M,184.00M,362.00M,,,,,362.00M,362.00M,52.00M,796.00M,,0.50,0.00,,0.50,0.50,,0.50,0.00,,0.50,0.50,,722.00M,730.00M,0.201,,,
2001-12,1.419B,1.419B,,383.00M,383.00M,,,383.00M,41.00M,438.00M,500.00M,169.00M,331.00M,,,,,331.00M,331.00M,82.00M,803.00M,,0.46,0.00,,0.46,0.46,,0.45,0.00,,0.45,0.45,,731.00M,738.00M,0.191,,,
2001-09,1.217B,1.217B,,419.00M,419.00M,,,419.00M,22.00M,387.00M,356.00M,113.00M,243.00M,,,,,243.00M,243.00M,75.00M,891.00M,,0.33,0.00,,0.33,0.33,,0.33,0.00,,0.33,0.33,,731.00M,741.00M,0.191,,,
2001-06,1.295B,1.295B,,393.00M,393.00M,,,393.00M,46.00M,430.00M,601.00M,216.00M,385.00M,,,,,385.00M,385.00M,63.00M,1.096B,,0.53,0.00,,0.53,0.53,,0.52,0.00,,0.52,0.52,,731.00M,742.00M,0.191,,,
2001-03,1.313B,1.313B,,394.00M,394.00M,,,394.00M,45.00M,455.00M,602.00M,218.00M,384.00M,,,-28.00M,,384.00M,384.00M,64.00M,1.18B,,0.53,0.00,,0.53,0.53,,0.52,0.00,,0.52,0.52,,732.00M,743.00M,0.191,,,
2000-12,,,,,,,,,,,,,372.00M,,,,,372.00M,372.00M,63.00M,,,0.51,0.00,,0.51,0.51,,0.50,0.00,,0.50,0.50,,733.00M,748.00M,0.191,,,
2000-09,,,,,,,,,,,,,363.00M,,,,,363.00M,363.00M,62.00M,,,0.50,0.00,,0.50,0.50,,0.49,0.00,,0.49,0.49,,734.00M,747.00M,0.17,,,
2000-06,1.243B,1.243B,,366.00M,366.00M,,,366.00M,45.00M,463.00M,562.00M,206.00M,356.00M,,,-28.00M,,356.00M,356.00M,61.00M,1.206B,,0.49,0.00,,0.49,0.49,,0.48,0.00,,0.48,0.48,,733.00M,745.00M,0.17,,,
2000-03,1.184B,1.184B,,359.00M,359.00M,,,359.00M,40.00M,447.00M,534.00M,196.00M,338.00M,,,-28.00M,,338.00M,338.00M,61.00M,1.12B,,0.46,0.00,,0.46,0.46,,0.46,0.00,,0.46,0.46,,732.00M,741.00M,0.17,,,
1999-12,,,,,,,,,,,,,328.00M,,,,,328.00M,328.00M,59.00M,,,0.44,0.00,,0.44,0.44,,0.43,0.00,,0.43,0.43,,736.00M,753.00M,0.16,,,
1999-09,,,,,,,,,,,,,773.00M,,,,,773.00M,773.00M,50.00M,,,1.04,0.00,,1.04,1.04,,1.02,0.00,,1.02,1.02,,741.00M,754.00M,0.14,,,
1999-06,1.067B,1.067B,,311.00M,311.00M,,,311.00M,50.00M,416.00M,511.00M,188.00M,323.00M,,,-28.00M,,323.00M,323.00M,57.00M,934.00M,,0.42,0.00,,0.42,0.42,,0.42,0.00,,0.42,0.42,,761.00M,773.00M,0.14,,,
1999-03,1.052B,1.052B,,312.00M,312.00M,,,312.00M,50.00M,427.00M,500.00M,184.00M,316.00M,,,-28.00M,,316.00M,316.00M,49.00M,930.00M,,0.41,0.00,,0.41,0.41,,0.41,0.00,,0.41,0.41,,766.00M,779.00M,0.14,,,
