,NetIncome,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2017-03,922.00M,-10.00M,-5.00M,-15.00M,347.00M,347.00M,130.00M,,,-1.852B,,-751.00M,-2.603B,,-1.224B,,-286.00M,,,0.00,-389.00M,490.00M,-2.777B,,1.947B,2.776B,4.723B,7.00M,-879.00M,-872.00M,,,,-201.00M,-42.00M,-243.00M,145.00M,320.00M,4.032B,,8.204B,31.00M,36.00M,8.271B,,7.00M,2.243B,-296.00M,-879.00M,100.00M,211.00M,,AOR,Restated
2016-12,870.00M,-10.00M,-91.00M,-101.00M,384.00M,384.00M,156.00M,,29.00M,3.523B,,-158.00M,3.365B,,4.71B,,-330.00M,0.00,0.00,-4.00M,1.562B,-222.00M,29.23B,,747.00M,-202.00M,545.00M,7.00M,-848.00M,-841.00M,0.00,,0.00,-202.00M,-48.00M,-250.00M,309.00M,-212.00M,-34.87B,,4.957B,-936.00M,-97.00M,8.204B,,7.00M,1.247B,-500.00M,-848.00M,413.00M,35.00M,,AOR,Restated
2016-09,987.00M,-24.00M,-4.00M,-28.00M,370.00M,370.00M,17.00M,,343.00M,-1.341B,,-234.00M,-1.575B,,95.00M,,-146.00M,65.00M,65.00M,1.00M,-2.228B,-394.00M,-4.638B,,989.00M,-124.00M,865.00M,7.00M,-464.00M,-457.00M,990.00M,,990.00M,-206.00M,-13.00M,-219.00M,23.00M,-2.00M,3.528B,,5.809B,-1.015B,163.00M,4.957B,,997.00M,1.992B,-1.003B,-464.00M,374.00M,130.00M,,AOR,Restated
2016-06,873.00M,-21.00M,-3.00M,-24.00M,384.00M,384.00M,-289.00M,,52.00M,-1.609B,,290.00M,-1.319B,,-332.00M,,-201.00M,,,-38.00M,791.00M,343.00M,5.616B,,1.743B,300.00M,2.043B,7.00M,-509.00M,-502.00M,,,,-184.00M,-48.00M,-232.00M,64.00M,-810.00M,-3.219B,,3.928B,2.065B,-184.00M,5.809B,,7.00M,1.993B,-250.00M,-509.00M,140.00M,71.00M,,AOR,Restated
2016-03,817.00M,-20.00M,-10.00M,-30.00M,364.00M,364.00M,-10.00M,,57.00M,-1.038B,,1.624B,586.00M,,1.794B,,-148.00M,,,,2.016B,-188.00M,20.08B,,-203.00M,251.00M,48.00M,6.00M,-577.00M,-571.00M,,,,-186.00M,-13.00M,-199.00M,42.00M,67.00M,-24.49B,,6.537B,-2.613B,4.00M,3.928B,,6.00M,997.00M,-1.20B,-577.00M,83.00M,170.00M,,AOR,Restated
2015-12,693.00M,-20.00M,-29.00M,-49.00M,373.00M,373.00M,226.00M,,,42.00M,,-925.00M,-883.00M,,142.00M,,-174.00M,-16.00M,-16.00M,0.00,209.00M,2.276B,-19.54B,,2.00M,217.00M,219.00M,6.00M,-431.00M,-425.00M,0.00,,0.00,-186.00M,-56.00M,-242.00M,63.00M,-488.00M,17.70B,,8.234B,-1.697B,0.00,6.537B,,6.00M,796.00M,-794.00M,-431.00M,269.00M,10.00M,,AOR,Restated
2015-09,833.00M,-23.00M,-16.00M,-39.00M,376.00M,376.00M,-166.00M,,,130.00M,,216.00M,346.00M,,1.351B,,-115.00M,3.00M,3.00M,17.00M,2.503B,863.00M,17.80B,,922.00M,-217.00M,705.00M,7.00M,-690.00M,-683.00M,0.00,,0.00,-191.00M,-13.00M,-204.00M,57.00M,203.00M,-19.34B,,8.353B,-191.00M,72.00M,8.234B,,7.00M,1.398B,-476.00M,-690.00M,98.00M,126.00M,,AOR,Restated
2015-06,853.00M,-19.00M,-12.00M,-31.00M,368.00M,368.00M,94.00M,,,1.415B,,12.00M,1.427B,,2.705B,,-150.00M,13.00M,13.00M,0.00,2.476B,-909.00M,-8.105B,,21.00M,-6.00M,15.00M,7.00M,-834.00M,-827.00M,990.00M,,990.00M,-191.00M,-23.00M,-214.00M,125.00M,138.00M,6.593B,,7.167B,1.193B,-7.00M,8.353B,,997.00M,799.00M,-778.00M,-834.00M,110.00M,25.00M,,AOR,Restated
2015-03,779.00M,-21.00M,-13.00M,-34.00M,340.00M,340.00M,-107.00M,,,-1.334B,,283.00M,-1.051B,,-71.00M,,-162.00M,,,-9.00M,-7.345B,1.353B,-9.945B,,-12.00M,6.00M,-6.00M,6.00M,-400.00M,-394.00M,,,,-192.00M,-13.00M,-205.00M,81.00M,854.00M,10.24B,,6.97B,220.00M,-23.00M,7.167B,,6.00M,1.993B,-2.005B,-400.00M,538.00M,134.00M,,AOR,Restated
2014-12,233.00M,-26.00M,-35.00M,-61.00M,316.00M,316.00M,-343.00M,,,-442.00M,,1.482B,1.04B,,1.186B,,-196.00M,0.00,0.00,-3.00M,-4.138B,1.344B,-1.016B,,-1.455B,-140.00M,-1.595B,6.00M,-432.00M,-426.00M,0.00,,0.00,-194.00M,-24.00M,-218.00M,94.00M,976.00M,418.00M,,6.41B,588.00M,-28.00M,6.97B,,6.00M,0.00,-1.455B,-432.00M,849.00M,53.00M,,AOR,Restated
2014-09,1.083B,-22.00M,-12.00M,-34.00M,330.00M,330.00M,-409.00M,,,-165.00M,,127.00M,-38.00M,,913.00M,,-215.00M,585.00M,585.00M,0.00,-12.32B,3.534B,15.66B,,1.395B,-644.00M,751.00M,7.00M,-431.00M,-424.00M,0.00,,0.00,-196.00M,-13.00M,-209.00M,140.00M,2.928B,-16.22B,,6.173B,348.00M,-111.00M,6.41B,,7.00M,1.995B,-600.00M,-431.00M,246.00M,122.00M,,AOR,Restated
2014-06,577.00M,-16.00M,-13.00M,-29.00M,313.00M,313.00M,-49.00M,,,1.842B,,798.00M,2.64B,,3.44B,,-179.00M,0.00,0.00,40.00M,-3.842B,85.00M,-33.72B,,-371.00M,250.00M,-121.00M,7.00M,-431.00M,-424.00M,0.00,,0.00,-197.00M,-23.00M,-220.00M,85.00M,518.00M,30.35B,,6.092B,73.00M,8.00M,6.173B,,7.00M,1.246B,-1.617B,-431.00M,194.00M,72.00M,,AOR,Restated
2014-03,674.00M,-27.00M,-12.00M,-39.00M,333.00M,333.00M,-52.00M,,,-2.182B,,229.00M,-1.953B,,-1.055B,,-201.00M,,,-1.00M,-1.048B,-76.00M,7.401B,,741.00M,573.00M,1.314B,6.00M,-375.00M,-369.00M,,,,-173.00M,-13.00M,-186.00M,51.00M,1.096B,-6.717B,,6.46B,-371.00M,3.00M,6.092B,,6.00M,1.445B,-704.00M,-375.00M,74.00M,97.00M,,AOR,Restated
2013-12,539.00M,-44.00M,-38.00M,-82.00M,338.00M,338.00M,212.00M,,,480.00M,,-2.08B,-1.60B,,-587.00M,,-237.00M,0.00,0.00,-2.00M,-445.00M,-333.00M,-4.663B,,958.00M,-1.755B,-797.00M,6.00M,-321.00M,-315.00M,0.00,,0.00,-175.00M,-26.00M,-201.00M,92.00M,468.00M,4.377B,,7.304B,-873.00M,29.00M,6.46B,,6.00M,1.196B,-238.00M,-321.00M,95.00M,61.00M,,AOR,Restated
2013-09,975.00M,-20.00M,-8.00M,-28.00M,345.00M,345.00M,346.00M,,,-562.00M,,-174.00M,-736.00M,,904.00M,,-114.00M,0.00,0.00,72.00M,7.08B,1.086B,-7.905B,,162.00M,1.74B,1.902B,7.00M,-122.00M,-115.00M,0.00,,0.00,-175.00M,-13.00M,-188.00M,35.00M,-35.00M,7.313B,,6.94B,312.00M,52.00M,7.304B,,7.00M,1.199B,-1.037B,-122.00M,130.00M,108.00M,,AOR,Restated
2013-06,843.00M,-38.00M,-7.00M,-45.00M,373.00M,373.00M,-185.00M,,,254.00M,,564.00M,818.00M,,1.785B,,-132.00M,,,-1.00M,-3.226B,-864.00M,-7.893B,,-812.00M,33.00M,-779.00M,6.00M,-331.00M,-325.00M,494.00M,,494.00M,-177.00M,-12.00M,-189.00M,25.00M,218.00M,8.686B,,4.44B,2.578B,-78.00M,6.94B,,500.00M,0.00,-812.00M,-331.00M,111.00M,83.00M,,AOR,Restated
2013-03,-253.00M,-45.00M,-15.00M,-60.00M,333.00M,333.00M,153.00M,,,-637.00M,,-2.256B,-2.893B,,-2.744B,,-126.00M,,,-4.00M,-4.367B,-449.00M,7.261B,,877.00M,-260.00M,617.00M,6.00M,-252.00M,-246.00M,,,,-153.00M,-13.00M,-166.00M,111.00M,-1.166B,-4.755B,,4.727B,-238.00M,-49.00M,4.44B,,6.00M,1.497B,-620.00M,-252.00M,64.00M,95.00M,,AOR,Restated
2012-12,627.00M,-53.00M,-410.00M,-463.00M,335.00M,335.00M,331.00M,,,-647.00M,,234.00M,-413.00M,,356.00M,,-199.00M,1.00M,1.00M,-22.00M,3.061B,-721.00M,-19.01B,,-681.00M,-940.00M,-1.621B,6.00M,-172.00M,-166.00M,32.00M,,32.00M,-154.00M,-13.00M,-167.00M,31.00M,2.397B,18.38B,,4.991B,-274.00M,10.00M,4.727B,,38.00M,1.497B,-2.178B,-172.00M,125.00M,156.00M,,AOR,Restated
2012-09,725.00M,-22.00M,-10.00M,-32.00M,313.00M,313.00M,198.00M,,,1.167B,,-1.467B,-300.00M,,899.00M,,-177.00M,0.00,0.00,-3.00M,-9.237B,179.00M,-4.582B,,-294.00M,-286.00M,-580.00M,6.00M,-289.00M,-283.00M,536.00M,,536.00M,-155.00M,-5.00M,-160.00M,3.00M,367.00M,4.125B,,4.522B,442.00M,27.00M,4.991B,,542.00M,0.00,-294.00M,-289.00M,124.00M,113.00M,,AOR,Restated
2012-06,466.00M,-51.00M,-10.00M,-61.00M,299.00M,299.00M,-316.00M,,,246.00M,,-355.00M,-109.00M,,260.00M,,-147.00M,0.00,0.00,-4.00M,-5.401B,489.00M,-30.16B,,-1.714B,620.00M,-1.094B,7.00M,-289.00M,-282.00M,500.00M,,500.00M,-156.00M,0.00,-156.00M,3.00M,363.00M,30.13B,,4.333B,233.00M,-44.00M,4.522B,,507.00M,0.00,-1.714B,-289.00M,252.00M,186.00M,,AOR,Restated
2012-03,619.00M,-44.00M,-11.00M,-55.00M,299.00M,299.00M,31.00M,,,-961.00M,,176.00M,-785.00M,,114.00M,,-129.00M,5.00M,5.00M,0.00,-5.45B,-356.00M,24.37B,,491.00M,934.00M,1.425B,6.00M,-398.00M,-392.00M,,,,-158.00M,0.00,-158.00M,3.00M,301.00M,-24.35B,,4.175B,129.00M,29.00M,4.333B,,6.00M,1.264B,-773.00M,-398.00M,208.00M,106.00M,,AOR,Restated
2011-12,505.00M,1.00M,-71.00M,-70.00M,219.00M,219.00M,-162.00M,,,-533.00M,896.00M,2.016B,2.379B,,2.894B,,-62.00M,0.00,580.00M,-27.00M,-5.623B,-747.00M,-11.05B,,-1.803B,-34.00M,-1.837B,7.00M,-71.00M,-64.00M,,,0.00,-158.00M,0.00,-158.00M,1.00M,-436.00M,5.64B,,6.691B,-2.512B,-4.00M,4.175B,,7.00M,-614.00M,-1.223B,-71.00M,293.00M,195.00M,,AOR,Restated
2011-09,651.00M,8.00M,,8.00M,191.00M,191.00M,-77.00M,,,942.00M,-896.00M,-2.477B,-2.431B,,-1.68B,,-213.00M,8.00M,-205.00M,-17.00M,-8.878B,176.00M,-17.11B,,4.992B,34.00M,5.026B,6.00M,-469.00M,-463.00M,,,0.00,-161.00M,0.00,-161.00M,1.00M,1.585B,20.22B,,5.56B,1.437B,-306.00M,6.691B,,6.00M,4.431B,595.00M,-469.00M,98.00M,44.00M,,AOR,Restated
2011-06,735.00M,-59.00M,6.00M,-53.00M,183.00M,183.00M,212.00M,,,-1.234B,,728.00M,-506.00M,,571.00M,,-203.00M,0.00,-203.00M,-8.00M,-1.72B,-599.00M,-35.54B,,456.00M,,456.00M,7.00M,-273.00M,-266.00M,,,0.00,-162.00M,,-162.00M,5.00M,964.00M,36.47B,,4.058B,1.497B,5.00M,5.56B,,7.00M,23.00M,433.00M,-273.00M,114.00M,245.00M,,AOR,Restated
2011-03,625.00M,-15.00M,-6.00M,-21.00M,183.00M,183.00M,39.00M,,,292.00M,,-692.00M,-400.00M,,426.00M,,-164.00M,5.00M,-159.00M,-12.00M,1.374B,-64.00M,-16.48B,,-1.063B,,-1.063B,5.00M,-60.00M,-55.00M,,,,-112.00M,,-112.00M,11.00M,576.00M,16.43B,,3.675B,376.00M,7.00M,4.058B,,5.00M,1.202B,-2.265B,-60.00M,135.00M,102.00M,,AOR,Restated
2010-12,690.00M,-11.00M,-46.00M,-57.00M,216.00M,216.00M,402.00M,,,-552.00M,,484.00M,-68.00M,,1.161B,,-110.00M,8.00M,128.00M,0.00,-4.958B,-556.00M,1.314B,,-1.231B,1.986B,755.00M,5.00M,-2.00M,3.00M,,,,-112.00M,,-112.00M,6.00M,-932.00M,-2.502B,,3.693B,-27.00M,9.00M,3.675B,,5.00M,-644.00M,-587.00M,-2.00M,286.00M,274.00M,,AOR,Restated
2010-09,625.00M,-15.00M,0.00,-15.00M,156.00M,156.00M,836.00M,,,305.00M,,1.146B,1.451B,,3.031B,,-38.00M,0.00,-38.00M,-2.678B,-4.352B,542.00M,-1.906B,,-1.328B,,-1.328B,682.00M,-15.00M,667.00M,,,,-109.00M,,-109.00M,2.00M,692.00M,-1.053B,,3.569B,72.00M,52.00M,3.693B,,682.00M,-1.065B,-263.00M,-15.00M,167.00M,88.00M,,AOR,
2010-06,668.00M,-20.00M,0.00,-20.00M,144.00M,144.00M,-36.00M,,,-572.00M,,-1.536B,-2.108B,-1.00M,-1.333B,,-38.00M,5.00M,-33.00M,-115.00M,1.588B,-454.00M,-14.86B,,1.704B,6.00M,1.71B,5.00M,-4.00M,1.00M,,,,-110.00M,,-110.00M,10.00M,-128.00M,16.47B,,3.307B,281.00M,-19.00M,3.569B,,5.00M,2.212B,-508.00M,-4.00M,192.00M,167.00M,,AOR,Restated
2010-03,601.00M,-11.00M,0.00,-11.00M,113.00M,113.00M,-3.00M,,,704.00M,,-249.00M,455.00M,1.00M,1.191B,,-44.00M,1.00M,-43.00M,133.00M,1.12B,-123.00M,512.00M,,-412.00M,-6.00M,-418.00M,5.00M,-20.00M,-15.00M,,,,-109.00M,,-109.00M,13.00M,-393.00M,-2.126B,,3.732B,-423.00M,-2.00M,3.307B,,5.00M,844.00M,-1.256B,-20.00M,54.00M,62.00M,,AOR,Restated
2009-12,712.00M,-18.00M,,-18.00M,191.00M,191.00M,-44.00M,,,498.00M,,-195.00M,303.00M,46.00M,1.255B,,-36.00M,3.00M,-33.00M,-353.00M,-946.00M,-593.00M,-1.712B,,-1.406B,-1.335B,-2.741B,5.00M,-2.00M,3.00M,,3.00B,0.00,-109.00M,1.00M,-108.00M,-132.00M,1.587B,836.00M,,3.358B,379.00M,-13.00M,3.732B,,5.00M,66.00M,-2.807B,2.998B,152.00M,204.00M,,AOR,Restated
2009-09,-2.439B,4.825B,,4.825B,193.00M,193.00M,-1.474B,,,1.179B,,-241.00M,938.00M,23.00M,2.213B,,-95.00M,1.00M,-94.00M,0.00,-3.992B,-510.00M,-6.044B,,-1.097B,1.857B,760.00M,6.00M,-3.00M,3.00M,,0.00,0.00,-112.00M,0.00,-112.00M,8.00M,-136.00M,3.386B,,3.783B,-445.00M,20.00M,3.358B,,6.00M,1.05B,-290.00M,-3.00M,104.00M,71.00M,,AOR,Restated
2009-06,503.00M,264.00M,,264.00M,176.00M,176.00M,-353.00M,,-50.00M,279.00M,,-55.00M,224.00M,-87.00M,738.00M,,-61.00M,2.00M,-59.00M,-5.00M,-12.34B,-686.00M,2.292B,,3.147B,70.00M,3.217B,1.351B,-10.00M,1.341B,,-3.00B,-3.00B,-101.00M,-36.00M,-137.00M,1.00M,,-2.964B,,3.68B,66.00M,45.00M,3.783B,,1.351B,1.49B,1.727B,-3.01B,1.205B,176.00M,,AOR,Restated
2009-03,410.00M,316.00M,,316.00M,151.00M,151.00M,-99.00M,,50.00M,-764.00M,,-539.00M,-1.303B,-9.00M,-425.00M,,-126.00M,,-126.00M,-6.00M,1.746B,802.00M,28.55B,,-4.893B,-718.00M,-5.611B,9.00M,-13.00M,-4.00M,,,,-277.00M,-38.00M,-315.00M,3.00M,,-29.23B,,4.889B,-1.104B,-105.00M,3.68B,,9.00M,744.00M,-6.355B,-13.00M,931.00M,231.00M,,AOR,Restated
2008-12,83.00M,1.286B,,1.286B,187.00M,187.00M,-830.00M,,,337.00M,,252.00M,589.00M,12.00M,1.381B,,-93.00M,6.00M,-87.00M,277.00M,-2.276B,-271.00M,-18.37B,,-7.58B,-3.298B,-10.88B,9.00M,-1.00M,8.00M,,,2.779B,-277.00M,-22.00M,-299.00M,223.00M,1.855B,-23.22B,,45.34B,-40.21B,-241.00M,4.889B,,9.00M,-10.72B,-161.00M,-1.00M,281.00M,497.00M,,,Restated
2008-09,288.00M,158.00M,,158.00M,221.00M,221.00M,-298.00M,,15.00M,-32.00M,,-720.00M,-752.00M,27.00M,-318.00M,,-75.00M,10.00M,-65.00M,0.00,321.00M,119.00M,-27.33B,,12.13B,1.393B,13.52B,-313.00M,8.00M,-305.00M,,,0.00,-277.00M,0.00,-277.00M,25.00M,-157.00M,67.28B,,5.99B,39.63B,-281.00M,45.34B,,-313.00M,14.63B,-1.107B,8.00M,1.072B,590.00M,,,Restated
2008-06,308.00M,148.00M,,148.00M,239.00M,239.00M,-120.00M,,-12.00M,537.00M,,-160.00M,377.00M,-5.00M,946.00M,,-72.00M,25.00M,-47.00M,-146.00M,109.00M,-239.00M,-5.134B,,-1.645B,1.863B,218.00M,335.00M,-20.00M,315.00M,,,0.00,-277.00M,0.00,-277.00M,76.00M,6.00M,2.494B,,7.689B,-1.694B,-5.00M,5.99B,,335.00M,1.384B,-1.166B,-20.00M,761.00M,705.00M,,,Restated
2008-03,752.00M,67.00M,,67.00M,231.00M,231.00M,-9.00M,0.00,-3.00M,-329.00M,,180.00M,-149.00M,,905.00M,,-63.00M,,-63.00M,-332.00M,1.378B,220.00M,-5.14B,,1.255B,-3.899B,-2.644B,9.00M,-295.00M,-286.00M,,,,-276.00M,0.00,-276.00M,79.00M,6.00M,5.20B,,6.635B,965.00M,89.00M,7.689B,,9.00M,2.945B,-5.589B,-295.00M,341.00M,890.00M,,AOR,Restated
2007-12,520.00M,180.00M,,180.00M,376.00M,376.00M,-353.00M,,2.134B,,,,-3.134B,,-277.00M,,-80.00M,,-80.00M,-574.00M,-3.681B,2.044B,-2.291B,,852.00M,-557.00M,295.00M,,,49.00M,,,,,,-274.00M,,-275.00M,3.181B,,6.01B,613.00M,12.00M,6.635B,,,1.931B,-1.079B,,,,,,
2007-09,640.00M,-6.00M,,-6.00M,224.00M,224.00M,87.00M,,0.00,,,,2.258B,,3.203B,,-115.00M,,-115.00M,2.073B,7.737B,-5.78B,3.915B,,195.00M,-392.00M,-197.00M,,,133.00M,,,,,,-274.00M,,-726.00M,-4.263B,,3.265B,2.855B,-110.00M,6.01B,,,1.292B,-1.097B,,,,,,
