,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2001-01,4.579B,4.579B,2.836B,1.743B,0.00,,,,,1.126B,1.293B,449.68M,,,,,,427.96M,156.20M,271.75M,,271.75M,271.75M,616.71M,167.03M,449.68M,,0.32,0.00,0.32,0.32,,0.31,0.00,0.31,0.31,,850.52M,874.80M,0.0222,,,
2000-10,3.415B,3.415B,2.005B,1.410B,943.26M,,,,,,1.096B,313.94M,,,,,,293.46M,107.11M,186.35M,,186.35M,186.35M,466.84M,152.90M,313.94M,,0.22,0.00,0.22,0.22,,0.21,0.00,0.21,0.21,,848.75M,871.57M,0.0222,,,
2000-07,2.948B,2.948B,1.699B,1.249B,809.29M,,,,,,947.71M,301.36M,,,,,,289.64M,105.72M,183.92M,,183.92M,183.92M,439.78M,138.42M,301.36M,,0.22,0.00,0.22,0.22,,0.21,0.00,0.21,0.21,,849.64M,880.12M,0.0222,,,
2000-04,2.732B,2.732B,1.470B,1.262B,750.30M,,,,,,882.32M,379.78M,,,,,,370.83M,135.35M,235.48M,,235.48M,235.48M,511.80M,132.02M,379.78M,,0.28,0.00,0.28,0.28,,0.27,0.00,0.27,0.27,,850.33M,888.02M,0.0222,,,
2000-01,3.859B,3.859B,2.123B,1.736B,-2.106B,,,,,,1.071B,665.10M,,,,,,651.80M,237.90M,413.90M,,413.90M,413.90M,798.80M,133.70M,665.10M,,0.49,0.00,0.49,0.49,,0.47,0.00,0.47,0.47,,837.62M,869.74M,0.0222,,,
1999-10,3.045B,3.045B,1.634B,1.411B,797.60M,,,,,,904.20M,506.70M,,,,,,496.10M,181.10M,315.00M,,315.00M,315.00M,613.30M,106.60M,506.70M,,0.37,0.00,0.37,0.37,,0.35,0.00,0.35,0.35,,851.35M,900.00M,0.0222,,,
1999-07,2.453B,2.453B,1.343B,1.111B,693.30M,,,,,,794.20M,316.50M,,,,,,313.30M,117.50M,195.80M,,195.80M,195.80M,417.40M,100.90M,316.50M,,0.23,0.00,0.23,0.23,,0.22,0.00,0.22,0.22,,851.30M,890.00M,0.0222,,,
1999-04,2.278B,2.278B,1.239B,1.038B,615.10M,,,,,,710.10M,328.40M,,,,,,323.80M,121.40M,202.40M,,202.40M,202.40M,423.40M,95.00M,328.40M,,0.24,0.00,0.24,0.24,,0.22,0.00,0.22,0.22,,854.46M,900.04M,0.0222,,,
1999-01,3.030B,3.030B,1.686B,1.344B,744.40M,,,,,,834.40M,509.50M,,,,,,502.10M,188.30M,313.80M,,313.80M,313.80M,599.50M,90.00M,509.50M,,0.36,0.00,0.36,0.36,,0.35,0.00,0.35,0.35,,874.80M,888.28M,0.0222,,,
1998-10,2.400B,2.400B,1.292B,1.108B,636.70M,,,,,,720.60M,387.20M,,,,,,380.30M,142.60M,237.70M,,237.70M,237.70M,471.10M,83.90M,387.20M,,0.28,0.00,0.28,0.28,,0.27,0.00,0.27,0.27,,848.93M,880.37M,0.0222,,,
1998-07,1.905B,1.905B,1.058B,847.50M,550.10M,,,,,,627.80M,219.70M,,,,,,219.00M,82.10M,136.90M,,136.90M,136.90M,297.40M,77.70M,219.70M,,0.15,0.00,0.15,0.15,,0.15,0.00,0.15,0.15,,912.67M,912.67M,0.0222,,,
1998-04,1.720B,1.720B,956.20M,763.50M,472.10M,1.10M,,,,,546.90M,216.60M,,,,1.10M,,217.70M,81.60M,136.10M,,136.10M,135.41M,291.40M,74.80M,216.60M,,0.15,0.00,0.1492,0.15,,0.15,0.00,0.1492,0.15,,907.33M,907.33M,0.0222,,,
1998-01,2.166B,2.166B,1.230B,936.00M,516.60M,0.90M,,,,,591.70M,344.30M,,,,0.90M,,344.90M,129.30M,215.60M,,215.60M,215.04M,419.40M,75.10M,344.30M,,0.25,0.00,0.2493,0.25,,0.2378,0.00,0.2371,0.2378,,837.33M,883.28M,0.0222,,,
1997-10,1.766B,1.766B,982.30M,783.60M,454.00M,,,,,,516.40M,267.20M,,,,,,263.20M,98.70M,164.50M,,164.50M,164.50M,335.30M,68.10M,267.20M,,0.19,0.00,0.19,0.19,,0.18,0.00,0.18,0.18,,865.79M,913.89M,0.0222,,,
1997-07,1.345B,1.345B,813.30M,531.90M,352.50M,1.50M,,,,,422.30M,109.60M,,,,1.50M,,111.20M,41.70M,69.50M,,69.50M,68.56M,179.40M,69.80M,109.60M,,0.07,0.00,0.0691,0.07,,0.07,0.00,0.0691,0.07,,992.86M,992.86M,0.0222,,,
1997-04,1.231B,1.231B,732.50M,498.70M,311.90M,4.70M,,,,,368.60M,130.10M,,,,4.70M,,134.90M,50.60M,84.30M,,84.30M,81.36M,186.80M,56.70M,130.10M,,0.09,0.00,0.0869,0.09,,0.09,0.00,0.0869,0.09,,936.67M,936.67M,0.0222,,,
1997-01,1.668B,1.668B,969.70M,698.20M,363.70M,6.70M,,,,,421.90M,276.30M,,,,6.70M,,283.00M,111.80M,171.20M,,171.20M,167.15M,334.50M,58.20M,276.30M,,0.19,0.00,0.1854,0.19,,0.18,0.00,0.1757,0.18,,880.14M,940.33M,0.0222,,,
1996-10,1.383B,1.383B,787.10M,595.90M,328.40M,5.20M,,,,,379.10M,216.80M,,,,5.20M,,222.00M,87.70M,134.30M,,134.30M,131.15M,267.50M,50.70M,216.80M,,0.14,0.00,0.1367,0.14,,0.14,0.00,0.1367,0.14,,959.29M,959.29M,0.0222,,,
1996-07,1.120B,1.120B,666.80M,453.50M,295.40M,4.00M,,,,,348.80M,104.70M,,,,4.00M,,108.80M,43.00M,65.80M,,65.80M,63.38M,158.10M,53.40M,104.70M,,0.07,0.00,0.0674,0.07,,0.07,0.00,0.0674,0.07,,940.00M,940.00M,0.0222,,,
1996-04,1.113B,1.113B,646.70M,466.50M,282.60M,3.60M,,,,,335.20M,131.30M,,,,3.60M,,134.90M,53.30M,81.60M,,81.60M,79.42M,183.90M,52.60M,131.30M,,0.09,0.00,0.0876,0.09,,0.09,0.00,0.0876,0.09,,906.67M,906.67M,0.0222,,,
1996-01,1.522B,1.522B,895.90M,626.30M,324.80M,4.50M,,,,,375.10M,251.20M,,,,4.50M,,255.60M,101.00M,154.60M,,154.60M,151.88M,301.50M,50.30M,251.20M,,0.17,0.00,0.1669,0.17,,0.16,0.00,0.1572,0.16,,877.74M,978.46M,0.0178,,,
1995-10,1.156B,1.156B,646.30M,509.60M,266.90M,2.10M,,,,,318.50M,191.10M,,,,2.10M,,193.20M,76.30M,116.90M,,116.90M,115.63M,242.70M,51.60M,191.10M,,0.12,0.00,0.1187,0.12,,0.12,0.00,0.1187,0.12,,974.17M,974.17M,0.0178,,,
1995-07,868.50M,868.50M,559.20M,309.30M,210.00M,4.50M,,,,,260.10M,49.20M,,,,4.50M,,53.60M,21.20M,32.40M,,32.40M,29.68M,99.30M,50.10M,49.20M,,0.03,0.00,0.0275,0.03,,0.03,0.00,0.0275,0.03,,1.08B,1.08B,0.0178,,,
1995-04,848.70M,848.70M,522.70M,326.00M,202.60M,4.80M,,,,,248.00M,78.00M,,,,4.80M,,82.80M,32.70M,50.10M,,50.10M,47.20M,123.40M,45.40M,78.00M,,0.05,0.00,0.0471,0.05,,0.05,0.00,0.0471,0.05,,1.002B,1.002B,0.0178,,,
1995-01,1.210B,1.210B,726.70M,483.10M,247.70M,5.50M,,,,,292.30M,190.80M,,,,5.50M,,196.30M,77.60M,118.70M,,118.70M,115.37M,235.40M,44.60M,190.80M,,0.13,0.00,0.1263,0.13,,0.12,0.00,0.1167,0.12,,888.49M,1.003B,0.0178,,,
1994-10,988.30M,988.30M,566.80M,421.50M,227.70M,3.70M,,,,,270.40M,151.10M,,,,3.70M,,154.70M,61.10M,93.60M,,93.60M,91.36M,193.80M,42.70M,151.10M,,0.09,0.00,0.0878,0.09,,0.09,0.00,0.0878,0.09,,1.04B,1.04B,0.0178,,,
1994-07,773.10M,773.10M,466.00M,307.10M,192.40M,0.40M,,,,,234.30M,72.80M,,,,0.40M,,73.40M,29.00M,44.40M,,44.40M,44.16M,114.70M,41.90M,72.80M,,0.05,0.00,0.0497,0.05,,0.05,0.00,0.0497,0.05,,888.00M,888.00M,0.0178,,,
1994-04,751.70M,751.70M,423.10M,328.60M,185.70M,1.10M,,,,,224.70M,103.90M,,,,1.10M,,104.90M,41.40M,63.50M,,63.50M,62.83M,142.90M,39.00M,103.90M,,0.07,0.00,0.0693,0.07,,0.07,0.00,0.0693,0.07,,907.14M,907.14M,0.0149,,,
1994-01,1.060B,1.060B,607.80M,452.50M,233.90M,,,,,,272.50M,180.00M,,,,,,180.70M,71.40M,109.30M,,109.30M,109.30M,218.60M,38.60M,180.00M,,0.12,0.00,0.12,0.12,,0.12,0.00,0.12,0.12,,846.15M,846.15M,0.0149,,,
1993-10,898.70M,898.70M,521.80M,376.90M,209.10M,,,,,,246.10M,130.80M,,,,,,130.40M,51.50M,78.90M,,78.90M,78.90M,167.80M,37.00M,130.80M,,0.08,0.00,0.08,0.08,,0.08,0.00,0.08,0.08,,986.25M,986.25M,0.0149,,,
1993-07,693.20M,693.20M,458.50M,234.70M,153.30M,,,,,,187.50M,47.20M,,,,,,46.80M,18.10M,28.70M,,28.70M,28.70M,81.40M,34.20M,47.20M,,0.03,0.00,0.03,0.03,,0.03,0.00,0.03,0.03,,956.67M,956.67M,0.0149,,,
1993-04,643.60M,643.60M,392.00M,251.60M,151.90M,,,,,,183.90M,67.70M,,,,,,66.90M,25.40M,41.50M,,41.50M,41.50M,99.70M,32.00M,67.70M,,0.05,0.00,0.05,0.05,,0.05,0.00,0.05,0.05,,830.00M,830.00M,0.0119,,,
1993-01,930.20M,930.20M,595.70M,334.50M,195.60M,,,,,,227.70M,106.80M,,,,,,105.90M,40.20M,65.70M,,65.70M,65.70M,138.90M,32.10M,106.80M,,0.08,0.00,0.08,0.08,,0.07,0.00,0.07,0.07,,764.35M,930.91M,0.0119,,,
1992-10,827.20M,827.20M,505.70M,321.50M,190.20M,,,,,,219.90M,101.60M,,,,,,100.00M,38.00M,62.00M,,62.00M,62.00M,131.30M,29.70M,101.60M,,0.07,0.00,0.07,0.07,,0.07,0.00,0.07,0.07,,885.71M,885.71M,0.0119,,,
1992-07,614.10M,614.10M,384.20M,229.90M,139.90M,,,,,,167.90M,62.00M,,,,,,60.80M,23.10M,37.70M,,37.70M,37.70M,90.00M,28.00M,62.00M,,0.04,0.00,0.04,0.04,,0.04,0.00,0.04,0.04,,942.50M,942.50M,0.0119,,,
1992-04,588.90M,588.90M,356.10M,232.80M,135.60M,,,,,,159.80M,73.00M,,,,,,73.00M,27.70M,45.30M,,45.30M,45.30M,97.20M,24.20M,73.00M,,0.05,0.00,0.05,0.05,,0.05,0.00,0.05,0.05,,906.00M,906.00M,0.0119,,,
1992-01,803.50M,803.50M,467.50M,336.00M,174.40M,,,,,,200.80M,135.20M,,,,,,135.50M,51.50M,84.00M,,84.00M,84.00M,161.60M,26.40M,135.20M,,0.10,0.00,0.10,0.10,,0.09,0.00,0.09,0.09,,760.40M,913.67M,0.0119,,,
1991-10,702.10M,702.10M,404.70M,297.40M,162.10M,,,,,,181.70M,115.70M,,,,,,114.20M,43.40M,70.80M,,70.80M,70.80M,135.30M,19.60M,115.70M,,0.07,0.00,0.07,0.07,,0.07,0.00,0.07,0.07,,1.011B,1.011B,0.0119,,,
1991-07,523.10M,523.10M,324.80M,198.30M,123.70M,,,,,,142.50M,55.80M,,,,,,54.10M,19.90M,34.20M,,34.20M,34.20M,74.60M,18.80M,55.80M,,0.03,0.00,0.03,0.03,,0.03,0.00,0.03,0.03,,1.14B,1.14B,0.0119,,,
1991-04,490.30M,490.30M,289.70M,200.60M,115.50M,,,,,,132.80M,67.80M,,,,,,67.10M,26.20M,40.90M,,40.90M,40.90M,85.10M,17.30M,67.80M,,0.05,0.00,0.05,0.05,,0.05,0.00,0.05,0.05,,818.00M,818.00M,0.0093,,,
1991-01,624.70M,624.70M,372.30M,252.40M,140.00M,,,,,,159.90M,92.50M,,,,,,92.60M,36.10M,56.50M,,56.50M,56.50M,112.40M,19.90M,92.50M,,0.07,0.00,0.07,0.07,,0.06,0.00,0.06,0.06,,679.17M,920.00M,0.0093,,,
1990-10,501.70M,501.70M,290.00M,211.70M,117.30M,,,,,,132.70M,79.00M,,,,,,78.20M,30.50M,47.70M,,47.70M,47.70M,94.40M,15.40M,79.00M,,0.05,0.00,0.05,0.05,,0.05,0.00,0.05,0.05,,954.00M,954.00M,0.0093,,,
1990-07,405.00M,405.00M,260.10M,144.90M,100.00M,,,,,,113.80M,31.10M,,,,,,30.90M,11.70M,19.20M,,19.20M,19.20M,44.90M,13.80M,31.10M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,960.00M,960.00M,0.0071,,,
1990-04,402.40M,402.40M,257.40M,145.00M,96.90M,,,,,,109.30M,35.70M,,,,,,35.30M,14.10M,21.20M,,21.20M,21.20M,48.10M,12.40M,35.70M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,1.06B,1.06B,0.0071,,,
1990-01,545.10M,545.10M,350.20M,194.90M,110.30M,,,,,,126.70M,68.20M,,,,,,57.00M,22.80M,34.20M,,34.20M,34.20M,84.60M,16.40M,68.20M,,0.04,0.00,0.04,0.04,,0.03,0.00,0.03,0.03,,831.95M,1.187B,0.0071,,,
1989-10,405.60M,405.60M,239.00M,166.60M,98.70M,,,,,,108.50M,58.10M,,,,,,57.00M,22.80M,34.20M,,34.20M,34.20M,68.00M,9.90M,58.10M,,0.04,0.00,0.04,0.04,,0.04,0.00,0.04,0.04,,855.00M,855.00M,0.0071,,,
1989-07,325.90M,325.90M,215.90M,110.00M,77.50M,,,,,,86.30M,23.70M,,,,,,23.10M,9.00M,14.10M,,14.10M,14.10M,32.50M,8.80M,23.70M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,950.65M,950.65M,0.0055,,,
1989-04,309.90M,309.90M,,,,,,,,,,309.90M,,,,,,,,15.10M,,15.10M,,309.90M,,309.90M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,950.94M,950.94M,0.0055,,,
1989-01,423.70M,423.70M,,,,,,,,,,-699.10M,,,,,,,,32.20M,,32.20M,,-699.10M,,-699.10M,,,,,,,,,,,,1.001B,1.001B,0.0055,,,
1988-10,322.80M,322.80M,,,,,,,,,,322.80M,,,,,,,,26.60M,,26.60M,,322.80M,,322.80M,,0.03,0.00,0.03,0.03,,0.03,0.00,0.03,0.03,,973.00M,973.00M,0.0047,,,
1988-07,264.30M,264.30M,,,,,,,,,,264.30M,,,,,,,,11.00M,,11.00M,,264.30M,,264.30M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,1.024B,1.024B,0.0047,,,
1988-04,241.30M,241.30M,,,,,,,,,,241.30M,,,,,,,,4.40M,,4.40M,,241.30M,,241.30M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,965.85M,965.85M,0.0047,,,
1988-01,359.60M,359.60M,,,,,,,,,,-573.80M,,,,,,,,21.70M,,21.70M,,-573.80M,,-573.80M,,,,,,,,,,,,967.04M,967.04M,0.0047,,,
1987-10,273.60M,273.60M,,,,,,,,,,273.60M,,,,,,,,18.60M,,18.60M,,273.60M,,273.60M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,961.86M,961.86M,0.0047,,,
1987-07,217.80M,217.80M,,,,,,,,,,217.80M,,,,,,,,13.10M,,13.10M,,217.80M,,217.80M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,961.86M,961.86M,0.0047,,,
1987-04,211.10M,211.10M,,,,,,,,,,211.10M,,,,,,,,16.20M,,16.20M,,211.10M,,211.10M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,952.24M,952.24M,0.0047,,,
1987-01,298.50M,298.50M,,,,,,,,,,-410.70M,,,,,,,,28.20M,,28.20M,,-410.70M,,-410.70M,,,,,,,,,,,,958.98M,958.98M,0.0047,,,
1986-10,224.80M,224.80M,,,,,,,,,,224.80M,,,,,,,,21.30M,,21.30M,,224.80M,,224.80M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,952.24M,952.24M,0.0026,,,
1986-07,164.80M,164.80M,,,,,,,,,,164.80M,,,,,,,,8.40M,,8.40M,,164.80M,,164.80M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,950.41M,950.41M,0.0026,,,
1986-04,160.00M,160.00M,,,,,,,,,,160.00M,,,,,,,,10.20M,,10.20M,,160.00M,,160.00M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,919.16M,919.16M,0.0017,,,
1986-01,223.50M,223.50M,,,,,,,,,,-352.50M,,,,,,,,22.00M,,22.00M,,-352.50M,,-352.50M,,,,,,,,,,,,946.55M,946.55M,0.0017,,,
1985-10,187.40M,187.40M,,,,,,,,,,187.40M,,,,,,,,13.10M,,13.10M,,187.40M,,187.40M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,911.12M,911.12M,,,,
1985-07,125.70M,125.70M,,,,,,,,,,125.70M,,,,,,,,0.40M,,0.40M,,125.70M,,125.70M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,911.12M,911.12M,,,,
1985-04,110.70M,110.70M,,,,,,,,,,110.70M,,,,,,,,-1.10M,,-1.10M,,110.70M,,110.70M,,-0.01,0.00,-0.01,-0.01,,-0.01,0.00,-0.01,-0.01,,907.89M,907.89M,,,,
1985-01,189.40M,189.40M,,,,,,,,,,-320.30M,,,,,,,,7.00M,,7.00M,,-320.30M,,-320.30M,,,,,,,,,,,,910.37M,910.37M,,,,
1984-10,141.40M,141.40M,,,,,,,,,,141.40M,,,,,,,,4.40M,,4.40M,,141.40M,,141.40M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,908.32M,908.32M,,,,
1984-07,105.40M,105.40M,,,,,,,,,,105.40M,,,,,,,,0.10M,,0.10M,,105.40M,,105.40M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,923.53M,923.53M,,,,
1984-04,98.00M,98.00M,,,,,,,,,,98.00M,,,,,,,,0.70M,,0.70M,,98.00M,,98.00M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,918.46M,918.46M,,,,
