,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2012-12,1.287B,1.287B,845.40M,441.50M,213.10M,,,27.60M,0.50M,-27.10M,,213.10M,228.40M,0.50M,27.60M,-27.10M,-1.10M,-27.10M,200.20M,61.70M,138.50M,-93.70M,,3.70M,48.50M,142.20M,283.20M,55.40M,227.80M,1.26,-0.83,,,1.26,0.43,1.25,-0.83,,,1.25,0.43,112.30M,112.90M,0.37
2012-09,1.262B,1.262B,848.30M,413.20M,198.20M,,,27.90M,0.50M,-27.40M,,198.20M,215.00M,0.50M,27.90M,-27.40M,,-27.40M,187.60M,59.30M,128.30M,-214.30M,,0.20M,-85.80M,128.50M,270.30M,54.80M,215.50M,1.15,-1.92,,,1.15,-0.77,1.141,-1.92,,,1.141,-0.77,111.90M,112.60M,0.37
2012-06,1.436B,1.436B,939.60M,496.60M,253.20M,,,27.30M,0.20M,-27.10M,,253.20M,243.40M,0.20M,27.30M,-27.10M,-0.20M,-27.10M,216.10M,80.00M,136.10M,-7.60M,,0.60M,129.10M,136.70M,309.70M,66.30M,243.40M,1.2,-0.06,,,1.2,1.14,1.2,-0.07,,,1.2,1.13,112.10M,112.70M,0.33
2012-03,1.369B,1.369B,879.80M,489.00M,242.00M,,,28.70M,1.20M,-27.50M,,242.00M,247.00M,1.20M,28.70M,-27.50M,8.10M,-27.50M,227.60M,73.20M,154.40M,-508.50M,,0.90M,-353.20M,155.30M,321.00M,64.70M,256.30M,1.38,-4.53,,,1.38,-3.15,1.376,-4.53,,,1.376,-3.15,112.30M,112.90M,0.33
2011-12,1.310B,1.310B,856.00M,454.20M,222.30M,,,29.10M,0.20M,-28.90M,,222.30M,231.90M,0.20M,29.10M,-28.90M,2.90M,-28.90M,205.90M,71.10M,134.80M,-2.50M,,0.80M,133.10M,135.60M,301.00M,66.00M,235.00M,1.19,-0.02,,,1.19,1.17,1.18,-0.02,,,1.18,1.16,112.40M,112.80M,0.28
2011-09,1.336B,1.336B,893.90M,442.20M,223.40M,,,28.10M,0.90M,-27.20M,,223.40M,218.80M,0.90M,28.10M,-27.20M,0.70M,-27.20M,192.30M,61.70M,130.60M,-9.50M,,0.50M,121.60M,131.10M,283.70M,63.30M,220.40M,1.09,-0.08,,,1.09,1.01,1.09,-0.08,,,1.09,1.01,118.80M,119.40M,0.28
2011-06,1.163B,1.163B,816.40M,346.60M,106.80M,,0.90M,24.00M,0.50M,-23.50M,,106.80M,239.80M,0.50M,24.00M,-23.50M,-0.30M,-23.50M,216.00M,78.70M,137.30M,-4.40M,,0.60M,133.50M,137.33M,303.50M,63.50M,240.00M,1.11,-0.05,,,1.105,1.06,1.1,-0.05,,,1.095,1.06,123.50M,124.50M,0.25
2011-03,1.413B,1.413B,896.60M,516.20M,281.00M,,-0.30M,27.10M,1.30M,-25.80M,,281.00M,235.20M,1.30M,27.10M,-25.80M,-0.30M,-25.80M,209.10M,67.50M,141.60M,-2.40M,,0.30M,139.50M,142.10M,288.50M,52.30M,236.20M,1.12,-0.02,,,1.122,1.1,1.11,-0.02,,,1.112,1.09,125.00M,126.00M,0.25
2010-12,1.438B,1.438B,940.50M,498.00M,255.20M,,-0.90M,20.40M,0.40M,-20.00M,,255.20M,242.80M,0.40M,20.40M,-20.00M,-0.90M,-20.00M,221.90M,70.80M,151.10M,,,0.00,151.10M,151.71M,291.70M,49.40M,242.30M,1.19,0.0,,,1.195,1.19,1.18,0.0,,,1.185,1.18,125.90M,126.80M,0.25
2010-09,1.405B,1.405B,881.10M,524.30M,255.20M,,-0.40M,17.80M,0.60M,-17.20M,,255.20M,269.10M,0.60M,17.80M,-17.20M,-0.40M,-17.20M,251.50M,87.60M,163.90M,,,0.00,163.90M,164.16M,316.10M,46.80M,269.30M,1.28,0.0,,,1.2819999999999998,1.28,1.27,0.0,,,1.272,1.27,126.80M,127.70M,0.25
2010-06,974.80M,974.80M,642.20M,332.60M,50.40M,,0.70M,17.60M,0.40M,-17.20M,,50.40M,282.20M,0.40M,17.60M,-17.20M,-0.90M,-17.20M,264.10M,93.30M,170.80M,,,0.00,151.40M,170.35M,326.40M,44.70M,281.70M,1.33,-0.15,,,1.3259999999999998,1.18,1.31,-0.15,,,1.306,1.17,126.60M,127.90M,0.22
2010-03,1.330B,1.330B,820.00M,509.50M,245.00M,,-0.50M,18.10M,0.40M,-17.70M,,245.00M,264.50M,0.40M,18.10M,-17.70M,-0.50M,-17.70M,246.30M,80.10M,166.20M,,,0.00,166.20M,166.54M,304.60M,40.20M,264.40M,1.27,0.0,,,1.273,1.27,1.26,0.0,,,1.263,1.26,128.80M,130.00M,0.22
2009-12,1.218B,1.218B,778.60M,439.10M,215.70M,,,18.20M,0.30M,-17.90M,,215.70M,223.40M,0.30M,18.20M,-17.90M,-0.30M,-17.90M,205.20M,65.70M,139.50M,,,,139.50M,139.50M,262.10M,38.70M,223.40M,1.07,,,,1.07,1.07,1.06,,,,1.06,1.06,129.80M,130.80M,0.22
2009-09,1.203B,1.203B,812.10M,390.90M,,,-0.20M,18.20M,0.40M,-17.80M,,212.10M,178.80M,0.40M,18.20M,-17.80M,-0.20M,-17.80M,160.80M,56.30M,104.50M,,,,104.50M,104.63M,221.10M,42.10M,179.00M,0.79,0.0,,,0.791,0.79,0.79,0.0,,,0.791,0.79,130.80M,131.40M,0.22
2009-06,1.294B,1.294B,889.70M,404.40M,,,-256.40M,14.00M,0.60M,-13.40M,,221.50M,182.90M,0.60M,14.00M,-13.40M,-256.40M,-13.40M,-86.90M,-3.40M,-83.50M,-80.30M,,7.40M,-156.40M,170.27M,-22.70M,50.20M,-72.90M,-0.62,-0.56,,,1.285,-1.18,-0.63,-0.56,,,1.256,-1.18,129.30M,130.60M,0.2
2009-03,1.205B,1.205B,813.30M,391.80M,,,6.60M,12.60M,0.70M,-11.90M,,188.40M,203.40M,0.70M,12.60M,-11.90M,6.60M,-11.90M,198.10M,62.20M,135.90M,-38.40M,,16.70M,114.20M,148.07M,252.50M,41.80M,210.70M,1.02,-0.16,,,0.9859,0.86,1.02,-0.16,,,0.986,0.86,132.70M,133.10M,0.2
2008-12,1.333B,1.333B,925.30M,407.90M,,,-0.70M,13.80M,0.90M,-12.90M,,191.80M,216.10M,0.90M,13.80M,-12.90M,-0.70M,-12.90M,202.50M,61.90M,140.60M,-317.00M,,137.80M,-38.60M,278.89M,259.50M,43.20M,216.30M,1.06,-1.35,,,1.064,-0.29,1.06,-1.35,,,1.064,-0.29,133.30M,133.30M,0.2
2008-09,1.173B,1.173B,791.90M,380.70M,,,-8.10M,12.40M,1.00M,-11.40M,,189.60M,191.10M,1.00M,12.40M,-11.40M,-8.10M,-11.40M,171.60M,52.20M,119.40M,-1.30M,,0.60M,118.70M,125.64M,226.50M,42.50M,184.00M,0.89,0.0,,,0.9321,0.89,0.89,-0.01,,,0.9318,0.88,134.00M,134.70M,0.2
2008-06,718.30M,718.30M,453.90M,264.40M,62.90M,,2.70M,10.30M,-0.30M,-10.60M,,62.90M,201.50M,-0.30M,10.30M,-10.60M,2.70M,-10.60M,193.60M,65.00M,128.60M,,,,121.70M,129.21M,250.30M,46.40M,203.90M,0.98,-0.07,,,0.9666,0.91,0.98,-0.07,,,0.9667,0.91,133.60M,135.30M,0.15
2008-03,1.330B,1.330B,933.90M,395.70M,236.40M,,2.80M,13.90M,1.90M,-12.00M,,236.40M,159.30M,1.90M,13.90M,-12.00M,2.80M,-12.00M,150.10M,38.90M,111.20M,,,-3.20M,108.00M,105.93M,205.60M,41.60M,164.00M,0.8,0.0,,,0.7846,0.8,0.78,0.0,,,0.7648,0.78,134.60M,136.20M,0.15
2007-12,1.318B,1.318B,908.20M,409.50M,230.30M,,4.30M,,,,,230.30M,179.20M,,,,4.20M,,171.20M,57.30M,114.30M,,,0.40M,114.30M,111.44M,221.50M,42.30M,179.20M,0.84,0.0,,,0.8189,0.84,0.83,0.0,,,0.8092,0.83,135.70M,137.60M,0.15
2007-09,1.230B,1.230B,849.60M,380.90M,216.90M,,1.70M,,,,,216.90M,164.00M,,,,1.70M,,152.60M,52.80M,100.20M,,,0.40M,100.20M,99.09M,205.90M,41.90M,164.00M,0.76,0.0,,,0.7516,0.76,0.73,0.0,,,0.7219,0.73,132.60M,137.90M,0.15
2007-06,1.208B,1.208B,827.40M,380.20M,238.40M,,-0.40M,,,,,238.40M,141.80M,,,,-0.30M,,134.50M,50.80M,87.60M,,,3.90M,87.60M,87.85M,187.90M,46.10M,141.80M,0.68,0.0,,,0.6819,0.68,0.64,0.0,,,0.6418,0.64,130.37M,135.13M,0.11
2007-03,1.072B,1.072B,719.10M,353.30M,241.50M,,166.20M,,,,,241.50M,111.80M,,,,166.20M,,272.10M,63.80M,214.90M,,,6.60M,214.90M,87.67M,146.10M,34.30M,111.80M,1.62,0.0,,,0.6634,1.62,1.52,0.0,,,0.6221,1.52,133.00M,141.70M,0.11
2006-12,1.016B,1.016B,683.70M,332.50M,181.40M,,-0.20M,,,,,181.40M,151.10M,,,,-0.20M,,143.60M,49.60M,94.00M,,,,94.00M,94.13M,178.60M,27.50M,151.10M,0.71,0.0,,,0.711,0.71,0.67,0.0,,,0.6709,0.67,132.90M,141.60M,0.11
2006-09,946.80M,946.80M,640.90M,305.90M,169.40M,,-18.50M,,,,,169.40M,136.50M,,,,-18.50M,,110.60M,26.70M,83.90M,,,,83.90M,97.93M,163.80M,27.30M,136.50M,0.63,0.0,,,0.7356,0.63,0.6,0.0,,,0.699,0.6,132.90M,141.70M,0.11
2006-06,992.40M,992.40M,664.50M,327.90M,192.00M,,-0.40M,,,,,192.00M,135.90M,,,,-0.40M,,128.90M,43.80M,85.10M,,,,85.10M,85.36M,164.70M,28.80M,135.90M,0.64,0.0,,,0.642,0.64,0.61,0.0,,,0.6119,0.61,133.20M,141.60M,0.08
2006-03,881.10M,881.10M,584.20M,296.90M,177.80M,,,,,,,177.80M,119.10M,,,,,,111.30M,38.80M,72.50M,,,,72.50M,72.50M,144.20M,25.10M,119.10M,0.54,0.0,,,0.54,0.54,0.52,0.0,,,0.52,0.52,133.20M,142.00M,0.08
2005-12,841.60M,841.60M,605.60M,236.00M,167.70M,,-0.20M,,,,,167.70M,68.30M,,,,-0.20M,,61.00M,31.00M,30.00M,,,,30.00M,30.12M,92.60M,24.30M,68.30M,0.23,0.0,,,0.2309,0.23,0.22,0.0,,,0.2208,0.22,132.90M,141.70M,0.08
2005-09,759.70M,759.70M,536.60M,223.10M,139.70M,,-0.50M,,,,,139.70M,83.40M,,,,-0.60M,,79.60M,29.30M,50.30M,,,,50.30M,50.62M,103.60M,20.20M,83.40M,0.38,0.0,,,0.3824,0.38,0.36,0.0,,,0.3622,0.36,132.50M,141.10M,0.08
2005-06,821.90M,821.90M,585.10M,236.80M,141.40M,,-0.10M,,,,,141.40M,95.40M,,,,-0.10M,,91.40M,30.20M,61.20M,,,,61.20M,61.27M,117.90M,22.50M,95.40M,0.46,0.0,,,0.4605,0.46,0.44,0.0,,,0.4405,0.44,134.01M,134.01M,0.06
2005-03,772.10M,772.10M,547.40M,224.70M,136.00M,,-1.00M,,,,,136.00M,88.70M,,,,-1.00M,,83.20M,27.40M,55.80M,,,,55.80M,56.47M,109.30M,20.60M,88.70M,0.42,0.0,,,0.425,0.42,0.4,0.0,,,0.4047,0.4,132.80M,141.40M,0.06
2004-12,737.20M,737.20M,540.20M,197.00M,124.20M,,-3.50M,,,,,124.20M,72.80M,,,,-3.50M,,64.90M,19.80M,45.10M,,,,45.10M,47.53M,97.60M,24.80M,72.80M,0.34,0.0,,,0.3583,0.34,0.33,0.0,,,0.3472,0.33,132.90M,141.70M,0.06
2004-09,669.40M,669.40M,504.10M,165.30M,101.00M,,-1.70M,,,,,101.00M,64.30M,,,,-1.70M,,58.90M,18.80M,40.10M,,,,40.10M,41.26M,79.00M,14.70M,64.30M,0.3,0.0,,,0.3087,0.3,0.29,0.0,,,0.2982,0.29,132.50M,140.80M,0.06
2004-06,722.80M,722.80M,541.50M,181.30M,124.80M,,-3.60M,,,,,124.80M,56.50M,,,,-3.60M,,48.70M,15.60M,33.10M,5.10M,,,38.20M,35.55M,76.20M,19.70M,56.50M,0.25,0.04,,,0.2683,0.29,0.24,0.04,,,0.2583,0.28,133.70M,133.70M,0.05
2004-03,654.00M,654.00M,492.70M,161.30M,103.60M,,-1.40M,,,,,103.60M,57.70M,,,,-1.40M,,52.00M,16.60M,35.40M,0.10M,,,35.50M,36.35M,71.00M,13.30M,57.70M,0.27,0.0,,,0.2772,0.27,0.26,0.0,,,0.2671,0.26,132.40M,134.20M,0.05
2003-12,593.90M,593.90M,440.40M,153.50M,101.00M,,-6.00M,,,,,101.00M,52.50M,,,,-6.00M,,41.70M,10.00M,31.70M,1.40M,,,33.10M,36.26M,66.20M,13.70M,52.50M,0.24,0.01,,,0.2744,0.25,0.23,0.01,,,0.2625,0.24,132.60M,140.20M,0.05
2003-09,547.90M,547.90M,413.70M,134.20M,91.60M,,,,,,,91.60M,42.60M,,,,,,37.60M,12.10M,25.50M,0.50M,,,26.00M,25.50M,56.00M,13.40M,42.60M,0.19,0.005,,,0.19,0.195,0.19,0.005,,,0.19,0.195,132.60M,139.80M,0.05
2003-06,547.60M,547.60M,414.30M,133.30M,110.80M,,1.60M,,,,,110.80M,22.50M,,,,1.60M,,19.10M,7.60M,11.50M,,,,0.70M,10.54M,38.10M,15.60M,22.50M,0.085,-0.08,,,0.0777,0.005,0.085,-0.08,,,0.0777,0.005,131.69M,131.69M,0.04
2003-03,538.90M,538.90M,404.90M,134.00M,97.60M,,2.80M,,,,,97.60M,36.40M,,,,2.80M,,34.20M,11.60M,22.60M,,,,22.60M,20.75M,51.00M,14.60M,36.40M,0.17,0.0,,,0.156,0.17,0.17,0.0,,,0.1561,0.17,132.40M,132.80M,0.04
2002-12,523.90M,523.90M,388.70M,135.20M,108.90M,,3.10M,,,,,108.90M,26.30M,,,,3.10M,,24.70M,8.40M,16.30M,,,,16.30M,14.25M,39.00M,12.70M,26.30M,0.125,0.0,,,0.1095,0.125,0.125,0.0,,,0.1096,0.125,132.40M,132.60M,0.04
2002-09,450.20M,450.20M,335.30M,114.90M,96.80M,,16.20M,,,,,96.80M,18.10M,,,,16.20M,,30.20M,10.30M,19.90M,,,,19.90M,9.225M,31.60M,13.50M,18.10M,0.15,0.0,,,0.0694,0.15,0.15,0.0,,,0.0699,0.15,132.40M,133.20M,0.04
