,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2017-09,159.00M,,,-34.00M,-34.00M,37.00M,28.00M,65.00M,65.00M,,,11.00M,-24.00M,-113.00M,-24.00M,-88.00M,,,143.00M,-82.00M,95.00M,-23.00M,,-23.00M,,,,,-23.00M,-35.00M,,-35.00M,,-75.00M,-75.00M,-69.00M,-69.00M,14.00M,-9.00M,-174.00M,484.00M,-102.00M,6.00M,388.00M,,0.00,-35.00M,-75.00M
2017-06,121.00M,37.00M,,-32.00M,5.00M,171.00M,-99.00M,72.00M,72.00M,,0.00,9.00M,-454.00M,166.00M,-6.00M,42.00M,,,39.00M,241.00M,80.00M,-40.00M,,-40.00M,,639.00M,,,599.00M,-186.00M,,-186.00M,,-250.00M,-250.00M,-63.00M,-63.00M,4.00M,-1.00M,-496.00M,302.00M,183.00M,-1.00M,484.00M,,-150.00M,-36.00M,-250.00M
2017-03,85.00M,-23.00M,,-24.00M,-47.00M,39.00M,33.00M,72.00M,72.00M,,240.00M,11.00M,66.00M,-111.00M,24.00M,-53.00M,,,-93.00M,-233.00M,194.00M,-30.00M,,-30.00M,,375.00M,,,345.00M,-198.00M,,-198.00M,,-360.00M,-360.00M,-65.00M,-65.00M,23.00M,-1.00M,-601.00M,361.00M,-62.00M,3.00M,302.00M,,50.00M,-248.00M,-360.00M
2016-12,177.00M,,,-25.00M,-25.00M,48.00M,33.00M,81.00M,81.00M,,,11.00M,-127.00M,164.00M,-52.00M,43.00M,,,-20.00M,135.00M,252.00M,-28.00M,,-28.00M,,0.00,,,-28.00M,-85.00M,,-85.00M,,0.00,0.00,-66.00M,-66.00M,12.00M,-1.00M,-140.00M,284.00M,84.00M,-7.00M,361.00M,,177.00M,-262.00M,0.00
2016-09,160.00M,,,-24.00M,-24.00M,53.00M,33.00M,86.00M,86.00M,,,11.00M,-95.00M,-39.00M,2.00M,-90.00M,,,32.00M,-95.00M,43.00M,-21.00M,,-21.00M,,-25.00M,,,-46.00M,-30.00M,,-30.00M,,-100.00M,-100.00M,-68.00M,-68.00M,15.00M,-18.00M,-201.00M,487.00M,-204.00M,1.00M,284.00M,,8.00M,-38.00M,-100.00M
2016-06,160.00M,-10.00M,,-253.00M,-263.00M,66.00M,33.00M,99.00M,99.00M,,0.00,10.00M,42.00M,90.00M,-6.00M,165.00M,,,120.00M,369.00M,417.00M,-68.00M,-2.00M,-70.00M,,181.00M,0.00,,111.00M,-277.00M,,-277.00M,,,,-63.00M,-63.00M,8.00M,-1.00M,-333.00M,302.00M,195.00M,-10.00M,487.00M,,-57.00M,-220.00M,
2016-03,168.00M,-1.00M,,-5.00M,-6.00M,49.00M,33.00M,82.00M,82.00M,,0.00,10.00M,-49.00M,-118.00M,69.00M,-47.00M,,,11.00M,-85.00M,120.00M,-35.00M,2.00M,-33.00M,,-11.00M,-19.00M,,-63.00M,-206.00M,,-206.00M,,0.00,0.00,-62.00M,-62.00M,3.00M,0.00,-265.00M,511.00M,-208.00M,-1.00M,302.00M,,-91.00M,-115.00M,0.00
2015-12,-152.00M,21.00M,,-107.00M,-86.00M,53.00M,33.00M,86.00M,86.00M,,367.00M,9.00M,-11.00M,138.00M,17.00M,30.00M,,,-75.00M,110.00M,323.00M,-25.00M,,-25.00M,,0.00,,,-25.00M,-54.00M,,-54.00M,,0.00,0.00,-63.00M,-63.00M,14.00M,0.00,-103.00M,320.00M,195.00M,-4.00M,511.00M,,168.00M,-222.00M,0.00
2015-09,148.00M,,,-6.00M,-6.00M,61.00M,33.00M,94.00M,94.00M,,,10.00M,-45.00M,82.00M,-108.00M,-158.00M,,,47.00M,-137.00M,64.00M,-24.00M,,-24.00M,,,,,-24.00M,-132.00M,,-132.00M,,,,-64.00M,-64.00M,19.00M,-15.00M,-192.00M,481.00M,-152.00M,-9.00M,320.00M,,41.00M,-173.00M,
2015-06,-56.00M,-9.00M,,-1.00M,108.00M,69.00M,11.00M,80.00M,80.00M,,46.00M,11.00M,55.00M,70.00M,37.00M,179.00M,,,-71.00M,215.00M,459.00M,-46.00M,,-46.00M,,-3.143B,0.00,,-3.189B,2.761B,,2.761B,,0.00,0.00,-49.00M,-49.00M,13.00M,-16.00M,2.709B,488.00M,-21.00M,14.00M,481.00M,,3.669B,-908.00M,0.00
2015-03,126.00M,0.00,,0.00,0.00,60.00M,0.00,60.00M,60.00M,,0.00,9.00M,1.00M,-71.00M,14.00M,9.00M,,,25.00M,-23.00M,173.00M,-23.00M,0.00,-23.00M,,0.00,0.00,,-23.00M,-48.00M,,-48.00M,,0.00,0.00,-50.00M,-50.00M,6.00M,-25.00M,-117.00M,470.00M,33.00M,-15.00M,488.00M,,-19.00M,-29.00M,0.00
2014-12,139.00M,0.00,,0.00,0.00,53.00M,0.00,53.00M,53.00M,1.00M,0.00,9.00M,-2.00M,22.00M,-1.00M,-18.00M,,,-61.00M,-58.00M,142.00M,-38.00M,0.00,-38.00M,,0.00,,,-38.00M,22.00M,,22.00M,,-50.00M,-50.00M,-49.00M,-49.00M,10.00M,-2.00M,-69.00M,449.00M,35.00M,-14.00M,470.00M,,30.00M,-8.00M,-50.00M
2014-09,125.00M,,,0.00,0.00,51.00M,0.00,51.00M,51.00M,-1.00M,,8.00M,10.00M,-38.00M,-30.00M,-102.00M,,,57.00M,-113.00M,80.00M,-41.00M,0.00,-41.00M,,7.00M,,,-34.00M,-6.00M,,-6.00M,,-100.00M,-100.00M,-50.00M,-50.00M,18.00M,-12.00M,-150.00M,561.00M,-104.00M,-8.00M,449.00M,,3.00M,-9.00M,-100.00M
2014-06,131.00M,1.40M,,,1.40M,55.40M,,55.40M,55.40M,-29.80M,,6.50M,-40.30M,191.80M,55.30M,-3.80M,,,27.50M,270.80M,395.00M,-61.00M,,-61.30M,0.30M,15.00M,,,-46.00M,-23.20M,,-23.20M,,-77.90M,-77.90M,-44.50M,-44.50M,7.10M,,-147.50M,349.60M,201.50M,9.90M,561.00M,,28.40M,-51.60M,-77.90M
2014-03,141.20M,-4.10M,,,-4.10M,48.20M,,48.20M,48.20M,4.60M,,10.00M,32.80M,-73.10M,14.70M,10.20M,,,-10.00M,-58.20M,174.50M,-58.00M,,-54.70M,-3.30M,0.00,,,-58.00M,-17.30M,,-17.30M,,-65.30M,-65.30M,-45.10M,-45.10M,34.10M,,-93.60M,334.40M,22.90M,-7.70M,349.60M,,2.50M,-19.80M,-65.30M
2013-12,136.10M,1.00M,,,1.00M,50.40M,,50.40M,50.40M,-4.70M,,10.10M,-29.00M,-23.50M,-32.40M,25.40M,,,-26.50M,-57.00M,106.90M,-51.60M,,-51.60M,,0.00,,,-51.60M,5.00M,,5.00M,,-50.10M,-50.10M,-45.10M,-45.10M,37.20M,,-53.00M,337.20M,2.30M,-5.10M,334.40M,,-1.70M,6.70M,-50.10M
2013-09,125.70M,1.70M,,,1.70M,50.00M,,50.00M,50.00M,29.90M,,8.40M,-10.50M,20.80M,12.40M,-81.80M,,,16.00M,-32.60M,172.60M,-33.40M,,-33.40M,,27.00M,,,-6.40M,-64.50M,,-64.50M,,-106.70M,-106.70M,-45.30M,-45.30M,62.60M,,-153.90M,321.00M,12.30M,3.90M,337.20M,,4.80M,-69.30M,-106.70M
2013-06,55.90M,8.40M,0.00,,41.40M,56.70M,,56.70M,56.70M,-52.90M,76.30M,7.40M,1.10M,-10.00M,-22.30M,99.30M,,,66.90M,133.90M,319.80M,-46.50M,,-40.10M,-6.40M,-0.40M,-0.10M,,-47.00M,-222.20M,,-222.20M,,-140.40M,-140.40M,-40.40M,-40.40M,13.30M,,-401.70M,459.00M,-128.90M,-9.10M,321.00M,,0.90M,-223.10M,-140.40M
2013-03,94.30M,23.60M,0.00,,23.60M,54.10M,,54.10M,54.10M,2.70M,0.00,10.60M,12.70M,30.40M,-21.80M,5.70M,,,21.40M,35.70M,233.70M,-48.80M,,-45.00M,-3.80M,147.40M,0.00,,98.60M,-4.80M,,-4.80M,,-160.40M,-160.40M,-40.60M,-40.60M,6.30M,,-199.50M,328.10M,132.80M,-1.90M,459.00M,,6.70M,-11.50M,-160.40M
2012-12,44.80M,0.00,-3.00M,,-3.00M,55.40M,,55.40M,55.40M,-10.10M,98.40M,9.00M,1.80M,-20.80M,33.70M,-31.90M,,,-18.30M,-37.30M,159.00M,-39.00M,,-40.00M,1.00M,0.00,4.00M,,-35.00M,-48.20M,,-48.20M,,-50.30M,-50.30M,-42.10M,-42.10M,17.90M,,-122.70M,326.80M,1.30M,0.00,328.10M,,-0.30M,-47.90M,-50.30M
2012-09,-86.00M,0.00,-6.00M,,-6.00M,54.80M,,54.80M,54.80M,10.30M,222.30M,6.00M,-5.60M,78.40M,-43.60M,-119.10M,,,9.00M,-75.30M,120.50M,-43.70M,,-39.90M,-3.80M,0.00,7.10M,,-36.60M,-70.80M,,-70.80M,,-63.90M,-63.90M,-41.90M,-41.90M,60.50M,,-116.10M,356.00M,-32.20M,3.00M,326.80M,,10.70M,-81.50M,-63.90M
2012-06,128.50M,0.00,,,0.00,66.30M,,66.30M,66.30M,1.80M,23.60M,8.30M,-15.50M,63.40M,-6.50M,74.20M,,,25.60M,156.70M,369.70M,-58.50M,,-52.50M,-6.00M,-0.10M,0.00,,-58.60M,-190.10M,,-190.10M,,-25.10M,-25.10M,-37.40M,-37.40M,5.50M,,-247.10M,299.00M,64.00M,-7.00M,356.00M,,-159.50M,-30.60M,-25.10M
2012-03,-354.10M,0.00,,,0.00,64.70M,,64.70M,64.70M,-54.20M,562.00M,9.80M,13.10M,-56.90M,-40.20M,61.40M,,,-0.40M,-36.10M,205.20M,-52.80M,,-46.10M,-6.70M,0.00,-1.00M,,-53.80M,-196.00M,,-196.00M,,-25.20M,-25.20M,-37.70M,-37.70M,16.50M,,-242.40M,387.00M,-91.00M,3.00M,299.00M,,-196.00M,0.00,-25.20M
2011-12,132.30M,,,,,66.00M,,66.00M,66.00M,-3.20M,0.00,7.30M,2.30M,62.20M,-10.70M,-50.00M,,,-6.90M,-5.40M,199.30M,-40.60M,,-33.90M,-6.70M,-14.00M,0.00,,-54.60M,-18.90M,,-18.90M,,-17.00M,-17.00M,-31.90M,-31.90M,3.30M,,-64.50M,305.40M,80.20M,1.40M,387.00M,,-15.60M,-3.30M,-17.00M
2011-09,121.10M,,,,,63.30M,,63.30M,63.30M,-0.20M,0.00,9.30M,-0.90M,-83.90M,32.20M,-119.40M,,,57.20M,-113.90M,78.70M,-81.90M,,-77.40M,-4.50M,,0.00,,-81.90M,380.10M,,380.10M,,-406.20M,-406.20M,-32.60M,-32.60M,2.90M,,-55.80M,366.90M,-59.00M,-2.50M,305.40M,,380.50M,-0.40M,-406.20M
2011-06,132.90M,,,,,,,63.50M,63.50M,19.60M,0.00,9.60M,11.20M,-23.30M,-20.10M,145.50M,,-45.60M,-17.00M,39.50M,276.30M,-128.70M,,-125.20M,-3.50M,-534.20M,0.00,,-662.90M,-3.70M,,-3.70M,,-100.10M,-100.10M,,-31.30M,5.30M,,-129.80M,885.10M,-516.40M,-1.80M,366.90M,,-3.60M,-0.10M,-100.10M
2011-03,139.20M,,,,,,,52.30M,52.30M,7.70M,0.00,10.40M,-13.60M,-81.70M,-43.10M,63.60M,,32.70M,,-28.50M,167.50M,-88.00M,,-85.10M,-2.90M,-30.40M,0.00,,-118.40M,855.10M,-688.70M,166.40M,,-50.30M,-50.30M,,-31.70M,8.70M,,93.10M,740.80M,142.20M,2.10M,885.10M,,166.70M,-0.30M,-50.30M
2010-12,151.10M,,,,,,,49.40M,49.40M,8.50M,,10.10M,-28.70M,-6.10M,18.80M,-139.40M,,1.20M,13.50M,-112.00M,94.40M,-66.80M,,-63.90M,-2.90M,0.00,0.00,,-66.80M,,444.60M,444.60M,,-50.20M,-50.20M,,-31.80M,7.90M,,370.50M,341.40M,398.10M,1.30M,740.80M,,444.90M,-0.30M,-50.20M
2010-09,163.90M,,,,,,,46.80M,46.80M,1.30M,,16.00M,16.00M,68.20M,-20.30M,20.80M,,11.70M,-13.50M,66.90M,294.90M,-41.40M,,-37.10M,-4.30M,-518.00M,-10.00M,,-569.40M,,244.10M,244.10M,,-55.50M,-55.50M,,-32.20M,2.60M,,159.00M,455.20M,-115.50M,1.70M,341.40M,,244.10M,0.00,-55.50M
2010-06,151.40M,,,,,165.70M,,44.70M,44.70M,-5.90M,,6.50M,13.60M,-79.70M,33.00M,-11.10M,,,14.90M,-42.90M,167.40M,-61.80M,,-60.00M,-1.80M,-11.90M,0.00,,-73.70M,29.80M,,29.80M,,-52.30M,-52.30M,-115.00M,-28.60M,6.80M,,-44.30M,405.70M,49.40M,0.10M,455.20M,,0.00,29.80M,-52.30M
2010-03,166.20M,,,,,-80.80M,,40.20M,40.20M,-1.70M,,7.60M,7.70M,22.10M,25.10M,89.40M,,,-42.70M,93.90M,313.90M,-93.80M,,-91.40M,-2.40M,-6.50M,0.00,,-100.30M,-45.20M,,-45.20M,,-50.20M,-50.20M,57.80M,-28.60M,6.10M,,-117.90M,310.20M,95.70M,-0.20M,405.70M,,0.00,-45.20M,-50.20M
2009-12,139.50M,,,,,80.80M,,38.70M,38.70M,-5.30M,,10.10M,-0.60M,68.40M,-42.20M,-69.20M,,-34.10M,81.60M,4.50M,186.90M,-21.80M,,-19.90M,-1.90M,-34.70M,,,-56.50M,19.70M,,19.70M,,-50.20M,-50.20M,-57.80M,-28.80M,5.90M,,-53.40M,231.10M,77.00M,2.10M,310.20M,,,19.70M,-50.20M
2009-09,104.50M,,,,,,,42.10M,42.10M,6.40M,,11.10M,-2.20M,29.20M,-29.80M,-60.90M,,34.10M,,-27.40M,134.50M,-20.60M,,-18.60M,-2.00M,1.00M,,,-19.60M,-81.10M,,-81.10M,,-55.30M,-55.30M,,-29.00M,0.10M,,-165.30M,281.20M,-50.40M,0.30M,231.10M,,0.00,-81.10M,-55.30M
2009-06,-156.40M,,,,155.10M,,,50.20M,50.20M,-39.60M,255.50M,14.40M,-126.00M,62.70M,-20.30M,100.60M,,-41.20M,,109.10M,262.30M,-24.90M,,-22.10M,-2.80M,-736.20M,0.00,,-761.10M,533.80M,,452.40M,,-0.10M,-0.10M,,-26.50M,-2.00M,,323.80M,452.00M,-175.00M,4.20M,281.20M,,453.30M,-0.90M,-0.10M
2009-03,114.20M,,,,-16.70M,,,41.80M,41.80M,-5.60M,0.00,9.10M,36.30M,23.80M,42.70M,-47.60M,,17.20M,,36.10M,215.20M,-30.20M,,-26.90M,-3.30M,-9.10M,1.00M,,-38.30M,-1.30M,,-1.30M,,-50.10M,-50.10M,,-26.20M,0.30M,,-77.30M,352.70M,99.60M,-0.30M,452.00M,,-0.20M,-1.10M,-50.10M
2008-12,-38.60M,,,,-137.80M,,,43.20M,43.20M,1.10M,301.00M,9.40M,0.10M,67.60M,-23.90M,-91.50M,,21.20M,,-26.60M,151.80M,-35.00M,,-32.10M,-2.90M,0.00,0.90M,,-34.10M,-70.00M,,-70.00M,,-0.50M,-0.50M,,-27.00M,2.00M,,-95.50M,342.20M,22.20M,-11.70M,352.70M,,0.20M,-70.20M,-0.50M
2008-09,118.70M,,,,-0.60M,,,42.50M,42.50M,-3.10M,7.60M,9.00M,-3.30M,-121.40M,-66.80M,69.30M,,-14.40M,,-133.30M,37.50M,-31.70M,,-27.80M,-3.90M,,0.60M,,-31.10M,69.30M,,69.30M,,-81.60M,-81.60M,,-26.90M,5.30M,,-33.90M,370.00M,-27.50M,-0.30M,342.20M,,78.50M,-9.20M,-81.60M
2008-06,121.70M,,-5.00M,,-20.20M,,,46.40M,46.40M,-7.00M,0.00,8.40M,3.60M,-9.00M,39.00M,10.50M,,4.10M,,44.60M,197.50M,-37.30M,,-28.70M,-8.60M,-6.60M,6.90M,,-37.00M,-47.80M,,-47.80M,,-25.30M,-25.30M,,-20.20M,13.60M,,-79.70M,291.90M,80.80M,-2.70M,274.50M,,10.30M,-58.10M,-25.30M
2008-03,108.00M,,-4.80M,,0.50M,,,41.60M,41.60M,-4.20M,0.00,29.80M,-14.30M,-40.10M,-36.20M,66.20M,,25.70M,-7.80M,7.80M,169.20M,-40.80M,,-16.10M,-24.70M,0.00,10.60M,,-30.20M,-91.10M,,-99.40M,-24.10M,-118.10M,-142.20M,,-20.20M,31.60M,8.90M,-221.30M,371.60M,-82.30M,2.60M,291.90M,-24.10M,450.20M,-541.30M,-118.10M
2007-12,114.30M,,,,-20.50M,,,42.30M,42.30M,-0.50M,,,19.30M,-47.90M,1.30M,34.10M,,-25.50M,7.80M,-30.20M,124.70M,-35.60M,,-35.60M,,-11.30M,5.10M,,-41.80M,,,12.00M,12.30M,-50.00M,-37.70M,,-20.50M,,-8.90M,-55.10M,343.60M,27.80M,0.20M,371.60M,12.30M,,,-50.00M
2007-09,100.20M,,,,17.60M,,,41.90M,41.90M,7.00M,,,,-8.70M,-55.40M,-52.10M,,13.60M,,-102.60M,64.10M,-32.50M,,-32.50M,,-1.50M,8.40M,,-25.60M,,,-3.70M,11.80M,-50.00M,-38.20M,,-20.60M,,,-62.50M,368.30M,-24.00M,-0.70M,343.60M,11.80M,,,-50.00M
2007-06,87.60M,,,,-35.10M,,,46.10M,46.10M,-13.70M,,,0.00,-64.80M,-19.80M,97.10M,,-15.60M,33.50M,30.40M,115.30M,-30.30M,,-30.30M,,-437.80M,20.50M,,-414.50M,,,398.20M,7.90M,-199.90M,-192.00M,,-14.00M,,,192.20M,481.80M,-107.00M,-6.50M,368.30M,7.90M,,,-199.90M
2007-03,214.90M,,,,-138.80M,,,34.30M,34.30M,4.70M,,,7.90M,-51.00M,7.10M,46.90M,,15.00M,,18.00M,141.00M,-36.10M,,-36.10M,,33.20M,-15.40M,,-18.30M,,,6.40M,18.40M,-20.60M,-2.20M,,-14.80M,,,-10.60M,367.90M,112.10M,1.80M,481.80M,18.40M,,,-20.60M
2006-12,94.00M,,,,,,,27.50M,27.50M,-0.20M,,,7.40M,25.10M,-2.20M,-9.40M,,-8.10M,-6.00M,-0.60M,128.10M,-27.70M,,-27.70M,,,0.00,,-27.70M,,,-0.70M,4.50M,-19.50M,-15.00M,,-14.70M,,,-30.40M,296.10M,70.00M,1.80M,367.90M,4.50M,,,-19.50M
2006-09,83.90M,,,,,,,27.30M,27.30M,-7.10M,,,,-1.20M,-31.10M,-43.60M,,20.00M,6.00M,-49.90M,54.20M,-35.00M,,-35.00M,,,112.60M,,77.60M,,,-1.20M,4.90M,-6.90M,-2.00M,,-14.70M,,,-17.90M,181.30M,113.90M,0.90M,296.10M,4.90M,,,-6.90M
2006-06,85.10M,,,,,,,28.80M,28.80M,1.70M,,,-24.70M,-14.40M,2.10M,78.10M,,-30.40M,-7.10M,28.30M,119.20M,-54.10M,,-54.10M,,-66.10M,30.10M,,-90.10M,,,-8.40M,5.10M,-28.70M,-23.60M,,-10.70M,,,-42.70M,192.80M,-13.60M,2.10M,181.30M,5.10M,,,-28.70M
2006-03,72.50M,,,,,,,25.10M,25.10M,-5.40M,,,24.70M,-45.90M,-54.80M,54.20M,,48.50M,-15.90M,-13.90M,103.00M,-37.70M,,-37.70M,,0.00,-86.10M,,-123.80M,,,0.50M,11.40M,-10.20M,1.20M,,-10.70M,,,-9.00M,221.50M,-29.80M,1.10M,192.80M,11.40M,,,-10.20M
2005-12,30.00M,,,,,,,24.30M,24.30M,1.60M,,,,-12.60M,3.40M,-13.30M,,-7.50M,0.60M,-29.40M,26.50M,-30.60M,,-30.60M,,-443.50M,76.80M,,-397.30M,,,3.90M,5.80M,0.00,5.80M,,-10.70M,,,-1.00M,595.70M,-371.80M,-2.40M,221.50M,5.80M,,,0.00
2005-09,50.30M,,,,,,,20.20M,20.20M,0.30M,,,,38.00M,-31.70M,-33.50M,,26.60M,15.30M,14.70M,85.50M,-24.00M,,-24.00M,,,-133.40M,,-157.40M,,,294.20M,11.50M,-6.00M,5.50M,,-10.60M,,,289.10M,377.60M,217.20M,0.90M,595.70M,11.50M,,,-6.00M
2005-06,61.20M,,,,0.00,,,22.50M,22.50M,11.70M,,,-34.80M,-13.70M,15.90M,43.60M,,19.10M,34.70M,99.60M,160.20M,-32.50M,,-32.50M,,0.00,195.90M,,163.40M,,,1.80M,1.50M,-20.20M,-18.70M,,-7.90M,,,-24.80M,275.60M,298.80M,-0.80M,377.60M,1.50M,,,-20.20M
2005-03,55.80M,,,,0.60M,,,20.60M,20.60M,0.30M,,,34.80M,4.10M,-11.50M,1.60M,,2.40M,-20.80M,-24.20M,87.90M,-31.90M,,-31.90M,,-0.90M,0.40M,5.90M,-26.50M,,,-2.80M,-4.50M,0.00,-4.50M,,-8.00M,,,-15.30M,230.40M,46.10M,-0.90M,275.60M,-4.50M,,,0.00
2004-12,45.10M,,,,3.00M,,,24.80M,24.80M,3.00M,,,-7.80M,4.70M,-18.40M,10.40M,,-4.10M,20.80M,13.40M,81.50M,-12.00M,,-12.00M,,-362.80M,12.60M,-5.90M,-368.10M,,,-3.50M,14.30M,-36.20M,-21.90M,,-8.00M,,,-33.40M,548.30M,-320.00M,2.10M,230.40M,14.30M,,,-36.20M
