,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2015-06,481.00M,,481.00M,837.00M,,,343.00M,1.255B,196.00M,256.00M,100.00M,463.00M,1.015B,,165.00M,3.183B,0.00,45.00M,587.00M,1.681B,,2.313B,-1.148B,1.165B,6.348B,1.775B,8.123B,502.00M,154.00M,9.944B,13.13B,581.00M,57.00M,638.00M,490.00M,1.128B,,,163.00M,163.00M,433.00M,700.00M,,28.00M,2.274B,5.053B,,5.053B,12.00M,,12.00M,1.943B,5.00M,443.00M,7.451B,9.725B,124.00M,1.258B,,,,-16.00M,3.397B
2015-03,487.70M,,487.70M,536.50M,,,122.00M,668.10M,162.80M,54.80M,108.30M,309.80M,635.70M,116.80M,113.80M,2.022B,0.00,13.00M,509.50M,1.276B,,1.798B,-1.093B,705.50M,1.665B,207.20M,1.872B,71.20M,163.50M,2.812B,4.834B,279.60M,19.40M,299.00M,301.80M,600.80M,,,27.30M,27.30M,241.00M,241.10M,0.10M,,1.048B,1.576B,,1.576B,,74.00M,74.00M,,-0.30M,296.70M,1.946B,2.994B,104.20M,1.363B,,,,-139.10M,1.841B
2014-12,469.50M,,469.50M,497.20M,,,91.00M,603.60M,162.80M,38.50M,101.60M,346.70M,649.60M,116.30M,107.00M,1.946B,0.00,12.50M,524.20M,1.254B,,1.791B,-1.066B,724.50M,1.676B,223.90M,1.900B,68.90M,158.40M,2.852B,4.798B,292.10M,,292.10M,256.40M,548.50M,,,75.30M,75.30M,253.30M,253.30M,0.00,,1.028B,1.576B,,1.576B,,77.30M,77.30M,,-0.20M,305.80M,1.959B,2.987B,104.10M,1.286B,,,,-77.90M,1.812B
2014-09,449.10M,,449.10M,489.90M,,,120.50M,617.70M,140.70M,48.70M,110.50M,348.40M,648.30M,112.90M,96.60M,1.925B,0.00,12.60M,507.90M,1.252B,,1.772B,-1.042B,730.50M,1.699B,240.50M,1.939B,83.70M,158.50M,2.912B,4.837B,302.90M,32.80M,335.70M,260.90M,596.60M,,,53.60M,53.60M,278.10M,278.70M,0.60M,,1.082B,1.576B,,1.576B,,80.50M,80.50M,,-0.10M,302.10M,1.958B,3.041B,104.60M,1.231B,,,,-35.60M,1.796B
2014-06,561.00M,,561.00M,458.00M,,,115.00M,594.00M,131.00M,36.00M,105.00M,347.00M,619.00M,112.00M,96.00M,1.991B,0.00,13.00M,492.00M,1.239B,,1.744B,-1.016B,728.00M,1.711B,258.00M,1.969B,87.00M,144.00M,2.928B,4.919B,324.00M,0.00,324.00M,250.00M,574.00M,,,60.00M,60.00M,266.00M,272.00M,2.00M,,1.115B,1.564B,,1.564B,0.00,84.00M,84.00M,20.00M,-1.00M,311.00M,1.979B,3.094B,106.00M,1.226B,,,,-15.00M,1.826B
2014-03,349.60M,,349.60M,620.00M,,15.10M,145.10M,826.50M,130.30M,63.40M,122.00M,358.30M,674.00M,113.40M,89.80M,2.053B,0.00,12.60M,473.90M,1.193B,,1.680B,-994.20M,685.50M,1.704B,270.80M,1.974B,87.90M,157.50M,2.905B,4.959B,355.50M,,355.50M,261.90M,617.40M,,,82.70M,82.70M,298.20M,299.10M,0.90M,,1.176B,1.576B,,1.576B,,87.30M,87.30M,,-0.40M,324.60M,1.988B,3.164B,106.50M,1.199B,,,,-32.10M,1.795B
2013-12,334.40M,,334.40M,560.60M,,15.20M,129.50M,737.90M,121.40M,42.50M,137.00M,387.90M,688.80M,119.10M,92.20M,1.972B,0.00,13.00M,456.70M,1.172B,,1.642B,-973.10M,668.90M,1.702B,285.80M,1.988B,99.50M,155.40M,2.912B,4.884B,341.50M,,341.50M,217.20M,558.70M,,,98.40M,98.40M,298.50M,299.50M,1.00M,,1.151B,1.577B,,1.577B,,90.50M,90.50M,,-0.40M,352.50M,2.020B,3.171B,106.70M,1.147B,,,,-38.90M,1.714B
2013-09,337.20M,,337.20M,515.40M,,15.20M,153.60M,702.00M,124.70M,39.80M,115.30M,376.50M,656.30M,115.30M,78.70M,1.890B,0.00,13.00M,432.10M,1.152B,,1.597B,-945.40M,651.90M,1.703B,297.30M,2.000B,95.30M,143.60M,2.891B,4.781B,315.10M,,315.10M,251.40M,566.50M,,,93.50M,93.50M,308.70M,309.60M,0.90M,,1.136B,1.577B,,1.577B,,93.70M,93.70M,,-0.20M,343.30M,2.014B,3.151B,106.80M,1.090B,,,,-34.20M,1.630B
2013-06,321.00M,,321.00M,569.30M,,15.20M,120.80M,733.00M,123.50M,35.00M,123.90M,386.30M,668.70M,121.20M,77.20M,1.948B,0.00,13.00M,420.40M,1.132B,,1.566B,-912.70M,653.20M,1.692B,308.10M,2.000B,124.80M,132.20M,2.910B,4.858B,339.50M,,339.50M,255.80M,595.30M,,,158.00M,158.00M,308.00M,309.80M,1.80M,,1.297B,1.577B,,1.577B,,96.80M,96.80M,,-0.10M,325.90M,2.000B,3.297B,106.90M,1.080B,,,,-58.60M,1.561B
2013-03,459.00M,,459.00M,563.10M,,0.30M,115.00M,740.60M,141.70M,30.50M,69.40M,404.70M,646.30M,152.40M,89.80M,2.125B,0.00,13.10M,429.50M,1.186B,,1.628B,-961.20M,666.90M,1.693B,357.80M,2.051B,69.70M,163.50M,2.951B,5.076B,298.40M,0.00,298.40M,286.90M,585.30M,,,348.90M,348.90M,304.00M,305.90M,1.90M,4.70M,1.442B,1.576B,,1.576B,,100.20M,100.20M,,2.80M,282.20M,1.958B,3.400B,109.20M,1.164B,,,,-43.30M,1.673B
2012-12,328.10M,,328.10M,583.00M,,0.30M,126.10M,737.80M,135.30M,20.90M,55.20M,413.10M,624.50M,174.40M,77.70M,2.259B,0.00,13.00M,430.30M,1.157B,,1.600B,-933.50M,666.60M,1.709B,380.30M,2.090B,81.90M,144.10M,2.982B,5.241B,299.00M,0.00,299.00M,237.90M,536.90M,,,50.70M,50.70M,265.20M,267.20M,2.00M,118.90M,1.163B,1.879B,,1.879B,,103.30M,103.30M,,3.30M,269.50M,2.252B,3.415B,112.40M,1.222B,,,,10.10M,1.823B
2012-09,326.80M,,326.80M,526.10M,,,141.80M,681.90M,131.70M,21.00M,62.50M,431.60M,646.80M,173.90M,83.10M,2.358B,0.00,13.00M,420.70M,1.141B,,1.575B,-906.00M,668.60M,1.710B,405.90M,2.115B,72.40M,139.50M,2.996B,5.354B,298.10M,43.10M,341.20M,306.50M,647.70M,,,95.20M,95.20M,218.90M,223.90M,5.00M,126.00M,1.255B,1.883B,,1.883B,,106.40M,106.40M,,6.90M,256.40M,2.246B,3.501B,113.00M,1.251B,,,,14.80M,1.846B
2012-06,356.00M,,356.00M,618.70M,,0.00,138.50M,762.20M,123.60M,23.10M,68.00M,403.10M,617.80M,160.50M,71.20M,2.600B,0.00,13.00M,414.10M,1.107B,,1.534B,-875.00M,659.40M,1.695B,421.70M,2.117B,80.30M,135.70M,2.992B,5.593B,381.00M,12.00M,393.00M,269.60M,662.60M,,,164.20M,164.20M,221.50M,222.30M,0.80M,136.20M,1.414B,1.883B,,1.883B,,109.50M,109.50M,,7.20M,239.80M,2.232B,3.647B,112.10M,1.417B,,,,-22.60M,1.939B
2012-03,299.00M,,299.00M,788.70M,,5.20M,131.80M,937.70M,551.60M,80.20M,111.20M,,743.00M,155.70M,73.20M,2.209B,0.00,17.20M,443.80M,1.189B,,1.650B,-948.20M,701.70M,1.991B,453.00M,2.444B,81.50M,213.50M,3.440B,5.649B,346.90M,,346.90M,324.30M,671.20M,,,354.10M,354.10M,245.20M,247.20M,2.00M,10.40M,1.504B,1.883B,,1.883B,,,112.80M,,7.90M,247.70M,2.244B,3.748B,112.60M,1.344B,425.70M,,,11.50M,1.893B
2011-12,387.00M,,387.00M,766.10M,,8.90M,93.40M,911.60M,525.50M,60.60M,115.20M,,701.30M,154.40M,73.50M,2.228B,0.00,17.60M,497.70M,1.288B,,1.803B,-908.40M,894.40M,2.359B,472.10M,2.831B,36.30M,182.70M,3.944B,6.172B,348.10M,,348.10M,279.50M,627.60M,,,550.20M,550.20M,275.80M,276.70M,0.90M,,1.661B,1.883B,,1.883B,20.90M,,20.90M,,8.80M,354.40M,2.258B,3.920B,112.60M,1.754B,405.90M,,,-28.90M,2.244B
2011-09,305.40M,,305.40M,793.20M,,4.80M,132.70M,936.90M,147.70M,52.90M,119.00M,370.90M,690.50M,163.90M,85.50M,2.182B,0.00,14.60M,503.90M,1.265B,,1.784B,-877.50M,906.00M,2.363B,477.70M,2.841B,30.00M,171.80M,3.949B,6.131B,409.10M,19.70M,428.80M,322.90M,751.70M,,,565.40M,565.40M,228.90M,228.90M,,,1.726B,1.887B,,1.887B,23.10M,,23.10M,,9.50M,326.40M,2.236B,3.962B,113.00M,1.666B,398.70M,,,-18.60M,2.160B
2011-06,366.90M,,366.90M,703.40M,,6.50M,138.50M,893.80M,142.50M,60.10M,137.20M,381.00M,720.80M,171.00M,64.30M,2.217B,0.00,14.60M,493.40M,1.208B,,1.716B,-843.60M,872.80M,2.381B,502.40M,2.884B,5.70M,193.70M,3.956B,6.173B,450.80M,0.00,450.80M,295.80M,746.60M,,,184.90M,184.90M,232.80M,232.80M,0.00,,1.430B,1.887B,,1.887B,,120.90M,120.90M,,10.00M,222.20M,2.230B,3.661B,123.10M,1.889B,,,,18.70M,2.502B
2011-03,885.10M,,885.10M,667.70M,,6.70M,134.90M,826.80M,449.30M,68.20M,176.40M,,693.90M,156.50M,70.70M,2.633B,0.00,12.80M,465.30M,1.096B,,1.574B,-815.30M,758.80M,1.963B,416.00M,2.379B,43.50M,214.60M,3.396B,6.029B,382.60M,0.00,382.60M,295.50M,678.10M,,,186.60M,186.60M,223.50M,223.50M,,,1.310B,1.887B,,1.887B,,,,,11.60M,336.30M,2.223B,3.533B,125.00M,1.865B,477.10M,,,17.60M,2.484B
2010-12,740.80M,,740.80M,592.80M,,7.90M,123.00M,759.40M,131.90M,60.30M,140.30M,319.40M,651.90M,153.40M,64.90M,2.370B,0.00,12.30M,432.30M,1.044B,,1.489B,-782.00M,706.90M,1.935B,396.30M,2.332B,60.10M,198.40M,3.297B,5.667B,362.70M,0.00,362.70M,278.00M,640.70M,,,30.70M,30.70M,190.90M,190.90M,,,1.069B,1.876B,,1.876B,,126.60M,126.60M,,0.60M,206.70M,2.210B,3.279B,125.80M,1.796B,,,,-3.10M,2.388B
2010-09,341.40M,,341.40M,565.10M,,7.40M,144.80M,709.30M,129.20M,67.10M,156.00M,318.50M,670.80M,148.50M,63.30M,1.933B,87.20M,12.10M,407.00M,918.50M,,1.425B,-752.60M,672.20M,1.936B,412.90M,2.349B,64.20M,187.90M,3.273B,5.207B,390.70M,73.60M,464.30M,488.50M,952.80M,,,275.70M,275.70M,189.80M,189.80M,,,1.418B,1.176B,,1.176B,,,,,0.60M,317.70M,1.494B,2.912B,126.60M,1.715B,462.90M,,,-10.90M,2.294B
2010-06,455.20M,,455.20M,613.00M,,7.90M,125.10M,751.30M,421.00M,59.70M,134.60M,,615.30M,145.30M,37.50M,2.005B,0.00,13.10M,396.60M,860.20M,85.70M,1.356B,-745.90M,609.70M,1.576B,297.80M,1.874B,107.70M,147.60M,2.739B,4.744B,329.40M,8.90M,338.30M,267.50M,605.80M,,,30.70M,30.70M,175.60M,175.60M,,,1.052B,1.177B,,1.177B,,,,,0.50M,325.10M,1.502B,2.554B,127.50M,1.621B,461.10M,,,-20.40M,2.190B
2010-03,405.70M,,405.70M,525.00M,,4.60M,136.10M,656.60M,116.70M,65.60M,150.30M,314.60M,647.20M,144.30M,58.10M,1.912B,84.70M,15.80M,379.10M,847.60M,,1.327B,-742.90M,584.30M,1.577B,306.40M,1.883B,93.70M,154.60M,2.716B,4.628B,341.50M,16.00M,357.50M,302.60M,660.10M,,,0.80M,0.80M,160.60M,160.60M,,191.60M,1.013B,1.177B,,1.177B,,,,,,321.00M,1.498B,2.511B,128.30M,1.537B,463.30M,,,-12.00M,2.117B
2009-12,310.20M,,310.20M,573.40M,,4.10M,114.60M,683.40M,104.90M,58.10M,146.50M,362.70M,672.20M,142.70M,66.10M,1.875B,83.10M,12.00M,345.90M,814.80M,,1.256B,-734.30M,521.50M,1.577B,315.40M,1.892B,92.70M,148.70M,2.655B,4.530B,284.40M,,284.40M,312.50M,596.90M,,,45.70M,45.70M,195.50M,195.50M,,172.60M,1.011B,1.177B,,1.177B,,,,,,328.60M,1.506B,2.516B,129.30M,1.437B,462.30M,,,-14.70M,2.014B
2009-09,231.10M,,231.10M,602.90M,,4.40M,146.90M,742.70M,99.50M,61.90M,127.30M,344.80M,633.50M,124.80M,65.70M,1.798B,85.80M,11.10M,353.20M,812.30M,,1.262B,-730.20M,532.20M,1.522B,319.90M,1.842B,78.10M,140.80M,2.593B,4.391B,305.50M,32.20M,337.70M,302.60M,640.30M,,,25.80M,25.80M,155.80M,155.80M,,160.60M,982.50M,1.177B,,1.177B,,,,,,310.60M,1.488B,2.470B,130.20M,1.362B,459.30M,,,-31.00M,1.921B
2009-06,281.20M,,281.20M,630.40M,,4.50M,128.10M,770.80M,396.40M,64.10M,146.70M,,607.20M,117.20M,83.00M,1.859B,0.00,10.90M,351.40M,882.30M,,1.245B,-701.40M,543.20M,1.507B,335.60M,1.843B,85.30M,134.50M,2.606B,4.465B,368.00M,,368.00M,513.60M,881.60M,,,106.40M,106.40M,121.70M,121.70M,,,1.110B,1.177B,,1.177B,,,145.60M,,0.00,163.40M,1.486B,2.596B,131.40M,1.323B,466.30M,,,-51.40M,1.869B
2009-03,452.00M,4.00M,456.00M,780.70M,,7.30M,132.20M,886.30M,169.60M,65.40M,140.10M,285.60M,660.70M,,184.50M,2.188B,82.40M,12.00M,355.10M,787.90M,,1.237B,-770.30M,467.10M,1.21B,304.80M,1.515B,,162.60M,2.144B,4.332B,339.70M,12.90M,352.60M,276.80M,629.40M,,,19.20M,19.20M,170.50M,170.50M,,177.90M,997.00M,827.50M,,827.50M,24.20M,,24.20M,,,304.00M,1.156B,2.153B,131.40M,1.679B,453.20M,,,,2.179B
