,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2002-02,518.91M,518.91M,333.66M,185.25M,132.79M,6.358M,,,0.367M,133.15M,52.10M,,,6.358M,,42.08M,13.25M,33.84M,,-0.673M,33.84M,29.48M,67.00M,14.91M,52.10M,,0.06,0.00,,0.0444,0.06,,0.06,0.00,,0.0444,0.06,,278.43M,278.43M,0.0525,,,
2001-11,267.75M,267.75M,189.20M,78.55M,-0.405M,-2.869M,,,,9.895M,68.65M,,,-2.869M,,62.55M,19.78M,49.57M,,-0.807M,59.07M,51.53M,74.50M,5.843M,68.65M,,-0.0525,0.00,,-0.0454,-0.0525,,-0.0525,0.00,,-0.0455,-0.0525,,275.70M,280.11M,0.05,,,
2001-08,570.71M,570.71M,341.76M,228.94M,172.51M,6.009M,,,,172.51M,56.44M,,,6.009M,,45.11M,14.93M,34.31M,,-0.506M,34.31M,30.29M,74.69M,18.25M,56.44M,,0.125,0.00,,0.1104,0.125,,0.1225,0.00,,0.1081,0.1225,,274.50M,280.10M,0.05,,,
2001-05,567.14M,567.14M,345.63M,221.51M,171.94M,3.108M,,,,171.94M,49.57M,,,3.108M,,35.71M,11.82M,26.64M,,-0.437M,26.64M,24.56M,68.89M,19.32M,49.57M,,0.0975,0.00,,0.0899,0.0975,,0.095,0.00,,0.0876,0.095,,273.19M,280.38M,0.05,,,
2001-02,533.50M,533.50M,325.01M,208.50M,163.56M,7.052M,,,,163.56M,44.94M,,,7.052M,,31.62M,10.47M,26.59M,,-0.65M,26.59M,21.87M,62.22M,17.28M,44.94M,,0.0975,0.00,,0.0802,0.0975,,0.095,0.00,,0.0781,0.095,,272.68M,279.85M,0.05,,,
2000-11,597.91M,597.91M,436.33M,161.58M,111.26M,23.25M,,,,69.61M,91.97M,,,23.25M,,82.82M,29.81M,71.11M,,,57.62M,56.23M,110.52M,18.55M,91.97M,,0.21,0.00,,0.1556,0.21,,0.2075,0.00,,0.1539,0.2075,,273.61M,277.54M,0.0475,,,
2000-08,495.87M,495.87M,308.64M,187.23M,120.40M,-1.38M,,,,134.78M,52.45M,,,-1.38M,,41.98M,14.95M,27.03M,4.232M,,31.26M,27.92M,66.83M,14.38M,52.45M,,0.115,0.00,,0.1183,0.115,,0.1125,0.00,,0.1157,0.1125,,271.87M,277.91M,0.0475,,,
2000-05,485.72M,485.72M,301.33M,184.40M,127.80M,1.481M,,,,141.71M,42.68M,,,1.481M,,35.85M,11.65M,24.20M,,,24.20M,23.20M,56.60M,13.91M,42.68M,,0.0875,0.00,,0.0839,0.0875,,0.0875,0.00,,0.0857,0.0875,,276.59M,558.54M,0.0475,,,
2000-02,462.40M,462.40M,284.11M,178.30M,125.94M,4.118M,,,,140.40M,37.89M,,,4.118M,,34.61M,10.19M,24.42M,,,24.42M,21.51M,52.36M,14.46M,37.89M,,0.0438,0.00,,0.0385,0.0438,,0.0438,0.00,,0.0385,0.0438,,556.30M,558.54M,0.0475,,,
1999-11,620.40M,620.40M,355.10M,265.30M,167.30M,7.00M,,,,182.70M,82.60M,,,7.00M,,81.70M,27.70M,54.00M,,,54.00M,49.37M,98.00M,15.40M,82.60M,,0.1918,,,0.1753,0.1918,,0.1918,,,0.1753,0.1918,,281.60M,281.60M,0.0425,,,
1999-08,476.80M,476.80M,299.00M,177.80M,120.30M,2.60M,,,,133.80M,44.00M,,,2.60M,,38.30M,12.90M,25.40M,,,25.40M,23.68M,57.50M,13.50M,44.00M,,0.045,0.00,,0.0389,0.045,,0.0438,0.00,,0.0377,0.0438,,283.16M,283.16M,0.0425,,,
1999-05,468.20M,468.20M,295.50M,172.70M,122.10M,-11.40M,,,,137.00M,35.70M,,,-11.40M,,16.10M,10.30M,5.80M,,,5.80M,12.64M,50.60M,14.90M,35.70M,,0.01,0.00,,0.0336,0.01,,0.01,0.00,,0.0336,0.01,,289.67M,289.67M,0.0425,,,
1999-02,441.54M,441.54M,282.60M,158.94M,112.70M,2.80M,,,,126.30M,32.64M,,,2.80M,,27.40M,9.20M,18.20M,,,18.20M,16.34M,46.24M,13.60M,32.64M,,0.0312,0.00,,0.0247,0.0312,,0.0312,0.00,,0.0247,0.0312,,285.79M,285.79M,0.0425,,,
1998-11,585.70M,585.70M,342.30M,243.40M,143.20M,2.20M,,,,158.40M,85.00M,,,2.20M,,77.60M,27.60M,50.00M,,,50.00M,48.58M,100.20M,15.20M,85.00M,,0.1726,,,0.1677,0.1726,,0.1726,,,0.1677,0.1726,,289.67M,289.67M,0.04,,,
1998-08,444.80M,444.80M,285.00M,159.80M,107.30M,3.00M,,,,120.80M,39.00M,,,3.00M,,32.40M,10.90M,21.50M,,,21.50M,19.51M,52.50M,13.50M,39.00M,,0.0362,0.00,,0.0294,0.0362,,0.0362,0.00,,0.0294,0.0362,,290.80M,290.80M,0.04,,,
1998-05,435.50M,435.50M,281.10M,154.40M,110.20M,2.40M,,,,123.30M,31.10M,,,2.40M,,24.10M,8.00M,16.10M,,,16.10M,14.50M,44.20M,13.10M,31.10M,,0.0275,0.00,,0.0220,0.0275,,0.0275,0.00,,0.0220,0.0275,,293.62M,293.62M,0.04,,,
1998-02,415.20M,415.20M,269.00M,146.20M,103.10M,2.80M,,,,116.10M,30.10M,,,2.80M,,24.50M,8.30M,16.20M,,,16.20M,14.35M,43.10M,13.00M,30.10M,,0.0275,0.00,,0.0212,0.0275,,0.0275,0.00,,0.0212,0.0275,,293.87M,293.87M,0.04,,,
1997-11,557.00M,557.00M,326.10M,230.90M,141.10M,5.70M,,,,153.00M,77.90M,,,5.70M,,74.20M,26.00M,48.20M,0.00,,48.20M,44.50M,89.80M,11.90M,77.90M,,0.1887,0.00,,0.1742,0.1887,,0.1887,0.00,,0.1742,0.1887,,255.37M,255.37M,0.0375,,,
1997-08,422.90M,422.90M,271.50M,151.40M,106.20M,7.10M,,,,119.00M,32.40M,,,7.10M,,30.10M,10.90M,19.20M,1.00M,,20.20M,14.67M,45.20M,12.80M,32.40M,,0.0325,0.0012,,0.0173,0.0338,,0.0325,0.0012,,0.0173,0.0338,,298.37M,298.37M,0.0375,,,
1997-05,413.70M,413.70M,267.50M,146.20M,105.70M,3.10M,,,,117.50M,28.70M,,,3.10M,,22.70M,7.90M,14.80M,,,14.80M,12.78M,40.50M,11.80M,28.70M,,0.025,0.00,,0.0183,0.025,,0.025,0.00,,0.0183,0.025,,300.86M,300.86M,0.0375,,,
1997-02,407.40M,407.40M,257.90M,149.50M,108.00M,2.90M,,,,120.80M,28.70M,,,2.90M,,23.10M,7.90M,15.20M,,,15.20M,13.29M,41.50M,12.80M,28.70M,,0.025,0.00,,0.0187,0.025,,0.025,0.00,,0.0187,0.025,,303.92M,303.92M,0.0375,,,
1996-11,537.40M,537.40M,307.30M,230.10M,140.50M,4.70M,,,,156.20M,73.90M,,,4.70M,,69.60M,23.70M,45.90M,0.00,,45.90M,42.80M,89.60M,15.70M,73.90M,,0.1467,0.00,0.00,0.1368,0.1467,,0.1467,0.00,0.00,0.1368,0.1467,,312.82M,312.82M,0.035,,,
1996-08,405.50M,405.50M,254.00M,151.50M,103.20M,-56.50M,,,,118.30M,33.20M,,,-56.50M,,-31.50M,-9.90M,-21.60M,5.10M,,-24.30M,17.14M,48.30M,15.10M,33.20M,,-0.0325,0.0075,-0.0245,0.0894,-0.0375,,-0.0325,0.0075,-0.0245,0.0894,-0.0375,,317.92M,317.92M,0.035,,,
1996-05,393.80M,393.80M,256.40M,137.40M,98.60M,0.10M,,,,115.50M,21.90M,,,0.10M,,14.10M,4.70M,9.40M,1.60M,,11.00M,9.333M,38.80M,16.90M,21.90M,,0.015,0.0025,,0.0148,0.0175,,0.015,0.0025,,0.0148,0.0175,,325.26M,325.26M,0.035,,,
1996-02,431.80M,431.80M,272.70M,159.10M,117.90M,1.50M,,,,134.00M,25.10M,,,1.50M,,14.40M,5.00M,9.40M,,,9.40M,8.421M,41.20M,16.10M,25.10M,,0.015,0.00,,0.0120,0.015,,0.015,0.00,,0.0120,0.015,,325.26M,325.26M,0.035,,,
1995-11,556.30M,556.30M,327.90M,228.40M,136.70M,2.80M,,,,154.70M,73.70M,,,2.80M,,63.00M,22.80M,40.20M,,,42.30M,38.41M,91.70M,18.00M,73.70M,,0.1302,,,0.1247,0.1302,,0.1302,,,0.1247,0.1302,,324.87M,324.87M,0.0325,,,
1995-08,432.00M,432.00M,274.40M,157.60M,99.90M,0.30M,,,,113.90M,43.70M,,,0.30M,,30.00M,10.10M,19.90M,,,19.90M,19.70M,57.70M,14.00M,43.70M,,0.0312,0.00,,0.0306,0.0312,,0.0312,0.00,,0.0306,0.0312,,324.70M,324.70M,0.0325,,,
1995-05,445.00M,445.00M,278.10M,166.90M,111.60M,-0.80M,,,,127.20M,39.70M,,,-0.80M,,24.80M,8.80M,16.00M,,,16.00M,16.52M,55.30M,15.60M,39.70M,,0.025,0.00,,0.0266,0.025,,0.025,0.00,,0.0266,0.025,,324.64M,324.64M,0.0325,,,
1995-02,425.40M,425.40M,267.50M,157.90M,97.90M,1.00M,,,,114.00M,43.90M,,,1.00M,,31.30M,12.00M,19.30M,,,19.30M,18.68M,60.00M,16.10M,43.90M,,0.03,0.00,,0.0281,0.03,,0.03,0.00,,0.0281,0.03,,324.76M,324.76M,0.0325,,,
1994-11,508.60M,508.60M,294.90M,213.70M,121.30M,-76.00M,,,,139.30M,74.40M,,,-76.00M,,-13.40M,-2.70M,-10.70M,,,-2.80M,49.99M,92.40M,18.00M,74.40M,,-0.0086,,,0.1782,-0.0086,,-0.0086,,,0.1782,-0.0086,,324.82M,324.82M,0.03,,,
1994-08,422.20M,422.20M,247.20M,175.00M,107.60M,0.80M,,,,124.50M,50.50M,,,0.80M,,41.40M,15.00M,26.40M,,,26.40M,25.89M,67.40M,16.90M,50.50M,,0.0412,0.00,,0.0397,0.0412,,0.0412,0.00,,0.0397,0.0412,,325.17M,325.17M,0.03,,,
1994-05,396.30M,396.30M,240.20M,156.10M,104.00M,1.20M,,,,118.50M,37.60M,,,1.20M,,29.80M,10.70M,19.10M,,,19.10M,18.33M,52.10M,14.50M,37.60M,,0.03,0.00,,0.0276,0.03,,0.03,0.00,,0.0276,0.03,,325.41M,325.41M,0.03,,,
1994-02,367.70M,367.70M,221.90M,145.80M,96.50M,1.00M,,,,109.60M,36.20M,,,1.00M,,29.10M,10.80M,18.30M,,,18.30M,17.67M,49.30M,13.10M,36.20M,,0.0288,0.00,,0.0268,0.0288,,0.0288,0.00,,0.0268,0.0288,,325.48M,325.48M,0.03,,,
1993-11,460.80M,460.80M,254.90M,205.90M,125.00M,3.40M,,,,138.20M,67.70M,,,3.40M,,63.00M,24.10M,38.90M,,,12.30M,36.80M,80.90M,13.20M,67.70M,,0.0380,,,0.0315,0.0380,,0.0380,,,0.0315,0.0380,,324.00M,324.00M,0.0275,,,
1993-08,394.90M,394.90M,226.90M,168.00M,106.50M,1.40M,,,,119.30M,48.70M,,,1.40M,,42.30M,17.40M,24.90M,,,24.90M,24.06M,61.50M,12.30M,48.70M,,0.0375,0.00,,0.0349,0.0375,,0.0375,0.00,,0.0349,0.0375,,323.98M,323.98M,0.0275,,,
1993-05,361.30M,361.30M,216.40M,144.90M,99.40M,-0.20M,,,,111.90M,33.00M,,,-0.20M,,24.90M,9.60M,15.30M,2.80M,,18.10M,15.42M,46.00M,13.00M,33.00M,,0.0275,0.00,,0.0279,0.0275,,0.0275,0.00,,0.0279,0.0275,,323.68M,323.68M,0.0275,,,
1993-02,339.60M,339.60M,204.70M,134.90M,91.80M,0.50M,,,,103.80M,31.10M,,,0.50M,,24.40M,9.40M,15.00M,2.80M,,17.80M,14.69M,43.10M,12.00M,31.10M,,0.0275,0.00,,0.0265,0.0275,,0.0275,0.00,,0.0265,0.0275,,322.95M,322.95M,0.0275,,,
1992-11,452.20M,452.20M,249.20M,203.00M,129.40M,-1.60M,,,,141.60M,61.40M,,,-1.60M,,52.60M,20.10M,32.50M,2.50M,,35.00M,33.49M,73.60M,12.20M,61.40M,,0.1012,0.0078,,0.1042,0.1090,,0.1012,0.0078,,0.1042,0.1090,,321.23M,321.23M,0.025,,,
1992-08,360.30M,360.30M,208.40M,151.90M,98.70M,0.30M,,,,109.20M,42.70M,,,0.30M,,35.10M,13.50M,21.60M,2.40M,,24.00M,21.42M,53.40M,10.70M,42.70M,,0.0362,0.00,,0.0357,0.0362,,0.0362,0.00,,0.0357,0.0362,,320.82M,320.82M,0.025,,,
1992-05,336.60M,336.60M,198.00M,138.60M,95.80M,3.10M,,,,106.30M,32.30M,,,3.10M,,26.80M,10.30M,16.50M,2.40M,,18.90M,14.59M,43.10M,10.80M,32.30M,,0.0288,0.00,,0.0228,0.0288,,0.0288,0.00,,0.0228,0.0288,,320.46M,320.46M,0.0225,,,
1992-02,322.30M,322.30M,188.60M,133.70M,92.90M,0.20M,,,,103.00M,30.70M,,,0.20M,,23.80M,9.10M,14.70M,2.70M,,17.40M,14.58M,40.80M,10.10M,30.70M,,0.0262,0.00,,0.0259,0.0262,,0.0262,0.00,,0.0259,0.0262,,321.18M,321.18M,0.0225,,,
1991-11,429.90M,429.90M,236.20M,193.70M,127.70M,-1.50M,,,,138.70M,55.00M,,,-1.50M,,46.30M,16.30M,30.00M,,,30.00M,30.97M,66.00M,11.00M,55.00M,,0.0941,,,0.0972,0.0941,,0.0941,,,0.0972,0.0941,,318.73M,318.73M,0.0188,,,
1991-08,341.80M,341.80M,205.10M,136.70M,89.50M,1.50M,,,,100.00M,36.70M,,,1.50M,,32.00M,11.20M,20.80M,,,20.80M,19.82M,47.20M,10.50M,36.70M,,0.0156,0.00,,0.0126,0.0156,,0.0156,0.00,,0.0126,0.0156,,319.55M,319.55M,0.0188,,,
1991-05,332.60M,332.60M,205.70M,126.90M,91.00M,3.10M,,,,100.70M,26.20M,,,3.10M,,22.20M,7.30M,14.90M,,,14.90M,12.82M,35.90M,9.70M,26.20M,,0.0112,0.00,,0.0047,0.0112,,0.0112,0.00,,0.0047,0.0112,,319.54M,319.54M,0.0162,,,
1991-02,323.60M,323.60M,199.00M,124.60M,87.60M,2.50M,,,,96.90M,27.70M,,,2.50M,,23.30M,8.10M,15.20M,,,15.20M,13.57M,37.00M,9.30M,27.70M,,0.0119,0.00,,0.0068,0.0119,,0.0119,0.00,,0.0068,0.0119,,319.46M,319.46M,0.0162,,,
1990-11,399.20M,399.20M,225.60M,173.60M,115.50M,0.90M,,,,125.20M,48.40M,,,0.90M,,40.60M,15.10M,25.50M,,,25.50M,24.93M,58.10M,9.70M,48.40M,,0.0798,,,0.0781,0.0798,,0.0798,,,0.0781,0.0798,,319.46M,319.46M,0.015,,,
1990-08,321.50M,321.50M,196.70M,124.80M,80.60M,0.10M,,,,89.50M,35.30M,,,0.10M,,28.40M,10.50M,17.90M,,,17.90M,17.84M,44.20M,8.90M,35.30M,,0.0138,0.00,,0.0136,0.0138,,0.0138,0.00,,0.0136,0.0138,,321.86M,321.86M,0.015,,,
1990-05,301.70M,301.70M,190.80M,110.90M,80.50M,8.60M,,,,89.80M,21.10M,,,8.60M,,22.90M,6.80M,16.10M,,,16.10M,10.05M,30.40M,9.30M,21.10M,,0.0119,0.00,,-0.0060,0.0119,,0.0119,0.00,,-0.0060,0.0119,,338.14M,338.14M,0.0138,,,
1990-02,300.50M,300.50M,188.50M,112.00M,81.10M,0.60M,,,,89.80M,22.20M,,,0.60M,,16.10M,6.20M,9.90M,,,9.90M,9.531M,30.90M,8.70M,22.20M,,0.0075,0.00,,0.0064,0.0075,,0.0075,0.00,,0.0064,0.0075,,333.09M,333.09M,0.0138,,,
1989-11,361.60M,361.60M,,,,,,,,,-782.50M,,,,,,,20.30M,,,20.30M,,-782.50M,,-782.50M,,,,,,,,,,,,,,331.66M,331.66M,0.0225,,,
1989-08,314.90M,314.90M,,,,,,,,,314.90M,,,,,,,16.70M,,,16.70M,,314.90M,,314.90M,,0.0062,0.00,,0.0062,0.0062,,0.0062,0.00,,0.0062,0.0062,,331.66M,331.66M,0.0112,,,
1989-05,291.70M,291.70M,,,,,,,,,291.70M,,,,,,,8.00M,,,8.00M,,291.70M,,291.70M,,0.0031,0.00,,0.0031,0.0031,,0.0031,0.00,,0.0031,0.0031,,331.66M,331.66M,0.01,,,
1989-02,277.90M,277.90M,,,,,,,,,277.90M,,,,,,,7.50M,,,7.50M,,277.90M,,277.90M,,0.0028,0.00,,0.0028,0.0028,,0.0028,0.00,,0.0028,0.0028,,331.66M,331.66M,0.01,,,
1988-11,349.30M,349.30M,,,,,,,,,-756.30M,,,,,,,17.30M,-0.90M,,16.40M,,-756.30M,,-756.30M,,,-0.0025,,,-0.0025,,,-0.0025,,,-0.0025,,360.45M,360.45M,0.0088,,,
1988-08,285.30M,285.30M,,,,,,,,,285.30M,,,,,,,11.00M,0.90M,,11.90M,,285.30M,,285.30M,,0.0038,0.0003,,0.0038,0.0041,,0.0038,0.0003,,0.0038,0.0041,,374.43M,374.43M,0.0088,,,
1988-05,277.20M,277.20M,,,,,,,,,277.20M,,,,,,,3.60M,,,3.60M,,277.20M,,277.20M,,0.0012,0.00,,0.0012,0.0012,,0.0012,0.00,,0.0012,0.0012,,374.43M,374.43M,0.0078,,,
1988-02,272.10M,272.10M,,,,,,,,,272.10M,,,,,,,4.40M,,,4.40M,,272.10M,,272.10M,,0.0008,0.00,,0.0008,0.0008,,0.0008,0.00,,0.0008,0.0008,,373.34M,373.34M,0.0078,,,
1987-11,324.50M,324.50M,,,,,,,,,-690.90M,,,,,,,14.70M,,,14.70M,,-690.90M,,-690.90M,,,,,,,,,,,,,,373.34M,373.34M,0.0078,,,
1987-08,261.20M,261.20M,,,,,,,,,261.20M,,,,,,,4.20M,,,4.20M,,261.20M,,261.20M,,0.0008,0.00,,0.0008,0.0008,,0.0008,0.00,,0.0008,0.0008,,384.45M,384.45M,0.0078,,,
1987-05,260.80M,260.80M,,,,,,,,,260.80M,,,,,,,7.40M,,,7.40M,,260.80M,,260.80M,,0.0012,0.00,,0.0012,0.0012,,0.0012,0.00,,0.0012,0.0012,,384.45M,384.45M,0.0078,,,
1987-02,232.00M,232.00M,,,,,,,,,232.00M,,,,,,,4.40M,,,4.40M,,232.00M,,232.00M,,0.0008,0.00,,0.0008,0.0008,,0.0008,0.00,,0.0008,0.0008,,384.45M,384.45M,0.0078,,,
1986-11,293.80M,293.80M,,,,,,,,,-615.00M,,,,,,,21.20M,,,21.20M,,-615.00M,,-615.00M,,,,,,,,,,,,,,385.92M,385.92M,0.0069,,,
1986-08,235.20M,235.20M,,,,,,,,,235.20M,,,,,,,3.00M,,,3.00M,,235.20M,,235.20M,,0.0008,0.00,,0.0008,0.0008,,0.0008,0.00,,0.0008,0.0008,,385.92M,385.92M,0.0069,,,
1986-05,223.50M,223.50M,,,,,,,,,223.50M,,,,,,,3.90M,,,3.90M,,223.50M,,223.50M,,0.0006,0.00,,0.0006,0.0006,,0.0006,0.00,,0.0006,0.0006,,390.50M,390.50M,0.0069,,,
1986-02,223.20M,223.20M,,,,,,,,,223.20M,,,,,,,4.20M,,,4.20M,,223.20M,,223.20M,,0.0008,0.00,,0.0008,0.0008,,0.0008,0.00,,0.0008,0.0008,,390.50M,390.50M,0.0069,,,
1985-11,267.20M,267.20M,,,,,,,,,-545.20M,,,,,,,16.90M,,,16.90M,,-545.20M,,-545.20M,,,,,,,,,,,,,,392.00M,392.00M,0.0069,,,
1985-08,205.70M,205.70M,,,,,,,,,205.70M,,,,,,,3.80M,,,3.80M,,205.70M,,205.70M,,0.0006,0.00,,0.0006,0.0006,,0.0006,0.00,,0.0006,0.0006,,390.69M,390.69M,0.0069,,,
1985-05,209.20M,209.20M,,,,,,,,,209.20M,,,,,,,3.50M,,,3.50M,,209.20M,,209.20M,,0.0006,0.00,,0.0006,0.0006,,0.0006,0.00,,0.0006,0.0006,,389.31M,389.31M,0.0069,,,
1985-02,190.90M,190.90M,,,,,,,,,190.90M,,,,,,,3.60M,,,3.60M,,190.90M,,190.90M,,0.0006,0.00,,0.0006,0.0006,,0.0006,0.00,,0.0006,0.0006,,393.22M,393.22M,0.0069,,,
1984-11,241.80M,241.80M,,,,,,,,,-481.40M,,,,,,,16.30M,,,16.30M,,-481.40M,,-481.40M,,,,,,,,,,,,,,389.31M,389.31M,,,,
1984-08,187.70M,187.70M,,,,,,,,,187.70M,,,,,,,4.20M,,,4.20M,,187.70M,,187.70M,,0.0008,0.00,,0.0008,0.0008,,0.0008,0.00,,0.0008,0.0008,,393.22M,393.22M,,,,
1984-05,186.90M,186.90M,,,,,,,,,186.90M,,,,,,,7.70M,,,7.70M,,186.90M,,186.90M,,0.0012,0.00,,0.0012,0.0012,,0.0012,0.00,,0.0012,0.0012,,393.22M,393.22M,,,,
1984-02,172.00M,172.00M,,,,,,,,,172.00M,,,,,,,26.40M,,,26.40M,,172.00M,,172.00M,,0.0042,0.00,,0.0042,0.0042,,0.0042,0.00,,0.0042,0.0042,,393.22M,393.22M,,,,
