,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2016-11,157.40M,,-11.90M,-10.40M,26.40M,26.40M,,,5.80M,-12.60M,,,,,,,174.90M,,335.70M,,-65.90M,0.80M,0.80M,-0.20M,,0.00,-65.30M,,6.00M,-168.20M,-162.20M,0.00,-63.80M,-63.80M,-54.20M,-54.20M,0.90M,0.00,-279.30M,,134.20M,-8.90M,-6.90M,118.40M,,0.00,6.00M,0.00,-63.80M,,AOR,Restated
2016-08,127.70M,,-8.10M,-8.10M,29.30M,29.30M,,,4.00M,4.00M,,,,,,,-49.70M,,109.70M,,-33.10M,-0.60M,-0.60M,1.90M,,1.40M,-30.40M,,-0.20M,46.10M,45.90M,0.00,-78.10M,-78.10M,-54.30M,-54.30M,10.50M,0.00,-76.00M,,131.50M,3.30M,-0.60M,134.20M,,0.00,0.00,-0.20M,-78.10M,,AOR,Restated
2016-05,93.80M,,-7.70M,-7.70M,26.60M,26.60M,,,12.80M,12.80M,,,,,,,0.00,,134.10M,,-32.40M,1.30M,1.30M,-118.10M,,,-149.20M,,-0.10M,123.00M,122.90M,,-53.00M,-53.00M,-54.70M,-54.70M,17.60M,-2.80M,30.00M,,111.80M,14.90M,4.80M,131.50M,,,,-0.10M,-53.00M,,AOR,Restated
2016-02,93.40M,,-8.40M,-8.40M,26.40M,26.40M,,,3.00M,3.00M,,,,,,,-43.70M,,78.60M,,-22.40M,0.20M,0.20M,0.00,,,-22.20M,,-201.70M,250.80M,49.10M,,-47.80M,-47.80M,-54.60M,-54.60M,7.80M,-0.70M,-46.20M,,112.60M,10.20M,-11.00M,111.80M,,,,-201.70M,-47.80M,,AOR,Restated
2015-11,149.20M,,-9.70M,-9.10M,27.20M,27.20M,,0.00,1.70M,-3.80M,,,,,,,67.40M,,273.40M,,-58.40M,0.10M,0.10M,0.00,,,-58.30M,,246.30M,-341.50M,-95.20M,,-73.50M,-73.50M,-51.20M,-51.20M,12.30M,,-212.90M,,108.40M,2.20M,2.00M,112.60M,,,246.50M,-0.20M,-73.50M,,AOR,Restated
2015-08,97.60M,,-9.70M,-9.70M,26.20M,26.20M,,9.60M,3.10M,12.70M,,,,,,,3.40M,,130.70M,,-27.30M,0.20M,0.20M,-99.40M,,,-126.50M,,-0.60M,65.90M,65.30M,,-2.40M,-2.40M,-51.20M,-51.20M,11.90M,,23.60M,,89.50M,27.80M,-8.90M,108.40M,,,0.50M,-1.10M,-2.40M,,AOR,Restated
2015-05,84.30M,,-7.40M,-7.40M,27.60M,27.60M,,,10.20M,10.20M,,,,,,,-38.20M,,90.00M,,-27.20M,0.10M,0.10M,-111.50M,,,-138.60M,,-0.10M,107.30M,107.20M,,-5.00M,-5.00M,-51.20M,-51.20M,2.90M,,53.90M,,81.80M,5.30M,2.40M,89.50M,,,,-0.10M,-5.00M,,AOR,Restated
2015-02,70.50M,,-9.90M,-9.90M,24.90M,24.90M,,,3.70M,3.70M,,,,,,,3.00M,,95.90M,,-15.50M,,,,,,-15.50M,,-0.20M,40.90M,40.70M,,-64.90M,-64.90M,-51.30M,-51.30M,11.30M,,-64.20M,,77.30M,16.20M,-11.70M,81.80M,,,,-0.20M,-64.90M,,AOR,Restated
2014-11,148.00M,,-9.30M,-8.00M,24.60M,24.60M,,0.00,3.10M,-9.90M,,,,,,,45.60M,,227.80M,,-54.70M,0.30M,0.30M,0.00,,,-54.40M,,-0.20M,-82.00M,-82.20M,,-65.90M,-65.90M,-47.70M,-47.70M,12.50M,,-183.30M,,93.80M,-9.90M,-6.60M,77.30M,,,0.00,-0.20M,-65.90M,,AOR,Restated
2014-08,122.90M,,-8.80M,-8.80M,24.60M,24.60M,,0.00,3.00M,3.00M,,,,,,,-48.20M,,93.70M,,-30.60M,0.10M,0.10M,0.00,,,-30.50M,,-0.20M,45.40M,45.20M,,-52.10M,-52.10M,-48.00M,-48.00M,3.10M,,-51.80M,,81.40M,11.40M,1.00M,93.80M,,,0.00,-0.20M,-52.10M,,AOR,Restated
2014-05,84.50M,,-6.20M,-6.20M,26.70M,26.70M,,,9.50M,9.50M,,,,,,,-17.50M,,105.40M,,-28.90M,0.20M,0.20M,0.00,,,-28.70M,,-0.80M,25.90M,25.10M,,-69.40M,-69.40M,-48.10M,-48.10M,7.20M,,-85.20M,,89.40M,-8.50M,0.50M,81.40M,,,,-0.80M,-69.40M,,AOR,Restated
2014-02,82.50M,,-5.10M,-5.10M,26.80M,26.80M,,,2.60M,2.60M,,,,,,,-34.10M,,76.70M,,-18.50M,0.50M,0.50M,,,,-18.00M,,-0.40M,68.40M,68.00M,,-56.90M,-56.90M,-48.60M,-48.60M,8.90M,,-28.60M,,63.00M,30.10M,-3.70M,89.40M,,,,-0.40M,-56.90M,,AOR,Restated
2013-11,130.00M,,-6.90M,8.70M,29.10M,29.10M,,,2.60M,2.50M,,,,,,,56.50M,,237.80M,,-45.90M,0.50M,0.50M,-12.30M,,,-57.70M,,-250.20M,103.70M,-146.50M,,-85.30M,-85.30M,-44.90M,-44.90M,11.90M,,-264.80M,,146.80M,-84.70M,0.90M,63.00M,,,0.00,-250.20M,-85.30M,,AOR,Restated
2013-08,104.40M,,-4.90M,-4.90M,25.20M,25.20M,,,3.60M,3.60M,,,,,,,-34.40M,,94.70M,,-19.40M,0.10M,0.10M,-13.30M,,,-32.60M,,245.90M,-190.70M,55.20M,,0.00,0.00,-44.90M,-44.90M,3.00M,,13.30M,,72.10M,75.40M,-0.70M,146.80M,,,246.20M,-0.30M,0.00,,AOR,Restated
2013-05,78.60M,,-6.00M,-6.00M,25.50M,25.50M,,,9.70M,9.70M,,,,,,,-7.50M,,101.10M,,-22.20M,0.00,0.00,-115.90M,,,-138.10M,,-0.50M,98.10M,97.60M,,-31.90M,-31.90M,-45.00M,-45.00M,19.30M,,40.00M,,68.60M,3.00M,0.50M,72.10M,,,,-0.50M,-31.90M,,AOR,Restated
2013-02,76.00M,,-5.40M,-5.40M,26.20M,26.20M,,,2.80M,2.80M,,,,,,,-69.80M,,31.60M,,-12.40M,1.90M,1.90M,-0.80M,,,-11.30M,,-0.40M,60.80M,60.40M,,-60.20M,-60.20M,-45.10M,-45.10M,10.50M,,-34.40M,,79.00M,-14.10M,3.70M,68.60M,,,,-0.40M,-60.20M,,AOR,Restated
2012-11,148.50M,,-7.50M,-6.70M,26.00M,26.00M,,,8.30M,8.30M,,,,,,,-3.10M,,198.70M,,-48.10M,0.60M,0.60M,0.00,,,-47.50M,,0.70M,-88.70M,-88.00M,,-34.00M,-34.00M,-41.10M,-41.10M,15.80M,,-147.30M,,72.20M,3.90M,2.90M,79.00M,,,0.80M,-0.10M,-34.00M,,AOR,Restated
2012-08,104.40M,,-5.50M,-5.50M,26.20M,26.20M,,,3.20M,3.20M,,,,,,,-19.30M,,111.90M,,-27.00M,0.40M,0.40M,0.00,,,-26.60M,,-0.40M,-13.20M,-13.60M,,-29.60M,-29.60M,-41.20M,-41.20M,7.70M,,-76.70M,,61.40M,8.60M,2.20M,72.20M,,,0.00,-0.40M,-29.60M,,AOR,Restated
2012-05,80.40M,,-3.90M,-3.90M,24.80M,24.80M,,,6.10M,6.10M,,,,,,,3.70M,,121.90M,,-20.10M,0.10M,0.10M,0.00,,,-20.00M,,0.00,-38.90M,-38.90M,,-26.30M,-26.30M,-41.00M,-41.00M,15.20M,,-91.00M,,54.40M,10.90M,-3.90M,61.40M,,,,0.00,-26.30M,,AOR,Restated
2012-02,74.50M,,-4.60M,-4.60M,25.80M,25.80M,,,2.60M,2.60M,,,,,,,-76.30M,,22.50M,,-15.10M,0.20M,0.20M,0.00,,,-14.90M,,-4.20M,64.20M,60.00M,,-42.30M,-42.30M,-41.40M,-41.40M,14.40M,,-9.30M,,53.90M,-1.70M,2.20M,54.40M,,,,-4.20M,-42.30M,,AOR,Restated
2011-11,131.80M,,-18.10M,-17.30M,25.10M,25.10M,,,2.60M,2.60M,,,,,,,57.90M,,254.30M,,-37.90M,-0.10M,-0.10M,-402.20M,,,-440.20M,,-0.60M,217.00M,216.40M,,-0.10M,-0.10M,,-37.10M,12.50M,,191.70M,,52.20M,5.80M,-4.10M,53.90M,,,0.50M,-1.10M,-0.10M,,AOR,Restated
2011-08,92.00M,,-3.80M,-3.80M,24.70M,24.70M,,,2.80M,2.80M,,,,,,,-66.30M,,49.40M,,-25.40M,0.40M,0.40M,-39.20M,,,-64.20M,,149.40M,-108.20M,41.20M,,0.00,0.00,,-37.10M,14.40M,,18.50M,,47.90M,3.70M,0.60M,52.20M,,,141.50M,-100.00M,0.00,,AOR,Restated
2011-05,73.60M,,3.10M,3.10M,24.80M,24.80M,,,5.50M,5.50M,,,,,,,-47.60M,,59.40M,,-19.20M,0.30M,0.30M,,,,-18.90M,,2.10M,14.30M,16.40M,,-38.90M,-38.90M,,-37.10M,14.00M,,-45.60M,,40.60M,-5.10M,12.40M,47.90M,,,110.00M,0.00,-38.90M,,AOR,Restated
2011-02,76.80M,,-6.60M,-6.60M,23.70M,23.70M,,,2.10M,2.10M,,,,,,,-119.10M,,-23.10M,,-14.20M,0.00,0.00,,,,-14.20M,,0.00,93.60M,93.60M,,-50.30M,-50.30M,,-37.20M,17.10M,,23.20M,,50.80M,-14.10M,3.90M,40.60M,,,,0.00,-50.30M,,AOR,Restated
2010-11,133.70M,,28.90M,3.30M,25.00M,25.00M,,,2.20M,2.20M,,,,,,,67.60M,,242.30M,,-36.50M,0.10M,0.10M,-46.90M,,,-83.30M,,-0.10M,-97.20M,-97.30M,,-44.30M,-44.30M,,-34.50M,27.70M,,-148.40M,,23.60M,10.60M,16.60M,50.80M,,,0.00,-0.10M,-44.30M,,AOR,Restated
2010-08,102.30M,,-5.50M,-5.50M,24.20M,24.20M,,,2.20M,2.20M,,,,,,,-43.20M,,80.00M,,-20.10M,5.90M,5.90M,0.00,,,-14.20M,,-0.10M,-30.50M,-30.60M,,-31.80M,-31.80M,,-34.70M,16.20M,,-80.90M,,23.10M,-15.10M,15.60M,23.60M,,,-28.10M,-0.10M,-31.80M,,AOR,Restated
2010-05,66.30M,,0.10M,0.10M,22.80M,22.80M,,,5.50M,5.50M,,,,,,,-24.40M,,70.30M,,-23.40M,0.00,0.00,,,,-23.40M,,-14.10M,-0.80M,-14.90M,,-6.40M,-6.40M,,-34.60M,15.70M,,-40.20M,,21.90M,6.70M,-5.50M,23.10M,,,28.10M,-43.00M,-6.40M,,AOR,Restated
2010-02,67.90M,,-5.50M,-5.50M,23.10M,23.10M,,,2.00M,2.00M,,,,,,,-92.60M,,-5.10M,,-9.00M,0.20M,0.20M,,,,-8.80M,,-0.10M,28.90M,28.80M,,0.00,0.00,,-34.40M,14.00M,,8.40M,,39.50M,-5.50M,-12.10M,21.90M,,,,28.80M,0.00,,AOR,Restated
2009-11,116.30M,,-15.90M,-15.60M,24.70M,24.70M,,,2.20M,0.40M,,,,,,,58.20M,,220.70M,,-28.60M,0.10M,0.10M,,,,-28.50M,,-0.20M,-172.60M,-172.80M,,0.00,0.00,,-31.40M,22.10M,,-182.10M,,27.90M,10.10M,1.50M,39.50M,,,0.00,-172.80M,0.00,,AOR,Restated
2009-08,82.10M,,-9.50M,-9.50M,22.50M,22.50M,,,2.70M,2.70M,,,,,,,0.60M,,98.40M,,-17.20M,0.10M,0.10M,,,,-17.10M,,-0.10M,-46.40M,-46.50M,,0.00,0.00,,-31.40M,6.50M,,-71.40M,,12.90M,9.90M,5.10M,27.90M,,,-17.20M,-29.30M,0.00,,AOR,Restated
2009-05,43.70M,,8.30M,8.30M,27.10M,27.10M,,,5.10M,11.00M,,,,,,,22.60M,,110.00M,,-21.20M,0.40M,0.40M,,,,-20.80M,,-50.00M,-24.40M,-74.40M,,0.00,0.00,,-31.40M,3.00M,,-102.80M,,23.40M,-13.60M,3.10M,12.90M,,,-24.40M,-50.00M,0.00,,AOR,Restated
2009-02,57.70M,,0.80M,0.80M,20.00M,20.00M,,,2.70M,-3.20M,,,,,,,-91.30M,,-13.30M,,-15.40M,0.00,0.00,,,,-15.40M,,-0.10M,41.60M,41.50M,,,,,-31.20M,4.20M,,14.50M,,38.90M,-14.20M,-1.30M,23.40M,,,41.60M,-0.10M,,,,Restated
2008-11,82.40M,,,-37.90M,21.00M,21.00M,,,,-1.60M,,,,,,89.50M,97.00M,,199.30M,,-29.10M,3.30M,60.00M,17.50M,,-14.00M,-22.30M,,,,-120.00M,-47.60M,-1.70M,-49.30M,,-28.00M,,,-148.50M,,30.30M,28.50M,-19.90M,38.90M,,-47.60M,,,-1.70M,,,Restated
2008-08,68.60M,,,6.40M,20.50M,20.50M,,,,-8.10M,,,,,,-64.80M,-64.80M,,22.60M,,-16.50M,0.00,-16.50M,-619.00M,,14.00M,-621.50M,,,,587.10M,28.90M,-9.30M,19.60M,,-29.00M,,,577.70M,,47.30M,-21.20M,4.20M,30.30M,,28.90M,,,-9.30M,,,
2008-05,53.40M,,,-4.70M,21.70M,21.70M,,,,19.40M,,,,,,-21.40M,-21.40M,,68.40M,,-22.90M,14.70M,-8.20M,-1.40M,,,-9.60M,,,,-26.50M,12.70M,,12.70M,,-28.30M,,,-42.10M,,24.40M,16.70M,6.20M,47.30M,,12.70M,,,,,,
2008-02,51.40M,,,-5.30M,22.40M,22.40M,,,,3.70M,,,,,,-47.90M,-47.90M,,24.30M,,-17.30M,0.10M,-17.20M,-76.40M,,,-93.60M,,,,68.50M,6.00M,,6.00M,,-28.20M,,,46.30M,,45.90M,-23.00M,1.50M,24.40M,,6.00M,,,,,,
2007-11,87.60M,,,4.607M,21.21M,21.21M,,,,3.911M,,,,,,139.51M,96.21M,,201.54M,,-27.87M,1.489M,-26.38M,0.043M,,,-26.34M,,,,-157.80M,8.882M,-10.17M,-1.29M,,-25.50M,,,-184.59M,,45.72M,-9.389M,9.608M,45.90M,,8.882M,,,-10.17M,,,
2007-08,56.85M,,,-4.63M,21.47M,21.47M,,,,4.049M,,,,,,-46.80M,-46.80M,,30.94M,,-15.83M,0.011M,-15.82M,-12.82M,,,-28.63M,,,,108.39M,6.232M,-89.29M,-83.06M,,-25.96M,,,-0.63M,,40.47M,1.682M,3.573M,45.72M,,6.232M,,,-89.29M,,,
2007-05,41.42M,,,5.119M,20.04M,20.04M,,,,8.81M,,,,,,-8.281M,-8.281M,,67.11M,,-19.35M,0.05M,-19.30M,-0.086M,,,-19.39M,,,,9.896M,11.19M,-46.57M,-35.38M,,-26.08M,,,-51.56M,,38.58M,-3.84M,5.727M,40.47M,,11.19M,,,-46.57M,,,
2007-02,44.23M,,,-6.196M,19.88M,19.88M,,,,4.63M,,,,,,-137.64M,-137.64M,,-75.09M,,-15.46M,0.05M,-15.41M,-3.041M,,,-18.45M,,,,105.01M,16.69M,-10.97M,5.727M,,-26.06M,,,84.68M,,49.04M,-8.853M,-1.608M,38.58M,,16.69M,,,-10.97M,,,
2006-11,83.10M,,,5.823M,23.02M,23.02M,,,,4.40M,,,,,,111.89M,100.49M,,190.83M,,-33.05M,5.721M,-27.33M,0.016M,,-9.236M,-27.35M,,,,-70.71M,12.43M,-67.95M,-55.52M,,-23.58M,,,-149.80M,,37.71M,13.68M,-2.425M,49.00M,,12.43M,,,-67.95M,,,
2006-08,43.07M,,,-4.651M,21.82M,21.82M,,,,5.747M,,,,,,-24.67M,-24.67M,,41.32M,,-20.42M,0.081M,-20.33M,-102.62M,,-10.76M,-133.71M,,,,101.45M,8.835M,-27.56M,-18.72M,,-23.71M,,,59.02M,,74.07M,-33.38M,-2.979M,37.71M,,8.835M,,,-27.56M,,,
2006-05,61.64M,,,-22.19M,21.37M,21.37M,,,,4.603M,,,,,,23.71M,23.71M,,89.14M,,-15.88M,0.166M,-15.72M,,,20.00M,4.281M,,,,-4.781M,18.44M,-47.58M,-29.14M,,-23.83M,,,-57.74M,,31.58M,35.68M,6.813M,74.07M,,18.44M,,,-47.58M,,,
2006-02,14.39M,,,-7.28M,18.08M,18.08M,,,,10.15M,,,,,,-45.83M,-45.83M,,-10.49M,,-15.45M,0.132M,-15.32M,,,,-15.32M,,,,51.23M,6.793M,-12.82M,-6.023M,,-23.88M,,,21.33M,,30.26M,-4.475M,5.791M,31.58M,,6.793M,,,-12.82M,,,
2005-11,88.10M,,,11.88M,20.38M,20.38M,,,,,,,,,,34.37M,72.07M,,198.34M,,-20.97M,1.664M,-19.30M,,,,-24.80M,,,,-124.90M,3.944M,-44.32M,-40.38M,,-21.38M,,,-186.66M,,46.12M,-13.13M,-2.653M,30.30M,,3.944M,,,-44.32M,,,
2005-08,47.97M,,,-3.047M,18.73M,18.73M,,,,,,,,,,3.635M,3.635M,,67.28M,,-15.52M,0.148M,-15.37M,,,,-15.37M,,,,2.965M,12.07M,-20.55M,-8.475M,,-21.48M,,,-26.99M,,20.10M,24.92M,1.097M,46.12M,,12.07M,,,-20.55M,,,
2005-05,42.79M,,,0.718M,17.85M,17.85M,,,,,,,,,,8.146M,8.146M,,69.51M,,-16.33M,0.464M,-15.87M,,,,-15.87M,,,,29.02M,15.34M,-75.49M,-60.16M,,-21.62M,,,-52.76M,,24.39M,0.882M,-5.18M,20.10M,,15.34M,,,-75.49M,,,
2005-02,36.04M,,,-0.956M,17.64M,17.64M,,,,,,,,,,-55.65M,-55.65M,,-2.93M,,-13.98M,0.024M,-13.96M,,,,-13.96M,,,,25.32M,13.65M,-45.24M,-31.59M,,-21.71M,,,-27.99M,,70.34M,-44.88M,-1.064M,24.39M,,13.65M,,,-45.24M,,,
2004-11,87.34M,,,-8.691M,18.57M,18.57M,,,,,,,,,,91.53M,122.73M,,218.25M,,-17.57M,0.829M,-16.74M,,,,-91.24M,,,,-24.72M,14.55M,-65.36M,-50.81M,,-19.14M,,,-94.68M,,25.91M,32.34M,12.09M,70.30M,,14.55M,,,-65.36M,,,
2004-08,46.20M,,,-1.724M,18.72M,18.72M,,,,,,,,,,-18.58M,-18.58M,,44.61M,,-17.48M,0.70M,-16.78M,,,,-16.78M,,,,23.18M,7.174M,-27.70M,-20.52M,,-19.19M,,,-16.54M,,16.12M,11.30M,-1.514M,25.91M,,7.174M,,,-27.70M,,,
2004-05,42.85M,,,-0.924M,18.46M,18.46M,,,,,,,,,,11.45M,11.45M,,71.85M,,-14.71M,0.396M,-14.31M,,,,-14.31M,,,,12.93M,21.18M,-67.98M,-46.80M,,-19.32M,,,-53.19M,,17.74M,4.344M,-5.954M,16.12M,,21.18M,,,-67.98M,,,
2004-02,38.11M,,,-3.261M,16.24M,16.24M,,,,,,,,,,-43.40M,-43.40M,,7.687M,,-12.95M,0.875M,-12.07M,,,,-12.07M,,,,7.911M,10.09M,-12.76M,-2.669M,,-19.24M,,,-13.99M,,25.14M,-18.38M,10.97M,17.74M,,10.09M,,,-12.76M,,,
2003-11,72.80M,,,-8.459M,18.35M,18.35M,,,,,,,,,,101.44M,78.24M,-0.115M,176.41M,,-35.28M,-137.60M,-172.88M,-3.383M,,133.89M,-42.37M,,,,-49.41M,12.36M,-80.03M,-67.67M,,-16.63M,,,-133.72M,,12.18M,0.325M,12.62M,25.10M,,12.36M,,,-80.03M,,,
