,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2016-06,5.08B,5.08B,3.419B,1.661B,897.00M,149.00M,,57.00M,-57.00M,1.046B,615.00M,57.00M,-57.00M,-5.00M,-57.00M,553.00M,61.00M,492.00M,,-1.00M,491.00M,491.00M,844.00M,234.00M,610.00M,,1.08,,1.08,1.08,,1.07,,1.07,1.07,,457.00M,458.30M,0.57,,AOR,Restated
2016-03,4.813B,4.813B,3.291B,1.522B,892.00M,149.00M,,57.00M,-57.00M,1.041B,481.00M,57.00M,-57.00M,18.00M,-57.00M,442.00M,39.00M,403.00M,,1.00M,404.00M,404.00M,732.00M,233.00M,499.00M,,0.88,,0.88,0.88,,0.88,,0.88,0.88,,458.60M,459.80M,0.57,,AOR,Restated
2015-12,5.057B,5.057B,3.439B,1.618B,873.00M,153.00M,,57.00M,-57.00M,1.026B,592.00M,57.00M,-57.00M,8.00M,-57.00M,543.00M,16.00M,527.00M,,,525.00M,525.00M,833.00M,233.00M,600.00M,,1.15,,1.15,1.15,,1.15,,1.15,1.15,,461.60M,462.90M,0.55,,AOR,Restated
2015-09,5.203B,5.203B,3.597B,1.606B,907.00M,156.00M,,59.00M,-59.00M,1.063B,543.00M,59.00M,-59.00M,3.00M,-59.00M,487.00M,42.00M,445.00M,,1.00M,446.00M,446.00M,778.00M,232.00M,546.00M,,0.96,,0.96,0.96,,0.96,,0.96,0.96,,465.10M,466.40M,0.55,,AOR,Restated
2015-06,5.372B,5.372B,3.675B,1.697B,901.00M,158.00M,,59.00M,-59.00M,1.059B,638.00M,59.00M,-59.00M,19.00M,-59.00M,598.00M,63.00M,535.00M,,0.00,535.00M,535.00M,891.00M,234.00M,657.00M,,1.14,,1.14,1.14,,1.14,,1.14,1.14,,467.60M,469.20M,0.55,,AOR,Restated
2015-03,5.223B,5.223B,3.593B,1.63B,915.00M,158.00M,,57.00M,-57.00M,1.073B,557.00M,57.00M,-57.00M,5.00M,-57.00M,505.00M,38.00M,467.00M,,-1.00M,466.00M,466.00M,788.00M,226.00M,562.00M,,1.00,,1.00,1.00,,0.99,,0.99,0.99,,467.90M,470.00M,0.55,,AOR,Restated
2014-12,5.565B,5.565B,3.847B,1.718B,903.00M,154.00M,0.00,54.00M,-54.00M,1.057B,661.00M,54.00M,-54.00M,2.00M,-54.00M,609.00M,24.00M,585.00M,,-4.00M,581.00M,581.00M,903.00M,240.00M,663.00M,,1.24,,1.24,1.24,,1.23,,1.23,1.23,,469.90M,472.60M,0.49,,AOR,Restated
2014-09,5.728B,5.728B,3.916B,1.812B,961.00M,163.00M,0.00,56.00M,-56.00M,1.124B,688.00M,56.00M,-56.00M,10.00M,-56.00M,642.00M,37.00M,605.00M,,-3.00M,602.00M,602.00M,942.00M,244.00M,698.00M,,1.27,,1.27,1.27,,1.26,,1.26,1.26,,474.80M,477.20M,0.49,,AOR,Restated
2014-06,5.767B,5.767B,4.025B,1.742B,984.00M,168.00M,-644.00M,55.00M,-55.00M,1.152B,590.00M,55.00M,-55.00M,-478.00M,-55.00M,57.00M,-115.00M,172.00M,,-1.00M,171.00M,589.60M,362.00M,250.00M,112.00M,,0.36,,1.240,0.36,,0.36,,1.235,0.36,,475.90M,478.50M,0.49,,AOR,Restated
2014-03,5.492B,5.492B,3.858B,1.634B,962.00M,162.00M,,62.00M,-62.00M,1.124B,510.00M,62.00M,-62.00M,5.00M,-62.00M,453.00M,12.00M,441.00M,,-2.00M,439.00M,439.00M,764.00M,249.00M,515.00M,,0.92,,0.92,0.92,,0.92,,0.92,0.92,,475.80M,478.80M,0.49,,AOR,Restated
2013-12,5.527B,5.527B,3.881B,1.646B,1.001B,165.00M,0.00,62.00M,-62.00M,1.166B,480.00M,62.00M,-62.00M,11.00M,-62.00M,429.00M,-53.00M,482.00M,,-3.00M,479.00M,479.00M,748.00M,257.00M,491.00M,,1.01,,1.01,1.01,,1.00,,1.00,1.00,,474.70M,478.20M,0.42,,AOR,Restated
2013-09,5.607B,5.607B,3.883B,1.724B,967.00M,166.00M,0.00,63.00M,-63.00M,1.133B,591.00M,63.00M,-63.00M,-7.00M,-63.00M,521.00M,7.00M,514.00M,,-4.00M,510.00M,510.00M,834.00M,250.00M,584.00M,,1.08,,1.08,1.08,,1.07,,1.07,1.07,,474.00M,477.20M,0.42,,AOR,Restated
2013-06,5.602B,5.602B,3.87B,1.732B,960.00M,161.00M,0.00,71.00M,-71.00M,1.121B,611.00M,71.00M,-71.00M,-6.00M,-71.00M,534.00M,37.00M,497.00M,,-3.00M,494.00M,494.00M,850.00M,245.00M,605.00M,,1.04,,1.04,1.04,,1.04,,1.04,1.04,,473.40M,476.30M,0.42,,AOR,Restated
2013-03,5.31B,5.31B,3.735B,1.575B,958.00M,152.00M,,75.00M,-75.00M,1.11B,465.00M,75.00M,-75.00M,10.00M,-75.00M,400.00M,20.00M,380.00M,,-2.00M,378.00M,378.00M,720.00M,245.00M,475.00M,,0.80,,0.80,0.80,,0.79,,0.79,0.79,,471.90M,475.10M,0.42,,AOR,Restated
2012-12,4.333B,4.333B,3.132B,1.201B,815.00M,126.00M,,108.00M,-108.00M,941.00M,260.00M,108.00M,-108.00M,-64.00M,-108.00M,88.00M,-92.00M,180.00M,,-1.00M,179.00M,179.00M,375.00M,179.00M,196.00M,,0.47,,0.47,0.47,,0.46,,0.46,0.46,,381.10M,384.50M,0.38,,AOR,Restated
2012-09,3.95B,3.95B,2.747B,1.203B,687.00M,102.00M,,42.00M,-42.00M,789.00M,414.00M,42.00M,-42.00M,4.00M,-42.00M,376.00M,29.00M,347.00M,,-2.00M,345.00M,345.00M,559.00M,141.00M,418.00M,,1.02,,1.02,1.02,,1.02,,1.02,1.02,,337.60M,339.80M,0.38,,AOR,Restated
2012-06,4.068B,4.068B,2.815B,1.253B,690.00M,106.00M,,30.00M,-30.00M,796.00M,457.00M,30.00M,-30.00M,-8.00M,-30.00M,419.00M,37.00M,382.00M,,0.00,382.00M,382.00M,587.00M,138.00M,449.00M,,1.13,,1.13,1.13,,1.12,,1.12,1.12,,337.00M,339.50M,0.38,,AOR,Restated
2012-03,3.96B,3.96B,2.754B,1.206B,702.00M,105.00M,,28.00M,-28.00M,807.00M,399.00M,28.00M,-28.00M,-3.00M,-28.00M,368.00M,57.00M,311.00M,,0.00,311.00M,311.00M,536.00M,140.00M,396.00M,,0.93,,0.93,0.93,,0.91,,0.91,0.91,,335.40M,339.80M,0.38,,AOR,Restated
2011-12,4.033B,4.033B,2.817B,1.216B,707.00M,101.00M,,26.00M,-26.00M,808.00M,408.00M,26.00M,-26.00M,8.00M,-26.00M,390.00M,29.00M,361.00M,,1.00M,362.00M,362.00M,553.00M,137.00M,416.00M,,1.08,,1.08,1.08,,1.07,,1.07,1.07,,334.10M,338.00M,0.34,,AOR,Restated
2011-09,4.123B,4.123B,2.90B,1.223B,668.00M,104.00M,10.00M,29.00M,-29.00M,772.00M,451.00M,29.00M,-29.00M,10.00M,-29.00M,432.00M,65.00M,367.00M,,-2.00M,365.00M,356.50M,600.00M,139.00M,461.00M,,1.07,0.00,1.045,1.07,,1.07,0.00,1.045,1.07,,338.10M,341.90M,0.34,,AOR,Restated
2011-06,4.09B,4.09B,2.862B,1.228B,698.00M,107.00M,4.00M,31.00M,-31.00M,805.00M,423.00M,31.00M,-31.00M,4.00M,-31.00M,396.00M,58.00M,338.00M,,-2.00M,336.00M,332.59M,568.00M,141.00M,427.00M,,0.99,0.00,0.9800,0.99,,0.97,0.00,0.9601,0.97,,340.90M,345.70M,0.34,,AOR,Restated
2011-03,3.803B,3.803B,2.682B,1.121B,665.00M,105.00M,16.00M,32.00M,-32.00M,770.00M,351.00M,32.00M,-32.00M,16.00M,-32.00M,335.00M,49.00M,286.00M,,1.00M,287.00M,273.34M,506.00M,139.00M,367.00M,,0.84,0.00,0.7998,0.84,,0.83,0.00,0.7905,0.83,,340.10M,345.70M,0.34,,AOR,Restated
2010-12,3.663B,3.663B,2.565B,1.098B,644.00M,117.00M,,34.00M,-34.00M,761.00M,337.00M,34.00M,-34.00M,-10.00M,-34.00M,293.00M,10.00M,283.00M,,-3.00M,280.00M,280.00M,465.00M,138.00M,327.00M,,0.83,,0.83,0.83,,0.83,,0.83,0.83,,337.90M,337.90M,0.29,,AOR,Restated
2010-09,3.571B,3.571B,2.48B,1.091B,651.00M,104.00M,2.00M,33.00M,-33.00M,755.00M,336.00M,33.00M,-33.00M,2.00M,-33.00M,305.00M,36.00M,269.00M,,-1.00M,268.00M,266.24M,474.00M,136.00M,338.00M,,0.80,0.00,0.7947,0.80,,0.78,0.00,0.7748,0.78,,335.20M,340.60M,0.29,,AOR,
2010-06,3.378B,3.378B,2.387B,991.00M,604.00M,103.00M,1.00M,,-34.00M,707.00M,284.00M,,-34.00M,1.00M,-34.00M,251.00M,22.00M,229.00M,,-3.00M,226.00M,225.09M,420.00M,136.00M,284.00M,,0.67,0.00,0.6673,0.67,,0.66,0.00,0.6573,0.66,,334.70M,340.40M,0.25,,AOR,Restated
2010-03,3.103B,3.103B,2.201B,902.00M,587.00M,101.00M,8.00M,35.00M,-35.00M,688.00M,214.00M,35.00M,-35.00M,8.00M,-35.00M,187.00M,31.00M,156.00M,,-1.00M,155.00M,148.33M,363.00M,141.00M,222.00M,,0.46,0.00,0.4400,0.46,,0.46,0.00,0.4403,0.46,,334.20M,339.20M,0.25,,AOR,Restated
2009-12,3.131B,3.131B,2.241B,890.00M,587.00M,103.00M,-14.00M,,-34.00M,690.00M,200.00M,,-34.00M,-14.00M,-34.00M,170.00M,-42.00M,212.00M,,-1.00M,211.00M,220.10M,339.00M,144.00M,195.00M,,0.645,0.00,0.6726,0.645,,0.63,0.00,0.6572,0.63,,329.40M,334.00M,0.25,,AOR,Restated
2009-09,3.028B,3.028B,2.178B,850.00M,553.00M,99.00M,6.00M,38.00M,-38.00M,652.00M,198.00M,38.00M,-38.00M,6.00M,-38.00M,166.00M,-28.00M,194.00M,,-1.00M,193.00M,189.10M,352.00M,148.00M,204.00M,,0.58,0.00,0.5683,0.58,,0.57,0.00,0.5585,0.57,,334.00M,338.40M,0.25,,AOR,Restated
2009-06,2.901B,2.901B,2.189B,712.00M,554.00M,95.00M,8.00M,41.00M,-41.00M,649.00M,63.00M,41.00M,-41.00M,8.00M,-41.00M,30.00M,-1.00M,31.00M,,-2.00M,29.00M,23.80M,213.00M,142.00M,71.00M,,0.085,0.00,0.0694,0.085,,0.085,0.00,0.0695,0.085,,333.80M,335.20M,0.25,,AOR,Restated
2009-03,2.813B,2.813B,2.174B,639.00M,558.00M,98.00M,-9.00M,37.00M,-37.00M,656.00M,-17.00M,37.00M,-37.00M,-9.00M,-37.00M,-63.00M,-11.00M,-52.00M,,2.00M,-50.00M,-42.57M,113.00M,139.00M,-26.00M,,-0.15,0.00,-0.1276,-0.15,,-0.15,0.00,-0.1276,-0.15,,332.20M,332.20M,0.25,,AOR,Restated
2008-12,3.487B,3.487B,2.626B,861.00M,598.00M,100.00M,21.00M,,,698.00M,163.00M,,,21.00M,,146.00M,-29.00M,175.00M,0.00,,163.00M,149.35M,299.00M,136.00M,163.00M,,0.475,0.00,0.4338,0.475,,0.475,0.00,0.4341,0.475,,331.20M,333.60M,0.25,,AOR,Restated
2008-09,4.114B,4.114B,2.964B,1.15B,659.00M,117.00M,17.00M,,,776.00M,374.00M,,,17.00M,,354.00M,39.00M,315.00M,,,315.00M,299.87M,529.00M,155.00M,374.00M,,0.95,0.00,0.9045,0.95,,0.935,0.00,0.8901,0.935,,332.40M,336.80M,0.25,,,
2008-06,4.279B,4.279B,3.069B,1.21B,704.00M,111.00M,7.00M,,-44.00M,815.00M,395.00M,,-44.00M,7.00M,-44.00M,358.00M,21.00M,337.00M,0.00,-4.00M,333.00M,326.41M,549.00M,154.00M,395.00M,,1.035,0.00,1.015,1.035,,1.015,0.00,0.9949,1.015,,322.40M,327.20M,0.25,,,Restated
2008-03,3.496B,3.496B,2.532B,964.00M,552.00M,89.00M,4.00M,38.00M,-38.00M,641.00M,323.00M,38.00M,-38.00M,4.00M,-38.00M,289.00M,42.00M,247.00M,3.00M,-3.00M,247.00M,240.58M,453.00M,126.00M,327.00M,,0.825,0.01,0.8134,0.835,,0.81,0.01,0.7986,0.82,,295.40M,301.00M,0.25,,,Restated
2007-12,3.374B,3.374B,2.428B,946.00M,581.00M,77.00M,26.00M,,,658.00M,288.00M,,,26.00M,,259.00M,7.00M,252.00M,4.00M,,256.00M,226.70M,413.00M,125.00M,288.00M,,0.855,0.015,0.7691,0.87,,0.835,0.015,0.7510,0.855,,294.60M,301.20M,0.215,,,Restated
2007-09,3.298B,3.298B,2.381B,917.00M,528.00M,88.00M,-1.00M,,,616.00M,301.00M,,,-1.00M,,263.00M,25.00M,238.00M,20.00M,,258.00M,238.90M,418.00M,117.00M,301.00M,,0.81,0.065,0.8131,0.875,,0.795,0.06,0.7980,0.855,,294.00M,300.80M,0.215,,,
2007-06,3.248B,3.248B,2.346B,902.00M,525.00M,88.00M,8.00M,,,613.00M,289.00M,,,8.00M,,256.00M,16.00M,240.00M,6.00M,,246.00M,232.50M,407.00M,118.00M,289.00M,,0.815,0.02,0.7896,0.835,,0.80,0.02,0.7750,0.82,,294.80M,300.60M,0.215,,,
2007-03,3.113B,3.113B,2.227B,886.00M,507.00M,80.00M,-6.00M,,,587.00M,299.00M,,,-6.00M,,229.00M,34.00M,229.00M,5.00M,,234.00M,234.11M,408.00M,109.00M,299.00M,,0.78,0.015,0.7973,0.795,,0.765,0.015,0.7820,0.78,,295.20M,300.00M,0.215,,,
2006-12,3.068B,3.068B,2.274B,794.00M,499.00M,72.00M,35.00M,,,571.00M,223.00M,,,35.00M,,234.00M,-3.00M,237.00M,4.00M,,241.00M,216.00M,335.00M,112.00M,223.00M,,0.795,0.015,0.7244,0.81,,0.785,0.015,0.7156,0.80,,297.40M,302.80M,0.195,,,
2006-09,3.083B,3.083B,2.289B,794.00M,467.00M,84.00M,3.00M,,,551.00M,243.00M,,,3.00M,,221.00M,11.00M,210.00M,38.00M,,248.00M,207.15M,351.00M,108.00M,243.00M,,0.70,0.125,0.6905,0.825,,0.69,0.12,0.6807,0.81,,301.00M,306.00M,0.195,,,
2006-06,3.125B,3.125B,2.262B,863.00M,495.00M,80.00M,9.00M,,,575.00M,288.00M,,,9.00M,,269.00M,21.00M,248.00M,5.00M,,253.00M,239.70M,396.00M,108.00M,288.00M,,0.815,0.02,0.7877,0.835,,0.80,0.02,0.7731,0.82,,303.40M,308.60M,0.175,,,
2006-03,2.991B,2.991B,2.149B,842.00M,479.00M,80.00M,-4.00M,,,559.00M,283.00M,,,-4.00M,,251.00M,45.00M,206.00M,2.00M,,208.00M,209.28M,389.00M,106.00M,283.00M,,0.685,0.005,0.6959,0.69,,0.675,0.005,0.6857,0.68,,300.80M,306.20M,0.175,,,
2005-12,2.672B,2.672B,1.936B,736.00M,445.00M,68.00M,21.00M,,,513.00M,223.00M,,,21.00M,,222.00M,27.00M,195.00M,15.00M,,210.00M,176.55M,332.00M,109.00M,223.00M,,0.655,0.05,0.5930,0.705,,0.64,0.05,0.5796,0.69,,297.40M,305.60M,0.155,,,
2005-09,2.767B,2.767B,1.983B,784.00M,438.00M,74.00M,-1.00M,,,512.00M,272.00M,,,-1.00M,,247.00M,50.00M,197.00M,2.00M,,199.00M,197.80M,373.00M,101.00M,272.00M,,0.66,0.005,0.6627,0.665,,0.645,0.005,0.6476,0.65,,298.20M,304.80M,0.155,,,
2005-06,2.834B,2.834B,2.039B,795.00M,446.00M,69.00M,9.00M,,,515.00M,280.00M,,,9.00M,,267.00M,58.00M,209.00M,,,209.00M,201.96M,379.00M,99.00M,280.00M,,0.70,0.00,0.6765,0.70,,0.685,0.00,0.6620,0.685,,299.60M,306.80M,0.155,,,
2005-03,2.654B,2.654B,1.913B,741.00M,419.00M,69.00M,5.00M,,,488.00M,253.00M,,,5.00M,,236.00M,49.00M,187.00M,,,187.00M,183.04M,353.00M,100.00M,253.00M,,0.61,0.00,0.5971,0.61,,0.595,0.00,0.5824,0.595,,306.20M,314.40M,0.155,,,
2004-12,2.528B,2.528B,1.819B,709.00M,427.00M,63.00M,-17.00M,,,490.00M,219.00M,,,-17.00M,,181.00M,6.00M,175.00M,,,183.00M,191.44M,321.00M,102.00M,219.00M,,0.565,0.03,0.6184,0.595,,0.55,0.03,0.6020,0.58,,308.00M,316.00M,0.135,,,
2004-09,2.543B,2.543B,1.836B,707.00M,406.00M,72.00M,2.00M,,,478.00M,229.00M,,,2.00M,,211.00M,41.00M,170.00M,,,170.00M,168.39M,329.00M,100.00M,229.00M,,0.56,0.00,0.5547,0.56,,0.545,0.00,0.5399,0.545,,305.60M,313.80M,0.135,,,
2004-06,2.403B,2.403B,1.726B,677.00M,389.00M,64.00M,-2.00M,,,453.00M,224.00M,,,-2.00M,,203.00M,42.00M,161.00M,,,161.00M,162.59M,322.00M,98.00M,224.00M,,0.53,0.00,0.5352,0.53,,0.515,0.00,0.5201,0.515,,304.20M,312.40M,0.135,,,
2004-03,2.238B,2.238B,1.621B,617.00M,361.00M,60.00M,-4.00M,,,421.00M,196.00M,,,-4.00M,,173.00M,39.00M,134.00M,,,134.00M,137.10M,296.00M,100.00M,196.00M,,0.435,0.00,0.4451,0.435,,0.425,0.00,0.4349,0.425,,306.20M,314.20M,0.0675,,,
2003-12,2.083B,2.083B,1.505B,578.00M,356.00M,55.00M,-3.00M,,,411.00M,167.00M,,,-3.00M,,145.00M,31.00M,114.00M,,,114.00M,116.36M,263.00M,96.00M,167.00M,,0.375,0.00,0.3827,0.375,,0.365,0.00,0.3725,0.365,,305.40M,313.00M,0.12,,,
2003-09,2.026B,2.026B,1.479B,547.00M,327.00M,57.00M,-1.00M,,,384.00M,163.00M,,,-1.00M,,142.00M,35.00M,107.00M,,,107.00M,107.75M,260.00M,97.00M,163.00M,,0.35,0.00,0.3525,0.35,,0.345,0.00,0.3474,0.345,,303.60M,309.00M,0.12,,,
2003-06,2.027B,2.027B,1.498B,529.00M,339.00M,56.00M,12.00M,,,395.00M,134.00M,,,12.00M,,122.00M,29.00M,93.00M,,,93.00M,83.85M,237.00M,103.00M,134.00M,,0.32,0.00,0.2885,0.32,,0.32,0.00,0.2889,0.32,,290.00M,294.00M,0.11,,,
2003-03,1.925B,1.925B,1.415B,510.00M,329.00M,55.00M,-3.00M,,,384.00M,126.00M,,,-3.00M,,99.00M,27.00M,72.00M,,,72.00M,74.18M,224.00M,98.00M,126.00M,,0.2525,0.00,0.2601,0.2525,,0.25,0.00,0.2576,0.25,,288.40M,288.40M,0.11,,,
2002-12,1.775B,1.775B,1.306B,469.00M,300.00M,47.00M,-6.00M,,,347.00M,122.00M,,,-6.00M,,92.00M,25.00M,67.00M,,,67.00M,71.37M,217.00M,95.00M,122.00M,,0.2375,0.00,0.2520,0.2375,,0.235,0.00,0.2495,0.235,,301.20M,301.20M,0.11,,,
2002-09,1.83B,1.83B,1.316B,514.00M,302.00M,51.00M,-3.00M,,,353.00M,161.00M,,,-3.00M,,132.00M,39.00M,93.00M,,,93.00M,95.11M,255.00M,94.00M,161.00M,,0.33,0.00,0.3375,0.33,,0.325,0.00,0.3323,0.325,,283.20M,287.60M,0.11,,,
2002-06,1.881B,1.881B,1.364B,517.00M,305.00M,50.00M,-8.00M,,,355.00M,162.00M,,,-8.00M,,127.00M,39.00M,88.00M,,,88.00M,93.54M,254.00M,92.00M,162.00M,,0.31,0.00,0.3292,0.31,,0.3025,0.00,0.3217,0.3025,,288.40M,288.40M,0.11,,,
