,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,256.00M,256.00M,236.00M,492.00M,4.092B,4.092B,1.065B,524.00M,1.164B,,2.753B,576.00M,,,7.913B,2.458B,,6.035B,,8.493B,-5.031B,3.462B,13.43B,5.05B,18.48B,296.00M,1.717B,23.95B,31.86B,,2.192B,2.192B,,2.192B,,932.00M,,932.00M,1.91B,5.387B,6.753B,,6.753B,486.00M,486.00M,1.528B,35.00M,986.00M,9.753B,15.14B,,,,,,,,16.69B,,AOR,Restated
2018-03,317.00M,317.00M,510.00M,827.00M,4.005B,4.005B,1.019B,523.00M,1.203B,,2.745B,552.00M,,,8.129B,2.531B,,6.135B,,8.666B,-5.123B,3.543B,13.70B,5.206B,18.90B,356.00M,1.736B,24.54B,32.67B,,2.203B,2.203B,,2.203B,,1.032B,,1.032B,1.861B,5.396B,6.845B,,6.845B,557.00M,557.00M,1.584B,38.00M,985.00M,9.971B,15.37B,,,,,,,,17.26B,,AOR,Restated
2017-12,561.00M,561.00M,534.00M,1.095B,3.943B,3.943B,953.00M,471.00M,1.196B,,2.62B,679.00M,,,8.337B,2.491B,,6.014B,,8.505B,-5.003B,3.502B,13.57B,5.265B,18.83B,253.00M,1.698B,24.29B,32.62B,,2.166B,2.166B,,2.166B,,584.00M,,584.00M,1.872B,5.075B,7.167B,,7.167B,538.00M,538.00M,1.588B,37.00M,965.00M,10.26B,15.33B,,4.00M,8.669B,11.99B,,,-3.404B,17.25B,,AOR,Restated
2017-09,791.00M,791.00M,843.00M,1.634B,3.962B,3.962B,959.00M,434.00M,1.167B,,2.457B,396.00M,,,8.449B,2.498B,,5.94B,,8.438B,-4.952B,3.486B,13.54B,5.354B,18.90B,264.00M,1.627B,24.28B,32.72B,,2.039B,2.039B,,2.039B,,1.499B,,1.499B,1.928B,5.90B,7.273B,,7.273B,327.00M,327.00M,1.694B,43.00M,895.00M,10.19B,16.09B,,,,,,,,16.59B,,AOR,Restated
2017-06,312.00M,312.00M,525.00M,837.00M,3.813B,3.813B,924.00M,432.00M,1.137B,,2.393B,444.00M,,,7.487B,2.455B,,5.934B,,8.389B,-4.859B,3.53B,13.48B,5.41B,18.89B,443.00M,1.007B,23.87B,31.36B,,1.885B,1.885B,,1.885B,,2.341B,,2.341B,1.745B,6.309B,6.264B,,6.264B,316.00M,316.00M,1.942B,42.00M,930.00M,9.452B,15.76B,,,,,,,,15.55B,,AOR,Restated
2017-03,222.00M,222.00M,301.00M,523.00M,3.673B,3.673B,884.00M,418.00M,1.14B,,2.344B,435.00M,,,6.975B,2.413B,,5.792B,,8.205B,-4.724B,3.481B,13.30B,5.441B,18.74B,439.00M,979.00M,23.64B,30.61B,,1.891B,1.891B,,1.891B,,1.536B,,1.536B,1.86B,5.557B,6.677B,,6.677B,319.00M,319.00M,1.919B,42.00M,940.00M,9.855B,15.41B,,,,,,,,15.16B,,AOR,Restated
2016-12,543.00M,543.00M,203.00M,746.00M,3.56B,3.56B,879.00M,395.00M,1.072B,,2.346B,381.00M,,,7.033B,2.369B,,5.67B,,8.039B,-4.596B,3.443B,13.20B,5.514B,18.72B,325.00M,960.00M,23.44B,30.48B,,1.718B,1.718B,,1.718B,,1.566B,,1.566B,1.822B,5.485B,6.711B,,6.711B,321.00M,321.00M,2.027B,44.00M,934.00M,9.993B,15.48B,,5.00M,7.555B,11.84B,,,-4.448B,14.95B,,AOR,Restated
2016-09,494.00M,494.00M,213.00M,707.00M,3.659B,3.659B,910.00M,431.00M,1.083B,,2.328B,393.00M,,,7.087B,,,,,,,3.506B,13.43B,5.689B,19.12B,412.00M,1.109B,24.15B,31.24B,,1.79B,1.79B,,1.79B,,551.00M,,551.00M,1.866B,4.595B,7.881B,,7.881B,366.00M,366.00M,1.961B,42.00M,988.00M,11.20B,15.79B,,,,,,,,15.40B,,AOR,Restated
2016-06,323.00M,323.00M,146.00M,469.00M,3.628B,3.628B,917.00M,430.00M,1.075B,,2.323B,406.00M,,,6.826B,,,,,,,3.551B,13.45B,5.795B,19.24B,413.00M,1.119B,24.33B,31.15B,,1.802B,1.802B,,1.802B,,809.00M,,809.00M,1.889B,4.816B,7.605B,,7.605B,365.00M,365.00M,1.987B,44.00M,1.017B,10.97B,15.79B,,,,,,,,15.32B,,AOR,Restated
2016-03,333.00M,333.00M,240.00M,573.00M,3.581B,3.581B,893.00M,459.00M,1.141B,,2.391B,468.00M,,,7.013B,,,,,,,3.583B,13.59B,5.947B,19.54B,380.00M,1.072B,24.57B,31.58B,,1.795B,1.795B,,1.795B,,1.073B,,1.073B,1.878B,5.022B,7.572B,,7.572B,395.00M,395.00M,2.023B,44.00M,1.008B,11.00B,16.02B,,,,,,,,15.52B,,AOR,Restated
2015-12,268.00M,268.00M,177.00M,445.00M,3.479B,3.479B,885.00M,412.00M,1.131B,,2.323B,369.00M,,,6.616B,2.383B,,5.501B,,7.884B,-4.319B,3.565B,13.48B,6.014B,19.49B,362.00M,960.00M,24.38B,31.00B,,1.758B,1.758B,,1.758B,,668.00M,,668.00M,1.833B,4.625B,7.746B,,7.746B,390.00M,390.00M,2.026B,45.00M,978.00M,11.14B,15.76B,,5.00M,7.346B,11.70B,,,-3.863B,15.19B,,AOR,Restated
2015-09,418.00M,418.00M,150.00M,568.00M,3.656B,3.656B,1.14B,242.00M,1.136B,,2.395B,410.00M,550.00M,,7.579B,,,,,,,3.59B,13.54B,6.139B,19.68B,246.00M,1.107B,24.62B,32.20B,,1.997B,1.997B,,1.997B,,842.00M,,842.00M,1.888B,5.10B,7.83B,,7.83B,820.00M,820.00M,2.041B,47.00M,997.00M,11.69B,16.79B,,,,,,,,15.37B,,AOR,Restated
2015-06,303.00M,303.00M,127.00M,430.00M,3.84B,3.84B,1.13B,279.00M,1.152B,,2.439B,382.00M,553.00M,,7.644B,,,,,,,3.68B,13.70B,6.282B,19.98B,250.00M,1.025B,24.94B,32.58B,,1.931B,1.931B,,1.931B,,981.00M,,981.00M,1.817B,5.056B,7.77B,,7.77B,876.00M,876.00M,2.059B,50.00M,1.015B,11.72B,16.78B,,,,,,,,15.75B,,AOR,Restated
2015-03,663.00M,663.00M,139.00M,802.00M,3.733B,3.733B,1.088B,295.00M,1.161B,,2.424B,405.00M,576.00M,,7.94B,,,,,,,3.634B,13.55B,6.317B,19.86B,220.00M,1.037B,24.76B,32.70B,,1.969B,1.969B,,1.969B,,1.511B,,1.511B,1.904B,5.666B,7.829B,,7.829B,881.00M,881.00M,2.036B,54.00M,1.02B,11.77B,17.43B,,,,,,,,15.21B,,AOR,Restated
2014-12,781.00M,781.00M,245.00M,1.026B,3.667B,3.667B,924.00M,422.00M,1.201B,,2.428B,386.00M,593.00M,,8.10B,2.343B,,5.621B,,7.964B,-4.214B,3.75B,13.89B,6.556B,20.45B,228.00M,1.002B,25.43B,33.53B,,1.94B,1.94B,,1.94B,,1.01B,,1.01B,1.985B,5.355B,8.024B,,8.024B,901.00M,901.00M,2.325B,53.00M,1.085B,12.34B,17.69B,,5.00M,7.078B,11.60B,,,-2.899B,15.79B,,AOR,Restated
2014-09,655.00M,655.00M,335.00M,990.00M,3.972B,3.972B,1.117B,324.00M,1.18B,,2.498B,390.00M,581.00M,,8.431B,,,,,,,3.702B,14.09B,6.739B,20.83B,241.00M,1.038B,25.81B,34.24B,,2.038B,2.038B,,2.038B,,413.00M,,413.00M,2.111B,4.986B,8.587B,,8.587B,1.035B,1.035B,1.845B,58.00M,1.141B,12.61B,17.59B,,,,,,,,16.59B,,AOR,Restated
2014-06,631.00M,631.00M,634.00M,1.265B,4.01B,4.01B,1.082B,343.00M,1.229B,,2.534B,477.00M,552.00M,,8.838B,,,,,,,3.793B,14.38B,6.976B,21.35B,242.00M,1.032B,26.42B,35.26B,,2.044B,2.044B,,2.044B,,418.00M,,418.00M,2.708B,5.543B,8.615B,,8.615B,1.047B,1.047B,1.89B,60.00M,1.121B,12.67B,18.22B,,,,,,,,16.98B,,AOR,Restated
2014-03,784.00M,784.00M,360.00M,1.144B,3.889B,3.889B,1.103B,323.00M,1.226B,,2.532B,564.00M,554.00M,,8.683B,,,,,,,3.806B,14.45B,7.078B,21.53B,257.00M,988.00M,26.58B,35.26B,,2.076B,2.076B,,2.076B,,324.00M,,324.00M,2.071B,4.805B,8.991B,,8.991B,1.296B,1.296B,1.894B,74.00M,1.165B,13.35B,18.15B,,,,,,,,17.04B,,AOR,Restated
2013-12,915.00M,915.00M,794.00M,1.709B,3.648B,3.648B,955.00M,428.00M,1.115B,,2.382B,415.00M,577.00M,,8.731B,2.461B,,5.504B,,7.965B,-4.132B,3.833B,14.50B,7.186B,21.68B,240.00M,1.006B,26.76B,35.49B,,1.96B,1.96B,,1.96B,,580.00M,,580.00M,1.913B,4.914B,8.969B,,8.969B,1.313B,1.313B,2.133B,72.00M,1.299B,13.71B,18.63B,,5.00M,6.866B,11.48B,,,-1.56B,16.79B,,AOR,Restated
2013-09,642.00M,642.00M,698.00M,1.34B,3.95B,3.95B,1.008B,400.00M,1.118B,,2.403B,669.00M,404.00M,,8.766B,,,,,,,3.757B,14.28B,7.231B,21.51B,328.00M,954.00M,26.55B,35.31B,,1.976B,1.976B,,1.976B,,664.00M,,664.00M,1.984B,5.054B,9.029B,,9.029B,1.513B,1.513B,2.534B,46.00M,1.065B,14.14B,19.20B,,,,,,,,16.07B,,AOR,Restated
2013-06,628.00M,628.00M,368.00M,996.00M,3.82B,3.82B,978.00M,421.00M,1.127B,,2.405B,560.00M,448.00M,,8.229B,,,,,,,3.749B,14.05B,7.186B,21.24B,1.169B,875.00M,27.03B,35.26B,,2.045B,2.045B,,2.045B,,690.00M,,690.00M,1.878B,4.981B,9.069B,,9.069B,2.301B,2.301B,2.541B,43.00M,934.00M,14.84B,19.83B,,,,,,,,15.39B,,AOR,Restated
2013-03,639.00M,639.00M,397.00M,1.036B,3.685B,3.685B,972.00M,417.00M,1.125B,,2.394B,622.00M,459.00M,,8.196B,,,,,,,3.841B,14.28B,6.664B,20.94B,1.103B,898.00M,26.78B,34.98B,,1.978B,1.978B,,1.978B,,653.00M,,653.00M,1.954B,4.903B,9.473B,,9.473B,2.007B,2.007B,2.522B,43.00M,862.00M,14.86B,19.77B,,,,,,,,15.17B,,AOR,Restated
2012-12,577.00M,577.00M,527.00M,1.104B,3.474B,3.474B,915.00M,423.00M,1.131B,,2.336B,421.00M,565.00M,,7.90B,2.095B,,5.522B,,7.617B,-3.831B,3.786B,14.44B,7.58B,22.02B,353.00M,1.748B,27.91B,35.81B,,1.879B,1.879B,,1.879B,,1.071B,,1.071B,2.103B,5.515B,9.765B,,9.765B,1.548B,1.548B,2.745B,65.00M,1.059B,15.12B,20.63B,,5.00M,5.805B,11.27B,,,-1.964B,15.11B,,AOR,Restated
2012-09,425.00M,425.00M,620.00M,1.045B,2.645B,2.645B,779.00M,305.00M,872.00M,,1.801B,,,704.00M,6.195B,,,,,,,2.794B,5.838B,2.253B,8.091B,1.064B,656.00M,12.60B,18.80B,,1.441B,1.441B,,1.441B,,415.00M,,415.00M,1.467B,3.708B,3.69B,,3.69B,569.00M,569.00M,2.154B,22.00M,437.00M,6.85B,10.56B,,,,,,,,8.22B,,AOR,Restated
2012-06,525.00M,525.00M,652.00M,1.177B,2.683B,2.683B,747.00M,279.00M,883.00M,,1.756B,,,750.00M,6.366B,,,,,,,2.675B,5.649B,2.218B,7.867B,1.024B,622.00M,12.19B,18.55B,,1.556B,1.556B,,1.556B,,695.00M,,695.00M,1.246B,3.83B,3.678B,,3.678B,416.00M,416.00M,2.126B,21.00M,546.00M,6.766B,10.60B,,,,,,,,7.937B,,AOR,Restated
2012-03,367.00M,367.00M,444.00M,811.00M,2.588B,2.588B,747.00M,291.00M,890.00M,,1.779B,,,704.00M,5.882B,,,,,,,2.66B,5.605B,2.192B,7.797B,1.057B,597.00M,12.11B,17.99B,,1.53B,1.53B,,1.53B,86.00M,86.00M,319.00M,405.00M,1.333B,3.565B,3.345B,,3.345B,450.00M,450.00M,2.151B,21.00M,528.00M,6.474B,10.04B,,,,,,,,7.933B,,AOR,Restated
2011-12,385.00M,385.00M,699.00M,1.084B,2.444B,2.444B,706.00M,272.00M,867.00M,,1.701B,199.00M,398.00M,,5.826B,1.525B,,4.669B,,6.194B,-3.592B,2.602B,5.537B,2.192B,7.729B,1.134B,582.00M,12.05B,17.87B,,1.491B,1.491B,,1.491B,,407.00M,,407.00M,1.319B,3.637B,3.366B,,3.366B,442.00M,442.00M,2.435B,23.00M,501.00M,6.744B,10.38B,,167.00M,5.103B,4.169B,,,-1.964B,7.469B,,AOR,Restated
2011-09,278.00M,278.00M,536.00M,814.00M,2.549B,2.549B,747.00M,243.00M,907.00M,,1.769B,,,601.00M,5.733B,,,,,,,2.537B,5.571B,2.253B,7.824B,971.00M,562.00M,11.89B,17.63B,,1.527B,1.527B,,1.527B,,407.00M,,407.00M,1.445B,3.78B,3.368B,,3.368B,456.00M,456.00M,1.816B,23.00M,461.00M,6.101B,9.881B,,,,,,,,7.723B,,AOR,Restated
2011-06,282.00M,282.00M,601.00M,883.00M,2.625B,2.625B,721.00M,255.00M,915.00M,,1.766B,,,643.00M,5.917B,,,,,,,2.589B,5.723B,2.36B,8.083B,961.00M,571.00M,12.20B,18.12B,,1.534B,1.534B,,1.534B,101.00M,101.00M,16.00M,117.00M,1.385B,3.403B,3.65B,,3.65B,499.00M,499.00M,1.861B,35.00M,521.00M,6.531B,9.934B,,,,,,,,8.152B,,AOR,Restated
2011-03,201.00M,201.00M,496.00M,697.00M,2.466B,2.466B,692.00M,245.00M,849.00M,,1.667B,,,640.00M,5.47B,,,,,,,2.523B,5.569B,2.304B,7.873B,960.00M,511.00M,11.87B,17.34B,,1.456B,1.456B,,1.456B,93.00M,93.00M,4.00M,97.00M,1.348B,3.201B,3.354B,,3.354B,495.00M,495.00M,1.948B,41.00M,515.00M,6.312B,9.513B,,,,,,,,7.783B,,AOR,Restated
2010-12,333.00M,333.00M,838.00M,1.171B,2.239B,2.239B,651.00M,229.00M,800.00M,,1.564B,229.00M,303.00M,,5.506B,0.00,1.494B,4.485B,,5.979B,-3.502B,2.477B,5.454B,2.272B,7.726B,1.001B,542.00M,11.75B,17.25B,,1.408B,1.408B,465.00M,1.873B,,76.00M,,76.00M,1.284B,3.233B,3.382B,,3.382B,487.00M,487.00M,2.172B,41.00M,575.00M,6.616B,9.849B,,170.00M,4.447B,4.093B,,,-1.348B,7.362B,,AOR,Restated
2010-06,249.00M,249.00M,538.00M,787.00M,2.126B,2.126B,635.00M,859.00M,,,1.386B,,563.00M,,4.862B,,,,,,,2.27B,5.125B,2.203B,7.328B,1.467B,,11.06B,15.93B,,1.229B,1.229B,350.00M,1.579B,,98.00M,,98.00M,1.321B,2.998B,3.378B,,3.378B,971.00M,971.00M,1.97B,40.00M,,6.319B,9.317B,,,,,,,,6.57B,,AOR,Restated
2010-03,151.00M,151.00M,338.00M,489.00M,2.052B,2.052B,614.00M,866.00M,,,1.374B,,565.00M,,4.48B,,,,,,,2.349B,5.304B,2.333B,7.637B,1.381B,,11.37B,15.85B,,1.135B,1.135B,286.00M,1.421B,,95.00M,,95.00M,1.254B,2.77B,3.347B,,3.347B,994.00M,994.00M,2.014B,39.00M,,6.355B,9.125B,,,,,,,,6.683B,,AOR,Restated
2009-12,340.00M,340.00M,433.00M,773.00M,1.899B,1.899B,608.00M,222.00M,601.00M,,1.326B,149.00M,377.00M,,4.524B,0.00,1.459B,4.241B,,5.70B,-3.255B,2.445B,5.435B,2.441B,7.876B,973.00M,464.00M,11.76B,16.28B,,1.057B,1.057B,256.00M,1.313B,,118.00M,,118.00M,1.258B,2.689B,3.349B,,3.349B,550.00M,550.00M,2.34B,41.00M,536.00M,6.775B,9.464B,,166.00M,3.872B,3.947B,,,-1.208B,6.777B,,AOR,Restated
2009-09,192.00M,192.00M,473.00M,665.00M,2.047B,2.047B,611.00M,866.00M,,,1.359B,,517.00M,,4.588B,,,,,,,2.528B,5.482B,2.492B,7.974B,1.405B,,11.91B,16.50B,,1.033B,1.033B,305.00M,1.338B,,392.00M,,392.00M,1.283B,3.013B,3.391B,,3.391B,,,1.99B,46.00M,1.094B,6.475B,9.488B,,,,,,,,6.961B,,AOR,Restated
2009-06,148.00M,148.00M,433.00M,581.00M,2.015B,2.015B,623.00M,865.00M,,,1.373B,,508.00M,,4.477B,,,,,,,2.542B,5.376B,2.481B,7.857B,1.315B,,11.71B,16.19B,,923.00M,923.00M,263.00M,1.186B,,643.00M,,643.00M,1.23B,3.059B,3.399B,,3.399B,,,2.031B,44.00M,1.011B,6.441B,9.50B,,,,,,,,6.647B,,AOR,Restated
2009-03,145.00M,145.00M,289.00M,434.00M,2.016B,2.016B,666.00M,942.00M,,,1.49B,,487.00M,,4.427B,,,,,,,2.525B,5.213B,2.426B,7.639B,1.41B,,11.57B,16.00B,,969.00M,969.00M,245.00M,1.214B,,480.00M,,480.00M,1.236B,2.93B,3.707B,,3.707B,,,2.314B,42.00M,943.00M,6.964B,9.894B,,,,,,,,6.065B,,AOR,Restated
2008-12,188.00M,188.00M,342.00M,530.00M,2.295B,2.295B,683.00M,285.00M,702.00M,,1.554B,,239.00M,177.00M,4.795B,0.00,1.425B,4.142B,,5.567B,-2.928B,2.639B,5.232B,2.518B,7.75B,971.00M,500.00M,11.86B,16.66B,,1.121B,1.121B,297.00M,1.418B,,1.081B,,1.081B,1.246B,3.745B,3.19B,,3.19B,543.00M,543.00M,2.353B,48.00M,459.00M,6.545B,10.29B,,82.00M,3.917B,3.879B,,,-1.538B,6.317B,,AOR,Restated
2008-09,,181.00M,282.00M,463.00M,2.845B,2.845B,741.00M,1.172B,,,1.795B,,484.00M,,5.587B,,,,,5.494B,-2.909B,2.585B,5.87B,1.929B,7.799B,996.00M,,11.38B,16.97B,,1.424B,1.424B,365.00M,1.789B,,1.441B,,1.441B,1.272B,4.502B,2.921B,,2.921B,,,,,2.565B,5.486B,9.988B,,,,,,,6.979B,6.979B,,,
2008-06,,219.00M,499.00M,718.00M,3.029B,3.029B,777.00M,1.181B,,-114.00M,1.844B,,472.00M,,6.063B,,,,,5.608B,-2.909B,2.699B,6.181B,2.047B,8.228B,933.00M,,11.86B,17.92B,,1.468B,1.468B,378.00M,1.846B,,1.489B,,1.489B,1.34B,4.675B,3.155B,,3.155B,,,,,2.699B,5.854B,10.53B,,,,,,,7.394B,7.394B,,,Restated
2008-03,,157.00M,426.00M,583.00M,2.561B,2.561B,713.00M,1.031B,,,1.634B,,471.00M,,5.249B,,,,,5.382B,-2.909B,2.473B,4.427B,1.662B,6.089B,835.00M,,9.397B,14.65B,,1.319B,1.319B,268.00M,1.587B,,1.461B,,1.461B,1.214B,4.262B,2.704B,,2.704B,,,,,2.18B,4.884B,9.146B,,,,,,,5.50B,5.50B,,,Restated
2007-12,142.00M,142.00M,504.00M,646.00M,2.208B,2.208B,674.00M,384.00M,533.00M,,1.483B,,291.00M,139.00M,4.767B,0.00,1.175B,4.067B,,5.242B,-2.909B,2.333B,3.982B,1.557B,5.539B,498.00M,293.00M,8.663B,13.43B,,1.17B,1.17B,355.00M,1.525B,,985.00M,,985.00M,1.149B,3.659B,2.432B,,2.432B,224.00M,224.00M,1.453B,,490.00M,4.599B,8.258B,,73.00M,3.257B,2.29B,,,-423.00M,5.172B,,,Restated
2007-09,,171.00M,568.00M,739.00M,2.22B,2.22B,651.00M,859.00M,,,1.399B,,468.00M,,4.826B,,,,,4.927B,-2.675B,2.252B,3.486B,1.391B,4.877B,784.00M,,7.913B,12.74B,,1.126B,1.126B,320.00M,1.446B,,553.00M,,553.00M,1.154B,3.153B,2.547B,,2.547B,,,,,2.296B,4.843B,7.996B,,,,,,,4.743B,4.743B,,,
2007-06,,112.00M,382.00M,494.00M,2.208B,2.208B,622.00M,865.00M,,,1.382B,,451.00M,,4.535B,,,,,4.945B,-2.675B,2.27B,3.478B,1.386B,4.864B,750.00M,,7.884B,12.42B,,1.081B,1.081B,278.00M,1.359B,,759.00M,,759.00M,1.051B,3.169B,2.518B,,2.518B,,,,,2.285B,4.803B,7.972B,,,,,,,4.447B,4.447B,,,
